name,instance,run_id,epoch,test/micro/precision,test_pretraining/micro/recall,test_incremental_only/macro_types/f1,test_incremental/macro_example/recall,test_pretraining/macro_example/precision,test_incremental_CONTACT_INFO-url/macro_types/precision,test/macro_example/f1,test_incremental_only/macro_example/precision,test_incremental_only/macro_example_exclusive/precision,test_incremental/micro/precision,test_pretraining/macro_types/precision,test_incremental/macro_example_exclusive/recall,test_incremental/macro_example_exclusive/precision,test_incremental/macro_example/f1,test_pretraining/macro_example/recall,test_incremental_only/macro_types/recall,test/macro_types/f1,test_incremental/micro/recall,test_pretraining/macro_types/f1,test/micro/f1,test/macro_example/recall,test_pretraining/micro/precision,test_incremental_CONTACT_INFO/macro_types/precision,test_incremental_only/micro/recall,test_incremental/macro_types/precision,test_incremental/macro_example_exclusive/f1,test_incremental_only/micro/precision,test_incremental_CONTACT_INFO/macro_types/f1,test_incremental_only/macro_example_exclusive/recall,test_pretraining/macro_types/recall,test_incremental/macro_example/precision,test_incremental/micro/f1,test_pretraining/micro/f1,threshold_pretraining,test/macro_types/precision,threshold_incremental,test_incremental/macro_types/f1,test_incremental/macro_types/recall,test_incremental_only/macro_example/recall,test_incremental_only/macro_example/f1,test/macro_types/recall,test/macro_example/precision,test_pretraining/macro_example/f1,test_incremental_CONTACT_INFO-url/macro_types/f1,test_incremental_only/macro_example_exclusive/f1,test_incremental_CONTACT_INFO-url/macro_types/recall,test/micro/recall,test_incremental_only/micro/f1,test_incremental_only/macro_types/precision,test_incremental_CONTACT_INFO/macro_types/recall
no_init_box_kenn_horizontal_adapter_bert_ms,2,6f3v5irb,47,0.4744149148464203,0.8635379076004028,0.05499541386961937,0.02733270451426506,0.4658969640731811,0.02827521227300167,0.6032974720001221,0.02827521041035652,1.0,0.05272727087140083,0.7858912944793701,0.9666666984558104,1.0,0.02779597043991089,0.8556393384933472,1.0,0.8308095932006836,0.9666666388511658,0.8308095932006836,0.6123911738395691,0.8556393384933472,0.4744149148464203,0.7179487347602844,1.0,0.3731119632720947,0.9830508828163148,0.02827521227300167,0.8115941882133484,1.0,0.881173849105835,0.02827521041035652,0.09999999403953552,0.6123911738395691,0.175,0.7858912944793701,0.0,0.5384097099304199,0.9666666984558104,0.02827521041035652,0.02827521041035652,0.881173849105835,0.4658969640731811,0.6032974720001221,0.05499541386961937,1.0,1.0,0.8635379076004028,0.05499541386961937,0.02827521227300167,0.9333333373069764
no_init_box_kenn_horizontal_adapter_bert_ms,1,1q3ee7gc,44,0.7986348271369934,0.8447653651237488,0.22857144474983215,0.015080112963914871,0.8275997638702393,0.800000011920929,0.8363423347473145,0.003770028240978718,0.13333334028720856,0.7272727489471436,0.8312868475914001,0.5333333611488342,0.9333333969116212,0.01919287070631981,0.8452717065811157,0.13333334028720856,0.8307398557662964,0.5333333611488342,0.8307398557662964,0.821052610874176,0.8452717065811157,0.7986348271369934,0.7179487347602844,0.13333334028720856,0.7589743733406067,0.6787879467010498,0.800000011920929,0.8115941882133484,0.13333334028720856,0.8301935195922852,0.02639019675552845,0.6153846383094788,0.821052610874176,0.175,0.8312868475914001,0.02,0.6264550685882568,0.5333333611488342,0.003770028240978718,0.003770028240978718,0.8301935195922852,0.8275997638702393,0.8363423347473145,0.22857144474983215,0.13333334028720856,0.13333334028720856,0.8447653651237488,0.22857144474983215,0.800000011920929,0.9333333373069764
no_init_box_kenn_horizontal_adapter_bert_ms,0,t3c9j5nt,33,0.4744149148464203,0.8635379076004028,0.05499541386961937,0.02733270451426506,0.4658969640731811,0.02827521227300167,0.6032974720001221,0.02827521041035652,1.0,0.05272727087140083,0.7858912944793701,0.9666666984558104,1.0,0.02779597043991089,0.8556393384933472,1.0,0.8308095932006836,0.9666666388511658,0.8308095932006836,0.6123911738395691,0.8556393384933472,0.4744149148464203,0.7179487347602844,1.0,0.3731119632720947,0.9830508828163148,0.02827521227300167,0.8115941882133484,1.0,0.881173849105835,0.02827521041035652,0.09999999403953552,0.6123911738395691,0.175,0.7858912944793701,0.0,0.5384097099304199,0.9666666984558104,0.02827521041035652,0.02827521041035652,0.881173849105835,0.4658969640731811,0.6032974720001221,0.05499541386961937,1.0,1.0,0.8635379076004028,0.05499541386961937,0.02827521227300167,0.9333333373069764
no_init_box_kenn_hybrid_adapter_bert_ms,2,zbxqkp1l,44,0.7987805008888245,0.8512635231018066,0.5652173757553101,0.019321395084261898,0.8280709981918335,0.8125,0.838118851184845,0.01225259155035019,0.4333333969116211,0.7454545497894287,0.8320221304893494,0.6833333969116211,0.9333333969116212,0.022309239953756332,0.8484134674072266,0.4333333373069763,0.8398568630218506,0.6833333373069763,0.8398568630218506,0.8241873979568481,0.8484134674072266,0.7987805008888245,0.7179487347602844,0.4333333373069763,0.7652243375778198,0.7890034914016724,0.8125,0.8115941882133484,0.4333333969116211,0.8478405475616455,0.02639019675552845,0.7130434513092041,0.8241873979568481,0.175,0.8320221304893494,0.01,0.7219641208648682,0.6833333373069763,0.01225259155035019,0.01225259155035019,0.8478405475616455,0.8280709981918335,0.838118851184845,0.5652173757553101,0.4333333969116211,0.4333333373069763,0.8512635231018066,0.5652173757553101,0.8125,0.9333333373069764
no_init_box_kenn_top_down_adapter_bert_ms,2,ziijvtfv,47,0.7972972989082336,0.8519855737686157,0.5600000023841858,0.019792648032307625,0.8268142938613892,0.699999988079071,0.8377041816711426,0.0131950993090868,0.46666669845581055,0.7118644118309021,0.8254045248031616,0.7000000476837158,0.9333333969116212,0.02262016758322716,0.8488847017288208,0.46666666865348816,0.8374252915382385,0.699999988079071,0.8374252915382385,0.8237347602844238,0.8488847017288208,0.7972972989082336,0.7179487347602844,0.46666666865348816,0.7089743614196777,0.8000000715255737,0.699999988079071,0.8115941882133484,0.46666669845581055,0.8498013019561768,0.02639019675552845,0.7058823704719543,0.8237347602844238,0.175,0.8254045248031616,0.05,0.7044585347175598,0.699999988079071,0.0131950993090868,0.013195098377764223,0.8498013019561768,0.8268142938613892,0.8377041816711426,0.5600000023841858,0.46666669845581055,0.46666666865348816,0.8519855737686157,0.5600000023841858,0.699999988079071,0.9333333373069764
no_init_box_kenn_bottom_up_adapter_bert_ms,2,t0mx5kdu,44,0.7987805008888245,0.8512635231018066,0.5652173757553101,0.019321395084261898,0.8280709981918335,0.8125,0.838118851184845,0.01225259155035019,0.4333333969116211,0.7454545497894287,0.8320221304893494,0.6833333969116211,0.9333333969116212,0.022309239953756332,0.8484134674072266,0.4333333373069763,0.8398568630218506,0.6833333373069763,0.8398568630218506,0.8241873979568481,0.8484134674072266,0.7987805008888245,0.7179487347602844,0.4333333373069763,0.7652243375778198,0.7890034914016724,0.8125,0.8115941882133484,0.4333333969116211,0.8478405475616455,0.02639019675552845,0.7130434513092041,0.8241873979568481,0.175,0.8320221304893494,0.01,0.7219641208648682,0.6833333373069763,0.01225259155035019,0.01225259155035019,0.8478405475616455,0.8280709981918335,0.838118851184845,0.5652173757553101,0.4333333969116211,0.4333333373069763,0.8512635231018066,0.5652173757553101,0.8125,0.9333333373069764
no_init_box_kenn_hybrid_adapter_bert_ms,1,vrw5z4fu,43,0.7975625991821289,0.8505415320396423,0.5106382966041565,0.018850140273571014,0.8279138803482056,0.7058823704719543,0.8377317190170288,0.01131008379161358,0.40000003576278687,0.7142857313156128,0.825750470161438,0.6666667461395264,0.9333333969116212,0.021991832181811333,0.8477851152420044,0.4000000059604645,0.835693895816803,0.6666666865348816,0.835693895816803,0.823200523853302,0.8477851152420044,0.7975625991821289,0.7179487347602844,0.4000000059604645,0.7119155526161194,0.777777910232544,0.7058823704719543,0.8115941882133484,0.40000003576278687,0.8458797931671143,0.02639019675552845,0.6896552443504333,0.823200523853302,0.175,0.825750470161438,0.04,0.6885485053062439,0.6666666865348816,0.01131008379161358,0.01131008379161358,0.8458797931671143,0.8279138803482056,0.8377317190170288,0.5106382966041565,0.40000003576278687,0.4000000059604645,0.8505415320396423,0.5106382966041565,0.7058823704719543,0.9333333373069764
no_init_box_kenn_top_down_adapter_bert_ms,1,empud06h,44,0.7981029748916626,0.8505415320396423,0.5217391848564148,0.018850140273571014,0.8279138803482056,0.75,0.8377317190170288,0.01131008379161358,0.40000003576278687,0.7272727489471436,0.8283456563949585,0.6666667461395264,0.9333333969116212,0.021991832181811333,0.8477851152420044,0.4000000059604645,0.8370209336280823,0.6666666865348816,0.8370209336280823,0.8234882950782776,0.8477851152420044,0.7981029748916626,0.7179487347602844,0.4000000059604645,0.7339743375778198,0.777777910232544,0.75,0.8115941882133484,0.40000003576278687,0.8458797931671143,0.02639019675552845,0.6956521272659302,0.8234882950782776,0.175,0.8283456563949585,0.15000000000000002,0.6987032890319824,0.6666666865348816,0.01131008379161358,0.01131008379161358,0.8458797931671143,0.8279138803482056,0.8377317190170288,0.5217391848564148,0.40000003576278687,0.4000000059604645,0.8505415320396423,0.5217391848564148,0.75,0.9333333373069764
no_init_box_kenn_bottom_up_adapter_bert_ms,1,nljkjo00,43,0.7975625991821289,0.8505415320396423,0.5106382966041565,0.018850140273571014,0.8279138803482056,0.7058823704719543,0.8377317190170288,0.01131008379161358,0.40000003576278687,0.7142857313156128,0.825750470161438,0.6666667461395264,0.9333333969116212,0.021991832181811333,0.8477851152420044,0.4000000059604645,0.835693895816803,0.6666666865348816,0.835693895816803,0.823200523853302,0.8477851152420044,0.7975625991821289,0.7179487347602844,0.4000000059604645,0.7119155526161194,0.777777910232544,0.7058823704719543,0.8115941882133484,0.40000003576278687,0.8458797931671143,0.02639019675552845,0.6896552443504333,0.823200523853302,0.175,0.825750470161438,0.02,0.6885485053062439,0.6666666865348816,0.01131008379161358,0.01131008379161358,0.8458797931671143,0.8279138803482056,0.8377317190170288,0.5106382966041565,0.40000003576278687,0.4000000059604645,0.8505415320396423,0.5106382966041565,0.7058823704719543,0.9333333373069764
no_init_box_kenn_hybrid_adapter_bert_ms,0,774w9ohc,45,0.7985023856163025,0.8469313979148865,0.3589743375778198,0.016493873670697212,0.8279138803482056,0.7777777910232544,0.8371176719665527,0.0065975496545434,0.23333334922790527,0.7291666865348816,0.829979658126831,0.5833333730697632,0.9333333969116212,0.02030015178024769,0.8465284109115601,0.23333333432674408,0.833016574382782,0.5833333134651184,0.833016574382782,0.8220041990280151,0.8465284109115601,0.7985023856163025,0.7179487347602844,0.23333333432674408,0.7478632926940918,0.7179487347602844,0.7777777910232544,0.8115941882133484,0.23333334922790527,0.8360758423805237,0.02639019675552845,0.6481481194496155,0.8220041990280151,0.175,0.829979658126831,0.03,0.6554307341575623,0.5833333134651184,0.0065975496545434,0.0065975491888821125,0.8360758423805237,0.8279138803482056,0.8371176719665527,0.3589743375778198,0.23333334922790527,0.23333333432674408,0.8469313979148865,0.3589743375778198,0.7777777910232544,0.9333333373069764
