name,test_pretraining/macro_example/f1/mean,test_pretraining/macro_types/recall/mean,test_pretraining/micro/f1/mean,test_incremental_CONTACT_INFO/macro_types/f1/mean,test_incremental_CONTACT_INFO/macro_types/recall/mean,test_incremental_only/macro_example/precision/mean,test/macro_types/f1/mean,test_incremental/macro_types/recall/mean,test/macro_example/recall/mean,test_incremental/micro/f1/mean,test_incremental_only/macro_example_exclusive/recall/mean,test/micro/recall/mean,test_incremental_CONTACT_INFO-url/macro_types/precision/mean,test/micro/f1/mean,test_incremental/macro_types/f1/mean,test_incremental/macro_types/precision/mean,test_incremental_CONTACT_INFO-url/macro_types/f1/mean,epoch/mean,test/macro_types/precision/mean,test_incremental_only/macro_example/recall/mean,test_incremental/macro_example/recall/mean,threshold_incremental/mean,test_pretraining/micro/precision/mean,test_incremental_only/micro/precision/mean,test_pretraining/macro_example/recall/mean,test/macro_types/recall/mean,test_pretraining/macro_types/f1/mean,test_incremental_only/macro_example_exclusive/f1/mean,test/macro_example/precision/mean,test_incremental/macro_example/f1/mean,test_incremental_only/macro_types/f1/mean,test_incremental/micro/recall/mean,test_pretraining/macro_example/precision/mean,test_incremental/macro_example_exclusive/f1/mean,test_incremental/macro_example_exclusive/precision/mean,test_incremental_CONTACT_INFO/macro_types/precision/mean,threshold_pretraining/mean,test_incremental_only/micro/recall/mean,test_incremental/macro_example/precision/mean,test_incremental_only/macro_types/precision/mean,test_incremental_only/macro_example_exclusive/precision/mean,test_incremental/macro_example_exclusive/recall/mean,test_pretraining/micro/recall/mean,test_incremental_only/micro/f1/mean,test_incremental_only/macro_example/f1/mean,test_incremental_CONTACT_INFO-url/macro_types/recall/mean,test/macro_example/f1/mean,test_incremental/micro/precision/mean,test_pretraining/macro_types/precision/mean,test_incremental_only/macro_types/recall/mean,test/micro/precision/mean,test_pretraining/macro_example/f1/std,test_pretraining/macro_types/recall/std,test_pretraining/micro/f1/std,test_incremental_CONTACT_INFO/macro_types/f1/std,test_incremental_CONTACT_INFO/macro_types/recall/std,test_incremental_only/macro_example/precision/std,test/macro_types/f1/std,test_incremental/macro_types/recall/std,test/macro_example/recall/std,test_incremental/micro/f1/std,test_incremental_only/macro_example_exclusive/recall/std,test/micro/recall/std,test_incremental_CONTACT_INFO-url/macro_types/precision/std,test/micro/f1/std,test_incremental/macro_types/f1/std,test_incremental/macro_types/precision/std,test_incremental_CONTACT_INFO-url/macro_types/f1/std,epoch/std,test/macro_types/precision/std,test_incremental_only/macro_example/recall/std,test_incremental/macro_example/recall/std,threshold_incremental/std,test_pretraining/micro/precision/std,test_incremental_only/micro/precision/std,test_pretraining/macro_example/recall/std,test/macro_types/recall/std,test_pretraining/macro_types/f1/std,test_incremental_only/macro_example_exclusive/f1/std,test/macro_example/precision/std,test_incremental/macro_example/f1/std,test_incremental_only/macro_types/f1/std,test_incremental/micro/recall/std,test_pretraining/macro_example/precision/std,test_incremental/macro_example_exclusive/f1/std,test_incremental/macro_example_exclusive/precision/std,test_incremental_CONTACT_INFO/macro_types/precision/std,threshold_pretraining/std,test_incremental_only/micro/recall/std,test_incremental/macro_example/precision/std,test_incremental_only/macro_types/precision/std,test_incremental_only/macro_example_exclusive/precision/std,test_incremental/macro_example_exclusive/recall/std,test_pretraining/micro/recall/std,test_incremental_only/micro/f1/std,test_incremental_only/macro_example/f1/std,test_incremental_CONTACT_INFO-url/macro_types/recall/std,test/macro_example/f1/std,test_incremental/micro/precision/std,test_pretraining/macro_types/precision/std,test_incremental_only/macro_types/recall/std,test/micro/precision/std
no_init_box_kenn_bottom_up_adapter_bert_ms,0.8393372893333435,0.8648340106010437,0.8253411451975504,0.8115941882133484,0.9333333373069764,0.0204209852963686,0.8433134357134501,0.8277777830759684,0.8520787358283997,0.7522489627202352,0.7222222685813904,0.8575210571289062,0.6564939816792806,0.8253411451975504,0.750708262125651,0.68722136815389,0.6864762107531229,39.0,0.8228453000386556,0.0204209852963686,0.023405591646830242,0.013333333333333334,0.7954906225204468,0.6564939816792806,0.8520787358283997,0.8648340106010437,0.8433134357134501,0.7222222685813904,0.8269713918368021,0.02494083469112714,0.6864762107531229,0.8277777830759684,0.8269713918368021,0.8820741971333822,0.944444497426351,0.7179487347602844,0.17499999999999996,0.7222222288449606,0.026704366008440655,0.6564939816792806,0.7222222685813904,0.8277778228123983,0.8575210571289062,0.6864762107531229,0.0204209852963686,0.7222222288449606,0.8393372893333435,0.6898651123046875,0.8228453000386556,0.7222222288449606,0.7954906225204468,0.0007760706399880667,0.004934543858831313,0.0008605599764476576,0.0,0.0,0.002371924117146549,0.0027921224930736416,0.04194354779856429,0.0009468520849094996,0.020420509509280496,0.08388705612297488,0.001817061784897524,0.02792256146363001,0.0008605599764476576,0.021835842888200983,0.013961247638459072,0.04614632508858604,2.6457513110645907,0.001642506007638342,0.002371924117146549,0.001185962552000162,0.005773502691896257,0.0006815878464514974,0.02792256146363001,0.0009468520849094996,0.004934543858831313,0.0027921224930736416,0.08388705612297488,0.0006981229084402589,0.0008796273110387436,0.04614632508858604,0.041943512271834106,0.0006981229084402589,0.03110947478086537,0.01924499061951662,0.0,0.0,0.08388706007038474,0.0005441571082198931,0.02792256146363001,0.08388705612297488,0.0419435438511419,0.001817061784897524,0.04614632508858604,0.002371924117146549,0.08388706007038474,0.0007760706399880667,0.012529559869446318,0.001642506007638342,0.08388706007038474,0.0006815878464514974
no_init_box_kenn_horizontal_adapter_bert_ms,0.8386582334836324,0.8576444784800211,0.8244157632191976,0.8115941882133484,0.9333333373069764,0.016965126618742943,0.8398798306783041,0.7666666905085245,0.8508744438489279,0.7276020248730978,0.6000000238418579,0.8548736572265625,0.6565171082814535,0.8244157632191976,0.7243730227152506,0.6872329115867615,0.6245662172635397,38.666666666666664,0.8228466709454855,0.016965126618742943,0.021677662928899128,0.01,0.796055535475413,0.6565171082814535,0.8508744438489279,0.8576444784800211,0.8398798306783041,0.6000000238418579,0.8267881472905477,0.02391826920211315,0.6245662172635397,0.7666666706403097,0.8267881472905477,0.8459094961484274,0.944444497426351,0.7179487347602844,0.17499999999999996,0.6000000238418579,0.026704366008440655,0.6565171082814535,0.6000000238418579,0.7666666905085245,0.8548736572265625,0.6245662172635397,0.016965126618742943,0.6000000238418579,0.8386582334836324,0.6931870579719543,0.8228466709454855,0.6000000238418579,0.796055535475413,0.0009204120071724993,0.006792321290499557,0.0012834715733128295,0.0,0.0,0.0032649410362213397,0.004149806076771302,0.057735040684065646,0.0011363589312341287,0.031490764677305084,0.1154700469553736,0.0025011536428315158,0.037113566279468754,0.0012834715733128295,0.03371370303563888,0.018556770700053456,0.0744641806240622,2.0816659994661335,0.0021831436401653984,0.0032649410362213397,0.001632470249261,0.0,0.0005609664356294879,0.037113566279468754,0.0011363589312341287,0.006792321290499557,0.004149806076771302,0.1154700469553736,0.0009304557033815935,0.0012035937285589306,0.0744641806240622,0.05773500627130796,0.0009304557033815935,0.04256713594652779,0.01924499061951662,0.0,0.0,0.1154700469553736,0.0005441571082198931,0.037113566279468754,0.1154700469553736,0.057735040684065646,0.0025011536428315158,0.0744641806240622,0.0032649410362213397,0.1154700469553736,0.0009204120071724993,0.014381726260498731,0.0021831436401653984,0.1154700469553736,0.0005609664356294879
no_init_box_kenn_hybrid_adapter_bert_ms,0.8395570715268453,0.8661412000656128,0.82561328013738,0.8115941882133484,0.9333333373069764,0.021049324423074722,0.8441615104675293,0.8388888835906982,0.8523929516474406,0.7585534652074178,0.7444444894790649,0.8580023845036825,0.663854698340098,0.82561328013738,0.7574261426925659,0.6909017165501913,0.7004126707712809,36.0,0.8232782681783041,0.021049324423074722,0.02371976027886073,0.013333333333333334,0.7955821553866068,0.663854698340098,0.8523929516474406,0.8661412000656128,0.8441615104675293,0.7444445093472799,0.8271023035049438,0.025121066719293594,0.7004126707712809,0.8388888835906982,0.8271023035049438,0.8884485363960266,0.944444497426351,0.7179487347602844,0.17499999999999996,0.7444444298744202,0.026704366008440655,0.663854698340098,0.7444444894790649,0.838888943195343,0.8580023845036825,0.7004126707712809,0.021049324423074722,0.7444444298744202,0.8395570715268453,0.6928175091743469,0.8232782681783041,0.7444444298744202,0.7955821553866068,0.0006245539427330809,0.004528237135504848,0.0005469404353065616,0.0,0.0,0.0021766273574808934,0.002013997994643962,0.03849001565179121,0.0009069138165845432,0.013448305494873473,0.07698003130358241,0.0016674357618876852,0.011776094841379947,0.0005469404353065616,0.014241296406364392,0.005888049501963877,0.03071429121369627,3.4641016151377544,0.0006927010596217643,0.0021766273574808934,0.0010883131410411077,0.005773502691896257,0.0005249618217510897,0.011776094841379947,0.0009069138165845432,0.004528237135504848,0.002013997994643962,0.07698006571634013,0.0005947021106079168,0.0008490799510635432,0.03071429121369627,0.03849001565179121,0.0005947021106079168,0.030029122978399735,0.01924499061951662,0.0,0.0,0.07698003130358241,0.0005441571082198931,0.011776094841379947,0.07698003130358241,0.03849001565179121,0.0016674357618876852,0.03071429121369627,0.0021766273574808934,0.07698003130358241,0.0006245539427330809,0.0062870857644401895,0.0006927010596217643,0.07698003130358241,0.0005249618217510897
no_init_box_kenn_top_down_adapter_bert_ms,0.8400311668713888,0.8720235427220663,0.8260719180107117,0.8115941882133484,0.9333333373069764,0.023876845215757687,0.8463421861330668,0.8888888756434122,0.8536496162414551,0.7710890571276346,0.844444473584493,0.86016845703125,0.644355575243632,0.8260719180107117,0.7712348103523254,0.6811521848042806,0.7307753761609396,36.333333333333336,0.8221312761306763,0.023876845215757687,0.02513352098564307,0.02,0.7945756713549296,0.644355575243632,0.8536496162414551,0.8720235427220663,0.8463421861330668,0.8444445133209229,0.8268405000368754,0.02604063165684541,0.7307753761609396,0.8888888756434122,0.8268405000368754,0.9209704399108887,0.9555555979410807,0.7179487347602844,0.17499999999999996,0.8444444338480631,0.027018535261352856,0.644355575243632,0.844444473584493,0.888888935248057,0.86016845703125,0.7307753761609396,0.023876845215757687,0.8444444338480631,0.8400311668713888,0.6809329589207967,0.8221312761306763,0.8444444338480631,0.7945756713549296,0.00021087838886296593,0.0011320420774973668,0.00014385379431157544,0.0,0.0,0.0005441565705213504,0.0003675393557246418,0.009622495309758367,0.0003627792917369029,0.0028187339743456314,0.019244990619516757,0.0004168761468507723,0.012219363297159922,0.00014385379431157544,0.00278579323272274,0.006109681648579967,0.005509631773714831,2.88675134594813,0.0007188065822492212,0.0005441565705213504,0.00027207909180928586,0.01,0.00046314544294397874,0.012219363297159922,0.0003627792917369029,0.0011320420774973668,0.0003675393557246418,0.019244956206759044,0.0004534397028927933,0.0003503260247683049,0.005509631773714831,0.009622495309758367,0.0004534397028927933,0.01238985218367642,0.01924499061951662,0.0,0.0,0.019245025032274446,0.0005441571082198923,0.012219363297159922,0.019244990619516757,0.009622495309758367,0.0004168761468507723,0.005509631773714831,0.0005441565705213504,0.019245025032274446,0.00021087838886296593,0.006772589271033444,0.0007188065822492212,0.019245025032274446,0.00046314544294397874
no_init_kenn_bottom_up_adapter_bert_ms,0.8359265526135763,0.8781172434488932,0.8230480353037516,0.7567567229270935,0.9333333373069764,0.022934338077902794,0.8368783195813497,0.8722222248713175,0.8588857253392538,0.7134350339571635,0.8111111323038737,0.868110716342926,0.5872384309768677,0.8230480353037516,0.715935746828715,0.611801028251648,0.6671579281489054,23.333333333333332,0.7994210720062256,0.022934338077902794,0.024662267416715622,0.61,0.7824589212735494,0.5872384309768677,0.8588857253392538,0.8781172434488932,0.8368783195813497,0.8111111521720886,0.8141690293947855,0.025754250586032867,0.6671579281489054,0.8722222050031027,0.8141690293947855,0.9108421405156454,0.9555555979410807,0.6363636255264282,0.25,0.8111111124356588,0.02701853464047114,0.5872384309768677,0.8111111323038737,0.8722223043441772,0.868110716342926,0.6671579281489054,0.022934338077902794,0.8111111124356588,0.8359265526135763,0.6087944904963175,0.7994210720062256,0.8111111124356588,0.7824589212735494,0.00067334679013663,0.011819047558010021,0.0013147543855719526,0.0,0.0,0.005681162415117386,0.003962879258261183,0.10046191907563018,0.002278183433264573,0.025325154414158224,0.20092378211680526,0.00435213675761243,0.07623185966496304,0.0013147543855719526,0.025298553538512257,0.03811592983248152,0.05723565975128958,1.1547005383792517,0.004484215906800951,0.005681162415117386,0.0028405815938255933,0.5111751167652824,0.004434268105240335,0.07623185966496304,0.002278183433264573,0.011819047558010021,0.003962879258261183,0.20092378541295547,0.0019823065492432512,0.001998058665389792,0.05723565975128958,0.10046189105840264,0.0019823065492432512,0.07066459767904973,0.038489981239033404,0.0,0.0,0.2009237788206609,0.0010883131410411077,0.07623185966496304,0.20092378211680526,0.10046186304117902,0.00435213675761243,0.05723565975128958,0.005681162415117386,0.2009237788206609,0.00067334679013663,0.044455469183691365,0.004484215906800951,0.2009237788206609,0.004434268105240335
no_init_kenn_horizontal_adapter_bert_ms,0.8364313840866089,0.8768100539843241,0.824093222618103,0.7567567229270935,0.9333333373069764,0.022305999572078388,0.8378376762072245,0.8611111044883728,0.8585191965103149,0.7306028604507446,0.788888951142629,0.8676293690999349,0.6344676812489828,0.824093222618103,0.7306351065635681,0.6354156732559204,0.7004632949829102,25.333333333333332,0.8021992643674215,0.022305999572078388,0.024348098163803417,0.9033333333333333,0.7847208182017008,0.6344676812489828,0.8585191965103149,0.8768100539843241,0.8378376762072245,0.788888951142629,0.8154519001642863,0.025460006669163704,0.7004632949829102,0.8611111243565878,0.8154519001642863,0.9004356662432352,0.944444497426351,0.6363636255264282,0.25,0.7888888915379842,0.026704366008440655,0.6344676812489828,0.788888951142629,0.8611111839612325,0.8676293690999349,0.7004632949829102,0.02230599895119667,0.7888888915379842,0.8364313840866089,0.6353469689687093,0.8021992643674215,0.7888888915379842,0.7847208182017008,0.0008520273319094155,0.006886061937601708,0.0008715248342354045,0.0,0.0,0.003309975728161455,0.003111168211054991,0.05853138503399429,0.001335972615063325,0.02135244494300182,0.1170627983550979,0.002535668087097648,0.016566507097678755,0.0008715248342354045,0.021203137310426903,0.008283243930233507,0.047314900859932126,4.163331998932265,0.000974519723524903,0.003309975728161455,0.0016549887922515916,0.005773502691896279,0.0007681906563758254,0.016566507097678755,0.001335972615063325,0.006886061937601708,0.003111168211054991,0.1170627983550979,0.0004534913210499736,0.0011241845948581034,0.047314900859932126,0.05853141332110525,0.0004534913210499736,0.03975853632800196,0.01924499061951662,0.0,0.0,0.1170627983550979,0.0005441571082198931,0.016566507097678755,0.1170627983550979,0.05853141332110525,0.002535668087097648,0.047314900859932126,0.0033099748441893844,0.1170627983550979,0.0008520273319094155,0.0076600079840588075,0.000974519723524903,0.1170627983550979,0.0007681906563758254
no_init_kenn_hybrid_adapter_bert_ms,0.836850623289744,0.8800780375798544,0.8246699770291647,0.7567567229270935,0.9333333373069764,0.023876845836639404,0.8396651943524679,0.8888888955116272,0.8591999014218649,0.743352989355723,0.844444473584493,0.8688327471415201,0.6451911727587382,0.8246699770291647,0.743703285853068,0.6407774090766907,0.7270925839742025,22.333333333333332,0.8028300404548645,0.023876845836639404,0.025133520364761353,0.68,0.7847855488459269,0.6451911727587382,0.8591999014218649,0.8800780375798544,0.8396651943524679,0.8444444934527079,0.8156351447105408,0.026030226921041805,0.7270925839742025,0.8888888756434122,0.8156351447105408,0.9206024805704752,0.9555555979410807,0.6363636255264282,0.25,0.8444444338480631,0.02701853464047114,0.6451911727587382,0.844444473584493,0.888888955116272,0.8688327471415201,0.7270925839742025,0.023876845836639404,0.8444444338480631,0.836850623289744,0.6402179002761841,0.8028300404548645,0.8444444338480631,0.7847855488459269,0.001096952780738927,0.008841650233647167,0.0009711609268196574,0.0,0.0,0.004249998196633215,0.0037437330137229303,0.0751541811995481,0.0018206404371804595,0.02388081793264686,0.1503083007136649,0.003255756983371087,0.0096738553396441,0.0009711609268196574,0.023399181453861485,0.004836917051693133,0.050945139150928166,1.1547005383792517,0.0005690550770874517,0.004249998196633215,0.0021250009571409535,0.4763402145525821,0.0009048711402465363,0.0096738553396441,0.0018206404371804595,0.008841650233647167,0.0037437330137229303,0.1503082985106195,0.00044658089876011985,0.0016140523615515814,0.050945139150928166,0.07515415035683244,0.00044658089876011985,0.05708360431402228,0.038489981239033404,0.0,0.0,0.15030833155637977,0.0010883131410411077,0.0096738553396441,0.1503083007136649,0.07515414815379096,0.003255756983371087,0.050945139150928166,0.004249998196633215,0.15030833155637977,0.001096952780738927,0.003958594676698856,0.0005690550770874517,0.15030833155637977,0.0009048711402465363
no_init_kenn_top_down_adapter_bert_ms,0.8363478382428488,0.8774636586507162,0.8237547079722086,0.7567567229270935,0.9333333373069764,0.02262016882499059,0.8373953104019165,0.8666666746139526,0.8587809999783834,0.7238213419914246,0.8000000317891439,0.867870032787323,0.6121346155802408,0.8237547079722086,0.7236509124437968,0.6242491006851196,0.6838617523511251,21.666666666666668,0.8008855581283569,0.02262016882499059,0.02450518247981866,0.6966666666666667,0.7839213212331136,0.6121346155802408,0.8587809999783834,0.8774636586507162,0.8373953104019165,0.8000000516573588,0.8150591651598612,0.025658614933490753,0.6838617523511251,0.8666666547457377,0.8150591651598612,0.9074598352114359,0.9555555979410807,0.6363636255264282,0.25,0.799999992052714,0.02701853464047114,0.6121346155802408,0.8000000317891439,0.8666667540868124,0.867870032787323,0.6838617523511251,0.02262016882499059,0.799999992052714,0.8363478382428488,0.6246935129165649,0.8008855581283569,0.799999992052714,0.7839213212331136,0.001124918665075992,0.01285770819586023,0.001386899723607902,0.0,0.0,0.006180432141781534,0.005730577517255249,0.10929065600912324,0.002438618042009816,0.0365499949185884,0.21858125748050583,0.0047346256114400055,0.026746836711636635,0.001386899723607902,0.03813532970068192,0.013373434451560319,0.084953976393204,2.309401076758503,0.0015733249847914826,0.006180432141781534,0.0030902169230428815,0.4647938611183815,0.0017825362329383445,0.026746836711636635,0.002438618042009816,0.01285770819586023,0.005730577517255249,0.21858126202532166,0.0004030498355882696,0.0021399829318998003,0.084953976393204,0.10929062874025289,0.0004030498355882696,0.075683972880339,0.038489981239033404,0.0,0.0,0.21858128474937513,0.0010883131410411077,0.026746836711636635,0.21858125748050583,0.1092906014713866,0.0047346256114400055,0.084953976393204,0.006180432141781534,0.21858128474937513,0.001124918665075992,0.014016459425260348,0.0015733249847914826,0.21858128474937513,0.0017825362329383445
smart_init_box_adapter_bert_ms,0.8410956462224325,0.8726771473884583,0.8274499177932739,0.8115941882133484,0.9333333373069764,0.024191013847788174,0.8491844336191813,0.8944444457689921,0.8537019491195679,0.7987147370974222,0.8555556138356527,0.860409140586853,0.725938101609548,0.8274499177932739,0.7987658977508545,0.7219434181849161,0.7844478885332743,12.333333333333334,0.8269302447636923,0.024191013847788174,0.025290605301658314,0.63,0.7969236969947815,0.725938101609548,0.8537019491195679,0.8726771473884583,0.8491844336191813,0.8555556138356527,0.8288564085960388,0.025819192950924236,0.7844478885332743,0.8944444457689921,0.8288564085960388,0.9131389061609904,0.9333333969116212,0.7179487347602844,0.17499999999999996,0.8555555542310079,0.02639019675552845,0.725938101609548,0.8555556138356527,0.894444485505422,0.860409140586853,0.7844478885332743,0.024191013847788174,0.8555555542310079,0.8410956462224325,0.7218608856201172,0.8269302447636923,0.8555555542310079,0.7969236969947815,0.0005968122043643718,0.004934543858831313,0.0008749257145894343,0.0,0.0,0.002371923993789521,0.0026081050905994714,0.04194351227183412,0.0010220329427633392,0.01947796442488197,0.08388706007038478,0.001817061784897524,0.00960139972204335,0.0008749257145894343,0.019505178389620847,0.004800705249903103,0.040905018023108,7.505553499465136,0.0005647625152950586,0.002371923993789521,0.0011859614417898312,0.13453624047073712,0.00013578774036716764,0.00960139972204335,0.0010220329427633392,0.004934543858831313,0.0026081050905994714,0.08388706007038478,0.00020779105020567867,0.000621630023910041,0.040905018023108,0.04194351227183412,0.00020779105020567867,0.02198496447292628,0.0,0.0,0.0,0.08388706007038478,0.0,0.00960139972204335,0.08388706007038478,0.04194354385114195,0.001817061784897524,0.040905018023108,0.002371923993789521,0.08388706007038478,0.0005968122043643718,0.004762389071990015,0.0005647625152950586,0.08388706007038478,0.00013578774036716764
smart_init_classifier_adapter_bert_ms,0.8369166851043701,0.8787708481152853,0.8257229328155518,0.7567567229270935,0.9333333373069764,0.023248507330815,0.8417147397994995,0.8777777552604675,0.8589904507001241,0.7628335754076639,0.8222222924232483,0.868351399898529,0.7275828321774801,0.8257229328155518,0.7668511072794596,0.6819732387860616,0.7687114079793295,5.0,0.807676633199056,0.023248507330815,0.024819351111849148,0.7333333333333334,0.7870869437853495,0.7275828321774801,0.8589904507001241,0.8787708481152853,0.8417147397994995,0.8222222924232483,0.815949281056722,0.02556455632050832,0.7687114079793295,0.8777777751286825,0.815949281056722,0.9041333198547363,0.9333333969116212,0.6363636255264282,0.25,0.8222222129503886,0.02639019675552845,0.7275828321774801,0.8222222924232483,0.8777778546015421,0.868351399898529,0.7687114079793295,0.02324850670993328,0.8222222129503886,0.8369166851043701,0.675429105758667,0.807676633199056,0.8222222129503886,0.7870869437853495,0.0005359895541608546,0.006303033156683577,0.0007105125972408694,0.0,0.0,0.0030297346919812874,0.0022595320323974067,0.05357582046109755,0.0010099008121413453,0.017748138408753215,0.10715169654861878,0.002320966172428442,0.020275495169270637,0.0007105125972408694,0.014744360102735566,0.010137735049198826,0.03872762285669299,0.0,0.0011926927880028487,0.0030297346919812874,0.0015148673459906442,0.02081665999466128,0.0006281007835266118,0.020275495169270637,0.0010099008121413453,0.006303033156683577,0.0022595320323974067,0.10715169654861878,0.00011997472375771272,0.0008176215419636,0.03872762285669299,0.053575842093599675,0.00011997472375771272,0.028916580348706866,0.0,0.0,0.0,0.10715167491612135,0.0,0.020275495169270637,0.10715169654861878,0.05357585445502392,0.002320966172428442,0.03872762285669299,0.003029734015965929,0.10715167491612135,0.0005359895541608546,0.004925966023732389,0.0011926927880028487,0.10715167491612135,0.0006281007835266118
