name,test_incremental_only/macro_example_exclusive/precision/mean,test_incremental/macro_types/recall/mean,test_incremental_only/micro/precision/mean,test_incremental_only/macro_types/precision/mean,test_incremental/micro/f1/mean,test_pretraining/micro/precision/mean,test_incremental_only/macro_types/f1/mean,test_incremental_EVENT/macro_types/f1/mean,test/macro_example/f1/mean,test_pretraining/micro/f1/mean,test_incremental_only/macro_example_exclusive/recall/mean,test/macro_example/recall/mean,test/macro_example/precision/mean,test_incremental_only/micro/f1/mean,test_incremental_only/macro_example/f1/mean,test_incremental/macro_example/precision/mean,test_incremental_EVENT/macro_types/precision/mean,test_pretraining/macro_types/f1/mean,test_pretraining/macro_types/recall/mean,test_incremental/macro_example/recall/mean,test_incremental/macro_example_exclusive/f1/mean,test_incremental_EVENT-WAR/macro_types/recall/mean,test_incremental_EVENT-HURRICANE/macro_types/recall/mean,test_pretraining/micro/recall/mean,test_incremental_only/micro/recall/mean,test_incremental_only/macro_example/precision/mean,test_incremental_only/macro_types/recall/mean,test/micro/f1/mean,test_pretraining/macro_types/precision/mean,test_incremental/macro_example_exclusive/precision/mean,test_incremental_EVENT-HURRICANE/macro_types/f1/mean,test_incremental_EVENT-HURRICANE/macro_types/precision/mean,threshold_incremental/mean,test/macro_types/precision/mean,test_incremental_EVENT/macro_types/recall/mean,test_incremental/macro_example_exclusive/recall/mean,test_incremental/micro/recall/mean,test_pretraining/macro_example/recall/mean,test_incremental_EVENT-WAR/macro_types/precision/mean,test/macro_types/f1/mean,test/micro/precision/mean,test_incremental_only/macro_example/recall/mean,test_incremental_only/macro_example_exclusive/f1/mean,epoch/mean,test_incremental/macro_types/f1/mean,test_pretraining/macro_example/f1/mean,test/micro/recall/mean,threshold_pretraining/mean,test_incremental/macro_types/precision/mean,test/macro_types/recall/mean,test_incremental/micro/precision/mean,test_incremental/macro_example/f1/mean,test_pretraining/macro_example/precision/mean,test_incremental_EVENT-WAR/macro_types/f1/mean,test_incremental_only/macro_example_exclusive/precision/std,test_incremental/macro_types/recall/std,test_incremental_only/micro/precision/std,test_incremental_only/macro_types/precision/std,test_incremental/micro/f1/std,test_pretraining/micro/precision/std,test_incremental_only/macro_types/f1/std,test_incremental_EVENT/macro_types/f1/std,test/macro_example/f1/std,test_pretraining/micro/f1/std,test_incremental_only/macro_example_exclusive/recall/std,test/macro_example/recall/std,test/macro_example/precision/std,test_incremental_only/micro/f1/std,test_incremental_only/macro_example/f1/std,test_incremental/macro_example/precision/std,test_incremental_EVENT/macro_types/precision/std,test_pretraining/macro_types/f1/std,test_pretraining/macro_types/recall/std,test_incremental/macro_example/recall/std,test_incremental/macro_example_exclusive/f1/std,test_incremental_EVENT-WAR/macro_types/recall/std,test_incremental_EVENT-HURRICANE/macro_types/recall/std,test_pretraining/micro/recall/std,test_incremental_only/micro/recall/std,test_incremental_only/macro_example/precision/std,test_incremental_only/macro_types/recall/std,test/micro/f1/std,test_pretraining/macro_types/precision/std,test_incremental/macro_example_exclusive/precision/std,test_incremental_EVENT-HURRICANE/macro_types/f1/std,test_incremental_EVENT-HURRICANE/macro_types/precision/std,threshold_incremental/std,test/macro_types/precision/std,test_incremental_EVENT/macro_types/recall/std,test_incremental/macro_example_exclusive/recall/std,test_incremental/micro/recall/std,test_pretraining/macro_example/recall/std,test_incremental_EVENT-WAR/macro_types/precision/std,test/macro_types/f1/std,test/micro/precision/std,test_incremental_only/macro_example/recall/std,test_incremental_only/macro_example_exclusive/f1/std,epoch/std,test_incremental/macro_types/f1/std,test_pretraining/macro_example/f1/std,test/micro/recall/std,threshold_pretraining/std,test_incremental/macro_types/precision/std,test/macro_types/recall/std,test_incremental/micro/precision/std,test_incremental/macro_example/f1/std,test_pretraining/macro_example/precision/std,test_incremental_EVENT-WAR/macro_types/f1/std
no_init_box_kenn_bottom_up_adapter_bert_ms,0.5000000347693762,0.6453900933265686,0.942307690779368,0.7777777910232544,0.7640853921572367,0.8010744651158651,0.5987797280152639,0.8186047077178955,0.8340990543365479,0.8225365479787191,0.5000000347693762,0.8424442410469055,0.8259503444035848,0.6158085962136587,0.028275211652119953,0.08152686059474945,0.7272727489471436,0.8295806447664896,0.8322197596232096,0.07068802913029988,0.8523945609728495,0.2777777860562007,0.7222222089767456,0.8452296853065491,0.4999999900658925,0.028275211652119953,0.5000000099341074,0.8225365479787191,0.8270795543988546,0.9202127854029337,0.8203701575597128,1.0,0.02666666666666667,0.8270795543988546,0.936170220375061,0.7978723645210266,0.766233762105306,0.8424442410469055,0.5555555621782938,0.8295806447664896,0.8010744651158651,0.028275211652119953,0.5000000347693762,41.666666666666664,0.6958522001902262,0.8340990543365479,0.8452296853065491,0.17499999999999996,0.760942816734314,0.8322197596232096,0.7660178740819296,0.07551845908164978,0.8259503444035848,0.3366524676481883,0.2565800832971776,0.1710534001573532,0.09992601077610891,0.2545875429442587,0.05460450504561409,0.001895071471087645,0.25781946528431654,0.0,0.0027852681185991514,0.005270916639614406,0.2565800832971776,0.007254833126546475,0.0024486741873298214,0.22595432854950204,0.014509712471948346,0.0024487086000875356,0.0,0.026947241539439264,0.0285089058338392,0.007254854663080654,0.0403147349521307,0.30245907015612294,0.2523959114360426,0.010879732092352854,0.25658005861484917,0.014509712471948346,0.2565800837811447,0.005270916639614406,0.028287493932604532,0.027639088130200905,0.18779591957578437,0.0,0.02081665999466133,0.028287493932604532,0.0,0.08188727628876181,0.09996626464835777,0.007254833126546475,0.5091750793851156,0.026947241539439264,0.001895071471087645,0.014509712471948346,0.2565800832971776,12.662279942148386,0.16167951737827316,0.0027852681185991514,0.010879732092352854,0.0,0.16972504163630647,0.0285089058338392,0.01833829174101548,0.003571702306165197,0.0024486741873298214,0.3178502934882054
no_init_box_kenn_horizontal_adapter_bert_ms,0.5166667153437933,0.6565012137095133,0.9345238010088602,0.7722222208976746,0.7663839062054952,0.8008560935656229,0.6078336834907532,0.8186047077178955,0.834166944026947,0.8227521777153015,0.5166667153437933,0.8429154952367147,0.8256361484527588,0.6258815427621206,0.029217717858652275,0.08121269196271896,0.7272727489471436,0.8301675717035929,0.8340716163317362,0.07115928332010905,0.8535842498143514,0.2888888865709305,0.7444444398085276,0.8459363977114359,0.5166666656732559,0.029217717858652275,0.5166666656732559,0.8227521777153015,0.8264622489611307,0.9166666666666666,0.8374344905217489,1.0,0.03,0.8264622489611307,0.936170220375061,0.8031915028889974,0.7727272709210714,0.8429154952367147,0.5444444417953491,0.8301675717035929,0.8008560935656229,0.029217717858652275,0.5166667352120081,42.0,0.6999247868855795,0.834166944026947,0.8459363977114359,0.17499999999999996,0.7572391231854757,0.8340716163317362,0.7646882732709249,0.07562385996182759,0.8256361484527588,0.3372372289498647,0.2619372426268441,0.17462482114883696,0.11340810333914408,0.2529456093805052,0.05286015846386298,0.002216772887537173,0.25254609287870355,0.0,0.0026421927415796738,0.005117703887929846,0.2619372426268441,0.0074063283116358744,0.00299287753769289,0.21594286485315392,0.014812661097267088,0.00299286463290875,0.0,0.026654327584527248,0.02910414823580757,0.007406327126447275,0.03837119699944193,0.3203007802051138,0.24113926444868963,0.01110686991722962,0.26193722650849494,0.014812661097267088,0.26193722650849494,0.005117703887929846,0.02810505047215905,0.03378114595108744,0.174385924375057,0.0,0.03464101615137754,0.02810505047215905,0.0,0.08359696423660164,0.10205346949099639,0.0074063283116358744,0.5058912187610104,0.026654327584527248,0.002216772887537173,0.014812661097267088,0.26193726917471377,14.422205101855956,0.15938666234034515,0.0026421927415796738,0.01110686991722962,0.0,0.16863042589051522,0.02910414823580757,0.019516604673572878,0.0033995182643856456,0.00299287753769289,0.3186647452253206
no_init_box_kenn_hybrid_adapter_bert_ms,0.49444448451201123,0.6416863799095154,0.942307690779368,0.7756410241127014,0.7627754608790079,0.8010305166244507,0.5932867228984833,0.8186047077178955,0.8340220848719279,0.8224018414815267,0.49444448451201123,0.8422871828079224,0.8259503444035848,0.611232986052831,0.027961043020089466,0.08152686059474945,0.7272727489471436,0.8291452129681905,0.8316024939219157,0.07053094357252121,0.8513828118642172,0.25555555522441864,0.7333333293596903,0.8449941078821818,0.49444443980852765,0.027961043020089466,0.49444445967674255,0.8224018414815267,0.8268421292304993,0.9202127854029337,0.8268636663754781,1.0,0.13,0.8268421292304993,0.936170220375061,0.7960993051528931,0.7640692591667175,0.8422871828079224,0.5512820482254028,0.8291452129681905,0.8010305166244507,0.027961043020089466,0.49444448451201123,41.666666666666664,0.6927340428034464,0.8340220848719279,0.8449941078821818,0.17499999999999996,0.7595183054606119,0.8316024939219157,0.7655570308367411,0.07542882363001506,0.8259503444035848,0.3134920398394267,0.2545875510735089,0.16972502212610854,0.09992601077610891,0.25391413184902567,0.05372485142055566,0.001820755288943005,0.25365332681907365,0.0,0.0027187916558934293,0.005179869278117079,0.2545875510735089,0.0071985223189872365,0.0024486741873298214,0.22280309555633207,0.014397034069879175,0.0024487086000875356,0.0,0.02656615287355076,0.028287519946186224,0.007198515002627217,0.039541151645466906,0.2873892677028487,0.2603416479775764,0.010795240649060971,0.25458752668575846,0.014397034069879175,0.2545875526993577,0.005179869278117079,0.028212668024475845,0.027639088130200905,0.192671045707313,0.0,0.11789826122551597,0.028212668024475845,0.0,0.08125135843683412,0.09918995306336077,0.0071985223189872365,0.5078282636980513,0.02656615287355076,0.001820755288943005,0.014397034069879175,0.2545875510735089,12.662279942148386,0.15907685404660143,0.0027187916558934293,0.010795240649060971,0.0,0.16927610144223842,0.028287519946186224,0.0175438830872033,0.00350316708095879,0.0024486741873298214,0.3040573199905635
no_init_box_kenn_top_down_adapter_bert_ms,0.5277778108914694,0.6639086008071899,0.8397435943285624,0.7941595514615377,0.7650620539983114,0.7998619675636292,0.6269572774569193,0.8186047077178955,0.8343024055163065,0.822465976079305,0.5277778108914694,0.8432296713193258,0.825583835442861,0.6366220315297445,0.029846056674917538,0.08152686059474945,0.7272727489471436,0.8320267995198568,0.835306187470754,0.07147345195213954,0.8580550948778788,0.2777777773638566,0.7777777711550394,0.8464075525601705,0.5277777711550394,0.029846056674917538,0.5277777910232544,0.822465976079305,0.8288997411727905,0.9202127854029337,0.8664480447769165,1.0,0.14333333333333334,0.8288997411727905,0.936170220375061,0.8067376017570496,0.7770562767982483,0.8432296713193258,0.5883190855383873,0.8320267995198568,0.7998619675636292,0.029846056674917538,0.5277778108914694,41.666666666666664,0.711370050907135,0.8343024055163065,0.8464075525601705,0.17499999999999996,0.7718639771143595,0.835306187470754,0.7551368872324625,0.07601995766162872,0.825583835442861,0.3456010731558005,0.21103801195462094,0.1406919776340712,0.15424626598337393,0.22402632967505476,0.05292271651610665,0.0032292991388011777,0.20674662172080419,0.0,0.0024331286652272285,0.005392526742165432,0.21103801195462094,0.005967168427711179,0.0022010324000593267,0.19011231072030588,0.011934289218819548,0.0024487086000875356,0.0,0.022399397681636495,0.023448663723567912,0.005967142439657006,0.03052458165412237,0.26943012262095095,0.18358568118185226,0.008948601031359936,0.2110379797883431,0.011934289218819548,0.2110380064628174,0.005392526742165432,0.024891803690953663,0.027639088130200905,0.12423553541426904,0.0,0.17387735140993302,0.024891803690953663,0.0,0.06735259035823206,0.08222259426575346,0.005967168427711179,0.44805268712400287,0.022399397681636495,0.0032292991388011777,0.011934289218819548,0.21103801195462094,12.662279942148386,0.13294676122601992,0.0024331286652272285,0.008948601031359936,0.0,0.14935092296076774,0.023448663723567912,0.03305372047688631,0.0027043375105361886,0.0022010324000593267,0.279376193437179
no_init_kenn_bottom_up_adapter_bert_ms,0.888888955116272,0.9301024675369263,0.6197346349557241,0.638370136419932,0.7768241167068481,0.7755230069160461,0.7354635000228882,0.8235293626785278,0.8308926224708557,0.8204807837804159,0.9111111561457316,0.8586239417394003,0.8049481312433878,0.7216310302416483,0.05087790389855703,0.07953712344169617,0.7165354490280151,0.8367284337679545,0.8855058352152506,0.08419729520877202,0.9226107994715372,0.8888888756434122,0.9333333174387614,0.8711425264676412,0.9111110965410868,0.050267044454813004,0.9111110965410868,0.8204807837804159,0.7933144172032675,0.8977541526158651,0.7453669110933939,0.673378715912501,0.19333333333333336,0.7933144172032675,0.9680851101875304,0.9503545959790546,0.9458874265352885,0.8586239417394003,0.6033615469932556,0.8367284337679545,0.7755230069160461,0.05152371898293495,0.8996910254160563,43.0,0.7686194976170858,0.8308926224708557,0.8711425264676412,0.25,0.664425253868103,0.8855058352152506,0.6638364791870117,0.0817393163839976,0.8049481312433878,0.7158995469411215,0.01734723352396079,0.03207499583678055,0.1975747253305306,0.19763911070509332,0.061199840004254526,0.016511210825616136,0.12527125818577356,0.0,0.004785242208890924,0.00842621128340582,0.0481125109615495,0.0013604051376345408,0.010094712084761237,0.13132344966401707,0.001811096169238903,0.00435703372277648,0.0,0.010295859018063814,0.005345849845842259,0.001360392232850392,0.020999904284594525,0.06938885774078345,0.033333331346516254,0.002040125927843923,0.04811251096154957,0.0009809912390949787,0.04811251096154957,0.00842621128340582,0.021959894362443624,0.04917884940621379,0.22681498755277357,0.3314984890467626,0.17897858344878398,0.021959894362443624,0.0,0.015355075726700945,0.01874514531383682,0.0013604051376345408,0.07021343988332751,0.010295859018063814,0.016511210825616136,0.0027207833903027476,0.032026263505766754,2.6457513110645907,0.08095752398996232,0.004785242208890924,0.002040125927843923,0.0,0.1317594256852481,0.005345849845842259,0.09481171619645941,0.0018605006530965917,0.010094712084761237,0.04513135040604493
no_init_kenn_horizontal_adapter_bert_ms,0.8750000397364298,0.9078802466392517,0.7065015633900961,0.7178317308425903,0.8066866199175516,0.7842158277829488,0.7866949240366617,0.8235293626785278,0.8329103191693624,0.8247562448183695,0.8777778148651123,0.8576814333597819,0.809535006682078,0.7805111606915792,0.04955978194872538,0.08089852581421535,0.7165354490280151,0.8400545517603556,0.8818021217981974,0.08325478931268056,0.9259214202562968,0.8333333333333334,0.9222222169240316,0.8697290817896525,0.8777777751286825,0.04948162039120992,0.8777777751286825,0.8247562448183695,0.8021434744199117,0.9131205876668295,0.8578770160675049,0.814814825852712,0.24666666666666667,0.8021434744199117,0.9680851101875304,0.9397163192431132,0.9329004089037577,0.8576814333597819,0.6208486358324686,0.8400545517603556,0.7842158277829488,0.049638704707225166,0.8763822118441263,37.0,0.8000888228416443,0.8329103191693624,0.8697290817896525,0.25,0.7173996766408285,0.8818021217981974,0.711062490940094,0.08203261593977611,0.809535006682078,0.711112380027771,0.022047974150980934,0.012829988010919495,0.08458530275851557,0.09984173004572396,0.017785642741511502,0.004414819015672035,0.0537559995828465,0.0,0.0014657346581731468,0.0021658897781874197,0.019245059445032162,0.0005441345248476402,0.003153459554242649,0.04568488305126198,0.0011627058370828228,0.0031884674173324754,0.0,0.005417042114760904,0.0021383399383368986,0.0005441517312265003,0.016230638499349404,0.03333333134651628,0.0192450250322745,0.0008160641362406403,0.019244990619516757,0.0012468202171761883,0.019244990619516757,0.0021658897781874197,0.011093531971276183,0.0359889924676917,0.08518451449058477,0.1697250156227053,0.12423096769056148,0.011093531971276183,0.0,0.006142023408128898,0.007498058125534693,0.0005441345248476402,0.03216703440133839,0.005417042114760904,0.004414819015672035,0.0010883142164397862,0.020560536450266235,9.848857801796104,0.037472247228802866,0.0014657346581731468,0.0008160641362406403,0.0,0.06656112549259477,0.0021383399383368986,0.030951763116778514,0.001437969086845044,0.003153459554242649,0.02481230223149702
no_init_kenn_hybrid_adapter_bert_ms,0.9000000754992167,0.9375098745028178,0.5933429002761841,0.6086771686871847,0.763841450214386,0.771451493104299,0.7103951176007589,0.8235293626785278,0.8297678828239441,0.8183510104815165,0.9222222765286764,0.8589380979537964,0.802591860294342,0.700454572836558,0.0515062560637792,0.07655251771211624,0.7165354490280151,0.835378885269165,0.8867403864860535,0.08451146632432938,0.9047491947809855,0.9111110965410868,0.9333333174387614,0.8716136614481608,0.9222222169240316,0.05089538171887398,0.9222221970558167,0.8183510104815165,0.7900152007738749,0.8640662233034769,0.7474319636821747,0.6800569891929626,0.33666666666666667,0.7900152007738749,0.9680851101875304,0.9539007147153219,0.9502164324124655,0.8589380979537964,0.5372973382472992,0.835378885269165,0.771451493104299,0.05215205748875936,0.9108023842175802,40.666666666666664,0.7544508973757426,0.8297678828239441,0.8716136614481608,0.25,0.6446299354235331,0.8867403864860535,0.6456952889760336,0.0801568552851677,0.802591860294342,0.665833314259847,0.014433777377395252,0.027962332303920853,0.22776930798760245,0.23853891666159827,0.0811655604046633,0.022111393373774324,0.1677791597847358,0.0,0.0063257664010839066,0.011747796607229546,0.041943512271834064,0.0011859768616910458,0.012817677904897372,0.1633690640513163,0.001508157498584157,0.007775815224456501,0.0,0.012789960792073188,0.004660407796613199,0.001185962058578027,0.04248036541264031,0.050917491680013,0.033333331346516254,0.0017785429188804372,0.04194351227183411,0.0008162340492318268,0.04194351621924535,0.011747796607229546,0.026504310699009277,0.08776745435508677,0.23857855822304855,0.340473954522154,0.33501243758005966,0.026504310699009277,0.0,0.013386241514717451,0.016341638820999947,0.0011859768616910458,0.13876481354039064,0.012789960792073188,0.022111393373774324,0.0023719231302928487,0.026669310012002758,1.154700538379251,0.10488236751659197,0.0063257664010839066,0.0017785429188804372,0.0,0.1590259541623299,0.004660407796613199,0.11816630493683145,0.003763573201100554,0.012817677904897372,0.09543367146005347
no_init_kenn_top_down_adapter_bert_ms,0.8861111601193746,0.9226950605710348,0.6265418827533722,0.6445630093415579,0.7783900300661722,0.7763785123825073,0.7359243035316467,0.8235293626785278,0.8306644757588705,0.8207579255104065,0.9000000357627869,0.8583097656567892,0.8047910531361898,0.7235473195711771,0.050493862479925156,0.07948476076126099,0.7165354490280151,0.8365598718325297,0.884271244208018,0.08388312657674153,0.9206889867782593,0.8777777552604675,0.9222222169240316,0.8706713716189066,0.899999996026357,0.0501099576552709,0.899999996026357,0.8207579255104065,0.7940025130907694,0.8971631328264872,0.7656502525011698,0.7037290533383688,0.39333333333333337,0.7940025130907694,0.9680851101875304,0.9468084971110026,0.9415584206581116,0.8583097656567892,0.5853969852129618,0.8365598718325297,0.7763785123825073,0.05089538047711054,0.8928998907407125,48.333333333333336,0.7688470880190531,0.8306644757588705,0.8706713716189066,0.25,0.6685538490613302,0.884271244208018,0.6678787271181742,0.0815690482656161,0.8047910531361898,0.6982131997744242,0.020971801531177038,0.029397246301616692,0.19224595775928605,0.19611106409100607,0.0580756787802175,0.01563655901792076,0.12313860938243402,0.0,0.004558306777289015,0.007951964573594662,0.04409586945242499,0.0012468026168507877,0.009616495679681756,0.12496297803914344,0.0018154885233727172,0.004223796217378399,0.0,0.01004858737129968,0.004899518521835118,0.0012468166971087195,0.020541204192337563,0.07698003130358241,0.0192450250322745,0.0018698040454848354,0.04409584692398301,0.0011859625520001629,0.04409584692398301,0.007951964573594662,0.02179011655370041,0.0476749487888042,0.2251592371337962,0.32603525795014976,0.310859024854247,0.02179011655370041,0.0,0.014073132329757522,0.01718020946272067,0.0012468026168507877,0.07824995722633586,0.01004858737129968,0.01563655901792076,0.0024936404343523753,0.03210389187523289,10.96965511460289,0.0795760327047231,0.004558306777289015,0.0018698040454848354,0.0,0.13074070016630476,0.004899518521835118,0.09104987383280498,0.0018198633674330795,0.009616495679681756,0.04469211649277818
smart_init_box_adapter_bert_ms,0.46388890345891315,0.897241989771525,0.23302695651849112,0.23441470166047415,0.5518919130166372,0.7170551220575968,0.3607610762119293,0.8186047077178955,0.8218665917714437,0.7821446259816488,0.8777778148651123,0.8531259695688883,0.7929154833157858,0.3594304124514262,0.03426346369087696,0.05178553114334742,0.7272727489471436,0.8168032169342041,0.8741950591405233,0.08136977503697078,0.7080877621968588,0.9444444378217062,0.8111110925674438,0.8612485329310099,0.8777777751286825,0.026233112439513206,0.8777777751286825,0.7821446259816488,0.7667058904965719,0.5845153530438741,0.3172301451365153,0.2019176334142685,0.14333333333333334,0.7667058904965719,0.936170220375061,0.9184397260348002,0.9134199023246765,0.8531259695688883,0.26691176493962604,0.8168032169342041,0.7170551220575968,0.04963870346546173,0.6058922608693441,24.0,0.5477799574534098,0.8218665917714437,0.8612485329310099,0.17499999999999996,0.39870070417722064,0.8741950591405233,0.40226003527641296,0.06273350988825162,0.7929154833157858,0.40418514609336853,0.04110735221846155,0.11239995244826566,0.061005130827649245,0.06334311648071199,0.06861829080050098,0.03519398639052307,0.05677590984813497,0.0,0.0038443305234982777,0.017837763360071954,0.16859987564332216,0.004767209764343739,0.01122902566253267,0.05461607982912208,0.004331684445249935,0.00929899650945623,0.0,0.004419512608726551,0.01873330249424655,0.00476720387221354,0.05694503371541386,0.06938885774078346,0.26943010956253843,0.007149093165603073,0.16859989430170186,0.0023246388008111387,0.16859989430170186,0.017837763360071954,0.007038101766498891,0.10495995372619465,0.028160342123914526,0.017925709552246826,0.20550750189064468,0.007038101766498891,0.0,0.0538084984883437,0.06568826143941374,0.004767209764343739,0.11597385997142669,0.004419512608726551,0.03519398639052307,0.009534396819455249,0.07659858718901484,3.605551275463989,0.016975605590557965,0.0038443305234982777,0.007149093165603073,0.0,0.042228736472744416,0.01873330249424655,0.08841431360612387,0.005045083021785236,0.01122902566253267,0.12513377222019673
smart_init_classifier_adapter_bert_ms,0.4138889014720917,0.811583936214447,0.2732098400592804,0.27182649572690326,0.6104736924171448,0.7382343610127767,0.39154388507207233,0.8235293626785278,0.8185627063115438,0.7958875298500061,0.7333333889643351,0.8535972237586975,0.7863598068555196,0.39292438824971515,0.02982803558309873,0.05524138857920965,0.7165354490280151,0.8051067193349203,0.8657527367273966,0.0791705921292305,0.728823165098826,0.8555555542310079,0.6111111044883728,0.8636042475700378,0.7333333293596903,0.023405591025948524,0.7333333293596903,0.7958875298500061,0.75258735815684,0.6235224405924479,0.3204384545485179,0.22151970863342285,0.17333333333333334,0.75258735815684,0.9680851101875304,0.8936170140902201,0.8766233722368876,0.8535972237586975,0.3221332828203837,0.8051067193349203,0.7382343610127767,0.04147030909856161,0.5274591147899628,18.0,0.5507973829905192,0.8185627063115438,0.8636042475700378,0.25,0.4200628201166789,0.8657527367273966,0.47163363297780353,0.06457057222723961,0.7863598068555196,0.46246636907259625,0.061425960046125924,0.14185717126855657,0.008130412436568089,0.008241205237798215,0.012972331116188009,0.015068451993237262,0.023220323966438486,0.0,0.0013280110486876366,0.004985148409596958,0.21278573472699916,0.006016590183413822,0.007500450378759876,0.022502500256099706,0.005958826579535047,0.007917330727888602,0.0,0.009749437274502084,0.023642891056820294,0.006016561004687248,0.041416234920363955,0.1170627983550979,0.3150543563048031,0.009022738888070486,0.21278573472699921,0.003473664505475258,0.21278573472699921,0.004985148409596958,0.0009156673657992973,0.08936475930459756,0.08460745658579688,0.03804120125372629,0.14502873278538062,0.0009156673657992973,0.0,0.0679103557700938,0.08290353810353383,0.006016590183413822,0.052240447694899585,0.009749437274502084,0.015068451993237262,0.012033125219033687,0.10537187601913844,1.0,0.028270704077913898,0.0013280110486876366,0.009022738888070486,0.0,0.005494131134551306,0.023642891056820294,0.03825599194603875,0.0036692974700448973,0.007500450378759876,0.038096923329682876
