name,instance,run_id,test_pretraining/macro_example/recall,threshold_pretraining,test_incremental_FACILITY-ATTRACTION/macro_types/recall,test_incremental_only/macro_types/recall,test_pretraining/macro_types/f1,test_incremental_FACILITY-BUILDING/macro_types/recall,test_incremental_only/macro_types/f1,test_incremental/micro/recall,test_incremental_FACILITY/macro_types/precision,test_incremental_FACILITY-BUILDING/macro_types/precision,test_incremental/macro_types/precision,test_incremental_FACILITY-AIRPORT/macro_types/f1,test_incremental/macro_example/f1,test_incremental_only/micro/precision,test_incremental/micro/precision,test/micro/f1,test_incremental_only/macro_example/recall,test_incremental/macro_example_exclusive/f1,test_incremental_FACILITY-AIRPORT/macro_types/recall,test/macro_types/precision,test_pretraining/micro/recall,test_incremental_FACILITY-HIGHWAY_STREET/macro_types/recall,test_pretraining/macro_types/precision,test_incremental/macro_types/f1,test/macro_example/f1,test_pretraining/macro_example/f1,test_incremental/macro_example_exclusive/precision,test_incremental_FACILITY-ATTRACTION/macro_types/f1,test_incremental_FACILITY-BUILDING/macro_types/f1,test_incremental_FACILITY-HIGHWAY_STREET/macro_types/f1,test/micro/precision,test_pretraining/micro/precision,test_incremental_FACILITY/macro_types/recall,test_incremental_FACILITY-HIGHWAY_STREET/macro_types/precision,test_incremental_only/macro_example_exclusive/precision,test_pretraining/micro/f1,test_incremental_only/micro/f1,test_pretraining/macro_types/recall,test_incremental_FACILITY-AIRPORT/macro_types/precision,test_incremental/macro_example/recall,test_incremental/macro_types/recall,test_pretraining/macro_example/precision,test_incremental_only/macro_example/precision,test_incremental_only/micro/recall,test/macro_types/f1,test_incremental/micro/f1,test_incremental_only/macro_example/f1,test/macro_example/precision,test_incremental/macro_example_exclusive/recall,test/macro_example/recall,test_incremental_only/macro_example_exclusive/f1,test_incremental_FACILITY/macro_types/f1,test_incremental/macro_example/precision,test_incremental_only/macro_types/precision,epoch,test/macro_types/recall,test_incremental_FACILITY-ATTRACTION/macro_types/precision,threshold_incremental,test_incremental_only/macro_example_exclusive/recall,test/micro/recall
no_init_box_kenn_horizontal_adapter_bert_ms,2,wj8omuqw,0.8683632016181946,0.175,1.0,1.0,0.7709563374519348,1.0,0.07920343428850174,0.8250728845596313,0.9557521939277648,0.05655042454600334,0.22413818538188937,0.05499541386961937,0.07579874247312546,0.041234683245420456,0.06495294719934464,0.37074926495552063,0.1366635262966156,0.4787051975727082,1.0,0.6748408079147339,0.8764705657958984,1.0,0.6748408079147339,0.36111146211624146,0.36560332775115967,0.36560332775115967,0.3494047522544861,0.09856630116701126,0.10704728215932846,0.05499541386961937,0.2350981831550598,0.2350981831550598,0.6428571343421936,0.02827521227300167,0.3017241358757019,0.37074926495552063,0.07920343428850174,0.8989978432655334,0.02827521227300167,0.12032672762870789,0.9285714626312256,0.23154482245445251,0.041234683245420456,1.0,0.7709563374519348,0.12042552977800368,0.06335394829511642,0.23154482245445251,0.7599207162857056,0.8683632016181946,0.46357613801956177,0.7686832547187805,0.05532516539096832,0.041234683245420456,36,0.8989978432655334,0.05183788761496544,0.0,1.0,0.8764705657958984
no_init_box_kenn_horizontal_adapter_bert_ms,1,pkho25x3,0.8197455406188965,0.175,0.072727270424366,0.2640151381492615,0.803684651851654,0.25,0.4162667989730835,0.43440234661102295,0.9557521939277648,1.0,0.9778171181678772,0.4210526645183563,0.07891540229320526,0.976190447807312,0.9612902998924256,0.796174168586731,0.031573984771966934,0.498388409614563,0.2666666805744171,0.8632605075836182,0.7888888716697693,0.46666666865348816,0.8632605075836182,0.504319965839386,0.8233036994934082,0.8233036994934082,0.6458333730697632,0.1355932056903839,0.4000000059604645,0.6222222447395325,0.8035951852798462,0.8035951852798462,0.6428571343421936,0.9333333373069764,0.2827586233615875,0.796174168586731,0.3778801858425141,0.7518008351325989,1.0,0.06424756348133087,0.33978354930877686,0.8268928527832031,0.03864279016852379,0.2342857122421265,0.803684651851654,0.5983936190605164,0.03475257381796837,0.8268928527832031,0.4057539999485016,0.8197455406188965,0.2542929947376251,0.7686832547187805,0.1022620126605034,0.9833333492279052,50,0.7518008351325989,1.0,0.02,0.2310344874858856,0.7888888716697693
no_init_box_kenn_horizontal_adapter_bert_ms,0,vlsnpswu,0.8148758411407471,0.175,0.0,0.19166666269302368,0.7516778111457825,0.0,0.27710843086242676,0.3819242119789123,0.9557521939277648,0.0,0.5911504626274109,0.46153849363327026,0.07399328798055649,1.0,0.963235318660736,0.7892465591430664,0.021677661687135696,0.4673028588294983,0.30000001192092896,0.7665938138961792,0.7771241664886475,0.46666666865348816,0.7665938138961792,0.3817585110664368,0.8210724592208862,0.8210724592208862,0.6428571939468384,0.0,0.0,0.6363636255264282,0.8017532229423523,0.8017532229423523,0.6428571343421936,1.0,0.158620685338974,0.7892465591430664,0.23232322931289673,0.7373311519622803,1.0,0.058121271431446075,0.28190475702285767,0.8273640871047974,0.021677661687135696,0.1314285695552826,0.7516778111457825,0.5469728708267212,0.021677661687135696,0.8273640871047974,0.3670635223388672,0.8148758411407471,0.158620685338974,0.7686832547187805,0.10179075598716736,0.5,30,0.7373311519622803,0.0,0.02,0.158620685338974,0.7771241664886475
no_init_box_kenn_hybrid_adapter_bert_ms,2,jtvfq3he,0.8683632016181946,0.175,1.0,1.0,0.7709563374519348,1.0,0.07920343428850174,0.8250728845596313,0.9557521939277648,0.05655042454600334,0.22413817048072815,0.05499541386961937,0.07579874247312546,0.041234683245420456,0.06495294719934464,0.37074926495552063,0.1366635262966156,0.4787051975727082,1.0,0.6748408079147339,0.8764705657958984,1.0,0.6748408079147339,0.36111143231391907,0.36560332775115967,0.36560332775115967,0.3494047522544861,0.09856630116701126,0.10704728215932846,0.05499541386961937,0.2350981831550598,0.2350981831550598,0.6428571343421936,0.02827521227300167,0.3017241358757019,0.37074926495552063,0.07920343428850174,0.8989978432655334,0.02827521227300167,0.12032672762870789,0.9285714626312256,0.23154482245445251,0.041234683245420456,1.0,0.7709563374519348,0.12042552977800368,0.06335394829511642,0.23154482245445251,0.7599207162857056,0.8683632016181946,0.46357613801956177,0.7686832547187805,0.05532516539096832,0.041234683245420456,38,0.8989978432655334,0.05183788761496544,0.0,1.0,0.8764705657958984
no_init_box_kenn_top_down_adapter_bert_ms,2,zv8e8bwl,0.8683632016181946,0.175,1.0,1.0,0.7709563374519348,1.0,0.07920343428850174,0.8250728845596313,0.9557521939277648,0.05655042454600334,0.22413817048072815,0.05499541386961937,0.07579874247312546,0.041234683245420456,0.06495294719934464,0.37074926495552063,0.1366635262966156,0.4787051975727082,1.0,0.6748408079147339,0.8764705657958984,1.0,0.6748408079147339,0.36111143231391907,0.36560332775115967,0.36560332775115967,0.3494047522544861,0.09856630116701126,0.10704728215932846,0.05499541386961937,0.2350981831550598,0.2350981831550598,0.6428571343421936,0.02827521227300167,0.3017241358757019,0.37074926495552063,0.07920343428850174,0.8989978432655334,0.02827521227300167,0.12032672762870789,0.9285714626312256,0.23154482245445251,0.041234683245420456,1.0,0.7709563374519348,0.12042552977800368,0.06335394829511642,0.23154482245445251,0.7599207162857056,0.8683632016181946,0.46357613801956177,0.7686832547187805,0.05532516539096832,0.041234683245420456,38,0.8989978432655334,0.05183788761496544,0.0,1.0,0.8764705657958984
no_init_box_kenn_bottom_up_adapter_bert_ms,2,a7kfrtio,0.8683632016181946,0.175,1.0,1.0,0.7709563374519348,1.0,0.07920343428850174,0.8250728845596313,0.9557521939277648,0.05655042454600334,0.22413818538188937,0.05499541386961937,0.07579874247312546,0.041234683245420456,0.06495294719934464,0.37074926495552063,0.1366635262966156,0.4787051975727082,1.0,0.6748408079147339,0.8764705657958984,1.0,0.6748408079147339,0.36111146211624146,0.36560332775115967,0.36560332775115967,0.3494047522544861,0.09856630116701126,0.10704728215932846,0.05499541386961937,0.2350981831550598,0.2350981831550598,0.6428571343421936,0.02827521227300167,0.3017241358757019,0.37074926495552063,0.07920343428850174,0.8989978432655334,0.02827521227300167,0.12032672762870789,0.9285714626312256,0.23154482245445251,0.041234683245420456,1.0,0.7709563374519348,0.12042552977800368,0.06335394829511642,0.23154482245445251,0.7599207162857056,0.8683632016181946,0.46357613801956177,0.7686832547187805,0.05532516539096832,0.041234683245420456,38,0.8989978432655334,0.05183788761496544,0.0,1.0,0.8764705657958984
no_init_box_kenn_hybrid_adapter_bert_ms,1,x8rj1zi2,0.8169180154800415,0.175,0.05454545468091965,0.21780303120613095,0.7997957468032837,0.05000000074505806,0.3576982915401459,0.3994169235229492,0.9557521939277648,1.0,0.9911504983901978,0.46153849363327026,0.07639267295598984,1.0,0.9647887349128724,0.7916528582572937,0.02591894380748272,0.48245614767074585,0.30000001192092896,0.8665938377380371,0.7810457348823547,0.46666666865348816,0.8665938377380371,0.46389853954315186,0.8222241997718811,0.8222241997718811,0.6547619104385376,0.1034482792019844,0.0952381044626236,0.6363636255264282,0.8025520443916321,0.8025520443916321,0.6428571343421936,1.0,0.19999998807907104,0.7916528582572937,0.28431370854377747,0.7425584197044373,1.0,0.06047753244638443,0.302813857793808,0.8275997638702393,0.02733270451426506,0.16571427881717682,0.7997957468032837,0.5649484992027283,0.026607058942317963,0.8275997638702393,0.381944477558136,0.8169180154800415,0.1946902573108673,0.7686832547187805,0.10367577522993088,1.0,43,0.7425584197044373,1.0,0.01,0.18965516984462735,0.7810457348823547
no_init_box_kenn_top_down_adapter_bert_ms,1,yv77gbkz,0.8204523921012878,0.175,0.05454545468091965,0.280303031206131,0.8069904446601868,0.2666666805744171,0.4378698468208313,0.4402332305908203,0.9557521939277648,1.0,0.9911504983901978,0.5,0.08020735532045364,1.0,0.9679487347602844,0.7972303628921509,0.032987747341394424,0.5065476298332214,0.3333333432674408,0.8665938377380371,0.7901960611343384,0.46666666865348816,0.8665938377380371,0.5203882455825806,0.8241273760795593,0.8241273760795593,0.660714328289032,0.1034482792019844,0.4210526645183563,0.6363636255264282,0.8043912053108215,0.8043912053108215,0.6428571343421936,1.0,0.2965517044067383,0.7972303628921509,0.39449542760849,0.7550584077835083,1.0,0.06503298878669739,0.35281386971473694,0.8278353810310364,0.04052780568599701,0.24571429193019867,0.8069904446601868,0.6052104234695435,0.03637110814452171,0.8278353810310364,0.410714328289032,0.8204523921012878,0.26613613963127136,0.7686832547187805,0.10461828112602234,1.0,63,0.7550584077835083,1.0,0.05,0.24137930572032928,0.7901960611343384
no_init_box_kenn_bottom_up_adapter_bert_ms,1,24tb9nui,0.8204523921012878,0.175,0.05454545468091965,0.280303031206131,0.8069904446601868,0.2666666805744171,0.4378698468208313,0.4402332305908203,0.9557521939277648,1.0,0.9911504983901978,0.5,0.08020735532045364,1.0,0.9679487347602844,0.7972303628921509,0.032987747341394424,0.5065476298332214,0.3333333432674408,0.8665938377380371,0.7901960611343384,0.46666666865348816,0.8665938377380371,0.5203882455825806,0.8241273760795593,0.8241273760795593,0.660714328289032,0.1034482792019844,0.4210526645183563,0.6363636255264282,0.8043912053108215,0.8043912053108215,0.6428571343421936,1.0,0.2965517044067383,0.7972303628921509,0.39449542760849,0.7550584077835083,1.0,0.06503298878669739,0.35281386971473694,0.8278353810310364,0.04052780568599701,0.24571429193019867,0.8069904446601868,0.6052104234695435,0.03637110814452171,0.8278353810310364,0.410714328289032,0.8204523921012878,0.26613613963127136,0.7686832547187805,0.10461828112602234,1.0,63,0.7550584077835083,1.0,0.01,0.24137930572032928,0.7901960611343384
no_init_box_kenn_hybrid_adapter_bert_ms,0,9q2k6mh6,0.8070216774940491,0.175,0.0,0.05000000074505806,0.7127755880355835,0.0,0.0833333283662796,0.33236151933670044,0.9557521939277648,0.0,0.39115044474601746,0.0,0.06715875118970871,1.0,0.9579831957817078,0.7823764681816101,0.005655042361468077,0.42413949966430664,0.0,0.716593861579895,0.7660130858421326,0.20000000298023224,0.716593861579895,0.23560556769371033,0.8170662522315979,0.8170662522315979,0.6428571939468384,0.0,0.0,0.3333333134651184,0.7994542717933655,0.7994542717933655,0.6428571343421936,1.0,0.04137931019067764,0.7823764681816101,0.06629834324121475,0.7089978456497192,0.0,0.05010996013879776,0.16857144236564636,0.8273640871047974,0.005655042361468077,0.034285712987184525,0.7127755880355835,0.4935064911842346,0.005655042361468077,0.8273640871047974,0.3164682686328888,0.8070216774940491,0.04137931019067764,0.7686832547187805,0.10179075598716736,0.25,29,0.7089978456497192,0.0,0.02,0.04137931019067764,0.7660130858421326
