name,test_incremental_FACILITY-ATTRACTION/macro_types/precision/mean,test_incremental_only/macro_types/f1/mean,test_incremental_FACILITY-BUILDING/macro_types/precision/mean,test/micro/f1/mean,test_incremental_only/micro/precision/mean,test_pretraining/macro_types/f1/mean,test_incremental_FACILITY/macro_types/precision/mean,test_incremental/macro_example/recall/mean,test_incremental_FACILITY-AIRPORT/macro_types/f1/mean,test_pretraining/macro_example/f1/mean,test/micro/recall/mean,test_incremental_FACILITY-AIRPORT/macro_types/precision/mean,test_incremental_FACILITY-HIGHWAY_STREET/macro_types/recall/mean,test/macro_example/f1/mean,test_incremental/macro_types/precision/mean,test_incremental_FACILITY/macro_types/recall/mean,test_incremental_only/macro_example_exclusive/f1/mean,test_pretraining/micro/f1/mean,test_incremental_FACILITY-AIRPORT/macro_types/recall/mean,test_incremental_FACILITY-HIGHWAY_STREET/macro_types/f1/mean,test_pretraining/macro_types/precision/mean,test_incremental/macro_types/f1/mean,test_incremental/micro/precision/mean,test_incremental/micro/f1/mean,test_incremental/macro_example_exclusive/precision/mean,test_incremental/macro_example_exclusive/f1/mean,test_incremental_only/macro_types/precision/mean,test_incremental_only/macro_example/precision/mean,test/macro_types/precision/mean,test_incremental/macro_example/f1/mean,test_incremental_only/macro_example/recall/mean,test_incremental_FACILITY-BUILDING/macro_types/recall/mean,epoch/mean,test/macro_types/recall/mean,test/macro_example/precision/mean,test_incremental_FACILITY/macro_types/f1/mean,test_pretraining/macro_example/recall/mean,test_incremental_only/macro_example/f1/mean,test/macro_types/f1/mean,test_incremental/micro/recall/mean,test_incremental_only/macro_example_exclusive/recall/mean,test_incremental_only/micro/f1/mean,test_incremental/macro_example_exclusive/recall/mean,test_incremental/macro_example/precision/mean,test_incremental_only/macro_types/recall/mean,test/micro/precision/mean,test_pretraining/macro_example/precision/mean,test_pretraining/micro/precision/mean,test_pretraining/macro_types/recall/mean,test_incremental_only/micro/recall/mean,test_incremental_FACILITY-ATTRACTION/macro_types/f1/mean,test_pretraining/micro/recall/mean,test_incremental/macro_types/recall/mean,test_incremental_FACILITY-BUILDING/macro_types/f1/mean,threshold_incremental/mean,test_incremental_FACILITY-HIGHWAY_STREET/macro_types/precision/mean,test_incremental_only/macro_example_exclusive/precision/mean,test_incremental_FACILITY-ATTRACTION/macro_types/recall/mean,threshold_pretraining/mean,test/macro_example/recall/mean,test_incremental_FACILITY-ATTRACTION/macro_types/precision/std,test_incremental_only/macro_types/f1/std,test_incremental_FACILITY-BUILDING/macro_types/precision/std,test/micro/f1/std,test_incremental_only/micro/precision/std,test_pretraining/macro_types/f1/std,test_incremental_FACILITY/macro_types/precision/std,test_incremental/macro_example/recall/std,test_incremental_FACILITY-AIRPORT/macro_types/f1/std,test_pretraining/macro_example/f1/std,test/micro/recall/std,test_incremental_FACILITY-AIRPORT/macro_types/precision/std,test_incremental_FACILITY-HIGHWAY_STREET/macro_types/recall/std,test/macro_example/f1/std,test_incremental/macro_types/precision/std,test_incremental_FACILITY/macro_types/recall/std,test_incremental_only/macro_example_exclusive/f1/std,test_pretraining/micro/f1/std,test_incremental_FACILITY-AIRPORT/macro_types/recall/std,test_incremental_FACILITY-HIGHWAY_STREET/macro_types/f1/std,test_pretraining/macro_types/precision/std,test_incremental/macro_types/f1/std,test_incremental/micro/precision/std,test_incremental/micro/f1/std,test_incremental/macro_example_exclusive/precision/std,test_incremental/macro_example_exclusive/f1/std,test_incremental_only/macro_types/precision/std,test_incremental_only/macro_example/precision/std,test/macro_types/precision/std,test_incremental/macro_example/f1/std,test_incremental_only/macro_example/recall/std,test_incremental_FACILITY-BUILDING/macro_types/recall/std,epoch/std,test/macro_types/recall/std,test/macro_example/precision/std,test_incremental_FACILITY/macro_types/f1/std,test_pretraining/macro_example/recall/std,test_incremental_only/macro_example/f1/std,test/macro_types/f1/std,test_incremental/micro/recall/std,test_incremental_only/macro_example_exclusive/recall/std,test_incremental_only/micro/f1/std,test_incremental/macro_example_exclusive/recall/std,test_incremental/macro_example/precision/std,test_incremental_only/macro_types/recall/std,test/micro/precision/std,test_pretraining/macro_example/precision/std,test_pretraining/micro/precision/std,test_pretraining/macro_types/recall/std,test_incremental_only/micro/recall/std,test_incremental_FACILITY-ATTRACTION/macro_types/f1/std,test_pretraining/micro/recall/std,test_incremental/macro_types/recall/std,test_incremental_FACILITY-BUILDING/macro_types/f1/std,threshold_incremental/std,test_incremental_FACILITY-HIGHWAY_STREET/macro_types/precision/std,test_incremental_only/macro_example_exclusive/precision/std,test_incremental_FACILITY-ATTRACTION/macro_types/recall/std,threshold_pretraining/std,test/macro_example/recall/std
no_init_box_kenn_bottom_up_adapter_bert_ms,0.600000003973643,0.42479489247004193,0.8809523781140646,0.7949842015902201,0.9344262282053629,0.7941526373227438,0.9557521939277648,0.06513771290580432,0.5593649546305338,0.8239846428235372,0.7882352868715922,0.913043479124705,0.522222230831782,0.8239846428235372,0.8699496388435364,0.6428571343421936,0.26400284469127655,0.7949842015902201,0.42222222685813904,0.6808636784553528,0.836293637752533,0.5048227608203888,0.944965640703837,0.5916553735733032,0.6537698904673258,0.5047930578390757,0.8484989802042643,0.037700281788905464,0.836293637752533,0.07992953310410182,0.03471567605932554,0.09444444874922435,39.0,0.7563968102137247,0.8264739910761515,0.7686832547187805,0.8215257922808329,0.036079556991656624,0.7941526373227438,0.4314868748188019,0.2540229956309001,0.3627727230389913,0.41137567162513733,0.10351869215567906,0.28699495395024616,0.8018778363863627,0.8264739910761515,0.8018778363863627,0.7563968102137247,0.22857142984867096,0.1797101447979609,0.7882352868715922,0.3581673999627431,0.16441441078980765,0.03666666666666667,1.0,0.27586205800374347,0.10909090687831242,0.17499999999999996,0.8215257922808329,0.529150264465762,0.06334945594392102,0.20619652962668886,0.002202307092580482,0.11357710439223836,0.012562261026093027,0.0,0.004100277436665127,0.07345348299613313,0.0008212592131810995,0.005882352590586064,0.15061311220543466,0.11706281391301065,0.0008212592131810995,0.10652901516543913,0.0,0.06030416878890769,0.002202307092580482,0.1261979557180213,0.1028413859143313,0.026632244894722226,0.046756644813486556,0.036964619057954,0.018784695603577116,0.008591557914401306,0.021900313742390053,0.1331612261532685,0.008482562378048966,0.026632244894722226,0.0034677181041114476,0.008328440648596148,0.04811252386633372,15.0996688705415,0.012098090485513963,0.002357996570774465,0.0,0.003889475113360028,0.008241377432140885,0.012562261026093027,0.026239067316055298,0.06094123918764203,0.057708958395247104,0.02589520953462889,0.001360392232850383,0.06049035090582389,0.0027163355933304423,0.002357996570774465,0.0027163355933304423,0.012098090485513963,0.051428571343421936,0.20683550564114145,0.005882352590586064,0.04839227734060102,0.06826776203833779,0.04618802153517006,0.0,0.06206896901130914,0.13111095338621293,0.0,0.003889475113360028
no_init_box_kenn_horizontal_adapter_bert_ms,0.8974359035491943,0.4622423052787781,1.0,0.7969531218210856,0.9288522005081177,0.8051417668660482,0.9557521939277648,0.06712744881709416,0.5754214922587076,0.82484104235967,0.7915032704671224,0.8947368462880453,0.5444444417953491,0.82484104235967,0.9432358344395956,0.6428571343421936,0.2942839314540227,0.7969531218210856,0.4333333472410838,0.691051165262858,0.8546152114868164,0.5361854135990143,0.9452914198239645,0.6050779620806376,0.6448413133621216,0.5109491248925527,0.9401066899299622,0.042412816236416497,0.8546152114868164,0.08090429504712422,0.038328620294729866,0.1722222293416659,41.666666666666664,0.7613462805747986,0.8262121478716532,0.7686832547187805,0.8234893878300985,0.040217878917853035,0.8051417668660482,0.44606414437294006,0.28045977652072906,0.39650394519170123,0.4239418109258016,0.10210493206977844,0.3117424249649048,0.8025143543879191,0.8262121478716532,0.8025143543879191,0.7613462805747986,0.25714286665121716,0.16718266904354095,0.7915032704671224,0.37796539068222046,0.28355959554513294,0.07,0.9682539701461792,0.3103448152542114,0.09696969514091809,0.17499999999999996,0.8234893878300985,0.17764622608519018,0.09384182769346573,0.0,0.0054869681372503405,0.07584237412478156,0.006498432481698053,0.0,0.005785178274296393,0.10524187786049043,0.0023046059882527122,0.009803920984283274,0.18232113039403808,0.10183500937362319,0.0023046059882527122,0.04276263877343368,0.0,0.08779174391943682,0.0054869681372503405,0.10000000894069708,0.07560672225402516,0.01069062630046767,0.06575746693234338,0.021930517257611307,0.03927175426821846,0.012390821777027003,0.02767346617844747,0.0534532745686569,0.014137605205178302,0.01069062630046767,0.004381851083799741,0.010392538447292276,0.11344765930777849,12.503332889007368,0.017038366122190507,0.002050110674187718,0.0,0.0049800546800718975,0.011997928660999536,0.006498432481698053,0.04373177886009216,0.07604471573371488,0.10471574225205695,0.03653613659757677,0.0019619896364773373,0.08519191945873686,0.002038033776791816,0.002050110674187718,0.002038033776791816,0.017038366122190507,0.08571428805589686,0.0972662551467295,0.009803920984283274,0.06815354141067095,0.1594233647696031,0.07937253933193772,0.054985736645416006,0.10344827175140378,0.06385244372753957,0.0,0.0049800546800718975
no_init_box_kenn_hybrid_adapter_bert_ms,0.600000003973643,0.4383608301480611,0.8888888955116272,0.7956457734107971,0.9354838728904724,0.7955977320671082,0.9557521939277648,0.06592313448588054,0.5947888890902201,0.824275533358256,0.7893246213595072,0.913043479124705,0.522222230831782,0.824275533358256,0.87153693040212,0.6428571343421936,0.2754674057165782,0.7956457734107971,0.4555555582046509,0.6808636784553528,0.8366904457410177,0.5145931740601858,0.9454410274823507,0.5963398416837057,0.6517857710520426,0.5079152981440226,0.8504830996195475,0.0392711286743482,0.8366904457410177,0.08042390644550323,0.03628652170300484,0.10000000397364299,33.0,0.7586442629496256,0.8263168931007385,0.7686832547187805,0.8222588698069254,0.03764634703596433,0.7955977320671082,0.43634597460428876,0.2655172397692998,0.37520503997802734,0.41633599003156024,0.10320452104012172,0.2982323269049327,0.8020963470141093,0.8263168931007385,0.8020963470141093,0.7586442629496256,0.23809524377187094,0.18730160097281137,0.7893246213595072,0.36715731024742126,0.17222222685813904,0.06,1.0,0.28735631704330444,0.11515151709318161,0.17499999999999996,0.8222588698069254,0.529150264465762,0.060999199797035907,0.19245007825895602,0.002426417477474279,0.1117452100612736,0.013243638938671672,0.0,0.00407916004604616,0.040461212825949944,0.0008354137709595745,0.005930567212379168,0.15061311220543466,0.11706281391301065,0.0008354137709595745,0.10561286905628169,0.0,0.0599901687366888,0.002426417477474279,0.09622503912947801,0.1028413859143313,0.026403217264070432,0.046189177597966584,0.03689877556100168,0.01969412037248526,0.010730832558104107,0.021894773103833143,0.1320160414979751,0.008552094710140103,0.026403217264070432,0.003466841236742455,0.008283880711872678,0.05773502777928152,9.16515138991168,0.011226774680564202,0.0022344064832614183,0.0,0.0038123502931046863,0.008198465481969706,0.013243638938671672,0.026454143776450202,0.06061515961433061,0.05880406829000034,0.025761827037971412,0.0016991318339422638,0.05613393527582537,0.0028196441679459697,0.0022344064832614183,0.0028196441679459697,0.011226774680564202,0.05185013151285265,0.219323515648776,0.005930567212379168,0.044907140685966254,0.08179129616484045,0.08660254037844387,0.0,0.0625777378601948,0.14122643151948322,0.0,0.0038123502931046863
no_init_box_kenn_top_down_adapter_bert_ms,0.8359915018081665,0.5416318674882253,0.799999992052714,0.8001770774523417,0.8800562620162964,0.8088377912839254,0.9557521939277648,0.07225887477397919,0.7042239705721537,0.8266767064730326,0.7986928025881449,0.913043479124705,0.6555555462837219,0.8266767064730326,0.8976240952809652,0.6428571343421936,0.36984601616859436,0.8001770774523417,0.5777777830759684,0.7863465150197347,0.8432122667630514,0.5915159185727438,0.9261936942736307,0.6304096380869547,0.6617064078648885,0.5399660468101501,0.8830920656522115,0.052780394752820335,0.8432122667630514,0.08549885203440984,0.048539113253355026,0.14444444825251898,37.0,0.7772806485493978,0.8251387476921082,0.7686832547187805,0.8282280762990316,0.0505444606145223,0.8088377912839254,0.4781341254711151,0.35517242550849915,0.46798484524091083,0.4563492337862651,0.10477536916732788,0.39141414562861127,0.8016775449117025,0.8251387476921082,0.8016775449117025,0.7772806485493978,0.3199999928474426,0.29761504630247754,0.7986928025881449,0.4417027533054352,0.23223444322745004,0.013333333333333334,0.9833333293596903,0.3862069050470988,0.18787878255049387,0.17499999999999996,0.8282280762990316,0.1100719224436877,0.046942125700216254,0.26457512660077176,0.004538143560885234,0.13398917122219217,0.012722005067097641,0.0,0.0022655022238565986,0.06741034035217143,0.0026665540383439333,0.004575180155890979,0.15061311220543466,0.03849001565179121,0.0026665540383439333,0.08913083201694778,0.0,0.035835535576349935,0.004538143560885234,0.05091749168001303,0.03312196714115786,0.02228273558624207,0.03831791916285853,0.05266715684867692,0.025850190398384737,0.011267700529172364,0.006217931869442249,0.11141354653812711,0.006597549787589597,0.02228273558624207,0.000984555564485507,0.003557885435579195,0.0585314101388049,16.09347693943108,0.0062775376133422465,0.00447091699440712,0.0,0.001870243350062728,0.004897410169755606,0.012722005067097641,0.020408172692571676,0.0260338962058348,0.05541236331638455,0.014307734038118351,0.001784137818369739,0.03138763375826427,0.005739408480963285,0.00447091699440712,0.005739408480963285,0.0062775376133422465,0.04000000229903647,0.16820960590658968,0.004575180155890979,0.025110087812958336,0.06937307740419714,0.005773502691896258,0.028867520342032837,0.048275853906359245,0.12376106971321008,0.0,0.001870243350062728
no_init_kenn_bottom_up_adapter_bert_ms,0.6383478840192159,0.6001393795013428,0.5536410311857859,0.7980782787005106,0.580007920662562,0.797885795434316,0.9732142686843872,0.09016650666793187,0.6902973254521688,0.8194136818250021,0.8363834420839945,0.6588075955708822,0.7555555502573649,0.8194136818250021,0.6676898201306661,0.648809552192688,0.5902696251869202,0.7980782787005106,0.7333333293596903,0.5823993384838104,0.7684077223141988,0.643446127573649,0.7253675858179728,0.6624945998191833,0.6102844079335531,0.588983952999115,0.5913086930910746,0.08116032928228378,0.7684077223141988,0.09326040744781494,0.08027018358310063,0.43888888756434125,35.0,0.8301117817560831,0.7923709154129028,0.7785714268684387,0.848439633846283,0.08066832770903905,0.797885795434316,0.614188532034556,0.5873563090960184,0.5742256740729014,0.569444477558136,0.09663315365711848,0.6213383674621582,0.7633070945739746,0.7923709154129028,0.7633070945739746,0.8301117817560831,0.5809523661931356,0.592156449953715,0.8363834420839945,0.626832644144694,0.48585133751233417,0.07333333333333333,0.5144382119178772,0.5938697258631388,0.5575757622718811,0.25,0.848439633846283,0.12955525176441793,0.06545991777118293,0.19217700220195563,0.012388323601010375,0.1538215438500952,0.013706047708076659,0.0,0.0015942360945845771,0.020573493641530816,0.006805186614349272,0.002641474120486844,0.0456323708684497,0.12619794522222932,0.006805186614349272,0.10723761992498318,0.0,0.013862045181087789,0.012388323601010375,0.08819169384796599,0.11267368647626906,0.026809401640584478,0.046404138037175933,0.11728180287467559,0.05228991743226846,0.025439862753932625,0.013735434097719771,0.13404696246231523,0.0031742478263873173,0.026809401640584478,0.00217487566535263,0.002879406326222204,0.11706282664221047,12.165525060596439,0.0040353465264259735,0.012556576865852598,0.0,0.0010836179319904655,0.001894444734588914,0.013706047708076659,0.011782677517025194,0.021069266311891162,0.08153667048639193,0.010068365129158454,0.004028178510363696,0.020176757995841826,0.0216269837513254,0.012556576865852598,0.0216269837513254,0.0040353465264259735,0.02309399857563816,0.077593293505654,0.002641474120486844,0.01614138610570393,0.13777107575258538,0.05131601439446884,0.21019860445997965,0.02322671874989225,0.05844636813606946,0.0,0.0010836179319904655
no_init_kenn_horizontal_adapter_bert_ms,0.6493748625119528,0.5948909521102905,0.550108939409256,0.7995283404986063,0.5779771010080973,0.7960550785064697,0.9732142686843872,0.08948581169048946,0.672094484170278,0.8197614550590515,0.8350762526194254,0.6283068656921387,0.6777777870496114,0.8197614550590515,0.665152887503306,0.648809552192688,0.5816845695177714,0.7995283404986063,0.7333333293596903,0.5774860680103302,0.7677734891573588,0.6372342308362325,0.7345174153645834,0.6652137041091919,0.6256613930066427,0.5934622685114542,0.5881375074386597,0.07995601495107015,0.7677734891573588,0.09396951893965404,0.0791705921292305,0.4333333373069763,28.333333333333332,0.8265511989593506,0.7935647567113241,0.7785714268684387,0.8477588891983032,0.07949506491422653,0.7960550785064697,0.6083576480547587,0.5793103377024332,0.5730400880177816,0.5651455322901408,0.0990679661432902,0.6035353740056356,0.7669029633204142,0.7935647567113241,0.7669029633204142,0.8265511989593506,0.5695238014062246,0.6023291349411011,0.8350762526194254,0.6125902136166891,0.48063182830810547,0.05333333333333334,0.5247593522071838,0.5850574374198914,0.569696972767512,0.25,0.8477588891983032,0.06222064824562018,0.06446480771894318,0.0720685176467333,0.007844462460482739,0.06830341865197384,0.012754593372147396,0.0,0.006149075003714492,0.020190812872012666,0.004341905263006029,0.010746301640962151,0.04424794837957604,0.019244990619516757,0.004341905263006029,0.04825762542075337,0.0,0.06462167797916712,0.007844462460482739,0.09999999403953701,0.11244680959271006,0.012064392401249372,0.052531916694217445,0.038336657227625554,0.04220039072793965,0.02589519278899147,0.028809020724713516,0.06032203969309171,0.007336028222095684,0.012064392401249372,0.004561650146330916,0.01070482199030702,0.14813656814532258,11.372481406154654,0.015668099880731725,0.0051078547691454776,0.0,0.005017679728901516,0.008831423858228875,0.012754593372147396,0.047935320221422655,0.0783297440836115,0.07954211744314603,0.03883434253036874,0.004100274725014588,0.0783407729980607,0.006445426425875004,0.0051078547691454776,0.006445426425875004,0.015668099880731725,0.09395321970691516,0.10685378215424099,0.010746301640962151,0.06267257051942737,0.1246567003456018,0.011547005383792518,0.19319279190922442,0.05367949491194132,0.15463455453893699,0.0,0.005017679728901516
no_init_kenn_hybrid_adapter_bert_ms,0.6980745792388916,0.6212845842043558,0.6135994096597036,0.8021938800811768,0.6166333655516306,0.8016920487085978,0.9732142686843872,0.09095193197329839,0.656084676583608,0.8221767346064249,0.8381263613700867,0.6107226212819418,0.7555555502573649,0.8221767346064249,0.6884273091952006,0.648809552192688,0.5951838890711466,0.8021938800811768,0.7111111084620158,0.6107835372289022,0.7735920945803324,0.6589949528376261,0.7543802658716837,0.6805400252342224,0.6011904875437418,0.5874798893928528,0.6172305544217428,0.08131741484006245,0.7735920945803324,0.09302226454019547,0.08136977255344391,0.42222222685813904,40.0,0.8321067889531454,0.7969839572906494,0.7785714268684387,0.8490417997042338,0.08133992304404576,0.8016920487085978,0.6219630837440491,0.5954022804896036,0.6033875942230225,0.574404776096344,0.09519321471452713,0.6313131252924601,0.7693032423655192,0.7969839572906494,0.7693032423655192,0.8321067889531454,0.5961904923121134,0.662394384543101,0.8381263613700867,0.6348124543825785,0.5000710785388947,0.08333333333333333,0.546525627374649,0.5950191219647726,0.6363636354605356,0.25,0.8490417997042338,0.11581870590142349,0.06474283442693937,0.1778177012823578,0.01094863770440867,0.12727810524526564,0.013020093054345936,0.0,0.0028579039668096004,0.01832857888180533,0.005307841410632359,0.004905573023751398,0.02365707140009809,0.12619794522222932,0.005307841410632359,0.08739195928450381,0.0,0.03909094678680245,0.01094863770440867,0.050917491680013006,0.08792573423476215,0.02184798367380088,0.04738003178042113,0.09366207972440255,0.049312349949941624,0.02456231181103809,0.02108772960567757,0.10924000084757245,0.005701395880402159,0.02184798367380088,0.0033390601632322745,0.0050389585159797395,0.10715166873540641,17.52141546793523,0.00494304406699872,0.008736443559802277,0.0,0.002152396295621696,0.005342297103139632,0.013020093054345936,0.02188207465528706,0.03687127480867006,0.08174303374567082,0.01804904764007874,0.003889231264496178,0.024715220334993692,0.017073317286721134,0.008736443559802277,0.017073317286721134,0.00494304406699872,0.04288886081832142,0.13758872416055404,0.004905573023751398,0.019772208849702478,0.13437969100696426,0.04725815626252609,0.1674417342564959,0.041718501760136646,0.1636363714933398,0.0,0.002152396295621696
no_init_kenn_top_down_adapter_bert_ms,0.5576171080271403,0.5133695503075918,0.46089065571626026,0.7788846095403036,0.4757308264573415,0.7850192189216614,0.9732142686843872,0.08932872613271077,0.5645303924878439,0.8102156519889832,0.8346405227979025,0.5139987071355184,0.6888889074325562,0.8102156519889832,0.5933811465899149,0.648809552192688,0.5926149686177572,0.7788846095403036,0.7111111084620158,0.5343787471453348,0.7498305638631185,0.5835743149121603,0.6308119396368662,0.5953476627667745,0.6382275422414144,0.5984764893849691,0.49842286109924316,0.08320242911577225,0.7498305638631185,0.09476346522569656,0.07901350905497868,0.4722222288449605,47.666666666666664,0.8255159060160319,0.77700803677241,0.7785714268684387,0.84720911582311,0.08098884920279185,0.7850192189216614,0.6064139803250631,0.5781609217325846,0.4763345817724864,0.5641534924507141,0.10105769832928975,0.5983585715293884,0.7326883474985758,0.77700803677241,0.7326883474985758,0.8255159060160319,0.5657142996788025,0.47748928268750507,0.8346405227979025,0.6084488034248352,0.4014899830023448,0.20333333333333334,0.4611849884192149,0.6088122725486755,0.5212121258179346,0.25,0.84720911582311,0.13055958320862437,0.07639528867791194,0.27668196849868126,0.028035265475097184,0.20519831251595444,0.010852380726124367,0.0,0.010577671851576008,0.17800126232989988,0.01468447078000696,0.018218752872692996,0.24454995525726167,0.03849001565179121,0.01468447078000696,0.15172589720022442,0.0,0.1190566083813055,0.028035265475097184,0.05091749168001303,0.1250924488514333,0.037931487825946145,0.038473929992540276,0.21124392217435703,0.07474565232347966,0.03323537167789122,0.05189006013185463,0.18965738502615767,0.013805873273104795,0.037931487825946145,0.008216329873625234,0.01859710612704863,0.19460310635154604,14.468356276140469,0.025249719456629204,0.03337026011463077,0.0,0.008202040186709666,0.016270692582593588,0.010852380726124367,0.08126742237303593,0.13607953176401053,0.07375283337508862,0.06680303930681153,0.005262530710581139,0.12624856318548627,0.061474471154838596,0.03337026011463077,0.061474471154838596,0.025249719456629204,0.1592841244153307,0.11222264877830128,0.018218752872692996,0.10099886480144865,0.13019007575377667,0.18009256878986799,0.19924229289282486,0.10102093019167059,0.31192993237030214,0.0,0.008202040186709666
smart_init_box_adapter_bert_ms,0.4157692889372508,0.4487350980440776,0.40388938784599304,0.7508801817893982,0.3441115617752075,0.7923612793286642,0.9557521939277648,0.1055607870221138,0.3798701564470927,0.8145284652709961,0.8538126349449158,0.268644447127978,0.8444444338480631,0.8145284652709961,0.46458232402801514,0.6428571343421936,0.4604249099890391,0.7508801817893982,0.8444444537162781,0.3799781600634257,0.7349518140157064,0.5629600286483765,0.4645759661992391,0.5398265719413757,0.3999008337656657,0.4852880636850993,0.341789851586024,0.04723007480303446,0.7349518140157064,0.07684108863274257,0.1087024783094724,0.7222222089767456,46.0,0.8616745670636495,0.7770043015480042,0.7686832547187805,0.8564509153366089,0.06292329107721646,0.7923612793286642,0.7240038911501566,0.7954022685686747,0.44693774978319806,0.6666667064030966,0.06332077085971832,0.8133838375409445,0.6742642323176066,0.7770043015480042,0.6742642323176066,0.8616745670636495,0.8019047578175863,0.5232133666674296,0.8538126349449158,0.7792784969011942,0.48597819606463116,0.15333333333333335,0.2788563370704651,0.3455938696861267,0.8424242536226908,0.17499999999999996,0.8564509153366089,0.14106952743230353,0.11726594959716785,0.19248697994642894,0.0437008149420926,0.1763371349846738,0.006099844712673773,0.0,0.011298081199964595,0.1693611057097821,0.009297000781604815,0.018878989126031604,0.17422646905590233,0.1835856811818523,0.009297000781604815,0.13760034684653066,0.0,0.07907334885849777,0.0437008149420926,0.10183500937362325,0.14973855931186436,0.03440008345407317,0.05777861258264904,0.20236563338263686,0.10716266620698085,0.13301157344173378,0.07208532863273034,0.17200044083469007,0.017597204603554645,0.03440008345407317,0.01141407675785125,0.02028216096303034,0.12285192009225185,48.38388161361178,0.0320412792209612,0.02548923525300734,0.0,0.010090267776614386,0.010806438712259874,0.006099844712673773,0.0842123178172985,0.14840947489722817,0.1160424520922918,0.07135275150351816,0.021061208916732996,0.16020637928743567,0.08407413372610256,0.02548923525300734,0.08407413372610256,0.0320412792209612,0.16505617116472102,0.054041655125469164,0.018878989126031604,0.12816508247399697,0.10317606019964992,0.2055075018906447,0.18122040392708838,0.1287630110513305,0.24143739593415042,0.0,0.010090267776614386
smart_init_classifier_adapter_bert_ms,0.8003876010576884,0.5970147053400675,0.7607744038105011,0.8029606143633524,0.7104854981104533,0.8012173970540365,0.9732142686843872,0.0828359027703603,0.6385048230489095,0.8238829970359802,0.8257080713907877,0.6706192294756571,0.6444444457689921,0.8238829970359802,0.7626027862230936,0.648809552192688,0.4774973392486572,0.8029606143633524,0.6444444457689921,0.6196604569753011,0.7921359539031982,0.6349798242251078,0.8344254295031229,0.6723085443178812,0.6020503044128418,0.5584534605344137,0.7099498907725016,0.06508535146713257,0.7921359539031982,0.08842618018388748,0.06597549468278885,0.388888880610466,31.333333333333332,0.8109451333681742,0.8064980506896973,0.7785714268684387,0.8420776923497518,0.06525646895170212,0.8012173970540365,0.5665694872538248,0.48275862137476605,0.570473313331604,0.5231481889883677,0.09532935420672099,0.5255050460497538,0.781567653020223,0.8064980506896973,0.781567653020223,0.8109451333681742,0.4876190523306529,0.5449065466721853,0.8257080713907877,0.5501659711201986,0.5113933881123861,0.52,0.6080182989438375,0.4762452244758606,0.42424241701761883,0.25,0.8420776923497518,0.15377084041148917,0.043850043681670815,0.2704026876939915,0.003902207664804732,0.09390676462773664,0.007711813882929777,0.0,0.007043157886254356,0.03014616842057031,0.0021753017672271496,0.01127016678478385,0.11665660195705577,0.06938886728516516,0.0021753017672271496,0.06800327400128202,0.0,0.06472254667807367,0.003902207664804732,0.16442940887384622,0.05703390889144046,0.017000797382306945,0.03713049939170899,0.06546638833533627,0.024621306253075483,0.03390846120745315,0.021912708269820943,0.0850040519933637,0.007294004339247673,0.017000797382306945,0.0034696874228431662,0.013017180171404087,0.19317041793851972,1.5275252316519463,0.01869788704479089,0.0051973328543247,0.0,0.005878780207099391,0.008845213038965996,0.007711813882929777,0.05027215452621731,0.09524983370227172,0.0553207941889421,0.044480887789722263,0.005369100029117644,0.0934895196475712,0.008872359807295258,0.0051973328543247,0.008872359807295258,0.01869788704479089,0.0985334684303358,0.055599014763618476,0.01127016678478385,0.07479161571805697,0.23165499307318377,0.1473091986265623,0.10478293532465684,0.053372021703085464,0.08198635585768568,0.0,0.005878780207099391
