name,instance,run_id,test_incremental_only/micro/recall,test_incremental_only/micro/precision,test_incremental_only/macro_example_exclusive/f1,test_incremental/micro/f1,test_incremental/macro_types/f1,test_pretraining/macro_example/f1,test_incremental_FACILITY-HIGHWAY_STREET/macro_types/precision,test_pretraining/macro_example/recall,test_incremental_FACILITY/macro_types/f1,test_incremental_FACILITY/macro_types/recall,test_incremental_FACILITY-BUILDING/macro_types/f1,threshold_incremental,threshold_pretraining,test_incremental_only/macro_example/f1,test_incremental_FACILITY-AIRPORT/macro_types/precision,test/macro_types/precision,test_incremental/macro_types/recall,test_pretraining/macro_types/precision,test_incremental_FACILITY-ATTRACTION/macro_types/precision,test/macro_types/recall,test_pretraining/macro_types/recall,test_incremental_FACILITY-AIRPORT/macro_types/recall,test/macro_example/f1,test_incremental/micro/precision,test_incremental_FACILITY-BUILDING/macro_types/recall,test_incremental_only/macro_example_exclusive/precision,epoch,test_pretraining/macro_example/precision,test/macro_example/recall,test_incremental_only/macro_types/precision,test_incremental_FACILITY/macro_types/precision,test_incremental_only/macro_types/recall,test_incremental_only/macro_example_exclusive/recall,test_pretraining/macro_types/f1,test/micro/f1,test_pretraining/micro/precision,test_incremental/macro_example_exclusive/recall,test_incremental_FACILITY-ATTRACTION/macro_types/recall,test/macro_types/f1,test_incremental_FACILITY-BUILDING/macro_types/precision,test_incremental/macro_example/f1,test_incremental/macro_example/recall,test_incremental_FACILITY-HIGHWAY_STREET/macro_types/f1,test/micro/precision,test_incremental/macro_example/precision,test_incremental/macro_example_exclusive/precision,test_incremental_only/macro_example/precision,test/micro/recall,test_incremental/macro_types/precision,test_incremental/macro_example_exclusive/f1,test_incremental_FACILITY-HIGHWAY_STREET/macro_types/recall,test_pretraining/micro/f1,test_incremental_only/macro_types/f1,test_incremental_FACILITY-AIRPORT/macro_types/f1,test_incremental_FACILITY-ATTRACTION/macro_types/f1,test/macro_example/precision,test_incremental/micro/recall,test_pretraining/micro/recall,test_incremental_only/macro_example/recall,test_incremental_only/micro/f1
no_init_box_kenn_horizontal_adapter_bert_ms,2,qerlxn3y,0.4285714328289032,0.9868420958518982,0.4861703217029571,0.6879698634147644,0.6851282715797424,0.8327772617340088,1.0,0.835061252117157,0.7686832547187805,0.6428571343421936,0.3055555522441864,0.01,0.175,0.06644175201654434,1.0,0.8624272346496582,0.5282683968544006,0.8624272346496582,1.0,0.798922061920166,0.798922061920166,0.7333333492279053,0.8327772617340088,0.9682539701461792,0.18333333730697632,0.517241358757019,32,0.8305058479309082,0.835061252117157,0.9791666865348816,0.9557521939277648,0.4996212124824524,0.45862066745758057,0.8294609189033508,0.8095237612724304,0.8079426884651184,0.504960298538208,0.38181817531585693,0.8294609189033508,0.9166666865348816,0.092364139854908,0.07995601743459702,0.8235293626785278,0.8079426884651184,0.10933081805706024,0.6904761791229248,0.07068803161382675,0.8111110925674438,0.9744837880134584,0.5833234190940857,0.699999988079071,0.8095237612724304,0.6616398096084595,0.8461538553237915,0.5526315569877625,0.8305058479309082,0.533527672290802,0.8111110925674438,0.06267671287059784,0.5976095795631409
no_init_box_kenn_horizontal_adapter_bert_ms,1,v2wtmy5e,0.3257142901420593,0.8260869383811951,0.38065218925476074,0.6285714507102966,0.585879921913147,0.826653242111206,1.0,0.8284636735916138,0.7686832547187805,0.6428571343421936,0.28947368264198303,0.01,0.175,0.052021272480487823,0.75,0.8334689140319824,0.44463205337524414,0.8334689140319824,0.8999999761581421,0.7780129909515381,0.7780129909515381,0.6000000238418579,0.826653242111206,0.906593382358551,0.18333333730697632,0.3931034505367279,34,0.8248507976531982,0.8284636735916138,0.8343750238418579,0.9557521939277648,0.3950757384300232,0.3689655065536499,0.804786741733551,0.7996076941490173,0.799869179725647,0.461309552192688,0.16363635659217834,0.804786741733551,0.6875,0.0874260738492012,0.0730443000793457,0.7755101919174194,0.799869179725647,0.1088595688343048,0.6875,0.05372290313243866,0.799346387386322,0.8586504459381104,0.5521373152732849,0.6333333253860474,0.7996076941490173,0.5362416505813599,0.6666666865348816,0.2769230902194977,0.8248507976531982,0.4810495674610138,0.799346387386322,0.05042412877082825,0.46721312403678894
no_init_box_kenn_horizontal_adapter_bert_ms,0,su34l0g8,0.468571424484253,0.8817204236984253,0.5208711624145508,0.6921675801277161,0.6832061409950256,0.8319658041000366,1.0,0.8371819257736206,0.7686832547187805,0.6428571343421936,0.54347825050354,0.01,0.175,0.07118407636880875,1.0,0.8445452451705933,0.5494805574417114,0.8445452451705933,0.7777777910232544,0.8042250871658325,0.8042250871658325,0.7333333492279053,0.8319658041000366,0.92233008146286,0.4166666567325592,0.565517246723175,58,0.8268142938613892,0.8371819257736206,0.8897569179534912,0.9557521939277648,0.5261363387107849,0.48275864124298096,0.8238921165466309,0.8096010088920593,0.8036059141159058,0.51884925365448,0.2545454502105713,0.8238921165466309,0.78125,0.09311376512050629,0.08215519785881042,0.8235293626785278,0.8036059141159058,0.10744580626487732,0.6785714626312256,0.07728557288646698,0.8156862854957581,0.9029560089111328,0.588057816028595,0.699999988079071,0.8096010088920593,0.6612552404403687,0.8461538553237915,0.3835616409778595,0.8268142938613892,0.5539358854293823,0.8156862854957581,0.06597549468278885,0.611940324306488
no_init_box_kenn_hybrid_adapter_bert_ms,2,2r4lvxho,0.4399999976158142,0.9746835231781006,0.4941571056842804,0.6915887594223022,0.6883542537689209,0.8326573967933655,1.0,0.8352968692779541,0.7686832547187805,0.6428571343421936,0.3684210479259491,0.01,0.175,0.06753324717283249,1.0,0.8603438138961792,0.5346320271492004,0.8603438138961792,1.0,0.800512969493866,0.800512969493866,0.7333333492279053,0.8326573967933655,0.9635416865348816,0.23333333432674408,0.5310344696044922,32,0.8300344944000244,0.8352968692779541,0.96875,0.9557521939277648,0.5075757503509521,0.4620689749717712,0.8293507099151611,0.8100358247756958,0.8076673150062561,0.5079365372657776,0.3636363744735718,0.8293507099151611,0.875,0.09301473945379256,0.08042727410793304,0.8235293626785278,0.8076673150062561,0.1102733239531517,0.6964285969734192,0.07257304340600967,0.8124182820320129,0.9661504626274108,0.5874323844909668,0.699999988079071,0.8100358247756958,0.6661320924758911,0.8461538553237915,0.5333333611488342,0.8300344944000244,0.5393586158752441,0.8124182820320129,0.06314796954393387,0.6062991619110107
no_init_box_kenn_top_down_adapter_bert_ms,2,6igc0xk3,0.5028571486473083,0.8799999952316284,0.5722687244415283,0.7050359845161438,0.7094208002090454,0.8333995938301086,0.91304349899292,0.8400094509124756,0.7686832547187805,0.6428571343421936,0.459770143032074,0.01,0.175,0.07820827513933182,0.8965517282485962,0.8441106081008911,0.5849350690841675,0.8441106081008911,1.0,0.8130887150764465,0.8130887150764465,0.8666666746139526,0.8333995938301086,0.920187771320343,0.3333333432674408,0.6068965196609497,47,0.8268928527832031,0.8400094509124756,0.8875839710235596,0.9557521939277648,0.5704545378684998,0.5413792729377747,0.8283092975616455,0.8116504549980164,0.8038461804389954,0.5416666865348816,0.38181817531585693,0.8283092975616455,0.7407407164573669,0.09755617380142212,0.08576814085245132,0.7924527525901794,0.8038461804389954,0.11310084164142609,0.7142857313156128,0.08294062316417694,0.8196078538894653,0.9012176990509032,0.6161137819290161,0.699999988079071,0.8116504549980164,0.6945307850837708,0.8813559412956238,0.5526315569877625,0.8268928527832031,0.5714285969734192,0.8196078538894653,0.07398680597543716,0.64000004529953
no_init_box_kenn_bottom_up_adapter_bert_ms,2,4twcdfxg,0.4342857003211975,0.9743589758872986,0.48722678422927856,0.6891385316848755,0.6828038096427917,0.832423210144043,1.0,0.8348256349563599,0.7686832547187805,0.6428571343421936,0.3684210479259491,0.01,0.175,0.06658612936735153,1.0,0.8603438138961792,0.5279654264450073,0.8603438138961792,1.0,0.7988462448120117,0.7988462448120117,0.699999988079071,0.832423210144043,0.963350772857666,0.23333333432674408,0.5241379141807556,32,0.8300344944000244,0.8348256349563599,0.96875,0.9557521939277648,0.4992424249649048,0.4551724195480346,0.8284553289413452,0.8096479773521423,0.8075422644615173,0.5049603581428528,0.3636363744735718,0.8284553289413452,0.875,0.0926988050341606,0.07995601743459702,0.8235293626785278,0.8075422644615173,0.1102733239531517,0.6964285969734192,0.07163053750991821,0.8117647171020508,0.966150403022766,0.5854371190071106,0.699999988079071,0.8096479773521423,0.6589149832725525,0.8235293626785278,0.5333333611488342,0.8300344944000244,0.5364431738853455,0.8117647171020508,0.06220546364784241,0.6007905006408691
no_init_box_kenn_hybrid_adapter_bert_ms,1,rtj0o0fw,0.2800000011920929,0.875,0.32908469438552856,0.6132813096046448,0.5588687658309937,0.825204074382782,1.0,0.8254790902137756,0.7686832547187805,0.6428571343421936,0.2608695924282074,0.24,0.175,0.04497387260198593,0.699999988079071,0.845343828201294,0.40402597188949585,0.845343828201294,0.875,0.7678614854812622,0.7678614854812622,0.46666666865348816,0.825204074382782,0.9289940595626832,0.15000000596046448,0.3379310369491577,51,0.8249293565750122,0.8254790902137756,0.893750011920929,0.9557521939277648,0.3443181812763214,0.32068967819213867,0.8047419190406799,0.7977675199508667,0.8014512062072754,0.4394841492176056,0.12727272510528564,0.8047419190406799,1.0,0.0828191488981247,0.06958843767642975,0.7755101919174194,0.8014512062072754,0.10226202011108398,0.6458333730697632,0.046182844787836075,0.7941176295280457,0.9061504602432252,0.5230423808097839,0.6333333253860474,0.7977675199508667,0.497120201587677,0.5600000023841858,0.2222222238779068,0.8249293565750122,0.4577259421348572,0.7941176295280457,0.04382658004760742,0.42424243688583374
no_init_box_kenn_top_down_adapter_bert_ms,1,q7iegejm,0.38857144117355347,0.7157894968986511,0.445426732301712,0.6388384103775024,0.6002364754676819,0.8251842856407166,0.8636363744735718,0.832233726978302,0.7686832547187805,0.6428571343421936,0.4301075339317322,0.01,0.175,0.06087358295917511,0.6785714030265808,0.8156739473342896,0.484935075044632,0.8156739473342896,0.8333333134651184,0.7880886793136597,0.7880886793136597,0.6333333253860474,0.8251842856407166,0.8461538553237915,0.3333333432674408,0.4689655303955078,52,0.818253219127655,0.832233726978302,0.7454004287719727,0.9557521939277648,0.44545453786849976,0.4241379499435425,0.8016440868377686,0.8000000715255737,0.7935691475868225,0.4880952835083008,0.1818181872367859,0.8016440868377686,0.6060606241226196,0.08973824977874756,0.07728558033704758,0.7307692766189575,0.7935691475868225,0.10697455704212187,0.6755952835083008,0.06409047544002533,0.8065359592437744,0.787470817565918,0.5667397379875183,0.6333333253860474,0.8000000715255737,0.5576531291007996,0.6551724076271057,0.2985074818134308,0.818253219127655,0.5131195187568665,0.8065359592437744,0.05796418711543083,0.5037037134170532
no_init_box_kenn_bottom_up_adapter_bert_ms,1,fzdgi4nh,0.3828571438789368,0.7882353067398071,0.4327312111854553,0.6469500660896301,0.6151633262634277,0.826435387134552,1.0,0.8310555815696716,0.7686832547187805,0.6428571343421936,0.4395604431629181,0.01,0.175,0.05913857743144035,0.7599999904632568,0.8318519592285156,0.4812987148761749,0.8318519592285156,0.8999999761581421,0.7871795892715454,0.7871795892715454,0.6333333253860474,0.826435387134552,0.8838383555412292,0.3333333432674408,0.46206894516944885,34,0.8218661546707153,0.8310555815696716,0.8262903094291687,0.9557521939277648,0.44090908765792847,0.40689653158187866,0.808899462223053,0.8019512295722961,0.798058271408081,0.4821428954601288,0.16363635659217834,0.808899462223053,0.6451612710952759,0.08942487835884094,0.07634307444095612,0.7755101919174194,0.798058271408081,0.10791705548763277,0.6815476417541504,0.06314797699451447,0.8058823347091675,0.8521826863288879,0.564760684967041,0.6333333253860474,0.8019512295722961,0.5749985575675964,0.6909090876579285,0.2769230902194977,0.8218661546707153,0.5102040767669678,0.8058823347091675,0.05560791492462158,0.5153845548629761
no_init_box_kenn_hybrid_adapter_bert_ms,0,l3mgvsuo,0.468571424484253,0.8817204236984253,0.520871102809906,0.6921675801277161,0.6836318969726562,0.8322043418884277,1.0,0.8371819257736206,0.7686832547187805,0.6428571343421936,0.5393258333206177,0.01,0.175,0.07118408381938934,0.9166666865348816,0.8426953554153442,0.5528138875961304,0.8426953554153442,0.7777777910232544,0.8050583600997925,0.8050583600997925,0.7333333492279053,0.8322043418884277,0.92233008146286,0.4000000059604645,0.5655171871185303,34,0.8272855281829834,0.8371819257736206,0.8805077075958252,0.9557521939277648,0.5303030014038086,0.48275861144065857,0.8234469890594482,0.8096010088920593,0.8036059141159058,0.51884925365448,0.2545454502105713,0.8234469890594482,0.8275862336158752,0.09346593171358109,0.08215519785881042,0.8461538553237915,0.8036059141159058,0.10838831216096878,0.6845238208770752,0.07728558033704758,0.8156862854957581,0.8955565690994263,0.5902819037437439,0.7333333492279053,0.8096010088920593,0.661939799785614,0.8148148059844971,0.3835616409778595,0.8272855281829834,0.5539358854293823,0.8156862854957581,0.06597549468278885,0.611940324306488
