name,instance,run_id,test_incremental_only/macro_types/f1,test_incremental_only/macro_types/precision,test/macro_example/f1,test_incremental_only/macro_example_exclusive/recall,test_incremental_GPE-STATE_PROVINCE/macro_types/precision,test/macro_example/recall,test_pretraining/micro/f1,test_incremental_only/macro_example_exclusive/f1,test/macro_types/recall,test_incremental/micro/precision,test_incremental_GPE-CITY/macro_types/f1,test_incremental_only/macro_example_exclusive/precision,test/macro_example/precision,test_pretraining/macro_types/precision,test_incremental/macro_example/precision,test_incremental/macro_example_exclusive/recall,epoch,test/macro_types/f1,test/macro_types/precision,test_pretraining/micro/precision,test_pretraining/macro_types/recall,test_incremental_only/macro_example/precision,test_incremental_only/micro/f1,test_incremental/macro_types/f1,test_incremental_GPE-CITY/macro_types/recall,threshold_incremental,test_incremental/macro_types/precision,test_incremental_GPE-COUNTRY/macro_types/f1,test_incremental/macro_example/recall,test_incremental_only/micro/precision,test_pretraining/macro_types/f1,test_pretraining/macro_example/f1,test_incremental_only/micro/recall,test_incremental_only/macro_example/f1,test_incremental/macro_example_exclusive/f1,threshold_pretraining,test_incremental/micro/f1,test_incremental/macro_example/f1,test/micro/precision,test_incremental/micro/recall,test/micro/recall,test_incremental_GPE-CITY/macro_types/precision,test_incremental_GPE/macro_types/recall,test_incremental_only/macro_types/recall,test_incremental_GPE/macro_types/precision,test_incremental_only/macro_example/recall,test_incremental_GPE-COUNTRY/macro_types/recall,test_pretraining/micro/recall,test_incremental_GPE-COUNTRY/macro_types/precision,test_incremental/macro_types/recall,test_pretraining/macro_example/precision,test_incremental_GPE-STATE_PROVINCE/macro_types/recall,test_incremental_GPE/macro_types/f1,test_incremental_GPE-STATE_PROVINCE/macro_types/f1,test_incremental/macro_example_exclusive/precision,test/micro/f1,test_pretraining/macro_example/recall
no_init_box_kenn_horizontal_adapter_bert_ms,2,imuaonx4,0.4537315368652344,0.8303921222686768,0.8274393081665039,0.27450984716415405,0.9411764740943908,0.8290920257568359,0.8087838292121887,0.28846797347068787,0.7850731611251831,0.8024691343307495,0.4705882668495178,0.3039216101169586,0.8257932662963867,0.8327922821044922,0.09189444035291672,0.6176471710205078,32,0.8082289695739746,0.8327922821044922,0.8001337051391602,0.7850731611251831,0.029217718169093132,0.4275862276554108,0.6027400493621826,0.3333333432674408,0.01,0.8192226886749268,0.12765957415103912,0.059377945959568024,0.8611111044883728,0.8082289695739746,0.8274393081665039,0.2844036817550659,0.02773207426071167,0.7504124045372009,0.175,0.6970508694648743,0.07214143127202988,0.8001337051391602,0.6161137223243713,0.8176229596138,0.800000011920929,0.970588207244873,0.3121447265148163,0.7857142686843872,0.0263901986181736,0.06976744532585144,0.8176229596138,0.75,0.4767555892467499,0.8257932662963867,0.5333333611488342,0.8684210181236267,0.6808511018753052,0.9558823704719543,0.8087838292121887,0.8290920257568359
no_init_box_kenn_horizontal_adapter_bert_ms,1,nj838yfg,0.3835206627845764,0.754120945930481,0.8274812698364258,0.2647058963775635,0.9230769276618958,0.8282281160354614,0.8063534498214722,0.2647058963775635,0.7763895988464355,0.782608687877655,0.22727273404598236,0.2647058963775635,0.82673579454422,0.8207494020462036,0.09283694624900818,0.6078431606292725,29,0.7979534268379211,0.8207494020462036,0.7979933023452759,0.7763895988464355,0.02544768899679184,0.375,0.5542518496513367,0.1388888955116272,0.01,0.7620192766189575,0.35087719559669495,0.058435436338186264,0.7714285850524902,0.7979534268379211,0.8274812698364258,0.24770642817020416,0.02544768713414669,0.7460753917694092,0.175,0.6774193644523621,0.07172448933124542,0.7979933023452759,0.5971564054489136,0.8148906826972961,0.625,0.970588207244873,0.2571490406990051,0.7857142686843872,0.02544768899679184,0.23255814611911776,0.8148906826972961,0.7142857313156128,0.4355087876319885,0.82673579454422,0.4000000059604645,0.8684210181236267,0.5581395030021667,0.9656863212585448,0.8063534498214722,0.8282281160354614
no_init_box_kenn_horizontal_adapter_bert_ms,0,kv01lblq,0.38492971658706665,0.7799999713897705,0.8274754881858826,0.28431373834609985,1.0,0.8297989368438721,0.806070864200592,0.28431373834609985,0.7761312127113342,0.7664670944213867,0.30434781312942505,0.28431373834609985,0.8251649141311646,0.8248356580734253,0.09142318367958067,0.617647111415863,28,0.799742579460144,0.8248356580734253,0.7961359024047852,0.7761312127113342,0.02733270451426506,0.3866666555404663,0.5582908987998962,0.1944444477558136,0.01,0.7814285755157471,0.47058820724487305,0.059377942234277725,0.707317054271698,0.799742579460144,0.8274754881858826,0.26605504751205444,0.02733270451426506,0.748897135257721,0.175,0.6772487163543701,0.07199575752019882,0.7961359024047852,0.6066350936889648,0.8162568211555481,0.699999988079071,0.970588207244873,0.2555125057697296,0.7857142686843872,0.02733270451426506,0.3720930218696594,0.8162568211555481,0.6399999856948853,0.4342814087867737,0.8251649141311646,0.20000000298023224,0.8684210181236267,0.3333333134651184,0.9509804844856262,0.806070864200592,0.8297989368438721
no_init_box_kenn_hybrid_adapter_bert_ms,2,mhklvtza,0.5927718281745911,0.8743962049484253,0.8299381732940674,0.4117647409439087,0.95652174949646,0.8338046073913574,0.8141176104545593,0.42596352100372314,0.8065813779830933,0.8135592937469482,0.5964912176132202,0.4411765336990357,0.8261074423789978,0.8397402763366699,0.09189444035291672,0.6862745881080627,40,0.8228269219398499,0.8397402763366699,0.8014559745788574,0.8065813779830933,0.04241281747817993,0.5625,0.6894760131835938,0.4722222089767456,0.02,0.852225661277771,0.24000000953674316,0.06597550213336945,0.8823529481887817,0.8228269219398499,0.8299381732940674,0.4128440320491791,0.04095030948519707,0.7989464998245239,0.175,0.7422680258750916,0.07680730521678925,0.8014559745788574,0.6824644804000854,0.8271858096122742,0.8095238208770752,0.970588207244873,0.4483634829521179,0.7857142686843872,0.03958529978990555,0.13953489065170288,0.8271858096122742,0.8571428656578064,0.5789196491241455,0.8261074423789978,0.7333333492279053,0.8684210181236267,0.8301886916160583,0.9558823704719543,0.8141176104545593,0.8338046073913574
no_init_box_kenn_top_down_adapter_bert_ms,2,0ay64xu6,0.5899268984794617,0.8621306419372559,0.8299381732940674,0.4117647409439087,0.95652174949646,0.8338046073913574,0.8138440847396851,0.42596352100372314,0.8065813779830933,0.8089887499809265,0.5862069129943848,0.4411765336990357,0.8261074423789978,0.8378036022186279,0.09189444035291672,0.6862745881080627,40,0.8218961358070374,0.8378036022186279,0.8009259104728699,0.8065813779830933,0.04241281747817993,0.5590062141418457,0.6864460110664368,0.4722222089767456,0.060000000000000005,0.8430265188217163,0.24000000953674316,0.06597550213336945,0.8653846383094788,0.8218961358070374,0.8299381732940674,0.4128440320491791,0.04095030948519707,0.7989464998245239,0.175,0.740359902381897,0.07680730521678925,0.8009259104728699,0.6824644804000854,0.8271858096122742,0.7727272510528564,0.970588207244873,0.4483634829521179,0.7857142686843872,0.03958529978990555,0.13953489065170288,0.8271858096122742,0.8571428656578064,0.5789196491241455,0.8261074423789978,0.7333333492279053,0.8684210181236267,0.8301886916160583,0.9558823704719543,0.8138440847396851,0.8338046073913574
no_init_box_kenn_bottom_up_adapter_bert_ms,2,x1uolw9d,0.5986754894256592,0.8654244542121887,0.8301715850830078,0.4215686619281769,0.95652174949646,0.8342758417129517,0.8142425417900085,0.43577882647514343,0.808043360710144,0.8100558519363403,0.6101694703102112,0.45098042488098145,0.8261074423789978,0.838323712348938,0.09189444035291672,0.6911765336990356,39,0.8229050636291504,0.838323712348938,0.8010575175285339,0.808043360710144,0.04335532337427139,0.5679012537002563,0.6921333074569702,0.5,0.01,0.8454968929290771,0.24000000953674316,0.06644675135612488,0.8679245114326477,0.8229050636291504,0.8301715850830078,0.4220183491706848,0.04189391061663627,0.8022584319114685,0.175,0.7435896992683411,0.07712569087743759,0.8010575175285339,0.6872037649154663,0.8278688788414001,0.782608687877655,0.970588207244873,0.457622766494751,0.7857142686843872,0.04052780568599701,0.13953489065170288,0.8278688788414001,0.8571428656578064,0.5858641266822815,0.8261074423789978,0.7333333492279053,0.8684210181236267,0.8301886916160583,0.9558823704719543,0.8142425417900085,0.8342758417129517
no_init_box_kenn_hybrid_adapter_bert_ms,1,917nmo3p,0.5883966684341431,0.7951691150665283,0.8305205702781677,0.480392187833786,0.91304349899292,0.8350613117218018,0.8140703439712524,0.480392187833786,0.8095189332962036,0.7914438247680664,0.4313725531101227,0.480392187833786,0.8260289430618286,0.8272307515144348,0.09236568957567216,0.7156863212585449,40,0.818278968334198,0.8272307515144348,0.7988165616989136,0.8095189332962036,0.046182844787836075,0.5764705538749695,0.6784156560897827,0.3055555522441864,0.03,0.7928053736686707,0.5151515007019043,0.06880301237106323,0.8032786846160889,0.818278968334198,0.8305205702781677,0.4495412707328797,0.046182844787836075,0.8203187584877014,0.175,0.7437186241149902,0.07886193692684174,0.7988165616989136,0.7014217972755432,0.8299180269241333,0.7333333492279053,0.970588207244873,0.4669681191444397,0.7857142686843872,0.046182844787836075,0.395348846912384,0.8299180269241333,0.739130437374115,0.5928730964660645,0.8260289430618286,0.699999988079071,0.8684210181236267,0.7924527525901794,0.960784375667572,0.8140703439712524,0.8350613117218018
no_init_box_kenn_top_down_adapter_bert_ms,1,r2p0r0gt,0.6127129793167114,0.7045177221298218,0.8304882049560547,0.5539215803146362,0.9230769276618958,0.837417483329773,0.8137059211730957,0.5563617944717407,0.8213780522346497,0.75,0.4561403691768646,0.5588235855102539,0.8236726522445679,0.8129173517227173,0.09095192700624466,0.7532680034637451,40,0.8171257376670837,0.8129173517227173,0.7931258082389832,0.8213780522346497,0.05372289940714836,0.5968586206436157,0.6849298477172852,0.3611111044883728,0.01,0.7248168587684631,0.5128204822540283,0.07241595536470413,0.6951219439506531,0.8171257376670837,0.8304882049560547,0.5229358077049255,0.05348623916506767,0.8387349843978882,0.175,0.7446300983428955,0.08063238114118576,0.7931258082389832,0.7393364906311035,0.8353825211524963,0.6190476417541504,0.970588207244873,0.5420758128166199,0.7857142686843872,0.05325164645910263,0.4651162922382355,0.8353825211524963,0.5714285969734192,0.649203896522522,0.8236726522445679,0.800000011920929,0.8684210181236267,0.8571428656578064,0.9460785388946532,0.8137059211730957,0.837417483329773
no_init_box_kenn_bottom_up_adapter_bert_ms,1,yqftxf8h,0.5876308679580688,0.7710145711898804,0.8304376006126404,0.4901961386203766,0.91304349899292,0.8353754281997681,0.8136500716209412,0.4901961386203766,0.8107429146766663,0.7801046967506409,0.4313725531101227,0.4901961386203766,0.8255576491355896,0.8234168291091919,0.09236568957567216,0.7205882668495178,40,0.817030668258667,0.8234168291091919,0.7973770499229431,0.8107429146766663,0.047125350683927536,0.5747126340866089,0.6754106283187866,0.3055555522441864,0.01,0.7746894359588623,0.5142857432365417,0.06927426904439926,0.7692307829856873,0.817030668258667,0.8304376006126404,0.4587155878543854,0.047125350683927536,0.8235294222831726,0.175,0.7412934899330139,0.0791705921292305,0.7973770499229431,0.7061611413955688,0.8306010961532593,0.7333333492279053,0.970588207244873,0.4747200608253479,0.7857142686843872,0.047125350683927536,0.41860464215278625,0.8306010961532593,0.6666666865348816,0.5986870527267456,0.8255576491355896,0.699999988079071,0.8684210181236267,0.7924527525901794,0.960784375667572,0.8136500716209412,0.8353754281997681
no_init_box_kenn_hybrid_adapter_bert_ms,0,y2ete6vs,0.558845579624176,0.8055555820465088,0.8304714560508728,0.4705882668495178,1.0,0.8358467221260071,0.8134003281593323,0.4705882966518402,0.803337812423706,0.7860962748527527,0.3333333432674408,0.4705882668495178,0.8251649141311646,0.8288707137107849,0.09142318367958067,0.710784375667572,28,0.8159044981002808,0.8288707137107849,0.798159122467041,0.803337812423706,0.045240338891744614,0.5647058486938477,0.6614514589309692,0.2222222238779068,0.01,0.8005952835083008,0.6835442781448364,0.0683317556977272,0.7868852615356445,0.8159044981002808,0.8304714560508728,0.4403669834136963,0.045240338891744614,0.8135231137275696,0.175,0.7386934161186218,0.07820861786603928,0.798159122467041,0.6966824531555176,0.8292349576950073,0.6666666865348816,0.970588207244873,0.4278208613395691,0.7857142686843872,0.045240338891744614,0.6279069781303406,0.8292349576950073,0.75,0.5635126829147339,0.8251649141311646,0.4333333373069763,0.8684210181236267,0.604651153087616,0.9509804844856262,0.8134003281593323,0.8358467221260071
