name,instance,run_id,test_incremental_LOCATION-REGION/macro_types/recall,epoch,test/macro_example/f1,test_incremental_only/micro/f1,test_incremental/macro_types/f1,test_incremental_only/macro_example_exclusive/precision,test/macro_example/recall,test_incremental_LOCATION/macro_types/recall,test_incremental_LOCATION-CONTINENT/macro_types/recall,test_incremental_only/micro/recall,test/micro/recall,test_incremental/macro_example/f1,test_pretraining/macro_types/recall,test_incremental/macro_example/recall,test_incremental/macro_example_exclusive/recall,test_incremental_LOCATION-CONTINENT/macro_types/f1,test/macro_types/recall,test_pretraining/micro/precision,test_incremental_only/macro_example_exclusive/recall,test_incremental_LOCATION-REGION/macro_types/precision,test/macro_types/f1,threshold_incremental,test_pretraining/micro/recall,test_pretraining/macro_example/precision,test_incremental/macro_example_exclusive/precision,test/macro_example/precision,test_incremental/micro/recall,test_incremental_LOCATION/macro_types/f1,test_incremental_LOCATION/macro_types/precision,test_incremental_only/macro_example_exclusive/f1,test_pretraining/macro_example/f1,test_incremental_LOCATION-REGION/macro_types/f1,test_incremental_LOCATION-RIVER/macro_types/recall,test_incremental_LOCATION-RIVER/macro_types/precision,test/macro_types/precision,test_incremental_only/micro/precision,test_incremental/macro_example_exclusive/f1,test_incremental_only/macro_example/precision,test/micro/f1,test/micro/precision,test_incremental_LOCATION-CONTINENT/macro_types/precision,test_pretraining/micro/f1,test_incremental_only/macro_types/recall,test_incremental_only/macro_types/f1,test_incremental/micro/f1,test_pretraining/macro_types/f1,test_incremental/micro/precision,test_pretraining/macro_example/recall,test_incremental_only/macro_example/f1,test_incremental/macro_types/recall,test_incremental/macro_types/precision,test_incremental_only/macro_types/precision,test_incremental_LOCATION-RIVER/macro_types/f1,test_pretraining/macro_types/precision,test_incremental/macro_example/precision,threshold_pretraining,test_incremental_only/macro_example/recall
no_init_box_kenn_horizontal_adapter_bert_ms,2,r4yimfv6,0.0,18,0.8283838629722595,0.45714282989501953,0.5854262709617615,0.36781609058380127,0.829406201839447,0.8961039185523987,0.7333333492279053,0.29629629850387573,0.8188653588294983,0.1145002692937851,0.7919274568557739,0.1022620126605034,0.7045454978942871,0.8461538553237915,0.7919274568557739,0.802949070930481,0.26436781883239746,0.0,0.7993637323379517,0.01,0.8188653588294983,0.8273640871047974,0.8961039185523987,0.8273640871047974,0.6488549709320068,0.8990228176116943,0.901960790157318,0.30762800574302673,0.8283838629722595,0.0,0.3333333432674408,1.0,0.8069409132003784,1.0,0.7888623476028442,0.030160225927829742,0.8108291029930115,0.802949070930481,1.0,0.8108291029930115,0.35555559396743774,0.4637681543827057,0.7606264352798462,0.7993637323379517,0.9189189076423644,0.829406201839447,0.025224916636943817,0.490692675113678,0.7254902124404907,0.6666666865348816,0.5,0.8069409132003784,0.13006597757339478,0.175,0.021677661687135696
no_init_box_kenn_horizontal_adapter_bert_ms,1,fi078hma,0.3541666567325592,26,0.8316112160682678,0.6358381509780884,0.7314540147781372,0.6321839094161987,0.8394596576690674,0.8961039185523987,0.7666666507720947,0.5092592835426331,0.8345864415168762,0.12207365036010742,0.8210941553115845,0.11357209831476212,0.7824674844741821,0.8679245114326477,0.8210941553115845,0.800655722618103,0.5459770560264587,0.6538461446762085,0.829492449760437,0.01,0.8345864415168762,0.823908269405365,0.9090909361839294,0.823908269405365,0.7366412281990051,0.8990228176116943,0.901960790157318,0.5859266519546509,0.8316112160682678,0.45945945382118225,0.5,0.9375,0.8380643129348755,0.8461538553237915,0.8410399556159973,0.05183788388967514,0.8172690272331238,0.800655722618103,1.0,0.8172690272331238,0.5402777791023254,0.6647611856460571,0.8041666150093079,0.829492449760437,0.8853210806846619,0.8394596576690674,0.04804487153887749,0.6292343139648438,0.8733267188072205,0.8637820482254028,0.6521739363670349,0.8380643129348755,0.1319509744644165,0.175,0.04476908594369888
no_init_box_kenn_horizontal_adapter_bert_ms,0,3cj87cs3,0.2291666716337204,29,0.8294533491134644,0.555555522441864,0.6826481223106384,0.517241358757019,0.834589958190918,0.8961039185523987,0.699999988079071,0.4166666567325592,0.8277512192726135,0.11785078793764114,0.8074976205825806,0.10838830471038818,0.7467532157897949,0.8235293626785278,0.8074976205825806,0.7998679280281067,0.4137931168079376,0.550000011920929,0.8214477300643921,0.01,0.8277512192726135,0.8243795037269592,0.8896104097366333,0.8243795037269592,0.6984732747077942,0.8990228176116943,0.901960790157318,0.4597701132297516,0.8294533491134644,0.3235293924808502,0.4333333373069763,1.0,0.8358882665634155,0.8333333134651184,0.8119460344314575,0.04241281747817993,0.8135707378387451,0.7998679280281067,1.0,0.8135707378387451,0.4541666805744171,0.5920128226280212,0.780383825302124,0.8214477300643921,0.8840579986572266,0.834589958190918,0.03770028054714203,0.5646510124206543,0.8629902005195618,0.8500000238418579,0.604651153087616,0.8358882665634155,0.1291234791278839,0.175,0.033930253237485886
no_init_box_kenn_hybrid_adapter_bert_ms,2,dh3g3dh3,0.2708333432674408,23,0.8324398994445801,0.650306761264801,0.7522711157798767,0.6091954112052917,0.837417483329773,0.8961039185523987,0.7333333492279053,0.4907407462596894,0.8332194089889526,0.12145084142684937,0.820216953754425,0.11215833574533464,0.7727272510528564,0.8461538553237915,0.820216953754425,0.8046204447746277,0.5057471394538879,0.9285714030265808,0.8363078832626343,0.01,0.8332194089889526,0.8275212049484253,0.9123377203941344,0.8275212049484253,0.7290076613426208,0.8990228176116943,0.901960790157318,0.5526720881462097,0.8324398994445801,0.4193548560142517,0.6000000238418579,0.9473684430122375,0.8530429601669312,0.9636363387107848,0.8367490172386169,0.04995287209749222,0.8186702728271484,0.8046204447746277,1.0,0.8186702728271484,0.5347222685813904,0.6865145564079285,0.8127660155296326,0.8363078832626343,0.9182692170143129,0.837417483329773,0.04531806707382202,0.6250676512718201,0.9444751739501952,0.9586466550827026,0.7346938252449036,0.8530429601669312,0.13242223858833313,0.175,0.04147031158208847
no_init_box_kenn_top_down_adapter_bert_ms,2,7e6hgqty,0.4166666567325592,26,0.8306061029434204,0.623115599155426,0.7414624691009521,0.7126436829566956,0.8413446545600891,0.8961039185523987,0.7333333492279053,0.5740740895271301,0.8393711447715759,0.11893506348133089,0.8314011693000793,0.1163996234536171,0.801948070526123,0.8461538553237915,0.8314011693000793,0.7917472720146179,0.609195351600647,0.4166666567325592,0.8288751244544983,0.01,0.8393711447715759,0.8201382160186768,0.8376623392105103,0.8201382160186768,0.7633587718009949,0.8990228176116943,0.901960790157318,0.656871497631073,0.8306061029434204,0.4166666567325592,0.6666666865348816,0.9523809552192688,0.8263643980026245,0.6813187003135681,0.8194162249565125,0.058435432612895966,0.814863920211792,0.7917472720146179,1.0,0.814863920211792,0.6055555939674377,0.6854696273803711,0.7905137538909912,0.8288751244544983,0.8196721076965332,0.8413446545600891,0.053862228989601135,0.6781926155090332,0.8177521228790283,0.7896825671195984,0.7843137383460999,0.8263643980026245,0.12158340960741044,0.175,0.04995287209749222
no_init_box_kenn_bottom_up_adapter_bert_ms,2,3i3mechd,0.3958333432674408,26,0.8335977792739868,0.6820809841156006,0.7629338502883911,0.6781609058380127,0.8400879502296448,0.8961039185523987,0.699999988079071,0.5462962985038757,0.8373205661773682,0.12308962643146516,0.8267958760261536,0.114985853433609,0.7922078371047974,0.8235293626785278,0.8267958760261536,0.8032786846160889,0.5747126340866089,0.7916666865348816,0.8362759351730347,0.01,0.8373205661773682,0.8272070288658142,0.9123377203941344,0.8272070288658142,0.7519084215164185,0.8990228176116943,0.901960790157318,0.6221659779548645,0.8335977792739868,0.5277778506278992,0.6333333253860474,0.949999988079071,0.8459759950637817,0.9076923131942748,0.8480396866798401,0.05560791492462158,0.8199464678764343,0.8032786846160889,1.0,0.8199464678764343,0.5763888955116272,0.7069224119186401,0.8208333253860474,0.8362759351730347,0.9036697149276732,0.8400879502296448,0.0510164350271225,0.6563176512718201,0.9109069108963012,0.9138888716697692,0.7599999904632568,0.8459759950637817,0.13242223858833313,0.175,0.047125354409217834
no_init_box_kenn_hybrid_adapter_bert_ms,1,r0f7zf51,0.2291666716337204,26,0.8331916928291321,0.6419753432273865,0.7498183250427246,0.5977011919021606,0.8383600115776062,0.8961039185523987,0.7666666507720947,0.48148149251937866,0.8325358629226685,0.12145084887742996,0.8197783827781677,0.11215834319591522,0.7727272510528564,0.8679245114326477,0.8197783827781677,0.804491400718689,0.5114942789077759,0.9166666865348816,0.8357788920402527,0.03,0.8325358629226685,0.8280867338180542,0.9123377203941344,0.8280867338180542,0.7251908183097839,0.8990228176116943,0.901960790157318,0.5512477159500122,0.8331916928291321,0.36666667461395264,0.6000000238418579,0.9473684430122375,0.8524163961410522,0.9629629850387572,0.8367490172386169,0.04901036620140076,0.8182733654975891,0.804491400718689,1.0,0.8182733654975891,0.5319445133209229,0.6832074522972107,0.810234546661377,0.8357788920402527,0.9178743958473206,0.8383600115776062,0.045201268047094345,0.6229843497276306,0.9414989948272704,0.9546784162521362,0.7346938252449036,0.8524163961410522,0.13242223858833313,0.175,0.0419415608048439
no_init_box_kenn_top_down_adapter_bert_ms,1,ipwuu0ko,0.375,26,0.830947995185852,0.6363636255264282,0.749732494354248,0.7241379022598267,0.8424441814422607,0.8961039185523987,0.7666666507720947,0.5833333134651184,0.8400546908378601,0.1225222945213318,0.8344713449478149,0.11734212934970856,0.8084415197372437,0.8679245114326477,0.8344713449478149,0.7929032444953918,0.6379310488700867,0.40909090638160706,0.8303068280220032,0.01,0.8400546908378601,0.8197612762451172,0.8831169009208679,0.8197612762451172,0.767175555229187,0.8990228176116943,0.901960790157318,0.6783064603805542,0.830947995185852,0.3913043737411499,0.7333333492279053,0.95652174949646,0.8261836767196655,0.699999988079071,0.8441309332847595,0.059377942234277725,0.8157982230186462,0.7929032444953918,1.0,0.8157982230186462,0.625,0.6973086595535278,0.7960395812988281,0.8303068280220032,0.8271604776382446,0.8424441814422607,0.05561984702944755,0.6927759647369385,0.8168933391571045,0.7885376214981079,0.8301886916160583,0.8261836767196655,0.12818095088005066,0.175,0.05230914056301117
no_init_box_kenn_bottom_up_adapter_bert_ms,1,7ma1tx5f,0.1666666716337204,26,0.8319422602653503,0.6025640964508057,0.731597363948822,0.540229856967926,0.8364750146865845,0.8961039185523987,0.7666666507720947,0.435185194015503,0.8291182518005371,0.11947153508663176,0.8129801154136658,0.10980207473039628,0.7564935088157654,0.8679245114326477,0.8129801154136658,0.8043766617774963,0.4540229737758637,1.0,0.8341616988182068,0.03,0.8291182518005371,0.827458381652832,0.902597427368164,0.827458381652832,0.7061068415641785,0.8990228176116943,0.901960790157318,0.4933891296386719,0.8319422602653503,0.2857142984867096,0.5333333611488342,0.9411764740943908,0.8564764857292175,0.9791666865348816,0.8231123089790344,0.04429783299565315,0.8165600895881653,0.8043766617774963,1.0,0.8165600895881653,0.4888889193534851,0.6524317860603333,0.7991359829902649,0.8341616988182068,0.9203979969024658,0.8364750146865845,0.040456973016262054,0.5906926393508911,0.9607843160629272,0.9803922176361084,0.6808511018753052,0.8564764857292175,0.13100847601890564,0.175,0.037229023873806
no_init_box_kenn_hybrid_adapter_bert_ms,0,p5ay9s4c,0.1875,29,0.8303201198577881,0.5838509798049927,0.7031980752944946,0.5402299165725708,0.8352183103561401,0.8961039185523987,0.8333333134651184,0.435185194015503,0.8291182518005371,0.11782461404800416,0.812322199344635,0.10901664942502975,0.751082181930542,0.9090909361839294,0.812322199344635,0.8017184138298035,0.4252873659133911,0.6000000238418579,0.8252131342887878,0.01,0.8291182518005371,0.8254790902137756,0.8831169009208679,0.8254790902137756,0.7061068415641785,0.8990228176116943,0.901960790157318,0.4759168326854706,0.8303201198577881,0.2857142984867096,0.4333333373069763,1.0,0.838519811630249,0.8867924809455872,0.8117656707763672,0.044297829270362854,0.8151881098747253,0.8017184138298035,1.0,0.8151881098747253,0.4847222566604614,0.6217197775840759,0.7905982732772827,0.8252131342887878,0.8980582356452942,0.8352183103561401,0.03902427852153778,0.5875676274299622,0.8754901885986328,0.8666666746139526,0.604651153087616,0.838519811630249,0.12818095088005066,0.175,0.034872762858867645
