name,test_incremental_LOCATION-REGION/macro_types/recall/mean,epoch/mean,test/macro_example/f1/mean,test_incremental_only/micro/f1/mean,test_incremental/macro_types/f1/mean,test_incremental_only/macro_example_exclusive/precision/mean,test/macro_example/recall/mean,test_incremental_LOCATION/macro_types/recall/mean,test_incremental_LOCATION-CONTINENT/macro_types/recall/mean,test_incremental_only/micro/recall/mean,test/micro/recall/mean,test_incremental/macro_example/f1/mean,test_pretraining/macro_types/recall/mean,test_incremental/macro_example/recall/mean,test_incremental/macro_example_exclusive/recall/mean,test_incremental_LOCATION-CONTINENT/macro_types/f1/mean,test/macro_types/recall/mean,test_pretraining/micro/precision/mean,test_incremental_only/macro_example_exclusive/recall/mean,test_incremental_LOCATION-REGION/macro_types/precision/mean,test/macro_types/f1/mean,threshold_incremental/mean,test_pretraining/micro/recall/mean,test_pretraining/macro_example/precision/mean,test_incremental/macro_example_exclusive/precision/mean,test/macro_example/precision/mean,test_incremental/micro/recall/mean,test_incremental_LOCATION/macro_types/f1/mean,test_incremental_LOCATION/macro_types/precision/mean,test_incremental_only/macro_example_exclusive/f1/mean,test_pretraining/macro_example/f1/mean,test_incremental_LOCATION-REGION/macro_types/f1/mean,test_incremental_LOCATION-RIVER/macro_types/recall/mean,test_incremental_LOCATION-RIVER/macro_types/precision/mean,test/macro_types/precision/mean,test_incremental_only/micro/precision/mean,test_incremental/macro_example_exclusive/f1/mean,test_incremental_only/macro_example/precision/mean,test/micro/f1/mean,test/micro/precision/mean,test_incremental_LOCATION-CONTINENT/macro_types/precision/mean,test_pretraining/micro/f1/mean,test_incremental_only/macro_types/recall/mean,test_incremental_only/macro_types/f1/mean,test_incremental/micro/f1/mean,test_pretraining/macro_types/f1/mean,test_incremental/micro/precision/mean,test_pretraining/macro_example/recall/mean,test_incremental_only/macro_example/f1/mean,test_incremental/macro_types/recall/mean,test_incremental/macro_types/precision/mean,test_incremental_only/macro_types/precision/mean,test_incremental_LOCATION-RIVER/macro_types/f1/mean,test_pretraining/macro_types/precision/mean,test_incremental/macro_example/precision/mean,threshold_pretraining/mean,test_incremental_only/macro_example/recall/mean,test_incremental_LOCATION-REGION/macro_types/recall/std,epoch/std,test/macro_example/f1/std,test_incremental_only/micro/f1/std,test_incremental/macro_types/f1/std,test_incremental_only/macro_example_exclusive/precision/std,test/macro_example/recall/std,test_incremental_LOCATION/macro_types/recall/std,test_incremental_LOCATION-CONTINENT/macro_types/recall/std,test_incremental_only/micro/recall/std,test/micro/recall/std,test_incremental/macro_example/f1/std,test_pretraining/macro_types/recall/std,test_incremental/macro_example/recall/std,test_incremental/macro_example_exclusive/recall/std,test_incremental_LOCATION-CONTINENT/macro_types/f1/std,test/macro_types/recall/std,test_pretraining/micro/precision/std,test_incremental_only/macro_example_exclusive/recall/std,test_incremental_LOCATION-REGION/macro_types/precision/std,test/macro_types/f1/std,threshold_incremental/std,test_pretraining/micro/recall/std,test_pretraining/macro_example/precision/std,test_incremental/macro_example_exclusive/precision/std,test/macro_example/precision/std,test_incremental/micro/recall/std,test_incremental_LOCATION/macro_types/f1/std,test_incremental_LOCATION/macro_types/precision/std,test_incremental_only/macro_example_exclusive/f1/std,test_pretraining/macro_example/f1/std,test_incremental_LOCATION-REGION/macro_types/f1/std,test_incremental_LOCATION-RIVER/macro_types/recall/std,test_incremental_LOCATION-RIVER/macro_types/precision/std,test/macro_types/precision/std,test_incremental_only/micro/precision/std,test_incremental/macro_example_exclusive/f1/std,test_incremental_only/macro_example/precision/std,test/micro/f1/std,test/micro/precision/std,test_incremental_LOCATION-CONTINENT/macro_types/precision/std,test_pretraining/micro/f1/std,test_incremental_only/macro_types/recall/std,test_incremental_only/macro_types/f1/std,test_incremental/micro/f1/std,test_pretraining/macro_types/f1/std,test_incremental/micro/precision/std,test_pretraining/macro_example/recall/std,test_incremental_only/macro_example/f1/std,test_incremental/macro_types/recall/std,test_incremental/macro_types/precision/std,test_incremental_only/macro_types/precision/std,test_incremental_LOCATION-RIVER/macro_types/f1/std,test_pretraining/macro_types/precision/std,test_incremental/macro_example/precision/std,threshold_pretraining/std,test_incremental_only/macro_example/recall/std
no_init_box_kenn_bottom_up_adapter_bert_ms,0.2500000049670537,27.333333333333332,0.8319576780001322,0.6186912059783936,0.7318663001060486,0.5747126340866089,0.8368415435155233,0.8961039185523987,0.7333333293596903,0.4629629651705424,0.8311688303947449,0.12014269332091014,0.8156116803487142,0.11084930102030437,0.7637085318565369,0.845869243144989,0.8156116803487142,0.803702731927236,0.4750957787036896,0.8699494997660319,0.8328040838241577,0.016666666666666666,0.8311688303947449,0.8271337350209554,0.9036796887715658,0.8271337350209554,0.7175572514533997,0.8990228176116943,0.901960790157318,0.5200323959191641,0.8319576780001322,0.3728589713573456,0.5333333412806193,0.9637254873911539,0.8508185346921285,0.9477935830752054,0.8277363975842794,0.0471253531674544,0.8171985944112142,0.803702731927236,1.0,0.8171985944112142,0.5055555701255798,0.6563762625058492,0.8031857013702393,0.8328040838241577,0.9128801822662354,0.8368415435155233,0.04264167323708534,0.6031926472981771,0.9339089592297872,0.9445583621660868,0.681834081808726,0.8508185346921285,0.13116556406021118,0.17499999999999996,0.03895695755879084,0.12672422346410595,2.3094010767585034,0.001632447012490576,0.057061841356995414,0.03093395890325958,0.09123279644980996,0.0030795451425089503,0.0,0.03333333134651628,0.07349309322559656,0.005425321004066176,0.002675258811873836,0.010128150363573825,0.003725029172167074,0.025664056832469268,0.022198942796771873,0.010128150363573825,0.0005901011983197582,0.09093060223544082,0.11340464028449235,0.00431396658646198,0.011547005383792514,0.005425321004066176,0.00036682696623031337,0.00817083520015888,0.00036682696623031337,0.030294880655544823,0.0,0.0,0.09176033999053575,0.001632447012490576,0.1345128176370437,0.099999994039537,0.03172292228840938,0.00529752280578917,0.03652782744587946,0.018431536446300256,0.0074809163749608954,0.002490776290485861,0.0005901011983197582,0.0,0.002490776290485861,0.06414501489569727,0.04869388071533356,0.016011587835712424,0.00431396658646198,0.008491622891713615,0.0030795451425089503,0.007524174782837986,0.04810876504351012,0.025163282289658927,0.03355110661909478,0.07767908345013448,0.00529752280578917,0.0011859590980175033,0.0,0.007456139339872478
no_init_box_kenn_horizontal_adapter_bert_ms,0.19444444278875986,24.333333333333332,0.8298161427179972,0.5495121677716573,0.6665094693501791,0.505747119585673,0.8344852725664774,0.8961039185523987,0.7333333293596903,0.407407412926356,0.8270676732063293,0.11814156919717789,0.8068397442499796,0.10807413856188457,0.7445887327194214,0.845869243144989,0.8068397442499796,0.8011575738588969,0.4080459972222646,0.40128205219904584,0.8167679707209269,0.01,0.8270676732063293,0.8252172867457072,0.8982684214909872,0.8252172867457072,0.694656491279602,0.8990228176116943,0.901960790157318,0.45110825697580975,0.8298161427179972,0.2609962821006775,0.42222222685813904,0.9791666666666666,0.8269644975662231,0.8931623895963033,0.813949445883433,0.04147030909856161,0.8138896226882935,0.8011575738588969,1.0,0.8138896226882935,0.45000001788139343,0.573514054218928,0.7817256251970927,0.8167679707209269,0.896099328994751,0.8344852725664774,0.03699002290765444,0.5615260004997253,0.8206023772557577,0.7934829195340475,0.5856083631515503,0.8269644975662231,0.1303801437218984,0.17499999999999996,0.033459000289440155,0.17961828990181086,5.686240703077327,0.0016439788323442761,0.08950081589570957,0.07433954250974964,0.1325581912185962,0.005027545408994859,0.0,0.03333333134651627,0.10678299698946236,0.00788280005038774,0.0037950547426362255,0.0145944741479367,0.005661584111652536,0.03900606027735671,0.022198942796771873,0.0145944741479367,0.0016007034069831772,0.14089255713452106,0.3513779573121585,0.015600000449216512,0.0,0.00788280005038774,0.0018740542368897257,0.009918998558035984,0.0018740542368897257,0.04401741266862688,0.0,0.0,0.13935137220755542,0.0016439788323442761,0.23602656597675384,0.08388704428072834,0.036084391824351615,0.017375032160970583,0.09274587764944899,0.026146432597545576,0.010869519548348394,0.0032317830550719386,0.0016007034069831772,0.0,0.0032317830550719386,0.09243155429154054,0.10176543115713504,0.021801081003864457,0.015600000449216512,0.019772423252929088,0.005027545408994859,0.011426545185112142,0.06932366622244651,0.08253153230409968,0.11004205452053864,0.07785369364244346,0.017375032160970583,0.0014396901563105858,0.0,0.011552922922573752
no_init_box_kenn_hybrid_adapter_bert_ms,0.2291666716337204,26.0,0.8319839040438334,0.6253776947657267,0.7350958387056986,0.5823755065600077,0.8369986017545065,0.8961039185523987,0.7777777711550394,0.4691358109315236,0.8316245079040527,0.12024210145076115,0.8174391786257426,0.11111110945542653,0.765512228012085,0.8743897676467896,0.8174391786257426,0.80361008644104,0.480842928091685,0.8150793711344401,0.832433303197225,0.016666666666666666,0.8316245079040527,0.8270290096600851,0.902597447236379,0.8270290096600851,0.7201017737388611,0.8990228176116943,0.901960790157318,0.5266122122605642,0.8319839040438334,0.357245276371638,0.5444444616635641,0.9649122953414917,0.8479930559794108,0.9377972682317098,0.8284212350845337,0.047753689189751945,0.8173772493998209,0.80361008644104,1.0,0.8173772493998209,0.5171296795209249,0.6638139287630717,0.8045329451560974,0.832433303197225,0.9114006161689758,0.8369986017545065,0.04318120454748472,0.611873209476471,0.9204881191253662,0.9266639153162638,0.691346267859141,0.8479930559794108,0.13100847601890564,0.17499999999999996,0.039428211748600006,0.0416666716337204,3.0,0.0014891043236002239,0.03620364861724682,0.027651483297970174,0.0369488475583336,0.0016121935280274855,0.0,0.05091749168001303,0.02976435345662084,0.002197225192939981,0.002093605504119741,0.004436856302357211,0.0018138555935385621,0.012496786484396305,0.031962770377968804,0.004436856302357211,0.0016395066462720493,0.04819826521447962,0.18635926269584593,0.006258441277835133,0.011547005383792514,0.002197225192939981,0.0013717300912103757,0.016870647988831866,0.0013717300912103757,0.01226929776371916,0.0,0.0,0.04390926259612474,0.0014891043236002239,0.06731657829018266,0.09622505633585687,0.03038684359475378,0.0082100496036154,0.04417272456922785,0.014424141805237581,0.003029736816601694,0.0019062090001666478,0.0016395066462720493,0.0,0.0019062090001666478,0.02809999596822804,0.036492086909491676,0.012133976839248075,0.006258441277835133,0.011556526704313699,0.0016121935280274855,0.003600477189492717,0.02107500949692985,0.03899775281102068,0.05199700374802766,0.07508017177614823,0.0082100496036154,0.0024487086000875356,0.0,0.003952164583833744
no_init_box_kenn_top_down_adapter_bert_ms,0.3958333333333333,27.0,0.8310046990712484,0.6364930669466654,0.7499173482259115,0.7279693484306335,0.8421300450960795,0.8961039185523987,0.7888888915379842,0.5864197611808777,0.8402825196584066,0.1209188923239708,0.8343982497851054,0.11708032339811325,0.8066378037134806,0.8808832764625549,0.8343982497851054,0.7926068703333536,0.6264367699623108,0.41599326332410175,0.8303790887196859,0.01,0.8402825196584066,0.8201696475346884,0.8614718715349833,0.8201696475346884,0.7684478362401327,0.8990228176116943,0.901960790157318,0.6733479499816895,0.8310046990712484,0.4055243929227193,0.6888889074325562,0.9537612199783325,0.8264016310373942,0.6959468126296997,0.8330840865770975,0.05969211086630821,0.8157486120859782,0.7926068703333536,1.0,0.8157486120859782,0.6245370507240295,0.6974631746610006,0.7957807580629984,0.8303790887196859,0.8251346747080485,0.8421300450960795,0.05521326263745626,0.6924287478129069,0.8179288307825724,0.7899182041486105,0.7996053894360861,0.8264016310373942,0.12503926704327264,0.17499999999999996,0.05136663342515627,0.02083332836628138,1.7320508075688772,0.000429762903110827,0.013442655913806514,0.00854880512774951,0.017557775037687226,0.0006846898748441138,0.0,0.06938886728516516,0.014143763224809897,0.001044101346306687,0.0018236227564699728,0.0029612095925194053,0.0005947129341187259,0.004097321315905379,0.04270963230813235,0.0029612095925194053,0.0007562963586402199,0.015205501744995051,0.0065915088087829,0.0015413655071017615,0.0,0.001044101346306687,0.0004249597381771264,0.022804453508000293,0.0004249597381771264,0.005830265507324951,0.0,0.0,0.014641094464583348,0.000429762903110827,0.01295823225714989,0.03849001565179121,0.0023906886905951793,0.00023875821281149436,0.013081268877534635,0.012564095324292378,0.0014397051954230594,0.0008609590976864592,0.0007562963586402199,0.0,0.0008609590976864592,0.01875426807348549,0.01207154652636428,0.005142479883521168,0.0015413655071017615,0.00478303581514566,0.0006846898748441138,0.0012005388753283583,0.01406573839146289,0.0011342169738912992,0.0015122333346346182,0.02648591661947205,0.00023875821281149436,0.0033099722806722927,0.0,0.0012468202171761883
no_init_kenn_bottom_up_adapter_bert_ms,0.6180555621782938,28.0,0.8247592449188232,0.6309486031532288,0.7284340063730875,0.8716475367546082,0.8569483558336893,0.8961039185523987,0.9555555383364359,0.7839506069819132,0.8630667527516683,0.12097130715847015,0.8720142443974813,0.12697664399941763,0.8748196562131246,0.8391359448432922,0.8720142443974813,0.763136605421702,0.8314176400502523,0.4076289236545563,0.8201470573743185,0.09000000000000001,0.8630667527516683,0.7949104507764181,0.7959956725438436,0.7949104507764181,0.8498727679252625,0.8874598741531372,0.8789808750152588,0.8508705496788025,0.8247592449188232,0.49075643221537274,0.8777777751286825,0.5411146978537241,0.774165133635203,0.5295184155305227,0.8334452112515768,0.07147345195213954,0.8100163737932841,0.763136605421702,0.7574745019276937,0.8100163737932841,0.8171296715736389,0.6688835422197977,0.7684880892435709,0.8201470573743185,0.701951821645101,0.8569483558336893,0.069769782324632,0.836873193581899,0.6462997198104858,0.5687393943468729,0.667046586672465,0.774165133635203,0.11553565661112468,0.25,0.06817467510700226,0.06696978871039173,2.0,0.0014918128617429044,0.017452290935438743,0.01980874536349889,0.01659054534751052,0.0012599405460591898,0.0,0.050917517693612684,0.03251744461613107,0.002400475489900104,0.00045358801691374736,0.004570269981250967,0.001354339769732926,0.009330796910878758,0.05434395241670383,0.004570269981250967,0.006048111851826008,0.029491963274738714,0.013558568773308532,0.0031989103614081726,0.02645751311064591,0.002400475489900104,0.0037822426258187843,0.013265872404026702,0.0037822426258187843,0.013404162285956875,0.0,0.0,0.018883358619828518,0.0014918128617429044,0.031044197359654004,0.019244990619516733,0.07324859967995975,0.0085811491051859,0.035534265046090474,0.0031251032787457727,0.0013603943836528513,0.0024906226131553937,0.006048111851826008,0.11643901929872717,0.0024906226131553937,0.02894533223501585,0.031028363382008563,0.01203722232212273,0.0031989103614081726,0.027617044758393598,0.0012599405460591898,0.001548394124121479,0.021709026942255284,0.04076041672632037,0.05434725353052053,0.05133755305706842,0.0085811491051859,0.0019254855075551366,0.0,0.002418285936289329
no_init_kenn_horizontal_adapter_bert_ms,0.5902777711550394,26.0,0.8237342437108358,0.6215468645095825,0.7311850984891256,0.8716475168863932,0.8563723961512247,0.8961039185523987,0.9444444378217062,0.7654321193695068,0.8616997003555298,0.12144258618354797,0.8693826993306478,0.12624359130859375,0.8697691361109415,0.8716732263565063,0.8693826993306478,0.763002892335256,0.8160919547080994,0.37169105807940167,0.8203153411547343,0.09333333333333334,0.8616997003555298,0.7935124039649963,0.8062770764032999,0.7935124039649963,0.8422392010688782,0.8874598741531372,0.8789808750152588,0.8429032564163208,0.8237342437108358,0.45399903257687885,0.8666666547457377,0.5653594930966696,0.7765151659647623,0.5249315400918325,0.8366920550664266,0.07147345195213954,0.8093394239743551,0.763002892335256,0.8138176798820496,0.8093394239743551,0.8004629810651144,0.6744370261828104,0.7646791338920593,0.8203153411547343,0.700828472773234,0.8563723961512247,0.06911647816499074,0.824373185634613,0.6574622790018717,0.5836227734883627,0.682539701461792,0.7765151659647623,0.11702796320120494,0.25,0.06691800057888031,0.0636468889877684,4.0,0.0031627903857880087,0.027480802521411843,0.006198259450171975,0.023226684337134533,0.001416667580224247,0.0,0.06938885774078345,0.0374208579728936,0.0027624275896095383,0.0012586832132561794,0.005232621508867283,0.0015812886658888763,0.010894385090723754,0.006329564045882158,0.005232621508867283,0.006322970021884245,0.03589077417004709,0.03976730103111572,0.0014096024748407347,0.03785938897200181,0.0027624275896095383,0.006322988325658754,0.018077147429106252,0.006322988325658754,0.015425405571237913,0.0,0.0,0.02981766977415947,0.0031627903857880087,0.03256096082407728,0.03333333134651628,0.052012384613214245,0.0035217058833107513,0.043002266079238426,0.00867185496543233,0.0019045482656716067,0.0031390124131591493,0.006322970021884245,0.049240582245052754,0.0031390124131591493,0.03313984102008109,0.008541474732425823,0.01587170394738993,0.0014096024748407347,0.030384667515410732,0.001416667580224247,0.0024449995599030968,0.024854920108954015,0.016728162355327904,0.022304267439610576,0.027492868322708003,0.0035217058833107513,0.0026238273772533874,0.0,0.0029429772964282607
no_init_kenn_hybrid_adapter_bert_ms,0.6180555621782938,26.666666666666668,0.8008924921353658,0.4562824567159017,0.6177525420983633,0.876117487748464,0.8575766881306967,0.8961039185523987,0.9666666587193807,0.7962962985038757,0.8639781276384989,0.11442721883455913,0.8743534088134766,0.12770971159140268,0.8798701365788778,0.5803414185841879,0.8743534088134766,0.6943318843841553,0.8505747318267822,0.27413134276866913,0.803483764330546,0.07,0.8639781276384989,0.7528372605641683,0.7148268222808838,0.7528372605641683,0.8549618522326151,0.8874598741531372,0.8789808750152588,0.8628689050674438,0.8008924921353658,0.3707239180803299,0.9111110965410868,0.3706895112991333,0.7438627878824869,0.3441433509190877,0.7883589665095011,0.07183998326460521,0.7673508127530416,0.6943318843841553,0.48565251628557843,0.7673508127530416,0.831944485505422,0.4869210471709569,0.625875304142634,0.803483764330546,0.5194283425807953,0.8575766881306967,0.07075361907482147,0.8479843139648438,0.5023635625839233,0.37682447334130603,0.49776461720466614,0.7438627878824869,0.10375431925058365,0.25,0.06974552323420842,0.02405623827439595,4.163331998932265,0.03532194934715173,0.20442143781607952,0.13807873538406876,0.025867980951613266,0.0008651662548918542,0.0,0.057735040684065646,0.024497705251352586,0.0018084253157767427,0.003136628225935742,0.0041839066612991615,0.0008162362000291805,0.005623509181472282,0.3420586346160868,0.0041839066612991615,0.09641260150907127,0.01520544542391219,0.11322957790666222,0.019899125426675227,0.0721110255092798,0.0018084253157767427,0.06114623177979593,0.03816760026760687,0.06114623177979593,0.010098293551848285,0.0,0.0,0.008245787899811978,0.03532194934715173,0.12043455024651491,0.01924502503227447,0.22169765045214068,0.03602963454352341,0.19100938975334444,0.021610184675693797,0.0021211285566226064,0.06127643097989793,0.09641260150907127,0.3654824974568605,0.06127643097989793,0.026498318162444485,0.2326185536443857,0.18654958511698966,0.019899125426675227,0.2183821117895819,0.0008651662548918542,0.0006761397180394693,0.01987373940284871,0.17114080675407983,0.22818775037499062,0.23852712742305038,0.03602963454352341,0.005539871524656113,0.0,0.0012468195131634904
no_init_kenn_top_down_adapter_bert_ms,0.5555555621782938,28.666666666666668,0.8130225539207458,0.4853661159674327,0.6292737523714701,0.8831417560577393,0.8563200036684672,0.8961039185523987,0.9444444179534912,0.7623456716537476,0.8614718715349833,0.1198526198665301,0.8698943456013998,0.12619122862815857,0.869408388932546,0.6415691276391348,0.8698943456013998,0.7244548201560974,0.8160919547080994,0.3246450026830037,0.8034056226412455,0.15666666666666668,0.8614718715349833,0.7741543451944987,0.7866161664326986,0.7741543451944987,0.8409669200579325,0.8874598741531372,0.8789808750152588,0.8482879996299744,0.8130225539207458,0.40375909209251404,0.9111110965410868,0.3247757653395335,0.7466429074605306,0.3671603947877884,0.8257378538449606,0.07241596033175786,0.7865260640780131,0.7244548201560974,0.5338747004667918,0.7865260640780131,0.8037037253379822,0.5153544346491495,0.6695418159166971,0.8034056226412455,0.5654192467530569,0.8563200036684672,0.06955802192290624,0.8268037637074789,0.5155690709749857,0.39443184932072956,0.47290069858233136,0.7466429074605306,0.1141742542386055,0.25,0.06691800057888031,0.05242941501112449,1.154700538379251,0.013496067449975988,0.12297802235110111,0.08956126309334578,0.03367507421668046,0.0007423523035581076,0.0,0.03849001565179121,0.019274702324781286,0.0014228573390582624,0.001829670007777225,0.0025417140239517902,0.001136377126318804,0.007829181609526054,0.26091247578097254,0.0025417140239517902,0.04450343858473186,0.029862960977830998,0.08425583437975066,0.013352737606197694,0.06806859285554046,0.0014228573390582624,0.02468895832222588,0.02562405146183709,0.02468895832222588,0.007945301695133687,0.0,0.0,0.03154665636970998,0.013496067449975988,0.06826865741049835,0.01924502503227447,0.09216242741966134,0.024346537010074314,0.12707955037911184,0.012605693869402624,0.00276129516005849,0.026317571980679536,0.04450343858473186,0.3031810531854411,0.026317571980679536,0.01609750986485909,0.14767816720579746,0.09922914935437037,0.013352737606197694,0.1323127331807796,0.0007423523035581076,0.0025867665973539206,0.012073149326587639,0.11564612331378948,0.15419485056168863,0.10289928041170575,0.024346537010074314,0.003719233232556984,0.0,0.0024487086000875356
smart_init_box_adapter_bert_ms,0.4097222189108531,61.333333333333336,0.8319911162058512,0.641823967297872,0.7244521776835123,0.592592587073644,0.8437532981236776,0.8961039185523987,0.7777777711550394,0.6111111044883728,0.8421052694320679,0.12166573603947957,0.8386380076408386,0.11781338105599086,0.8116883039474487,0.7410326600074768,0.8386380076408386,0.7903506755828857,0.6379310290018717,0.6124430100123087,0.8242697318394979,0.3666666666666667,0.8421052694320679,0.8205623626708984,0.8672438462575277,0.8205623626708984,0.7786259452501932,0.8990228176116943,0.901960790157318,0.6110086838404337,0.8319911162058512,0.47995029886563617,0.7666666507720947,0.74272487560908,0.810640017191569,0.6911319096883138,0.8382295370101929,0.048591473450263344,0.8153788844744364,0.7903506755828857,0.7151154478391012,0.8153788844744364,0.6513889034589132,0.6644808650016785,0.7946220636367798,0.8242697318394979,0.8136752049128214,0.8437532981236776,0.05010155340035757,0.7125676472981771,0.7430610060691833,0.6900944511095682,0.747992753982544,0.810640017191569,0.12587704757849374,0.17499999999999996,0.05230914056301117,0.07316425180064735,25.32455988429677,0.0022788027931138397,0.057831093884927603,0.05106161017322168,0.12250553900350879,0.0007749069762281499,0.0,0.1170627983550979,0.018518507480621338,0.001367032527923584,0.002313367984616461,0.0012209888053299977,0.0016624283642624163,0.011453480484693008,0.164921138861066,0.0012209888053299977,0.010452078050100037,0.05267327308583826,0.12946858471209255,0.012073195496786891,0.04725815626252606,0.001367032527923584,0.004668549783964224,0.03625674705214225,0.004668549783964224,0.007633596658726043,0.0,0.0,0.08102946032945141,0.0022788027931138397,0.022383236558898793,0.06666666269302368,0.1205972724060885,0.02434386871369045,0.16134970026479317,0.015938206304718625,0.010045224448142055,0.005036138977328355,0.010452078050100037,0.2163459345670293,0.005036138977328355,0.007732986195203725,0.06583428619723686,0.029271137569816672,0.012073195496786891,0.06971672282494917,0.0007749069762281499,0.006644262522047061,0.005799757042521162,0.11563330797433474,0.15417776648209547,0.044393394563738954,0.02434386871369045,0.005262519850189068,0.0,0.004319110708719241
smart_init_classifier_adapter_bert_ms,0.5347222288449606,28.333333333333332,0.8202025294303894,0.48366279403368634,0.6328471104303995,0.722222218910853,0.8534401456514994,0.8961039185523987,0.8777777751286825,0.6975308656692505,0.8566871682802836,0.10845023641983668,0.8582715590794882,0.12310189008712769,0.848124106725057,0.6679335435231527,0.8582715590794882,0.7342676520347595,0.7432950139045715,0.2884016881386439,0.8016893267631531,0.24333333333333332,0.8566871682802836,0.7894805868466696,0.670093814531962,0.7894805868466696,0.8142493565877279,0.8874598741531372,0.8789808750152588,0.729486366113027,0.8202025294303894,0.3742327590783437,0.7777777711550394,0.4295051395893097,0.7523136337598165,0.3765720377365748,0.7471798658370972,0.05922085916002592,0.7905960083007812,0.7342676520347595,0.5731322467327118,0.7905960083007812,0.7300926248232523,0.5304107964038849,0.679079532623291,0.8016893267631531,0.5866970419883728,0.8534401456514994,0.059816502034664154,0.7715954184532166,0.5425049662590027,0.43034636974334717,0.5281432569026947,0.7523136337598165,0.09726149340470631,0.25,0.060948787877957024,0.11846335904538384,19.55334583474995,0.008228282580810563,0.1467579469289543,0.12745291875827094,0.22947760444150606,0.005748083593670093,0.0,0.10715167491612135,0.13929980977329548,0.010283228801073178,0.011762581640904874,0.022722830517989397,0.00636207827620632,0.043832283121132076,0.23844047201872934,0.022722830517989397,0.0317368057467011,0.14678633760794144,0.08925871793834052,0.024947072975989814,0.12503332889007368,0.010283228801073178,0.011068677820016973,0.1019850649442461,0.011068677820016973,0.057421285565637484,0.0,0.0,0.19012299202136906,0.008228282580810563,0.1044486093053936,0.2457038172734748,0.30201672822902664,0.030305256748051092,0.1386811477309372,0.08103964846543797,0.018816728904158125,0.021748508636361,0.0317368057467011,0.2708287218135383,0.021748508636361,0.1439115103381157,0.1854421248211439,0.09506156028503654,0.024947072975989814,0.1164327249083931,0.005748083593670093,0.015589728462853171,0.10793358810026973,0.14394994410927542,0.19193326582990305,0.2751829027419104,0.030305256748051092,0.014802731661926269,0.0,0.012036202107357511
