name,instance,run_id,threshold_incremental,test/macro_types/precision,test_incremental/macro_example/f1,test_incremental_ORGANIZATION-CORPORATION/macro_types/precision,test/macro_example/f1,test_incremental/micro/f1,test_incremental_ORGANIZATION-POLITICAL/macro_types/recall,epoch,test/macro_types/f1,test_incremental_only/macro_example_exclusive/recall,test_pretraining/macro_example/recall,test_incremental_ORGANIZATION-RELIGIOUS/macro_types/f1,test_incremental/macro_example/precision,test_incremental_only/macro_types/precision,test_incremental_only/macro_example_exclusive/precision,test/macro_types/recall,test/macro_example/recall,test_incremental_only/macro_types/f1,test_incremental/macro_types/f1,test_incremental/micro/precision,test_incremental_only/macro_types/recall,threshold_pretraining,test_incremental_ORGANIZATION-MUSEUM/macro_types/precision,test_incremental_ORGANIZATION-EDUCATIONAL/macro_types/recall,test_pretraining/micro/recall,test_incremental_ORGANIZATION/macro_types/f1,test_incremental_only/macro_example_exclusive/f1,test_incremental/macro_types/precision,test_incremental_only/macro_example/recall,test/micro/f1,test_pretraining/micro/f1,test_incremental_ORGANIZATION-CORPORATION/macro_types/recall,test_incremental/macro_example_exclusive/precision,test_incremental_ORGANIZATION-EDUCATIONAL/macro_types/f1,test_incremental/macro_example_exclusive/f1,test_incremental_ORGANIZATION-MUSEUM/macro_types/f1,test_incremental_only/micro/f1,test_incremental_ORGANIZATION-GOVERNMENT/macro_types/precision,test/macro_example/precision,test_incremental_only/micro/recall,test_pretraining/macro_types/precision,test_pretraining/macro_example/precision,test_incremental_only/macro_example/f1,test_incremental_ORGANIZATION/macro_types/recall,test_incremental_only/macro_example/precision,test/micro/precision,test_incremental/micro/recall,test_incremental_ORGANIZATION-MUSEUM/macro_types/recall,test_incremental_ORGANIZATION-RELIGIOUS/macro_types/precision,test_pretraining/macro_example/f1,test_incremental_ORGANIZATION-POLITICAL/macro_types/f1,test_incremental_ORGANIZATION-GOVERNMENT/macro_types/f1,test/micro/recall,test_pretraining/macro_types/recall,test_incremental_ORGANIZATION/macro_types/precision,test_incremental/macro_types/recall,test_incremental_only/micro/precision,test_pretraining/macro_types/f1,test_incremental/macro_example/recall,test_incremental/macro_example_exclusive/recall,test_incremental_ORGANIZATION-CORPORATION/macro_types/f1,test_incremental_ORGANIZATION-RELIGIOUS/macro_types/recall,test_incremental_ORGANIZATION-POLITICAL/macro_types/precision,test_pretraining/micro/precision,test_incremental_ORGANIZATION-GOVERNMENT/macro_types/recall,test_incremental_ORGANIZATION-EDUCATIONAL/macro_types/precision
no_init_box_kenn_horizontal_adapter_bert_ms,2,efwn47y3,0.01,0.849085807800293,0.19004398584365845,0.8064516186714172,0.8232479095458984,0.784729540348053,0.8999999761581421,38,0.8336656093597412,0.5621212124824524,0.8225887417793274,0.98305082321167,0.2111215740442276,0.8913350701332092,0.6409090757369995,0.8187956213951111,0.8225887417793274,0.7664489150047302,0.7851424217224121,0.8584686517715454,0.6722579002380371,0.175,0.9642857313156128,0.4848484992980957,0.8087871074676514,0.8723810315132141,0.5989351868629456,0.8833966851234436,0.11655670404434204,0.808536946773529,0.808536946773529,0.23364485800266263,0.892430305480957,0.5818182229995728,0.8033332824707031,0.931034505367279,0.6746411919593811,0.8500000238418579,0.8239082098007202,0.540229856967926,0.849085807800293,0.8239082098007202,0.12419014424085616,0.912350594997406,0.13289350271224976,0.8082869648933411,0.72265625,0.8999999761581421,1.0,0.8232479095458984,0.9473683834075928,0.6666666865348816,0.8087871074676514,0.8187956213951111,0.8357664346694946,0.7065568566322327,0.8980891704559326,0.8336656093597412,0.1727929562330246,0.73041170835495,0.36231881380081177,0.9666666388511658,1.0,0.8082869648933411,0.5483871102333069,0.7272727489471436
no_init_box_kenn_horizontal_adapter_bert_ms,1,zejyrrb4,0.01,0.8437453508377075,0.19037222862243652,0.8214285969734192,0.8223804235458374,0.7777777910232544,0.8333333134651184,43,0.8280047178268433,0.5651515126228333,0.8205466866493225,0.98305082321167,0.21300660073757172,0.8717533349990845,0.6136363744735718,0.8128407001495361,0.8205466866493225,0.7449971437454224,0.7669470906257629,0.8584905862808228,0.6504231691360474,0.175,1.0,0.24242424964904785,0.8050742745399475,0.8723810315132141,0.5883967876434326,0.8666123151779175,0.11718504130840302,0.8065716028213501,0.8065716028213501,0.2149532735347748,0.9003984332084656,0.3265306055545807,0.8047207593917847,1.0,0.6569343209266663,0.9090909361839294,0.8242224454879761,0.517241358757019,0.8437453508377075,0.8242224454879761,0.12200499325990675,0.912350594997406,0.1272384524345398,0.8080745339393616,0.7109375,1.0,1.0,0.8223804235458374,0.9090909361839294,0.7547169923782349,0.8050742745399475,0.8128407001495361,0.8357664346694946,0.6878414154052734,0.8999999761581421,0.8280047178268433,0.17208608984947205,0.7274236679077148,0.34074074029922485,0.9666666388511658,1.0,0.8080745339393616,0.6451612710952759,0.5
no_init_box_kenn_horizontal_adapter_bert_ms,0,f5fnxsfw,0.01,0.835594892501831,0.1888999193906784,0.7666666507720947,0.8199558854103088,0.7633261680603027,0.7333333492279053,32,0.8192452788352966,0.5356060266494751,0.8161953687667847,0.9473683834075928,0.21394909918308255,0.8418686985969543,0.586363673210144,0.8035231828689575,0.8161953687667847,0.711609959602356,0.7386794090270996,0.8403756022453308,0.6162589192390442,0.175,1.0,0.3030303120613098,0.8013613820075989,0.8723810315132141,0.5598366856575012,0.8409969806671143,0.11105874180793762,0.8023543357849121,0.8023543357849121,0.2149532735347748,0.9043824672698976,0.36363640427589417,0.798497200012207,0.9655172228813172,0.6246973276138306,0.949999988079071,0.8237511515617371,0.49425286054611206,0.835594892501831,0.8237511515617371,0.11608301103115082,0.912350594997406,0.12158340960741044,0.8033498525619507,0.69921875,0.9333333373069764,1.0,0.8199558854103088,0.800000011920929,0.7450980544090271,0.8013613820075989,0.8035231828689575,0.8357664346694946,0.6585577726364136,0.8486841917037964,0.8192452788352966,0.16910147666931152,0.7148074507713318,0.33576640486717224,0.8999999761581421,0.8799999952316284,0.8033498525619507,0.6129032373428345,0.4545454680919647
no_init_box_kenn_hybrid_adapter_bert_ms,2,wubehemw,0.01,0.8550848960876465,0.19109071791172028,0.8709677457809448,0.8240333795547485,0.7910923361778259,0.8666666746139526,32,0.8376359343528748,0.571212112903595,0.8233741521835327,0.98305082321167,0.21206408739089969,0.9133317470550536,0.6545454859733582,0.8208848237991333,0.8233741521835327,0.7795275449752808,0.7966155409812927,0.8654292225837708,0.6799185872077942,0.175,0.9642857313156128,0.5454545617103577,0.8106435537338257,0.8723810315132141,0.6100460886955261,0.9022510051727296,0.11844171583652496,0.8103927969932556,0.8103927969932556,0.25233644247055054,0.8964143991470337,0.6315789818763733,0.8077579736709595,0.931034505367279,0.6889951825141907,0.8947368264198303,0.8246936798095703,0.5517241358757019,0.8550848960876465,0.8246936798095703,0.12649400532245636,0.912350594997406,0.13572101294994354,0.8101422190666199,0.728515625,0.8999999761581421,1.0,0.8240333795547485,0.9285714626312256,0.6800000071525574,0.8106435537338257,0.8208848237991333,0.8357664346694946,0.7131232023239136,0.9171974658966064,0.8376359343528748,0.1738925576210022,0.7350597381591797,0.3913043439388275,0.9666666388511658,1.0,0.8101422190666199,0.5483871102333069,0.75
no_init_box_kenn_top_down_adapter_bert_ms,2,tkfd62ht,0.01,0.8367571830749512,0.1941336989402771,0.8139534592628479,0.8248889446258545,0.7942387461662292,0.8666666746139526,32,0.8341780304908752,0.6303030252456665,0.82761549949646,0.98305082321167,0.21065032482147217,0.8461301326751709,0.7136363983154297,0.8316147327423096,0.82761549949646,0.7775546908378601,0.7927423119544983,0.8391304612159729,0.7192614078521729,0.175,0.7941176295280457,0.5454545617103577,0.8186880946159363,0.8723810315132141,0.669386088848114,0.8446496725082397,0.13069431483745575,0.8111587762832642,0.8111587762832642,0.32710281014442444,0.8904383182525635,0.6315789818763733,0.8206210136413574,0.84375,0.7024608850479126,0.8799999952316284,0.8221802711486816,0.6015325784683228,0.8367571830749512,0.8221802711486816,0.13879823684692383,0.912350594997406,0.1479735970497131,0.8037667274475098,0.75390625,0.8999999761581421,1.0,0.8248889446258545,0.8524589538574219,0.785714328289032,0.8186880946159363,0.8316147327423096,0.8357664346694946,0.746845543384552,0.8440860509872437,0.8341780304908752,0.1800188422203064,0.7609561681747437,0.46666666865348816,0.9666666388511658,0.8387096524238586,0.8037667274475098,0.7096773982048035,0.75
no_init_box_kenn_bottom_up_adapter_bert_ms,2,e0qh4kjq,0.01,0.8549356460571289,0.19326066970825195,0.8571428656578064,0.8252511620521545,0.7991587519645691,0.8999999761581421,45,0.8412900567054749,0.6030303239822388,0.8255733251571655,0.98305082321167,0.21253535151481628,0.9127846360206604,0.6863636374473572,0.828073263168335,0.8255733251571655,0.7963603734970093,0.8103278279304504,0.8656036257743835,0.7062760591506958,0.175,1.0,0.5454545617103577,0.8149752616882324,0.8723810315132141,0.6420040726661682,0.9017821550369264,0.1250392645597458,0.8127120733261108,0.8127120733261108,0.28037384152412415,0.8984063863754272,0.6315789818763733,0.8169305920600891,0.9473683834075928,0.7089201807975769,0.8695651888847351,0.8249292969703674,0.5785440802574158,0.8549356460571289,0.8249292969703674,0.13312052190303802,0.912350594997406,0.14231854677200317,0.8104615211486816,0.7421875,0.8999999761581421,1.0,0.8252511620521545,0.9473683834075928,0.7407407164573669,0.8149752616882324,0.828073263168335,0.8357664346694946,0.7357152700424194,0.9151515364646912,0.8412900567054749,0.17719131708145142,0.7490040063858032,0.4225352108478546,0.9666666388511658,1.0,0.8104615211486816,0.6451612710952759,0.75
no_init_box_kenn_hybrid_adapter_bert_ms,1,omal9kip,0.01,0.8460474014282227,0.19152002036571503,0.8387096524238586,0.8234429955482483,0.7842720150947571,0.8333333134651184,32,0.8312486410140991,0.5810605883598328,0.8221960663795471,0.98305082321167,0.21300658583641052,0.8801941871643066,0.6363636255264282,0.8169587850570679,0.8221960663795471,0.7579516768455505,0.7778052091598511,0.8601398468017578,0.6655229330062866,0.175,1.0,0.27272728085517883,0.8081682920455933,0.8723810315132141,0.6074560284614563,0.8738473653793335,0.12048381567001344,0.8084184527397156,0.8084184527397156,0.2429906576871872,0.9003984332084656,0.36000004410743713,0.8095727562904358,1.0,0.6730769276618958,0.91304349899292,0.8246936798095703,0.5363984704017639,0.8460474014282227,0.8246936798095703,0.1259569525718689,0.912350594997406,0.1319509744644165,0.8086687326431274,0.720703125,1.0,1.0,0.8234429955482483,0.9090909361839294,0.7777777314186096,0.8081682920455933,0.8169587850570679,0.8357664346694946,0.7007839679718018,0.9032257795333862,0.8312486410140991,0.17397108674049375,0.7353917956352234,0.3768115937709808,0.9666666388511658,1.0,0.8086687326431274,0.6774193644523621,0.529411792755127
no_init_box_kenn_top_down_adapter_bert_ms,1,rsjtlggq,0.01,0.8234720230102539,0.19394806027412417,0.7560975551605225,0.8214585185050964,0.7755102515220642,0.8666666746139526,32,0.8255178332328796,0.6242424249649048,0.8258090019226074,0.98305082321167,0.21206408739089969,0.7974178194999695,0.6863636374473572,0.8275738954544067,0.8258090019226074,0.7480537295341492,0.7669834494590759,0.811965823173523,0.7044450044631958,0.175,0.9375,0.3939394056797027,0.8149752616882324,0.8723810315132141,0.6538308262825012,0.8028962016105652,0.1294376403093338,0.8055046200752258,0.8055046200752258,0.2897196114063263,0.8964143991470337,0.4727272689342499,0.8198362588882446,0.9677419066429138,0.6637362837791443,0.5,0.8171536326408386,0.5785440802574158,0.8234720230102539,0.8171536326408386,0.13557282090187073,0.912350594997406,0.14231856167316437,0.7962515354156494,0.7421875,1.0,1.0,0.8214585185050964,0.9285714626312256,0.5866666436195374,0.8149752616882324,0.8275738954544067,0.8357664346694946,0.7341457605361938,0.7783505320549011,0.8255178332328796,0.17868363857269287,0.7553120851516724,0.4189189076423645,0.9666666388511658,1.0,0.7962515354156494,0.7096773982048035,0.5909090638160706
no_init_box_kenn_bottom_up_adapter_bert_ms,1,it1gqj6r,0.01,0.8446660041809082,0.19056427478790283,0.8275862336158752,0.8227728009223938,0.7799144983291626,0.800000011920929,42,0.8286891579627991,0.5674242377281189,0.8208608031272888,0.98305082321167,0.21300658583641052,0.875129222869873,0.6181818246841431,0.8133054971694946,0.8208608031272888,0.7473475933074951,0.7689879536628723,0.8608490824699402,0.6521273851394653,0.175,1.0,0.21212121844291687,0.8056930899620056,0.8723810315132141,0.5917165279388428,0.8695058822631836,0.11765630543231964,0.8071916699409485,0.8071916699409485,0.22429905831813812,0.9003984332084656,0.2916666865348816,0.805532693862915,1.0,0.6618005037307739,0.95652174949646,0.8246936798095703,0.5210728049278259,0.8446660041809082,0.8246936798095703,0.12269333750009535,0.912350594997406,0.12818095088005066,0.8086956739425659,0.712890625,1.0,1.0,0.8227728009223938,0.888888955116272,0.8148147463798523,0.8056930899620056,0.8133054971694946,0.8357664346694946,0.6893022060394287,0.9066666960716248,0.8286891579627991,0.17240025103092194,0.7287516593933105,0.3529411852359772,0.9666666388511658,1.0,0.8086956739425659,0.7096773982048035,0.46666666865348816
no_init_box_kenn_hybrid_adapter_bert_ms,0,2ahk1n4e,0.01,0.6969034671783447,0.15528792142868042,0.0,0.8011841177940369,0.6263872385025024,0.0,13,0.6849146485328674,0.07954545319080353,0.7766101360321045,0.4210526645183563,0.2158341109752655,0.3333333432674408,0.11363635957241058,0.6733313202857971,0.7766101360321045,0.19607843458652496,0.308720201253891,0.8494983315467834,0.1388888955116272,0.175,1.0,0.0,0.7370049357414246,0.8723810315132141,0.093582883477211,0.4051095247268677,0.016493871808052063,0.7681393027305603,0.7681393027305603,0.0,0.9123506546020508,0.0,0.6564162969589233,0.7234042882919312,0.17482517659664154,0.0,0.8273640871047974,0.0957854390144348,0.6969034671783447,0.8273640871047974,0.01940455660223961,0.912350594997406,0.023562677204608917,0.8020201921463013,0.49609375,0.5666666626930237,1.0,0.8011841177940369,0.0,0.0,0.7370049357414246,0.6733313202857971,0.8357664346694946,0.24938341975212097,1.0,0.6849146485328674,0.12126924842596054,0.5126162171363831,0.0,0.2666666805744171,0.0,0.8020201921463013,0.0,0.0
