name,test_pretraining/macro_types/f1/mean,test_incremental/macro_example/recall/mean,test/macro_example/recall/mean,test_incremental_only/micro/f1/mean,test_pretraining/macro_types/recall/mean,test_incremental/micro/f1/mean,test_incremental_SUBSTANCE-DRUG/macro_types/f1/mean,test_incremental_SUBSTANCE-CHEMICAL/macro_types/f1/mean,test_incremental_SUBSTANCE-FOOD/macro_types/precision/mean,test_incremental_only/macro_example_exclusive/recall/mean,test_incremental/macro_types/f1/mean,test_incremental/macro_types/precision/mean,test_incremental_SUBSTANCE-FOOD/macro_types/f1/mean,test_incremental_only/macro_example_exclusive/f1/mean,test_incremental_SUBSTANCE-CHEMICAL/macro_types/precision/mean,test_incremental/macro_types/recall/mean,test_incremental_only/macro_example/precision/mean,test_incremental_SUBSTANCE-DRUG/macro_types/recall/mean,threshold_pretraining/mean,test_pretraining/micro/f1/mean,test/macro_example/precision/mean,test_incremental_SUBSTANCE/macro_types/precision/mean,test/micro/recall/mean,test/macro_types/recall/mean,test_incremental/macro_example/f1/mean,test_incremental_only/macro_types/f1/mean,test_incremental_only/macro_types/precision/mean,test_pretraining/micro/precision/mean,test_pretraining/macro_example/f1/mean,test_pretraining/macro_types/precision/mean,test_incremental/macro_example_exclusive/precision/mean,test/macro_types/precision/mean,test_pretraining/macro_example/recall/mean,test_incremental_SUBSTANCE/macro_types/f1/mean,test_incremental/macro_example_exclusive/f1/mean,test_incremental/macro_example_exclusive/recall/mean,threshold_incremental/mean,test_incremental/micro/precision/mean,test_incremental_only/micro/recall/mean,test_incremental_only/micro/precision/mean,test/micro/precision/mean,test/macro_example/f1/mean,test_incremental_only/macro_example/f1/mean,test_incremental_SUBSTANCE-CHEMICAL/macro_types/recall/mean,test/micro/f1/mean,test_incremental/micro/recall/mean,test_incremental/macro_example/precision/mean,test_incremental_SUBSTANCE/macro_types/recall/mean,test_pretraining/macro_example/precision/mean,epoch/mean,test_incremental_SUBSTANCE-FOOD/macro_types/recall/mean,test_pretraining/micro/recall/mean,test_incremental_only/macro_types/recall/mean,test/macro_types/f1/mean,test_incremental_SUBSTANCE-DRUG/macro_types/precision/mean,test_incremental_only/macro_example_exclusive/precision/mean,test_incremental_only/macro_example/recall/mean,test_pretraining/macro_types/f1/std,test_incremental/macro_example/recall/std,test/macro_example/recall/std,test_incremental_only/micro/f1/std,test_pretraining/macro_types/recall/std,test_incremental/micro/f1/std,test_incremental_SUBSTANCE-DRUG/macro_types/f1/std,test_incremental_SUBSTANCE-CHEMICAL/macro_types/f1/std,test_incremental_SUBSTANCE-FOOD/macro_types/precision/std,test_incremental_only/macro_example_exclusive/recall/std,test_incremental/macro_types/f1/std,test_incremental/macro_types/precision/std,test_incremental_SUBSTANCE-FOOD/macro_types/f1/std,test_incremental_only/macro_example_exclusive/f1/std,test_incremental_SUBSTANCE-CHEMICAL/macro_types/precision/std,test_incremental/macro_types/recall/std,test_incremental_only/macro_example/precision/std,test_incremental_SUBSTANCE-DRUG/macro_types/recall/std,threshold_pretraining/std,test_pretraining/micro/f1/std,test/macro_example/precision/std,test_incremental_SUBSTANCE/macro_types/precision/std,test/micro/recall/std,test/macro_types/recall/std,test_incremental/macro_example/f1/std,test_incremental_only/macro_types/f1/std,test_incremental_only/macro_types/precision/std,test_pretraining/micro/precision/std,test_pretraining/macro_example/f1/std,test_pretraining/macro_types/precision/std,test_incremental/macro_example_exclusive/precision/std,test/macro_types/precision/std,test_pretraining/macro_example/recall/std,test_incremental_SUBSTANCE/macro_types/f1/std,test_incremental/macro_example_exclusive/f1/std,test_incremental/macro_example_exclusive/recall/std,threshold_incremental/std,test_incremental/micro/precision/std,test_incremental_only/micro/recall/std,test_incremental_only/micro/precision/std,test/micro/precision/std,test/macro_example/f1/std,test_incremental_only/macro_example/f1/std,test_incremental_SUBSTANCE-CHEMICAL/macro_types/recall/std,test/micro/f1/std,test_incremental/micro/recall/std,test_incremental/macro_example/precision/std,test_incremental_SUBSTANCE/macro_types/recall/std,test_pretraining/macro_example/precision/std,epoch/std,test_incremental_SUBSTANCE-FOOD/macro_types/recall/std,test_pretraining/micro/recall/std,test_incremental_only/macro_types/recall/std,test/macro_types/f1/std,test_incremental_SUBSTANCE-DRUG/macro_types/precision/std,test_incremental_only/macro_example_exclusive/precision/std,test_incremental_only/macro_example/recall/std
no_init_box_kenn_bottom_up_adapter_bert_ms,0.7822964986165365,0.05728348592917124,0.8377578655878702,0.15402352809906006,0.8016647497812907,0.4362948661049207,0.10782898962497711,0.15362046038111052,0.34275840409100056,0.42745098502685624,0.4063166677951813,0.52008023361365,0.19719360147913298,0.28517530392855406,0.6415680547555288,0.5406964421272278,0.018431249152248103,0.38383838534355164,0.17499999999999996,0.6749545435110728,0.6410626173019409,0.752293586730957,0.8296703298886617,0.8016647497812907,0.05691887935002645,0.1555173099040985,0.44267580037315685,0.6243328948815664,0.687755157550176,0.7715738813082377,0.7808642387390137,0.7715738813082377,0.8377578655878702,0.8241206407546997,0.6710103750228882,0.6753086845080057,0.023333333333333334,0.5337265096604824,0.41584158533563215,0.6639103504518667,0.6243328948815664,0.687755157550176,0.02284627757035196,0.4122807023425897,0.6749545435110728,0.6492146551609039,0.06623730187614758,0.9111111164093018,0.6410626173019409,37.666666666666664,0.4555555582046509,0.8296703298886617,0.41722488527496654,0.7822964986165365,0.34370091122885543,0.2300653758769234,0.03424442225756744,0.03371611825993937,0.021908835955552392,0.019747142056365446,0.19763978785372574,0.08180478493954856,0.29123419496985753,0.13785935868813054,0.16202455382951161,0.5693634677883954,0.5124516440544701,0.13936062050148929,0.35636053302938137,0.2952053755646515,0.27793075082818985,0.5275308026037394,0.38857270002719824,0.01581594839072814,0.5389624867825029,0.0,0.2247594875203626,0.3225476043580276,0.0,0.0359709048750415,0.08180478493954856,0.004227906242046999,0.2025118969846907,0.4751473963742406,0.30436646993948385,0.2410945795569291,0.07502326794570001,0.22559431289042026,0.07502326794570001,0.019747142056365446,0.0,0.04984236471945458,0.2582808145377832,0.03214550253664319,0.4144809265471052,0.5185510637908409,0.5478485007152021,0.30436646993948385,0.2410945795569291,0.022265894569785935,0.5172464202456958,0.2247594875203626,0.274207618570107,0.01913617963044766,0.0,0.3225476043580276,5.507570547286103,0.5058912187610104,0.0359709048750415,0.5180969341457792,0.03371611825993937,0.5685843960680511,0.19742026214143701,0.04105408897863662
no_init_box_kenn_horizontal_adapter_bert_ms,0.7848430474599203,0.04497853169838587,0.8271808425585429,0.21742149194081625,0.7558632493019104,0.6041889786720276,0.19509044786294302,0.2543738583723704,0.6666666666666666,0.13725490868091583,0.4438895285129547,0.735990067323049,0.18201755483945212,0.14456132551034293,0.8916666706403097,0.32313929001490277,0.012252591705570618,0.12121212482452393,0.17499999999999996,0.8047693570454916,0.8273117343584696,0.752293586730957,0.8097527424494425,0.7558632493019104,0.05678819368282954,0.21124238024155298,0.7305556039015452,0.7998605171839396,0.8272436658541361,0.8170285820960999,0.9111111760139464,0.8170285820960999,0.8271808425585429,0.8241206407546997,0.6694697539011637,0.5302469432353973,0.016666666666666666,0.7717028061548868,0.12871287390589714,0.9410256346066793,0.7998605171839396,0.8272436658541361,0.011581255588680506,0.14912280440330505,0.8047693570454916,0.49738221367200214,0.07728558033704758,0.9111111164093018,0.8273117343584696,44.666666666666664,0.11111111690600713,0.8097527424494425,0.1271486853559812,0.7848430474599203,0.6333333253860474,0.15294118225574493,0.010995916090905666,0.031558832761200833,0.0041984012894346915,0.0036412834457564777,0.1412552206724911,0.015838328332465276,0.04038241184475818,0.21074487214878496,0.061248957480085575,0.5773502691896258,0.10057505472877366,0.11329357563265725,0.25802232945482967,0.2162396534967727,0.10667052068662577,0.10103629170046552,0.07523197429651372,0.009089208977056663,0.1388659342887042,0.0,0.0036719986038554254,9.067761655538072e-05,0.0,0.006623404272752456,0.015838328332465276,0.0032963047208763216,0.1524139316577088,0.34402980152226453,0.0008228957426889376,0.001838424087786539,0.05432047858262999,0.0,0.05432047858262999,0.0036412834457564777,0.0,0.03885975467769791,0.049494489306781284,0.011547005383792516,0.011678859674952214,0.09548169179867683,0.052360464597206606,0.0008228957426889376,0.001838424087786539,0.008545705257108856,0.04019803027261715,0.0036719986038554254,0.05049032163141571,0.0,0.0,9.067761655538072e-05,10.066445913694333,0.138777740535565,0.006623404272752456,0.10030931519509165,0.031558832761200833,0.5507570489567108,0.11345472082050537,0.008057379453751493
no_init_box_kenn_hybrid_adapter_bert_ms,0.7835758725802103,0.057859462996323906,0.8383338451385498,0.17062915364901224,0.8037045399347941,0.44175661851962406,0.12267378469308217,0.1761997031668822,0.34275840409100056,0.4411764744048317,0.4156854848066966,0.521763746937116,0.20880800361434618,0.2998419605816404,0.6483020683129629,0.550385445356369,0.0196879255430152,0.3939393957455953,0.17499999999999996,0.6754936476548513,0.6410626173019409,0.752293586730957,0.8305860757827759,0.8037045399347941,0.057336144149303436,0.1717095673084259,0.44492047155896824,0.624510794878006,0.6880415976047516,0.7719283103942871,0.7808642387390137,0.7719283103942871,0.8383338451385498,0.8241206407546997,0.6759294271469116,0.6820988059043884,0.053333333333333344,0.5357453984518846,0.4290429065003991,0.6657494318981966,0.624510794878006,0.6880415976047516,0.02402126827898125,0.4298245646059513,0.6754936476548513,0.6561954518159231,0.06623730187614758,0.9111111164093018,0.6410626173019409,37.333333333333336,0.46666666865348816,0.8305860757827759,0.4301435463130474,0.7835758725802103,0.34370091122885543,0.2457516494517525,0.03534401371143758,0.03543504933142648,0.021653369416540464,0.01946680788191709,0.22626005649906236,0.08084597718007891,0.2973991849164537,0.16304534434471205,0.20108499481033254,0.5693634677883954,0.506668334531971,0.15541442804935068,0.35912690025379174,0.31524021782243666,0.2783923860306965,0.5323731531506668,0.38401836602818046,0.016452181461334904,0.5326786604740501,0.0,0.22524407766529575,0.3225476043580276,0.0,0.035531095053846856,0.08084597718007891,0.004837304228645318,0.23040908684977485,0.47883586424025754,0.3045217812844307,0.24134669081722293,0.07560566961330578,0.22559431289042026,0.07560566961330578,0.01946680788191709,0.0,0.05702644116869183,0.2552691512450182,0.08386497083606084,0.4163714172132774,0.5122107948800538,0.5493466348509009,0.3045217812844307,0.24134669081722293,0.022302877438323803,0.507787915514675,0.22524407766529575,0.27085491459621575,0.01913617963044766,0.0,0.3225476043580276,4.932882862316246,0.5033222952899753,0.035531095053846856,0.5120244934732006,0.03543504933142648,0.5685843960680511,0.20536194684512926,0.04059077011321476
no_init_box_kenn_top_down_adapter_bert_ms,0.7984342773755392,0.04775369167327881,0.8289349675178528,0.29263293246428174,0.7646939357121786,0.6203781962394714,0.14436418563127518,0.30306485792001087,1.0,0.20980393389860788,0.5047580798467001,0.8232585986455282,0.41609902183214825,0.21268423895041147,0.6518518527348837,0.36508506536483765,0.017279295871655147,0.08080808321634929,0.17499999999999996,0.8058493733406067,0.8269452055295309,0.752293586730957,0.8134157657623291,0.7646939357121786,0.05907978117465973,0.29830888907114667,0.8469135959943136,0.7984274625778198,0.8279375036557516,0.8354009389877319,0.9148148695627848,0.8354009389877319,0.8289349675178528,0.8241206407546997,0.6964849630991617,0.5629629691441854,0.023333333333333334,0.7581731875737509,0.18151815483967462,0.7847985227902731,0.7984274625778198,0.8279375036557516,0.01703879206130902,0.2017543911933899,0.8058493733406067,0.525305430094401,0.07759974896907806,0.9111111164093018,0.8269452055295309,37.333333333333336,0.26666667064030963,0.8134157657623291,0.1830763891339302,0.7984342773755392,0.8888888955116272,0.2156862864891688,0.016808042923609417,0.012830297418010263,0.0029846057295799255,0.0024386161223593464,0.09501513413858965,0.010379929455569738,0.03209888416457935,0.10614828582030834,0.08266129539280562,0.0,0.07354902015820725,0.05942763861264908,0.09172276790119324,0.10674730851697883,0.07497550245230405,0.21669038751867864,0.049304786519135446,0.006132335450352561,0.06308078974256406,0.0,0.003318524864702617,0.0005947152302272229,0.0,0.004468699096588345,0.010379929455569738,0.0021563160815025345,0.09480897352568833,0.1222970445265858,0.002904392420995328,0.0011973735263735804,0.019310066502466798,0.006414985402253119,0.019310066502466798,0.0024386161223593464,0.0,0.02542053917716728,0.03518518805504264,0.023094010767585032,0.031785613170076235,0.06441987157790392,0.16216548826352428,0.002904392420995328,0.0011973735263735804,0.00600651957818251,0.060773712999075837,0.003318524864702617,0.034064966089895676,0.0005441560328212146,0.0,0.0005947152302272229,4.932882862316246,0.08819171356034845,0.004468699096588345,0.06573970899620563,0.012830297418010263,0.19245007825895602,0.07654596855634005,0.005892240851596476
no_init_kenn_bottom_up_adapter_bert_ms,0.8065431316693624,0.07697140673796336,0.8550895651181539,0.5274170438448588,0.8727399905522665,0.6530594031016032,0.5380402406056722,0.5207666655381521,0.38992125789324444,0.8627451459566752,0.6321295499801636,0.5106270015239716,0.5312645932038625,0.8372361461321512,0.41774649421374005,0.8607389728228251,0.0652947947382927,0.7575757702191671,0.25,0.7913581530253092,0.7749136090278625,0.792792797088623,0.8656135400136312,0.8727399905522665,0.07489784310261409,0.5337051053841909,0.4165717462698619,0.7302355567614237,0.8127042651176453,0.7501386404037476,0.8611111243565878,0.7501386404037476,0.8550895651181539,0.8756219148635864,0.8829624056816101,0.9074074427286783,0.07333333333333333,0.5309852262338003,0.8151815136273702,0.41077955067157745,0.7302355567614237,0.8127042651176453,0.06707357863585155,0.7631578842798868,0.7913581530253092,0.8917975624402364,0.07304429511229198,0.9777777791023254,0.7749136090278625,37.666666666666664,0.9444444378217062,0.8656135400136312,0.8217260440190634,0.8065431316693624,0.4420474370320638,0.8150327404340109,0.06911718100309372,0.012803319647915971,0.002078031583253094,0.0020780343993173894,0.15468918227866588,0.007215607846860356,0.1333709529927851,0.18848427356681316,0.10597538002665347,0.1807484979135408,0.04898038308296161,0.09965553902993644,0.12869918586950735,0.19049322916780614,0.022395096413168402,0.14082560559568483,0.03427395543812553,0.0027938695798067326,0.03030303120613588,0.0,0.031386416965905196,0.03594155814499839,0.0,0.003387955455127184,0.007215607846860356,0.0012353410627202561,0.15826568819673542,0.17159889744061954,0.054499346574285304,0.01914902408218129,0.0270945604805651,0.0402644577103519,0.0270945604805651,0.0020780343993173894,0.0,0.014563327863985228,0.02449767145869098,0.055075705472861024,0.16375890669532978,0.04884040982378804,0.16742293514393203,0.054499346574285304,0.01914902408218129,0.0017941328279310732,0.11470786009816093,0.031386416965905196,0.025826628408803246,0.0034154627034992816,0.0,0.03594155814499839,15.17673658377628,0.050917517693612684,0.003387955455127184,0.04569861320640006,0.012803319647915971,0.21595880341424012,0.03487402504897761,0.003923972114666748
no_init_kenn_horizontal_adapter_bert_ms,0.8074130415916443,0.07283485184113185,0.8512933254241943,0.5379651089509329,0.8583915630976359,0.6771892309188843,0.5454227129618326,0.5460606614748637,0.4447760134935379,0.7627451419830322,0.6464036504427592,0.5736813843250275,0.5449574490388235,0.7691813707351685,0.49622506896654767,0.792583703994751,0.06241491188605627,0.6767676671346029,0.25,0.7989068229993185,0.7830924590428671,0.792792797088623,0.8592032988866171,0.8583915630976359,0.07464376588662465,0.5563624799251556,0.5006442368030548,0.7476345499356588,0.8154304623603821,0.7634132901827494,0.9098765651384989,0.7634132901827494,0.8512933254241943,0.8756219148635864,0.8799671133359274,0.8586419820785522,0.19666666666666668,0.5889513194561005,0.7227723002433777,0.4765586058298747,0.7476345499356588,0.8154304623603821,0.06162149583299955,0.6491227944691976,0.7989068229993185,0.8429319461186727,0.07718085497617722,0.9777777791023254,0.7830924590428671,35.666666666666664,0.8666666547457377,0.8592032988866171,0.7308524250984192,0.8074130415916443,0.5609316428502401,0.7790850202242533,0.06110587467749914,0.006691670454217088,0.007307948103492583,0.006883245534196084,0.0904449568250025,0.02632993756254228,0.08724782944923842,0.1258716636915135,0.03693768487785693,0.23157433086804452,0.1735376944772755,0.058109929760180416,0.1534840258253473,0.17295821701536285,0.13423167580901132,0.05226371783461806,0.12506714142345793,0.007723276214963375,0.15252191232875453,0.0,0.01913593323713963,0.03280973844758749,0.0,0.011736277773675084,0.02632993756254228,0.001937864906898308,0.08843867895017724,0.2046453852916157,0.041564093803049484,0.01492799245030519,0.03231242526828387,0.05136456402838318,0.03231242526828387,0.006883245534196084,0.0,0.022845293606146233,0.08615260322202718,0.16258331197676268,0.16055576462366972,0.16918820185224012,0.19092913811178158,0.041564093803049484,0.01492799245030519,0.010753714830462611,0.21432967530424676,0.01913593323713963,0.08946600239873477,0.00435703372277648,0.0,0.03280973844758749,12.013880860626733,0.15275252706723505,0.011736277773675084,0.16675623937712458,0.006691670454217088,0.3443264036730571,0.09640470265697222,0.013902644315404868
no_init_kenn_hybrid_adapter_bert_ms,0.8017897605895996,0.0778615524371465,0.8559797008832296,0.46889395515124005,0.876357913017273,0.6056435306866964,0.4972187081972758,0.4705459773540497,0.31148964663346607,0.8823529879252116,0.5955407023429871,0.4591076175371806,0.4516296188036601,0.8275614380836487,0.3471665283044179,0.8779239455858866,0.06251963476339976,0.7777777910232544,0.25,0.781263550122579,0.7637501358985901,0.792792797088623,0.8672160903612772,0.876357913017273,0.07386736323436101,0.47674349943796795,0.34787923594315845,0.7120025555292765,0.8069377541542053,0.7392924825350443,0.829012393951416,0.7392924825350443,0.8559797008832296,0.8756219148635864,0.8708142240842184,0.9179012775421143,0.03666666666666667,0.467737078666687,0.8382838169733683,0.34131433069705963,0.7120025555292765,0.8069377541542053,0.06629850715398788,0.7894736727078756,0.781263550122579,0.904013971487681,0.07032150030136108,0.9777777791023254,0.7637501358985901,41.333333333333336,0.9666666587193807,0.8672160903612772,0.8446394006411234,0.8017897605895996,0.38498152792453766,0.7803921898206075,0.07068802913029988,0.010675292664726518,0.00214426624972736,0.0021442558793632414,0.13533309634902527,0.008440833346137558,0.11935161298987411,0.16955367991299905,0.06983924369432765,0.17470523162429444,0.04668973750008308,0.0859424073901909,0.11204948381293292,0.1853687267931626,0.018399170538301025,0.09124696997218697,0.040093969068567624,0.0016624255482124131,0.0630807945147571,0.0,0.02904113475676928,0.034435903782090736,0.0,0.003965313244949718,0.008440833346137558,0.0002878856655198387,0.13791087656425524,0.14939930343589347,0.05026136720084416,0.018355343839310877,0.023589367320308773,0.020123397977625437,0.023589367320308773,0.0021442558793632414,0.0,0.0033939042132946177,0.025278490138709375,0.028867513459481284,0.14645318866267393,0.0571633759530532,0.14745088802694356,0.05026136720084416,0.018355343839310877,0.0014740151920699565,0.1205940924437011,0.02904113475676928,0.030227787828636485,0.0017069759268121248,0.0,0.034435903782090736,10.96965511460289,0.033333331346516226,0.003965313244949718,0.053458597588439016,0.010675292664726518,0.1886794200944078,0.020751000702405518,0.0037404557234328745
no_init_kenn_top_down_adapter_bert_ms,0.7935728033383688,0.07566237449645996,0.8537805080413818,0.3652261917789777,0.8692620197931925,0.48943043251832324,0.4234957496325175,0.3301742523908615,0.2527497050662835,0.8274510502815247,0.5385290086269379,0.420377512772878,0.36841627458731335,0.7945873339970907,0.2608725279569626,0.8442184925079346,0.06246727332472801,0.7575757702191671,0.25,0.7084176341692606,0.6891035437583923,0.792792797088623,0.8640110095342001,0.8692620197931925,0.07349258164564769,0.381398543715477,0.29623909542957944,0.6215551197528839,0.754867951075236,0.7311387856801351,0.8515432476997375,0.7311387856801351,0.8537805080413818,0.8756219148635864,0.8663959503173828,0.8919753630956014,0.12666666666666668,0.3857649316390355,0.792079230149587,0.27691851556301117,0.6215551197528839,0.754867951075236,0.06365685040752093,0.7192982236544291,0.7084176341692606,0.8795811732610067,0.0722326934337616,0.9777777791023254,0.6891035437583923,41.666666666666664,0.9222222169240316,0.8640110095342001,0.7996987501780192,0.7935728033383688,0.3750950333972772,0.7797386050224304,0.06628966083129247,0.015247483331049414,0.004705546921482667,0.004705554880649256,0.24254141709425756,0.01758213541428555,0.2804433497888239,0.29943244778592093,0.23166208739036942,0.17556604790061903,0.10851834956730533,0.14893655798813504,0.17852434731129427,0.23618476458733698,0.027299731120953116,0.23139308122115354,0.08351501201936357,0.007837451363503086,0.10925911628433664,0.0,0.1492808543416385,0.16215093918955073,0.0,0.007920720441012018,0.01758213541428555,0.002696590364985565,0.2585850889523092,0.23803248084462147,0.20404205105705311,0.1048944360260627,0.03758404990514221,0.10251611126353706,0.03758404990514221,0.004705554880649256,0.0,0.031789797838203716,0.05547320280481241,0.10066445913694332,0.26557128623895976,0.11418378763108528,0.2160896439479726,0.20404205105705311,0.1048944360260627,0.002187064779171844,0.15193428679928433,0.1492808543416385,0.06037990359600557,0.008695991627767859,0.0,0.16215093918955073,10.692676621563626,0.08388706007038478,0.007920720441012018,0.11135331117943559,0.015247483331049414,0.3290027271988945,0.09782983595747609,0.008693745360106512
smart_init_box_adapter_bert_ms,0.8044059872627258,0.07618598639965057,0.8544350266456604,0.4317627052466075,0.8707825144131979,0.56291397412618,0.3874310950438182,0.4434800048669179,0.304400771856308,0.8784314393997192,0.5528614719708761,0.40545589725176495,0.4653839071591695,0.48942790428797406,0.30711111426353455,0.8690058588981628,0.027175623302658398,0.7777777910232544,0.17499999999999996,0.779450515906016,0.7927741010983785,0.752293586730957,0.8596611618995667,0.8707825144131979,0.05401665344834328,0.43284863233566284,0.2898433407147725,0.7129404743512472,0.8224490880966187,0.7474424441655477,0.49351853132247925,0.7474424441655477,0.8544350266456604,0.8241206407546997,0.6367963751157125,0.8981482187906901,0.19666666666666668,0.41436469554901123,0.8481848041216532,0.28966649373372394,0.7129404743512472,0.8224490880966187,0.03920958563685417,0.7982456286748251,0.779450515906016,0.8778359492619833,0.04186302050948143,0.9111111164093018,0.7927741010983785,19.333333333333332,0.9888888796170553,0.8596611618995667,0.8549707929293314,0.8044059872627258,0.25801808138688404,0.3392157256603241,0.0703738604982694,0.003224619335576118,0.0014984947274975264,0.0015734666161528216,0.011415648151740301,0.00659707660817378,0.00587383667596335,0.028157658144550422,0.02510125638495933,0.02006375549903409,0.02960719209908059,0.009711504840099333,0.00434946803201671,0.025658055878354555,0.018856407494006563,0.014482973432363601,0.03133604335599326,0.0010995911434294107,0.0762609719540337,0.0,0.0009510886118351781,0.0011876183401661182,0.0,0.00309700292069327,0.00659707660817378,0.0011590447184593642,0.011013982379004791,0.005799260368442356,0.0025498137002247117,0.00043755689753277577,0.0009156947285073846,0.01759258069490656,0.0009156947285073846,0.0015734666161528216,0.0,0.013663857970272178,0.017665558979525642,0.030550504633038943,0.004016450919529533,0.044646023851106394,0.005818372902309901,0.0025498137002247117,0.00043755689753277577,0.001510644714946675,0.06622663364290973,0.0009510886118351781,0.023608624404042933,0.0014923033549613714,0.0,0.0011876183401661182,2.5166114784235836,0.019245025032274446,0.00309700292069327,0.04178145894382589,0.003224619335576118,0.016617003029091543,0.013725489377975464,0.0023719251040003244
smart_init_classifier_adapter_bert_ms,0.7892876068751017,0.07147345195213954,0.8505602876345316,0.43538301189740497,0.8513347705205282,0.6088706851005554,0.3424164056777954,0.4229548176129659,0.39948107798894245,0.7392157316207886,0.5569451451301575,0.44280242919921875,0.5461706717809042,0.46235839525858563,0.32698825001716614,0.7590643366177877,0.026966175064444542,0.5555555522441864,0.25,0.78823322057724,0.7916064461072286,0.792792797088623,0.85599817832311,0.8513347705205282,0.06246772656838099,0.43788884083429974,0.326138973236084,0.7306734124819437,0.8200016419092814,0.7358598311742147,0.6595679322878519,0.7358598311742147,0.8505602876345316,0.8756219148635864,0.7364251613616943,0.8425926367441813,0.10000000000000002,0.4884336094061534,0.6765676538149515,0.3258545696735382,0.7306734124819437,0.8200016419092814,0.037040963768959045,0.6140350898106893,0.78823322057724,0.8184991280237833,0.055948263655106224,0.9777777791023254,0.7916064461072286,16.333333333333332,0.8888888756434122,0.85599817832311,0.6861598690350851,0.7892876068751017,0.2519475370645523,0.33660133679707843,0.059220860401789345,0.007680431224189039,0.0054347596126625465,0.004634881021958253,0.025513600568132667,0.020911519276198637,0.022635859018743952,0.07502343587366114,0.02021410984691804,0.07028030150453815,0.12427415458889167,0.022445230824199164,0.02271298305996337,0.05790628186998418,0.0679481557758034,0.02022854190352812,0.09932971777617974,0.003790697196857277,0.2128414807418799,0.0,0.006800086739447396,0.006192584752636935,0.0,0.009274099319781823,0.020911519276198637,0.0016349717062786116,0.02707336767457596,0.030283988770103812,0.017457859779538287,0.001450141241420397,0.004781674957628402,0.06247312075164342,0.004781674957628402,0.004634881021958253,0.0,0.01927445927074938,0.06406981033936586,0.052915026221291815,0.04552384135797922,0.13369391177510212,0.029594103115166213,0.017457859779538287,0.001450141241420397,0.005443536786169895,0.11866446172989778,0.006800086739447396,0.07069680556643056,0.005299322464792574,0.0,0.006192584752636935,1.154700538379251,0.06938885774078345,0.009274099319781823,0.1324396343075178,0.007680431224189039,0.040829968505507144,0.047316844490022804,0.009955988758854402
