name,test_incremental_SUBSTANCE/macro_types/precision/mean,test_incremental_only/macro_example_exclusive/recall/mean,test/macro_example/recall/mean,test/macro_example/precision/mean,test_pretraining/macro_types/recall/mean,test_pretraining/macro_example/f1/mean,test_incremental_SUBSTANCE-FOOD/macro_types/f1/mean,test/micro/f1/mean,test_pretraining/macro_types/f1/mean,test_incremental_only/micro/precision/mean,test_incremental_only/macro_types/precision/mean,test_incremental_only/macro_types/f1/mean,test_incremental/macro_example/precision/mean,test_incremental_SUBSTANCE/macro_types/f1/mean,test/micro/precision/mean,test_incremental/macro_example_exclusive/recall/mean,test_incremental_only/macro_example/recall/mean,test/macro_types/recall/mean,test_pretraining/micro/recall/mean,test_incremental_SUBSTANCE/macro_types/recall/mean,test_incremental/macro_example_exclusive/precision/mean,test_incremental_SUBSTANCE-CHEMICAL/macro_types/f1/mean,test_incremental_SUBSTANCE-FOOD/macro_types/recall/mean,test/macro_types/f1/mean,test/macro_types/precision/mean,test_pretraining/macro_example/recall/mean,epoch/mean,test/micro/recall/mean,test_incremental_only/macro_example_exclusive/f1/mean,test_incremental_SUBSTANCE-DRUG/macro_types/recall/mean,test_incremental_SUBSTANCE-FOOD/macro_types/precision/mean,test_incremental/micro/f1/mean,test_pretraining/micro/f1/mean,test_pretraining/micro/precision/mean,test_incremental/macro_example_exclusive/f1/mean,test_incremental_SUBSTANCE-CHEMICAL/macro_types/precision/mean,test_incremental_only/micro/f1/mean,test/macro_example/f1/mean,threshold_pretraining/mean,test_incremental_SUBSTANCE-CHEMICAL/macro_types/recall/mean,test_pretraining/macro_types/precision/mean,test_incremental_only/macro_example_exclusive/precision/mean,test_incremental/micro/precision/mean,test_incremental/macro_types/recall/mean,test_incremental_only/macro_example/f1/mean,test_incremental_SUBSTANCE-DRUG/macro_types/f1/mean,test_incremental/micro/recall/mean,test_incremental_only/micro/recall/mean,test_incremental/macro_example/recall/mean,test_pretraining/macro_example/precision/mean,test_incremental_SUBSTANCE-DRUG/macro_types/precision/mean,test_incremental/macro_example/f1/mean,test_incremental/macro_types/f1/mean,threshold_incremental/mean,test_incremental_only/macro_example/precision/mean,test_incremental/macro_types/precision/mean,test_incremental_only/macro_types/recall/mean,test_incremental_SUBSTANCE/macro_types/precision/std,test_incremental_only/macro_example_exclusive/recall/std,test/macro_example/recall/std,test/macro_example/precision/std,test_pretraining/macro_types/recall/std,test_pretraining/macro_example/f1/std,test_incremental_SUBSTANCE-FOOD/macro_types/f1/std,test/micro/f1/std,test_pretraining/macro_types/f1/std,test_incremental_only/micro/precision/std,test_incremental_only/macro_types/precision/std,test_incremental_only/macro_types/f1/std,test_incremental/macro_example/precision/std,test_incremental_SUBSTANCE/macro_types/f1/std,test/micro/precision/std,test_incremental/macro_example_exclusive/recall/std,test_incremental_only/macro_example/recall/std,test/macro_types/recall/std,test_pretraining/micro/recall/std,test_incremental_SUBSTANCE/macro_types/recall/std,test_incremental/macro_example_exclusive/precision/std,test_incremental_SUBSTANCE-CHEMICAL/macro_types/f1/std,test_incremental_SUBSTANCE-FOOD/macro_types/recall/std,test/macro_types/f1/std,test/macro_types/precision/std,test_pretraining/macro_example/recall/std,epoch/std,test/micro/recall/std,test_incremental_only/macro_example_exclusive/f1/std,test_incremental_SUBSTANCE-DRUG/macro_types/recall/std,test_incremental_SUBSTANCE-FOOD/macro_types/precision/std,test_incremental/micro/f1/std,test_pretraining/micro/f1/std,test_pretraining/micro/precision/std,test_incremental/macro_example_exclusive/f1/std,test_incremental_SUBSTANCE-CHEMICAL/macro_types/precision/std,test_incremental_only/micro/f1/std,test/macro_example/f1/std,threshold_pretraining/std,test_incremental_SUBSTANCE-CHEMICAL/macro_types/recall/std,test_pretraining/macro_types/precision/std,test_incremental_only/macro_example_exclusive/precision/std,test_incremental/micro/precision/std,test_incremental/macro_types/recall/std,test_incremental_only/macro_example/f1/std,test_incremental_SUBSTANCE-DRUG/macro_types/f1/std,test_incremental/micro/recall/std,test_incremental_only/micro/recall/std,test_incremental/macro_example/recall/std,test_pretraining/macro_example/precision/std,test_incremental_SUBSTANCE-DRUG/macro_types/precision/std,test_incremental/macro_example/f1/std,test_incremental/macro_types/f1/std,threshold_incremental/std,test_incremental_only/macro_example/precision/std,test_incremental/macro_types/precision/std,test_incremental_only/macro_types/recall/std
no_init_box_kenn_bottom_up_adapter_bert_ms,0.752293586730957,0.5294118324915568,0.839878519376119,0.8261597951253256,0.8120287656784058,0.8329617977142334,0.7797155181566874,0.816548486550649,0.823841909567515,0.8415687282880148,0.8509943882624308,0.6148942112922668,0.0771284947792689,0.8241206407546997,0.80021999279658,0.7179012894630432,0.042412816236416497,0.8120287656784058,0.8335622549057007,0.9111111164093018,0.9092593193054199,0.4990205268065135,0.6888888875643412,0.823841909567515,0.8360452651977539,0.839878519376119,36.0,0.8335622549057007,0.5446136097113291,0.3737373848756154,0.9066666762034098,0.7269223133722941,0.816548486550649,0.80021999279658,0.8021302819252014,0.7227053244908651,0.6035995483398438,0.8329617977142334,0.17499999999999996,0.38596492012341815,0.8360452651977539,0.5607843399047852,0.782693068186442,0.5899255673090616,0.04363067944844564,0.5300075809160868,0.6788830955823263,0.47194720307985943,0.06089642892281214,0.8261597951253256,0.9236111243565878,0.06804120788971584,0.6878070632616679,0.016666666666666666,0.04492617025971413,0.8263191978136698,0.4828637440999349,0.0,0.05611408294758758,0.0023775479871197417,0.00032700006273547196,0.008599678542698648,0.0013072379388170995,0.05466687995999888,0.00221428073756018,0.005997383487877141,0.04223473198275263,0.04338624735576932,0.04707515747576495,0.0002720801672079659,0.0,0.001485296467469409,0.027798330519357973,0.004495472076472998,0.008599678542698648,0.0037826738828999097,0.0,0.003207509907505248,0.08775766427008681,0.06938885774078345,0.005997383487877141,0.006850485324285732,0.0023775479871197417,2.0,0.0037826738828999097,0.06012748775423618,0.06998185289648541,0.100664453926357,0.01971921621642704,0.00221428073756018,0.001485296467469409,0.01745828497965259,0.06586366435879237,0.04865469351208087,0.0013072379388170995,0.0,0.09241802207548065,0.006850485324285732,0.06479494375305078,0.01382991331497376,0.04084837262665849,0.004816997881346218,0.07121961096565567,0.028835445086815226,0.054530414968309196,0.002358013115370622,0.00032700006273547196,0.012028119137197976,0.0014809065188793884,0.031526069698193174,0.005773502691896258,0.005190921434126453,0.032539709096754944,0.05446451618379737
no_init_box_kenn_horizontal_adapter_bert_ms,0.752293586730957,0.4568627675374349,0.8375484148661295,0.8260550697644552,0.8004196087519327,0.8317611614863077,0.6843268672625223,0.8140288591384888,0.8177000681559244,0.8312285542488098,0.8490825096766154,0.5518040657043457,0.0771284947792689,0.8241206407546997,0.7998186945915222,0.6820987860361735,0.03660069157679876,0.8004196087519327,0.8287545839945475,0.9111111164093018,0.9092593193054199,0.49713725845019024,0.5666666825612386,0.8177000681559244,0.8357433875401815,0.8375484148661295,30.0,0.8287545839945475,0.4673220415910085,0.2929293016592662,0.8799999952316284,0.7034017642339071,0.8140288591384888,0.7998186945915222,0.7790144880612692,0.7917896310488383,0.542110006014506,0.8317611614863077,0.17499999999999996,0.3684210578600566,0.8357433875401815,0.47843144337336224,0.7775864005088806,0.5347820321718851,0.0374386136730512,0.4333333373069763,0.6422338485717773,0.40264026323954266,0.057859462996323906,0.8260550697644552,0.8754578828811646,0.06608039885759354,0.6488024989763895,0.01,0.038328620294729866,0.8248852888743082,0.4093390305836995,0.0,0.07986434740452568,0.0033894663160186998,0.0013724492072082564,0.011420164036143595,0.0023340449824192423,0.09734140249155525,0.004202087869271692,0.01210389900153797,0.10423848296197759,0.08130303073397964,0.08361125477310245,0.0002720801672079659,0.0,0.0032982997799397215,0.039035600237494784,0.0063981811743198105,0.011420164036143595,0.00520048160784427,0.0,0.003207509907505248,0.09954330147945363,0.05773500627130796,0.01210389900153797,0.012837345466780718,0.0033894663160186998,6.244997998398398,0.00520048160784427,0.08395192801382433,0.09741061665046609,0.20784610516732713,0.03692592654800652,0.004202087869271692,0.0032982997799397215,0.025292809534829368,0.028289624343988334,0.0901511609374211,0.0023340449824192423,0.0,0.10526315867900883,0.012837345466780718,0.08908094402992967,0.03234877587107385,0.054245770622914954,0.00672565004995991,0.11749860131332769,0.03964334899164277,0.07496909228219861,0.0033112195955871597,0.0013724492072082564,0.04160372166528175,0.002145479302565596,0.058873311656238714,0.0,0.007136547993538015,0.060977282729952086,0.0723277023225342
no_init_box_kenn_hybrid_adapter_bert_ms,0.752293586730957,0.49803924560546875,0.8385432958602905,0.8264739513397217,0.8061976035435995,0.8324640591939291,0.7776572108268738,0.815545896689097,0.8217866023381551,0.8588103254636129,0.8634190956751505,0.5876097281773885,0.0771284947792689,0.8241206407546997,0.8006188074747721,0.7012345790863037,0.03989946593840917,0.8061976035435995,0.8310439586639404,0.9111111164093018,0.9092593193054199,0.5012407104174296,0.6777777870496114,0.8217866023381551,0.8380070527394613,0.8385432958602905,31.0,0.8310439586639404,0.5076060593128204,0.2828282912572225,0.9188405871391296,0.7171684106191,0.815545896689097,0.8006188074747721,0.7916987339655558,0.7711640199025472,0.5770239035288492,0.8324640591939291,0.17499999999999996,0.37719298402468365,0.8380070527394613,0.5176471273104349,0.785965621471405,0.5622275471687317,0.04066589226325353,0.4282992680867513,0.6596858700116476,0.43564356366793316,0.05948266635338465,0.8264739513397217,0.9002525409062704,0.06715634713570277,0.6719561616579691,0.049999999999999996,0.041470310340325035,0.8356376886367798,0.4459330439567566,0.0,0.03594176801421995,0.0016518685434593488,0.0005049952163516671,0.00540589261243203,0.0006470792497845333,0.05149155349672415,0.0014656299891714145,0.004116196620781182,0.038948732918019285,0.03096183463570259,0.03273020291769869,0.0002720801672079659,0.0,0.0012223317981980833,0.018641560132543835,0.0028794071391461604,0.00540589261243203,0.0027472376823425293,0.0,0.003207509907505248,0.0787914647441251,0.050917517693612684,0.004116196620781182,0.004888722497691505,0.0016518685434593488,4.58257569495584,0.0027472376823425293,0.04108212306990494,0.06308078974256406,0.10518983461036886,0.013386772624364763,0.0014656299891714145,0.0012223317981980833,0.010959711878570661,0.018753232341198574,0.03466464611554499,0.0006470792497845333,0.0,0.09241802207548064,0.004888722497691505,0.047058850526812857,0.01122575356787987,0.025677893063424505,0.0032912161861761145,0.07713764943742395,0.020942419767386814,0.03960396349430175,0.0015812847184720738,0.0005049952163516671,0.022194956972522613,0.000929664290530348,0.02174818898435387,0.0608276253029822,0.003770029172301447,0.023221407348035104,0.03423721061937576
no_init_box_kenn_top_down_adapter_bert_ms,0.752293586730957,0.5803922017415365,0.8418158888816833,0.8235417604446411,0.818276842435201,0.8325780431429545,0.7120827635129293,0.8151756127675375,0.8209956487019857,0.7249046365420023,0.7731608748435974,0.6231963237126669,0.07634307195742925,0.8241206407546997,0.7948808471361796,0.7419753273328146,0.04649701341986656,0.818276842435201,0.8365384538968405,0.9111111164093018,0.9000000754992167,0.5578548312187195,0.7111111084620158,0.8209956487019857,0.8237557609875997,0.8418158888816833,33.0,0.8365384538968405,0.5956345597902933,0.3737373848756154,0.7425364951292673,0.7201229731241862,0.8151756127675375,0.7948808471361796,0.8132067918777466,0.6717171867688497,0.6014457941055298,0.8325780431429545,0.17499999999999996,0.48245614767074585,0.8237557609875997,0.6117647488911947,0.739960769812266,0.6196039517720541,0.04771812508503596,0.5259259343147278,0.7015706896781921,0.5148515005906423,0.06293852999806404,0.8235417604446411,0.9052287737528483,0.06898078322410583,0.6856219172477722,0.016666666666666666,0.04901036495963732,0.7679440379142761,0.5224349002043406,0.0,0.04415029751192957,0.001928667835203322,0.0032205470733491066,0.007041750124653925,0.002555916137961647,0.13305575435788167,0.004491082836393046,0.00895840734582965,0.11256144810604837,0.07498789989665948,0.05303543448380422,0.0004712529480506387,0.0,0.005808510696516568,0.022324896359263838,0.0035370216584056794,0.007041750124653925,0.003147391926562111,0.0,0.00555554032328412,0.05995974141618715,0.050917491680013,0.00895840734582965,0.011840202948704462,0.001928667835203322,7.937253933193772,0.003147391926562111,0.04869513689339937,0.06998185289648541,0.24061836638604175,0.034355705346655045,0.004491082836393046,0.005808510696516568,0.011203223998642233,0.008747723008871259,0.06934981207547934,0.002555916137961647,0.0,0.09241800651756862,0.011840202948704462,0.05391267803493429,0.046584367298087875,0.033448385440995085,0.0039011133330729957,0.06414999167356096,0.023992531567142268,0.045372039320300706,0.00189372054752803,0.0032205470733491066,0.01981104607102314,0.0009503149156570281,0.040594898672965354,0.005773502691896258,0.004319106644093836,0.05624090571719056,0.04459786449071894
no_init_kenn_bottom_up_adapter_bert_ms,0.792792797088623,0.8686274886131287,0.8554037014643351,0.7873075803120931,0.8737332820892334,0.819888194402059,0.5603628754615784,0.8047315080960592,0.8128596742947897,0.46492744485537213,0.4796469410260518,0.6017953157424927,0.07430096964041392,0.8756219148635864,0.7517082492510477,0.9104938507080078,0.06958843519290288,0.8737332820892334,0.8660714228947958,0.9777777791023254,0.8759259581565857,0.6327857971191406,0.9444444378217062,0.8128596742947897,0.7600979208946228,0.8554037014643351,17.0,0.8660714228947958,0.8469003240267435,0.7676767706871033,0.4065280059973399,0.7063149611155192,0.8047315080960592,0.7517082492510477,0.8924293915430704,0.5405555566151937,0.5882239739100138,0.819888194402059,0.25,0.7719298402468363,0.7600979208946228,0.8267974456151327,0.5871508320172628,0.8654571970303854,0.06784780323505402,0.5868120193481445,0.8952879508336385,0.8217821717262268,0.0772332176566124,0.7873075803120931,0.49185723066329956,0.07570088654756546,0.6756225426991781,0.14333333333333334,0.06623730063438416,0.5579333901405334,0.8280170559883118,0.0,0.052722884868900796,0.0023139906544851828,0.013812489926252685,0.009241180544474255,0.006486004326403575,0.11039209802626473,0.00889226625323897,0.0036584199925344353,0.08098943501314546,0.08305910449460976,0.05590775856161858,0.0018519951925252496,0.0,0.01848750327103049,0.027798350372864378,0.0042237919224821265,0.009241180544474255,0.004177720656620219,0.0,0.021833010458013575,0.02726593760267515,0.050917517693612684,0.0036584199925344353,0.01311459368163524,0.0023139906544851828,2.6457513110645907,0.004177720656620219,0.03135113044286263,0.046288631756102934,0.11933514712555865,0.045079144828608905,0.00889226625323897,0.01848750327103049,0.003916413964920106,0.04001156444956719,0.055131885233888504,0.006486004326403575,0.0,0.09241802207548065,0.01311459368163524,0.01305552814037671,0.07207771819334606,0.043895485956729326,0.002511637127855202,0.09962156058373171,0.031846918291208885,0.060225353638551686,0.0023580073247641826,0.013812489926252685,0.15155190083424752,0.00033221555286731943,0.03517903157912885,0.11150485789118487,0.001045916866820985,0.06229431870947049,0.05852728552581173
no_init_kenn_horizontal_adapter_bert_ms,0.792792797088623,0.8627451658248901,0.855089525381724,0.7818305492401123,0.8724881807963053,0.8167650898297628,0.5244500239690145,0.801119307676951,0.8096557855606079,0.43118034799893695,0.4502026438713074,0.5760217905044556,0.07605508466561635,0.8756219148635864,0.7459737658500671,0.9067901372909546,0.06911718348662059,0.8724881807963053,0.8653846184412638,0.9777777791023254,0.8966049551963806,0.6228608091672262,0.9444444378217062,0.8096557855606079,0.7554488380750021,0.855089525381724,16.666666666666668,0.8653846184412638,0.8493886590003967,0.7878787914911906,0.3680275579293569,0.685732106367747,0.801119307676951,0.7459737658500671,0.9008680582046509,0.5490823785463969,0.5576848785082499,0.8167650898297628,0.25,0.7280701796213785,0.7554488380750021,0.8379085659980774,0.561745285987854,0.8595428069432577,0.06804715593655904,0.5446166098117828,0.8900523583094279,0.8118812044461569,0.07691904902458191,0.7818305492401123,0.43349796533584595,0.07641670604546864,0.6574276884396871,0.19000000000000003,0.06712745130062103,0.5358501573403677,0.8201311429341634,0.0,0.06289806894034453,0.0028665289612428363,0.013174569144743242,0.012172319049971273,0.0059312448506867585,0.08812875628954123,0.008855314839580202,0.0022806465131873224,0.06916169116539281,0.06943847778791987,0.04422370668789771,0.002675437054233671,0.0,0.019116289350116944,0.034413256060539237,0.005038962812869052,0.012172319049971273,0.005451408935461068,0.0,0.03154042805857511,0.0533401359674257,0.050917517693612684,0.0022806465131873224,0.010963979037920856,0.0028665289612428363,2.516611478423583,0.005451408935461068,0.030166941506188018,0.10925914934704482,0.08972474829648207,0.0412943756066136,0.008855314839580202,0.019116289350116944,0.001929420914905389,0.04953544265904249,0.045516705820192474,0.0059312448506867585,0.0,0.1095613560857256,0.010963979037920856,0.00884165243673527,0.06751664370032842,0.057818455005659644,0.0024167722666378227,0.07644217660193227,0.041556294940707124,0.07858668297788285,0.0029191251318296503,0.013174569144743242,0.12288465788622177,0.00016366161880373902,0.02618937790982646,0.1212435565298214,0.000708334340834413,0.05207884684663241,0.07709129606235997
no_init_kenn_hybrid_adapter_bert_ms,0.792792797088623,0.8568627834320068,0.8548277219136556,0.8009320298830668,0.87117866675059,0.8269923130671183,0.7068176666895548,0.813631554444631,0.8204431533813477,0.5673758387565613,0.5766913890838623,0.6707466642061869,0.07529584070046742,0.8756219148635864,0.7681408723195394,0.9037037094434103,0.06864593178033829,0.87117866675059,0.8649267355600992,0.9777777791023254,0.8876543442408243,0.6307254036267599,0.9222222169240316,0.8204431533813477,0.7754207253456116,0.8548277219136556,15.0,0.8649267355600992,0.847657044728597,0.7676767706871033,0.5851557652155558,0.7574254075686137,0.813631554444631,0.7681408723195394,0.8953239719072977,0.5501188437143961,0.6617937088012695,0.8269923130671183,0.25,0.7456140319506327,0.7754207253456116,0.8392157355944315,0.6632058421770731,0.853322704633077,0.06790842860937119,0.6636046369870504,0.8865619500478109,0.8052805264790853,0.07665724058945973,0.8009320298830668,0.5947995086510977,0.07594642043113708,0.7234390576680502,0.24666666666666667,0.06723216672738393,0.6307167212168375,0.8118376731872559,0.0,0.030185859983024234,0.0014595747280914694,0.005714900719009814,0.0066834191544987214,0.0024506048275056147,0.12633421399786035,0.00379617713473451,0.0036538766596646327,0.07621063706176756,0.07541394556262404,0.03435910465961125,0.0018740734924860987,0.0,0.009356645442959626,0.018238640105941728,0.002418285936289329,0.0066834191544987214,0.003245737845234382,0.0,0.022093271756048364,0.044427120587608476,0.0192450250322745,0.0036538766596646327,0.011907472792536252,0.0014595747280914694,3.605551275463989,0.003245737845234382,0.010910020847167122,0.046288631756102934,0.1665146165866063,0.023646974609584984,0.00379617713473451,0.009356645442959626,0.006023043532209827,0.03601159814280058,0.03350022260781705,0.0024506048275056147,0.0,0.09962998713695143,0.011907472792536252,0.008985455010361864,0.05151716703730374,0.03174618306508227,0.0008740325924144927,0.05607050017692465,0.024742471590130932,0.04679023978069108,0.0015471007130910346,0.005714900719009814,0.10919359539956566,0.0005109118087330871,0.024561619995170817,0.08504900548115384,0.0007198523944815714,0.05656045307322084,0.04232822166146557
no_init_kenn_top_down_adapter_bert_ms,0.792792797088623,0.8862745563189188,0.8562938372294108,0.7352617383003235,0.8778996467590332,0.7899840871493021,0.3676384389400482,0.7555005351702372,0.7986810406049093,0.289982611934344,0.30890243003765744,0.4290391703446706,0.07477222879727681,0.8756219148635864,0.6744583447774252,0.9209876855214437,0.07100219776233037,0.8778996467590332,0.867902914683024,0.9777777791023254,0.8814815282821655,0.47156279782454175,0.9555555582046509,0.7986810406049093,0.7331382632255554,0.8562938372294108,17.666666666666668,0.867902914683024,0.8655676245689392,0.8181818127632141,0.23836814363797507,0.5441948572794596,0.7555005351702372,0.6744583447774252,0.9002776344617208,0.3755690058072408,0.41004285713036853,0.7899840871493021,0.25,0.7894736727078756,0.7331382632255554,0.8470588723818461,0.41103395819664,0.8852472106615702,0.06934329619010289,0.42151613036791485,0.9092495441436768,0.8481848239898682,0.07812336335579555,0.7352617383003235,0.31277013073364895,0.07636662075916927,0.5675218403339386,0.20666666666666667,0.06786050647497177,0.4298750162124634,0.8544037143389384,0.0,0.06452736740815979,0.0030065983910866232,0.06673480033957811,0.01302895813182017,0.03840133545997736,0.16666002286327797,0.0689096328081044,0.010914343204575886,0.15242244786902961,0.16646233583285636,0.19173328100786916,0.0014984869171646889,0.0,0.10714065997279844,0.03620993674034982,0.005169487971794617,0.01302895813182017,0.005921487190548724,0.0,0.01766552773819267,0.22161871952272877,0.038490015651791123,0.010914343204575886,0.026283507092905098,0.0030065983910866232,3.214550253664318,0.005921487190548724,0.032755700242740986,0.10497277934472811,0.13267616945757635,0.18852096682882014,0.0689096328081044,0.10714065997279844,0.00800170635800875,0.2187464894513214,0.17652383981839873,0.03840133545997736,0.0,0.1205940924437011,0.026283507092905098,0.005882352590586092,0.18687944267408702,0.06188738054239556,0.002624164628457322,0.19996441934144038,0.045139673700400354,0.0853631563691282,0.003071527576128554,0.06673480033957811,0.18063511381504613,0.0006787512472727676,0.11087072685323582,0.12662279942148386,0.00047125667333602905,0.12484674876102919,0.08251652413088112
smart_init_box_adapter_bert_ms,0.752293586730957,0.9333333969116211,0.8573149045308431,0.7909886042277018,0.8818180759747823,0.8228121002515157,0.4025251666704814,0.7747124632199606,0.8081531127293905,0.27998100717862445,0.27990345160166424,0.4290892978509267,0.04356477037072182,0.8241206407546997,0.7016361355781555,0.9296296834945679,0.07477222383022308,0.8818180759747823,0.8649267355600992,0.9111111164093018,0.5135802626609802,0.4665864606698354,0.9444444378217062,0.8081531127293905,0.7458730141321818,0.8573149045308431,11.666666666666666,0.8649267355600992,0.5298361976941427,0.9090909361839294,0.25631918013095856,0.5528517961502075,0.7747124632199606,0.7016361355781555,0.6615213553110758,0.3130189875761668,0.4290882150332133,0.8228121002515157,0.17499999999999996,0.9210526545842489,0.7458730141321818,0.36993467807769775,0.3961228330930074,0.9214247862497965,0.04244681944449743,0.4161445697148641,0.9179755449295044,0.9240924119949341,0.07885642101367314,0.7909886042277018,0.2703721870978673,0.05611396332581838,0.5555276075998942,0.11666666666666668,0.029636612782875698,0.3980009853839874,0.9248627225557963,0.0,0.03594176801421987,0.0014595576213153876,0.003991276582579066,0.005761881478493784,0.001861389849463829,0.030358997972915875,0.0071326531447605595,0.0012971229356469425,0.021817917045532657,0.021718548859138685,0.022558080025235842,0.0010220564173323177,0.0,0.01314879103684313,0.01823861589820738,0.0028794030745208695,0.005761881478493784,0.002600206692607768,0.0,0.012048903097661821,0.021942750489540447,0.05091751769361266,0.0012971229356469425,0.0034292253499037363,0.0014595576213153876,1.5275252316519465,0.002600206692607768,0.014158617501238362,0.06060606241226196,0.025508516406782086,0.02292734340451957,0.0071326531447605595,0.01314879103684313,0.010150136403715515,0.02170052565710323,0.022665795420393226,0.001861389849463829,0.0,0.04558028259850951,0.0034292253499037363,0.008163395589761452,0.02645647408518304,0.027368935181040874,0.0011342903267719524,0.033100230740026514,0.019821674495821385,0.03748456647669749,0.0015471026043109791,0.003991276582579066,0.02644438544222826,0.0008609889288997625,0.01208395911763305,0.06506407098647712,0.0006539952033134545,0.01628890159798785,0.036491898716295636
smart_init_classifier_adapter_bert_ms,0.792792797088623,0.6784314115842184,0.8479422132174174,0.7974604566891988,0.838975747426351,0.8218977848688761,0.6424731214841207,0.7956453760464987,0.7890312274297079,0.3797881801923116,0.3839322030544281,0.4615512589613597,0.06262435639897983,0.8756219148635864,0.7476733525594076,0.8086420297622681,0.054351240396499634,0.838975747426351,0.85050368309021,0.9777777791023254,0.7382716536521912,0.42250311374664307,0.8555555542310079,0.7890312274297079,0.7449850638707479,0.8479422132174174,13.666666666666666,0.85050368309021,0.48267974456151325,0.42424242695172626,0.5330036481221517,0.6391897598902384,0.7956453760464987,0.7476733525594076,0.7670534253120422,0.35584447781244916,0.45556506514549255,0.8218977848688761,0.25,0.5438596606254578,0.7449850638707479,0.37581703066825867,0.5491228600343069,0.7003588477770487,0.03866896778345108,0.31841015815734863,0.7766143083572388,0.5973597168922424,0.06859356785813968,0.7974604566891988,0.2629484683275223,0.06506578624248505,0.5695323546727499,0.19000000000000003,0.030107866351803143,0.48614734411239624,0.607885887225469,0.0,0.13495266587171095,0.005414847146307139,0.006590101343813956,0.02121635345009456,0.001072492548638826,0.05149793279375889,0.005333945782493446,0.005789982394585791,0.045621653381374264,0.047769623686130684,0.022609420559734795,0.007042719357430513,0.0,0.016037708220917123,0.0673405508399258,0.01081147710596016,0.02121635345009456,0.009223085860597542,0.0,0.08302586258336202,0.007173359825882616,0.13471507198764812,0.005789982394585791,0.007542550982159027,0.005414847146307139,1.1547005383792515,0.009223085860597542,0.07211434081864836,0.1687201238535847,0.11668008317659506,0.019136539064258006,0.005333945782493446,0.016037708220917123,0.0201873945353628,0.047355418912603864,0.02394642160704851,0.001072492548638826,0.0,0.10635400420077479,0.007542550982159027,0.049071894413505374,0.060638222062810054,0.10077753832087379,0.005777302477488989,0.07199575347739444,0.07030798499861161,0.13295865498824247,0.005712206297430812,0.006590101343813956,0.035789318482183495,0.0017124013071976815,0.0179205701431053,0.06082762530298221,0.003931299160994349,0.035827221487730765,0.13437006929490106
