name,instance,run_id,test_pretraining/macro_types/recall,test_incremental_only/macro_types/f1,test_pretraining/macro_types/precision,test/macro_types/recall,test_incremental/macro_example/f1,test_pretraining/macro_example/precision,test_incremental/macro_example_exclusive/f1,test/macro_types/precision,test_pretraining/micro/recall,test_incremental_only/micro/f1,test_incremental_SUBSTANCE-FOOD/macro_types/precision,test_incremental_only/macro_example_exclusive/precision,test_incremental_SUBSTANCE-CHEMICAL/macro_types/precision,test/micro/precision,test_incremental_only/macro_example_exclusive/f1,test_incremental/macro_example_exclusive/precision,test_incremental_only/macro_example/precision,test_incremental/micro/f1,test_incremental_SUBSTANCE-FOOD/macro_types/recall,test_incremental_SUBSTANCE-CHEMICAL/macro_types/recall,test_pretraining/macro_example/recall,test_incremental_SUBSTANCE-DRUG/macro_types/recall,test/micro/f1,test_incremental/macro_types/recall,test_incremental/macro_types/precision,test_incremental_SUBSTANCE-FOOD/macro_types/f1,test_incremental_SUBSTANCE-CHEMICAL/macro_types/f1,test/micro/recall,test_incremental/micro/recall,test_incremental_SUBSTANCE/macro_types/f1,test/macro_example/f1,test_pretraining/micro/f1,test_incremental/macro_types/f1,test_incremental_only/macro_types/precision,test/macro_types/f1,test_incremental/macro_example_exclusive/recall,test_incremental_SUBSTANCE-DRUG/macro_types/precision,test_incremental_SUBSTANCE-DRUG/macro_types/f1,test/macro_example/precision,test_incremental/micro/precision,test_incremental_only/macro_example/recall,test_incremental_SUBSTANCE/macro_types/recall,threshold_pretraining,threshold_incremental,test_incremental/macro_example/recall,epoch,test_incremental_only/micro/recall,test_incremental_only/macro_example/f1,test_incremental_only/macro_types/recall,test_incremental_SUBSTANCE/macro_types/precision,test/macro_example/recall,test_pretraining/macro_types/f1,test_incremental/macro_example/precision,test_pretraining/micro/precision,test_pretraining/macro_example/f1,test_incremental_only/micro/precision,test_incremental_only/macro_example_exclusive/recall
no_init_box_kenn_horizontal_adapter_bert_ms,2,5mtte9j5,0.820308268070221,0.6327496767044067,0.8238213062286377,0.820308268070221,0.07016777247190475,0.823908269405365,0.8272001147270203,0.8238213062286377,0.8372252583503723,0.612716794013977,0.6176470518112183,0.6235294342041016,0.761904776096344,0.7956919074058533,0.605368435382843,0.927777886390686,0.04995287209749222,0.7258064150810242,0.699999988079071,0.42105263471603394,0.8420515060424805,0.4848484992980957,0.8159303665161133,0.6292530298233032,0.7682554721832275,0.65625,0.5423728823661804,0.8372252583503723,0.7068063020706177,0.8241206407546997,0.8328810930252075,0.8159303665161133,0.6918413639068604,0.7735761404037476,0.8220610618591309,0.7462962865829468,0.9411764740943908,0.64000004529953,0.823908269405365,0.7458563446998596,0.047125354409217834,0.9111111164093018,0.175,0.01,0.06330505758523941,21,0.5247524976730347,0.04849793389439583,0.5353003740310669,0.752293586730957,0.8420515060424805,0.8220610618591309,0.07869934290647507,0.7956919074058533,0.8328810930252075,0.7361111044883728,0.5882353782653809
no_init_box_kenn_horizontal_adapter_bert_ms,1,umvvc6nn,0.8265870809555054,0.6697138547897339,0.8282546997070312,0.8265870809555054,0.07052642852067947,0.8254790902137756,0.8314282894134521,0.8282546997070312,0.8399725556373596,0.6589595675468445,0.9200000166893004,0.6705882549285889,0.6428571343421936,0.7983028888702393,0.6524642705917358,0.9055556058883668,0.05372290313243866,0.7473118901252747,0.7666666507720947,0.4736842215061188,0.843936562538147,0.4848484992980957,0.8186078071594238,0.6590776443481445,0.7893139719963074,0.8363636136054993,0.5454545021057129,0.8399725556373596,0.727748692035675,0.8241206407546997,0.8346057534217834,0.8186078071594238,0.7183405160903931,0.8016541600227356,0.8274199962615967,0.7685185670852661,0.8421052694320679,0.6153846383094788,0.8254790902137756,0.7679557800292969,0.05089537799358368,0.9111111164093018,0.175,0.01,0.06519007682800293,18,0.5643564462661743,0.052270930260419846,0.5750665068626404,0.752293586730957,0.843936562538147,0.8274199962615967,0.07681432366371155,0.7983028888702393,0.8346057534217834,0.7916666865348816,0.6352941989898682
no_init_box_kenn_horizontal_adapter_bert_ms,0,ey4xryar,0.812870979309082,0.6424946784973145,0.8500031232833862,0.812870979309082,0.0694313570857048,0.8286207914352417,0.8185185194015503,0.8500031232833862,0.8344780206680298,0.6363636255264282,1.0,0.5764706134796143,0.8181818127632141,0.8030403256416321,0.5551198720932007,0.944444477558136,0.04618284851312637,0.7422096133232117,0.5666666626930237,0.4736842215061188,0.8412660956382751,0.42424243688583374,0.8184573650360107,0.5939260721206665,0.8926188349723816,0.7234042882919312,0.5999999642372131,0.8344780206680298,0.6858638525009155,0.8241206407546997,0.8348955512046814,0.8184573650360107,0.7132641673088074,0.9393939971923828,0.8310225009918213,0.7222222089767456,1.0,0.5957446694374084,0.8286207914352417,0.8086419701576233,0.04288406670093536,0.9111111164093018,0.175,0.01,0.061262957751750946,15,0.48514851927757263,0.04447237029671669,0.48819780349731445,0.752293586730957,0.8412660956382751,0.8310225009918213,0.08011309802532196,0.8030403256416321,0.8348955512046814,0.9245283007621764,0.5352941751480103
no_init_box_kenn_hybrid_adapter_bert_ms,2,kaf7tejk,0.8242031335830688,0.6632434725761414,0.8300820589065552,0.8242031335830688,0.07025962322950363,0.8250078558921814,0.8282828330993652,0.8300820589065552,0.8392857313156128,0.6511628031730652,0.7333333492279053,0.6588236093521118,0.7777777910232544,0.7981711030006409,0.6344227194786072,0.9111111760139464,0.0527803972363472,0.7439353466033936,0.7333333492279053,0.5526315569877625,0.842993974685669,0.3939394056797027,0.8182122111320496,0.6477538347244263,0.7979940176010132,0.7333333492279053,0.6461538672447205,0.8392857313156128,0.7225130796432495,0.8241206407546997,0.8339039087295532,0.8182122111320496,0.7150675654411316,0.8132275938987732,0.8271321654319763,0.7592593431472778,0.9285714030265808,0.5531914830207825,0.8250078558921814,0.7666666507720947,0.04901036620140076,0.9111111164093018,0.175,0.01,0.06440465152263641,19,0.5544554591178894,0.0508255660533905,0.559968113899231,0.752293586730957,0.842993974685669,0.8271321654319763,0.07728558033704758,0.7981711030006409,0.8339039087295532,0.7887324094772339,0.6117647886276245
no_init_box_kenn_top_down_adapter_bert_ms,2,ss22ppfs,0.8289878368377686,0.6490782499313354,0.8155039548873901,0.8289878368377686,0.07110656797885895,0.8213949203491211,0.8382676243782043,0.8155039548873901,0.8413461446762085,0.624338686466217,0.523809552192688,0.6941176652908325,0.75,0.7913436889648438,0.6634045243263245,0.9166667461395264,0.05560791492462158,0.7268041968345642,0.7333333492279053,0.5526315569877625,0.8440936207771301,0.4848484992980957,0.8155792355537415,0.6704811453819275,0.7287480235099792,0.6111111640930176,0.6363635659217834,0.8413461446762085,0.7382199168205261,0.8241206407546997,0.8325896263122559,0.8155792355537415,0.6984013915061951,0.7208994626998901,0.8221905827522278,0.7722222805023193,0.8888888955116272,0.6274510025978088,0.8213949203491211,0.7157360315322876,0.05089537799358368,0.9111111164093018,0.175,0.02,0.06550423800945282,19,0.5841584205627441,0.05314738675951958,0.5902711153030396,0.752293586730957,0.8440936207771301,0.8221905827522278,0.07775682955980301,0.7913436889648438,0.8325896263122559,0.6704545617103577,0.6352941989898682
no_init_box_kenn_bottom_up_adapter_bert_ms,2,2ppauo0y,0.8202579021453857,0.6368554830551147,0.8258863687515259,0.8202579021453857,0.06997983902692795,0.8250078558921814,0.8249845504760742,0.8258863687515259,0.8372252583503723,0.6198830604553223,0.6875,0.6235294342041016,0.739130437374115,0.7967320084571838,0.605368435382843,0.9222222566604614,0.04995287209749222,0.7297297120094299,0.7333333492279053,0.4473684132099152,0.8418944478034973,0.42424243688583374,0.8164768815040588,0.6290138363838196,0.7780643701553345,0.7096773982048035,0.5573770403862,0.8372252583503723,0.7068063020706177,0.8241206407546997,0.8333656191825867,0.8164768815040588,0.6956446766853333,0.7866546511650085,0.8230624794960022,0.7462962865829468,0.9333333373069764,0.5833333730697632,0.8250078558921814,0.7541899681091309,0.047125354409217834,0.9111111164093018,0.175,0.01,0.06330505758523941,23,0.5247524976730347,0.04849793389439583,0.534981369972229,0.752293586730957,0.8418944478034973,0.8230624794960022,0.07822808623313904,0.7967320084571838,0.8333656191825867,0.7571428418159485,0.5882353782653809
no_init_box_kenn_hybrid_adapter_bert_ms,1,b38swpwl,0.8324965834617615,0.691000759601593,0.8268239498138428,0.8324965834617615,0.07172909379005432,0.8253219723701477,0.8456064462661743,0.8268239498138428,0.8427197933197021,0.6740331649780273,0.8888888955116272,0.7176470756530762,0.6000000238418579,0.7967532277107239,0.6964507699012756,0.9111111760139464,0.057492926716804504,0.7526316046714783,0.800000011920929,0.5526315569877625,0.8456645011901855,0.4848484992980957,0.8190921545028687,0.6871477961540222,0.7825178503990173,0.8421052694320679,0.5753424763679504,0.8427197933197021,0.7486910820007324,0.8241206407546997,0.8353694081306458,0.8190921545028687,0.7317384481430054,0.7925926446914673,0.8296505212783813,0.7888889312744141,0.8888888955116272,0.6274510025978088,0.8253219723701477,0.7566137313842773,0.05419415608048439,0.9111111164093018,0.175,0.01,0.06691800057888031,37,0.603960394859314,0.05579482764005661,0.6124933958053589,0.752293586730957,0.8456645011901855,0.8296505212783813,0.07728557288646698,0.7967532277107239,0.8353694081306458,0.762499988079071,0.6764706373214722
no_init_box_kenn_top_down_adapter_bert_ms,1,1wk4f79q,0.837071418762207,0.6858198642730713,0.8180084228515625,0.837071418762207,0.07223708927631378,0.8239082098007202,0.8515951037406921,0.8180084228515625,0.8447802066802979,0.6701570749282837,0.774193525314331,0.7529412508010864,0.5789473652839661,0.7935484051704407,0.728652834892273,0.9055556058883668,0.060320451855659485,0.7487180233001709,0.800000011920929,0.5789473652839661,0.8469211459159851,0.5454545617103577,0.8183633089065552,0.7088782787322998,0.7406443357467651,0.7868852615356445,0.5789473652839661,0.8447802066802979,0.764397919178009,0.8241206407546997,0.8352562189102173,0.8183633089065552,0.7244132161140442,0.7367612719535828,0.8274301290512085,0.8037037253379822,0.8571428656578064,0.6666666865348816,0.8239082098007202,0.733668327331543,0.05655042454600334,0.9111111164093018,0.175,0.01,0.06817467510700226,37,0.6336633563041687,0.05837462842464447,0.6414673328399658,0.752293586730957,0.8469211459159851,0.8274301290512085,0.07681432366371155,0.7935484051704407,0.8352562189102173,0.7111111283302307,0.7058824300765991
no_init_box_kenn_bottom_up_adapter_bert_ms,1,1lxmha0o,0.8291473388671875,0.6781253814697266,0.8271837830543518,0.8291473388671875,0.07127541303634644,0.8253219723701477,0.8402581214904785,0.8271837830543518,0.8413461446762085,0.6629213690757751,0.8846153616905212,0.6941176652908325,0.6176470518112183,0.797007143497467,0.6760103106498718,0.9111111760139464,0.05560791492462158,0.7480105757713318,0.7666666507720947,0.5526315569877625,0.8448790311813354,0.4545454680919647,0.8185766339302063,0.6712387204170227,0.7842272520065308,0.8214284777641296,0.5833333134651184,0.8413461446762085,0.7382199168205261,0.8241206407546997,0.8349859714508057,0.8185766339302063,0.7233473062515259,0.7948718667030334,0.8281644582748413,0.7796297073364258,0.8823529481887817,0.5999999642372131,0.8253219723701477,0.7580645084381104,0.0527803935110569,0.9111111164093018,0.175,0.01,0.06613258272409439,40,0.5841584205627441,0.05415727570652962,0.5912812352180481,0.752293586730957,0.8448790311813354,0.8281644582748413,0.07728557288646698,0.797007143497467,0.8349859714508057,0.7662337422370911,0.6588236093521118
no_init_box_kenn_hybrid_adapter_bert_ms,0,81o7m3um,0.8208538889884949,0.6797625422477722,0.8470586538314819,0.8208538889884949,0.06959687173366547,0.8267357349395752,0.8204697966575623,0.8470586538314819,0.8379120826721191,0.670807421207428,0.9545454382896424,0.6352941989898682,0.807692289352417,0.8026315569877625,0.6140164136886597,0.9055556058883668,0.05089537799358368,0.7555556297302246,0.699999988079071,0.5526315569877625,0.8427584171295166,0.3636363744735718,0.8198924660682678,0.6318447589874268,0.8786328434944153,0.807692289352417,0.6562499403953552,0.8379120826721191,0.7120419144630432,0.8241206407546997,0.8346701860427856,0.8198924660682678,0.7350782155990601,0.9207459092140198,0.8337504267692566,0.75,1.0,0.5333333611488342,0.8267357349395752,0.8047337532043457,0.04759660363197327,0.9111111164093018,0.175,0.02,0.0636192262172699,16,0.5346534848213196,0.04919074848294258,0.5387560129165649,0.752293586730957,0.8427584171295166,0.8337504267692566,0.07681432366371155,0.8026315569877625,0.8346701860427856,0.8999999761581421,0.5941177010536194
