name,test_pretraining/macro_types/recall/mean,test_incremental_only/macro_types/f1/mean,test_pretraining/macro_types/precision/mean,test/macro_types/recall/mean,test_incremental/macro_example/f1/mean,test_pretraining/macro_example/precision/mean,test_incremental/macro_example_exclusive/f1/mean,test/macro_types/precision/mean,test_pretraining/micro/recall/mean,test_incremental_only/micro/f1/mean,test_incremental_SUBSTANCE-FOOD/macro_types/precision/mean,test_incremental_only/macro_example_exclusive/precision/mean,test_incremental_SUBSTANCE-CHEMICAL/macro_types/precision/mean,test/micro/precision/mean,test_incremental_only/macro_example_exclusive/f1/mean,test_incremental/macro_example_exclusive/precision/mean,test_incremental_only/macro_example/precision/mean,test_incremental/micro/f1/mean,test_incremental_SUBSTANCE-FOOD/macro_types/recall/mean,test_incremental_SUBSTANCE-CHEMICAL/macro_types/recall/mean,test_pretraining/macro_example/recall/mean,test_incremental_SUBSTANCE-DRUG/macro_types/recall/mean,test/micro/f1/mean,test_incremental/macro_types/recall/mean,test_incremental/macro_types/precision/mean,test_incremental_SUBSTANCE-FOOD/macro_types/f1/mean,test_incremental_SUBSTANCE-CHEMICAL/macro_types/f1/mean,test/micro/recall/mean,test_incremental/micro/recall/mean,test_incremental_SUBSTANCE/macro_types/f1/mean,test/macro_example/f1/mean,test_pretraining/micro/f1/mean,test_incremental/macro_types/f1/mean,test_incremental_only/macro_types/precision/mean,test/macro_types/f1/mean,test_incremental/macro_example_exclusive/recall/mean,test_incremental_SUBSTANCE-DRUG/macro_types/precision/mean,test_incremental_SUBSTANCE-DRUG/macro_types/f1/mean,test/macro_example/precision/mean,test_incremental/micro/precision/mean,test_incremental_only/macro_example/recall/mean,test_incremental_SUBSTANCE/macro_types/recall/mean,threshold_pretraining/mean,threshold_incremental/mean,test_incremental/macro_example/recall/mean,epoch/mean,test_incremental_only/micro/recall/mean,test_incremental_only/macro_example/f1/mean,test_incremental_only/macro_types/recall/mean,test_incremental_SUBSTANCE/macro_types/precision/mean,test/macro_example/recall/mean,test_pretraining/macro_types/f1/mean,test_incremental/macro_example/precision/mean,test_pretraining/micro/precision/mean,test_pretraining/macro_example/f1/mean,test_incremental_only/micro/precision/mean,test_incremental_only/macro_example_exclusive/recall/mean,test_pretraining/macro_types/recall/std,test_incremental_only/macro_types/f1/std,test_pretraining/macro_types/precision/std,test/macro_types/recall/std,test_incremental/macro_example/f1/std,test_pretraining/macro_example/precision/std,test_incremental/macro_example_exclusive/f1/std,test/macro_types/precision/std,test_pretraining/micro/recall/std,test_incremental_only/micro/f1/std,test_incremental_SUBSTANCE-FOOD/macro_types/precision/std,test_incremental_only/macro_example_exclusive/precision/std,test_incremental_SUBSTANCE-CHEMICAL/macro_types/precision/std,test/micro/precision/std,test_incremental_only/macro_example_exclusive/f1/std,test_incremental/macro_example_exclusive/precision/std,test_incremental_only/macro_example/precision/std,test_incremental/micro/f1/std,test_incremental_SUBSTANCE-FOOD/macro_types/recall/std,test_incremental_SUBSTANCE-CHEMICAL/macro_types/recall/std,test_pretraining/macro_example/recall/std,test_incremental_SUBSTANCE-DRUG/macro_types/recall/std,test/micro/f1/std,test_incremental/macro_types/recall/std,test_incremental/macro_types/precision/std,test_incremental_SUBSTANCE-FOOD/macro_types/f1/std,test_incremental_SUBSTANCE-CHEMICAL/macro_types/f1/std,test/micro/recall/std,test_incremental/micro/recall/std,test_incremental_SUBSTANCE/macro_types/f1/std,test/macro_example/f1/std,test_pretraining/micro/f1/std,test_incremental/macro_types/f1/std,test_incremental_only/macro_types/precision/std,test/macro_types/f1/std,test_incremental/macro_example_exclusive/recall/std,test_incremental_SUBSTANCE-DRUG/macro_types/precision/std,test_incremental_SUBSTANCE-DRUG/macro_types/f1/std,test/macro_example/precision/std,test_incremental/micro/precision/std,test_incremental_only/macro_example/recall/std,test_incremental_SUBSTANCE/macro_types/recall/std,threshold_pretraining/std,threshold_incremental/std,test_incremental/macro_example/recall/std,epoch/std,test_incremental_only/micro/recall/std,test_incremental_only/macro_example/f1/std,test_incremental_only/macro_types/recall/std,test_incremental_SUBSTANCE/macro_types/precision/std,test/macro_example/recall/std,test_pretraining/macro_types/f1/std,test_incremental/macro_example/precision/std,test_pretraining/micro/precision/std,test_pretraining/macro_example/f1/std,test_incremental_only/micro/precision/std,test_incremental_only/macro_example_exclusive/recall/std
no_init_box_kenn_bottom_up_adapter_bert_ms,0.8176053166389465,0.6338571707407633,0.8338925639788309,0.8176053166389465,0.06927786767482758,0.8256361683209738,0.8167091608047485,0.8338925639788309,0.8363095124562582,0.6199952165285746,0.8573717872301737,0.6078431606292725,0.7161480585734049,0.7984877626101176,0.5907049973805746,0.9129630128542582,0.04869619756937027,0.7320437033971151,0.7111111084620158,0.4999999900658925,0.841711183389028,0.34343435366948444,0.8169476588567098,0.6164141496022543,0.816093901793162,0.7688720226287842,0.5845378438631693,0.8363095124562582,0.6998254855473837,0.8241206407546997,0.8335931102434794,0.8169476588567098,0.698970099290212,0.837360699971517,0.8255392710367838,0.739506204922994,0.9385620951652527,0.4821637471516927,0.8256361683209738,0.7694776058197021,0.04602576047182083,0.9111111164093018,0.17499999999999996,0.013333333333333334,0.06272908175985019,26.333333333333332,0.5115511616071066,0.04732320333520571,0.5181818107763926,0.752293586730957,0.841711183389028,0.8255392710367838,0.07744266092777252,0.7984877626101176,0.8335931102434794,0.8064032991727194,0.574509878953298,0.013071751522416998,0.04584096725900575,0.01276004362566913,0.013071751522416998,0.0024259371114689595,0.0008312092544423074,0.028599168687559514,0.01276004362566913,0.00555144395065031,0.042870184543348656,0.15802126996715465,0.09509297984560179,0.08925721606034887,0.0028061555121268026,0.09350337993039477,0.008486241026042887,0.007618191833659443,0.014944844073947411,0.06938886728516516,0.05263157188892434,0.0032633417307453504,0.16689608216437862,0.0014520008723161713,0.06209072468748411,0.06061025005284667,0.0561704986117904,0.027782659203501023,0.00555144395065031,0.04231889214465389,0.0,0.0012941990001268844,0.0014520008723161713,0.022896334633796925,0.08081364483506678,0.00255422450602108,0.04391403548684648,0.05899756038619932,0.1898476053774997,0.0008312092544423074,0.023204524484173858,0.007366242451968657,0.0,0.0,0.005773502691896258,0.003725037079297016,12.34233905438241,0.08002875828897905,0.007490843124875788,0.08278761471962379,0.0,0.0032633417307453504,0.00255422450602108,0.0007198532074106939,0.0028061555121268026,0.0012941990001268844,0.07758193546097447,0.0919480424681131
no_init_box_kenn_horizontal_adapter_bert_ms,0.8199221094449362,0.648319403330485,0.8340263764063517,0.8199221094449362,0.07004185269276302,0.8260027170181274,0.8257156411806742,0.8340263764063517,0.8372252782185873,0.6360133290290833,0.8458823561668396,0.6235294342041016,0.7409812410672506,0.7990117073059082,0.6043175260225931,0.9259259899457296,0.04995287458101908,0.7384426395098368,0.6777777671813965,0.45614035924275714,0.8424180547396342,0.46464647849400836,0.817665179570516,0.6274189154307047,0.8167294263839722,0.7386726339658102,0.5626091162363688,0.8372252782185873,0.7068062822024027,0.8241206407546997,0.8341274658838908,0.817665179570516,0.7078153491020203,0.8382080992062887,0.826834519704183,0.7456790208816528,0.9277605811754862,0.617043117682139,0.8260027170181274,0.7741513649622599,0.04696826636791229,0.9111111164093018,0.17499999999999996,0.01,0.0632526973883311,18.0,0.5247524877389272,0.04841374481717745,0.5328548947970072,0.752293586730957,0.8424180547396342,0.826834519704183,0.07854225486516953,0.7990117073059082,0.8341274658838908,0.8174353639284769,0.5862745841344198,0.006866199819162406,0.01915811002989492,0.01401271119424039,0.006866199819162406,0.0005582895351058466,0.0023995009362771853,0.0065816629146744346,0.01401271119424039,0.0027472674847188135,0.023123376845306468,0.20166436211724506,0.047058820724487305,0.08951553750296,0.0037251349402457573,0.04868070755055844,0.01951046450674805,0.003770027309656756,0.011236722520499873,0.10183500937362319,0.030386860801132638,0.0013724492072082484,0.0349909264482427,0.0015042740635996742,0.03261448792533654,0.06656024981562407,0.09102236118790023,0.03241806179773018,0.0027472674847188135,0.020942419767386814,0.0,0.0010890728469160774,0.0015042740635996742,0.014064795821463876,0.08874701831537923,0.004509316459474708,0.023154350697818942,0.07979772003252102,0.022174252829499523,0.0023995009362771853,0.03184803990086071,0.004007965150356169,0.0,0.0,0.0,0.001964083056398271,3.0,0.03960396349430179,0.003899961567427376,0.04348595385416317,0.0,0.0013724492072082484,0.004509316459474708,0.001654988085076583,0.0037251349402457573,0.0010890728469160774,0.09681569353096456,0.0500288389562565
no_init_box_kenn_hybrid_adapter_bert_ms,0.8258512020111084,0.6780022581418356,0.8346548875172933,0.8258512020111084,0.0705285295844078,0.8256885210673014,0.8314530253410339,0.8346548875172933,0.8399725357691447,0.6653344631195068,0.858922561009725,0.6705882946650187,0.7284900347391764,0.7991852958997091,0.6482966343561808,0.9092593193054199,0.053722900648911796,0.7507075270016988,0.7444444497426351,0.5526315569877625,0.8438056310017904,0.4141414264837901,0.8190656105677286,0.6555821299552917,0.8197149038314819,0.7943769693374634,0.6259154280026754,0.8399725357691447,0.727748692035675,0.8241206407546997,0.8346478343009949,0.8190656105677286,0.7272947430610657,0.8421887159347534,0.8301777044932047,0.7660494248072306,0.9391534328460693,0.5713252822558085,0.8256885210673014,0.7760047117869059,0.05026704197128614,0.9111111164093018,0.17499999999999996,0.013333333333333334,0.06498062610626221,24.0,0.5643564462661743,0.0519370473921299,0.5704058408737183,0.752293586730957,0.8438056310017904,0.8301777044932047,0.07712849229574203,0.7991852958997091,0.8346478343009949,0.8170774579048157,0.6274510423342387,0.005993761824354029,0.013962116453229314,0.0108648001729325,0.005993761824354029,0.0010912496026201646,0.000920412929692144,0.012864695003123336,0.0108648001729325,0.002476347246604187,0.012378542521095692,0.11360978386289804,0.04241821470854451,0.11227636206195027,0.0030675933889145707,0.04293273700301126,0.003207509907505248,0.003398256435415097,0.00604436110324627,0.050917517693612684,0.0,0.001614131538488546,0.06308078974256408,0.0008404419064046116,0.028470478299962805,0.05160785452244478,0.055595017461555374,0.04408741601695332,0.002476347246604187,0.018877211079611125,0.0,0.0007330053368983418,0.0008404419064046116,0.010719907465887621,0.06881042612957743,0.003340477119907944,0.020314185945494962,0.056306339798302754,0.04961006565205904,0.000920412929692144,0.025382743402323892,0.003473665221445001,0.0,0.0,0.005773502691896258,0.0017231622421994182,11.357816691600547,0.03569851684085123,0.0034394779332235035,0.037960637733283745,0.0,0.001614131538488546,0.003340477119907944,0.0002720780164361106,0.0030675933889145707,0.0007330053368983418,0.07300097950170009,0.043359490823756855
no_init_box_kenn_top_down_adapter_bert_ms,0.8241499662399292,0.6465107401212057,0.8275194962819418,0.8241499662399292,0.07017434636751811,0.8240129550298055,0.8272777199745178,0.8275194962819418,0.8392857114473978,0.6301740606625875,0.766001025835673,0.658823569615682,0.709649125734965,0.7956262826919556,0.6354477206865946,0.9092593193054199,0.052780394752820335,0.7337454954783121,0.7222222288449606,0.5526315768559774,0.8434391021728516,0.4040404160817464,0.8168435096740723,0.6475013494491577,0.7858219146728516,0.7245022058486938,0.6167438626289368,0.8392857114473978,0.7225130995114645,0.8241206407546997,0.8336058656374613,0.8168435096740723,0.7040158907572428,0.7969980438550314,0.8255965113639832,0.7598765889803568,0.9153439203898112,0.5339366594950358,0.8240129550298055,0.7493821581204733,0.049167450517416,0.9111111164093018,0.17499999999999996,0.04666666666666667,0.06445700923601787,24.0,0.5544554392496744,0.0509076789021492,0.5596314072608948,0.752293586730957,0.8434391021728516,0.8255965113639832,0.07712849229574203,0.7956262826919556,0.8336058656374613,0.7605218887329102,0.6137255628903707,0.015902240170674816,0.04065373181024623,0.018684604606776928,0.015902240170674816,0.00265459581832285,0.0026719475658522705,0.03129471001577712,0.018684604606776928,0.006764311015037388,0.03740825005320857,0.23820090980412512,0.11586893261666435,0.1159189929940991,0.005617551892529403,0.109883999107744,0.006415019815010608,0.009282617895336914,0.012978036414445908,0.08388706007038475,0.026315778493886863,0.00385124468753089,0.19482123330093218,0.0014095162009239608,0.07553560603613513,0.08875191779744082,0.09836409057696313,0.032740676618398155,0.006764311015037388,0.051564711179299866,0.0,0.0014419619948993683,0.0014095162009239608,0.018249731932608985,0.11833594389702091,0.002952512927547986,0.05113032648270072,0.07501294197733409,0.1969120456767077,0.0026719475658522705,0.043677177705994455,0.008381603817260682,0.0,0.0,0.05507570547286102,0.0043371620101518285,11.357816691600547,0.09751344780651032,0.008803147844605336,0.1007141464313358,0.0,0.00385124468753089,0.002952512927547986,0.0005441560328212146,0.005617551892529403,0.0014419619948993683,0.12249017003898527,0.10462213993788397
no_init_kenn_bottom_up_adapter_bert_ms,0.8557669321695963,0.6888683636983236,0.7909847497940063,0.8557669321695963,0.07614672183990479,0.806026816368103,0.8976852496465048,0.7909847497940063,0.8580586115519205,0.6720511118570963,0.6963834464550018,0.8058824141820272,0.5847058097521464,0.778331478436788,0.7888065377871195,0.9419753948847452,0.06456173211336136,0.7713094353675842,0.8444444537162781,0.6315789421399435,0.8513195117314657,0.6666666666666666,0.8162111639976501,0.7801169554392496,0.7046457926432291,0.7382168571154276,0.6043938597043356,0.8580586115519205,0.8342059453328451,0.8756219148635864,0.8280373414357504,0.8162111639976501,0.7376770774523417,0.675263524055481,0.821989119052887,0.8586420019467672,0.7447011868158976,0.7020317316055298,0.806026816368103,0.7205844322840372,0.061891296257575355,0.9777777791023254,0.25,0.4066666666666667,0.07283485184113185,12.333333333333334,0.7062706152598063,0.06319373473525047,0.7142300407091776,0.792792797088623,0.8513195117314657,0.821989119052887,0.07990365227063496,0.778331478436788,0.8280373414357504,0.6528762578964233,0.772549053033193,0.014645481793839505,0.017433830464072035,0.00958921495065374,0.014645481793839505,0.0009818846645633368,0.006078429243155656,0.011575340642339225,0.00958921495065374,0.006491519834381194,0.01712852168261783,0.22567260934106492,0.056114051706264934,0.006553386330948041,0.007918565014442318,0.06150743425512235,0.023302019245368837,0.0044954724669900685,0.011242984712958681,0.10183500937362319,0.11470788060952448,0.0030752063529837777,0.08017427327863422,0.0018278443721003864,0.06956602381356884,0.04554885501578229,0.11800250188367634,0.05422917940803593,0.006491519834381194,0.049484987324223045,0.0,0.0018533276825246053,0.0018278443721003864,0.012147822742309328,0.060731795332485135,0.002758262379675171,0.03854938078860563,0.0872120678736641,0.07261639546601666,0.006078429243155656,0.04708829419078881,0.005359321067135656,0.0,0.0,0.16441816606851367,0.0032699737796040174,4.509249752822894,0.09358051319488236,0.004927551830395862,0.09275471885513545,0.0,0.0030752063529837777,0.002758262379675171,0.001976602444104617,0.007918565014442318,0.0018533276825246053,0.07354911790564668,0.06689693672539254
no_init_kenn_horizontal_adapter_bert_ms,0.8705350955327352,0.6194654504458109,0.7650450269381205,0.8705350955327352,0.07686162988344829,0.7916797399520874,0.9061133066813151,0.7650450269381205,0.8644688526789347,0.6060372789700826,0.44475849469502765,0.8496732513109843,0.580469806989034,0.7580647468566895,0.8479128877321879,0.9145062367121378,0.06806995222965877,0.7213567694028219,0.9222222169240316,0.6929824550946554,0.8545659184455872,0.808080812295278,0.8076752424240112,0.8502658208211263,0.5814322233200073,0.5956731041272482,0.6278278430302938,0.8644688526789347,0.8830715616544088,0.8756219148635864,0.8218880295753479,0.8076752424240112,0.6872346599896749,0.5109786788622538,0.8142556945482889,0.899382750193278,0.5077077249685923,0.6042109727859497,0.7916797399520874,0.6142794887224833,0.0678605077167352,0.9777777791023254,0.25,0.2933333333333334,0.07629070679346721,12.333333333333334,0.7986798485120138,0.06792892267306645,0.8077618479728699,0.792792797088623,0.8545659184455872,0.8142556945482889,0.07757356762886047,0.7580647468566895,0.8218880295753479,0.49802543719609577,0.8470588723818461,0.014419044168854695,0.0386646692740027,0.012005792772005192,0.014419044168854695,0.0013254416773842844,0.009506306728752268,0.01562552709448613,0.012005792772005192,0.006491486200873146,0.04101263202357096,0.09206623725211735,0.029758307871529856,0.03763501581499237,0.015696419074179832,0.0449105663772381,0.03281925313907495,0.002384030967514525,0.034211771063754046,0.019245025032274512,0.09962997401720836,0.003224394799495539,0.1668960965941277,0.00652371846005936,0.06849037972429224,0.05702742984719008,0.07614719053342849,0.036361566828270554,0.006491486200873146,0.0494849768137579,0.0,0.0036988816027374964,0.00652371846005936,0.02488914894001528,0.07603654046339557,0.003368004204137298,0.03801184605237555,0.1327617255438917,0.08606849712084463,0.009506306728752268,0.0687210416776586,0.0052476560926706835,0.0,0.0,0.140118997046558,0.003224380522434997,4.509249752822894,0.09358051319488236,0.0035979229739770946,0.09132055637040085,0.0,0.003224394799495539,0.003368004204137298,0.002783911581515889,0.015696419074179832,0.0036988816027374964,0.08184074342152509,0.06550310089400554
no_init_kenn_hybrid_adapter_bert_ms,0.8621325095494589,0.7086295286814371,0.7911707560221354,0.8621325095494589,0.0763570840160052,0.8064980705579122,0.9001652797063192,0.7911707560221354,0.8608058492342631,0.6946958303451538,0.6809816559155782,0.8450980981191,0.5796176791191101,0.7784033219019572,0.8310244878133138,0.9216049909591675,0.06770342340071996,0.7815196315447489,0.899999996026357,0.6666666666666666,0.8529427250226339,0.6969696879386902,0.8174944519996643,0.8103535572687784,0.7055293122927347,0.7616211573282877,0.6166698733965555,0.8608058492342631,0.8551483352979025,0.8756219148635864,0.8290550510088602,0.8174944519996643,0.7518036961555481,0.676441490650177,0.8250267505645752,0.8802469770113627,0.7687251170476278,0.7294013500213623,0.8064980705579122,0.722541610399882,0.06550423800945282,0.9777777791023254,0.25,0.4066666666666667,0.07466750343640645,12.0,0.7458745837211609,0.06657593448956807,0.7545454502105713,0.792792797088623,0.8529427250226339,0.8250267505645752,0.07817572355270386,0.7784033219019572,0.8290550510088602,0.6601462960243225,0.8176471392313639,0.011168238916115781,0.015633065593114996,0.011483271721521917,0.011168238916115781,0.0009114831617959879,0.006295776959978268,0.010745351249081459,0.011483271721521917,0.00520046061628268,0.019151354241396468,0.1933213701808821,0.023773247419460675,0.004986751785421189,0.008520213958851825,0.03538262286760369,0.012048903097661873,0.0019045458076186752,0.01531570089133401,0.03333333134651631,0.1298126970457726,0.0024352420273850888,0.06060606241226196,0.002459342680324265,0.053049106493292496,0.05454550968153359,0.12670675748224136,0.0562471558587972,0.00520046061628268,0.0396433280000605,0.0,0.0022781112568659744,0.002459342680324265,0.01227318916205086,0.07272732135481647,0.001850039456024836,0.02870868873529545,0.02994901500101883,0.025554338465822442,0.006295776959978268,0.05070421784393469,0.0037404641715968264,0.0,0.0,0.17243356208503421,0.002435230492990638,5.0,0.07496908572233228,0.0028346101343945927,0.07073220332173354,0.0,0.0024352420273850888,0.001850039456024836,0.0010220564173323168,0.008520213958851825,0.0022781112568659744,0.08043339349690264,0.04668971497164491
no_init_kenn_top_down_adapter_bert_ms,0.8681623538335165,0.6101962924003601,0.7642504572868347,0.8681623538335165,0.07711191227038701,0.7890040874481201,0.9090638160705566,0.7642504572868347,0.8635531067848206,0.592117428779602,0.4216144581635793,0.8666667143503824,0.5668686230977377,0.7560757199923197,0.8535693486531576,0.924074133237203,0.06943135211865108,0.7122173110644022,0.899999996026357,0.7105263272921244,0.8541993697484335,0.7676767706871033,0.8061410586039225,0.8389952381451925,0.5776580373446146,0.5636877914269766,0.6267915964126587,0.8635531067848206,0.8760907451311747,0.8756219148635864,0.8202557365099589,0.8061410586039225,0.6803984443346659,0.5059464573860168,0.8127558628718058,0.8950617512067159,0.5293562412261963,0.6072859764099121,0.7890040874481201,0.6052083373069763,0.06738925476868947,0.9777777791023254,0.25,0.39333333333333337,0.07592418044805527,12.333333333333334,0.7854785521825155,0.06838208436965942,0.7927343845367432,0.792792797088623,0.8541993697484335,0.8127558628718058,0.07838516930739085,0.7560757199923197,0.8202557365099589,0.4870713452498118,0.8411765297253927,0.013481754777861937,0.05912609174469895,0.016048009791931436,0.013481754777861937,0.0013519865829919933,0.013293228598715234,0.015938466853249227,0.016048009791931436,0.006231968871237529,0.06188625090638513,0.14811310092470228,0.029607188151686295,0.03074837151102628,0.01714660563332575,0.04299187018989637,0.003703713417213011,0.0023719246105743394,0.04543988830290514,0.03333333134651631,0.13925007848905827,0.002923368280683526,0.11472543504215575,0.007890957883963124,0.06403844184486512,0.07622809330135703,0.1318902447226602,0.05902056281542981,0.006231968871237529,0.04750663345395468,0.0,0.006121033050836824,0.007890957883963124,0.04193053297650689,0.10163746991361289,0.007294841339742673,0.034463055457089845,0.1655262503104666,0.1012065799488959,0.013293228598715234,0.08327688684150433,0.0044954685618240125,0.0,0.0,0.17616280348965088,0.0029233425913708544,4.509249752822894,0.0898392972443838,0.003444210103329591,0.08538459050168432,0.0,0.002923368280683526,0.007294841339742673,0.0003141686320599358,0.01714660563332575,0.006121033050836824,0.11016161691935773,0.05611411106477893
smart_init_box_adapter_bert_ms,0.8718094229698181,0.46399761239687604,0.7546229958534241,0.8718094229698181,0.05936437596877416,0.7958320379257202,0.6998400489489237,0.7546229958534241,0.8601190447807312,0.46199195583661395,0.3517881780862808,0.4333333770434062,0.3511725962162018,0.7191783984502157,0.5672638614972433,0.5885802606741587,0.034715679163734116,0.5849539041519165,0.9666666587193807,0.7894736925760905,0.8545921047528585,0.8282828529675802,0.7826653520266215,0.8738836050033569,0.43956344326337177,0.4963528513908386,0.46189723412195843,0.8601190447807312,0.8813263376553854,0.8241206407546997,0.8240890900293986,0.7826653520266215,0.5750277837117513,0.3353200852870941,0.808614452679952,0.9000000556310018,0.3029994418223699,0.4289511839548747,0.7958320379257202,0.45123858253161114,0.07053094233075778,0.9111111164093018,0.17499999999999996,0.18666666666666668,0.07634306947390239,17.333333333333332,0.8547854820887247,0.04544526214400927,0.8614744345347086,0.752293586730957,0.8545921047528585,0.808614452679952,0.049926694482564926,0.7191783984502157,0.8240890900293986,0.33500899871190387,0.8803922136624655,0.025212965819332557,0.07895553651452518,0.018367670077828385,0.025212965819332557,0.005985591745278313,0.012875154695909915,0.07056342399410333,0.018367670077828385,0.011519894233306667,0.07603181510757911,0.1725921961112821,0.09856721702402003,0.09880193874495487,0.043374854775748574,0.044674839751833534,0.14244317281519003,0.007896523762453363,0.0763142053957724,0.057735040684065646,0.2279014129925477,0.006441110621058951,0.19482123330093218,0.02041313034269375,0.11976148272510752,0.0872464023864557,0.1622026481016864,0.028229624710102628,0.011519894233306667,0.08781672436222217,0.0,0.0038485875944669424,0.02041313034269375,0.04200704104297628,0.11632856940993015,0.0014215070061571297,0.07700231900070627,0.07792149339881395,0.043827155685466815,0.012875154695909915,0.12143019452472265,0.011699369761238202,0.0,0.0,0.13576941236277534,0.006531770241540769,13.576941236277534,0.1660692683909117,0.0035790367625196367,0.15968199351032777,0.0,0.006441110621058951,0.0014215070061571297,0.012082838597670474,0.043374854775748574,0.0038485875944669424,0.11581862694475162,0.1460356648264101
smart_init_classifier_adapter_bert_ms,0.8634280761082967,0.694879392782847,0.787844161192576,0.8634280761082967,0.07562478880087535,0.8055398464202881,0.891532301902771,0.787844161192576,0.8614926735560099,0.6749938726425171,0.7603600025177002,0.7699346741040548,0.5090347528457642,0.7750550905863444,0.7915944258371989,0.9058642586072286,0.06168184926112493,0.7703937093416849,0.8666666547457377,0.6842105388641357,0.8531259695688883,0.7373737494150797,0.8159212470054626,0.8165071805318197,0.6897281010945638,0.8009729782740275,0.576129416624705,0.8614926735560099,0.860383947690328,0.8756219148635864,0.8286296526590983,0.8159212470054626,0.7424804965655009,0.655373235543569,0.8236890236536661,0.8814815282821655,0.6967248320579529,0.6929182012875875,0.8055398464202881,0.7027323246002197,0.06534715617696445,0.9777777791023254,0.25,0.32666666666666666,0.07477222631374995,18.333333333333332,0.7557755708694458,0.06341707458098729,0.7627503275871277,0.792792797088623,0.8531259695688883,0.8236890236536661,0.07684050500392914,0.7750550905863444,0.8286296526590983,0.6276388168334961,0.8156863451004028,0.021544561074208216,0.0226711824158566,0.011683140206348528,0.021544561074208216,0.0012575375891905494,0.00510669907348365,0.014825005030674257,0.011683140206348528,0.009524992656304632,0.02168734411923276,0.15197969489207278,0.07493000049549685,0.06040173199379437,0.009148622196353835,0.08702199204684458,0.04496548241038203,0.006002871353387492,0.008267377208349615,0.09999999403953702,0.13674084779552856,0.005038970825998924,0.18265799692712795,0.0013912589837702582,0.10233657434040139,0.05549488302131438,0.08980711401422922,0.054410181030921934,0.009524992656304632,0.07260959677818817,0.0,0.00033836246148376823,0.0013912589837702582,0.013959830000597154,0.07399319305231626,0.003548117683244311,0.05940375871965115,0.14758010720541417,0.06715229920096517,0.00510669907348365,0.05230021728148309,0.008590959888091197,0.0,0.0,0.10692676621563627,0.005038961070886447,5.773502691896257,0.1373111739604921,0.006971597713305132,0.13644873063246965,0.0,0.005038970825998924,0.003548117683244311,0.003814219857618351,0.009148622196353835,0.00033836246148376823,0.07819066978019065,0.10723538706496927
