name,instance,run_id,test/micro/recall,test_incremental_only/macro_example_exclusive/f1,test_incremental_WORK_OF_ART-SONG/macro_types/recall,epoch,test_pretraining/macro_example/recall,test_incremental_only/macro_example/recall,test_incremental_only/macro_types/precision,test/macro_example/f1,test_pretraining/micro/f1,test_pretraining/micro/precision,test_incremental/macro_example/f1,test_incremental/macro_types/precision,test_incremental_only/macro_example/precision,test_incremental_WORK_OF_ART/macro_types/recall,test_incremental/macro_example_exclusive/precision,test_incremental_only/macro_types/f1,test_pretraining/micro/recall,test_incremental/micro/precision,test_pretraining/macro_example/f1,test_incremental/macro_example_exclusive/f1,test_incremental/macro_example_exclusive/recall,threshold_pretraining,test/macro_example/recall,test_incremental/macro_types/recall,test_incremental_WORK_OF_ART/macro_types/precision,test_incremental_only/macro_example_exclusive/recall,test_incremental_WORK_OF_ART-SONG/macro_types/precision,test_incremental_WORK_OF_ART/macro_types/f1,test_incremental_only/macro_example/f1,test/macro_example/precision,test/macro_types/f1,test/macro_types/recall,test/macro_types/precision,test_incremental_WORK_OF_ART-BOOK/macro_types/precision,test_incremental/micro/recall,test_incremental/macro_example/recall,test_pretraining/macro_types/f1,test_incremental_only/micro/precision,test_pretraining/macro_types/precision,test_pretraining/macro_example/precision,test_incremental_WORK_OF_ART-BOOK/macro_types/recall,test_incremental_only/micro/f1,test_pretraining/macro_types/recall,test_incremental_only/macro_types/recall,test_incremental_WORK_OF_ART-BOOK/macro_types/f1,test_incremental_WORK_OF_ART-SONG/macro_types/f1,test_incremental_only/macro_example_exclusive/precision,test/micro/f1,test_incremental_only/micro/recall,test_incremental/macro_example/precision,test_incremental/macro_types/f1,test/micro/precision,threshold_incremental,test_incremental/micro/f1
no_init_box_kenn_horizontal_adapter_bert_ms,2,75ymchy3,0.8299039602279663,0.42718449234962463,0.3333333432674408,39,0.8432296514511108,0.04147031158208847,0.8611111044883728,0.835421621799469,0.815089225769043,0.8007941842079163,0.06712417304515839,0.8400673866271973,0.04147031158208847,0.7181817889213562,0.7227272987365723,0.5874114632606506,0.8299039602279663,0.8199999928474426,0.835421621799469,0.6474432349205017,0.586363673210144,0.175,0.8432296514511108,0.5365515947341919,0.7979797720909119,0.427184522151947,0.8333333134651184,0.7559808492660522,0.04147031158208847,0.8277568221092224,0.8312336802482605,0.8261904716491699,0.8363388776779175,0.8888888955116272,0.577464759349823,0.060791708528995514,0.8312336802482605,0.8627451062202454,0.8363388776779175,0.8277568221092224,0.5581395626068115,0.5714285373687744,0.8261904716491699,0.44573646783828735,0.6857143640518188,0.4761905074119568,0.427184522151947,0.815089225769043,0.42718446254730225,0.07492931187152863,0.6548500657081604,0.8007941842079163,0.01,0.6776859760284424
no_init_box_kenn_horizontal_adapter_bert_ms,1,7cwgr3xm,0.8395061492919922,0.5631067752838135,0.36666667461395264,38,0.8479422330856323,0.05466540902853012,0.8612396121025085,0.8379692435264587,0.8192771077156067,0.800000011920929,0.07053408771753311,0.8401530981063843,0.05466540902853012,0.7181817889213562,0.7136363983154297,0.7086122632026672,0.8395061492919922,0.8106508851051331,0.8379692435264587,0.6803333163261414,0.6499999761581421,0.175,0.8479422330856323,0.6406859755516052,0.7979797720909119,0.5631067752838135,0.95652174949646,0.7559808492660522,0.05466540902853012,0.8282281160354614,0.839934229850769,0.8435462117195129,0.836353063583374,0.7659574747085571,0.6431924700737,0.06738924980163574,0.839934229850769,0.8285714387893677,0.836353063583374,0.8282281160354614,0.8372092843055725,0.6705202460289001,0.8435462117195129,0.601938009262085,0.7999999523162842,0.5301204919815063,0.5631067752838135,0.8192771077156067,0.5631067752838135,0.07398680597543716,0.7269855737686157,0.800000011920929,0.02,0.7172775268554688
no_init_box_kenn_horizontal_adapter_bert_ms,0,9gc2g80z,0.8333333134651184,0.4757281541824341,0.3333333432674408,27,0.8443292379379272,0.04618284851312637,0.8680824041366577,0.8362411856651306,0.8165322542190552,0.8003952503204346,0.06813904643058777,0.844714879989624,0.04618284851312637,0.7181817889213562,0.7136363983154297,0.637637197971344,0.8333333134651184,0.8152866363525391,0.8362411856651306,0.6572321653366089,0.6090909242630005,0.175,0.8443292379379272,0.5753112435340881,0.7979797720909119,0.4757281541824341,0.9523809552192688,0.7559808492660522,0.04618285223841667,0.8283066153526306,0.8348759412765503,0.8326504230499268,0.8371133804321289,0.7837837934494019,0.6009389758110046,0.06314797699451447,0.8348759412765503,0.8448275923728943,0.8371133804321289,0.8283066153526306,0.6744186282157898,0.6086956858634949,0.8326504230499268,0.5038759708404541,0.7250000238418579,0.4938271939754486,0.4757281541824341,0.8165322542190552,0.4757281541824341,0.07398680597543716,0.6844577789306641,0.8003952503204346,0.01,0.6918918490409851
no_init_box_kenn_hybrid_adapter_bert_ms,2,e5b5r26k,0.827846348285675,0.3980582654476166,0.30000001192092896,34,0.8419729471206665,0.03864279016852379,0.8708791136741638,0.8349640965461731,0.8141652941703796,0.8009290099143982,0.06606841832399368,0.8465793132781982,0.03864279016852379,0.7181817889213562,0.718181848526001,0.5643646717071533,0.827846348285675,0.8219178318977356,0.8349640965461731,0.6372599601745605,0.5727273225784302,0.175,0.8419729471206665,0.517688512802124,0.7979797720909119,0.3980582654476166,0.8571428656578064,0.7559808492660522,0.03864279016852379,0.8280709981918335,0.8301731944084167,0.8230466246604919,0.8374241590499878,0.8846153616905212,0.5633803009986877,0.059377945959568024,0.8301731944084167,0.8723404407501221,0.8374241590499878,0.8280709981918335,0.5348837375640869,0.54666668176651,0.8230466246604919,0.41744187474250793,0.6666666269302368,0.4444444477558136,0.3980582654476166,0.8141652941703796,0.3980582654476166,0.0744580626487732,0.6424902677536011,0.8009290099143982,0.01,0.6685236692428589
no_init_box_kenn_top_down_adapter_bert_ms,2,uuruz689,0.8292180895805359,0.41747575998306274,0.3166666626930237,28,0.8427584171295166,0.04052780568599701,0.8762626647949219,0.8351902365684509,0.8149645924568176,0.8011928200721741,0.0668359100818634,0.8501684069633484,0.04052780568599701,0.7181817889213562,0.7227272987365723,0.5835274457931519,0.8292180895805359,0.8243243098258972,0.8351902365684509,0.6446627378463745,0.5818182229995728,0.175,0.8427584171295166,0.5309960246086121,0.7979797720909119,0.41747575998306274,0.8636363744735718,0.7559808492660522,0.04052780568599701,0.8277568221092224,0.8315945267677307,0.825264573097229,0.8380223512649536,0.8888888955116272,0.5727699398994446,0.06032045558094978,0.8315945267677307,0.8775510191917419,0.8380223512649536,0.8277568221092224,0.5581395626068115,0.5657894611358643,0.825264573097229,0.4374031126499176,0.6857143640518188,0.46341460943222046,0.41747575998306274,0.8149645924568176,0.4174757301807403,0.07492931187152863,0.6537035703659058,0.8011928200721741,0.05,0.6759002804756165
no_init_box_kenn_bottom_up_adapter_bert_ms,2,bk8bvfqv,0.8285322189331055,0.40776699781417847,0.3333333432674408,32,0.8426012992858887,0.03958529606461525,0.8747825622558594,0.8347132205963135,0.8145650625228882,0.8010610342025757,0.06579167395830154,0.8491817116737366,0.03958529606461525,0.7181817889213562,0.7045454978942871,0.5697821378707886,0.8285322189331055,0.8231292366981506,0.8347132205963135,0.6345906257629395,0.5772727727890015,0.175,0.8426012992858887,0.5210477113723755,0.7979797720909119,0.40776699781417847,0.8695651888847351,0.7559808492660522,0.03958529606461525,0.8269714117050171,0.8306710124015808,0.8236064910888672,0.8378578424453735,0.8799999952316284,0.5680751204490662,0.059849198907613754,0.8306710124015808,0.875,0.8378578424453735,0.8269714117050171,0.5116279125213623,0.5562913417816162,0.8236064910888672,0.42248064279556274,0.6470588445663452,0.4819277226924896,0.40776699781417847,0.8145650625228882,0.40776699781417847,0.0730443000793457,0.6458249092102051,0.8010610342025757,0.01,0.6722221970558167
no_init_box_kenn_hybrid_adapter_bert_ms,1,99yege34,0.8388202786445618,0.553398072719574,0.36666667461395264,25,0.8476279973983765,0.05372289940714836,0.850601315498352,0.8377755880355835,0.818607747554779,0.799346387386322,0.07027509063482285,0.8330608010292053,0.05372289940714836,0.7181817889213562,0.7136363983154297,0.6969457268714905,0.8388202786445618,0.8047337532043457,0.8377755880355835,0.67783522605896,0.6454545259475708,0.175,0.8476279973983765,0.6329339742660522,0.7979797720909119,0.553398072719574,0.95652174949646,0.7559808492660522,0.05372290313243866,0.8281495571136475,0.8386976718902588,0.8422542214393616,0.835171103477478,0.7446808218955994,0.6384976506233215,0.06691800057888031,0.8386976718902588,0.8142856955528259,0.835171103477478,0.8281495571136475,0.8139534592628479,0.6589595675468445,0.8422542214393616,0.5903100967407227,0.7777777910232544,0.5301204919815063,0.553398072719574,0.818607747554779,0.553398072719574,0.07398680597543716,0.7193374037742615,0.799346387386322,0.01,0.7120419144630432
no_init_box_kenn_top_down_adapter_bert_ms,1,eevm1t37,0.8388202786445618,0.553398072719574,0.36666667461395264,25,0.8476279973983765,0.05372289940714836,0.8723404407501221,0.8380166292190552,0.8188817501068115,0.799869179725647,0.07048696279525757,0.847553551197052,0.05372289940714836,0.7181817889213562,0.718181848526001,0.7041345238685608,0.8388202786445618,0.8095238208770752,0.8380166292190552,0.6798787713050842,0.6454545259475708,0.175,0.8476279973983765,0.6329339742660522,0.7979797720909119,0.553398072719574,1.0,0.7559808492660522,0.05372290313243866,0.8286207914352417,0.8399138450622559,0.8422542214393616,0.837586522102356,0.7446808218955994,0.6384976506233215,0.06691800057888031,0.8399138450622559,0.8260869383811951,0.837586522102356,0.8286207914352417,0.8139534592628479,0.6627907156944275,0.8422542214393616,0.5903100967407227,0.7777777910232544,0.5365853905677795,0.553398072719574,0.8188817501068115,0.553398072719574,0.0744580626487732,0.7246875166893005,0.799869179725647,0.09,0.7139108180999756
no_init_box_kenn_bottom_up_adapter_bert_ms,1,aqomriwu,0.8367626667022705,0.5242718458175659,0.3333333432674408,28,0.8462142944335938,0.05089537799358368,0.8777778148651123,0.8373251557350159,0.8179685473442078,0.800000011920929,0.06969475001096725,0.8511784672737122,0.05089537799358368,0.7181817889213562,0.718181848526001,0.6852716207504272,0.8367626667022705,0.8109756112098694,0.8373251557350159,0.6722375750541687,0.6318181753158569,0.175,0.8462142944335938,0.6140709519386292,0.7979797720909119,0.5242718458175659,1.0,0.7559808492660522,0.05089537426829338,0.8286207914352417,0.8386502861976624,0.8391103744506836,0.8381906747817993,0.7555555701255798,0.6244131326675415,0.06550423800945282,0.8386502861976624,0.8307692408561707,0.8381906747817993,0.8286207914352417,0.7906976938247681,0.6428571939468384,0.8391103744506836,0.5620155334472656,0.7727273106575012,0.5,0.5242718458175659,0.8179685473442078,0.5242718458175659,0.0744580626487732,0.7134402990341187,0.800000011920929,0.02,0.7055702805519104
no_init_box_kenn_hybrid_adapter_bert_ms,0,vj73kr5q,0.8360767960548401,0.5145630836486816,0.3333333432674408,30,0.8455858826637268,0.04995287209749222,0.8276396989822388,0.8364159464836121,0.8172979950904846,0.7993442416191101,0.06922155618667603,0.8177531361579895,0.04995287209749222,0.7181817889213562,0.7136363983154297,0.6611227989196777,0.8360767960548401,0.8048780560493469,0.8364159464836121,0.6676733493804932,0.6272727251052856,0.175,0.8455858826637268,0.606319010257721,0.7979797720909119,0.5145630836486816,0.8695651888847351,0.7559808492660522,0.04995286837220192,0.8274426460266113,0.8352109789848328,0.8378183841705322,0.8326197862625122,0.7857142686843872,0.6197183132171631,0.06503298878669739,0.8352109789848328,0.8153846263885498,0.8326197862625122,0.8274426460266113,0.7674418687820435,0.6309523582458496,0.8378183841705322,0.5503876209259033,0.7764706015586853,0.4819277226924896,0.5145630836486816,0.8172979950904846,0.5145630836486816,0.07398680597543716,0.6963400840759277,0.7993442416191101,0.01,0.7002652883529663
