name,test/micro/recall/mean,test_incremental_only/macro_example_exclusive/f1/mean,test_incremental_WORK_OF_ART-SONG/macro_types/recall/mean,epoch/mean,test_pretraining/macro_example/recall/mean,test_incremental_only/macro_example/recall/mean,test_incremental_only/macro_types/precision/mean,test/macro_example/f1/mean,test_pretraining/micro/f1/mean,test_pretraining/micro/precision/mean,test_incremental/macro_example/f1/mean,test_incremental/macro_types/precision/mean,test_incremental_only/macro_example/precision/mean,test_incremental_WORK_OF_ART/macro_types/recall/mean,test_incremental/macro_example_exclusive/precision/mean,test_incremental_only/macro_types/f1/mean,test_pretraining/micro/recall/mean,test_incremental/micro/precision/mean,test_pretraining/macro_example/f1/mean,test_incremental/macro_example_exclusive/f1/mean,test_incremental/macro_example_exclusive/recall/mean,threshold_pretraining/mean,test/macro_example/recall/mean,test_incremental/macro_types/recall/mean,test_incremental_WORK_OF_ART/macro_types/precision/mean,test_incremental_only/macro_example_exclusive/recall/mean,test_incremental_WORK_OF_ART-SONG/macro_types/precision/mean,test_incremental_WORK_OF_ART/macro_types/f1/mean,test_incremental_only/macro_example/f1/mean,test/macro_example/precision/mean,test/macro_types/f1/mean,test/macro_types/recall/mean,test/macro_types/precision/mean,test_incremental_WORK_OF_ART-BOOK/macro_types/precision/mean,test_incremental/micro/recall/mean,test_incremental/macro_example/recall/mean,test_pretraining/macro_types/f1/mean,test_incremental_only/micro/precision/mean,test_pretraining/macro_types/precision/mean,test_pretraining/macro_example/precision/mean,test_incremental_WORK_OF_ART-BOOK/macro_types/recall/mean,test_incremental_only/micro/f1/mean,test_pretraining/macro_types/recall/mean,test_incremental_only/macro_types/recall/mean,test_incremental_WORK_OF_ART-BOOK/macro_types/f1/mean,test_incremental_WORK_OF_ART-SONG/macro_types/f1/mean,test_incremental_only/macro_example_exclusive/precision/mean,test/micro/f1/mean,test_incremental_only/micro/recall/mean,test_incremental/macro_example/precision/mean,test_incremental/macro_types/f1/mean,test/micro/precision/mean,threshold_incremental/mean,test_incremental/micro/f1/mean,test/micro/recall/std,test_incremental_only/macro_example_exclusive/f1/std,test_incremental_WORK_OF_ART-SONG/macro_types/recall/std,epoch/std,test_pretraining/macro_example/recall/std,test_incremental_only/macro_example/recall/std,test_incremental_only/macro_types/precision/std,test/macro_example/f1/std,test_pretraining/micro/f1/std,test_pretraining/micro/precision/std,test_incremental/macro_example/f1/std,test_incremental/macro_types/precision/std,test_incremental_only/macro_example/precision/std,test_incremental_WORK_OF_ART/macro_types/recall/std,test_incremental/macro_example_exclusive/precision/std,test_incremental_only/macro_types/f1/std,test_pretraining/micro/recall/std,test_incremental/micro/precision/std,test_pretraining/macro_example/f1/std,test_incremental/macro_example_exclusive/f1/std,test_incremental/macro_example_exclusive/recall/std,threshold_pretraining/std,test/macro_example/recall/std,test_incremental/macro_types/recall/std,test_incremental_WORK_OF_ART/macro_types/precision/std,test_incremental_only/macro_example_exclusive/recall/std,test_incremental_WORK_OF_ART-SONG/macro_types/precision/std,test_incremental_WORK_OF_ART/macro_types/f1/std,test_incremental_only/macro_example/f1/std,test/macro_example/precision/std,test/macro_types/f1/std,test/macro_types/recall/std,test/macro_types/precision/std,test_incremental_WORK_OF_ART-BOOK/macro_types/precision/std,test_incremental/micro/recall/std,test_incremental/macro_example/recall/std,test_pretraining/macro_types/f1/std,test_incremental_only/micro/precision/std,test_pretraining/macro_types/precision/std,test_pretraining/macro_example/precision/std,test_incremental_WORK_OF_ART-BOOK/macro_types/recall/std,test_incremental_only/micro/f1/std,test_pretraining/macro_types/recall/std,test_incremental_only/macro_types/recall/std,test_incremental_WORK_OF_ART-BOOK/macro_types/f1/std,test_incremental_WORK_OF_ART-SONG/macro_types/f1/std,test_incremental_only/macro_example_exclusive/precision/std,test/micro/f1/std,test_incremental_only/micro/recall/std,test_incremental/macro_example/precision/std,test_incremental/macro_types/f1/std,test/micro/precision/std,threshold_incremental/std,test_incremental/micro/f1/std
no_init_box_kenn_bottom_up_adapter_bert_ms,0.8337905605634054,0.48220064242680866,0.3333333432674408,30.0,0.8448004921277364,0.04681118205189705,0.8600666920344034,0.8361514409383138,0.8166105349858602,0.800135095914205,0.06823599338531494,0.8393711050351461,0.04681118205189705,0.7181817889213562,0.7121212482452393,0.6387255191802979,0.8337905605634054,0.8129943013191223,0.8361514409383138,0.6581671833992004,0.6121212244033813,0.17499999999999996,0.8448004921277364,0.5804792245229086,0.7979797720909119,0.48220064242680866,0.9130434592564901,0.7559808492660522,0.046811179568370186,0.8276782830556234,0.8348440925280253,0.833511749903361,0.836222767829895,0.8070899446805319,0.6040688554445902,0.06346214190125465,0.8348440925280253,0.8403846224149069,0.836222767829895,0.8276782830556234,0.6899224917093912,0.6100336313247681,0.833511749903361,0.5116279323895773,0.7320855855941772,0.4879518151283264,0.48220064242680866,0.8166105349858602,0.48220064242680866,0.07382972290118535,0.6852017641067505,0.800135095914205,0.013333333333333334,0.6926859219868978,0.004566751817425624,0.06464395256675207,0.0,2.0,0.001930301065858005,0.006275519943951926,0.028122505104491706,0.0013259048532293753,0.0018028805503487605,0.0008663313209102846,0.002130023754513824,0.018748311710972587,0.006275519943951926,0.0,0.006943289885865298,0.06091538203725407,0.004566751817425624,0.009291540834905342,0.0013259048532293753,0.02054503812315791,0.03026509894819489,0.0,0.001930301065858005,0.05161493695121148,0.0,0.06464395256675207,0.07530657330909618,0.0,0.00627551779922741,0.0008495628173950264,0.004002268960521012,0.008602495211133923,0.0031247082219333523,0.06491758912816194,0.031259751304415793,0.003137759832103319,0.004002268960521012,0.0309489881029778,0.0031247082219333523,0.0008495628173950264,0.15484484516922645,0.04692128027102267,0.008602495211133923,0.07742242258461321,0.07365910041572075,0.010434034168360681,0.06464395256675207,0.0018028805503487605,0.06464395256675207,0.0007198523944815737,0.03515688928306625,0.0008663313209102846,0.005773502691896258,0.0179195079201112
no_init_box_kenn_horizontal_adapter_bert_ms,0.8342478076616923,0.4886731406052907,0.3444444537162781,34.666666666666664,0.8451670408248901,0.04743952304124832,0.8634777069091797,0.8365440169970194,0.816966195901235,0.8003964821497599,0.06859910239775975,0.8416451215744019,0.04743952304124832,0.7181817889213562,0.7166666984558105,0.6445536414782206,0.8342478076616923,0.8153125047683716,0.8365440169970194,0.6616695721944174,0.6151515245437622,0.17499999999999996,0.8451670408248901,0.5841829379399618,0.7979797720909119,0.4886731505393982,0.9140786727269491,0.7559808492660522,0.04743952428301176,0.8280971844991049,0.8353479504585266,0.8341290354728699,0.8366017738978068,0.8128767212231954,0.6071987350781759,0.06377631177504857,0.8353479504585266,0.8453813791275024,0.8366017738978068,0.8280971844991049,0.6899224917093912,0.6168814897537231,0.8341290354728699,0.5171834826469421,0.7369047800699869,0.500046064456304,0.4886731505393982,0.816966195901235,0.4886731306711833,0.07430097460746765,0.6887644728024801,0.8003964821497599,0.013333333333333334,0.6956184506416321,0.0048659771302380795,0.06887957792137216,0.019245007825895603,6.658328118479392,0.0024654698687187017,0.006686708630372317,0.003988302391905682,0.0013005284416873473,0.002127396962778304,0.0003970875764957606,0.001750890669892618,0.0026588341731455523,0.006686708630372317,0.0,0.005248633805322749,0.06089570074918298,0.0048659771302380795,0.00467460755310341,0.0013005284416873473,0.016888081549829598,0.03224814599391294,0.0,0.0024654698687187017,0.05263100358419857,0.0,0.06887956461913908,0.06995817554834516,0.0,0.006686708280314226,0.0002973641757741649,0.004369437646577688,0.008771838425911005,0.0004431210268642467,0.06642915316337962,0.03330797845580867,0.003343350289510425,0.004369437646577688,0.017093563006179903,0.0004431210268642467,0.0002973641757741649,0.14017936627648575,0.050050446754177594,0.008771838425911005,0.07894648686706998,0.05806540568081056,0.02749757391955159,0.06887956461913908,0.002127396962778304,0.06887959122360696,0.0005441560328212146,0.03626008259593677,0.0003970875764957606,0.005773502691896258,0.020057128255054648
no_init_box_kenn_hybrid_adapter_bert_ms,0.8342478076616923,0.4886731406052907,0.3333333432674408,29.666666666666668,0.84506227572759,0.04743952055772146,0.8497067093849182,0.8363852103551229,0.8166903456052145,0.7998732129732767,0.06852168838183086,0.8324644168217977,0.04743952055772146,0.7181817889213562,0.7151515483856201,0.6408110658327738,0.8342478076616923,0.8105098803838094,0.8363852103551229,0.6609228452046713,0.6151515245437622,0.17499999999999996,0.84506227572759,0.5856471657752991,0.7979797720909119,0.4886731406052907,0.8944099346796671,0.7559808492660522,0.04743952055772146,0.8278877337773641,0.8346939484278361,0.8343730767567953,0.8350716829299927,0.8050034840901693,0.6071987549463908,0.06377631177504857,0.8346939484278361,0.8340035875638326,0.8350716829299927,0.8278877337773641,0.7054263552029928,0.6121928691864014,0.8343730767567953,0.5193798641363779,0.7403050065040588,0.48549755414326984,0.4886731406052907,0.8166903456052145,0.4886731406052907,0.07414389153321584,0.6860559185345968,0.7998732129732767,0.01,0.6936102906862894,0.005711014427150919,0.08084139282517798,0.03333333134651184,4.509249752822894,0.002863655282769707,0.00784793766756997,0.02163358467288098,0.00140599773504535,0.002282712518223062,0.0009143476017031086,0.002188923066457177,0.014422339527051282,0.00784793766756997,0.0,0.0026243169026613747,0.06858468431703592,0.005711014427150919,0.009879839276822126,0.00140599773504535,0.021113148281776184,0.0378484366224497,0.0,0.002863655282769707,0.060339646690526105,0.0,0.08084139282517798,0.05414782251822546,0.0,0.00784793856235659,0.00038745348811408757,0.004285693588237409,0.010056617268558742,0.0024037289373400024,0.07193381840366976,0.03909230817090256,0.0039239691320470515,0.004285693588237409,0.033205235226026655,0.0024037289373400024,0.00038745348811408757,0.14951394696017842,0.05844965245018553,0.010056617268558742,0.0905094817134911,0.06377605660251962,0.04294943434995331,0.08084139282517798,0.002282712518223062,0.08084139282517798,0.0002720801672079629,0.039442282189366205,0.0009143476017031086,0.0,0.022509468279340358
no_init_box_kenn_top_down_adapter_bert_ms,0.8356195489565531,0.5080906351407369,0.3555555542310079,26.333333333333332,0.8459524512290955,0.04932453607519468,0.8515554269154867,0.836955189704895,0.81739342212677,0.7999621033668518,0.06961611409982045,0.8336968819300333,0.04932453607519468,0.7181817889213562,0.7272727489471436,0.6556599338849386,0.8356195489565531,0.8112827142079672,0.836955189704895,0.671479066212972,0.6242424249649048,0.17499999999999996,0.8459524512290955,0.598222553730011,0.7979797720909119,0.5080906351407369,0.895021657148997,0.7559808492660522,0.04932453731695811,0.8281495372454325,0.8358409802118937,0.8364689946174622,0.8352770805358887,0.8080891370773315,0.6165884137153625,0.06471881891290347,0.8358409802118937,0.8354849616686503,0.8352770805358887,0.8281495372454325,0.7209302385648092,0.6279175480206808,0.8364689946174622,0.538242906332016,0.7513966162999471,0.5075757503509521,0.5080906351407369,0.81739342212677,0.5080906252066294,0.07540056606133778,0.6950179934501648,0.7999621033668518,0.05333333333333334,0.6999979615211487,0.00554382644092503,0.07847478384730125,0.034694433642582595,1.5275252316519465,0.0027672291546893104,0.0076181919872879795,0.03944622522975646,0.0015389354815591603,0.0021211880127113567,0.0011869859874084005,0.0024630823757483514,0.02629750738774924,0.0076181919872879795,0.0,0.012026130853997808,0.06368900162229084,0.00554382644092503,0.012257167146388403,0.0015389354815591603,0.023757551699764318,0.03674043663725925,0.0,0.0027672291546893104,0.058230237933816674,0.0,0.07847478384730125,0.0933312030951206,0.0,0.007618193062686431,0.00043730657013213024,0.0041623747994778805,0.009705039468295242,0.004382929848593991,0.07366029356319982,0.03794791147964821,0.0038090943805458577,0.0041623747994778805,0.038243146432193016,0.004382929848593991,0.00043730657013213024,0.14145957299056888,0.05393916770200713,0.009705039468295242,0.08734535802482106,0.05724814116973757,0.038867297090701164,0.07847478384730125,0.0021211880127113567,0.07847480105368013,0.0012468166971087227,0.036896923018225544,0.0011869859874084005,0.03511884584284246,0.02095228459348538
no_init_kenn_bottom_up_adapter_bert_ms,0.8495656251907349,0.5857017040252686,0.41111111640930176,13.333333333333334,0.8548015554745992,0.05717876056830088,0.6546006401379904,0.8309420943260193,0.8114634354909261,0.7766531109809875,0.06845954308907191,0.7051079273223877,0.05655042206247648,0.7181817889213562,0.6585858464241028,0.6370255947113037,0.8495656251907349,0.7052838404973348,0.8309420943260193,0.660323441028595,0.6621211767196655,0.25,0.8548015554745992,0.6555007497469584,0.8061224222183228,0.5889967878659567,0.7143133183320364,0.7596153616905212,0.05685887858271599,0.808388332525889,0.8233096798261007,0.8536223967870077,0.7951178352038065,0.5948879718780518,0.6557120482126871,0.06864592929681142,0.8233096798261007,0.6122983793417612,0.7951178352038065,0.808388332525889,0.8372093240420023,0.598616898059845,0.8536223967870077,0.6241602301597595,0.6923600236574808,0.49907005826632184,0.5825242797533671,0.8114634354909261,0.5889967679977417,0.06827940046787262,0.678654134273529,0.7766531109809875,0.16,0.6790226300557455,0.0028555406189234617,0.04598128979601749,0.050917504686811596,0.5773502691896258,0.0010220619529273723,0.0039239706233565935,0.14379170224227011,0.0035679041148168034,0.006590155767738122,0.009691082902729574,0.002465255865857027,0.09586112384103507,0.004987280164690811,0.0,0.02860120080299303,0.10032281267624028,0.0028555406189234617,0.06990025372221077,0.0035679041148168034,0.023778522874780657,0.01892421831122485,0.0,0.0010220619529273723,0.03807698142008288,0.0,0.04042067613077648,0.2674272004692007,0.0,0.004463786965109101,0.005871403538826991,0.011520646454408848,0.006346157895930502,0.01597685397350585,0.027398305635230134,0.019546149313267418,0.0019619866538572333,0.011520646454408848,0.12014813968613407,0.01597685397350585,0.005871403538826991,0.1611210133582113,0.08040899796734347,0.006346157895930502,0.057115467781864646,0.0736971528899458,0.05795096597599119,0.05137381656787034,0.006590155767738122,0.04042070953611338,0.0029652502368131455,0.06556339947129242,0.009691082902729574,0.0721110255092798,0.043393157057316466
no_init_kenn_horizontal_adapter_bert_ms,0.855967104434967,0.66108771165212,0.5166666607062022,13.333333333333334,0.8588333527247111,0.06597549095749855,0.5462746620178223,0.8261221845944723,0.8041447003682455,0.7589102586110433,0.0729103038708369,0.6328906019528707,0.06251963476339976,0.7181817889213562,0.7020201881726583,0.5905806322892507,0.855967104434967,0.6283342440923055,0.8261221845944723,0.7032529910405477,0.7045454184214274,0.25,0.8588333527247111,0.713941752910614,0.8061224222183228,0.6796116630236307,0.6007860402266184,0.7596153616905212,0.06417722006638844,0.7960257331530253,0.8210158348083496,0.8633625904719034,0.783081591129303,0.49176327387491864,0.6995305220286051,0.07304429511229198,0.8210158348083496,0.5257309973239899,0.783081591129303,0.7960257331530253,0.9069767395655314,0.5663795669873556,0.8633625904719034,0.711821715037028,0.6183541417121887,0.5078201492627462,0.644012967745463,0.8041447003682455,0.6796116431554159,0.07278248916069667,0.6599775552749634,0.7589102586110433,0.09000000000000001,0.6504213412602743,0.008916318416595459,0.11002052990012694,0.16914818413777433,0.5773502691896258,0.00568185233109794,0.012252592839873818,0.20774561487685725,0.0071449130615102024,0.014710323351026122,0.03244500571180602,0.00556208034378768,0.13849707697995714,0.009358074030782164,0.0,0.04832677058584942,0.10972134075039508,0.008916318416595459,0.14881011947894449,0.0071449130615102024,0.053648767091581284,0.05909092151201696,0.0,0.00568185233109794,0.08061093666390573,0.0,0.12621361475724577,0.2534260314564496,0.0,0.010680597087038,0.017862791524059073,0.008832614929973,0.01343517028909048,0.02308282636232181,0.17552616502661011,0.0610328775185842,0.0061262960617381726,0.008832614929973,0.1840043299196463,0.02308282636232181,0.017862791524059073,0.12305819160804099,0.08910203658050736,0.01343517028909048,0.1209164220242921,0.1533508484567787,0.010335729251005388,0.09639722655252864,0.014710323351026122,0.1262135803699505,0.005010315217626534,0.05650060277616959,0.03244500571180602,0.0888819441731559,0.06535550362789877
no_init_kenn_hybrid_adapter_bert_ms,0.8495656251907349,0.5857017040252686,0.41111111640930176,13.333333333333334,0.8548015356063843,0.05717875932653745,0.6702466209729513,0.8312928477923075,0.8121685981750488,0.77794082959493,0.06817092249790828,0.7155386010805765,0.05655042082071304,0.7181817889213562,0.653030276298523,0.645136833190918,0.8495656251907349,0.7141846617062887,0.8312928477923075,0.6575395464897156,0.6621211767196655,0.25,0.8548015356063843,0.6555007696151733,0.8061224222183228,0.5889967878659567,0.7143133183320364,0.7596153616905212,0.05685887734095255,0.809048056602478,0.8242473800977071,0.8536223967870077,0.7968562642733256,0.6261799335479736,0.6557120482126871,0.06864592929681142,0.8242473800977071,0.626866469780604,0.7968562642733256,0.809048056602478,0.8372093240420023,0.6058761278788248,0.8536223967870077,0.6241602301597595,0.7109518845876058,0.49907005826632184,0.5825242797533671,0.8121685981750488,0.5889967679977417,0.06770342340071996,0.6837266286214193,0.77794082959493,0.2366666666666667,0.6832537651062012,0.0028555406189234617,0.04598128979601749,0.050917504686811596,0.5773502691896258,0.0010220329427633392,0.00392396913204705,0.1293363760657474,0.00288525440082703,0.006088175416734433,0.008776274193161696,0.0021728674881319205,0.08622427459612197,0.0049872787566635594,0.0,0.02292838108895516,0.09193227966460128,0.0028555406189234617,0.06507312663091011,0.00288525440082703,0.020958270763129973,0.01892421831122485,0.0,0.0010220329427633392,0.0380769940940791,0.0,0.04042067613077648,0.2674272004692007,0.0,0.004463785520667097,0.004593170631134811,0.01065026495498278,0.006346157895930502,0.014370689032670832,0.02563784024284158,0.019546149313267418,0.0019619866538572333,0.01065026495498278,0.11521270920808323,0.014370689032670832,0.004593170631134811,0.1611210133582113,0.0768767985431382,0.006346157895930502,0.057115467781864646,0.060779568530306846,0.05795096597599119,0.05137381656787034,0.006088175416734433,0.04042070953611338,0.002377118524099605,0.060553971492898075,0.008776274193161696,0.13051181300301265,0.040796022693007715
no_init_kenn_top_down_adapter_bert_ms,0.8518518805503845,0.612939735253652,0.42222221692403156,14.333333333333334,0.8559535145759583,0.06032045061389605,0.6034096082051595,0.8299561738967896,0.810202976067861,0.7724786599477133,0.06930043299992879,0.6709805727005005,0.05874960497021675,0.7181817889213562,0.6601009964942932,0.6269421776135763,0.8518518805503845,0.6791572968165079,0.8299561738967896,0.668434202671051,0.6772726972897848,0.25,0.8559535145759583,0.6798763076464335,0.8061224222183228,0.6213592290878296,0.6208117604255676,0.7596153616905212,0.059503099570671715,0.8055031696955363,0.8221064805984497,0.8576850096384684,0.7894299228986105,0.5860074758529663,0.67136150598526,0.07021677494049072,0.8221064805984497,0.5752101143201193,0.7894299228986105,0.8055031696955363,0.8992247978846232,0.5939085086186727,0.8576850096384684,0.6607235074043274,0.7065982421239217,0.4817485014597575,0.6051779985427856,0.810202976067861,0.6213592092196146,0.06843648354212443,0.6739364266395569,0.7724786599477133,0.3133333333333333,0.6741207043329874,0.0006858706474304199,0.017519237772324017,0.05853139917754894,0.5773502691896258,0.0006847582458786473,0.0009425077587372248,0.12791009172037765,0.002952140688411914,0.005907176803555765,0.010422211751119207,0.0014133387865404804,0.08527341164333305,0.002879406732683408,0.0,0.024633837929054898,0.07416457823037777,0.0006858706474304199,0.07056214558030031,0.002952140688411914,0.013632267700353341,0.004545450210701542,0.0,0.0006847582458786473,0.008277151643853179,0.0,0.009708762168884277,0.24522912946609232,0.0,0.0017007369032245056,0.0054468366692684055,0.00831575651037341,0.0013795212166901757,0.014212241554221761,0.05829948206563789,0.004694819450378418,0.00047124922275543213,0.00831575651037341,0.11411309152393766,0.014212241554221761,0.0054468366692684055,0.0747569966577701,0.06376811793075123,0.0013795212166901757,0.012415741188809108,0.03819610195297825,0.07256257270161623,0.029660693328166624,0.005907176803555765,0.00970873236657715,0.002553929217622415,0.04664395572903977,0.010422211751119207,0.11930353445448853,0.03616877724556603
smart_init_box_adapter_bert_ms,0.844764510790507,0.4759935835997264,0.49444443980852765,18.333333333333332,0.8518693049748739,0.061891296257575355,0.49234139919281006,0.8327175974845886,0.8010288675626119,0.7622446020444235,0.06206638117631277,0.5942208568255106,0.038328620294729866,0.7181817889213562,0.5474747021993002,0.521260271469752,0.844764510790507,0.5966450969378153,0.8327175974845886,0.5986584226290385,0.6848485072453817,0.17499999999999996,0.8518693049748739,0.6832785407702128,0.7979797720909119,0.6375404198964437,0.4774467845757802,0.7559808492660522,0.046208616346120834,0.814488410949707,0.8216899832089742,0.8506449659665426,0.7953644196192423,0.5072360237439474,0.679186224937439,0.07100219527880351,0.8216899832089742,0.49263190229733783,0.7953644196192423,0.814488410949707,0.8372093041737875,0.5141956110795339,0.8506449659665426,0.6658268670241038,0.5876812934875488,0.44806596636772156,0.3948219915231069,0.8010288675626119,0.637540469566981,0.05675987402598063,0.6177976131439209,0.7622446020444235,0.26333333333333336,0.6211146116256714,0.010632860400819132,0.019427178309116895,0.06735752861966221,17.897858344878397,0.005700690211836712,0.014611392369676263,0.22332760911005456,0.0019235520692211256,0.011514541617924104,0.0299927182863973,0.0038622061164174637,0.14888505432328572,0.005700675275970572,0.0,0.11765941663640213,0.05080841123323107,0.010632860400819132,0.1584806133646792,0.0019235520692211256,0.03725275129813465,0.07046676408134696,0.0,0.005700690211836712,0.11248924440042057,0.0,0.1505115269801454,0.29027040640650303,0.0,0.0018859525734195037,0.008775613781264815,0.004253626848767994,0.01874819255785928,0.024814224634910644,0.1582956102153498,0.07278254643032116,0.0073056930008679796,0.004253626848767994,0.22307337353250142,0.024814224634910644,0.008775613781264815,0.2819617561704909,0.05259373240156098,0.01874819255785928,0.16873382575364354,0.02611187838445303,0.10298769874918401,0.058722489376229745,0.011514541617924104,0.1505115439613198,0.012198433379051082,0.022026041397366188,0.0299927182863973,0.2482606157515391,0.04730599251006159
smart_init_classifier_adapter_bert_ms,0.8525377313296,0.5642136534055074,0.42222222685813904,11.0,0.8562676509221395,0.06126295650998751,0.6311157842477163,0.8312300443649292,0.809309204419454,0.7705694039662679,0.06702266881863277,0.6894513567288717,0.05073829491933187,0.7181817889213562,0.621212104956309,0.6297067999839783,0.8525377313296,0.6846884886423746,0.8312300443649292,0.6464641094207764,0.6818181673685709,0.25,0.8562676509221395,0.6876282294591268,0.8061224222183228,0.6310679912567139,0.6664344668388367,0.7596153616905212,0.05477286006013552,0.807644784450531,0.824209729830424,0.8589769800504049,0.7925083835919698,0.5957971215248108,0.6760563453038534,0.07068802913029988,0.824209729830424,0.6052772104740143,0.7925083835919698,0.807644784450531,0.9224806229273478,0.5989238222440084,0.8589769800504049,0.6723514397939047,0.7163929144541422,0.481083740790685,0.5226537187894186,0.809309204419454,0.6310679713884989,0.06440464655558269,0.680165966351827,0.7705694039662679,0.33666666666666667,0.6733735998471578,0.003818792911611083,0.050300751340375316,0.03849001565179121,4.358898943540674,0.002265489825421465,0.005247658434457027,0.21681862318877934,0.0023868181099228132,0.011930999229228089,0.02432878338015906,0.0042812475492926,0.1445457872592828,0.010110921809839345,0.0,0.08985500327509117,0.10958088080676351,0.003818792911611083,0.13967993093384964,0.0023868181099228132,0.04129463909467284,0.02530805992731048,0.0,0.002265489825421465,0.038470333287274436,0.0,0.05405598225269687,0.3336237236461094,0.0,0.004883107977632334,0.006486548494667975,0.010386654354531852,0.006411732712687924,0.02409095971575617,0.10125873923711727,0.026139739420875302,0.0026238273772533874,0.010386654354531852,0.19953197806986303,0.02409095971575617,0.006486548494667975,0.08167174517524585,0.09609598373219624,0.006411732712687924,0.05770553142533487,0.05619795570150918,0.11178752697383135,0.10415233135180388,0.011930999229228089,0.05405595013676336,0.009315784387026713,0.06120099101522149,0.02432878338015906,0.2581343319539912,0.0625209962807626
