metric,projector,family,subset,precision/mean,recall/mean,f1/mean,precision/std,recall/std,f1/std
test/macro_example,no_init_box_kenn_bottom_up_adapter_bert_ms,CONTACT_INFO,10,0.7072939475377401,0.8506126403808594,0.7597160140673319,0.2090559348376544,0.00436457066003646,0.1354625693490732
test_incremental/macro_example_exclusive,no_init_box_kenn_bottom_up_adapter_bert_ms,CONTACT_INFO,10,0.9555555979410807,0.7722222805023193,0.8499440948168436,0.03848998123903344,0.16859987564332216,0.11541042490519769
test_pretraining/macro_example,no_init_box_kenn_bottom_up_adapter_bert_ms,CONTACT_INFO,10,0.7072939475377401,0.8506126403808594,0.7597160140673319,0.2090559348376544,0.00436457066003646,0.1354625693490732
test_incremental_only/macro_example_exclusive,no_init_box_kenn_bottom_up_adapter_bert_ms,CONTACT_INFO,10,0.6111111442248026,0.6111111442248026,0.6111111442248026,0.3371997699450229,0.3371997699450229,0.3371997699450229
test_incremental_only/macro_types,no_init_box_kenn_bottom_up_adapter_bert_ms,CONTACT_INFO,10,0.515552527581652,0.6111111144224802,0.37695036207636196,0.42534834693736534,0.33719979498653024,0.28015345879776626
test_incremental_only/macro_example,no_init_box_kenn_bottom_up_adapter_bert_ms,CONTACT_INFO,10,0.01727929525077343,0.01727929525077343,0.01727929525077343,0.009534395254361004,0.009534395254361004,0.009534395254361004
test_incremental_CONTACT_INFO-url/macro_types,no_init_box_kenn_bottom_up_adapter_bert_ms,CONTACT_INFO,10,0.515552527581652,0.6111111144224802,0.37695036207636196,0.42534834693736534,0.33719979498653024,0.28015345879776626
test_incremental/micro,no_init_box_kenn_bottom_up_adapter_bert_ms,CONTACT_INFO,10,0.5041558506588141,0.7722222208976746,0.5008995632330576,0.3912591159294875,0.16859987564332224,0.3473860971467487
test_pretraining/macro_types,no_init_box_kenn_bottom_up_adapter_bert_ms,CONTACT_INFO,10,0.8145546317100525,0.8582980632781982,0.835453450679779,0.025020463759032146,0.01983525453259542,0.004528425024463648
test/macro_types,no_init_box_kenn_bottom_up_adapter_bert_ms,CONTACT_INFO,10,0.8145546317100525,0.8582980632781982,0.835453450679779,0.025020463759032146,0.01983525453259542,0.004528425024463648
test_incremental_CONTACT_INFO/macro_types,no_init_box_kenn_bottom_up_adapter_bert_ms,CONTACT_INFO,10,0.7179487347602844,0.9333333373069764,0.8115941882133484,0.0,0.0,0.0
test_incremental_only/micro,no_init_box_kenn_bottom_up_adapter_bert_ms,CONTACT_INFO,10,0.515552527581652,0.6111111144224802,0.37695036207636196,0.42534834693736534,0.33719979498653024,0.28015345879776626
test/micro,no_init_box_kenn_bottom_up_adapter_bert_ms,CONTACT_INFO,10,0.6902526716391245,0.8551143209139506,0.7532596985499064,0.1869219723952262,0.007303966543707122,0.12199671889306796
test_pretraining/micro,no_init_box_kenn_bottom_up_adapter_bert_ms,CONTACT_INFO,10,0.6902526716391245,0.8551143209139506,0.7532596985499064,0.1869219723952262,0.007303966543707122,0.12199671889306796
test_incremental/macro_types,no_init_box_kenn_bottom_up_adapter_bert_ms,CONTACT_INFO,10,0.6167506178220113,0.7722222407658895,0.6496407787005106,0.21267416893382562,0.16859991001401914,0.09776714087868649
test_incremental/macro_example,no_init_box_kenn_bottom_up_adapter_bert_ms,CONTACT_INFO,10,0.02701853464047114,0.021834746624032658,0.02403234752515952,0.001088313141041107,0.004767197918717701,0.0032632545114891012
test/macro_example,no_init_box_kenn_horizontal_adapter_bert_ms,CONTACT_INFO,10,0.5864645640055338,0.85218346118927,0.6809790929158529,0.20882920882947284,0.00598575507538578,0.1345485142403509
test_incremental/macro_example_exclusive,no_init_box_kenn_horizontal_adapter_bert_ms,CONTACT_INFO,10,0.9777777989705404,0.8222222526868185,0.8816299041112264,0.03848998123903342,0.25018511894302164,0.17566628807057413
test_pretraining/macro_example,no_init_box_kenn_horizontal_adapter_bert_ms,CONTACT_INFO,10,0.5864645640055338,0.85218346118927,0.6809790929158529,0.20882920882947284,0.00598575507538578,0.1345485142403509
test_incremental_only/macro_example_exclusive,no_init_box_kenn_horizontal_adapter_bert_ms,CONTACT_INFO,10,0.7111111134290695,0.7111111134290695,0.7111111134290695,0.5003702292828539,0.5003702292828539,0.5003702292828539
test_incremental_only/macro_types,no_init_box_kenn_horizontal_adapter_bert_ms,CONTACT_INFO,10,0.2855168121556441,0.7111111134290695,0.11285409082969029,0.4455555208170408,0.5003702292828539,0.10021416815355765
test_incremental_only/macro_example,no_init_box_kenn_horizontal_adapter_bert_ms,CONTACT_INFO,10,0.020106816353897255,0.020106816353897255,0.020106816353897255,0.014148073522031093,0.014148073522031093,0.014148073522031093
test_incremental_CONTACT_INFO-url/macro_types,no_init_box_kenn_horizontal_adapter_bert_ms,CONTACT_INFO,10,0.2855168121556441,0.7111111134290695,0.11285409082969029,0.4455555208170408,0.5003702292828539,0.10021416815355765
test_incremental/micro,no_init_box_kenn_horizontal_adapter_bert_ms,CONTACT_INFO,10,0.2775757635633151,0.8222222129503886,0.2717948754628499,0.38944901334767484,0.250185084530264,0.2975574631054512
test_pretraining/macro_types,no_init_box_kenn_horizontal_adapter_bert_ms,CONTACT_INFO,10,0.8010231455167135,0.8641804059346517,0.8307863473892212,0.026209134809242498,0.029433506968023795,4.0262926516047845e-05
test/macro_types,no_init_box_kenn_horizontal_adapter_bert_ms,CONTACT_INFO,10,0.8010231455167135,0.8641804059346517,0.8307863473892212,0.026209134809242498,0.029433506968023795,4.0262926516047845e-05
test_incremental_CONTACT_INFO/macro_types,no_init_box_kenn_horizontal_adapter_bert_ms,CONTACT_INFO,10,0.7179487347602844,0.9333333373069764,0.8115941882133484,0.0,0.0,0.0
test_incremental_only/micro,no_init_box_kenn_horizontal_adapter_bert_ms,CONTACT_INFO,10,0.2855168121556441,0.7111111134290695,0.11285409082969029,0.4455555208170408,0.5003702292828539,0.10021416815355765
test/micro,no_init_box_kenn_horizontal_adapter_bert_ms,CONTACT_INFO,10,0.582488218943278,0.8572803934415182,0.6819449861844381,0.18718845363759923,0.010838332452269893,0.12047073684142447
test_pretraining/micro,no_init_box_kenn_horizontal_adapter_bert_ms,CONTACT_INFO,10,0.582488218943278,0.8572803934415182,0.6819449861844381,0.18718845363759923,0.010838332452269893,0.12047073684142447
test_incremental/macro_types,no_init_box_kenn_horizontal_adapter_bert_ms,CONTACT_INFO,10,0.5017327666282654,0.8222222526868185,0.5677581628163656,0.22277776632321314,0.25018511894302164,0.050833011521999295
test_incremental/macro_example,no_init_box_kenn_horizontal_adapter_bert_ms,CONTACT_INFO,10,0.02764687252541383,0.023248507330815,0.024928270528713863,0.0010883131410411077,0.007074037029865215,0.004967001947054007
test/macro_example,no_init_box_kenn_hybrid_adapter_bert_ms,CONTACT_INFO,10,0.8279662529627482,0.8475756645202637,0.8376560807228088,9.071202931307072e-05,0.0009598237867399944,0.0005048572277876623
test_incremental/macro_example_exclusive,no_init_box_kenn_hybrid_adapter_bert_ms,CONTACT_INFO,10,0.9333333969116212,0.6444445053736368,0.7615767121315002,0.0,0.05357585445502392,0.038197561771318105
test_pretraining/macro_example,no_init_box_kenn_hybrid_adapter_bert_ms,CONTACT_INFO,10,0.8279662529627482,0.8475756645202637,0.8376560807228088,9.071202931307072e-05,0.0009598237867399944,0.0005048572277876623
test_incremental_only/macro_example_exclusive,no_init_box_kenn_hybrid_adapter_bert_ms,CONTACT_INFO,10,0.35555559396743774,0.35555559396743774,0.35555559396743774,0.10715169654861878,0.10715169654861878,0.10715169654861878
test_incremental_only/macro_types,no_init_box_kenn_hybrid_adapter_bert_ms,CONTACT_INFO,10,0.765386720498403,0.35555555919806164,0.47827666997909546,0.05437815464971922,0.10715167723388783,0.10686207866935454
test_incremental_only/macro_example,no_init_box_kenn_hybrid_adapter_bert_ms,CONTACT_INFO,10,0.010053408332169056,0.010053408332169056,0.010053408176948627,0.003029735899151952,0.003029735899151952,0.0030297361647294904
