name,epoch/mean,test_incremental_only/micro/f1/mean,test_incremental/macro_types/f1/mean,test_pretraining/macro_types/f1/mean,test_incremental_art/macro_types/f1/mean,test_incremental_only/macro_types/f1/mean,test_pretraining/macro_example/precision/mean,test_incremental/macro_example/precision/mean,test_pretraining/micro/precision/mean,test_incremental/macro_example/f1/mean,test_incremental/micro/precision/mean,test_incremental_only/macro_example/f1/mean,test_incremental_art/macro_types/recall/mean,test_incremental/macro_example_exclusive/recall/mean,test_incremental_only/macro_example_exclusive/f1/mean,test_pretraining/macro_example/recall/mean,test_pretraining/macro_types/precision/mean,test_incremental_only/macro_example/recall/mean,test/micro/precision/mean,test_pretraining/micro/f1/mean,test_incremental/macro_types/recall/mean,test_pretraining/macro_types/recall/mean,test_incremental/macro_example_exclusive/f1/mean,test_incremental_art-film/macro_types/precision/mean,test_incremental/macro_example_exclusive/precision/mean,test_incremental/macro_types/precision/mean,threshold_incremental/mean,test_incremental_only/micro/recall/mean,test_incremental_art-film/macro_types/recall/mean,test/micro/f1/mean,test/micro/recall/mean,test_incremental/macro_example/recall/mean,test_incremental_only/macro_types/precision/mean,test/macro_types/f1/mean,test/macro_example/precision/mean,test_incremental_art/macro_types/precision/mean,test_incremental_only/micro/precision/mean,test/macro_example/recall/mean,test_pretraining/macro_example/f1/mean,test_incremental_only/macro_example/precision/mean,test/macro_types/recall/mean,test_incremental/micro/f1/mean,test_incremental/micro/recall/mean,test_incremental_only/macro_types/recall/mean,threshold_pretraining/mean,test_incremental_only/macro_example_exclusive/recall/mean,test_incremental_art-film/macro_types/f1/mean,test_incremental_only/macro_example_exclusive/precision/mean,test/macro_example/f1/mean,test/macro_types/precision/mean,test_pretraining/micro/recall/mean,epoch/std,test_incremental_only/micro/f1/std,test_incremental/macro_types/f1/std,test_pretraining/macro_types/f1/std,test_incremental_art/macro_types/f1/std,test_incremental_only/macro_types/f1/std,test_pretraining/macro_example/precision/std,test_incremental/macro_example/precision/std,test_pretraining/micro/precision/std,test_incremental/macro_example/f1/std,test_incremental/micro/precision/std,test_incremental_only/macro_example/f1/std,test_incremental_art/macro_types/recall/std,test_incremental/macro_example_exclusive/recall/std,test_incremental_only/macro_example_exclusive/f1/std,test_pretraining/macro_example/recall/std,test_pretraining/macro_types/precision/std,test_incremental_only/macro_example/recall/std,test/micro/precision/std,test_pretraining/micro/f1/std,test_incremental/macro_types/recall/std,test_pretraining/macro_types/recall/std,test_incremental/macro_example_exclusive/f1/std,test_incremental_art-film/macro_types/precision/std,test_incremental/macro_example_exclusive/precision/std,test_incremental/macro_types/precision/std,threshold_incremental/std,test_incremental_only/micro/recall/std,test_incremental_art-film/macro_types/recall/std,test/micro/f1/std,test/micro/recall/std,test_incremental/macro_example/recall/std,test_incremental_only/macro_types/precision/std,test/macro_types/f1/std,test/macro_example/precision/std,test_incremental_art/macro_types/precision/std,test_incremental_only/micro/precision/std,test/macro_example/recall/std,test_pretraining/macro_example/f1/std,test_incremental_only/macro_example/precision/std,test/macro_types/recall/std,test_incremental/micro/f1/std,test_incremental/micro/recall/std,test_incremental_only/macro_types/recall/std,threshold_pretraining/std,test_incremental_only/macro_example_exclusive/recall/std,test_incremental_art-film/macro_types/f1/std,test_incremental_only/macro_example_exclusive/precision/std,test/macro_example/f1/std,test/macro_types/precision/std,test_pretraining/micro/recall/std
no_init_box_adapter_bert_ms,50.333333333333336,0.5431830684343973,0.6789943973223368,0.846574624379476,0.7619048357009888,0.5431830684343973,0.9241707523663839,0.011366272966066996,0.9038971066474915,0.009897798299789429,0.7160524129867554,0.006147065820793311,0.8205128312110901,0.6495726903279623,0.4649122804403305,0.9045929312705994,0.8875967264175415,0.006147065820793311,0.9038971066474915,0.8903040091196696,0.6427125533421835,0.8091922998428345,0.7293916344642639,0.7584564884503683,0.8376068671544393,0.7347838282585144,0.18666666666666668,0.4649122804403305,0.4649122804403305,0.8903040091196696,0.8771161635716757,0.008814660211404165,0.7584564884503683,0.846574624379476,0.9241707523663839,0.7111111283302307,0.7584564884503683,0.9045929312705994,0.9142766793568929,0.006147065820793311,0.8091922998428345,0.6744431853294373,0.645021657148997,0.4649122804403305,0.25,0.4649122804403305,0.5431830684343973,0.4649122804403305,0.9142766793568929,0.8875967264175415,0.8771161635716757,8.386497083606082,0.1487608958527547,0.037376932198408104,0.0011912399717662096,0.0,0.1487608958527547,0.0003802689279882297,0.00020088769930494687,0.0009124003110994642,0.0009532134725527268,0.025498831362036706,0.0027026629959312227,0.0,0.0995827474233713,0.20440665966851854,0.001216754077766524,0.002451915831423269,0.0027026629959312227,0.0009124003110994642,0.0004373193816190581,0.10220332631718138,0.00408814727453891,0.07024451923530105,0.12259609218381534,0.014803817761008134,0.06129805493348824,0.26312227829154516,0.20440665966851854,0.20440665966851854,0.0004373193816190581,0.001700387909610217,0.0013513313331022542,0.12259609218381534,0.0011912399717662096,0.0003802689279882297,0.0,0.12259609218381534,0.001216754077766524,0.0005421283913850938,0.0027026629959312227,0.00408814727453891,0.047716544508524555,0.10087602185160871,0.20440665966851854,0.0,0.20440665966851854,0.1487608958527547,0.20440665966851854,0.0005421283913850938,0.002451915831423269,0.001700387909610217
no_init_box_kenn_bottom_up_adapter_bert_ms,55.666666666666664,0.48207863171895343,0.6633575161298116,0.8459767897923788,0.7619048357009888,0.48207863171895343,0.9244413574536642,0.0112502903987964,0.9045577843983968,0.009408459067344666,0.7365349133809408,0.004755277341852586,0.8205128312110901,0.5982906421025594,0.3596491366624832,0.9039994875590006,0.8888116677602133,0.004755277341852586,0.9045577843983968,0.8901735544204712,0.590080976486206,0.8070870240529379,0.6933310826619467,0.8192028999328613,0.829059878985087,0.7651570041974386,0.2633333333333333,0.35964912672837573,0.35964912672837573,0.8901735544204712,0.8762405117352804,0.008118766204764446,0.8192028999328613,0.8459767897923788,0.9244413574536642,0.7111111283302307,0.8192028999328613,0.9039994875590006,0.9141059716542562,0.004755277341852586,0.8070870240529379,0.6552371780077616,0.5930735866228739,0.35964912672837573,0.25,0.35964912672837573,0.48207863171895343,0.35964912672837573,0.9141059716542562,0.8888116677602133,0.8762405117352804,15.88500340992514,0.1551147564253389,0.042215774168746834,0.0012519076153088352,0.0,0.1551147564253389,0.00018640723800397366,0.00020088769930494687,0.00029985025381476597,0.000731994119764155,0.0016914368395942255,0.002038784218669734,0.0,0.07512136218255107,0.154196466617057,0.0009657578094778854,0.0009819734698640374,0.002038784218669734,0.00029985025381476597,0.000518028240385948,0.07709824856708242,0.0030839232967409228,0.05394230249697252,0.049097879994163235,0.014803817761008158,0.02454892306271352,0.29194748386196673,0.15419646068317439,0.15419646068317439,0.000518028240385948,0.0012827323796378103,0.0010193920695990648,0.049097879994163235,0.0012519076153088352,0.00018640723800397366,0.0,0.049097879994163235,0.0009657578094778854,0.0004909293945903481,0.002038784218669734,0.0030839232967409228,0.048317583066038707,0.07609694495691283,0.15419646068317439,0.0,0.15419646068317439,0.1551147564253389,0.15419646068317439,0.0004909293945903481,0.0009819734698640374,0.0012827323796378103
no_init_box_kenn_horizontal_adapter_bert_ms,49.333333333333336,0.4711291193962097,0.6574990550676981,0.8457354505856832,0.7619048357009888,0.4711291193962097,0.9244026939074198,0.0112502903987964,0.9044825236002604,0.009372221926848093,0.7314883669217428,0.004639294929802418,0.8205128312110901,0.5940171281496683,0.35087720056374866,0.9039414922396342,0.8884918093681335,0.004639294929802418,0.9044825236002604,0.8900994459788004,0.5856950084368387,0.8069115877151489,0.6906606753667196,0.8032106757164001,0.829059878985087,0.7571608821551005,0.25999999999999995,0.35087719062964123,0.35087719062964123,0.8900994459788004,0.8761675357818604,0.008060774921129147,0.8032106757164001,0.8457354505856832,0.9244026939074198,0.7111111283302307,0.8032106757164001,0.9039414922396342,0.9140573938687643,0.004639294929802418,0.8069115877151489,0.6506280700365702,0.588744580745697,0.35087719062964123,0.25,0.35087719062964123,0.4711291193962097,0.35087719062964123,0.9140573938687643,0.8884918093681335,0.8761675357818604,19.731531449264992,0.14494671445287574,0.03706266171804899,0.0010433443731081972,0.0,0.14494671445287574,0.0002527752264621115,0.00020088769930494687,0.00035418649921087006,0.0006992610667625427,0.004290007477028392,0.0019163434143531532,0.0,0.07060988181755969,0.14493607375032483,0.0008990275887909432,0.0012481531143792145,0.0019163434143531532,0.00035418649921087006,0.0004527714151478364,0.07246805107944572,0.002898718291444812,0.05153011859582973,0.062406424363746237,0.014803817761008158,0.031203202319015622,0.28583211855912904,0.14493606653544897,0.14493606653544897,0.0004527714151478364,0.0012056920938576107,0.0009581716085357676,0.062406424363746237,0.0010433443731081972,0.0002527752264621115,0.0,0.062406424363746237,0.0008990275887909432,0.0004459952200050717,0.0019163434143531532,0.002898718291444812,0.04408722066653535,0.07152688153385071,0.14493606653544897,0.0,0.14493606653544897,0.14494671445287574,0.14493606653544897,0.0004459952200050717,0.0012481531143792145,0.0012056920938576107
no_init_box_kenn_hybrid_adapter_bert_ms,52.0,0.5124801596005758,0.671537717183431,0.8462722301483154,0.7619048357009888,0.5124801596005758,0.9242867231369019,0.0112502903987964,0.9043219685554504,0.00959963413576285,0.7299040158589681,0.005335189246882995,0.8205128312110901,0.6196581721305847,0.4035087873538335,0.9042411049207052,0.8884057601292928,0.005335189246882995,0.9043219685554504,0.8902472058931986,0.6120108167330424,0.8079642256100973,0.707419236501058,0.7989086310068766,0.829059878985087,0.7550098896026611,0.3633333333333333,0.4035087823867798,0.4035087823867798,0.8902472058931986,0.8766053716341654,0.008408721846838793,0.7989086310068766,0.8462722301483154,0.9242867231369019,0.7111111283302307,0.7989086310068766,0.9042411049207052,0.9141537348429362,0.005335189246882995,0.8079642256100973,0.6646243731180826,0.6147186160087585,0.4035087823867798,0.25,0.4035087823867798,0.5124801596005758,0.4035087823867798,0.9141537348429362,0.8884057601292928,0.8766053716341654,9.539392014169456,0.14901113659312407,0.039231647386770714,0.0011686167400041848,0.0,0.14901113659312407,0.00045290450390838747,0.00020088769930494687,0.0007071849012671366,0.0008026812175222856,0.023718623503668077,0.0022369870522998218,0.0,0.08242436056569724,0.1691868551713787,0.0009970086772215499,0.0020201145931903587,0.0022369870522998218,0.0007071849012671366,0.0004856261002180382,0.0845934542400175,0.00338374917133888,0.05915145428404869,0.10100549256174672,0.014803817761008158,0.05050273016290655,0.45742030271221384,0.16918686366986005,0.16918686366986005,0.0004856261002180382,0.0014074195972083687,0.0011184934416479766,0.10100549256174672,0.0011686167400041848,0.00045290450390838747,0.0,0.10100549256174672,0.0009970086772215499,0.00044725596336499387,0.0022369870522998218,0.00338374917133888,0.04679806669985254,0.08349480764963496,0.16918686366986005,0.0,0.16918686366986005,0.14901113659312407,0.16918686366986005,0.00044725596336499387,0.0020201145931903587,0.0014074195972083687
no_init_box_kenn_top_down_adapter_bert_ms,47.0,0.5817050834496816,0.6893235246340433,0.8468609849611918,0.7619048357009888,0.5817050834496816,0.9241707523663839,0.011366272966066996,0.9038575688997904,0.010060770126680533,0.7175675630569458,0.006610995313773553,0.8205128312110901,0.6666667064030966,0.5,0.9048248926798502,0.8873745203018188,0.006610995313773553,0.9038575688997904,0.8904356757799784,0.6602564255396525,0.809894065062205,0.7414014140764872,0.7473453879356384,0.8376068671544393,0.7292282780011495,0.29000000000000004,0.5,0.5,0.8904356757799784,0.8774080475171407,0.0090466250355045,0.7473453879356384,0.8468609849611918,0.9241707523663839,0.7111111283302307,0.7473453879356384,0.9048248926798502,0.9143953124682108,0.006610995313773553,0.809894065062205,0.6863505641619364,0.6623376607894897,0.5,0.25,0.5,0.5817050834496816,0.5,0.9143953124682108,0.8873745203018188,0.8774080475171407,1.0,0.08453040278378064,0.021420022349896657,0.0007872672556593958,0.0,0.08453040278378064,0.0003802689279882297,0.00020088769930494687,0.0008450642724264282,0.0006804501597227147,0.02811980421262101,0.0019372875106844663,0.0,0.07138160619854772,0.14652010185225778,0.0008472192411001669,0.0020671024900934245,0.0019372875106844663,0.0008450642724264282,0.00023553938397799935,0.07326002416285926,0.0029303966844160937,0.050143942475037805,0.1033540503575372,0.014803817761008134,0.05167703406448642,0.4419275958796871,0.14652010185225778,0.14652010185225778,0.00023553938397799935,0.0012188477432532984,0.0009686434835277453,0.1033540503575372,0.0007872672556593958,0.0003802689279882297,0.0,0.1033540503575372,0.0008472192411001669,0.00039394127597841094,0.0019372875106844663,0.0029303966844160937,0.02829661503701262,0.07230865394828213,0.14652010185225778,0.0,0.14652010185225778,0.08453040278378064,0.14652010185225778,0.00039394127597841094,0.0020671024900934245,0.0012188477432532984
no_init_kenn_bottom_up_adapter_bert_ms,50.333333333333336,0.5043131510416666,0.645645538965861,0.8775143623352051,0.7250000238418579,0.5043131510416666,0.9204940994580587,0.012178149074316025,0.900747815767924,0.011471070970098177,0.48100154598553974,0.0112502903987964,0.7435897588729858,0.7991453210512797,0.8508772055308024,0.9146157105763754,0.8943467736244202,0.0112502903987964,0.900747815767924,0.8995974858601888,0.797233502070109,0.8613270918528239,0.8453297217686971,0.40715740621089935,0.8974359432856241,0.5572372376918793,0.24666666666666667,0.8508772055308024,0.8508772055308024,0.8995974858601888,0.8984968066215515,0.010844351723790169,0.40715740621089935,0.8775143623352051,0.9204940994580587,0.707317054271698,0.40715740621089935,0.9146157105763754,0.9175364772478739,0.0112502903987964,0.8613270918528239,0.578334629535675,0.7965368032455444,0.8508772055308024,0.375,0.8508772055308024,0.5043131510416666,0.8508772055308024,0.9175364772478739,0.8943467736244202,0.8984968066215515,4.725815626252608,0.1437035457421307,0.04478565689459151,0.0005481561143229761,0.0,0.1437035457421307,0.006313065466902454,0.0009039930337742512,0.009906498861923279,0.001020917368171877,0.18481832098877993,0.002209761466158403,0.0,0.08142116974933329,0.16712772580304003,0.0007801372171954954,0.004676882979334844,0.002209761466158403,0.009906498861923279,0.004251460681487299,0.08356388010789886,0.0033425799815014873,0.07523372150103254,0.2338435681189442,0.06661731757556745,0.11692177803520028,0.3669241520169166,0.16712772580304003,0.16712772580304003,0.004251460681487299,0.0013903098240810674,0.0011048801953798622,0.2338435681189442,0.0005481561143229761,0.006313065466902454,0.0,0.2338435681189442,0.0007801372171954954,0.002755160063622629,0.002209761466158403,0.0033425799815014873,0.10553151376386678,0.08247860496812401,0.16712772580304003,0.0,0.16712772580304003,0.1437035457421307,0.16712772580304003,0.002755160063622629,0.004676882979334844,0.0013903098240810674
no_init_kenn_horizontal_adapter_bert_ms,48.333333333333336,0.5158144533634186,0.6529084841410319,0.8778977990150452,0.7250000238418579,0.5158144533634186,0.9186383883158366,0.012410113587975502,0.8996845285097758,0.011736969153086344,0.4729795455932617,0.011830201682945093,0.7435897588729858,0.820512851079305,0.8947368462880453,0.9147529999415079,0.8941900332768759,0.011830201682945093,0.8996845285097758,0.8992459575335184,0.8191632827123007,0.8622042934099833,0.8649243911107382,0.3993193656206131,0.9145299593607584,0.5533182124296824,0.27,0.8947368462880453,0.8947368462880453,0.8992459575335184,0.8988616466522217,0.011134307521084944,0.3993193656206131,0.8778977990150452,0.9186383883158366,0.707317054271698,0.3993193656206131,0.9147529999415079,0.9166766007741293,0.011830201682945093,0.8622042934099833,0.580398956934611,0.8181818127632141,0.8947368462880453,0.375,0.8947368462880453,0.5158144533634186,0.8947368462880453,0.9166766007741293,0.8941900332768759,0.8988616466522217,4.932882862316246,0.18652726317744883,0.06369042310833302,0.0012896175422251143,0.0,0.18652726317744883,0.008583298628212643,0.0006109751126956569,0.011289458650753315,0.000614069862006117,0.19095218627568486,0.0012545409553406336,0.0,0.046224972268495514,0.09488296310453509,0.0005130745710519444,0.004713791783229428,0.0012545409553406336,0.011289458650753315,0.005247233669253491,0.04744146502091421,0.0018976671971646355,0.04525214923274882,0.23568997938898797,0.04502414450977315,0.11784498688479957,0.3439476704383968,0.09488290524479547,0.09488290524479547,0.005247233669253491,0.0007892977661856524,0.0006272706068215733,0.23568997938898797,0.0012896175422251143,0.008583298628212643,0.0,0.23568997938898797,0.0005130745710519444,0.004024700801735582,0.0012545409553406336,0.0018976671971646355,0.1323566702847931,0.046825357985839054,0.09488290524479547,0.0,0.09488296310453509,0.18652726317744883,0.09488296310453509,0.004024700801735582,0.004713791783229428,0.0007892977661856524
no_init_kenn_hybrid_adapter_bert_ms,47.0,0.4911360840002696,0.6432753006617228,0.8775301178296407,0.7250000238418579,0.4911360840002696,0.9190153280893961,0.012178149074316025,0.8988844950993856,0.011471070970098177,0.4706255992253621,0.0112502903987964,0.7435897588729858,0.7991453210512797,0.8508772055308024,0.9146157105763754,0.8943861722946167,0.0112502903987964,0.8988844950993856,0.8986558119455973,0.797233502070109,0.8613270918528239,0.8453297217686971,0.409127210577329,0.8974359432856241,0.5582221448421478,0.3133333333333333,0.8508772055308024,0.8508772055308024,0.8986558119455973,0.8984968066215515,0.010844351723790169,0.409127210577329,0.8775301178296407,0.9190153280893961,0.707317054271698,0.409127210577329,0.9146157105763754,0.9167961279551188,0.0112502903987964,0.8613270918528239,0.5632679363091787,0.7965368032455444,0.8508772055308024,0.375,0.8508772055308024,0.4911360840002696,0.8508772055308024,0.9167961279551188,0.8943861722946167,0.8984968066215515,5.196152422706632,0.18093069565430717,0.06008121853974622,0.001022761190925552,0.0,0.18093069565430717,0.0081006452873115,0.0009039930337742512,0.012388721820812089,0.001020917368171877,0.2190130703166305,0.002209761466158403,0.0,0.08142116974933329,0.16712772580304003,0.0007801372171954954,0.005687889391070421,0.002209761466158403,0.012388721820812089,0.005517669510970544,0.08356388010789886,0.0033425799815014873,0.07523372150103254,0.28439294893567735,0.06661731757556745,0.14219648898894693,0.49084960357866575,0.16712772580304003,0.16712772580304003,0.005517669510970544,0.0013903098240810674,0.0011048801953798622,0.28439294893567735,0.001022761190925552,0.0081006452873115,0.0,0.28439294893567735,0.0007801372171954954,0.003662253822869551,0.002209761466158403,0.0033425799815014873,0.13269884441882823,0.08247860496812401,0.16712772580304003,0.0,0.16712772580304003,0.18093069565430717,0.16712772580304003,0.003662253822869551,0.005687889391070421,0.0013903098240810674
no_init_kenn_top_down_adapter_bert_ms,50.333333333333336,0.4846774935722351,0.6394527753194174,0.8773709535598755,0.7250000238418579,0.4846774935722351,0.9191429018974304,0.012178149074316025,0.8985679944356283,0.011471070970098177,0.46378350257873535,0.0112502903987964,0.7435897588729858,0.7991453210512797,0.8508772055308024,0.9146157105763754,0.8940509160359701,0.0112502903987964,0.8985679944356283,0.8984948595364889,0.797233502070109,0.8613270918528239,0.8453297217686971,0.39236391087373096,0.8974359432856241,0.549840490023295,0.3833333333333333,0.8508772055308024,0.8508772055308024,0.8984948595364889,0.8984968066215515,0.010844351723790169,0.39236391087373096,0.8773709535598755,0.9191429018974304,0.707317054271698,0.39236391087373096,0.9146157105763754,0.9168591499328613,0.0112502903987964,0.8613270918528239,0.5600267151991526,0.7965368032455444,0.8508772055308024,0.375,0.8508772055308024,0.4846774935722351,0.8508772055308024,0.9168591499328613,0.8940509160359701,0.8984968066215515,4.725815626252608,0.17045261913821308,0.053402293118111184,0.0007958883632221055,0.0,0.17045261913821308,0.00829095280963195,0.0009039930337742512,0.012984655668569826,0.001020917368171877,0.20587768086472807,0.002209761466158403,0.0,0.08142116974933329,0.16712772580304003,0.0007801372171954954,0.005015326624438997,0.002209761466158403,0.012984655668569826,0.0058792494324339225,0.08356388010789886,0.0033425799815014873,0.07523372150103254,0.2507663455848881,0.06661731757556745,0.12538316724899903,0.4336281048702141,0.16712772580304003,0.16712772580304003,0.0058792494324339225,0.0013903098240810674,0.0011048801953798622,0.2507663455848881,0.0007958883632221055,0.00829095280963195,0.0,0.2507663455848881,0.0007801372171954954,0.0037862425797597432,0.002209761466158403,0.0033425799815014873,0.13137406773489768,0.08247860496812401,0.16712772580304003,0.0,0.16712772580304003,0.17045261913821308,0.16712772580304003,0.0037862425797597432,0.005015326624438997,0.0013903098240810674
smart_init_box_adapter_bert_ms,8.666666666666666,0.6258997917175293,0.7062005003293356,0.8483085632324219,0.7619048357009888,0.6258997917175293,0.922844668229421,0.01165622907380263,0.9006338715553284,0.01115396743019422,0.6366095741589864,0.00997448433190584,0.8205128312110901,0.7905983130137125,0.7543859581152598,0.9060407479604086,0.8845089673995972,0.00997448433190584,0.9006338715553284,0.8899484475453695,0.7874493996302286,0.8149817585945129,0.8219615817070007,0.6040688554445902,0.8589743971824646,0.6575899720191956,0.3566666666666667,0.7543859581152598,0.7543859581152598,0.8899484475453695,0.8795242309570312,0.01072836946696043,0.6040688554445902,0.8483085632324219,0.922844668229421,0.7111111283302307,0.6040688554445902,0.9060407479604086,0.9143644769986471,0.00997448433190584,0.8149817585945129,0.6935033003489176,0.7878787914911906,0.7543859581152598,0.25,0.7543859581152598,0.6258997917175293,0.7543859581152598,0.9143644769986471,0.8845089673995972,0.8795242309570312,6.350852961085883,0.026981363695473277,0.0077102326686495646,0.0009557672051489552,0.0,0.026981363695473277,0.0013448628141299287,0.0006026620225161681,0.0033981398023710677,0.0011668419787275756,0.09582820113633403,0.003214197811885789,0.0,0.11843085180288447,0.2430948347899245,0.0010982143366723535,0.003726224614280477,0.003214197811885789,0.0033981398023710677,0.0006492969331006194,0.12154740879177281,0.004861903234222455,0.08598726091831478,0.18631236321097389,0.044411556521297545,0.0931561987301245,0.3774034092762456,0.2430948347899245,0.2430948347899245,0.0006492969331006194,0.0020222312938367824,0.001607098905942895,0.18631236321097389,0.0009557672051489552,0.0013448628141299287,0.0,0.18631236321097389,0.0010982143366723535,0.0001878294089427338,0.003214197811885789,0.004861903234222455,0.00913134012069366,0.1199688955957975,0.2430948347899245,0.0,0.2430948347899245,0.026981363695473277,0.2430948347899245,0.0001878294089427338,0.003726224614280477,0.0020222312938367824
