name,instance,run_id,threshold_pretraining,test_incremental/macro_types/f1,test_incremental/macro_example/precision,test/micro/precision,test_pretraining/macro_example/f1,test_pretraining/macro_types/precision,test_incremental_only/macro_types/recall,test_incremental_art/macro_types/precision,test_incremental_only/macro_types/precision,test_incremental/macro_example_exclusive/recall,test/macro_types/f1,test/macro_types/recall,test/macro_example/recall,test_incremental_only/macro_types/f1,test_incremental/macro_types/precision,test_incremental_only/macro_example_exclusive/precision,epoch,test_incremental/micro/f1,test_incremental/macro_example/recall,test_incremental_art/macro_types/f1,test_pretraining/macro_types/recall,test/macro_example/f1,test_incremental/macro_example_exclusive/f1,test_pretraining/micro/f1,test_incremental/micro/recall,test_incremental_art/macro_types/recall,test_pretraining/macro_example/precision,test_pretraining/micro/precision,test/macro_types/precision,test_incremental_art-film/macro_types/f1,test_incremental_only/macro_example_exclusive/recall,threshold_incremental,test_incremental/micro/precision,test_incremental_only/macro_example/precision,test_pretraining/macro_types/f1,test_incremental/macro_types/recall,test/micro/f1,test/micro/recall,test_incremental_art-film/macro_types/recall,test_incremental_only/macro_example_exclusive/f1,test_incremental/macro_example_exclusive/precision,test_pretraining/micro/recall,test_incremental_only/micro/f1,test_incremental/macro_example/f1,test_incremental_only/micro/recall,test_incremental_only/micro/precision,test_incremental_only/macro_example/recall,test_incremental_art-film/macro_types/precision,test_incremental_only/macro_example/f1,test/macro_example/precision,test_pretraining/macro_example/recall
no_init_box_kenn_horizontal_adapter_bert_ms,2,084kergk,0.25,0.6685279011726379,0.011134307831525804,0.9015730619430542,0.91399085521698,0.8833799958229065,0.6052631735801697,0.7111111283302307,0.5476190447807312,0.7179487943649292,0.8461869955062866,0.8119993209838867,0.9054802060127258,0.5750000476837158,0.629365086555481,0.6052631139755249,32,0.6707317233085632,0.00974251888692379,0.7619048357009888,0.8119993209838867,0.91399085521698,0.7658120393753052,0.8897760510444641,0.7142857313156128,0.8205128312110901,0.9226629734039308,0.9015730619430542,0.8833799958229065,0.5750000476837158,0.6052631139755249,0.02,0.6321839094161987,0.008002784103155136,0.8461869955062866,0.7128880023956299,0.8897760510444641,0.8782837390899658,0.6052631735801697,0.6052631139755249,0.8205128908157349,0.8782837390899658,0.5750000476837158,0.0103920204564929,0.6052631735801697,0.5476190447807312,0.008002784103155136,0.5476190447807312,0.008002784103155136,0.9226629734039308,0.9054802060127258
no_init_box_kenn_horizontal_adapter_bert_ms,1,18hq32pb,0.25,0.641930103302002,0.011134307831525804,0.9042024612426758,0.9138689637184144,0.8868720531463623,0.34210526943206787,0.7111111283302307,0.7222222089767456,0.5897436141967773,0.8449081778526306,0.806736171245575,0.9039608240127563,0.4642857015132904,0.7166666984558105,0.34210526943206787,40,0.6428571343421936,0.008002784103155136,0.7619048357009888,0.806736171245575,0.9138689637184144,0.6862471103668213,0.8899266719818115,0.5844155550003052,0.8205128312110901,0.9239967465400696,0.9042024612426758,0.8868720531463623,0.4642857015132904,0.34210526943206787,0.54,0.7142857313156128,0.004523312672972679,0.8449081778526306,0.5813090801239014,0.8899266719818115,0.8760945796966553,0.34210526943206787,0.34210526943206787,0.8205128908157349,0.8760945796966553,0.4642857015132904,0.009312329813838003,0.34210526943206787,0.7222222089767456,0.004523312672972679,0.7222222089767456,0.004523312672972679,0.9239967465400696,0.9039608240127563
no_init_box_kenn_horizontal_adapter_bert_ms,0,mk6g2xye,0.25,0.7119612693786621,0.011482255533337591,0.9032185673713684,0.9145435690879822,0.8861418962478638,0.6315789222717285,0.7111111283302307,0.6857143044471741,0.7307692766189575,0.8477386236190796,0.8125256299972534,0.9053931832313538,0.6575342416763306,0.6984127163887024,0.6315789222717285,33,0.7133757472038269,0.009916492737829683,0.7619048357009888,0.8125256299972534,0.9145435690879822,0.784240186214447,0.8906891942024231,0.7272727489471436,0.8205128312110901,0.9238808155059814,0.9032185673713684,0.8861418962478638,0.6575342416763306,0.6315789222717285,0.15000000000000002,0.699999988079071,0.008350730873644352,0.8477386236190796,0.7260458469390869,0.8906891942024231,0.878502607345581,0.6315789222717285,0.6315789222717285,0.8461538553237915,0.878502607345581,0.6575342416763306,0.010642089881002905,0.6315789222717285,0.6857143044471741,0.008350730873644352,0.6857143044471741,0.008350730873644352,0.9238808155059814,0.9053931832313538
no_init_box_kenn_hybrid_adapter_bert_ms,2,hjttq5rm,0.25,0.6351824402809143,0.011656228452920914,0.897206723690033,0.9127300977706908,0.8801888227462769,0.6842105388641357,0.7111111283302307,0.3880597054958343,0.7564103007316589,0.8455737233161926,0.8135782480239868,0.9059441089630128,0.49523812532424927,0.5495854020118713,0.6842105388641357,41,0.6137565970420837,0.0102644395083189,0.7619048357009888,0.8135782480239868,0.9127300977706908,0.8044363260269165,0.8879796862602234,0.7532467246055603,0.8205128312110901,0.9196184277534484,0.897206723690033,0.8801888227462769,0.49523812532424927,0.6842105388641357,0.01,0.5178571343421936,0.009046625345945358,0.8455737233161926,0.7523616552352905,0.8879796862602234,0.8789404630661011,0.6842105388641357,0.6842105388641357,0.8589743971824646,0.8789404630661011,0.49523812532424927,0.010916150175035,0.6842105388641357,0.3880597054958343,0.009046625345945358,0.3880597054958343,0.009046625345945358,0.9196184277534484,0.9059441089630128
no_init_box_kenn_top_down_adapter_bert_ms,2,0yqoa536,0.25,0.665299117565155,0.011830201372504234,0.8998206853866577,0.9137856364250184,0.882057249546051,0.6842105388641357,0.7111111283302307,0.48148149251937866,0.7564103007316589,0.8464349508285522,0.8135782480239868,0.9059441089630128,0.5652173757553101,0.5962963104248047,0.6842105388641357,29,0.6590908765792847,0.0102644395083189,0.7619048357009888,0.8135782480239868,0.9137856364250184,0.8100141882896423,0.8892579674720764,0.7532467246055603,0.8205128312110901,0.9217641353607178,0.8998206853866577,0.882057249546051,0.5652173757553101,0.6842105388641357,0.05,0.5858585834503174,0.009046625345945358,0.8464349508285522,0.7523616552352905,0.8892579674720764,0.8789404630661011,0.6842105388641357,0.6842105388641357,0.8717949390411377,0.8789404630661011,0.5652173757553101,0.010991840623319147,0.6842105388641357,0.48148149251937866,0.009046625345945358,0.48148149251937866,0.009046625345945358,0.9217641353607178,0.9059441089630128
no_init_box_kenn_bottom_up_adapter_bert_ms,2,y21dbus5,0.25,0.6667599081993103,0.011134307831525804,0.9009878635406494,0.9137937426567078,0.882862389087677,0.6315789222717285,0.7111111283302307,0.52173912525177,0.7307692766189575,0.8462349772453308,0.8125256299972534,0.9055961966514589,0.5714285373687744,0.6164251565933228,0.6315789222717285,50,0.6666666865348816,0.009916492737829683,0.7619048357009888,0.8125256299972534,0.9137937426567078,0.7730451822280884,0.8896031379699707,0.7272727489471436,0.8205128312110901,0.9221410751342772,0.9009878635406494,0.882862389087677,0.5714285373687744,0.6315789222717285,0.02,0.6153846383094788,0.008350729942321777,0.8462349772453308,0.7260458469390869,0.8896031379699707,0.878502607345581,0.6315789222717285,0.6315789222717285,0.8205128908157349,0.878502607345581,0.5714285373687744,0.010490174405276775,0.6315789222717285,0.52173912525177,0.008350729942321777,0.52173912525177,0.008350729942321777,0.9221410751342772,0.9055961966514589
no_init_box_kenn_hybrid_adapter_bert_ms,1,xgmkwy3p,0.25,0.6431341171264648,0.010960334911942482,0.8956754207611084,0.9120827913284302,0.8798635005950928,0.7631579041481018,0.7111111283302307,0.3717948794364929,0.7948718070983887,0.846275269985199,0.8151571750640869,0.9060658812522888,0.5,0.5414530038833618,0.7631579041481018,38,0.6100000143051147,0.010786360129714012,0.7619048357009888,0.8151571750640869,0.9120827913284302,0.8012308478355408,0.8875634670257568,0.7922077775001526,0.8205128312110901,0.9181802272796632,0.8956754207611084,0.8798635005950928,0.5,0.7631579041481018,0.01,0.4959349632263184,0.01009046658873558,0.846275269985199,0.791835367679596,0.8875634670257568,0.8795971870422363,0.7631579041481018,0.7631579041481018,0.8076923489570618,0.8795971870422363,0.5,0.01087265182286501,0.7631579041481018,0.3717948794364929,0.01009046658873558,0.3717948794364929,0.01009046658873558,0.9181802272796632,0.9060658812522888
no_init_box_kenn_top_down_adapter_bert_ms,1,dy4o7tat,0.25,0.5642598867416382,0.012352121993899344,0.8614560961723328,0.897449791431427,0.8750230073928833,0.8947368264198303,0.7111111283302307,0.12977099418640137,0.8589743971824646,0.8454383611679077,0.8177887797355652,0.906744420528412,0.22666668891906736,0.420441061258316,0.8947368264198303,38,0.3437499701976776,0.011656228452920914,0.7619048357009888,0.8177887797355652,0.897449791431427,0.8838722109794617,0.8709677457809448,0.8571428656578064,0.8205128312110901,0.8883437514305115,0.8614560961723328,0.8750230073928833,0.22666668891906736,0.8947368264198303,0.01,0.2149837166070938,0.011830202303826807,0.8454383611679077,0.8576248288154602,0.8709677457809448,0.8806917667388916,0.8947368264198303,0.8947368264198303,0.9102564454078674,0.8806917667388916,0.22666668891906736,0.01199408993124962,0.8947368264198303,0.12977099418640137,0.011830202303826807,0.12977099418640137,0.011830202303826807,0.8883437514305115,0.906744420528412
no_init_box_kenn_bottom_up_adapter_bert_ms,1,p4on41to,0.25,0.6144694685935974,0.010960334911942482,0.8915020823478699,0.9102767109870912,0.8782861828804016,0.7631579041481018,0.7111111283302307,0.2929292917251587,0.7948718070983887,0.8455450534820557,0.8151571750640869,0.9060658812522888,0.42335763573646545,0.5020202398300171,0.7631579041481018,39,0.5520361661911011,0.010786360129714012,0.7619048357009888,0.8151571750640869,0.9102767109870912,0.8012308478355408,0.8855095505714417,0.7922077775001526,0.8205128312110901,0.9145268201828004,0.8915020823478699,0.8782861828804016,0.42335763573646545,0.7631579041481018,0.01,0.4236111044883728,0.01009046658873558,0.8455450534820557,0.791835367679596,0.8855095505714417,0.8795971870422363,0.7631579041481018,0.7631579041481018,0.8076923489570618,0.8795971870422363,0.42335763573646545,0.01087265182286501,0.7631579041481018,0.2929292917251587,0.01009046658873558,0.2929292917251587,0.01009046658873558,0.9145268201828004,0.9060658812522888
no_init_box_adapter_bert_ms,2,7not8daz,0.25,0.670136570930481,0.011134307831525804,0.901190221309662,0.9138791561126708,0.8830942511558533,0.6315789222717285,0.7111111283302307,0.5333333611488342,0.7307692766189575,0.8463414907455444,0.8125256299972534,0.9055961966514589,0.5783132910728455,0.6222222447395325,0.6315789222717285,50,0.6706587672233582,0.009916492737829683,0.7619048357009888,0.8125256299972534,0.9138791561126708,0.7730451822280884,0.889701783657074,0.7272727489471436,0.8205128312110901,0.922315001487732,0.901190221309662,0.8830942511558533,0.5783132910728455,0.6315789222717285,0.13,0.6222222447395325,0.008350729942321777,0.8463414907455444,0.7260458469390869,0.889701783657074,0.878502607345581,0.6315789222717285,0.6315789222717285,0.8205128908157349,0.878502607345581,0.5783132910728455,0.010490174405276775,0.6315789222717285,0.5333333611488342,0.008350729942321777,0.5333333611488342,0.008350729942321777,0.922315001487732,0.9055961966514589
