name,instance,run_id,test/micro/precision,test/macro_example/recall,test/macro_types/precision,test_incremental_art-film/macro_types/recall,test_incremental/micro/recall,test_incremental/macro_types/f1,test_incremental_art/macro_types/precision,test/micro/recall,test_incremental/macro_example/precision,test_incremental/macro_example_exclusive/f1,test_incremental_only/macro_example/precision,test/macro_example/precision,test_pretraining/macro_types/precision,test_incremental_only/macro_types/precision,test_incremental_only/macro_example_exclusive/f1,epoch,test/macro_types/f1,threshold_incremental,test_pretraining/micro/f1,test_incremental_art-film/macro_types/f1,test_incremental_art-film/macro_types/precision,test_pretraining/micro/recall,test_incremental/micro/precision,test_incremental_only/macro_example/recall,test_incremental_only/micro/precision,test_incremental/macro_example_exclusive/precision,test/macro_example/f1,test_incremental_only/macro_example/f1,test_pretraining/macro_example/precision,test_incremental_only/macro_example_exclusive/precision,test/micro/f1,test/macro_types/recall,test_pretraining/micro/precision,test_incremental_only/micro/recall,test_incremental/macro_types/precision,test_incremental_only/macro_example_exclusive/recall,test_incremental_only/macro_types/f1,test_pretraining/macro_example/recall,test_incremental_only/micro/f1,test_pretraining/macro_types/f1,test_pretraining/macro_example/f1,test_pretraining/macro_types/recall,test_incremental/micro/f1,test_incremental/macro_types/recall,test_incremental_art/macro_types/recall,test_incremental/macro_example_exclusive/recall,test_incremental_only/macro_types/recall,threshold_pretraining,test_incremental/macro_example/f1,test_incremental_art/macro_types/f1,test_incremental/macro_example/recall
no_init_box_kenn_horizontal_adapter_bert_ms,2,2925kgpc,0.8997313976287842,0.906152844429016,0.8827609419822693,0.8157894611358643,0.8181818127632141,0.7014522552490234,0.7111111283302307,0.8800350427627563,0.011482255533337591,0.8331360816955566,0.010786360129714012,0.9224135875701904,0.8827609419822693,0.5166666507720947,0.8157894611358643,64,0.848181962966919,0.09,0.8897742033004761,0.6326530575752258,0.5166666507720947,0.8800350427627563,0.6000000238418579,0.010786360129714012,0.5166666507720947,0.8461538553237915,0.9142109155654908,0.010786360129714012,0.9224135875701904,0.8157894611358643,0.8897742033004761,0.8162098526954651,0.8997313976287842,0.8157894611358643,0.6138888597488403,0.8157894611358643,0.6326530575752258,0.906152844429016,0.6326530575752258,0.848181962966919,0.9142109155654908,0.8162098526954651,0.6923076510429382,0.8181511163711548,0.8205128312110901,0.8205128312110901,0.8157894611358643,0.25,0.011305605061352251,0.7619048357009888,0.011134307831525804
no_init_box_kenn_horizontal_adapter_bert_ms,1,6l321ren,0.9012123942375184,0.9054570198059082,0.8832972049713135,0.6578947305679321,0.7402597665786743,0.6786668300628662,0.7111111283302307,0.8787215352058411,0.011134307831525804,0.7801597714424133,0.008698677644133568,0.9222570657730104,0.8832972049713135,0.54347825050354,0.6578947305679321,30,0.8467201590538025,0.35000000000000003,0.8898248672485352,0.5952380895614624,0.54347825050354,0.8787215352058411,0.6263736486434937,0.008698677644133568,0.54347825050354,0.8205128908157349,0.9137797951698304,0.008698677644133568,0.9222570657730104,0.6578947305679321,0.8898248672485352,0.8130519390106201,0.9012123942375184,0.6578947305679321,0.627294659614563,0.6578947305679321,0.5952380895614624,0.9054570198059082,0.5952380895614624,0.8467201590538025,0.9137797951698304,0.8130519390106201,0.6785714626312256,0.7392038106918335,0.8205128312110901,0.7435897588729858,0.6578947305679321,0.25,0.010586719028651714,0.7619048357009888,0.01009046658873558
no_init_box_kenn_horizontal_adapter_bert_ms,0,mjnxg0q4,0.9019519686698914,0.9062108397483826,0.8850806951522827,0.8157894611358643,0.8181818127632141,0.7378373742103577,0.7111111283302307,0.8800350427627563,0.011830202303826807,0.8453769087791443,0.010786360129714012,0.9236894249916076,0.8850806951522827,0.6326530575752258,0.8157894611358643,44,0.8492512106895447,0.16,0.8908587694168091,0.7126436829566956,0.6326530575752258,0.8800350427627563,0.6702127456665039,0.010786360129714012,0.6326530575752258,0.8717949390411377,0.9148666262626648,0.010786360129714012,0.9236894249916076,0.8157894611358643,0.8908587694168091,0.8162098526954651,0.9019519686698914,0.8157894611358643,0.6718820929527283,0.8157894611358643,0.7126436829566956,0.9062108397483826,0.7126436829566956,0.8492512106895447,0.9148666262626648,0.8162098526954651,0.7368420958518982,0.8181511163711548,0.8205128312110901,0.8205128312110901,0.8157894611358643,0.25,0.011471711099147797,0.7619048357009888,0.011134307831525804
no_init_box_kenn_hybrid_adapter_bert_ms,2,d5pdn9b4,0.8969899415969849,0.9066748023033142,0.8812587857246399,0.8947368264198303,0.8571428656578064,0.6893904209136963,0.7111111283302307,0.8806917667388916,0.01235212292522192,0.8838721513748169,0.011830202303826807,0.9208768606185912,0.8812587857246399,0.4415584504604339,0.8947368264198303,36,0.8483383059501648,0.03,0.8887661099433899,0.591304361820221,0.4415584504604339,0.8806917667388916,0.5409836173057556,0.011830202303826807,0.4415584504604339,0.9102564454078674,0.9137206673622132,0.011830202303826807,0.9208768606185912,0.8947368264198303,0.8887661099433899,0.8177887797355652,0.8969899415969849,0.8947368264198303,0.5763347744941711,0.8947368264198303,0.591304361820221,0.9066748023033142,0.591304361820221,0.8483383059501648,0.9137206673622132,0.8177887797355652,0.663316547870636,0.8576248288154602,0.8205128312110901,0.8589743375778198,0.8947368264198303,0.25,0.01199408993124962,0.7619048357009888,0.011656228452920914
no_init_box_kenn_top_down_adapter_bert_ms,2,76858e01,0.8706467747688293,0.9070227742195128,0.8757764101028442,0.9473684430122375,0.8831169009208679,0.5868943333625793,0.7111111283302307,0.8811296224594116,0.012700069695711136,0.9095341563224792,0.012526096776127815,0.8980282545089722,0.8757764101028442,0.16744185984134674,0.9473684430122375,29,0.8463524580001831,0.01,0.8758568167686462,0.28458496928215027,0.16744185984134674,0.8811296224594116,0.26153847575187683,0.012526096776127815,0.16744185984134674,0.9358974695205688,0.9025030732154846,0.012526096776127815,0.8980282545089722,0.9473684430122375,0.8758568167686462,0.8188413977622986,0.8706467747688293,0.9473684430122375,0.4392764866352082,0.9473684430122375,0.28458496928215027,0.9070227742195128,0.28458496928215027,0.8463524580001831,0.9025030732154846,0.8188413977622986,0.4035608470439911,0.8839406371116638,0.8205128312110901,0.884615421295166,0.9473684430122375,0.25,0.012342320755124092,0.7619048357009888,0.012004176154732704
no_init_box_kenn_bottom_up_adapter_bert_ms,2,aaczzblg,0.896943986415863,0.9063268303871156,0.8809609413146973,0.8421052694320679,0.8311688303947449,0.6755080223083496,0.7111111283302307,0.8802539110183716,0.011656228452920914,0.8459596633911133,0.011134307831525804,0.920586884021759,0.8809609413146973,0.4266666769981384,0.8421053290367126,46,0.8476336598396301,0.04,0.8885205984115601,0.566371738910675,0.4266666769981384,0.8802539110183716,0.5333333611488342,0.011134307831525804,0.4266666769981384,0.8589743971824646,0.9134012460708618,0.011134307831525804,0.920586884021759,0.8421052694320679,0.8885205984115601,0.8167361617088318,0.896943986415863,0.8421052694320679,0.5688889026641846,0.8421052694320679,0.566371738910675,0.9063268303871156,0.566371738910675,0.8476336598396301,0.9134012460708618,0.8167361617088318,0.6497461795806885,0.8313090801239014,0.8205128312110901,0.8333333730697632,0.8421052694320679,0.25,0.011479618959128857,0.7619048357009888,0.011308280751109123
no_init_box_kenn_hybrid_adapter_bert_ms,1,vzy48w1v,0.895921528339386,0.9064138531684875,0.8802757263183594,0.8157894611358643,0.8181818127632141,0.6590531468391418,0.7111111283302307,0.8800350427627563,0.011656228452920914,0.8393033146858215,0.010786360129714012,0.9188471436500548,0.8802757263183594,0.39240506291389465,0.8157894611358643,21,0.8470331430435181,0.02,0.8879071474075317,0.5299145579338074,0.39240506291389465,0.8800350427627563,0.5080645084381104,0.010786360129714012,0.39240506291389465,0.8589743971824646,0.912588119506836,0.010786360129714012,0.9188471436500548,0.8157894611358643,0.8879071474075317,0.8162098526954651,0.895921528339386,0.8157894611358643,0.5517581105232239,0.8157894611358643,0.5299145579338074,0.9064138531684875,0.5299145579338074,0.8470331430435181,0.912588119506836,0.8162098526954651,0.6268656849861145,0.8181511163711548,0.8205128312110901,0.8205128908157349,0.8157894611358643,0.25,0.01138929184526205,0.7619048357009888,0.011134307831525804
no_init_box_kenn_top_down_adapter_bert_ms,1,ctbhqru1,0.8754897713661194,0.9067618250846864,0.8759759664535522,0.8684210777282715,0.8441558480262756,0.5822269916534424,0.7111111283302307,0.8804728388786316,0.01235212292522192,0.87703537940979,0.011482255533337591,0.9017397165298462,0.8759759664535522,0.17741934955120087,0.8684210777282715,21,0.8456012010574341,0.03,0.8779742121696472,0.2946428656578064,0.17741934955120087,0.8804728388786316,0.28138527274131775,0.011482255533337591,0.17741934955120087,0.9102564454078674,0.90424382686615,0.011482254602015018,0.9017397165298462,0.8684210777282715,0.8779742121696472,0.8172624707221985,0.8754897713661194,0.8684210777282715,0.4442652463912964,0.8684210777282715,0.2946428656578064,0.9067618250846864,0.2946428656578064,0.8456012010574341,0.90424382686615,0.8172624707221985,0.4220779240131378,0.8444669246673584,0.8205128312110901,0.8461538553237915,0.8684210777282715,0.25,0.011901316232979298,0.7619048357009888,0.011482255533337591
no_init_box_kenn_bottom_up_adapter_bert_ms,1,y3wsgjxf,0.8941280841827393,0.9064138531684875,0.879473090171814,0.8157894611358643,0.8181818127632141,0.6445257663726807,0.7111111283302307,0.8800350427627563,0.011656228452920914,0.8393033146858215,0.010786360129714012,0.9173393845558168,0.879473090171814,0.35227271914482117,0.8157894611358643,34,0.8466613292694092,0.02,0.8870255947113037,0.4920634627342224,0.35227271914482117,0.8800350427627563,0.4736842215061188,0.010786360129714012,0.35227271914482117,0.8589743971824646,0.9118438959121704,0.010786360129714012,0.9173393845558168,0.8157894611358643,0.8870255947113037,0.8162098526954651,0.8941280841827393,0.8157894611358643,0.5316919088363647,0.8157894611358643,0.4920634627342224,0.9064138531684875,0.4920634627342224,0.8466613292694092,0.9118438959121704,0.8162098526954651,0.5999999642372131,0.8181511163711548,0.8205128312110901,0.8205128908157349,0.8157894611358643,0.25,0.01138929184526205,0.7619048357009888,0.011134307831525804
no_init_box_kenn_hybrid_adapter_bert_ms,0,e9w6fvgc,0.8999999761581421,0.9066748023033142,0.8833953142166138,0.8947368264198303,0.8571428656578064,0.7262309193611145,0.7111111283302307,0.8806917667388916,0.012004176154732704,0.8716063499450684,0.011830202303826807,0.92279052734375,0.8833953142166138,0.5483871102333069,0.8947368264198303,23,0.849327027797699,0.01,0.8902412056922913,0.6800000071525574,0.5483871102333069,0.8806917667388916,0.6168224215507507,0.011830202303826807,0.5483871102333069,0.884615421295166,0.9146616458892822,0.011830202303826807,0.92279052734375,0.8947368264198303,0.8902412056922913,0.8177887797355652,0.8999999761581421,0.8947368264198303,0.6297491192817688,0.8947368264198303,0.6800000071525574,0.9066748023033142,0.6800000071525574,0.849327027797699,0.9146616458892822,0.8177887797355652,0.717391312122345,0.8576248288154602,0.8205128312110901,0.8589743971824646,0.8947368264198303,0.25,0.01182764396071434,0.7619048357009888,0.011656228452920914
