name,instance,run_id,test_incremental_only/macro_example/f1,test_incremental/macro_example/precision,test/macro_types/f1,test/macro_types/recall,test_incremental/micro/recall,test_incremental/macro_example_exclusive/f1,test_incremental_only/macro_example/precision,test_incremental_only/macro_example_exclusive/recall,test_incremental/macro_types/f1,test_pretraining/macro_types/f1,test_pretraining/macro_example/recall,test_incremental_broadcast/macro_types/recall,test_incremental/macro_types/recall,test/micro/f1,test_incremental_broadcast-tv_channel/macro_types/f1,test_incremental_only/micro/recall,test_incremental_only/macro_types/f1,test_incremental/macro_types/precision,test_incremental/micro/precision,test_pretraining/micro/recall,test_incremental/macro_example/f1,test_incremental/macro_example_exclusive/precision,test/micro/precision,test_pretraining/micro/precision,test_pretraining/macro_types/recall,test_incremental_only/macro_types/precision,test_incremental_only/macro_types/recall,test_pretraining/macro_example/precision,test/macro_example/recall,test_pretraining/micro/f1,test_incremental_broadcast/macro_types/f1,test_incremental_only/micro/precision,test_incremental/macro_example/recall,epoch,test_incremental_only/macro_example/recall,test_incremental/macro_example_exclusive/recall,test_incremental_broadcast-tv_channel/macro_types/precision,test_incremental_broadcast-tv_channel/macro_types/recall,test_pretraining/macro_example/f1,test_incremental_broadcast/macro_types/precision,test_pretraining/macro_types/precision,test_incremental_only/macro_example_exclusive/f1,test/micro/recall,test_incremental_only/micro/f1,test/macro_example/precision,threshold_incremental,threshold_pretraining,test_incremental/micro/f1,test/macro_types/precision,test/macro_example/f1,test_incremental_only/macro_example_exclusive/precision
no_init_box_kenn_horizontal_adapter_bert_ms,2,ngd1iujd,0.006610995624214411,0.006610995624214411,0.8493826985359192,0.8125607371330261,0.3166666626930237,0.4222222864627838,0.006610995624214411,0.6333333849906921,0.3653846383094787,0.8493826985359192,0.9062978625297546,0.0,0.3166666626930237,0.8916573524475098,0.7307692766189575,0.6333333253860474,0.7307692766189575,0.4318181872367859,0.8636363744735718,0.878947377204895,0.0044073304161429405,0.6333333849906921,0.9047403931617736,0.9047403931617736,0.8125607371330261,0.8636363744735718,0.6333333253860474,0.9246288537979126,0.9062978625297546,0.8916573524475098,0.0,0.8636363744735718,0.0033054978121072054,57,0.006610995624214411,0.31666669249534607,0.8636363744735718,0.6333333253860474,0.915371596813202,0.0,0.8897002935409546,0.6333333849906921,0.878947377204895,0.7307692766189575,0.9246288537979126,0.02,0.25,0.46341460943222046,0.8897002935409546,0.915371596813202,0.6333333849906921
no_init_box_kenn_horizontal_adapter_bert_ms,1,21y8xxp9,0.005219206679612398,0.005219206679612398,0.8491600751876831,0.8098940253257751,0.25,0.3333333432674408,0.005219206679612398,0.5,0.3333333432674408,0.8491600751876831,0.9059208631515504,0.0,0.25,0.8914616107940674,0.6666666865348816,0.5,0.6666666865348816,0.5,1.0,0.8780701756477356,0.0034794709645211697,0.5,0.905267894268036,0.905267894268036,0.8098940253257751,1.0,0.5,0.9247448444366456,0.9059208631515504,0.8914616107940674,0.0,1.0,0.002609603339806199,92,0.005219206679612398,0.25,1.0,0.5,0.9152361154556274,0.0,0.8924275636672974,0.5,0.8780701756477356,0.6666666865348816,0.9247448444366456,0.11,0.25,0.4000000059604645,0.8924275636672974,0.9152361154556274,0.5
no_init_box_kenn_horizontal_adapter_bert_ms,0,q0xw6tzz,0.010438414290547373,0.010438414290547373,0.8454434871673584,0.8198940753936768,0.5,0.6666666865348816,0.010438414290547373,1.0,0.010330578312277794,0.8454434871673584,0.9072257280349731,0.0,0.5,0.6787704825401306,0.020661156624555588,1.0,0.020661156624555588,0.005219206679612398,0.010438413359224796,0.8813596367835999,0.006958942394703627,1.0,0.5519087910652161,0.5519087910652161,0.8198940753936768,0.010438413359224796,1.0,0.5307643413543701,0.9072257280349731,0.6787704825401306,0.0,0.010438413359224796,0.0052192071452736855,34,0.010438414290547373,0.5,0.010438413359224796,1.0,0.6697168350219727,0.0,0.8726363778114319,1.0,0.8813596367835999,0.020661156624555588,0.5307643413543701,0.0,0.25,0.02044989727437496,0.8726363778114319,0.6697168350219727,1.0
no_init_box_kenn_hybrid_adapter_bert_ms,2,5lwjkin1,0.0059151011519134045,0.0059151011519134045,0.8485296368598938,0.8112273812294006,0.28333333134651184,0.3777778148651123,0.0059151011519134045,0.5666667222976685,0.3400000035762787,0.8485296368598938,0.9060658812522888,0.0,0.28333333134651184,0.891410768032074,0.6800000071525574,0.5666666626930237,0.6800000071525574,0.42500001192092896,0.8500000238418579,0.8785087466239929,0.003943400923162699,0.5666667222976685,0.9046973586082458,0.9046973586082458,0.8112273812294006,0.8500000238418579,0.5666666626930237,0.9245766401290894,0.9060658812522888,0.891410768032074,0.0,0.8500000238418579,0.0029575505759567022,49,0.0059151011519134045,0.28333336114883423,0.8500000238418579,0.5666666626930237,0.915227711200714,0.0,0.8894276022911072,0.5666667222976685,0.8785087466239929,0.6800000071525574,0.9245766401290894,0.08,0.25,0.42500001192092896,0.8894276022911072,0.915227711200714,0.5666667222976685
no_init_box_kenn_top_down_adapter_bert_ms,2,h2rnikyz,0.005219206679612398,0.005219206679612398,0.8476481437683105,0.8098940253257751,0.25,0.3333333730697632,0.005219206679612398,0.5000000596046448,0.3125,0.8476481437683105,0.9058629274368286,0.0,0.25,0.8911640048027039,0.625,0.5,0.625,0.4166666567325592,0.8333333134651184,0.8780701756477356,0.0034794709645211697,0.5000000596046448,0.904654324054718,0.904654324054718,0.8098940253257751,0.8333333134651184,0.5,0.9245187044143676,0.9058629274368286,0.8911640048027039,0.0,0.8333333134651184,0.002609603339806199,38,0.005219206679612398,0.2500000298023224,0.8333333134651184,0.5,0.9150957465171814,0.0,0.8890942335128784,0.5000000596046448,0.8780701756477356,0.625,0.9245187044143676,0.24,0.25,0.3846153914928436,0.8890942335128784,0.9150957465171814,0.5000000596046448
no_init_box_kenn_bottom_up_adapter_bert_ms,2,qjw7sopj,0.005567153915762901,0.005567153915762901,0.8480929136276245,0.8105607032775879,0.2666666805744171,0.35555562376976013,0.005567153915762901,0.533333420753479,0.3265306055545807,0.8480929136276245,0.905949890613556,0.0,0.2666666805744171,0.8912874460220337,0.6530612111091614,0.5333333611488342,0.6530612111091614,0.42105263471603394,0.8421052694320679,0.8782894611358643,0.003711436176672578,0.533333420753479,0.904675841331482,0.904675841331482,0.8105607032775879,0.8421052694320679,0.5333333611488342,0.9245187044143676,0.905949890613556,0.8912874460220337,0.0,0.8421052694320679,0.0027835769578814507,49,0.005567153915762901,0.2666667103767395,0.8421052694320679,0.5333333611488342,0.9151400923728944,0.0,0.8892697095870972,0.533333420753479,0.8782894611358643,0.6530612111091614,0.9245187044143676,0.08,0.25,0.4050633311271667,0.8892697095870972,0.9151400923728944,0.533333420753479
no_init_box_kenn_hybrid_adapter_bert_ms,1,hdav51ea,0.007654836401343346,0.007654836401343346,0.849761426448822,0.8145607113838196,0.36666667461395264,0.4888889491558075,0.007654836401343346,0.73333340883255,0.3793103396892547,0.849761426448822,0.9064776301383972,0.0,0.36666667461395264,0.8917296528816223,0.7586206793785095,0.7333333492279053,0.7586206793785095,0.3928571343421936,0.7857142686843872,0.879605233669281,0.0051032244227826595,0.73333340883255,0.9041929841041564,0.9041929841041564,0.8145607113838196,0.7857142686843872,0.7333333492279053,0.924605667591095,0.9064776301383972,0.8917296528816223,0.0,0.7857142686843872,0.003827418200671673,58,0.007654836401343346,0.366666704416275,0.7857142686843872,0.7333333492279053,0.9154518842697144,0.0,0.8881418704986572,0.73333340883255,0.879605233669281,0.7586206793785095,0.924605667591095,0.03,0.25,0.5,0.8881418704986572,0.9154518842697144,0.73333340883255
no_init_box_kenn_top_down_adapter_bert_ms,1,5jgn2emm,0.010438414290547373,0.010438414290547373,0.8503434658050537,0.8198940753936768,0.5,0.6666666865348816,0.010438414290547373,1.0,0.3488371968269348,0.8503434658050537,0.9072257280349731,0.0,0.5,0.8907358050346375,0.6976743936538696,1.0,0.6976743936538696,0.2678571343421936,0.5357142686843872,0.8813596367835999,0.006958942394703627,1.0,0.9003136157989502,0.9003136157989502,0.8198940753936768,0.5357142686843872,1.0,0.9239040017127992,0.9072257280349731,0.8907358050346375,0.0,0.5357142686843872,0.0052192071452736855,75,0.010438414290547373,0.5,0.5357142686843872,1.0,0.91548889875412,0.0,0.8831418752670288,1.0,0.8813596367835999,0.6976743936538696,0.9239040017127992,0.04,0.25,0.517241358757019,0.8831418752670288,0.91548889875412,1.0
no_init_box_kenn_bottom_up_adapter_bert_ms,1,j124dhio,0.007654836401343346,0.007654836401343346,0.849761426448822,0.8145607113838196,0.36666667461395264,0.4888889491558075,0.007654836401343346,0.73333340883255,0.3793103396892547,0.849761426448822,0.9064776301383972,0.0,0.36666667461395264,0.8917296528816223,0.7586206793785095,0.7333333492279053,0.7586206793785095,0.3928571343421936,0.7857142686843872,0.879605233669281,0.0051032244227826595,0.73333340883255,0.9041929841041564,0.9041929841041564,0.8145607113838196,0.7857142686843872,0.7333333492279053,0.924605667591095,0.9064776301383972,0.8917296528816223,0.0,0.7857142686843872,0.003827418200671673,58,0.007654836401343346,0.366666704416275,0.7857142686843872,0.7333333492279053,0.9154518842697144,0.0,0.8881418704986572,0.73333340883255,0.879605233669281,0.7586206793785095,0.924605667591095,0.03,0.25,0.5,0.8881418704986572,0.9154518842697144,0.73333340883255
no_init_box_kenn_hybrid_adapter_bert_ms,0,y2hxceih,0.00730688963085413,0.00730688963085413,0.8486137986183167,0.8138940334320068,0.3499999940395355,0.46666669845581055,0.00730688963085413,0.7000000476837158,0.3499999940395355,0.8486137986183167,0.9065819978713988,0.0,0.3499999940395355,0.8913092017173767,0.699999988079071,0.699999988079071,0.699999988079071,0.3499999940395355,0.699999988079071,0.8793859481811523,0.004871259443461895,0.7000000476837158,0.9035601615905762,0.9035601615905762,0.8138940334320068,0.699999988079071,0.699999988079071,0.924570858478546,0.9065819978713988,0.8913092017173767,0.0,0.699999988079071,0.003653444815427065,60,0.00730688963085413,0.3500000238418579,0.699999988079071,0.699999988079071,0.915488064289093,0.0,0.886427640914917,0.7000000476837158,0.8793859481811523,0.699999988079071,0.924570858478546,0.02,0.25,0.46666666865348816,0.886427640914917,0.915488064289093,0.7000000476837158
