name,test_incremental_only/macro_example/f1/mean,test_incremental/macro_example/precision/mean,test/macro_types/f1/mean,test/macro_types/recall/mean,test_incremental/micro/recall/mean,test_incremental/macro_example_exclusive/f1/mean,test_incremental_only/macro_example/precision/mean,test_incremental_only/macro_example_exclusive/recall/mean,test_incremental/macro_types/f1/mean,test_pretraining/macro_types/f1/mean,test_pretraining/macro_example/recall/mean,test_incremental_broadcast/macro_types/recall/mean,test_incremental/macro_types/recall/mean,test/micro/f1/mean,test_incremental_broadcast-tv_channel/macro_types/f1/mean,test_incremental_only/micro/recall/mean,test_incremental_only/macro_types/f1/mean,test_incremental/macro_types/precision/mean,test_incremental/micro/precision/mean,test_pretraining/micro/recall/mean,test_incremental/macro_example/f1/mean,test_incremental/macro_example_exclusive/precision/mean,test/micro/precision/mean,test_pretraining/micro/precision/mean,test_pretraining/macro_types/recall/mean,test_incremental_only/macro_types/precision/mean,test_incremental_only/macro_types/recall/mean,test_pretraining/macro_example/precision/mean,test/macro_example/recall/mean,test_pretraining/micro/f1/mean,test_incremental_broadcast/macro_types/f1/mean,test_incremental_only/micro/precision/mean,test_incremental/macro_example/recall/mean,epoch/mean,test_incremental_only/macro_example/recall/mean,test_incremental/macro_example_exclusive/recall/mean,test_incremental_broadcast-tv_channel/macro_types/precision/mean,test_incremental_broadcast-tv_channel/macro_types/recall/mean,test_pretraining/macro_example/f1/mean,test_incremental_broadcast/macro_types/precision/mean,test_pretraining/macro_types/precision/mean,test_incremental_only/macro_example_exclusive/f1/mean,test/micro/recall/mean,test_incremental_only/micro/f1/mean,test/macro_example/precision/mean,threshold_incremental/mean,threshold_pretraining/mean,test_incremental/micro/f1/mean,test/macro_types/precision/mean,test/macro_example/f1/mean,test_incremental_only/macro_example_exclusive/precision/mean,test_incremental_only/macro_example/f1/std,test_incremental/macro_example/precision/std,test/macro_types/f1/std,test/macro_types/recall/std,test_incremental/micro/recall/std,test_incremental/macro_example_exclusive/f1/std,test_incremental_only/macro_example/precision/std,test_incremental_only/macro_example_exclusive/recall/std,test_incremental/macro_types/f1/std,test_pretraining/macro_types/f1/std,test_pretraining/macro_example/recall/std,test_incremental_broadcast/macro_types/recall/std,test_incremental/macro_types/recall/std,test/micro/f1/std,test_incremental_broadcast-tv_channel/macro_types/f1/std,test_incremental_only/micro/recall/std,test_incremental_only/macro_types/f1/std,test_incremental/macro_types/precision/std,test_incremental/micro/precision/std,test_pretraining/micro/recall/std,test_incremental/macro_example/f1/std,test_incremental/macro_example_exclusive/precision/std,test/micro/precision/std,test_pretraining/micro/precision/std,test_pretraining/macro_types/recall/std,test_incremental_only/macro_types/precision/std,test_incremental_only/macro_types/recall/std,test_pretraining/macro_example/precision/std,test/macro_example/recall/std,test_pretraining/micro/f1/std,test_incremental_broadcast/macro_types/f1/std,test_incremental_only/micro/precision/std,test_incremental/macro_example/recall/std,epoch/std,test_incremental_only/macro_example/recall/std,test_incremental/macro_example_exclusive/recall/std,test_incremental_broadcast-tv_channel/macro_types/precision/std,test_incremental_broadcast-tv_channel/macro_types/recall/std,test_pretraining/macro_example/f1/std,test_incremental_broadcast/macro_types/precision/std,test_pretraining/macro_types/precision/std,test_incremental_only/macro_example_exclusive/f1/std,test/micro/recall/std,test_incremental_only/micro/f1/std,test/macro_example/precision/std,threshold_incremental/std,threshold_pretraining/std,test_incremental/micro/f1/std,test/macro_types/precision/std,test/macro_example/f1/std,test_incremental_only/macro_example_exclusive/precision/std
no_init_box_adapter_bert_ms,0.008698678265015284,0.008698678265015284,0.8495091199874878,0.8165607253710429,0.4166666666666667,0.5555555919806162,0.008698678265015284,0.8333333730697632,0.34158846735954285,0.8495091199874878,0.9067811171213785,0.0,0.4166666666666667,0.8909445206324259,0.6831769347190857,0.8333333333333334,0.6831769347190857,0.320831557114919,0.641663114229838,0.8802631497383118,0.005799118817473452,0.8333333730697632,0.9018947879473368,0.9018947879473368,0.8165607253710429,0.641663114229838,0.8333333333333334,0.9240953326225281,0.9067811171213785,0.8909445206324259,0.0,0.641663114229838,0.004349339132507642,58.0,0.008698678265015284,0.4166666865348816,0.641663114229838,0.8333333333333334,0.9153561393419901,0.0,0.8852608601252238,0.8333333730697632,0.8802631497383118,0.6831769347190857,0.9240953326225281,0.09999999999999999,0.25,0.47852633396784466,0.8852608601252238,0.9153561393419901,0.8333333730697632,0.002717554132537097,0.002717554132537097,0.001232950746722984,0.00520685257274675,0.13017081635719546,0.17356107639290516,0.002717554132537097,0.2603416136354089,0.013043500850892358,0.001232950746722984,0.000696086002554121,0.0,0.13017081635719546,0.0002993094484125029,0.026087001701784716,0.2603416327143909,0.026087001701784716,0.08684123518267438,0.17368247036534876,0.0017127774391027457,0.0018117025115689663,0.2603416136354089,0.0024159965095405214,0.0024159965095405214,0.00520685257274675,0.17368247036534876,0.2603416327143909,0.00041973256938214844,0.000696086002554121,0.0002993094484125029,0.0,0.17368247036534876,0.001358777066268548,18.681541692269406,0.002717554132537097,0.1301708068177045,0.17368247036534876,0.2603416327143909,0.00015668831485971048,0.0,0.0034736550676095065,0.2603416136354089,0.0017127774391027457,0.026087001701784716,0.00041973256938214844,0.11269427669584646,0.0,0.06365173960491421,0.0034736550676095065,0.00015668831485971048,0.2603416136354089
no_init_box_kenn_bottom_up_adapter_bert_ms,0.006842959982653459,0.006842959982653459,0.8488227128982544,0.8130051493644714,0.32777778307596844,0.4370370904604594,0.006842959982653459,0.6555556257565817,0.35194697976112366,0.8488227128982544,0.906336506207784,0.0,0.32777778307596844,0.8914421002070109,0.7038939595222473,0.6555555661519369,0.7038939595222473,0.3879699210325877,0.7759398420651754,0.8790935476620992,0.004561973347639044,0.6555556257565817,0.9041429956754049,0.9041429956754049,0.8130051493644714,0.7759398420651754,0.6555555661519369,0.9245650768280029,0.906336506207784,0.8914421002070109,0.0,0.7759398420651754,0.0034214799913267293,55.666666666666664,0.006842959982653459,0.32777781287829083,0.7759398420651754,0.6555555661519369,0.9153600136439005,0.0,0.8879464070002238,0.6555556257565817,0.8790935476620992,0.7038939595222473,0.9245650768280029,0.043333333333333335,0.25,0.4572433332602183,0.8879464070002238,0.9153600136439005,0.6555556257565817,0.0011184934416479761,0.0011184934416479761,0.0008536496007710353,0.002143035785193172,0.053575831277346934,0.07143443964289234,0.0011184934416479761,0.10715166255469387,0.026443678807642645,0.0008536496007710353,0.0003388611355676675,0.0,0.053575831277346934,0.00024926538684119827,0.052887357615285374,0.10715166255469387,0.052887357615285374,0.03577754990529804,0.07155509981059607,0.000704938215434788,0.0007456621535954139,0.10715166255469387,0.0005595171608840511,0.0005595171608840511,0.002143035785193172,0.07155509981059607,0.10715166255469387,4.3768928920869985e-05,0.0003388611355676675,0.00024926538684119827,0.0,0.07155509981059607,0.0005592467208239881,5.859465277082316,0.0011184934416479761,0.053575831277346934,0.07155509981059607,0.10715166255469387,0.00019131459048204793,0.0,0.0014310810839228613,0.10715166255469387,0.000704938215434788,0.052887357615285374,4.3768928920869985e-05,0.03214550253664319,0.0,0.04816474033583112,0.0014310810839228613,0.00019131459048204793,0.10715166255469387
no_init_box_kenn_horizontal_adapter_bert_ms,0.007422872198124726,0.007422872198124726,0.8479954202969869,0.8141162792841593,0.3555555542310079,0.4740741054217021,0.007422872198124726,0.7111111283302307,0.23634951996306577,0.8479954202969869,0.9064814845720927,0.0,0.3555555542310079,0.8206298152605692,0.47269903992613155,0.7111111084620158,0.47269903992613155,0.31234579797213274,0.6246915959442655,0.8794590632120768,0.0049485812584559126,0.7111111283302307,0.7873056928316752,0.7873056928316752,0.8141162792841593,0.6246915959442655,0.7111111084620158,0.7933793465296427,0.9064814845720927,0.8206298152605692,0.0,0.6246915959442655,0.003711436099062363,61.0,0.007422872198124726,0.35555556416511536,0.6246915959442655,0.7111111084620158,0.8334415157636007,0.0,0.8849214116732279,0.7111111283302307,0.8794590632120768,0.47269903992613155,0.7933793465296427,0.043333333333333335,0.25,0.2946215042223533,0.8849214116732279,0.8334415157636007,0.7111111283302307,0.002702663445558595,0.002702663445558595,0.002212840326902658,0.005178323462096496,0.12945755834940587,0.17261007438870335,0.002702663445558595,0.25891510774623283,0.19639308253391888,0.002212840326902658,0.0006715324875401195,0.0,0.12945755834940587,0.1228538248839441,0.39278616506783776,0.25891511669881173,0.39278616506783776,0.26815526697632036,0.5363105339526407,0.001703380629380773,0.001801775433868595,0.25891510774623283,0.20385986752004498,0.20385986752004498,0.005178323462096496,0.5363105339526407,0.25891511669881173,0.2274312732912152,0.0006715324875401195,0.1228538248839441,0.0,0.5363105339526407,0.001351331722779297,29.206163733020468,0.002702663445558595,0.12945755387311642,0.5363105339526407,0.25891511669881173,0.14178974893045188,0.0,0.01072618493802046,0.25891510774623283,0.001703380629380773,0.39278616506783776,0.2274312732912152,0.05859465277082315,0.0,0.23954729287908383,0.01072618493802046,0.14178974893045188,0.25891510774623283
no_init_box_kenn_hybrid_adapter_bert_ms,0.006958942394703627,0.006958942394703627,0.8489682873090109,0.813227375348409,0.3333333333333333,0.44444448749224347,0.006958942394703627,0.6666667262713114,0.35643677910168964,0.8489682873090109,0.9063751697540283,0.0,0.3333333333333333,0.891483207543691,0.7128735582033793,0.6666666666666666,0.7128735582033793,0.38928571343421936,0.7785714268684387,0.8791666428248087,0.004639294929802418,0.6666667262713114,0.9041501681009928,0.9041501681009928,0.813227375348409,0.7785714268684387,0.6666666666666666,0.9245843887329102,0.9063751697540283,0.891483207543691,0.0,0.7785714268684387,0.0034794711973518133,55.666666666666664,0.006958942394703627,0.3333333631356557,0.7785714268684387,0.6666666666666666,0.9153892199198405,0.0,0.8879990379015604,0.6666667262713114,0.8791666428248087,0.7128735582033793,0.9245843887329102,0.043333333333333335,0.25,0.4638888935248057,0.8879990379015604,0.9153892199198405,0.6666667262713114,0.0009205814162179494,0.0009205814162179494,0.0006881664564046636,0.0017638302724211808,0.04409585818820208,0.05879448133900993,0.0009205814162179494,0.08819171637640416,0.020430364235154104,0.0006881664564046636,0.0002728876855120981,0.0,0.04409585818820208,0.00021938643420084318,0.04086072847030829,0.08819171637640416,0.04086072847030829,0.03762734319652093,0.07525468639304186,0.0005802086604075263,0.0006137208561435986,0.08819171637640416,0.0005698062581653614,0.0005698062581653614,0.0017638302724211808,0.07525468639304186,0.08819171637640416,1.865339714341385e-05,0.0002728876855120981,0.00021938643420084318,0.0,0.07525468639304186,0.0004602907081089747,5.859465277082316,0.0009205814162179494,0.04409585818820208,0.07525468639304186,0.08819171637640416,0.00014103562747034106,0.0,0.0015050723995054984,0.08819171637640416,0.0005802086604075263,0.04086072847030829,1.865339714341385e-05,0.03214550253664319,0.0,0.03757707517841623,0.0015050723995054984,0.00014103562747034106,0.08819171637640416
no_init_box_kenn_top_down_adapter_bert_ms,0.008582695852965117,0.008582695852965117,0.8493295709292094,0.8163384993871053,0.4111111064751943,0.5481481750806173,0.008582695852965117,0.8222222526868185,0.3355250954627991,0.8493295709292094,0.9067424535751343,0.0,0.4111111064751943,0.8908704519271851,0.6710501909255981,0.8222222129503886,0.6710501909255981,0.3176807661851247,0.6353615323702494,0.8801900545756022,0.005721797080089648,0.8222222526868185,0.9018203218777975,0.9018203218777975,0.8163384993871053,0.6353615323702494,0.8222222129503886,0.9240663647651672,0.9067424535751343,0.8908704519271851,0.0,0.6353615323702494,0.004291347926482558,58.0,0.008582695852965117,0.41111112634340924,0.6353615323702494,0.8222222129503886,0.9153222044308981,0.0,0.8851348161697388,0.8222222526868185,0.8801900545756022,0.6710501909255981,0.9240663647651672,0.10333333333333333,0.25,0.47020954887072247,0.8851348161697388,0.9153222044308981,0.8222222526868185,0.0029180578241777095,0.0029180578241777095,0.0014664207220749898,0.0055910239954972615,0.13977494780034247,0.18636659074959783,0.0029180578241777095,0.2795498766481094,0.020021355076026995,0.0014664207220749898,0.0007629337534095889,0.0,0.13977494780034247,0.0002545134454425963,0.04004271015205399,0.27954989560068494,0.04004271015205399,0.08572493364948477,0.17144986729896955,0.0018391401613079069,0.0019453718642767602,0.2795498766481094,0.0024559566851622755,0.0024559566851622755,0.0055910239954972615,0.17144986729896955,0.27954989560068494,0.00039690007919083065,0.0007629337534095889,0.0002545134454425963,0.0,0.17144986729896955,0.0014590289120888541,18.681541692269406,0.0029180578241777095,0.1397749383240547,0.17144986729896955,0.27954989560068494,0.00020327551602218342,0.0,0.0034289815346261665,0.2795498766481094,0.0018391401613079069,0.04004271015205399,0.00039690007919083065,0.11846237095944574,0.0,0.07424757761190386,0.0034289815346261665,0.00020327551602218342,0.2795498766481094
no_init_kenn_bottom_up_adapter_bert_ms,0.009394571805993715,0.009394571805993715,0.8809806307156881,0.8623095353444418,0.7166666785875956,0.7977554599444071,0.009394571805993715,0.9000000556310018,0.7653893033663431,0.8809806307156881,0.9146099289258319,0.5333333611488342,0.7166666785875956,0.9052903254826864,0.7841734687487284,0.899999996026357,0.7841734687487284,0.8276550968488058,0.7778522372245789,0.8989035288492838,0.008327300970753035,0.9000000556310018,0.9117709398269653,0.9117709398269653,0.8623095353444418,0.7141336798667908,0.899999996026357,0.9274975061416626,0.9146099289258319,0.9052903254826864,0.6808511018753052,0.7141336798667908,0.007480863171319167,73.0,0.009394571805993715,0.7166667183240255,0.7141336798667908,0.899999996026357,0.9210084478060404,0.9411764740943908,0.9004863103230795,0.9000000556310018,0.8989035288492838,0.7841734687487284,0.9274975061416626,0.6000000000000001,0.375,0.7401669422785441,0.9004863103230795,0.9210084478060404,0.9000000556310018,0.00092058203222994,0.00092058203222994,0.0009820303583949251,0.0017638302724211808,0.04409584692398301,0.06214415392792431,0.00092058203222994,0.08819169384796595,0.02386793302225084,0.0009820303583949251,0.0002402583111020368,0.0,0.04409584692398301,0.0008626089181702106,0.0830020153765531,0.08819169384796602,0.0830020153765531,0.07768950221326336,0.1262944997700189,0.0005802086604075263,0.0006486868796628158,0.08819169384796595,0.0021455240434707003,0.0021455240434707003,0.0017638302724211808,0.15537902618718072,0.08819169384796602,0.0008396453059929303,0.0002402583111020368,0.0008626089181702106,0.0,0.15537902618718072,0.00046029084011154687,14.0,0.00092058203222994,0.04409583565977111,0.15537902618718072,0.08819169384796602,0.0003371473722037425,0.0,0.003107562828811543,0.08819169384796595,0.0005802086604075263,0.0830020153765531,0.0008396453059929303,0.2835489375751565,0.0,0.04756836522907606,0.003107562828811543,0.0003371473722037425,0.08819169384796595
no_init_kenn_horizontal_adapter_bert_ms,0.009742519507805506,0.009742519507805506,0.8805529077847799,0.8629762132962545,0.7333333293596903,0.8211668928464254,0.009742519507805506,0.9333333571751913,0.7563106020291647,0.8805529077847799,0.9147162238756815,0.5333333611488342,0.7333333293596903,0.9048449595769247,0.7415545384089152,0.9333333174387614,0.7415545384089152,0.7872312664985657,0.7121591965357462,0.8991228143374125,0.008571679393450419,0.9333333571751913,0.9106431802113851,0.9106431802113851,0.8629762132962545,0.6332860589027405,0.9333333174387614,0.9269620577494303,0.9147162238756815,0.9048449595769247,0.6808511018753052,0.6332860589027405,0.007654836867004633,71.0,0.009742519507805506,0.7333333889643351,0.6332860589027405,0.9333333174387614,0.9207982222239176,0.9411764740943908,0.8988693555196127,0.9333333770434061,0.8991228143374125,0.7415545384089152,0.9269620577494303,0.47000000000000003,0.375,0.7162209947903951,0.8988693555196127,0.9207982222239176,0.9333333571751913,0.0009205820322299404,0.0009205820322299404,0.0005381439157573224,0.0017638302724211755,0.04409584692398301,0.06194123138939081,0.0009205820322299404,0.08819169384796592,0.009280524949702048,0.0005381439157573224,0.0002220063658364936,0.0,0.04409584692398301,0.0007583699539419867,0.06782343388357463,0.08819171637640416,0.06782343388357463,0.07518392506984438,0.12347470356254638,0.0005802086604075315,0.0006465685842932246,0.08819169384796592,0.0021324344147926537,0.0021324344147926537,0.0017638302724211755,0.150367854495635,0.08819171637640416,0.0008574477035773452,0.0002220063658364936,0.0007583699539419867,0.0,0.150367854495635,0.0004602907521098494,16.822603841260722,0.0009205820322299404,0.04409584692398301,0.150367854495635,0.08819171637640416,0.0003121545116200723,0.0,0.003007353037517908,0.088191660055308,0.0005802086604075315,0.06782343388357463,0.0008574477035773452,0.23388031127053,0.0,0.03739059691088139,0.003007353037517908,0.0003121545116200723,0.08819169384796592
no_init_kenn_hybrid_adapter_bert_ms,0.009046625345945358,0.009046625345945358,0.8809001644452413,0.861642857392629,0.699999988079071,0.774091104666392,0.009046625345945358,0.8666667143503824,0.7602611581484476,0.8809001644452413,0.9145248929659525,0.5333333611488342,0.700000007947286,0.9053027828534445,0.7823860843976339,0.8666666547457377,0.7823860843976339,0.8417450586954752,0.7983582615852356,0.8986842036247253,0.00808028286943833,0.8666667143503824,0.912022868792216,0.912022868792216,0.861642857392629,0.7423136234283447,0.8666666547457377,0.9275786876678467,0.9145248929659525,0.9053027828534445,0.6808511018753052,0.7423136234283447,0.007306889786074559,71.66666666666667,0.009046625345945358,0.7000000476837158,0.7423136234283447,0.8666666547457377,0.9210053086280823,0.9411764740943908,0.9010499119758606,0.8666667143503824,0.8986842036247253,0.7823860843976339,0.9275786876678467,0.6533333333333333,0.375,0.7379592657089233,0.9010499119758606,0.9210053086280823,0.8666667143503824,0.0012545414719454925,0.0012545414719454925,0.001175006096459261,0.002403708476792952,0.06009252180878,0.08503861439107005,0.0012545414719454925,0.12018506014891664,0.03009462074479518,0.001175006096459261,0.0002993499450928592,0.0,0.06009253007445836,0.0009044151394197456,0.09029180092465257,0.12018501882052557,0.09029180092465257,0.08888939338549866,0.14254256985905192,0.0007907029312819175,0.0008876678356284808,0.12018506014891664,0.002347715843127883,0.002347715843127883,0.002403708476792952,0.17777882077998314,0.12018501882052557,0.0009023444707410806,0.0002993499450928592,0.0009044151394197456,0.0,0.17777882077998314,0.0006272704776703167,15.30795000427338,0.0012545414719454925,0.06009252180878,0.17777882077998314,0.12018501882052557,0.0003485216507970798,0.0,0.003555555849032466,0.12018506014891664,0.0007907029312819175,0.09029180092465257,0.0009023444707410806,0.40501028793517496,0.0,0.05098406184414018,0.003555555849032466,0.0003485216507970798,0.12018506014891664
no_init_kenn_top_down_adapter_bert_ms,0.009394572116434574,0.009394572116434574,0.8806816538174947,0.8623095353444418,0.7166666587193807,0.7976166804631551,0.009394572116434574,0.9000000357627869,0.7580750981966654,0.8806816538174947,0.914609948794047,0.5333333611488342,0.7166666587193807,0.9051235318183899,0.763045052687327,0.8999999761581421,0.763045052687327,0.8120785355567932,0.7543937961260477,0.898903508981069,0.008325851988047361,0.9000000357627869,0.9114327828089398,0.9114327828089398,0.8623095353444418,0.6829805970191956,0.8999999761581421,0.9272945324579874,0.914609948794047,0.9051235318183899,0.6808511018753052,0.6829805970191956,0.007480863171319167,70.33333333333333,0.009394572116434574,0.7166667381922404,0.6829805970191956,0.8999999761581421,0.9209083716074625,0.9411764740943908,0.8998632629712423,0.9000000357627869,0.898903508981069,0.763045052687327,0.9272945324579874,0.7166666666666668,0.375,0.7287274996439616,0.8998632629712423,0.9209083716074625,0.9000000357627869,0.0012053245827316757,0.0012053245827316757,0.0007394804182605126,0.002309405756893543,0.057735040684065646,0.08148190826668443,0.0012053245827316757,0.1154700469553735,0.020394754572620515,0.0007394804182605126,0.0002979800689763559,0.0,0.057735040684065646,0.00071425473929171,0.06315412735664908,0.1154700469553736,0.06315412735664908,0.071171925025724,0.11665455549339535,0.0007596960391181734,0.0008505422244163797,0.1154700469553735,0.001984966459435946,0.001984966459435946,0.002309405756893543,0.1423438821767639,0.1154700469553736,0.0007626280515418353,0.0002979800689763559,0.00071425473929171,0.0,0.1423438821767639,0.0006026620225161682,15.69500982265807,0.0012053245827316757,0.05773500627130796,0.1423438821767639,0.1154700469553736,0.00025541353473957864,0.0,0.0028468772189793753,0.1154700469553735,0.0007596960391181734,0.06315412735664908,0.0007626280515418353,0.25540817005987365,0.0,0.036737604259895175,0.0028468772189793753,0.00025541353473957864,0.1154700469553735
smart_init_box_adapter_bert_ms,0.008234748772035042,0.008234748772035042,0.8495786786079407,0.8156718214352926,0.3944444457689921,0.5259259541829427,0.008234748772035042,0.7888889312744141,0.3510344723860423,0.8495786786079407,0.9066612720489502,0.0,0.3944444457689921,0.8912417689959208,0.7020689447720846,0.7888888915379842,0.7020689447720846,0.350762536128362,0.701525072256724,0.8799707492192587,0.0054898324112097425,0.7888889312744141,0.9028105934460958,0.9028105934460958,0.8156718214352926,0.701525072256724,0.7888888915379842,0.9242557883262634,0.9066612720489502,0.8912417689959208,0.0,0.701525072256724,0.004117374386017521,39.666666666666664,0.008234748772035042,0.39444446563720703,0.701525072256724,0.7888888915379842,0.9153738220532736,0.0,0.8864580988883972,0.7888889312744141,0.8799707492192587,0.7020689447720846,0.9242557883262634,0.3666666666666667,0.25,0.4803929030895233,0.8864580988883972,0.9153738220532736,0.7888889312744141,0.0027026634455585953,0.0027026634455585953,0.0013026551233696407,0.005178323462096476,0.12945755834940587,0.17261006671506054,0.0027026634455585953,0.258915092398952,0.02931264178764774,0.0013026551233696407,0.0007108686831191135,0.0,0.12945755834940587,0.00029839487942340113,0.05862528357529548,0.25891511669881173,0.05862528357529548,0.08308197746914078,0.16616395493828157,0.0017033806293807535,0.001801775573752675,0.258915092398952,0.0020711856134644517,0.0020711856134644517,0.005178323462096476,0.16616395493828157,0.25891511669881173,0.00030380725999977807,0.0007108686831191135,0.00029839487942340113,0.0,0.16616395493828157,0.001351331722779297,3.055050463303893,0.0027026634455585953,0.129457546199476,0.16616395493828157,0.25891511669881173,0.0002334503425744369,0.0,0.003323283475266075,0.258915092398952,0.0017033806293807535,0.05862528357529548,0.00030380725999977807,0.23028967265887834,0.0,0.07862176879063675,0.003323283475266075,0.0002334503425744369,0.258915092398952
