name,instance,run_id,test_incremental_building-airport/macro_types/recall,test_incremental_building-airport/macro_types/precision,test_incremental_building-dam/macro_types/recall,test_incremental_building-hotel/macro_types/recall,test_incremental_only/macro_example_exclusive/precision,test_pretraining/macro_example/precision,test_incremental_only/macro_example_exclusive/f1,test/micro/precision,test/macro_types/precision,test/macro_example/precision,test_incremental/macro_types/f1,test_incremental/macro_types/precision,test_incremental_building/macro_types/precision,test_incremental_building-theater/macro_types/recall,test_pretraining/macro_types/precision,test_incremental/macro_example_exclusive/recall,test_incremental_building-library/macro_types/f1,test_incremental/macro_types/recall,test_pretraining/macro_types/recall,test_incremental/macro_example/recall,test_incremental_building-restaurant/macro_types/f1,test/macro_example/f1,test_incremental_building-dam/macro_types/f1,test_incremental_building-sports_facility/macro_types/precision,test_incremental/micro/f1,test_incremental_only/macro_types/f1,test_incremental_only/macro_example/precision,test_incremental_only/micro/f1,test/macro_example/recall,test_incremental/micro/recall,test_pretraining/macro_types/f1,test/micro/f1,test_incremental_only/macro_example/recall,test_incremental_building-power_station/macro_types/recall,test_incremental_building/macro_types/f1,test_incremental_building-theater/macro_types/precision,test_incremental_only/macro_example/f1,test_incremental_building/macro_types/recall,test_incremental_only/macro_example_exclusive/recall,test_incremental_building-hospital/macro_types/recall,test/macro_types/recall,test_pretraining/micro/f1,test_incremental_building-dam/macro_types/precision,test_incremental_building-power_station/macro_types/f1,test_incremental/macro_example_exclusive/f1,test/macro_types/f1,test_pretraining/micro/recall,test_pretraining/macro_example/f1,test_incremental_only/macro_types/recall,epoch,threshold_incremental,test_incremental_only/macro_types/precision,test_incremental_building-power_station/macro_types/precision,test_incremental/macro_example/precision,test_incremental_building-hospital/macro_types/precision,test_pretraining/micro/precision,test_incremental_building-library/macro_types/precision,test_incremental_building-sports_facility/macro_types/f1,test_incremental_building-hotel/macro_types/f1,test_incremental_building-sports_facility/macro_types/recall,test_incremental_building-theater/macro_types/f1,test_incremental/macro_example_exclusive/precision,threshold_pretraining,test_incremental_building-airport/macro_types/f1,test_incremental_building-restaurant/macro_types/precision,test/micro/recall,test_incremental_only/micro/recall,test_pretraining/macro_example/recall,test_incremental_building-hospital/macro_types/f1,test_incremental/micro/precision,test_incremental_building-restaurant/macro_types/recall,test_incremental_building-library/macro_types/recall,test_incremental_building-hotel/macro_types/precision,test_incremental/macro_example/f1,test_incremental_only/micro/precision
no_init_box_kenn_horizontal_adapter_bert_ms,2,vubl1yh4,0.8333333134651184,1.0,0.0,0.4333333373069763,0.40671640634536743,0.9246578812599182,0.40389853715896606,0.9066371917724608,0.8701962232589722,0.9246578812599182,0.5613028407096863,0.7787107229232788,0.9371069073677064,0.2666666805744171,0.8701962232589722,0.6575407981872559,0.7234042882919312,0.43879565596580505,0.7504115104675293,0.07938993722200394,0.5365853905677795,0.9066317081451416,0.0,0.0,0.7730293869972229,0.517592191696167,0.03792623803019523,0.561855673789978,0.8892948627471924,0.6532905101776123,0.8058769702911377,0.8788334131240845,0.037404317408800125,0.5,0.8962405920028687,1.0,0.03766347095370293,0.8587896227836609,0.4011194109916687,0.5625,0.7504115104675293,0.8788334131240845,0.0,0.6296296119689941,0.7442678213119507,0.8058769702911377,0.8526841402053833,0.9066317081451416,0.3921296298503876,67,0.01,0.7611111402511597,0.8500000238418579,0.10351426899433136,1.0,0.9066371917724608,1.0,0.0,0.604651153087616,0.0,0.4210526645183563,0.8573486804962158,0.25,0.9090909361839294,1.0,0.8526841402053833,0.3949275314807892,0.8892948627471924,0.7200000286102295,0.9465116262435912,0.36666667461395264,0.5666666626930237,1.0,0.08986114710569382,0.9732142686843872
no_init_box_kenn_horizontal_adapter_bert_ms,1,pjla3rdx,1.0,0.010438413359224796,1.0,1.0,0.1144278645515442,0.13688895106315613,0.205357164144516,0.14087995886802673,0.7537485361099243,0.13688895106315613,0.18702860176563263,0.10331402719020844,0.9371069073677064,1.0,0.7537485361099243,0.8919308185577393,0.020661156624555588,0.9858789443969728,0.8447362184524536,0.10768963396549223,0.020661156624555588,0.237918421626091,0.020661156624555588,0.010438413359224796,0.0428246334195137,0.021115446463227272,0.010670377872884274,0.021115444600582123,0.9082231521606444,0.9213483333587646,0.7966527938842773,0.2431585043668747,0.09324982762336732,1.0,0.8962405920028687,0.010438413359224796,0.01914951764047146,0.8587896227836609,1.0,1.0,0.8447362184524536,0.2431585043668747,0.010438413359224796,0.023383768275380135,0.2801252007484436,0.7966527938842773,0.8874323964118958,0.237918421626091,1.0,40,0.0,0.010670378804206848,0.011830201372504234,0.020061085000634193,0.011134307831525804,0.14087995886802673,0.010438413359224796,0.020661156624555588,0.020661156624555588,1.0,0.020661156624555588,0.16615433990955353,0.25,0.020661156624555588,0.010438413359224796,0.8874323964118958,1.0,0.9082231521606444,0.022023402154445648,0.021921783685684204,1.0,1.0,0.010438413359224796,0.03382166102528572,0.010670377872884274
no_init_box_kenn_horizontal_adapter_bert_ms,0,z815943u,0.5666666626930237,1.0,0.0,0.20000000298023224,0.20522387325763705,0.9250928163528442,0.20522387325763705,0.9061169624328612,0.8555409908294678,0.9250928163528442,0.3866701126098633,0.6937106847763062,0.9371069073677064,0.13333334028720856,0.8555409908294678,0.5811719298362732,0.6666666865348816,0.2680358290672302,0.7209701538085938,0.07016932964324951,0.5,0.9038431644439696,0.0,0.0,0.7088353037834167,0.31052058935165405,0.01913709193468094,0.3323262631893158,0.8835479021072388,0.5666131377220154,0.7825120687484741,0.8725860118865967,0.01913709193468094,0.0882352963089943,0.8962405920028687,1.0,0.01913709193468094,0.8587896227836609,0.20522387325763705,0.0,0.7209701538085938,0.8725860118865967,0.0,0.1621621698141098,0.6941560506820679,0.7825120687484741,0.841448187828064,0.9038431644439696,0.2023965120315552,54,0.01,0.6666666865348816,1.0,0.10403618216514587,0.0,0.9061169624328612,1.0,0.0,0.3333333134651184,0.0,0.2352941334247589,0.8616714477539062,0.25,0.7234042882919312,1.0,0.841448187828064,0.19927535951137543,0.8835479021072388,0.0,0.9463806748390198,0.3333333432674408,0.5,1.0,0.08381076902151108,1.0
no_init_box_kenn_hybrid_adapter_bert_ms,2,cnu12sld,0.9666666388511658,1.0,0.5333333611488342,0.6000000238418579,0.7089552283287048,0.8806309700012207,0.7052041292190552,0.8600534796714783,0.8888422250747681,0.8806309700012207,0.7871034741401672,0.8868577480316162,0.9371069073677064,0.5,0.8888422250747681,0.7737752199172974,0.9473683834075928,0.7075210809707642,0.7967435121536255,0.09342380613088608,0.7599999904632568,0.8895089030265808,0.10526315867900848,0.9230769276618958,0.7011494636535645,0.7744438648223877,0.06610995531082153,0.5226960182189941,0.8985676169395447,0.7833065986633301,0.8402767777442932,0.864769697189331,0.06541405618190765,0.47058823704719543,0.8962405920028687,1.0,0.06576016545295715,0.8587896227836609,0.7014925479888916,0.8125,0.7967435121536255,0.864769697189331,0.058394160121679306,0.6399999856948853,0.8147156238555908,0.8402767777442932,0.8695380687713623,0.8895089030265808,0.6907135248184204,70,0.01,0.8812745809555054,1.0,0.1038622111082077,1.0,0.8600534796714783,1.0,0.8571428656578064,0.75,0.800000011920929,0.6666666865348816,0.8602305054664612,0.25,0.98305082321167,0.949999988079071,0.8695380687713623,0.6884058117866516,0.8985676169395447,0.8965517282485962,0.6345903873443604,0.6333333253860474,0.8999999761581421,1.0,0.0983668640255928,0.421286016702652
no_init_box_kenn_top_down_adapter_bert_ms,2,cauix5a7,0.9666666388511658,1.0,0.6333333253860474,0.6333333253860474,0.7574626803398132,0.8746578693389893,0.7537128329277039,0.8539417386054993,0.8872456550598145,0.8746578693389893,0.8090660572052002,0.8775978088378906,0.9371069073677064,0.6000000238418579,0.8872456550598145,0.7925071716308594,0.9473683834075928,0.7504622936248779,0.8041471242904663,0.0956854522228241,0.8070175051689148,0.8871846795082092,0.11143694072961809,0.92592591047287,0.694868266582489,0.799246609210968,0.07063326239585876,0.5225225687026978,0.9000754356384277,0.8041733503341675,0.8436551094055176,0.8629953265190125,0.06993737071752548,0.5,0.8962405920028687,1.0,0.07028358429670334,0.8587896227836609,0.75,0.8125,0.8041471242904663,0.8629953265190125,0.061093248426914215,0.6666666865348816,0.8249813318252563,0.8436551094055176,0.8722430467605591,0.8871846795082092,0.7384258508682251,63,0.01,0.8709856271743774,1.0,0.1038622185587883,1.0,0.8539417386054993,1.0,0.8771929740905762,0.7755101919174194,0.8333333134651184,0.75,0.8602305054664612,0.25,0.98305082321167,0.8518518805503845,0.8722430467605591,0.7355072498321533,0.9000754356384277,0.8965517282485962,0.6117216348648071,0.7666666507720947,0.8999999761581421,1.0,0.09960630536079408,0.4051896333694458
no_init_box_kenn_bottom_up_adapter_bert_ms,2,ws1yr4wz,0.9666666388511658,1.0,0.5333333611488342,0.5666666626930237,0.6902985572814941,0.8799930810928345,0.6865469217300415,0.8593782186508179,0.8887859582901001,0.8799930810928345,0.7769351005554199,0.886531412601471,0.9371069073677064,0.46666666865348816,0.8887859582901001,0.7665705680847168,0.9473683834075928,0.6914549469947815,0.793973445892334,0.09255392849445344,0.7346938252449036,0.8888851404190063,0.10423452407121658,0.9230769276618958,0.6949640512466431,0.7629582285881042,0.06437021493911743,0.5103448033332825,0.8979587554931641,0.7752808928489685,0.8387086391448975,0.8639139533042908,0.06367432326078415,0.44117647409439087,0.8962405920028687,1.0,0.06402037292718887,0.8587896227836609,0.6828358173370361,0.78125,0.793973445892334,0.8639139533042908,0.05776173248887062,0.6122449040412903,0.8113437294960022,0.8387086391448975,0.8684977293014526,0.8888851404190063,0.6728622317314148,70,0.01,0.8809119462966919,1.0,0.10403618961572648,1.0,0.8593782186508179,1.0,0.8571428656578064,0.7234042882919312,0.800000011920929,0.6363636255264282,0.8616714477539062,0.25,0.98305082321167,0.9473684430122375,0.8684977293014526,0.6702898740768433,0.8979587554931641,0.8771929740905762,0.629726231098175,0.6000000238418579,0.8999999761581421,1.0,0.0979597344994545,0.4120267331600189
no_init_box_kenn_hybrid_adapter_bert_ms,1,608zsk9y,0.9666666388511658,0.557692289352417,0.8333333134651184,0.6666666865348816,0.7052239179611206,0.9149617552757264,0.6986330151557922,0.8963741660118103,0.8843353986740112,0.9149617552757264,0.7774630784988403,0.8607181310653687,0.9371069073677064,0.5666666626930237,0.8843353986740112,0.7708933353424072,0.9473683834075928,0.7088936567306519,0.7969801425933838,0.09307585656642914,0.6666666865348816,0.906631588935852,0.819672167301178,0.9285714030265808,0.8157453536987305,0.7639476656913757,0.0657620057463646,0.7145557403564453,0.8984516859054565,0.7817014455795288,0.8383884429931641,0.8826450109481812,0.0645441859960556,0.11764705926179886,0.8962405920028687,1.0,0.06514740735292435,0.8587896227836609,0.6921641826629639,0.8125,0.7969801425933838,0.8826450109481812,0.8064516186714172,0.21052631735801697,0.8105314373970032,0.8383884429931641,0.8693299889564514,0.906631588935852,0.6922385692596436,81,0.01,0.852230429649353,1.0,0.10316631197929382,1.0,0.8963741660118103,1.0,0.8965517282485962,0.4819277226924896,0.8666666746139526,0.7234042882919312,0.8544668555259705,0.25,0.707317054271698,1.0,0.8693299889564514,0.6847826242446899,0.8984516859054565,0.8965517282485962,0.8528896570205688,0.5,0.8999999761581421,0.37735849618911743,0.0978616625070572,0.747035562992096
no_init_box_kenn_top_down_adapter_bert_ms,1,0blo2j5h,0.9666666388511658,0.3866666555404663,0.8666666746139526,0.699999988079071,0.75,0.90851891040802,0.7424623370170593,0.8890303373336792,0.8756048083305359,0.90851891040802,0.7772262096405029,0.8100805878639221,0.9371069073677064,0.6000000238418579,0.8756048083305359,0.7877041101455688,0.98305082321167,0.746932864189148,0.8035386800765991,0.09510554373264311,0.7083333134651184,0.9041750431060792,0.7761194705963135,0.8965517282485962,0.8009631037712097,0.7640013694763184,0.06993737071752548,0.691910445690155,0.8998724222183228,0.8009631037712097,0.8380253314971924,0.880344569683075,0.06854557991027832,0.2647058963775635,0.8962405920028687,1.0,0.06923447549343109,0.8587896227836609,0.7350746393203735,0.8125,0.8035386800765991,0.880344569683075,0.7027027010917664,0.40909090638160706,0.8163983225822449,0.8380253314971924,0.8718268871307373,0.9041750431060792,0.7345043420791626,81,0.02,0.7959665656089783,0.8999999761581421,0.10229645669460297,1.0,0.8890303373336792,1.0,0.8813559412956238,0.4516129195690155,0.8666666746139526,0.75,0.8472622036933899,0.25,0.5523809194564819,0.9444444179534912,0.8718268871307373,0.72826087474823,0.8998724222183228,0.8965517282485962,0.8009631037712097,0.5666666626930237,0.9666666388511658,0.3333333432674408,0.09857001900672913,0.6590163707733154
no_init_box_kenn_bottom_up_adapter_bert_ms,1,scw0iim5,0.9666666388511658,0.5799999833106995,0.800000011920929,0.6666666865348816,0.6977611780166626,0.9153677225112916,0.6911696195602417,0.8969072103500366,0.8850843906402588,0.9153677225112916,0.7751856446266174,0.8650622963905334,0.9371069073677064,0.5666666626930237,0.8850843906402588,0.7680115103721619,0.9473683834075928,0.702226996421814,0.7958307266235352,0.0927279070019722,0.6363636255264282,0.906683087348938,0.813559353351593,0.9285714030265808,0.8158115744590759,0.7613255977630615,0.06506611406803131,0.7137404680252075,0.8981617093086243,0.778491199016571,0.8380879759788513,0.8826886415481567,0.06384830176830292,0.11764705926179886,0.8962405920028687,1.0,0.06445145606994629,0.8587896227836609,0.6847014427185059,0.8125,0.7958307266235352,0.8826886415481567,0.8275862336158752,0.21052631735801697,0.80958092212677,0.8380879759788513,0.8689138293266296,0.906683087348938,0.6848311424255371,80,0.01,0.8570573329925537,1.0,0.1033402979373932,1.0,0.8969072103500366,1.0,0.8965517282485962,0.4819277226924896,0.8666666746139526,0.7234042882919312,0.8559077978134155,0.25,0.7249999642372131,1.0,0.8689138293266296,0.6775362491607666,0.8981617093086243,0.8965517282485962,0.8568904399871826,0.46666666865348816,0.8999999761581421,0.37735849618911743,0.09774690866470336,0.7540322542190552
no_init_box_kenn_hybrid_adapter_bert_ms,0,mc7y8u6h,0.9666666388511658,1.0,0.8666666746139526,0.6333333253860474,0.7350746393203735,0.9241243600845336,0.7284862399101257,0.9066493511199952,0.8988056182861328,0.9241243600845336,0.8251065611839294,0.9446451663970948,0.9371069073677064,0.5333333611488342,0.8988056182861328,0.7824207544326782,0.9655172228813172,0.7324231266975403,0.8010369539260864,0.0944676399230957,0.6666666865348816,0.9115542769432068,0.8524589538574219,0.8928571343421936,0.8608695864677429,0.8164341449737549,0.06854557991027832,0.8123711943626404,0.8993215560913086,0.7945425510406494,0.8471096754074097,0.8884643912315369,0.06732776761054993,0.3529411852359772,0.8962405920028687,0.8888888955116272,0.06793121993541718,0.8587896227836609,0.7220149040222168,0.8125,0.8010369539260864,0.8884643912315369,0.8387096524238586,0.52173912525177,0.8175161480903625,0.8471096754074097,0.8709945678710938,0.9115542769432068,0.7183823585510254,66,0.01,0.9454827308654784,1.0,0.1033402904868126,1.0,0.9066493511199952,1.0,0.8620689511299133,0.7755101919174194,0.8333333134651184,0.6666666865348816,0.8559077978134155,0.25,0.98305082321167,0.8888888955116272,0.8709945678710938,0.7137681245803833,0.8993215560913086,0.8965517282485962,0.9392789602279664,0.5333333611488342,0.9333333373069764,1.0,0.0987049713730812,0.9425837397575378
