name,instance,run_id,test/macro_example/precision,test_pretraining/micro/precision,test_pretraining/macro_types/recall,test_pretraining/macro_example/precision,test_incremental_computer-programming_language/macro_types/recall,test_pretraining/micro/recall,test_pretraining/macro_types/precision,epoch,test_pretraining/macro_example/recall,test_incremental/macro_example/precision,test_incremental/macro_example_exclusive/f1,test_incremental_computer-programming_language/macro_types/precision,test/micro/f1,test/micro/recall,test/macro_example/f1,test/macro_types/precision,test_incremental_only/macro_types/recall,threshold_pretraining,test_incremental/macro_types/f1,test_incremental_computer/macro_types/precision,test_incremental_only/macro_example_exclusive/precision,test_incremental/micro/f1,test_pretraining/macro_example/f1,test_incremental_only/micro/recall,test_incremental/macro_types/precision,test_incremental/macro_example_exclusive/precision,test_incremental/macro_types/recall,test_incremental_only/macro_example_exclusive/recall,test/micro/precision,test_pretraining/micro/f1,test_incremental_only/macro_types/precision,test_incremental_computer-algorithm/macro_types/f1,test/macro_types/f1,test/macro_example/recall,test_incremental/macro_example/f1,test_incremental/micro/precision,test_incremental_only/micro/precision,test_incremental_only/macro_example/recall,test/macro_types/recall,test_incremental_computer/macro_types/f1,threshold_incremental,test_incremental_only/micro/f1,test_incremental_computer-algorithm/macro_types/recall,test_incremental_computer-algorithm/macro_types/precision,test_pretraining/macro_types/f1,test_incremental_only/macro_types/f1,test_incremental_only/macro_example/f1,test_incremental/macro_example_exclusive/recall,test_incremental_computer/macro_types/recall,test_incremental_only/macro_example/precision,test_incremental_only/macro_example_exclusive/f1,test_incremental_computer-programming_language/macro_types/f1,test_incremental/micro/recall,test_incremental/macro_example/recall
no_init_box_kenn_hybrid_adapter_bert_ms,2,rlowymm4,0.9227209687232972,0.9035874605178832,0.8110072612762451,0.9227209687232972,0.6000000238418579,0.8779956698417664,0.8870995044708252,45,0.9044479131698608,0.01844119653105736,0.8160744905471802,0.6206896305084229,0.8906077742576599,0.8779956698417664,0.913493037223816,0.8870995044708252,0.6833333373069763,0.25,0.7945959568023682,0.9803921580314636,0.6833333969116211,0.8161434531211853,0.913493037223816,0.6833333373069763,0.8670272827148438,0.8833333849906921,0.7333333492279053,0.6833333969116211,0.9035874605178832,0.8906077742576599,0.8103448152542114,0.8679245114326477,0.8473485708236694,0.9044479131698608,0.0170370452105999,0.8834951519966125,0.7884615659713745,0.014265832491219044,0.8110072612762451,0.900900900363922,0.01,0.7321428656578064,0.7666666507720947,1.0,0.8473485708236694,0.7414390444755554,0.014265832491219044,0.7583334445953369,0.8333333134651184,0.014265832491219044,0.6833333969116211,0.6101694703102112,0.7583333253860474,0.015831593424081802
no_init_box_kenn_top_down_adapter_bert_ms,2,tcel66fu,0.9228949546813964,0.9037469029426576,0.809700071811676,0.9228949546813964,0.5666666626930237,0.8775599002838135,0.8872747421264648,47,0.9041000604629515,0.01844119653105736,0.80632483959198,0.6296296119689941,0.8904609084129333,0.8775599002838135,0.9134008288383484,0.8872747421264648,0.6499999761581421,0.25,0.7825750112533569,0.9803921580314636,0.6500000357627869,0.8090909123420715,0.9134008288383484,0.6499999761581421,0.8700072765350342,0.8833333849906921,0.7111111879348755,0.6500000357627869,0.9037469029426576,0.8904609084129333,0.8148148059844971,0.8461538553237915,0.8467143177986145,0.9041000604629515,0.016833502799272537,0.8899999856948853,0.795918345451355,0.013569938018918036,0.809700071811676,0.900900900363922,0.1,0.7155963182449341,0.7333333492279053,1.0,0.8467143177986145,0.723135232925415,0.013569938018918036,0.7416666746139526,0.8333333134651184,0.013569938018918036,0.6500000357627869,0.596491277217865,0.7416666746139526,0.015483645722270012
no_init_box_kenn_bottom_up_adapter_bert_ms,2,0gw2pg0q,0.9228949546813964,0.9037684798240662,0.810353696346283,0.9228949546813964,0.5666666626930237,0.8777777552604675,0.8872747421264648,45,0.9042739868164062,0.01844119653105736,0.8112245202064514,0.6296296119689941,0.8905835151672363,0.8777777552604675,0.913489580154419,0.8872747421264648,0.6666666269302368,0.25,0.7892563343048096,0.9803921580314636,0.6666667461395264,0.814479649066925,0.913489580154419,0.6666666865348816,0.8700072765350342,0.8833333849906921,0.7222222685813904,0.6666667461395264,0.9037684798240662,0.8905835151672363,0.8148148059844971,0.8679245114326477,0.8470715284347534,0.9042739868164062,0.016935791820287704,0.8910890817642212,0.800000011920929,0.013917884789407252,0.810353696346283,0.900900900363922,0.01,0.7272727489471436,0.7666666507720947,1.0,0.8470715284347534,0.7333333492279053,0.013917884789407252,0.7500000596046448,0.8333333134651184,0.013917884789407252,0.6666667461395264,0.596491277217865,0.75,0.015657620504498482
no_init_box_kenn_hybrid_adapter_bert_ms,1,x0s9rg5i,0.9234748482704164,0.9043771028518676,0.810353696346283,0.9234748482704164,0.6000000238418579,0.8777777552604675,0.8890467882156372,40,0.9042739868164062,0.01844119653105736,0.8112245202064514,0.7200000286102295,0.8908789157867432,0.8777777552604675,0.9137735962867736,0.8890467882156372,0.6666666865348816,0.25,0.8014217615127563,0.9803921580314636,0.6666667461395264,0.8256880044937134,0.9137735962867736,0.6666666865348816,0.9001307487487793,0.8833333849906921,0.7222223281860352,0.6666667461395264,0.9043771028518676,0.8908789157867432,0.8600000143051147,0.8461538553237915,0.8478782773017883,0.9042739868164062,0.016935791820287704,0.918367326259613,0.8510638475418091,0.013917884789407252,0.810353696346283,0.900900900363922,0.01,0.7476635575294495,0.7333333492279053,1.0,0.8478782773017883,0.7510917782783508,0.013917884789407252,0.7500000596046448,0.8333333134651184,0.013917884789407252,0.6666667461395264,0.6545454859733582,0.75,0.015657618641853333
no_init_box_kenn_top_down_adapter_bert_ms,1,khnx6ruw,0.9224309921264648,0.9030452370643616,0.8129680752754211,0.9224309921264648,0.699999988079071,0.8786492347717285,0.8866938352584839,40,0.9048538208007812,0.01913709193468094,0.8447713851928711,0.6000000238418579,0.8906802535057068,0.8786492347717285,0.9135578274726868,0.8866938352584839,0.7333333492279053,0.25,0.8107139468193054,0.9803921580314636,0.7333333492279053,0.8209607005119324,0.9135578274726868,0.7333333492279053,0.860130786895752,0.9166667461395264,0.7666667103767395,0.7333333492279053,0.9030452370643616,0.8906802535057068,0.800000011920929,0.8679245114326477,0.8482319712638855,0.9048538208007812,0.017636142671108246,0.8623853325843811,0.7586206793785095,0.015309672802686691,0.8129680752754211,0.900900900363922,0.02,0.7457627058029175,0.7666666507720947,1.0,0.8482319712638855,0.7652174830436707,0.015309672802686691,0.783333420753479,0.8333333134651184,0.015309672802686691,0.7333333492279053,0.6461538672447205,0.7833333611488342,0.016353514045476913
no_init_box_kenn_bottom_up_adapter_bert_ms,1,atwmx5d9,0.9237067699432372,0.9047619104385376,0.809700071811676,0.9237067699432372,0.6000000238418579,0.8775599002838135,0.8902744054794312,39,0.9041000604629515,0.01844119653105736,0.80632483959198,0.782608687877655,0.8909533023834229,0.8775599002838135,0.9137982726097108,0.8902744054794312,0.6499999761581421,0.25,0.8025599122047424,0.9803921580314636,0.6500000953674316,0.8279070258140564,0.9137982726097108,0.6499999761581421,0.921000361442566,0.8833333849906921,0.7111111283302307,0.6500000953674316,0.9047619104385376,0.8909533023834229,0.8913043737411499,0.8235293626785278,0.8480777144432068,0.9041000604629515,0.016833502799272537,0.9368420839309692,0.8863636255264282,0.013569938018918036,0.809700071811676,0.900900900363922,0.01,0.75,0.699999988079071,1.0,0.8480777144432068,0.7517630457878113,0.013569938018918036,0.7416667342185974,0.8333333134651184,0.013569938018918036,0.6500000953674316,0.6792453527450562,0.7416666746139526,0.015483645722270012
no_init_box_kenn_hybrid_adapter_bert_ms,0,6l5ig7pf,0.9245187044143676,0.9058427214622498,0.811660885810852,0.9245187044143676,0.800000011920929,0.8782135248184204,0.8945369720458984,45,0.9043899774551392,0.018789144232869148,0.828000009059906,1.0,0.8918142318725586,0.8782135248184204,0.914343535900116,0.8945369720458984,0.7000000476837158,0.25,0.8511136770248413,0.9803921580314636,0.7000000476837158,0.8638497591018677,0.914343535900116,0.699999988079071,0.9934641122817992,0.8999999761581421,0.7444444894790649,0.7000000476837158,0.9058427214622498,0.8918142318725586,1.0,0.75,0.8510861396789551,0.9043899774551392,0.017286013811826706,0.9892473220825196,1.0,0.01461377926170826,0.811660885810852,0.900900900363922,0.02,0.8235293626785278,0.6000000238418579,1.0,0.8510861396789551,0.8235294222831726,0.01461377926170826,0.7666667699813843,0.8333333134651184,0.01461377926170826,0.7000000476837158,0.888888955116272,0.7666666507720947,0.016005568206310272
no_init_box_kenn_top_down_adapter_bert_ms,0,k4d35gbi,0.924170732498169,0.905338704586029,0.8149288296699524,0.924170732498169,0.8333333134651184,0.8793028593063354,0.892436146736145,36,0.9052597880363464,0.018789144232869148,0.8517073392868042,0.8928571343421936,0.8921309113502502,0.8793028593063354,0.9146174788475036,0.892436146736145,0.7833333015441895,0.25,0.8717963099479675,0.9803921580314636,0.783333420753479,0.877828061580658,0.9146174788475036,0.7833333611488342,0.9577497839927672,0.8999999761581421,0.8000000715255737,0.783333420753479,0.905338704586029,0.8921309113502502,0.9464285373687744,0.8461538553237915,0.8519232273101807,0.9052597880363464,0.01778094470500946,0.9603960514068604,0.9399999976158142,0.016353514045476913,0.8149288296699524,0.900900900363922,0.02,0.8545454740524292,0.7333333492279053,1.0,0.8519232273101807,0.8571919798851013,0.016353514045476913,0.8083333969116211,0.8333333134651184,0.016353514045476913,0.7833333611488342,0.8620689511299133,0.8083333373069763,0.016875434666872025
no_init_box_kenn_bottom_up_adapter_bert_ms,0,34u8epom,0.9245187044143676,0.9058215618133544,0.8110072612762451,0.9245187044143676,0.7333333492279053,0.8779956698417664,0.8945369720458984,36,0.9043899774551392,0.018093250691890717,0.8088889718055725,1.0,0.8916915655136108,0.8779956698417664,0.914343535900116,0.8945369720458984,0.6833333373069763,0.25,0.8438052535057068,0.9803921580314636,0.6833333969116211,0.8584906458854675,0.914343535900116,0.6833333373069763,0.9934641122817992,0.8666666746139526,0.73333340883255,0.6833333969116211,0.9058215618133544,0.8916915655136108,1.0,0.7755101919174194,0.8507266640663147,0.9043899774551392,0.016887033358216286,0.989130437374115,1.0,0.014265831559896467,0.8110072612762451,0.900900900363922,0.01,0.8118811845779419,0.6333333253860474,1.0,0.8507266640663147,0.8118811845779419,0.014265831559896467,0.7583333849906921,0.8333333134651184,0.014265831559896467,0.6833333969116211,0.8461538553237915,0.7583333253860474,0.015831593424081802
no_init_box_kenn_horizontal_adapter_bert_ms,2,nt49z68t,0.9245187044143676,0.9054176211357116,0.7985889911651611,0.9245187044143676,0.0,0.8738561868667603,0.8749290704727173,28,0.901780366897583,0.017397355288267136,0.6976744532585144,0.0,0.8893570303916931,0.8738561868667603,0.9130079746246338,0.8749290704727173,0.36666667461395264,0.25,0.5831337571144104,0.9803921580314636,0.366666704416275,0.7461140155792236,0.9130079746246338,0.36666667461395264,0.6601307392120361,0.8333333730697632,0.5222222805023193,0.366666704416275,0.9054176211357116,0.8893570303916931,0.5,0.8461538553237915,0.8350178599357605,0.901780366897583,0.01456522848457098,0.9863013625144958,1.0,0.007654836867004633,0.7985889911651611,0.900900900363922,0.01,0.5365853905677795,0.7333333492279053,1.0,0.8350178599357605,0.42307692766189575,0.007654836867004633,0.6000000238418579,0.8333333134651184,0.007654836867004633,0.366666704416275,0.0,0.6000000238418579,0.012526096776127815
