name,test_incremental_only/macro_example/precision/mean,test/micro/f1/mean,test/macro_types/precision/mean,test_incremental/macro_example/f1/mean,test_pretraining/macro_example/f1/mean,test_pretraining/macro_example/precision/mean,test_incremental_only/macro_example/recall/mean,epoch/mean,test_incremental/macro_types/recall/mean,test_incremental/macro_example/recall/mean,test_incremental_only/micro/recall/mean,test_incremental_only/macro_example/f1/mean,test_incremental_computer/macro_types/precision/mean,test_pretraining/macro_types/recall/mean,test/macro_example/recall/mean,test_incremental/macro_types/precision/mean,test/micro/recall/mean,test_incremental_computer-algorithm/macro_types/recall/mean,test_incremental_only/macro_types/precision/mean,test_incremental_only/macro_types/f1/mean,test_incremental/macro_example/precision/mean,test_incremental_only/macro_example_exclusive/recall/mean,test_incremental_computer-programming_language/macro_types/precision/mean,test/macro_example/f1/mean,test_incremental_only/micro/f1/mean,test_incremental_computer/macro_types/f1/mean,test_incremental_only/macro_example_exclusive/precision/mean,threshold_incremental/mean,test_incremental_only/macro_example_exclusive/f1/mean,test_incremental/macro_example_exclusive/precision/mean,test_incremental_computer-programming_language/macro_types/f1/mean,test/micro/precision/mean,test/macro_example/precision/mean,test/macro_types/recall/mean,test_pretraining/micro/precision/mean,test_pretraining/macro_example/recall/mean,test_incremental/micro/f1/mean,test_pretraining/macro_types/f1/mean,test_incremental_computer-programming_language/macro_types/recall/mean,test/macro_types/f1/mean,test_pretraining/micro/recall/mean,test_pretraining/macro_types/precision/mean,test_incremental_computer/macro_types/recall/mean,test_incremental/macro_example_exclusive/recall/mean,test_incremental/macro_types/f1/mean,test_incremental/micro/precision/mean,test_incremental_only/micro/precision/mean,threshold_pretraining/mean,test_incremental_only/macro_types/recall/mean,test_incremental_computer-algorithm/macro_types/precision/mean,test_incremental/micro/recall/mean,test_incremental/macro_example_exclusive/f1/mean,test_incremental_computer-algorithm/macro_types/f1/mean,test_pretraining/micro/f1/mean,test_incremental_only/macro_example/precision/std,test/micro/f1/std,test/macro_types/precision/std,test_incremental/macro_example/f1/std,test_pretraining/macro_example/f1/std,test_pretraining/macro_example/precision/std,test_incremental_only/macro_example/recall/std,epoch/std,test_incremental/macro_types/recall/std,test_incremental/macro_example/recall/std,test_incremental_only/micro/recall/std,test_incremental_only/macro_example/f1/std,test_incremental_computer/macro_types/precision/std,test_pretraining/macro_types/recall/std,test/macro_example/recall/std,test_incremental/macro_types/precision/std,test/micro/recall/std,test_incremental_computer-algorithm/macro_types/recall/std,test_incremental_only/macro_types/precision/std,test_incremental_only/macro_types/f1/std,test_incremental/macro_example/precision/std,test_incremental_only/macro_example_exclusive/recall/std,test_incremental_computer-programming_language/macro_types/precision/std,test/macro_example/f1/std,test_incremental_only/micro/f1/std,test_incremental_computer/macro_types/f1/std,test_incremental_only/macro_example_exclusive/precision/std,threshold_incremental/std,test_incremental_only/macro_example_exclusive/f1/std,test_incremental/macro_example_exclusive/precision/std,test_incremental_computer-programming_language/macro_types/f1/std,test/micro/precision/std,test/macro_example/precision/std,test/macro_types/recall/std,test_pretraining/micro/precision/std,test_pretraining/macro_example/recall/std,test_incremental/micro/f1/std,test_pretraining/macro_types/f1/std,test_incremental_computer-programming_language/macro_types/recall/std,test/macro_types/f1/std,test_pretraining/micro/recall/std,test_pretraining/macro_types/precision/std,test_incremental_computer/macro_types/recall/std,test_incremental/macro_example_exclusive/recall/std,test_incremental/macro_types/f1/std,test_incremental/micro/precision/std,test_incremental_only/micro/precision/std,threshold_pretraining/std,test_incremental_only/macro_types/recall/std,test_incremental_computer-algorithm/macro_types/precision/std,test_incremental/micro/recall/std,test_incremental/macro_example_exclusive/f1/std,test_incremental_computer-algorithm/macro_types/f1/std,test_pretraining/micro/f1/std
no_init_box_adapter_bert_ms,0.018209232638279598,0.891634484132131,0.8877560695012411,0.01871110126376152,0.9140730102856954,0.9222570061683655,0.018209232638279598,39.0,0.8592592676480612,0.017803293963273365,0.8722222248713175,0.018209232638279598,0.9803921580314636,0.8184146881103516,0.9060329993565878,0.8781892458597819,0.880464772383372,0.8222222129503886,0.8270877401034037,0.8490139245986938,0.019717002908388775,0.8722222646077474,0.6541754802068075,0.9140730102856954,0.8242083390553793,0.900900900363922,0.8722222646077474,0.03,0.8722222646077474,0.944444477558136,0.7651028831799825,0.903091311454773,0.9222570061683655,0.8184146881103516,0.903091311454773,0.9060329993565878,0.8599626819292704,0.8516762256622314,0.9222222169240316,0.8516762256622314,0.880464772383372,0.8877560695012411,0.8333333134651184,0.8527777989705404,0.8686030109723409,0.8673331538836161,0.7813725670178732,0.25,0.8722222248713175,1.0,0.8527777989705404,0.8962617516517639,0.9023569424947103,0.891634484132131,0.00020088662390627305,0.0001534693367097013,0.00038222837880953916,0.00012773788253874543,0.0001088560058882356,0.000173985958099393,0.00020088662390627305,11.135528725660043,0.006415002608701102,0.00010044331195313502,0.009622495309758367,0.00020088662390627305,0.0,0.00037733588824655093,8.858931364986997e-05,0.006497854800424734,0.000125813042173215,0.019244990619516733,0.009746772988837265,0.0063646131104625435,0.00020088769930494863,0.009622512516183387,0.019493582420594718,0.0001088560058882356,0.010323158970043315,0.0,0.009622512516183387,0.02,0.009622512516183387,0.009622529722516057,0.007541722191038507,0.00030620430618225227,0.000173985958099393,0.00037733588824655093,0.00030620430618225227,8.858931364986997e-05,0.005684964486860604,0.0002510617543648342,0.01924502503227456,0.0002510617543648342,0.000125813042173215,0.00038222837880953916,0.0,0.004811247654879195,0.0042365098762474716,0.011191263943669254,0.017728568040854133,0.0,0.009622495309758367,0.0,0.004811247654879195,0.006118631370474954,0.01166361920757578,0.0001534693367097013
no_init_box_kenn_bottom_up_adapter_bert_ms,0.01716539077460766,0.8917923172314962,0.8893588582674662,0.018213064099351566,0.9142646392186483,0.9230689207712809,0.01716539077460766,40.333333333333336,0.8259259661038717,0.01728137396275997,0.8222222328186035,0.01716539077460766,0.9803921580314636,0.8164538939793905,0.9056270718574524,0.9054365158081055,0.87981116771698,0.799999992052714,0.8679586052894592,0.8430182536443075,0.019253073260188103,0.8222222526868185,0.7359172304471334,0.9142646392186483,0.8308460513750712,0.900900900363922,0.8222222526868185,0.013333333333333334,0.8222222725550333,0.9222222367922465,0.7823998133341471,0.904105007648468,0.9230689207712809,0.8164538939793905,0.904105007648468,0.9056270718574524,0.8648800849914551,0.8513461947441101,0.8444444338480631,0.8513461947441101,0.87981116771698,0.8893588582674662,0.8333333134651184,0.8277778228123983,0.8632168769836426,0.9066641132036845,0.8435288071632385,0.25,0.8222222328186035,1.0,0.8277777830759684,0.8724057475725809,0.8886348009109497,0.8917923172314962,0.0013173076725017292,0.00023684711179289346,0.0009217450946082308,0.0005452463343172413,0.00013097582383068648,0.0005315033650196277,0.0013173076725017292,14.294521094927713,0.04206596162381078,0.0006586529752679269,0.0630989896667781,0.0013173076725017292,0.0,0.0024744802157914618,0.000526168410652108,0.015669919350604185,0.0008248197414020209,0.03333333134651628,0.02350484353377741,0.025649916350244713,0.00040177432321121943,0.06309895555545132,0.047009683144894836,0.00013097582383068648,0.020868822114219414,0.0,0.06309895555545132,0.005773502691896258,0.06309892144412488,0.0192449906195168,0.023675387737164655,0.0005472877353512313,0.0005315033650196277,0.0024744802157914618,0.0005472877353512313,0.000526168410652108,0.009941317031676168,0.0010090257863076143,0.09622502192309917,0.0010090257863076143,0.0008248197414020209,0.0009217450946082308,0.0,0.03154946072206243,0.01782661713853949,0.022967755806693566,0.03665294852461062,0.0,0.0630989896667781,0.0,0.031549481713659636,0.026117321643868895,0.020584389169241765,0.00023684711179289346
no_init_box_kenn_horizontal_adapter_bert_ms,0.007422871887683868,0.8892747163772583,0.8749290704727173,0.014476073905825615,0.9129484097162882,0.9245187044143676,0.007422871887683868,17.666666666666668,0.5148148437341055,0.012410113277534643,0.3555555542310079,0.007422871887683868,0.9803921580314636,0.7981532216072083,0.9016643563906351,0.6601307392120361,0.8737109700838724,0.7111111084620158,0.5,0.4121112823486328,0.017397355288267136,0.35555558403333026,0.0,0.9129484097162882,0.5211682816346487,0.900900900363922,0.35555558403333026,0.02666666666666667,0.35555558403333026,0.8333333730697632,0.0,0.9054033160209656,0.9245187044143676,0.7981532216072083,0.9054033160209656,0.9016643563906351,0.7412552634874979,0.8347774744033813,0.0,0.8347774744033813,0.8737109700838724,0.8749290704727173,0.8333333134651184,0.5944444934527079,0.5774763623873392,0.98613440990448,1.0,0.25,0.3555555542310079,1.0,0.5944444537162781,0.6934039990107218,0.8242225646972656,0.8892747163772583,0.0016443338616524096,0.0005821643569133295,0.0,0.0005677690675742098,0.0004214824158170281,0.0,0.0016443338616524096,0.5773502691896263,0.05250905938413387,0.0008221665695290212,0.07876358066782582,0.0016443338616524096,0.0,0.003088785015818794,0.0008221582926637015,0.0,0.0010296097200314088,0.15752716133565164,0.0,0.056615840710638014,0.0,0.07876360273981221,0.0,0.0004214824158170281,0.08835534192116887,0.0,0.07876360273981221,0.02081665999466133,0.0787636090460921,0.0,0.0,0.00010097617928093544,0.0,0.003088785015818794,0.00010097617928093544,0.0008221582926637015,0.03128795398397699,0.0016908593700559007,0.0,0.0016908593700559007,0.0010296097200314088,0.0,0.0,0.039381782451069595,0.03390916702272928,0.0009348520424382995,0.0,0.0,0.07876358066782582,0.0,0.03938179296153076,0.027196192495632876,0.11323168142127603,0.0005821643569133295
no_init_box_kenn_hybrid_adapter_bert_ms,0.017281373341878254,0.891800324122111,0.8892816503842672,0.01824573116997878,0.9142558773358663,0.9230109254519144,0.017281373341878254,34.666666666666664,0.82962965965271,0.017339365556836128,0.8277777830759684,0.017281373341878254,0.9803921580314636,0.8166717688242594,0.9056657354036967,0.9041238029797872,0.8798837860425314,0.799999992052714,0.8659895658493042,0.8451791008313497,0.019253073260188103,0.8277778029441833,0.7319791515668234,0.9142558773358663,0.8320750991503397,0.900900900363922,0.8277778029441833,0.013333333333333334,0.8277778029441833,0.9222222367922465,0.7854624390602112,0.9040447076161703,0.9230109254519144,0.8166717688242594,0.9040447076161703,0.9056657354036967,0.8653430938720703,0.8514295220375061,0.855555534362793,0.8514295220375061,0.8798837860425314,0.8892816503842672,0.8333333134651184,0.8305555979410807,0.8647174835205078,0.9042468667030334,0.839845339457194,0.25,0.8277777830759684,1.0,0.8305555582046509,0.8739705284436544,0.8886348009109497,0.891800324122111,0.001118494310810846,0.00013397195517161954,0.0010531951937101558,0.0004889090963917179,9.598188218858316e-05,0.0005592526118423717,0.001118494310810846,5.859465277082315,0.035717216731092,0.0005592457550874846,0.05357585445502394,0.001118494310810846,0.0,0.0021010069318065793,0.00046025599161748237,0.017904406338028766,0.0007003397644113461,0.03333333134651628,0.02685663746984287,0.01737640139132323,0.00040177432321121943,0.05357582046109755,0.0537132630367468,9.598188218858316e-05,0.01229272167144104,0.0,0.05357582046109755,0.005773502691896258,0.05357582046109755,0.0192449906195168,0.007639083461703611,0.0005856391709494594,0.0005592526118423717,0.0021010069318065793,0.0005856391709494594,0.00046025599161748237,0.00570060732295644,0.0007034017770412601,0.07698003130358241,0.0007034017770412601,0.0007003397644113461,0.0010531951937101558,0.0,0.026787893233585863,0.012389658814458021,0.02446491421714481,0.03957593105407554,0.0,0.05357585445502394,0.0,0.02678791486609732,0.02341871968641338,0.020584389169241765,0.00013397195517161954
no_init_box_kenn_top_down_adapter_bert_ms,0.018325215205550194,0.8917408386866251,0.8880400856335958,0.018742964913447697,0.9141689737637838,0.9223923285802206,0.018325215205550194,39.666666666666664,0.8629629810651144,0.017861285557349522,0.8777777751286825,0.018325215205550194,0.9803921580314636,0.8186325629552206,0.9060909946759542,0.8830175399780273,0.8805373907089233,0.8222222129503886,0.834330141544342,0.8553304672241211,0.019717002908388775,0.8777778347333273,0.6686602830886841,0.9141689737637838,0.8317459225654602,0.900900900363922,0.8777778347333273,0.036666666666666674,0.8777778347333273,0.944444477558136,0.7782193620999655,0.9032332301139832,0.9223923285802206,0.8186325629552206,0.9032332301139832,0.9060909946759542,0.8640060226122538,0.8519247174263,0.9333333174387614,0.8519247174263,0.8805373907089233,0.8880400856335958,0.8333333134651184,0.8555555740992228,0.872799833615621,0.8728487888971964,0.7909038066864014,0.25,0.8777777751286825,1.0,0.8555555740992228,0.8977879881858826,0.9023569424947103,0.8917408386866251,0.00040177432321121943,0.0002522645553053669,0.0007450280286776703,0.00017464707073661654,0.00019532631558477484,0.0003543572545998735,0.00040177432321121943,11.590225767142472,0.012830022423677208,0.00020088769930494863,0.019244990619516757,0.00040177432321121943,0.0,0.0007547061892508159,0.0001864288685808058,0.012665383600559306,0.00025159167158874,0.019244990619516733,0.018998035057422088,0.011842835847802782,0.00020088769930494863,0.01924504223867639,0.03799611045823571,0.00019532631558477484,0.01717866176108354,0.0,0.01924504223867639,0.025166114784235832,0.01924504223867639,0.009622529722516057,0.01929197745831972,0.0005266221281219651,0.0003543572545998735,0.0007547061892508159,0.0005266221281219651,0.0001864288685808058,0.009405727516531806,0.0004724699578647848,0.03333333134651628,0.0004724699578647848,0.00025159167158874,0.0007450280286776703,0.0,0.009622495309758367,0.007920048208695385,0.019544574034817533,0.031184199190516702,0.0,0.019244990619516757,0.0,0.009622495309758367,0.008365534997311224,0.01166361920757578,0.0002522645553053669
no_init_kenn_bottom_up_adapter_bert_ms,0.0193690558274587,0.9032293955485026,0.895564595858256,0.019835634777943294,0.9190559784571329,0.9238962531089783,0.019601020341118176,60.666666666666664,0.9370370705922445,0.019543029988805454,0.9388888875643412,0.01948402946194013,0.9824561476707458,0.8645736972490946,0.914271612962087,0.7820222576459249,0.8994190096855164,0.9333333373069763,0.6818052927652994,0.7780884703000387,0.020142272114753723,0.9388889273007711,0.538376142581304,0.9190559784571329,0.7424596349398295,0.9572649598121644,0.9277778267860413,0.39999999999999997,0.9332850575447083,0.9648148616154989,0.6641942461331686,0.9070868492126465,0.9238962531089783,0.8645736972490946,0.9070868492126465,0.914271612962087,0.8312241435050964,0.8797818620999655,0.9444444179534912,0.8797818620999655,0.8994190096855164,0.895564595858256,0.9333333373069764,0.9361111720403036,0.8478497465451559,0.7582589983940125,0.6368994812170664,0.375,0.9388888875643412,0.8252344528834025,0.9361111124356588,0.9501269857088724,0.8643483718236288,0.9032293955485026,0.0008756481934172519,0.002627479969276791,0.006928046849908715,0.0003002451808206906,0.001554067259456143,0.0035036170075592376,0.001062995958544464,35.23256069793017,0.03394496410417144,0.0005314988938128175,0.05091751769361265,0.0009678383863347478,0.0,0.001996764889678889,0.0005315033650195096,0.117777261693364,0.0006655904644549163,0.06666666269302368,0.17666588437616138,0.09258604595575153,0.0001771672463500933,0.05091749168001298,0.22350048244621584,0.001554067259456143,0.12712593742475667,0.0,0.04194351621924533,0.468081189538738,0.04635942370160565,0.008486241026042911,0.17191527457796388,0.005784106618982141,0.0035036170075592376,0.001996764889678889,0.005784106618982141,0.0005315033650195096,0.08153268868726854,0.0023922693674073552,0.03849001565179121,0.0023922693674073552,0.0006655904644549163,0.006928046849908715,0.0,0.025458729581506082,0.05324070955099925,0.15104605053359346,0.20894698389757807,0.0,0.05091751769361265,0.17391930020159252,0.025458729581506082,0.014381740806630034,0.07015798642569743,0.002627479969276791
no_init_kenn_horizontal_adapter_bert_ms,0.019543029367923737,0.9027877251307169,0.8955456614494324,0.019961136703689892,0.9188207586606344,0.9233066638310751,0.019832984854777653,57.666666666666664,0.944444497426351,0.01965901255607605,0.950000007947286,0.019686391577124596,0.9824561476707458,0.8650094270706177,0.9143876036008199,0.7817008097966512,0.899564246336619,0.9444444378217062,0.6813231110572815,0.7818423906962076,0.020277585213383038,0.9500000278155009,0.4996776382128398,0.9188207586606344,0.7320429484049479,0.9572649598121644,0.9361111521720886,0.38999999999999996,0.9429782032966614,0.9712963501612345,0.6308126846949259,0.9060601592063904,0.9233066638310751,0.8650094270706177,0.9060601592063904,0.9143876036008199,0.8220975995063782,0.8799989620844523,0.9555555383364359,0.8799989620844523,0.899564246336619,0.8955456614494324,0.9333333373069764,0.9416667222976685,0.850843608379364,0.7437395254770914,0.6212980449199677,0.375,0.950000007947286,0.8629685640335083,0.9416666626930237,0.9561384916305542,0.8967868089675903,0.9027877251307169,0.0009581719608246817,0.0036019642471144422,0.006584397375806908,0.00035367367288549053,0.0021098411393270697,0.004676394603131828,0.0012053240450323325,36.77408507812714,0.03848998123903345,0.0006026630979148466,0.05773504068406561,0.0010792854607647982,0.0,0.002264118567752424,0.0006026706257054745,0.11193454636158189,0.0007547061892508159,0.06938885774078345,0.1679017599627405,0.09890291705325968,8.858281025285473e-05,0.0577350062713079,0.22608621988029817,0.0021098411393270697,0.146385788479068,0.0,0.04589641172779961,0.47947888378947406,0.05169775072020213,0.004243130268356885,0.1864719330652282,0.007781732153898494,0.004676394603131828,0.002264118567752424,0.007781732153898494,0.0006026706257054745,0.10069670806312676,0.0022677305931634653,0.050917517693612684,0.0022677305931634653,0.0007547061892508159,0.006584397375806908,0.0,0.028867485929275124,0.054664849344448575,0.1697159625206713,0.2136840906546271,0.0,0.05773504068406561,0.11096381775788036,0.028867485929275124,0.01694094706262838,0.05028348441678075,0.0036019642471144422
no_init_kenn_hybrid_adapter_bert_ms,0.019311064233382542,0.9031963348388672,0.8955956300099691,0.019816526522239048,0.9190560380617777,0.9238962531089783,0.019601020341118176,61.333333333333336,0.9370370904604594,0.019543029988805454,0.9388888875643412,0.019454409057895344,0.9824561476707458,0.8645736972490946,0.914271612962087,0.782550036907196,0.8994190096855164,0.9222222169240316,0.6825969616572062,0.7786113023757935,0.020103611052036285,0.9388889273007711,0.5378446280956268,0.9190560380617777,0.7406396071116129,0.9572649598121644,0.9250000516573588,0.4033333333333333,0.9318662683169047,0.9629630049069721,0.6658119559288025,0.9070199926694235,0.9238962531089783,0.8645736972490946,0.9070199926694235,0.914271612962087,0.8301081657409668,0.8797968029975891,0.9555555383364359,0.8797968029975891,0.8994190096855164,0.8955956300099691,0.9333333373069764,0.9361111720403036,0.8481552004814148,0.7564331491788229,0.6344577570756277,0.375,0.9388888875643412,0.8273492852846781,0.9361111124356588,0.9492116769154867,0.8595866759618124,0.9031963348388672,0.0007972469181004926,0.0025861832142389926,0.006904483030160676,0.000270500214937082,0.0015235861305496403,0.0034548005976149368,0.001062995958544464,35.11884584284246,0.033944970607543326,0.0005314988938128175,0.05091751769361265,0.0009284870360674935,0.0,0.001996764889678889,0.0005315033650195096,0.11737648978399928,0.0006655904644549163,0.06938886728516518,0.17606472798575842,0.09172880265906916,0.00013392584980241812,0.05091749168001298,0.2204898533202864,0.0015235861305496403,0.1261634874336664,0.0,0.03818812688926039,0.5000333322222963,0.04447453193397529,0.006415037021458816,0.16538624713003774,0.005726876327974041,0.0034548005976149368,0.001996764889678889,0.005726876327974041,0.0005315033650195096,0.08068490165371354,0.002347483940372527,0.050917517693612684,0.002347483940372527,0.0006655904644549163,0.006904483030160676,0.0,0.025458729581506082,0.05260571844025916,0.15070888107245015,0.20907027739251624,0.0,0.05091751769361265,0.18140795972703969,0.025458729581506082,0.012956954300917143,0.07532297269488888,0.0025861832142389926
no_init_kenn_top_down_adapter_bert_ms,0.01913709131379922,0.8275689880053202,0.8815311392148336,0.01985454497238,0.8648596604665121,0.8234025239944458,0.020064949989318848,64.66666666666667,0.9518519242604574,0.01977499450246493,0.9611111084620158,0.01958475634455681,0.9824561476707458,0.8654451370239258,0.914503594239553,0.5434539616107941,0.8997095227241516,0.9555555582046509,0.32395285616318387,0.3498976156115532,0.019948968663811684,0.9611111283302307,0.29078709830840427,0.8648596604665121,0.34550704061985016,0.9572649598121644,0.9166667262713114,0.33666666666666667,0.938109834988912,0.9555555979410807,0.34097619354724884,0.7719434897104899,0.8234025239944458,0.8654451370239258,0.7719434897104899,0.914503594239553,0.4012406865755717,0.873325785001119,0.9666666587193807,0.873325785001119,0.8997095227241516,0.8815311392148336,0.9333333373069764,0.9472222725550333,0.6510800917943319,0.3597264339526494,0.3174839975933234,0.375,0.9611111084620158,0.3571186152597268,0.9472222129503886,0.9510327180226644,0.3554553687572479,0.8275689880053202,0.0006272711234263338,0.06786871501399655,0.019078455672551155,0.0002676592777804264,0.04825770891098407,0.0902112853396043,0.001406211744337283,30.550504633038937,0.044905001054044213,0.0007031064098679816,0.06735753599382403,0.0009947174330250635,0.0,0.002641454455998975,0.0007031214654494702,0.32433380717444255,0.0008805192314240309,0.07698003130358241,0.486500695698482,0.46300209622706073,0.00023196451365947723,0.06735750158106633,0.416250537463187,0.04825770891098407,0.45945159843821165,0.0,0.030046265037229115,0.5571654452075553,0.04764690716029082,0.011111080646568102,0.42418219541788477,0.12239488051456139,0.0902112853396043,0.002641454455998975,0.12239488051456139,0.0007031214654494702,0.44577299029357537,0.007943572319052903,0.057735040684065646,0.007943572319052903,0.0008805192314240309,0.019078455672551155,0.0,0.033678733584154255,0.22327288581756471,0.4884427305155265,0.4774998211340566,0.0,0.06735753599382403,0.5567518063735456,0.03367873358415432,0.012820821079412532,0.4963338593073957,0.06786871501399655
smart_init_box_adapter_bert_ms,0.01855717971920967,0.8915592034657797,0.886132538318634,0.018643518909811974,0.9142375191052755,0.9221313993136088,0.019021109367410343,95.0,0.8851852416992188,0.018209232638279598,0.9111111164093018,0.01878022278348605,0.9803921580314636,0.8199397325515747,0.9064776301383972,0.850588838259379,0.8809731403986613,0.8888888955116272,0.7856871287027994,0.8434441288312277,0.019117760161558788,0.9111111760139465,0.6380409200986227,0.9142375191052755,0.82212366660436,0.900900900363922,0.888888955116272,0.55,0.8995727300643921,0.9157408078511556,0.7566759586334229,0.9024027784665426,0.9221313993136088,0.8199397325515747,0.9024027784665426,0.9064776301383972,0.8579443295796713,0.851751705010732,0.9333333174387614,0.851751705010732,0.8809731403986613,0.886132538318634,0.8333333134651184,0.8722222248713175,0.8674241503079733,0.8441442648569742,0.749014417330424,0.25,0.911111076672872,0.9333333373069763,0.8722222248713175,0.8930246432622274,0.9062271316846212,0.8915592034657797,0.001004437421126066,0.00021799012013679552,0.0017828786085916943,0.0005900801826986388,6.732165424076143e-05,0.00013702077655424624,0.00020088769930494863,45.50824101193101,0.0064150198150107205,0.00010044331195313502,0.009622529722516081,0.0006181155015235293,0.0,0.00037733588824655093,0.0,0.030309006755317225,0.000125778629415525,0.038490015651791276,0.04546354225378705,0.03061226941968084,0.0011189946145509226,0.009622529722516081,0.025681835967929466,6.732165424076143e-05,0.014335923220831763,0.0,0.048112545374307286,0.017320508075688787,0.029607704347531696,0.05359980689026586,0.005616685459185776,0.00031951233330473883,0.00013702077655424624,0.00037733588824655093,0.00031951233330473883,0.0,0.00796304674591457,0.0010270188956659925,0.05773500627130796,0.0010270188956659925,0.000125778629415525,0.0017828786085916943,0.0,0.004811247654879195,0.018940293366883822,0.01106619113090394,0.017501429425981395,0.0,0.009622495309758367,0.1154700469553736,0.004811247654879195,0.028264840070276437,0.03870151646065242,0.00021799012013679552
