name,test_pretraining/macro_example/f1/mean,test_incremental_only/macro_example/f1/mean,test/macro_types/recall/mean,test/macro_types/precision/mean,test_pretraining/macro_types/recall/mean,test/macro_example/recall/mean,test_incremental_only/macro_types/precision/mean,test_incremental_education-educational_degree/macro_types/precision/mean,test_pretraining/micro/recall/mean,test_incremental/macro_example/recall/mean,test_incremental_only/macro_example/precision/mean,test_incremental_only/micro/recall/mean,test_incremental/macro_types/precision/mean,test_pretraining/macro_example/precision/mean,test_incremental/macro_example/f1/mean,test_incremental/micro/f1/mean,test_incremental_only/macro_example/recall/mean,test_pretraining/macro_types/f1/mean,test_incremental_only/micro/precision/mean,test_incremental/macro_example_exclusive/f1/mean,test_incremental_education/macro_types/recall/mean,test_incremental_education/macro_types/precision/mean,epoch/mean,test_pretraining/micro/f1/mean,test_incremental/macro_example_exclusive/precision/mean,test_incremental_only/macro_example_exclusive/recall/mean,test_incremental/macro_types/f1/mean,test_pretraining/micro/precision/mean,test_pretraining/macro_types/precision/mean,test_incremental_only/macro_example_exclusive/precision/mean,test_incremental_education-department/macro_types/recall/mean,test_incremental_only/micro/f1/mean,test_incremental/micro/precision/mean,test/macro_example/f1/mean,threshold_pretraining/mean,test_incremental/micro/recall/mean,test_incremental_only/macro_types/recall/mean,test_incremental_education/macro_types/f1/mean,test/micro/recall/mean,test/micro/precision/mean,test_incremental_education-department/macro_types/f1/mean,test_incremental_education-educational_degree/macro_types/f1/mean,test_incremental_education-educational_degree/macro_types/recall/mean,test/macro_types/f1/mean,test_incremental/macro_types/recall/mean,test/macro_example/precision/mean,threshold_incremental/mean,test_incremental_only/macro_example_exclusive/f1/mean,test_incremental_only/macro_types/f1/mean,test_incremental/macro_example/precision/mean,test_incremental/macro_example_exclusive/recall/mean,test_pretraining/macro_example/recall/mean,test_incremental_education-department/macro_types/precision/mean,test/micro/f1/mean,test_pretraining/macro_example/f1/std,test_incremental_only/macro_example/f1/std,test/macro_types/recall/std,test/macro_types/precision/std,test_pretraining/macro_types/recall/std,test/macro_example/recall/std,test_incremental_only/macro_types/precision/std,test_incremental_education-educational_degree/macro_types/precision/std,test_pretraining/micro/recall/std,test_incremental/macro_example/recall/std,test_incremental_only/macro_example/precision/std,test_incremental_only/micro/recall/std,test_incremental/macro_types/precision/std,test_pretraining/macro_example/precision/std,test_incremental/macro_example/f1/std,test_incremental/micro/f1/std,test_incremental_only/macro_example/recall/std,test_pretraining/macro_types/f1/std,test_incremental_only/micro/precision/std,test_incremental/macro_example_exclusive/f1/std,test_incremental_education/macro_types/recall/std,test_incremental_education/macro_types/precision/std,epoch/std,test_pretraining/micro/f1/std,test_incremental/macro_example_exclusive/precision/std,test_incremental_only/macro_example_exclusive/recall/std,test_incremental/macro_types/f1/std,test_pretraining/micro/precision/std,test_pretraining/macro_types/precision/std,test_incremental_only/macro_example_exclusive/precision/std,test_incremental_education-department/macro_types/recall/std,test_incremental_only/micro/f1/std,test_incremental/micro/precision/std,test/macro_example/f1/std,threshold_pretraining/std,test_incremental/micro/recall/std,test_incremental_only/macro_types/recall/std,test_incremental_education/macro_types/f1/std,test/micro/recall/std,test/micro/precision/std,test_incremental_education-department/macro_types/f1/std,test_incremental_education-educational_degree/macro_types/f1/std,test_incremental_education-educational_degree/macro_types/recall/std,test/macro_types/f1/std,test_incremental/macro_types/recall/std,test/macro_example/precision/std,threshold_incremental/std,test_incremental_only/macro_example_exclusive/f1/std,test_incremental_only/macro_types/f1/std,test_incremental/macro_example/precision/std,test_incremental/macro_example_exclusive/recall/std,test_pretraining/macro_example/recall/std,test_incremental_education-department/macro_types/precision/std,test/micro/f1/std
no_init_box_adapter_bert_ms,0.9132408102353414,0.012559828038016954,0.8051081498463949,0.8848208586374918,0.8051081498463949,0.904561976591746,0.7522399226824442,1.0,0.8755526542663574,0.011308281371990839,0.01310600790505608,0.5458937287330627,0.8348266283671061,0.9220946232477824,0.013156860445936521,0.6011919180552164,0.012062166507045427,0.8430311481157938,0.663112610578537,0.6302136580149332,0.5333333611488342,1.0,51.0,0.8871638973553976,0.7555556098620096,0.5777778228123983,0.6318045655886332,0.8991186022758484,0.8848208586374918,0.6277778148651123,0.4333333323399226,0.5320422152678171,0.7471228440602621,0.9132408102353414,0.25,0.54005166888237,0.5329059759775797,0.6956522464752197,0.8755526542663574,0.8991186022758484,0.35389888286590576,0.7551771004994711,0.6324786444505056,0.8430311481157938,0.5330484708150228,0.9220946232477824,0.11,0.601615826288859,0.5786653757095337,0.015773603071769077,0.5416667362054189,0.904561976591746,0.5044798403978348,0.8871638973553976,0.0006662207932645904,0.004635199372695298,0.008048222099013956,0.008469977226661948,0.008048222099013956,0.0019410841372724738,0.21598367413785127,0.0,0.0031459667501068374,0.0022646276885712286,0.005034222936498601,0.20968634151042687,0.1439891069685093,0.002500166117164137,0.0022132154513843823,0.04532973264876791,0.0042768253216259045,0.0008985425531004624,0.3040451127234678,0.10601306271337747,0.0,0.0,8.888194417315589,0.0019271023636828275,0.09179280902585361,0.20485994480541078,0.07528878481280211,0.006261707874207661,0.008469977226661948,0.24113928161392134,0.17638341867253254,0.08391438176786709,0.23261884697207208,0.0006662207932645904,0.0,0.11215780257554828,0.20522967146821264,0.0,0.0031459667501068374,0.006261707874207661,0.04359022096278821,0.19919764540817178,0.24234952166659854,0.0008985425531004624,0.13681981006307745,0.002500166117164137,0.17320508075688773,0.2220260658462765,0.10677113944072034,0.0019163433016207627,0.10847570541832567,0.0019410841372724738,0.4319673568095636,0.0019271023636828275
no_init_box_kenn_bottom_up_adapter_bert_ms,0.9133789340655009,0.00868883744503061,0.798270563284556,0.8816038370132446,0.798270563284556,0.9030870993932089,0.6702059110005697,1.0,0.8729434013366699,0.009413902958234152,0.008930642933895191,0.3719806720813115,0.780137300491333,0.9239097833633423,0.01118783156077067,0.5839864412943522,0.008466713285694519,0.8378609418869019,0.8188728292783102,0.5358971655368805,0.5333333611488342,1.0,49.666666666666664,0.8880034883817037,0.6611111760139465,0.4055555860201518,0.5381743907928467,0.9036016662915548,0.8816038370132446,0.42777782678604126,0.25555556019147235,0.4741883873939514,0.8911173144976298,0.9133789340655009,0.25,0.44702842831611633,0.35854701697826385,0.6956522464752197,0.8729434013366699,0.9036016662915548,0.27566712101300556,0.6217024723688761,0.46153847376505536,0.8378609418869019,0.41680918137232464,0.9239097833633423,0.07666666666666666,0.4161953330039978,0.45384647448857623,0.013801901911695799,0.4509259760379791,0.9030870993932089,0.34041184186935425,0.8880034883817037,0.00036176954241176466,0.004047432076349041,0.007361062715379471,0.006335425946454487,0.007361062715379471,0.0014114675339709445,0.16155293244114277,0.0,0.0027360316137341354,0.0019787946802203396,0.004378238654147844,0.18236314364522133,0.10770197239122302,0.0007480812630335057,0.0021906843799726914,0.05573149388628276,0.0037488510029379746,0.0060554766811845625,0.18563730676728574,0.1049337552497227,0.0,0.0,8.504900548115383,0.000450811172713455,0.11824329299297222,0.17956996670434788,0.11898968840681412,0.002187907653010348,0.006335425946454487,0.20971766399191039,0.2364866314935902,0.12974120555948335,0.1245411870562112,0.00036176954241176466,0.0,0.09754309746561377,0.1877070896238467,0.0,0.0027360316137341354,0.002187907653010348,0.2387754537687368,0.13884253756200346,0.155968277859364,0.0060554766811845625,0.1251380739639287,0.0007480812630335057,0.11547005383792515,0.19387200243635258,0.1768408756670434,0.002468544695135606,0.0947842707800248,0.0014114675339709445,0.32310589277893526,0.000450811172713455
no_init_box_kenn_horizontal_adapter_bert_ms,0.9129108389218649,0.004316065460443497,0.7906788190205892,0.8814650376637777,0.7906788190205892,0.901590903600057,0.6666666666666666,1.0,0.8701167106628418,0.007248898347218831,0.004407330260922511,0.18357488016287485,0.7777777910232544,0.9245187044143676,0.008848337146143118,0.5139890611171722,0.004233356720457475,0.8335911234219869,1.0,0.4238353768984477,0.5333333611488342,1.0,68.66666666666667,0.8873201608657837,0.5444445212682089,0.2027777930100759,0.4187135497728984,0.9052178661028544,0.8814650376637777,0.21111113826433817,0.022222223381201427,0.30810435116291046,1.0,0.9129108389218649,0.25,0.34625322620073956,0.1649572675426801,0.6956522464752197,0.8701167106628418,0.9052178661028544,0.041666666666666664,0.46776729822158813,0.30769231418768567,0.8335911234219869,0.287749320268631,0.9245187044143676,0.18333333333333335,0.2067395548025767,0.262817124525706,0.01136627234518528,0.3472222586472829,0.901590903600057,0.3333333333333333,0.8873201608657837,0.0002384416772660529,0.0010957173647174704,0.001911389519641363,0.011320627251519833,0.001911389519641363,0.000465109771603401,0.28867513459481287,0.0,0.0007636162616890031,0.0005314980300801986,0.0012219500706958219,0.0508968807490778,0.19245007825895602,0.0,0.0004982839718749404,0.030141854347265764,0.000989255513493,0.005978055013533818,0.0,0.023867814506423186,0.0,0.0,26.350205565295564,0.0004332510872022158,0.019244990619516757,0.04738534379285978,0.059492925980457904,7.532858336659632e-05,0.011320627251519833,0.05853142887901701,0.03849001995338592,0.07326359362930651,0.0,0.0002384416772660529,0.0,0.027223908929541095,0.048740436539752234,0.0,0.0007636162616890031,7.532858336659632e-05,0.07216878364870323,0.08157559699385385,0.06783978161138289,0.005978055013533818,0.03249363698949385,0.0,0.19553345834749952,0.05248488288777116,0.08247603828926454,0.00040177432321121764,0.02545875884680634,0.000465109771603401,0.5773502691896258,0.0004332510872022158
no_init_box_kenn_hybrid_adapter_bert_ms,0.913353423277537,0.008425159845501184,0.7979353864987692,0.8827497561772665,0.7979353864987692,0.902971108754476,0.6994266907374064,1.0,0.8727984428405762,0.009278589549163977,0.008698678109794855,0.36231882870197296,0.7996178269386292,0.923979381720225,0.011082646126548449,0.581552783648173,0.008176757488399744,0.838184654712677,0.8493213852246603,0.5308588047822317,0.5333333611488342,1.0,50.333333333333336,0.8880195816357931,0.6611111760139465,0.3916666905085246,0.5353698333104452,0.903791586558024,0.8827497561772665,0.4166667064030965,0.25555556019147235,0.46664392948150635,0.9071770310401917,0.913353423277537,0.25,0.44186046719551086,0.3500000089406967,0.6956522464752197,0.8727984428405762,0.903791586558024,0.2856449484825134,0.5996300578117371,0.4444444576899211,0.838184654712677,0.4111111561457316,0.923979381720225,0.19000000000000003,0.4035651683807373,0.44718827803929645,0.013801901911695799,0.4444444676240285,0.902971108754476,0.39885340134302777,0.8880195816357931,0.0004038725286370078,0.004286311447387186,0.007751886067473693,0.008028945318864862,0.007751886067473693,0.0015386894017159983,0.20473749303586886,0.0,0.0029253256633117735,0.0020909018074863365,0.004681149624689195,0.19498005148598158,0.1364916930401202,0.0007882729805543792,0.002242511600763638,0.05876239259434505,0.003932726280754936,0.006297639513309759,0.19069901039824053,0.10741631755263643,0.0,0.0,9.073771725877465,0.000482813466708888,0.11824329299297222,0.18837757820947576,0.12109290637181412,0.002299391276675128,0.008028945318864862,0.22422710171282118,0.2364866314935902,0.13464127300432618,0.130554500315217,0.0004038725286370078,0.0,0.10429168021232056,0.19767301068753113,0.0,0.0029253256633117735,0.002299391276675128,0.2476009430065031,0.175908511991856,0.19415071816031132,0.006297639513309759,0.13178200052096586,0.0007882729805543792,0.30315012782448236,0.20531430815597948,0.17904359333680944,0.002468544695135606,0.10015420439224335,0.0015386894017159983,0.4094750165912074,0.000482813466708888
no_init_box_kenn_top_down_adapter_bert_ms,0.9131215214729309,0.011776996776461601,0.8035831054051717,0.8847263852755228,0.8035831054051717,0.9043841361999512,0.7498306234677633,1.0,0.8750452995300293,0.010921673228343328,0.01229413195202748,0.5120773067077001,0.8332204421361288,0.9220366477966309,0.012617987270156542,0.5832198262214661,0.011308281682431698,0.8421356479326884,0.6613636314868927,0.6044016281763712,0.5333333611488342,1.0,51.333333333333336,0.8868766824404398,0.7166667183240255,0.541666716337204,0.6041845977306366,0.8990683356920878,0.8847263852755228,0.5888889332612356,0.35555555547277135,0.4924619396527608,0.7462273637453715,0.9131215214729309,0.25,0.5219638148943583,0.494017094373703,0.6956522464752197,0.8750452995300293,0.8990683356920878,0.24235397825638452,0.7551771004994711,0.6324786444505056,0.8421356479326884,0.5071225464344025,0.9220366477966309,0.21666666666666667,0.5641181766986847,0.53168918689092,0.014961726342638334,0.5231482187906901,0.9043841361999512,0.4996612419684728,0.8868766824404398,0.0006404135314445888,0.005680621811971549,0.010116005526619782,0.00853637002393919,0.010116005526619782,0.0021837971658373156,0.2176768596748925,0.0,0.0038304442592277895,0.0027795464942342797,0.006129534049723044,0.25530842738180876,0.14511788746545515,0.0024101975226141882,0.0029376847246183665,0.058068579443583214,0.005274010650872105,0.0018093126344446448,0.3047743401391146,0.14071512827338153,0.0,0.0,9.291573243177568,0.0016936906246221898,0.1452966159538809,0.25262512365890116,0.11498324867797056,0.006197483390829275,0.00853637002393919,0.2936046848701127,0.2834966828590325,0.13046055838437173,0.23290106001837682,0.0006404135314445888,0.0,0.1365603091019191,0.2579579334898521,0.0,0.0038304442592277895,0.006197483390829275,0.1564835303702218,0.19919764540817178,0.24234952166659854,0.0018093126344446448,0.1719719556352157,0.0024101975226141882,0.35795716689756796,0.27210180408111584,0.17677511074505461,0.003033332398168403,0.13314031405818846,0.0021837971658373156,0.4353537272400126,0.0016936906246221898
no_init_kenn_bottom_up_adapter_bert_ms,0.8983104427655538,0.018529860923687618,0.8602331678072611,0.8824611107508341,0.8602331678072611,0.9150023261706034,0.3476664051413536,0.5137078911066055,0.8980213006337484,0.015928246080875397,0.018905126800139744,0.8405797084172567,0.5651109715302786,0.8838097254435221,0.017388482267657917,0.4807797422011693,0.018209232638279598,0.8711623946825663,0.3069315478205681,0.8329083720842997,0.6666666865348816,1.0,51.0,0.8718103170394897,0.9175926248232523,0.8722222646077474,0.6346261103947958,0.8501272996266683,0.8824611107508341,0.9055555860201517,0.7333333293596903,0.4069080998500188,0.4090387721856435,0.8983104427655538,0.375,0.7596899072329203,0.8282051285107931,0.800000011920929,0.8980213006337484,0.8501272996266683,0.26579659928878147,0.5763179510831833,0.9230769276618958,0.8711623946825663,0.7743589878082275,0.8838097254435221,0.10666666666666667,0.8875802755355835,0.43099497507015866,0.01915642184515794,0.7629630168279012,0.9150023261706034,0.18162494028608003,0.8718103170394897,0.03350533398002166,0.0010268588719406716,0.004575180155891005,0.010625565091080693,0.004575180155891005,0.000843870236677258,0.2709515462969744,0.4493393151059401,0.0015220982687893128,0.0009864188007310734,0.00040177539860989574,0.10144928523472388,0.18063437201573634,0.06409334954553222,0.000733928174744408,0.268860650321393,0.0017426330265957698,0.003011514227619492,0.21830806388038032,0.03515513224766877,0.0,0.0,8.18535277187245,0.04646145011448739,0.018073356173299398,0.08347209450840347,0.10306856553429322,0.08661926614477018,0.010625565091080693,0.019244990619516757,0.23333333645548143,0.25434812056275535,0.27623911959757014,0.03350533398002166,0.0,0.05426355770656065,0.11666664481163158,0.0,0.0015220982687893128,0.08661926614477018,0.1462981056326991,0.408405777324068,0.0,0.003011514227619492,0.07777777739934118,0.06409334954553222,0.11239810200058245,0.04918649518064752,0.28170517192999395,0.0003773141042862773,0.04724944759335681,0.000843870236677258,0.11332835379850208,0.04646145011448739
no_init_kenn_horizontal_adapter_bert_ms,0.9129872719446818,0.018098317086696625,0.8586410681406657,0.8817445039749146,0.8586410681406657,0.9147568345069885,0.32939329743385315,0.4354005257288615,0.8974414467811584,0.015541637937227884,0.01873115325967471,0.8019323547681173,0.5529288748900095,0.9112638632456461,0.01705722448726495,0.5478242735068003,0.01751333785553773,0.8700332045555115,0.32553937037785846,0.817041019598643,0.6666666865348816,1.0,36.0,0.8930135369300842,0.9055556058883667,0.838888923327128,0.6326341231664022,0.888702909151713,0.8817445039749146,0.8972222606341044,0.6777777870496114,0.45313048362731934,0.4468778173128764,0.9129872719446818,0.375,0.7390180826187134,0.7876068552335104,0.800000011920929,0.8974414467811584,0.888702909151713,0.33013027409712475,0.5720793704191843,0.8974359035491943,0.8700332045555115,0.747293492158254,0.9112638632456461,0.10000000000000002,0.8669093648592631,0.4537237087885539,0.018905126800139744,0.7444445093472799,0.9147568345069885,0.22338606913884482,0.8930135369300842,0.0052011119734321504,0.0002183973405852451,0.002037493890019146,0.00508866896961164,0.002037493890019146,0.0002888635907469073,0.12976124880806866,0.20437545769331217,0.0005021509604462992,0.00030133101125808437,0.00010044331195313577,0.03346957284281708,0.08650748500233804,0.010370528182623137,0.00015583008673724654,0.11112201835360193,0.0005022192482632362,0.002537869144720515,0.12724115235467534,0.007464304766113231,0.0,0.0,17.52141546793523,0.00714947802770902,0.009622478103425673,0.02405623827439595,0.055568131281842084,0.014094841953051558,0.00508866896961164,0.004811247654879171,0.1953154806404168,0.12717836927136933,0.14359984405407986,0.0052011119734321504,0.0,0.017902342464858525,0.051956021876323984,0.0,0.0005021509604462992,0.014094841953051558,0.10418391239285224,0.19313362395784658,0.09245002719375349,0.002537869144720515,0.03463735641543434,0.010370528182623137,0.05567764362830022,0.010461203040569602,0.1256659148503937,0.00020088769930494863,0.014433777377395252,0.0002888635907469073,0.07911341044365874,0.00714947802770902
no_init_kenn_hybrid_adapter_bert_ms,0.8980597058931986,0.018413662910461426,0.8599650462468466,0.8834095994631449,0.8599650462468466,0.9150023261706034,0.37185364713271457,0.5479532182216644,0.8979488213857015,0.015870254797240097,0.018789144853750866,0.8357487916946411,0.5812357862790426,0.8834945956865946,0.01725965489943822,0.4999004105726878,0.018093250071009,0.8714819947878519,0.3428102694451809,0.8267375032107035,0.6666666865348816,1.0,52.0,0.8717560370763143,0.9064815243085226,0.8666667143503824,0.6416856249173483,0.8504220247268677,0.8834095994631449,0.9000000357627869,0.7111111283302307,0.43332834045092267,0.4438612411419551,0.8980597058931986,0.375,0.7571059266726176,0.8213675419489542,0.800000011920929,0.8979488213857015,0.8504220247268677,0.2748724694053332,0.6062488257884979,0.9316239356994629,0.8714819947878519,0.769800583521525,0.8834945956865946,0.12000000000000001,0.8820144335428873,0.4474854717652003,0.018924457331498463,0.7601852416992188,0.9150023261706034,0.19575406735142073,0.8717560370763143,0.03531105525187169,0.0010806552270811983,0.004777415717280826,0.011203028388698964,0.004777415717280826,0.0008318228900183078,0.2856770328055684,0.4539974327907926,0.0015730177055184305,0.0010248760085629185,0.0003479477018134506,0.10484317075521343,0.1904513654206374,0.06739735288668686,0.0008332655157401426,0.2898042622962206,0.0018163376518573445,0.0031598605342988474,0.25257227451873226,0.03991343552950019,0.0,0.0,6.557438524302,0.04899166958061052,0.026979259580088538,0.08700253977789459,0.10818965574892438,0.09118770382817803,0.011203028388698964,0.016666650772094727,0.2523959114360426,0.2808877107206251,0.3094615979559146,0.03531105525187169,0.0,0.05607889270515839,0.1218240665000797,0.0,0.0015730177055184305,0.09118770382817803,0.1534681675842637,0.4283233737965762,0.014803852173765848,0.0031598605342988474,0.08121606719377432,0.06739735288668686,0.13453624047073712,0.05176332823759321,0.2952225375957189,0.0005632412875819072,0.04909154016673569,0.0008318228900183078,0.12508236443003673,0.04899166958061052
no_init_kenn_top_down_adapter_bert_ms,0.8600779970486959,0.018599911282459896,0.8607359329859415,0.881533145904541,0.8607359329859415,0.9151279926300049,0.3240033524731795,0.47933606058359146,0.898238738377889,0.016082889089981716,0.018789144853750866,0.8550724585851034,0.5493355890115103,0.8229512770970663,0.01746598755319913,0.43934683005015057,0.018499188746015232,0.8709612488746643,0.28418642344574135,0.83662082751592,0.6666666865348816,1.0,69.33333333333333,0.8252886335055033,0.9175926446914673,0.8861111402511597,0.6238224506378174,0.7812955180803934,0.881533145904541,0.9000000357627869,0.7333333293596903,0.3753213509917259,0.3780534875889619,0.8600779970486959,0.375,0.7674418489138285,0.8410256703694662,0.800000011920929,0.898238738377889,0.7812955180803934,0.24317126100262007,0.5351329694191614,0.9487179517745972,0.8709612488746643,0.7829060157140096,0.8229512770970663,0.17,0.8909356991449991,0.39862790579597157,0.01915642184515794,0.7703704237937927,0.9151279926300049,0.16867064870893955,0.8252886335055033,0.09940339538578183,0.0008044029102177489,0.004979930989813029,0.011348464278607497,0.004979930989813029,0.0009248310675412518,0.289385796477428,0.47547566290126203,0.0016982774128729628,0.0010916118715030068,0.00034794677048963175,0.11319203164358797,0.1929238743359778,0.168728842795355,0.0005162429344984973,0.32599262941554846,0.0019163433016207616,0.003288063132120742,0.23464258582678352,0.02472805374657173,0.0,0.0,30.0055550412475,0.12620111035198148,0.015298803909292395,0.09179282345559928,0.11675155662401376,0.20396845095998187,0.011348464278607497,0.016666650772094727,0.23333333645548143,0.29225195955150435,0.3039412710206096,0.09940339538578183,0.0,0.06054456565879328,0.12698781148607863,0.0,0.0016982774128729628,0.20396845095998187,0.1810949443185691,0.45880305677633154,0.025641024112701416,0.003288063132120742,0.08465851812383121,0.168728842795355,0.14177446878757824,0.03853091844074684,0.3216961849546251,0.0003193899772139299,0.05228818472666873,0.0009248310675412518,0.13164839767271402,0.12620111035198148
smart_init_box_adapter_bert_ms,0.9094888965288798,0.013844441312054792,0.8199062347412109,0.8659759958585104,0.8199062347412109,0.9077012538909912,0.2716962844133377,0.32936927179495495,0.8810610771179199,0.015019717005391916,0.010960333980619907,0.913043479124705,0.5144642194112142,0.9112966855367025,0.013555752113461494,0.47127606471379596,0.018789144232869148,0.8423068126042684,0.26753156383832294,0.6493205626805624,0.5333333611488342,1.0,36.666666666666664,0.8751574357350668,0.5916667183240255,0.9000000158945719,0.6194476286570231,0.8694555560747782,0.8659759958585104,0.5250000357627869,0.8888888955116272,0.40818552176157635,0.35365237792332965,0.9094888965288798,0.25,0.7364341020584106,0.9102564255396525,0.6956522464752197,0.8810610771179199,0.8694555560747782,0.34056105216344196,0.47947824001312256,0.9316239356994629,0.8423068126042684,0.7846153974533081,0.9112966855367025,0.06333333333333334,0.6631487607955933,0.41284574071566266,0.01235212292522192,0.7194445133209229,0.9077012538909912,0.2140232970317205,0.8751574357350668,0.0025078401769220464,0.0008408997515699635,0.0019806651010072264,0.0029905867610425995,0.0019806651010072264,0.00046662316827813095,0.07625979479423312,0.08905736116758711,0.0007839829357202431,0.0006272697027630815,0.0006272707359727463,0.0522543786496971,0.05083987988478299,0.0054969188698826225,0.0006331357613281902,0.0838609810258918,0.001254541471945492,0.00037291813715341164,0.07562365576066779,0.030327224190896868,0.0,0.0,5.859465277082316,0.008361896685134115,0.030046265037229184,0.06009253007445828,0.027868141942713837,0.017171704198809205,0.0029905867610425995,0.03004628983426219,0.038490015651791276,0.08839126438950368,0.09358028125890194,0.0025078401769220464,0.0,0.027950023214921033,0.05050698428342911,0.0,0.0007839829357202431,0.017171704198809205,0.08541980813189008,0.09510404009122417,0.06452849560056026,0.00037291813715341164,0.03367130671712285,0.0054969188698826225,0.06658328118479394,0.04027914887306553,0.08893447242262585,0.0006272707359727467,0.030046231974519513,0.00046662316827813095,0.06690745707367095,0.008361896685134115
