name,instance,run_id,test/macro_example/recall,test_pretraining/micro/f1,test_incremental_only/micro/f1,test_incremental_only/macro_example_exclusive/f1,test/micro/f1,test_incremental/macro_example/f1,test_incremental_only/macro_types/recall,test_incremental_education-educational_degree/macro_types/f1,test_incremental/micro/recall,test_pretraining/macro_example/recall,test_incremental_education-department/macro_types/f1,test_incremental_education-educational_degree/macro_types/precision,test/macro_types/f1,test_incremental_only/micro/precision,test_incremental/macro_example_exclusive/precision,test_incremental/micro/precision,test_pretraining/macro_types/precision,test_incremental_only/micro/recall,test_incremental/macro_example/recall,test_incremental/macro_types/f1,test_incremental/macro_types/recall,test/macro_example/f1,threshold_pretraining,test/macro_example/precision,test_incremental/macro_example_exclusive/recall,test_incremental_education-educational_degree/macro_types/recall,test_incremental_education-department/macro_types/precision,test_pretraining/micro/recall,test_incremental_only/macro_types/f1,test_incremental_only/macro_example/precision,test_incremental_education/macro_types/precision,epoch,test_pretraining/macro_example/precision,test_incremental_only/macro_types/precision,test_pretraining/macro_types/f1,test_pretraining/macro_types/recall,test_incremental_only/macro_example/recall,test_incremental/macro_example_exclusive/f1,test/macro_types/recall,test_incremental_only/macro_example_exclusive/recall,test_incremental_education/macro_types/recall,test_incremental/micro/f1,test_pretraining/macro_example/f1,test_incremental/macro_types/precision,test/micro/recall,test_pretraining/micro/precision,test_incremental_education/macro_types/f1,test/micro/precision,threshold_incremental,test/macro_types/precision,test_incremental_only/macro_example/f1,test_incremental_education-department/macro_types/recall,test_incremental/macro_example/precision,test_incremental_only/macro_example_exclusive/precision
no_init_box_kenn_horizontal_adapter_bert_ms,2,gjgmpg0t,0.9065123796463012,0.8900385499000549,0.7346938848495483,0.8608695864677429,0.8900385499000549,0.016154253855347633,0.7961538434028625,0.7941176295280457,0.6666666865348816,0.9065123796463012,0.6835442781448364,0.931034505367279,0.8485080003738403,0.692307710647583,0.9166666865348816,0.7818182110786438,0.8843811750411987,0.782608687877655,0.013975875452160835,0.763354480266571,0.708547055721283,0.9143739342689514,0.25,0.9223729968070984,0.6694445013999939,0.692307710647583,0.5510203838348389,0.8791041374206543,0.7676022052764893,0.018789146095514297,1,26,0.9223729968070984,0.7410274744033813,0.8485080003738403,0.8154315948486328,0.017223382368683815,0.7737887501716614,0.8154315948486328,0.8250000476837158,0.5333333611488342,0.7196652889251709,0.9143739342689514,0.8273516893386841,0.8791041374206543,0.901248335838318,0.6956522464752197,0.901248335838318,0.01,0.8843811750411987,0.017972225323319435,0.8999999761581421,0.01913709193468094,0.9000000357627869
no_init_box_kenn_horizontal_adapter_bert_ms,1,xcnmkftc,0.9060484766960144,0.8887666463851929,0.6622517108917236,0.8031088709831238,0.8887666463851929,0.01564069464802742,0.7410256862640381,0.7619048357009888,0.6356589198112488,0.9060484766960144,0.5909090638160706,1.0,0.8470319509506226,0.6097561120986938,0.9000000357627869,0.719298243522644,0.8837188482284546,0.7246376872062683,0.013395963236689568,0.7369464039802551,0.6717948913574219,0.9136791229248048,0.25,0.9214393496513368,0.6416667103767395,0.6153846383094788,0.4482758641242981,0.8782343864440918,0.7324844598770142,0.017397355288267136,1,46,0.9214393496513368,0.7241379022598267,0.8470319509506226,0.8132697343826294,0.016179541125893593,0.7491891980171204,0.8132697343826294,0.7750000357627869,0.5333333611488342,0.6748971343040466,0.9136791229248048,0.8160920143127441,0.8782343864440918,0.8995545506477356,0.6956522464752197,0.8995545506477356,0.01,0.8837188482284546,0.016766361892223358,0.8666666746139526,0.018789146095514297,0.8333333730697632
no_init_box_kenn_horizontal_adapter_bert_ms,0,ljandhxu,0.9063384532928468,0.8896718621253967,0.7083333730697632,0.8107693195343018,0.8896718621253967,0.015557664446532726,0.75,0.7647059559822083,0.643410861492157,0.9063384532928468,0.6578947305679321,0.8965517282485962,0.8471484184265137,0.6800000071525574,0.8833334445953369,0.7757009267807007,0.883557140827179,0.739130437374115,0.013453954830765724,0.7393980622291565,0.6777778267860413,0.9145503044128418,0.25,0.9229123592376708,0.644444465637207,0.6666666865348816,0.54347825050354,0.8784518241882324,0.7347016334533691,0.017745302990078926,1,77,0.9229123592376708,0.7200149893760681,0.8471484184265137,0.8136216402053833,0.016179541125893593,0.745212197303772,0.8136216402053833,0.7750000953674316,0.5333333611488342,0.7033898830413818,0.9145503044128418,0.813343346118927,0.8784518241882324,0.901182234287262,0.6956522464752197,0.901182234287262,0.01,0.883557140827179,0.016926288604736328,0.8333333134651184,0.018441198393702507,0.8500000238418579
no_init_box_kenn_hybrid_adapter_bert_ms,2,29mwhqds,0.9068024158477784,0.8820322751998901,0.47863247990608215,0.8942636251449585,0.8820322751998901,0.01663411781191826,0.8256410360336304,0.8235294222831726,0.682170569896698,0.9068024158477784,0.33734938502311707,0.9655172228813172,0.8463158011436462,0.3393939435482025,0.9500000476837158,0.4467005133628845,0.8782898783683777,0.8115941882133484,0.014323823153972626,0.7259958982467651,0.7282052040100098,0.9111453294754028,0.25,0.9155300259590148,0.6861112117767334,0.7179487347602844,0.20588235557079315,0.8795390129089355,0.6852743029594421,0.01948503777384758,1,48,0.9155300259590148,0.5856997966766357,0.8463158011436462,0.8165879845619202,0.017919275909662247,0.7967742681503296,0.8165879845619202,0.85833340883255,0.5333333611488342,0.5398772954940796,0.9111453294754028,0.7237999439239502,0.8795390129089355,0.8845396637916565,0.6956522464752197,0.8845396637916565,0.01,0.8782898783683777,0.018669385462999344,0.9333333373069764,0.01983298547565937,0.9333333969116212
no_init_box_kenn_top_down_adapter_bert_ms,2,lgmxc0z8,0.9068024158477784,0.8783930540084839,0.4117647111415863,0.8942636251449585,0.8783930540084839,0.01663411781191826,0.8256410360336304,0.7999999523162842,0.682170569896698,0.9068024158477784,0.2772277295589447,0.9032257795333862,0.8453553915023804,0.27586206793785095,0.9500000476837158,0.3744680881500244,0.8762235641479492,0.8115941882133484,0.014323823153972626,0.7078871726989746,0.7282052040100098,0.909124791622162,0.25,0.9114590883255004,0.6861112117767334,0.7179487347602844,0.1627907007932663,0.8795390129089355,0.6478102803230286,0.01948503777384758,1,31,0.9114590883255004,0.5330082178115845,0.8453553915023804,0.8165879845619202,0.017919275909662247,0.7967742681503296,0.8165879845619202,0.85833340883255,0.5333333611488342,0.48351648449897766,0.909124791622162,0.6886721849441528,0.8795390129089355,0.877250075340271,0.6956522464752197,0.877250075340271,0.02,0.8762235641479492,0.018669385462999344,0.9333333373069764,0.01983298547565937,0.9333333969116212
no_init_box_kenn_bottom_up_adapter_bert_ms,2,ahupk2h4,0.9065123796463012,0.8850700259208679,0.5454545617103577,0.8608696460723877,0.8850700259208679,0.016397083178162575,0.800000011920929,0.800000011920929,0.6666666865348816,0.9065123796463012,0.42105263471603394,1.0,0.8466876149177551,0.41860464215278625,0.9500000476837158,0.5341615080833435,0.8802593946456909,0.782608687877655,0.013975875452160835,0.7334704995155334,0.7111111879348755,0.9123863577842712,0.25,0.9183368682861328,0.6694445610046387,0.6666666865348816,0.27184465527534485,0.8791041374206543,0.7085868716239929,0.018789144232869148,1,23,0.9183368682861328,0.6359223127365112,0.8466876149177551,0.8155824542045593,0.017223380506038666,0.7854203581809998,0.8155824542045593,0.8250000476837158,0.5333333611488342,0.5931034684181213,0.9123863577842712,0.7572815418243408,0.8791041374206543,0.8911174535751343,0.6956522464752197,0.8911174535751343,0.02,0.8802593946456909,0.017972225323319435,0.9333333373069764,0.01983298547565937,0.9000000953674316
no_init_box_kenn_hybrid_adapter_bert_ms,1,39wlhq0g,0.9063384532928468,0.8845353722572327,0.5226130485534668,0.8364843130111694,0.8845353722572327,0.015998203307390213,0.7705128192901611,0.78125,0.6511628031730652,0.9063384532928468,0.4000000059604645,1.0,0.8459308743476868,0.4000000059604645,0.9166666865348816,0.5185185074806213,0.8799711465835571,0.7536231875419617,0.013743910938501358,0.72063148021698,0.6914530396461487,0.9119059443473816,0.25,0.9175423383712769,0.658333420753479,0.6410256624221802,0.2571428716182709,0.878669261932373,0.6923419237136841,0.018093250691890717,1,32,0.9175423383712769,0.6285714507102966,0.8459308743476868,0.814426064491272,0.016875434666872025,0.7663139700889587,0.814426064491272,0.8083333969116211,0.5333333611488342,0.5773195624351501,0.9119059443473816,0.7523809671401978,0.878669261932373,0.8904803991317749,0.6956522464752197,0.8904803991317749,0.01,0.8799711465835571,0.017463136464357376,0.8999999761581421,0.01913709193468094,0.8666667342185974
no_init_box_kenn_top_down_adapter_bert_ms,1,hasfbhjb,0.9064544439315796,0.8788866400718689,0.4076923429965973,0.8486928939819336,0.8788866400718689,0.016076501458883286,0.7871794700622559,0.7575758099555969,0.6589147448539734,0.9064544439315796,0.2886597812175751,0.92592591047287,0.8448253870010376,0.2774869203567505,0.9166666865348816,0.38116592168807983,0.8768243789672852,0.7681159377098083,0.013859893195331097,0.7007201910018921,0.7025641202926636,0.9092236757278442,0.25,0.9120100140571594,0.6638889312744141,0.6410256624221802,0.17073170840740204,0.8788866996765137,0.6463953256607056,0.018441198393702507,1,32,0.9120100140571594,0.5483288168907166,0.8448253870010376,0.8150796890258789,0.017049409449100494,0.7700644135475159,0.8150796890258789,0.8166667222976685,0.5333333611488342,0.48295456171035767,0.9092236757278442,0.6988858580589294,0.8788866996765137,0.8788866996765137,0.6956522464752197,0.8788866996765137,0.01,0.8768243789672852,0.017718013375997543,0.9333333373069764,0.01913709193468094,0.8833333849906921
no_init_box_kenn_bottom_up_adapter_bert_ms,1,j4foeec7,0.9063384532928468,0.8846322298049927,0.5252525210380554,0.8364843130111694,0.8846322298049927,0.015998203307390213,0.7705128192901611,0.78125,0.6511628031730652,0.9063384532928468,0.4029850661754608,1.0,0.8459532856941223,0.40310078859329224,0.9166666865348816,0.52173912525177,0.8800196051597595,0.7536231875419617,0.013743910938501358,0.7210092544555664,0.6914530396461487,0.9119345545768738,0.25,0.9176003336906432,0.658333420753479,0.6410256624221802,0.25961539149284363,0.878669261932373,0.6930912137031555,0.018093250691890717,1,32,0.9176003336906432,0.629807710647583,0.8459532856941223,0.814426064491272,0.016875434666872025,0.7663139700889587,0.814426064491272,0.8083333969116211,0.5333333611488342,0.5793103575706482,0.9119345545768738,0.7532051801681519,0.878669261932373,0.8906766772270203,0.6956522464752197,0.8906766772270203,0.01,0.8800196051597595,0.017463136464357376,0.8999999761581421,0.01913709193468094,0.8666667342185974
no_init_box_kenn_hybrid_adapter_bert_ms,0,cf3l2mfy,0.9060484766960144,0.8878628015518188,0.6202532052993774,0.7773619294166565,0.8878628015518188,0.015201020985841753,0.7243589758872986,0.75,0.6279069781303406,0.9060484766960144,0.5319148898124695,0.959999978542328,0.8457975387573242,0.550561785697937,0.8666667342185974,0.6694214940071106,0.8818041086196899,0.7101449370384216,0.013106008060276508,0.7168870568275452,0.660683810710907,0.9137531518936156,0.25,0.9215900897979736,0.6277778148651123,0.6153846383094788,0.390625,0.8780169486999512,0.6989763975143433,0.017049409449100494,1,47,0.9215900897979736,0.6753125190734863,0.8457975387573242,0.8126161098480225,0.01548364758491516,0.7281289100646973,0.8126161098480225,0.7416667342185974,0.5333333611488342,0.6480000019073486,0.9137531518936156,0.7835416793823242,0.8780169486999512,0.8979319334030151,0.6956522464752197,0.8979319334030151,0.02,0.8818041086196899,0.016228849068284035,0.8333333134651184,0.018093250691890717,0.8166667222976685
