name,instance,run_id,test_pretraining/macro_example/f1,test_incremental_only/macro_example/recall,test_incremental_event-election/macro_types/recall,test_incremental_event-terrorist_attack/macro_types/recall,test_incremental_event-military_conflict/macro_types/recall,test_incremental_only/macro_types/f1,test_incremental/macro_example/recall,test_pretraining/macro_types/precision,test_incremental_only/macro_example_exclusive/recall,test_incremental_event-military_conflict/macro_types/precision,test/micro/precision,test_incremental/macro_types/f1,test_incremental_only/micro/precision,test_pretraining/macro_example/recall,test_incremental_event-attack/macro_types/recall,test_incremental_event/macro_types/f1,test_incremental/micro/precision,test_incremental_event-election/macro_types/f1,test/micro/recall,epoch,test/macro_example/precision,test_incremental/micro/recall,test_incremental_only/macro_types/recall,threshold_pretraining,test_incremental/macro_example_exclusive/recall,test_incremental_only/macro_example_exclusive/f1,test_pretraining/micro/recall,test_incremental_event/macro_types/recall,test_incremental_event-military_conflict/macro_types/f1,test_incremental/macro_example/precision,test_incremental_event-attack/macro_types/f1,test_incremental_event-natural_disaster/macro_types/recall,test_incremental/micro/f1,test_pretraining/micro/f1,test_incremental/macro_example/f1,test_incremental_only/macro_types/precision,test_incremental_event-election/macro_types/precision,test/macro_example/recall,test_incremental/macro_types/precision,test_incremental_event/macro_types/precision,test_incremental/macro_example_exclusive/precision,test_incremental_event-protest/macro_types/f1,test_incremental_event-natural_disaster/macro_types/precision,test_incremental_only/macro_example_exclusive/precision,threshold_incremental,test_incremental_only/macro_example/precision,test_incremental_event-terrorist_attack/macro_types/f1,test_pretraining/micro/precision,test_incremental_only/micro/recall,test_incremental_only/macro_example/f1,test_pretraining/macro_example/precision,test_incremental_event-protest/macro_types/precision,test_incremental_event-natural_disaster/macro_types/f1,test_incremental_event-attack/macro_types/precision,test_incremental/macro_types/recall,test_incremental/macro_example_exclusive/f1,test_incremental_event-sports_event/macro_types/f1,test_incremental_event-sports_event/macro_types/precision,test/macro_types/precision,test_incremental_event-terrorist_attack/macro_types/precision,test_pretraining/macro_types/recall,test/macro_example/f1,test/macro_types/f1,test/micro/f1,test/macro_types/recall,test_incremental_event-protest/macro_types/recall,test_pretraining/macro_types/f1,test_incremental_event-sports_event/macro_types/recall,test_incremental_only/micro/f1
no_init_box_kenn_horizontal_adapter_bert_ms,2,6werorsj,0.9052307605743408,0.03827418386936188,0.8666666746139526,0.8666666746139526,0.2222222238779068,0.7036566734313965,0.05732429027557373,0.8910825848579407,0.5612244606018066,1.0,0.902449667453766,0.7350363731384277,0.8353658318519592,0.8896311521530151,0.02985074557363987,0.9184549450874328,0.8841309547424316,0.9285714626312256,0.8540675044059753,36,0.9213871955871582,0.6573033928871155,0.5788676142692566,0.25,0.7070815563201904,0.6225728392601013,0.8540675044059753,0.9184549450874328,0.3636363744735718,0.07463465631008148,0.05797101557254791,0.30000001192092896,0.7540279030799866,0.8775922060012817,0.06484408676624298,0.8970342874526978,1.0,0.8896311521530151,0.8997118473052979,0.9184549450874328,0.9206008911132812,0.888888955116272,0.4736842215061188,0.6989795565605164,0.01,0.04766875505447388,0.9285714626312256,0.902449667453766,0.4551495015621186,0.042458001524209976,0.9213871955871582,1.0,0.3673469126224518,1.0,0.6213160157203674,0.7998364567756653,0.8787878155708313,0.8055555820465088,0.8910825848579407,1.0,0.7865496277809143,0.9052307605743408,0.8355593681335449,0.8775922060012817,0.7865496277809143,0.800000011920929,0.8355593681335449,0.9666666388511658,0.5892472863197327
no_init_box_kenn_horizontal_adapter_bert_ms,1,py0wa025,0.9060951471328736,0.036708422005176544,0.8333333134651184,0.9666666388511658,0.25925925374031067,0.666018009185791,0.05659940093755722,0.880791187286377,0.5382653474807739,1.0,0.9059547185897828,0.7007848024368286,0.937062919139862,0.8891962766647339,0.0,0.9184549450874328,0.9255319237709044,0.9090909361839294,0.8534464836120605,26,0.9236488342285156,0.6516854166984558,0.5632275342941284,0.25,0.6981402039527893,0.602317750453949,0.8534464836120605,0.9184549450874328,0.4117647111415863,0.07359081506729126,0.0,0.3166666626930237,0.7648351788520813,0.8789170980453491,0.06398630887269974,0.8147034645080566,1.0,0.8891962766647339,0.8276723623275757,0.9184549450874328,0.9077253341674804,0.7346938252449036,0.949999988079071,0.6836734414100647,0.01,0.046624913811683655,0.98305082321167,0.9059547185897828,0.4451827108860016,0.041076645255088806,0.9236488342285156,0.9473684430122375,0.47499996423721313,0.0,0.6076309680938721,0.7892560958862305,0.8787878155708313,0.8055555820465088,0.880791187286377,1.0,0.7845946550369263,0.9060951471328736,0.8299146294593811,0.8789170980453491,0.7845946550369263,0.6000000238418579,0.8299146294593811,0.9666666388511658,0.6036035418510437
no_init_box_kenn_horizontal_adapter_bert_ms,0,z8rht7p1,0.9059078097343444,0.04175364971160889,0.800000011920929,0.9666666388511658,0.40740740299224854,0.726921558380127,0.05932497978210449,0.8877968192100525,0.6122448444366455,1.0,0.9029655456542968,0.7535276412963867,0.8539325594902039,0.8918638229370117,0.05970149114727974,0.9184549450874328,0.8905109763145447,0.888888955116272,0.857172429561615,29,0.9204012751579284,0.6853932738304138,0.6238727569580078,0.25,0.7317596673965454,0.6842736601829529,0.857172429561615,0.9184549450874328,0.5789473652839661,0.07324287295341492,0.1111111119389534,0.30000001192092896,0.7746031880378723,0.8794732689857483,0.06555332988500595,0.8707482814788818,1.0,0.8918638229370117,0.8767116069793701,0.9184549450874328,0.9034334421157836,0.9285714626312256,0.5,0.7755101919174194,0.01,0.05288796126842499,0.9666666388511658,0.9029655456542968,0.5049833655357361,0.046665847301483154,0.9204012751579284,1.0,0.375,0.800000011920929,0.6606954336166382,0.8085848093032837,0.892307698726654,0.8285714387893677,0.8877968192100525,0.9666666388511658,0.79217529296875,0.9059078097343444,0.8372647166252136,0.8794732689857483,0.79217529296875,0.8666666746139526,0.8372647166252136,0.9666666388511658,0.6346554756164551
no_init_box_kenn_hybrid_adapter_bert_ms,2,qda86j99,0.9058609008789062,0.03659243881702423,0.8666666746139526,0.9666666388511658,0.0,0.6772520542144775,0.05674437433481216,0.8806397914886475,0.5365645885467529,0.0,0.9060167074203492,0.7101122140884399,0.9383561611175536,0.8889063000679016,0.1940298527479172,0.9184549450874328,0.9261213541030884,0.9285714626312256,0.8540675044059753,22,0.9234748482704164,0.6573033928871155,0.5800995230674744,0.25,0.6999285221099854,0.6070971488952637,0.8540675044059753,0.9184549450874328,0.0,0.0739387646317482,0.32500001788139343,0.2666666805744171,0.7688937187194824,0.8792755007743835,0.06421041488647461,0.8134921193122864,1.0,0.8889063000679016,0.8266124129295349,0.9184549450874328,0.9120171666145324,0.888888955116272,0.8888888955116272,0.6989795565605164,0.01,0.04766875505447388,0.98305082321167,0.9060167074203492,0.4551495015621186,0.04140259325504303,0.9234748482704164,1.0,0.41025641560554504,1.0,0.6223939657211304,0.792020320892334,0.8787878155708313,0.8055555820465088,0.8806397914886475,1.0,0.7867035865783691,0.9058609008789062,0.8310255408287048,0.8792755007743835,0.7867035865783691,0.800000011920929,0.8310255408287048,0.9666666388511658,0.6129753589630127
no_init_box_kenn_top_down_adapter_bert_ms,2,kx3neofu,0.9040130376815796,0.042275574058294296,0.9333333373069764,0.9666666388511658,0.1111111119389534,0.7275711894035339,0.05973092466592789,0.8856310248374939,0.6198979616165161,1.0,0.8948618173599243,0.7535538673400879,0.6964285969734192,0.8915449380874634,0.1940298527479172,0.9184549450874328,0.8096280097961426,0.9491525292396544,0.8580003976821899,23,0.916834831237793,0.6928839087486267,0.6340677738189697,0.25,0.7367668151855469,0.6969663500785828,0.8580003976821899,0.9184549450874328,0.19999998807907104,0.07411273568868637,0.32500001788139343,0.4333333373069763,0.7467204928398132,0.8760435581207275,0.06614914536476135,0.8534219264984131,0.9655172228813172,0.8915449380874634,0.86155104637146,0.9184549450874328,0.9141631126403807,0.8928570747375488,0.31707316637039185,0.795918345451355,0.01,0.05427975207567215,0.9666666388511658,0.8948618173599243,0.5182723999023438,0.047531455755233765,0.916834831237793,0.9615384340286256,0.3661971986293793,1.0,0.6696161031723022,0.8159341216087341,0.8529411554336548,0.7631579041481018,0.8856310248374939,0.9666666388511658,0.7934496402740479,0.9040130376815796,0.8370099067687988,0.8760435581207275,0.7934496402740479,0.8333333134651184,0.8370099067687988,0.9666666388511658,0.5942857265472412
no_init_box_kenn_bottom_up_adapter_bert_ms,2,53ujr8ms,0.9044916033744812,0.03694038838148117,0.8666666746139526,0.9666666388511658,0.0,0.6522700190544128,0.056918349117040634,0.8720719814300537,0.5416666269302368,0.0,0.9012885093688964,0.6870262622833252,0.8070175647735596,0.8889062404632568,0.1940298527479172,0.9184549450874328,0.8712871074676514,0.9285714626312256,0.8542744517326355,26,0.9206333160400392,0.6591760516166687,0.5800995230674744,0.25,0.702074408531189,0.6122866272926331,0.8542744517326355,0.9184549450874328,0.0,0.07463465631008148,0.32500001788139343,0.30000001192092896,0.7505329847335815,0.8771519660949707,0.06458356976509094,0.7449495792388916,1.0,0.8889062404632568,0.7666376829147339,0.9184549450874328,0.9206008911132812,0.8679245114326477,0.40909090638160706,0.7040815949440002,0.01,0.04801670461893082,0.98305082321167,0.9012885093688964,0.4584717750549317,0.04175650700926781,0.9206333160400392,1.0,0.3461538255214691,1.0,0.6223939061164856,0.7966230511665344,0.8787878155708313,0.8055555820465088,0.8720719814300537,1.0,0.7867035865783691,0.9044916033744812,0.8271910548210144,0.8771519660949707,0.7867035865783691,0.7666666507720947,0.8271910548210144,0.9666666388511658,0.5847458243370056
no_init_box_kenn_hybrid_adapter_bert_ms,1,mzcbn6ra,0.9079171419143676,0.04384133592247963,0.8333333134651184,0.9666666388511658,0.40740740299224854,0.7680831551551819,0.06071677431464195,0.899074137210846,0.6428570747375488,1.0,0.9065706133842468,0.7908535599708557,0.9479768872261048,0.8928207159042358,0.2537313401699066,0.9184549450874328,0.931034505367279,0.9090909361839294,0.8596563935279846,30,0.9235328435897828,0.7078651785850525,0.6396864652633667,0.25,0.7489269971847534,0.7270935773849487,0.8596563935279846,0.9184549450874328,0.5789473652839661,0.07341684401035309,0.4047618806362152,0.3499999940395355,0.8042553067207336,0.8824903964996338,0.06646557152271271,0.9609668850898744,1.0,0.8928207159042358,0.9556528329849244,0.9184549450874328,0.905579388141632,0.8235293626785278,0.9545454382896424,0.8367346525192261,0.01,0.057063329964876175,0.9666666388511658,0.9065706133842468,0.5448504686355591,0.049586065113544464,0.9235328435897828,1.0,0.5121951103210449,1.0,0.6745325326919556,0.8198370933532715,0.8787878155708313,0.8055555820465088,0.899074137210846,0.9666666388511658,0.794152021408081,0.9079171419143676,0.8433623313903809,0.8824903964996338,0.794152021408081,0.699999988079071,0.8433623313903809,0.9666666388511658,0.6919831037521362
no_init_box_kenn_top_down_adapter_bert_ms,1,acexyt7a,0.908129096031189,0.045523084700107574,0.8999999761581421,0.9666666388511658,0.40740740299224854,0.7795535922050476,0.061615634709596634,0.8964574337005615,0.6675169467926025,1.0,0.905902862548828,0.7997922897338867,0.9289617538452148,0.8937195539474487,0.2537313401699066,0.9184549450874328,0.9230769276618958,0.9473683834075928,0.8608983755111694,32,0.9230109453201294,0.7191011309623718,0.6658769845962524,0.25,0.7600142955780029,0.7544236183166504,0.8608983755111694,0.9184549450874328,0.5789473652839661,0.07289492338895798,0.4000000059604645,0.36666667461395264,0.8084210157394409,0.8828274011611938,0.06678237020969391,0.9400334358215332,1.0,0.8937195539474487,0.9373360872268676,0.9184549450874328,0.8991416096687317,0.8727272748947144,0.95652174949646,0.8673468828201294,0.01,0.05915100872516632,0.9508196711540222,0.905902862548828,0.564784049987793,0.051449913531541824,0.9230109453201294,0.959999978542328,0.5301204919815063,0.9444444179534912,0.6974492073059082,0.8237447738647461,0.865671694278717,0.7837837934494019,0.8964574337005615,0.9354838728904724,0.7974258065223694,0.908129096031189,0.8440467715263367,0.8828274011611938,0.7974258065223694,0.800000011920929,0.8440467715263367,0.9666666388511658,0.702479362487793
no_init_box_kenn_bottom_up_adapter_bert_ms,1,e1k1wcth,0.9079171419143676,0.04384133592247963,0.8333333134651184,0.9666666388511658,0.40740740299224854,0.7680831551551819,0.06071677431464195,0.899074137210846,0.6428570747375488,1.0,0.9065706133842468,0.7908535599708557,0.9479768872261048,0.8928207159042358,0.2537313401699066,0.9184549450874328,0.931034505367279,0.9090909361839294,0.8596563935279846,32,0.9235328435897828,0.7078651785850525,0.6396864652633667,0.25,0.7489269971847534,0.7270935773849487,0.8596563935279846,0.9184549450874328,0.5789473652839661,0.07341684401035309,0.4047618806362152,0.3499999940395355,0.8042553067207336,0.8824903964996338,0.06646557152271271,0.9609668850898744,1.0,0.8928207159042358,0.9556528329849244,0.9184549450874328,0.905579388141632,0.8235293626785278,0.9545454382896424,0.8367346525192261,0.01,0.057063329964876175,0.9666666388511658,0.9065706133842468,0.5448504686355591,0.049586065113544464,0.9235328435897828,1.0,0.5121951103210449,1.0,0.6745325326919556,0.8198370933532715,0.8787878155708313,0.8055555820465088,0.899074137210846,0.9666666388511658,0.794152021408081,0.9079171419143676,0.8433623313903809,0.8824903964996338,0.794152021408081,0.699999988079071,0.8433623313903809,0.9666666388511658,0.6919831037521362
no_init_box_kenn_hybrid_adapter_bert_ms,0,r801why5,0.906019926071167,0.0363604761660099,0.7666666507720947,0.9666666388511658,0.0,0.6791982650756836,0.05683135986328125,0.8810011744499207,0.5331632494926453,0.0,0.9062774181365968,0.7118347883224487,0.945945918560028,0.8890512585639954,0.2537313401699066,0.9184549450874328,0.9291338324546814,0.8679245114326477,0.8546884655952454,18,0.9236488342285156,0.6629213690757751,0.5814854502677917,0.25,0.7010014057159424,0.6105754971504211,0.8546884655952454,0.9184549450874328,0.0,0.07359081506729126,0.4047618806362152,0.28333333134651184,0.7737704515457153,0.8797272443771362,0.06413427740335464,0.8163832426071167,1.0,0.8890512585639954,0.8291422128677368,0.9184549450874328,0.9077253341674804,0.8965517282485962,0.9444444179534912,0.714285671710968,0.01,0.0487125962972641,0.9666666388511658,0.9062774181365968,0.4651162922382355,0.04163981229066849,0.9236488342285156,0.9285714030265808,0.43589743971824646,1.0,0.6236066222190857,0.7910811901092529,0.9032257795333862,0.875,0.8810011744499207,0.9666666388511658,0.7868768572807312,0.906019926071167,0.8312831521034241,0.8797272443771362,0.7868768572807312,0.8666666746139526,0.8312831521034241,0.9333333373069764,0.6236079931259155
