name,instance,run_id,threshold_pretraining,test_incremental_only/micro/precision,test_incremental_only/macro_types/f1,test_incremental_finance-currency/macro_types/recall,test_incremental_finance-stock_exchange/macro_types/f1,test_pretraining/macro_example/f1,test_incremental_finance-stock_exchange/macro_types/recall,test_incremental/macro_example/f1,test_incremental/macro_example/precision,test/micro/f1,test/micro/precision,test/macro_example/recall,test_incremental_only/micro/recall,test/macro_types/precision,test_incremental/micro/recall,epoch,test_incremental/macro_types/recall,test_pretraining/macro_types/recall,test_incremental_finance/macro_types/recall,test_incremental/macro_example_exclusive/recall,test_incremental/macro_types/f1,test_incremental/micro/precision,test_incremental_only/macro_example_exclusive/recall,test/micro/recall,test_pretraining/macro_types/f1,test_incremental/macro_example_exclusive/f1,test_incremental_finance/macro_types/precision,test_incremental/macro_example_exclusive/precision,threshold_incremental,test_incremental_finance-currency/macro_types/precision,test/macro_example/f1,test_incremental/micro/f1,test_pretraining/macro_example/recall,test_incremental_only/macro_example/f1,test_incremental_only/macro_example_exclusive/precision,test_incremental_finance-stock_exchange/macro_types/precision,test_pretraining/micro/precision,test/macro_example/precision,test_incremental_only/macro_types/precision,test_incremental_only/macro_example/precision,test/macro_types/f1,test/macro_types/recall,test_pretraining/micro/f1,test_incremental/macro_types/precision,test_incremental_only/macro_types/recall,test_incremental_only/micro/f1,test_pretraining/macro_example/precision,test_incremental_only/macro_example/recall,test_pretraining/micro/recall,test_incremental/macro_example/recall,test_pretraining/macro_types/precision,test_incremental_finance/macro_types/f1,test_incremental_finance-currency/macro_types/f1,test_incremental_only/macro_example_exclusive/f1
no_init_box_kenn_horizontal_adapter_bert_ms,2,s5sonbmv,0.25,1.0,0.8785046339035034,0.7666666507720947,0.888888955116272,0.9153205752372742,0.800000011920929,0.018066484481096268,0.018789144232869148,0.8924267888069153,0.9059484004974364,0.906303644180298,0.7833333611488342,0.8945369720458984,0.8333333134651184,59,0.8166666626930237,0.8149288296699524,0.8833333253860474,0.8333333730697632,0.899082601070404,1.0,0.783333420753479,0.8793028593063354,0.8528792858123779,0.8653846979141235,1,0.9000000953674316,0.45,1.0,0.9153205752372742,0.9090909361839294,0.906303644180298,0.016353514045476913,0.783333420753479,1.0,0.9059484004974364,0.9245187044143676,1.0,0.016353514045476913,0.8528792858123779,0.8149288296699524,0.8924267888069153,1.0,0.7833333015441895,0.8785046935081482,0.9245187044143676,0.016353514045476913,0.8793028593063354,0.017397355288267136,0.8945369720458984,0.9380530714988708,0.8679245114326477,0.7833333611488342
no_init_box_kenn_horizontal_adapter_bert_ms,1,ew5ghie2,0.25,1.0,0.899082601070404,0.8333333134651184,0.888888955116272,0.9154832363128662,0.800000011920929,0.018252313137054443,0.018789144232869148,0.8926715850830078,0.9059906005859376,0.9066226482391356,0.8166666626930237,0.8945369720458984,0.8500000238418579,25,0.8388888835906982,0.8162360191345215,0.8833333253860474,0.8500000238418579,0.91238671541214,1.0,0.8166667222976685,0.8797385692596436,0.8535946607589722,0.8742857575416565,1,0.9000000953674316,0.17,1.0,0.9154832363128662,0.9189189076423644,0.9066226482391356,0.017049409449100494,0.8166667222976685,1.0,0.9059906005859376,0.9245187044143676,1.0,0.017049409449100494,0.8535946607589722,0.8162360191345215,0.8926715850830078,1.0,0.8166666626930237,0.899082601070404,0.9245187044143676,0.017049409449100494,0.8797385692596436,0.017745302990078926,0.8945369720458984,0.9380530714988708,0.9090909361839294,0.8166667819023132
no_init_box_kenn_horizontal_adapter_bert_ms,0,571axqud,0.25,1.0,0.9090909361839294,0.800000011920929,0.9285714626312256,0.9155706763267516,0.8666666746139526,0.018343903124332428,0.018789144232869148,0.8927939534187317,0.9060116410255432,0.906738579273224,0.8333333134651184,0.8945369720458984,0.8583333492279053,86,0.8500000238418579,0.8168896436691284,0.8833333253860474,0.8583333492279053,0.9189189076423644,1.0,0.8333333730697632,0.8799564242362976,0.8539518713951111,0.8786730170249939,1,0.9000000953674316,0.01,1.0,0.9155706763267516,0.9237668514251708,0.906738579273224,0.017397355288267136,0.8333333730697632,1.0,0.9060116410255432,0.9245766401290894,1.0,0.017397355288267136,0.8539518713951111,0.8168896436691284,0.8927939534187317,1.0,0.8333333730697632,0.9090909361839294,0.9245766401290894,0.017397355288267136,0.8799564242362976,0.017919275909662247,0.8945369720458984,0.9380530714988708,0.888888955116272,0.833333432674408
no_init_box_kenn_hybrid_adapter_bert_ms,2,zyzf92no,0.25,1.0,0.888888955116272,0.7333333492279053,0.9285714626312256,0.9153933525085448,0.8666666746139526,0.01815984398126602,0.018789144232869148,0.8925492167472839,0.905969500541687,0.9063906073570251,0.800000011920929,0.8945369720458984,0.8416666388511658,35,0.8277778625488281,0.8155824542045593,0.8833333253860474,0.8416666984558105,0.9057751297950744,1.0,0.8000000715255737,0.8795207142829895,0.8532370328903198,0.8698565363883972,1,0.9000000953674316,0.29000000000000004,1.0,0.9153933525085448,0.9140270948410034,0.9063906073570251,0.016701461747288704,0.8000000715255737,1.0,0.905969500541687,0.9245766401290894,1.0,0.016701461747288704,0.8532370328903198,0.8155824542045593,0.8925492167472839,1.0,0.800000011920929,0.888888955116272,0.9245766401290894,0.016701461747288704,0.8795207142829895,0.017571330070495605,0.8945369720458984,0.9380530714988708,0.8461538553237915,0.8000000715255737
no_init_box_kenn_top_down_adapter_bert_ms,2,180c48em,0.25,1.0,0.9380530714988708,0.8666666746139526,0.9473683834075928,0.9157835245132446,0.8999999761581421,0.0186135433614254,0.018789144232869148,0.8931609988212585,0.90607488155365,0.9071561098098756,0.8833333253860474,0.8945369720458984,0.8833333253860474,24,0.8833333849906921,0.8188503980636597,0.8833333253860474,0.8833333253860474,0.9380530714988708,1.0,0.8833333849906921,0.8806100487709045,0.8550220131874084,0.8915888071060181,1,0.9000000953674316,0.01,1.0,0.9157835245132446,0.9380530714988708,0.9071561098098756,0.01844119653105736,0.8833333849906921,1.0,0.90607488155365,0.9245766401290894,1.0,0.01844119653105736,0.8550220131874084,0.8188503980636597,0.8931609988212585,1.0,0.8833333253860474,0.9380530714988708,0.9245766401290894,0.01844119653105736,0.8806100487709045,0.01844119653105736,0.8945369720458984,0.9380530714988708,0.9285714626312256,0.8833333849906921
no_init_box_kenn_bottom_up_adapter_bert_ms,2,84l5qkcy,0.25,1.0,0.8679245114326477,0.7333333492279053,0.888888955116272,0.915274977684021,0.800000011920929,0.017972225323319435,0.018789144232869148,0.8923042416572571,0.9059272408485411,0.906158685684204,0.7666666507720947,0.8945369720458984,0.824999988079071,23,0.8055555820465088,0.8142752647399902,0.8833333253860474,0.8250000476837158,0.892307698726654,1.0,0.7666667103767395,0.8790849447250366,0.8525211811065674,0.8608696460723877,1,0.9000000953674316,0.14,1.0,0.915274977684021,0.904109537601471,0.906158685684204,0.016005568206310272,0.7666667103767395,1.0,0.9059272408485411,0.9245766401290894,1.0,0.016005568206310272,0.8525211811065674,0.8142752647399902,0.8923042416572571,1.0,0.7666666507720947,0.8679245114326477,0.9245766401290894,0.016005568206310272,0.8790849447250366,0.017223382368683815,0.8945369720458984,0.9380530714988708,0.8461538553237915,0.7666667103767395
no_init_box_kenn_hybrid_adapter_bert_ms,1,tpz8azgp,0.25,1.0,0.9285714626312256,0.8666666746139526,0.9285714626312256,0.915748119354248,0.8666666746139526,0.01852450706064701,0.018789144232869148,0.8930386900901794,0.9060538411140442,0.9070865511894226,0.8666666746139526,0.8945369720458984,0.875,31,0.8722223043441772,0.8181968331336975,0.8833333253860474,0.875,0.9317507743835448,1.0,0.8666666746139526,0.8803921341896057,0.8546655774116516,0.8873239755630493,1,0.9000000953674316,0.09,1.0,0.915748119354248,0.9333333373069764,0.9070865511894226,0.018093250691890717,0.8666666746139526,1.0,0.9060538411140442,0.9245766401290894,1.0,0.018093250691890717,0.8546655774116516,0.8181968331336975,0.8930386900901794,1.0,0.8666666746139526,0.9285714626312256,0.9245766401290894,0.018093250691890717,0.8803921341896057,0.018267223611474037,0.8945369720458984,0.9380530714988708,0.9285714626312256,0.8666666746139526
no_init_box_kenn_top_down_adapter_bert_ms,1,kqjaubk7,0.25,1.0,0.9189189076423644,0.8333333134651184,0.9285714626312256,0.9156594276428224,0.8666666746139526,0.018434632569551468,0.018789144232869148,0.8929163217544556,0.9060327410697936,0.9069125652313232,0.8500000238418579,0.8945369720458984,0.8666666746139526,51,0.8611111640930176,0.8175432085990906,0.8833333253860474,0.8666666746139526,0.9253731369972228,1.0,0.8500000238418579,0.8801742792129517,0.8543088436126709,0.8830189108848572,1,0.9000000953674316,0.45,1.0,0.9156594276428224,0.9285714626312256,0.9069125652313232,0.017745302990078926,0.8500000238418579,1.0,0.9060327410697936,0.9245766401290894,1.0,0.017745302990078926,0.8543088436126709,0.8175432085990906,0.8929163217544556,1.0,0.8500000238418579,0.9189189076423644,0.9245766401290894,0.017745302990078926,0.8801742792129517,0.018093250691890717,0.8945369720458984,0.9380530714988708,0.9090909361839294,0.8500000238418579
no_init_box_kenn_bottom_up_adapter_bert_ms,1,kz813qio,0.25,1.0,0.9285714626312256,0.8666666746139526,0.9285714626312256,0.915748119354248,0.8666666746139526,0.01852450706064701,0.018789144232869148,0.8930386900901794,0.9060538411140442,0.9070865511894226,0.8666666746139526,0.8945369720458984,0.875,42,0.8722223043441772,0.8181968331336975,0.8833333253860474,0.875,0.9317507743835448,1.0,0.8666666746139526,0.8803921341896057,0.8546655774116516,0.8873239755630493,1,0.9000000953674316,0.09,1.0,0.915748119354248,0.9333333373069764,0.9070865511894226,0.018093250691890717,0.8666666746139526,1.0,0.9060538411140442,0.9245766401290894,1.0,0.018093250691890717,0.8546655774116516,0.8181968331336975,0.8930386900901794,1.0,0.8666666746139526,0.9285714626312256,0.9245766401290894,0.018093250691890717,0.8803921341896057,0.018267223611474037,0.8945369720458984,0.9380530714988708,0.9285714626312256,0.8666666746139526
no_init_box_kenn_hybrid_adapter_bert_ms,0,s6et2s12,0.25,1.0,0.9189189076423644,0.800000011920929,0.9473683834075928,0.915700376033783,0.8999999761581421,0.01860053837299347,0.01913709193468094,0.8929163217544556,0.9060327410697936,0.9068255424499512,0.8500000238418579,0.8945369720458984,0.8666666746139526,65,0.8611111044883728,0.8175432085990906,0.8833333253860474,0.8666666746139526,0.925373077392578,1.0,0.8500000238418579,0.8801742792129517,0.8543088436126709,0.8909657597541809,1,0.9166667461395264,0.03,1.0,0.915700376033783,0.9285714626312256,0.9068255424499512,0.017745302990078926,0.8500000238418579,1.0,0.9060327410697936,0.9247506260871888,1.0,0.017745302990078926,0.8543088436126709,0.8175432085990906,0.8929163217544556,1.0,0.8500000238418579,0.9189189076423644,0.9247506260871888,0.017745302990078926,0.8801742792129517,0.018093250691890717,0.8945369720458984,0.9380530714988708,0.888888955116272,0.8500000238418579
