name,test_incremental_geography/macro_types/recall/mean,test_incremental/macro_example/precision/mean,test_incremental_geography-mountain/macro_types/recall/mean,test/macro_example/f1/mean,test_incremental/macro_example/f1/mean,test_incremental/macro_types/precision/mean,test_incremental_geography-glacier/macro_types/precision/mean,test_incremental_only/macro_example/precision/mean,test_incremental/micro/f1/mean,test_incremental_only/macro_example/f1/mean,test_incremental/macro_example_exclusive/recall/mean,test_incremental/macro_example_exclusive/f1/mean,test_incremental_only/macro_example_exclusive/f1/mean,test_incremental/micro/precision/mean,test_incremental_geography-glacier/macro_types/f1/mean,test_incremental_geography-island/macro_types/recall/mean,test_incremental_only/macro_types/recall/mean,test_incremental_geography/macro_types/f1/mean,test_incremental_only/macro_types/precision/mean,epoch/mean,test_incremental_only/macro_example_exclusive/precision/mean,test_incremental_only/macro_types/f1/mean,test/micro/f1/mean,test_incremental_only/micro/f1/mean,test_incremental/macro_example/recall/mean,test_incremental_geography-mountain/macro_types/precision/mean,test/micro/precision/mean,threshold_pretraining/mean,test/macro_types/recall/mean,test/macro_example/precision/mean,test_incremental_only/micro/recall/mean,test_incremental_only/micro/precision/mean,test_pretraining/macro_types/precision/mean,test_pretraining/macro_example/precision/mean,test_incremental_geography-mountain/macro_types/f1/mean,test/macro_types/precision/mean,test_incremental/micro/recall/mean,test/macro_types/f1/mean,threshold_incremental/mean,test/macro_example/recall/mean,test_pretraining/micro/f1/mean,test_incremental_geography/macro_types/precision/mean,test_incremental_geography-glacier/macro_types/recall/mean,test_pretraining/macro_types/f1/mean,test_pretraining/micro/precision/mean,test_pretraining/macro_types/recall/mean,test_incremental_geography-island/macro_types/precision/mean,test_incremental/macro_types/f1/mean,test_incremental_geography-island/macro_types/f1/mean,test_incremental/macro_example_exclusive/precision/mean,test_incremental_only/macro_example_exclusive/recall/mean,test/micro/recall/mean,test_pretraining/micro/recall/mean,test_incremental_only/macro_example/recall/mean,test_pretraining/macro_example/recall/mean,test_pretraining/macro_example/f1/mean,test_incremental/macro_types/recall/mean,test_incremental_geography/macro_types/recall/std,test_incremental/macro_example/precision/std,test_incremental_geography-mountain/macro_types/recall/std,test/macro_example/f1/std,test_incremental/macro_example/f1/std,test_incremental/macro_types/precision/std,test_incremental_geography-glacier/macro_types/precision/std,test_incremental_only/macro_example/precision/std,test_incremental/micro/f1/std,test_incremental_only/macro_example/f1/std,test_incremental/macro_example_exclusive/recall/std,test_incremental/macro_example_exclusive/f1/std,test_incremental_only/macro_example_exclusive/f1/std,test_incremental/micro/precision/std,test_incremental_geography-glacier/macro_types/f1/std,test_incremental_geography-island/macro_types/recall/std,test_incremental_only/macro_types/recall/std,test_incremental_geography/macro_types/f1/std,test_incremental_only/macro_types/precision/std,epoch/std,test_incremental_only/macro_example_exclusive/precision/std,test_incremental_only/macro_types/f1/std,test/micro/f1/std,test_incremental_only/micro/f1/std,test_incremental/macro_example/recall/std,test_incremental_geography-mountain/macro_types/precision/std,test/micro/precision/std,threshold_pretraining/std,test/macro_types/recall/std,test/macro_example/precision/std,test_incremental_only/micro/recall/std,test_incremental_only/micro/precision/std,test_pretraining/macro_types/precision/std,test_pretraining/macro_example/precision/std,test_incremental_geography-mountain/macro_types/f1/std,test/macro_types/precision/std,test_incremental/micro/recall/std,test/macro_types/f1/std,threshold_incremental/std,test/macro_example/recall/std,test_pretraining/micro/f1/std,test_incremental_geography/macro_types/precision/std,test_incremental_geography-glacier/macro_types/recall/std,test_pretraining/macro_types/f1/std,test_pretraining/micro/precision/std,test_pretraining/macro_types/recall/std,test_incremental_geography-island/macro_types/precision/std,test_incremental/macro_types/f1/std,test_incremental_geography-island/macro_types/f1/std,test_incremental/macro_example_exclusive/precision/std,test_incremental_only/macro_example_exclusive/recall/std,test/micro/recall/std,test_pretraining/micro/recall/std,test_incremental_only/macro_example/recall/std,test_pretraining/macro_example/recall/std,test_pretraining/macro_example/f1/std,test_incremental/macro_types/recall/std
no_init_box_adapter_bert_ms,0.9222221970558168,0.02992345206439495,0.7291666666666666,0.9132093191146851,0.028849575047691662,0.8418835798899332,0.9781361818313599,0.027487822497884434,0.8686137994130453,0.027253796656926472,0.8895062406857809,0.9212631384531657,0.8703046441078186,0.8528753519058228,0.9777746597925822,0.8494623502095541,0.8521355986595154,0.9540229439735411,0.7931463718414307,40.0,0.8777778546015421,0.8215218981107076,0.8904453913370768,0.7938564022382101,0.027855098868409794,0.834343949953715,0.9011967579523722,0.25,0.8182906111081442,0.9213697910308838,0.8494623700777689,0.7458221713701884,0.8846311767896017,0.9213697910308838,0.7718938191731771,0.8846311767896017,0.8852458993593851,0.8501685460408529,0.01,0.9051921566327413,0.8904453913370768,0.988095223903656,0.9777777592341105,0.8501685460408529,0.9011967579523722,0.8182906111081442,0.5669588645299276,0.8555153608322144,0.672076145807902,0.9555555979410807,0.8629630208015442,0.879948079586029,0.879948079586029,0.027023892228802044,0.9051921566327413,0.9132093191146851,0.8696572383244833,0.0,0.00034794770181179047,0.018042195912175797,0.0007552783365161997,0.0006435753540065943,0.04524428420770052,0.01894225326853993,0.0018079866052480844,0.023182337284373727,0.0018341897403850464,0.029416646942519525,0.020551439367496455,0.05857182061082057,0.025534779302734855,0.009623839977384509,0.1776635679615754,0.05556892549701471,0.0,0.06032574472980589,9.848857801796104,0.057735006271307905,0.05764779642273815,0.0009368862939511588,0.044051907542922264,0.0009211891455860399,0.18506444560053212,0.001099139364843937,0.0,0.0032058899330303344,0.0009010985586201295,0.055872587824257934,0.043840955470626386,0.0034803280043381886,0.0009010985586201295,0.0911814159396237,0.0034803280043381886,0.028394276098059574,0.003308186366042423,0.0,0.0006193952259507704,0.0009368862939511588,0.0,0.01924502503227447,0.003308186366042423,0.001099139364843937,0.0032058899330303344,0.0512714349021795,0.043126952908970055,0.0595807325982789,0.011111080646568142,0.05940376150682974,0.0011239550794364434,0.0011239550794364434,0.0018602426153476101,0.0006193952259507704,0.0007552783365161997,0.041676724256311644
no_init_box_kenn_bottom_up_adapter_bert_ms,0.9222221970558168,0.02998144303758939,0.6666666666666666,0.9139402906099955,0.028389463822046917,0.9273205995559692,1.0,0.025632104525963467,0.8943489789962769,0.02545670544107755,0.8611111442248026,0.9065702756245931,0.8129174908002218,0.936870257059733,0.9772062897682191,0.7634408473968506,0.7952210307121277,0.9540229439735411,0.9070624113082886,35.666666666666664,0.81851859887441,0.8467435836791992,0.8914895455042521,0.8353270490964254,0.026965901876489323,0.8888888955116272,0.9045577049255371,0.25,0.8150071104367574,0.9234729210535685,0.7921147147814432,0.8861998120943705,0.891203244527181,0.9234729210535685,0.7536562085151672,0.891203244527181,0.8561020096143087,0.8514013687769572,0.01,0.9046025474866232,0.8914895455042521,0.988095223903656,0.9555555383364359,0.8514013687769572,0.9045577049255371,0.8150071104367574,0.8322982390721639,0.8738813996315002,0.7746380766232809,0.9574074347813925,0.8074074387550354,0.8787944316864014,0.8787944316864014,0.025284156824151676,0.9046025474866232,0.9139402906099955,0.8269713123639425,0.0,0.00010044331195313502,0.036084391824351615,0.0005348330532670696,0.0005393798265488782,0.03015983369393869,0.0,0.001751294659840714,0.018139193049001932,0.0017884547529201154,0.02874845682800256,0.01722419842091667,0.05711125678131776,0.027779321777233447,0.010123028870592491,0.19444237234231046,0.05450163677697994,0.0,0.04021309997491471,2.3094010767585034,0.05592466460784165,0.03836630641540709,0.000693439019011105,0.036644383897926465,0.0009002641383829954,0.19245007825895602,0.0009768087801193686,0.0,0.003144310020535703,0.0005880277231575417,0.05412068455305718,0.053674691727821924,0.002319991030671479,0.0005880277231575417,0.0702528330044556,0.002319991030671479,0.027503958586546067,0.002211903292350526,0.0,0.00060981025994636,0.000693439019011105,0.0,0.019244990619516684,0.002211903292350526,0.0009768087801193686,0.003144310020535703,0.12599023074246216,0.028712711512725336,0.04813916955223037,0.0032075443202631863,0.058355349321070824,0.001088740211723143,0.001088740211723143,0.0018274133712687267,0.00060981025994636,0.0005348330532670696,0.040876256121887944
no_init_box_kenn_horizontal_adapter_bert_ms,0.9222221970558168,0.0293435404698054,0.53125,0.9138460159301758,0.027350860958298046,0.9703699151674906,1.0,0.022848527257641155,0.886673629283905,0.022731870412826538,0.8179012735684713,0.8734042048454285,0.7259044051170349,0.9760584235191345,0.9220779538154602,0.7419354716936747,0.7095803419748942,0.9540229439735411,0.9644615054130554,31.666666666666668,0.7296296954154968,0.8173901041348776,0.8912008206049601,0.8140048384666443,0.02561277337372303,0.9696969787279764,0.905801018079122,0.25,0.810066282749176,0.9242287476857504,0.7060931921005249,0.9615997076034546,0.8945147395133972,0.9242287476857504,0.6795061826705933,0.8945147395133972,0.812386155128479,0.8501978913942972,0.01,0.9036940336227417,0.8912008206049601,0.988095223903656,0.8555555542310079,0.8501978913942972,0.905801018079122,0.810066282749176,0.9236874183019003,0.8539935946464539,0.819994330406189,0.9370370904604594,0.7222222884496053,0.8770639499028524,0.8770639499028524,0.022616562743981678,0.9036940336227417,0.9138460159301758,0.7627407908439636,0.0,0.00020088662390627005,0.11267347735824966,3.328459137104406e-05,0.00020750423227373837,0.014765678956296192,0.0,0.0005314978776566976,0.001035435960147238,0.0005797599044107178,0.009502965384858243,0.00662626992578189,0.018513689509405115,0.00960879462882597,0.011247087188302052,0.08534682520664125,0.015289055908469438,0.0,0.01968760023570866,11.015141094572204,0.016972488555474438,0.004210764096425601,3.651660616191461e-05,0.003543453690027657,0.0002975884772261985,0.05248637246598519,0.00027701884570531277,0.0,0.0008820302523634406,0.0002657419283051635,0.016425012840393237,0.020943601427099744,0.001135816503553913,0.0002657419283051635,0.0887076178488273,0.001135816503553913,0.008347126798471712,0.0001675286103488928,0.0,0.00019016855143392074,3.651660616191461e-05,0.0,0.019245025032274446,0.0001675286103488928,0.00027701884570531277,0.0008820302523634406,0.05781088106479513,0.0025881504207833647,0.054268030802410556,0.00641498540225295,0.02003085988950812,0.00033041173611073873,0.00033041173611073873,0.0006272693153095391,0.00019016855143392074,3.328459137104406e-05,0.011466762478490652
no_init_box_kenn_hybrid_adapter_bert_ms,0.9222221970558168,0.029633495956659317,0.6145833333333334,0.9139028588930765,0.027878155931830406,0.9394423365592957,1.0,0.02435629814863205,0.8885743816693624,0.024180872986714046,0.8407407601674398,0.8902424573898315,0.7721759080886841,0.9495501518249512,0.9711566766103109,0.7096774180730184,0.7562350829442342,0.9540229439735411,0.9232247273127238,28.333333333333332,0.7777778704961141,0.8297047217686971,0.8912715911865234,0.8213478922843933,0.026327998687823612,0.9166666666666666,0.9049508571624756,0.25,0.8127578894297282,0.9238401850064596,0.7526881694793701,0.9099631905555725,0.8921356995900472,0.9238401850064596,0.7287767926851908,0.8921356995900472,0.8360655705134074,0.8505933880805969,0.013333333333333334,0.9041773478190104,0.8912715911865234,0.988095223903656,0.9444444179534912,0.8505933880805969,0.9049508571624756,0.8127578894297282,0.8530075152715048,0.8618776798248291,0.7490052978197733,0.9462963541348776,0.7666667103767395,0.8780012925465902,0.8780012925465902,0.02400835230946541,0.9041773478190104,0.9139028588930765,0.797731856505076,0.0,0.00010044438735181359,0.07216878364870322,0.00030685337940403136,0.0005726145497796784,0.027135690296335387,0.0,0.001937287134325991,0.006360331050499363,0.0019076101979086867,0.03031613534770807,0.018285532758591867,0.060916398663651714,0.028254045262893778,0.020601266226226614,0.22580642785344807,0.06091450265517007,0.0,0.03618092039511377,6.429100507328637,0.06186402873053947,0.027432267213839737,0.00024210751517365008,0.01596600458426613,0.0009493555736503073,0.14433756729740643,0.0009027145707017987,0.0,0.0035143180029314244,0.00046923219069340544,0.059868435793144055,0.05459220872867249,0.002087339359126526,0.00046923219069340544,0.05522995176899773,0.002087339359126526,0.030424925230433282,0.0013843359319825254,0.005773502691896258,0.0006394389217657152,0.00024210751517365008,0.0,0.03849001565179121,0.0013843359319825254,0.0009027145707017987,0.0035143180029314244,0.12327329097202162,0.01962549375308551,0.07103954644002096,0.003207492701264969,0.06009252180878,0.001204368811230694,0.001204368811230694,0.0018818115621621007,0.0006394389217657152,0.00030685337940403136,0.0456858930512252
no_init_box_kenn_top_down_adapter_bert_ms,0.9222221970558168,0.03009742560485999,0.6979166666666666,0.9133974512418112,0.028814199691017468,0.8654122948646545,1.0,0.02702389284968376,0.8754546840985616,0.026819282521804173,0.8827160795529684,0.9201334317525228,0.8564291596412659,0.8731431762377421,0.9887005488077799,0.8387096524238586,0.8381347258885702,0.9540229439735411,0.8245179851849874,28.333333333333332,0.8629630406697592,0.8312293291091919,0.8907383481661478,0.8043972452481588,0.027642466127872467,0.8290598392486572,0.9020999073982239,0.25,0.8174828886985779,0.9219032923380533,0.8351254463195801,0.7763685782750448,0.8864410718282064,0.9219032923380533,0.7465857863426208,0.8864410718282064,0.8779599070549011,0.8505663871765137,0.016666666666666666,0.9050471584002177,0.8907383481661478,0.988095223903656,0.9777777592341105,0.8505663871765137,0.9020999073982239,0.8174828886985779,0.6444939970970154,0.8622478644053141,0.711636503537496,0.9611111481984457,0.8500000635782877,0.8796596725781759,0.8796596725781759,0.026617954795559246,0.9050471584002177,0.9133974512418112,0.8591565489768982,0.0,0.0001739738509067266,0.04773516348912333,0.0007036797496277301,0.0005611581396907439,0.030503820049932302,0.0,0.0017163831155295039,0.017700776694048813,0.001767307801020857,0.028468777912380106,0.01791967643448907,0.0564360106083606,0.011568700764981142,0.009785611781284863,0.17069362788484238,0.05269038102246311,0.0,0.04067181434449358,6.429100507328637,0.0548098163836458,0.0463886920361553,0.0007010503628555474,0.0351988881815758,0.0008915062841008329,0.23266079961637245,0.00046717658594843455,0.0,0.003039813080745891,0.0008913124491430786,0.0530417690941931,0.022893070190760017,0.0023464362643345928,0.0008913124491430786,0.11126592527866001,0.0023464362643345928,0.02695564145927209,0.0027139171150267986,0.005773502691896258,0.0005958646864718014,0.0007010503628555474,0.0,0.01924502503227447,0.0027139171150267986,0.00046717658594843455,0.003039813080745891,0.11124484433042134,0.03489647961874606,0.013697780152787876,0.0055555701256864015,0.058001683670116,0.0010670084898081976,0.0010670084898081976,0.0018163365814030704,0.0005958646864718014,0.0007036797496277301,0.039517808710000005
no_init_kenn_bottom_up_adapter_bert_ms,0.8999999761581421,0.029304878786206245,0.8333333333333334,0.9197768171628317,0.028872642045219738,0.8510271906852722,0.9213517705599467,0.028763629496097565,0.8842934767405192,0.02881898668905099,0.908642033735911,0.9219997723897299,0.9202863375345866,0.8677939573923746,0.9420593976974487,0.9354838530222574,0.9118279814720154,0.9418604373931884,0.8054347038269043,24.333333333333332,0.918518582979838,0.8509945869445801,0.9046747287114462,0.8376113573710123,0.028454342236121494,0.7540229757626852,0.9102975130081177,0.375,0.8644416133562723,0.9256378809611002,0.9103942712148031,0.7848938902219137,0.8985863327980042,0.9256378809611002,0.7756678462028503,0.8985863327980042,0.9052823384602865,0.8811708688735962,0.19333333333333336,0.9139913519223533,0.9046747287114462,0.9878048896789552,0.9666666388511658,0.8811708688735962,0.9102975130081177,0.8644416133562723,0.7409292459487915,0.8767163952191671,0.8195937474568685,0.9358025391896566,0.9222222765286764,0.8991275628407797,0.8991275628407797,0.02887961082160473,0.9139913519223533,0.9197768171628317,0.9088709553082784,0.0,0.0004932095646220837,0.04773516348912332,0.000948153550359548,0.00040400026963930005,0.09142926161849096,0.08658363088307866,0.0007031042590706253,0.04017794611892713,0.000653430419429582,0.01233026959377744,0.012901095541791124,0.020866341483647792,0.08643859680803889,0.046001472298190994,0.03225806355476838,0.024347829337028077,0.0,0.12190572178424465,5.859465277082316,0.02245253493977972,0.06128636492639397,0.001703711045802933,0.0688395173253132,0.0003861249167482457,0.22080635141775323,0.003858768604216208,0.0,0.0014046761314703076,0.002103241155170993,0.024832280373424533,0.13494289447472932,0.007033029859979298,0.002103241155170993,0.12333717410656231,0.007033029859979298,0.012619708854922175,0.0028140704210743487,0.16258331197676265,0.0002598606136448212,0.001703711045802933,0.0,0.0,0.0028140704210743487,0.003858768604216208,0.0014046761314703076,0.14837385904376793,0.042520758399527625,0.07757153644261124,0.015749801069227007,0.02421613456554808,0.0004995355908606335,0.0004995355908606335,0.000758333580277292,0.0002598606136448212,0.000948153550359548,0.018260876355672577
no_init_kenn_horizontal_adapter_bert_ms,0.8999999761581421,0.02971081684033076,0.8541666666666666,0.9199291070302328,0.029109012335538864,0.8636648058891296,0.9375,0.029169566929340363,0.8950310945510864,0.02911106248696645,0.9111111760139465,0.9295478860537211,0.9296133120854696,0.8835886120796204,0.9513394832611084,0.924731175104777,0.915188193321228,0.9418604373931884,0.8222848375638326,23.333333333333332,0.9314815600713094,0.8658060232798258,0.9051717122395835,0.8547805547714233,0.028531663740674656,0.8361111084620158,0.9112241864204407,0.375,0.8646354476610819,0.9258949955304464,0.9139784971872965,0.8036542733510336,0.899558444817861,0.9258949955304464,0.8413978616396586,0.899558444817861,0.9071038166681925,0.8817500074704488,0.12666666666666668,0.914039691289266,0.9051717122395835,0.9878048896789552,0.9666666388511658,0.8817500074704488,0.9112241864204407,0.8646354476610819,0.6932432452837626,0.88665372133255,0.7901708881060282,0.948765496412913,0.9277778466542562,0.8991996645927429,0.8991996645927429,0.029053584362069767,0.914039691289266,0.9199291070302328,0.9113911191622416,0.0,0.0005481112872174702,0.018042195912175797,0.0003564708856155246,0.00043876282592035737,0.039255628600249344,0.05412658773652741,0.0009581709462328695,0.017561348321367437,0.0008263903711740646,0.011111080646514934,0.014011151279181582,0.026389422748813833,0.030175217923364018,0.027462825985230716,0.049274992997335225,0.02133758058960167,0.0,0.052340828415848376,6.806859285554046,0.030597604211098407,0.03458708550380035,0.0007115547105720003,0.03188293206122567,0.00034794677048963305,0.14051820989776806,0.0012581667461514245,0.0,0.001230997627890456,0.0005545524613137784,0.021505385637290153,0.04979762969861224,0.003019658921838768,0.0005545524613137784,0.08077941475411353,0.003019658921838768,0.010928958654417176,0.0018513412312178236,0.0802080627701064,0.00023192167537414374,0.0007115547105720003,0.0,0.0,0.0018513412312178236,0.0012581667461514245,0.001230997627890456,0.059147678590841246,0.02520695248134264,0.028906713029346446,0.017503043618459,0.02222222089770115,0.00043261051177978516,0.00043261051177978516,0.0006958944723012145,0.00023192167537414374,0.0003564708856155246,0.01600317801125154
no_init_kenn_hybrid_adapter_bert_ms,0.8999999761581421,0.029343539848923683,0.8020833333333334,0.9201781948407491,0.02882940073808034,0.8934135238329569,0.9607843160629272,0.028589655334750812,0.9024030963579813,0.028614374498526256,0.9049383203188578,0.9206189314524332,0.9137523571650187,0.9072385231653849,0.9678672154744467,0.9354838530222574,0.905115008354187,0.9418604373931884,0.8619498014450073,24.333333333333332,0.9129629929860433,0.8778571685155233,0.9054163495699564,0.8696914712587992,0.0283383596688509,0.8104395667711893,0.9119493762652079,0.375,0.8640543222427368,0.9265309572219849,0.9032257994016012,0.8498139381408691,0.9018468260765076,0.9265309572219849,0.785714308420817,0.9018468260765076,0.9016393224398295,0.8825305700302124,0.4466666666666667,0.9139140446980795,0.9054163495699564,0.9878048896789552,0.9777777592341105,0.8825305700302124,0.9119493762652079,0.8640543222427368,0.8146253824234009,0.8958442807197571,0.8681012193361918,0.9370370904604594,0.9148148695627848,0.898983359336853,0.898983359336853,0.02864764630794525,0.9139140446980795,0.9201781948407491,0.9038362503051758,0.0,0.0005154374192601565,0.06505206248331663,0.0009133828393695066,0.0003150486278902403,0.09920814456987545,0.06792355703257272,0.00026574822752102313,0.03922598813704739,0.00043078545339599077,0.013650248383981255,0.01006056817381507,0.01375646462048521,0.08955642660604106,0.02629878004306673,0.03225806355476838,0.028018262090051937,0.0,0.13227750071125827,5.859465277082316,0.008486247529465132,0.061307712538700314,0.0016250681024071675,0.06829368039408254,0.0004274595384394476,0.24155521750655637,0.003866990330083705,0.0,0.0016164144384210718,0.002135573622370148,0.028448945490287175,0.14269950074464682,0.007631370154763177,0.002135573622370148,0.10378330883069548,0.007631370154763177,0.014457658976340644,0.0028572391700788704,0.4278239513320091,0.00029040890954910235,0.0016250681024071675,0.0,0.01924502503227447,0.0028572391700788704,0.003866990330083705,0.0016164144384210718,0.09928518102572585,0.042674819775413944,0.0543029357714955,0.016459571926770174,0.026254566478708476,0.0005722899143608451,0.0005722899143608451,0.0008221678176469931,0.00029040890954910235,0.0009133828393695066,0.02101373599068331
no_init_kenn_top_down_adapter_bert_ms,0.8999999761581421,0.02978813958664735,0.84375,0.9190218448638916,0.029236181328694027,0.7975726922353109,0.9496731956799825,0.02945952241619428,0.8547621766726176,0.02942889618376891,0.9166667461395264,0.9336087505022684,0.9397628704706827,0.8046616514523824,0.9624058206876119,0.9569892287254333,0.9261723359425864,0.9418604373931884,0.7341619729995728,24.666666666666668,0.9407408038775126,0.8176779349644979,0.9034230907758077,0.7869583368301392,0.02870563728113969,0.646661768356959,0.9074682593345642,0.375,0.8652691642443339,0.9239406983057658,0.924731194972992,0.6865886449813843,0.8944744269053141,0.9239406983057658,0.718170682589213,0.8944744269053141,0.9125683307647704,0.8796261350313822,0.26,0.914155662059784,0.9034230907758077,0.9878048896789552,0.9777777592341105,0.8796261350313822,0.9074682593345642,0.8652691642443339,0.6061508059501648,0.8535725275675455,0.7384785413742065,0.9512346386909485,0.9388889670372008,0.8994159698486328,0.8994159698486328,0.02940153144299984,0.914155662059784,0.9190218448638916,0.9196292559305826,0.0,0.00035433185069554465,0.0,0.000678510381601198,0.00017099869949296288,0.05509147831594567,0.06063654041151298,0.000531497877656697,0.026140411536707032,0.00026599627500965156,0.0,0.005460570880385486,0.008494152603348425,0.04557569088790562,0.023072392645375053,0.01862418447050008,0.00020692391208630505,0.0,0.0734552818407497,5.507570547286101,0.016972521072485217,0.04674118995971951,0.0011931193482426726,0.042401287165565106,1.0753986778124722e-09,0.2260591872425114,0.0024058220171673615,0.0,1.1941226924006283e-05,0.0013709950695111558,0.0,0.06291004034604575,0.004237812856266268,0.0013709950695111558,0.13876281020782816,0.004237812856266268,0.0,0.002045541389571689,0.09165151389911683,0.0,0.0011931193482426726,0.0,0.01924502503227447,0.002045541389571689,0.0024058220171673615,1.1941226924006283e-05,0.1071566433253549,0.032076365456281265,0.08137391342727121,0.011314998873719407,0.0,0.0,0.0,0.0,0.0,0.000678510381601198,0.00015523595001188937
smart_init_box_adapter_bert_ms,0.9222221970558168,0.019813655875623223,0.9166666666666666,0.9059029817581177,0.023029897982875507,0.5696173508961996,0.4725906252861023,0.01645016639182965,0.6247942050298055,0.019917400864263374,0.9370371103286743,0.7354214588801066,0.6360290348529815,0.5268808156251907,0.5589229315519333,0.9354838530222574,0.9507168928782145,0.9540229439735411,0.43012473980585736,30.666666666666668,0.5253086586793264,0.5206184983253479,0.8680453101793925,0.5191194216410319,0.029343539848923683,0.39076333741346997,0.8556739687919617,0.25,0.8239780068397522,0.9057488838831583,0.9498207767804464,0.4279017597436905,0.8636876145998637,0.9057488838831583,0.48778168360392254,0.8636876145998637,0.936247726281484,0.8432489037513733,0.14666666666666667,0.9061972896258036,0.8680453101793925,0.988095223903656,1.0,0.8432489037513733,0.8556739687919617,0.8239780068397522,0.42702020704746246,0.6790197094281515,0.514789029955864,0.6327160795529684,0.953703761100769,0.8819669683774313,0.8819669683774313,0.029865461091200512,0.9061972896258036,0.9059029817581177,0.9435931841532389,0.0,0.007952003137277447,0.090210979560879,0.009429350159246121,0.005040753420738189,0.29340671179312405,0.46362998418708445,0.01031238117053121,0.2797382848405303,0.0074597594993715925,0.017858603730021728,0.16096807030484045,0.23821500602113838,0.358993830301514,0.3973348907243021,0.03225806355476837,0.039747726156937856,0.0,0.3912089378210826,40.12895878705717,0.3293087228793455,0.33613192018706567,0.027238163018892682,0.3337210285521933,0.0005592474934134245,0.3161115578945567,0.053094851595646315,0.0,0.002293143222084349,0.019140596821269448,0.04070903667977281,0.3874584665744817,0.02256974029132182,0.019140596821269448,0.27378533558304535,0.02256974029132182,0.020688173030034996,0.00948049059177296,0.21079215671683169,0.000389353445782455,0.027238163018892682,0.0,0.0,0.00948049059177296,0.053094851595646315,0.002293143222084349,0.3947997377857739,0.2044882588911958,0.3386899819287407,0.25393396641515137,0.03255256852154253,0.0008189525932812937,0.0008189525932812937,0.0010193914603166606,0.000389353445782455,0.009429350159246121,0.029810777569452437
