name,instance,run_id,test/macro_types/f1,test_pretraining/macro_example/recall,test_pretraining/macro_types/precision,test_incremental_only/micro/f1,test_incremental_government/macro_types/f1,test_incremental_government-political_party/macro_types/f1,test/micro/recall,test_pretraining/macro_types/f1,test_incremental_only/macro_types/recall,test_incremental_only/macro_example_exclusive/precision,test_pretraining/macro_types/recall,test_incremental_government-government/macro_types/precision,test_incremental_government-political_party/macro_types/precision,test_incremental_government-political_party/macro_types/recall,test_incremental/micro/f1,test_incremental/micro/recall,test_pretraining/micro/precision,test_incremental_only/macro_example/recall,test/macro_example/recall,test/macro_example/f1,test_incremental/macro_example/recall,test_incremental_only/micro/precision,test_incremental_government/macro_types/recall,test_incremental_government-government/macro_types/recall,test_incremental_government/macro_types/precision,test/macro_example/precision,test_incremental/macro_types/recall,test_incremental_only/macro_example/f1,test_incremental/macro_example_exclusive/f1,test/micro/precision,test_incremental_government-government/macro_types/f1,test_incremental_only/micro/recall,test_incremental/macro_types/precision,test_pretraining/micro/f1,test_incremental/micro/precision,test_incremental/macro_example/precision,test/micro/f1,test_incremental_only/macro_example/precision,threshold_incremental,test_incremental/macro_types/f1,test_pretraining/macro_example/f1,test_incremental/macro_example_exclusive/recall,test_incremental_only/macro_example_exclusive/f1,test_pretraining/micro/recall,test/macro_types/precision,epoch,test_incremental/macro_example/f1,test_incremental_only/macro_types/precision,test_pretraining/macro_example/precision,test_incremental/macro_example_exclusive/precision,test_incremental_only/macro_example_exclusive/recall,test_incremental_only/macro_types/f1,threshold_pretraining,test/macro_types/recall
no_init_box_kenn_hybrid_adapter_bert_ms,2,rhegabf2,0.8492066860198975,0.9026560187339784,0.8940700888633728,0.7730061411857605,0.9543147087097168,0.6666666865348816,0.875351071357727,0.8492066860198975,0.6227272748947144,0.6363636255264282,0.8086305856704712,0.976190447807312,1.0,0.5,0.8722221851348877,0.7929292917251587,0.906082272529602,0.021920669823884964,0.9026560187339784,0.9134565591812134,0.027313848957419395,0.984375,0.9494949579238892,0.7454545497894287,0.9591836929321288,0.9245187044143676,0.7316498756408691,0.021920669823884964,0.8641780018806458,0.906082272529602,0.8453608155250549,0.6363636255264282,0.9784581065177916,0.8904516100883484,0.9691358208656312,0.03270702809095383,0.8904516100883484,0.021920669823884964,0.02,0.8372438549995422,0.9134565591812134,0.7929292917251587,0.6363636255264282,0.875351071357727,0.8940700888633728,66,0.029768135398626328,0.988095223903656,0.9245187044143676,0.9494949579238892,0.6363636255264282,0.7639747262001038,0.25,0.8086305856704712
no_init_box_kenn_top_down_adapter_bert_ms,2,hirv2das,0.8496092557907104,0.9029170274734496,0.8940913081169128,0.7878788113594055,0.9543147087097168,0.6666666865348816,0.8757830858230591,0.8496092557907104,0.6409090757369995,0.6565656661987305,0.8093435764312744,0.9772727489471436,1.0,0.5,0.8784530758857727,0.8030303120613098,0.9061242938041688,0.022616561502218246,0.9029170274734496,0.9135901927947998,0.027661796659231182,0.9848484992980956,0.9494949579238892,0.7818182110786438,0.9591836929321288,0.9245187044143676,0.7437711358070374,0.022616561502218246,0.8701423406600952,0.9061242938041688,0.8686869144439697,0.6565656661987305,0.9788188934326172,0.8906953930854797,0.9695122241973876,0.03270702809095383,0.8906953930854797,0.022616561502218246,0.04,0.8452588319778442,0.9135901927947998,0.8030303120613098,0.6565656661987305,0.8757830858230591,0.8940913081169128,54,0.0299735888838768,0.9886363744735718,0.9245187044143676,0.9494949579238892,0.6565656661987305,0.7776721119880676,0.25,0.8093435764312744
no_init_box_kenn_bottom_up_adapter_bert_ms,2,3o42du9p,0.8492066860198975,0.9026269912719728,0.8940700888633728,0.7730061411857605,0.9543147087097168,0.6666666865348816,0.875351071357727,0.8492066860198975,0.6227272748947144,0.6363636255264282,0.8086305856704712,0.976190447807312,1.0,0.5,0.8722221851348877,0.7929292917251587,0.906082272529602,0.021920669823884964,0.9026269912719728,0.9134417176246644,0.027313848957419395,0.984375,0.9494949579238892,0.7454545497894287,0.9591836929321288,0.9245187044143676,0.7316498756408691,0.021920669823884964,0.8641780614852905,0.906082272529602,0.8453608155250549,0.6363636255264282,0.9784581065177916,0.8904516100883484,0.9691358208656312,0.03270702809095383,0.8904516100883484,0.021920669823884964,0.01,0.8372438549995422,0.9134417176246644,0.7929293513298035,0.6363636255264282,0.875351071357727,0.8940700888633728,73,0.029768135398626328,0.988095223903656,0.9245187044143676,0.9494949579238892,0.6363636255264282,0.7639747262001038,0.25,0.8086305856704712
no_init_box_kenn_hybrid_adapter_bert_ms,1,vumnww0w,0.843927264213562,0.9001507759094238,0.8945369720458984,0.5112782120704651,0.9543147087097168,0.7605633735656738,0.8690862059593201,0.843927264213562,0.3704545497894287,0.34343433380126953,0.7987375259399414,1.0,1.0,0.6136363744735718,0.7757576107978821,0.6464646458625793,0.9056731462478638,0.011830202303826807,0.9001507759094238,0.9121720194816588,0.022268615663051605,1.0,0.9494949579238892,0.12727272510528564,0.9591836929321288,0.9245187044143676,0.5634680390357971,0.011830202303826807,0.7692111134529114,0.9056731462478638,0.22580644488334656,0.34343433380126953,0.9863946437835692,0.8870025873184204,0.9696969985961914,0.03270702809095383,0.8870025873184204,0.011830202303826807,0.01,0.7172272801399231,0.9121720194816588,0.6464645862579346,0.34343433380126953,0.8690862059593201,0.8945369720458984,50,0.02649683319032192,1.0,0.9245187044143676,0.9494949579238892,0.34343433380126953,0.5406301617622375,0.25,0.7987375259399414
no_init_box_kenn_top_down_adapter_bert_ms,1,5y759i7j,0.8428763747215271,0.9006553292274475,0.8896349668502808,0.5531914830207825,0.9543147087097168,0.8108108043670654,0.8701663613319397,0.8428763747215271,0.4227272868156433,0.3939394056797027,0.8007874488830566,0.75,1.0,0.6818181872367859,0.7869822382926941,0.6717171669006348,0.9051685333251952,0.013569938018918036,0.9006553292274475,0.9123463034629822,0.02313848212361336,0.9285714030265808,0.9494949579238892,0.16363635659217834,0.9591836929321288,0.9243447184562684,0.5983165502548218,0.013569938018918036,0.7868089079856873,0.9051685333251952,0.2686567008495331,0.3939394056797027,0.9030612707138062,0.8873224258422852,0.949999988079071,0.03270702809095383,0.8873224258422852,0.013569938018918036,0.02,0.7197608947753906,0.9123463034629822,0.6717171669006348,0.39393943548202515,0.8701663613319397,0.8896349668502808,50,0.02710301987826824,0.875,0.9243447184562684,0.9494949579238892,0.3939394056797027,0.5700525045394897,0.25,0.8007874488830566
no_init_box_kenn_bottom_up_adapter_bert_ms,1,9ha0t5bk,0.8436784148216248,0.9000347852706909,0.8945369720458984,0.5,0.9543147087097168,0.7428571581840515,0.8688701391220093,0.8436784148216248,0.3590908944606781,0.3333333134651184,0.7982918620109558,1.0,1.0,0.5909090638160706,0.7720364928245544,0.6414141654968262,0.905651867389679,0.011482255533337591,0.9000347852706909,0.9121124744415284,0.022094640880823135,1.0,0.9494949579238892,0.12727272510528564,0.9591836929321288,0.9245187044143676,0.5558922290802002,0.011482254602015018,0.7656245231628418,0.905651867389679,0.22580644488334656,0.3333333432674408,0.9863946437835692,0.8868797421455383,0.969465672969818,0.03270702809095383,0.8868797421455383,0.011482255533337591,0.01,0.7110598087310791,0.9121124744415284,0.6414141654968262,0.3333333134651184,0.8688701391220093,0.8945369720458984,58,0.026373285800218586,1.0,0.9245187044143676,0.9494949579238892,0.3333333134651184,0.5284280776977539,0.25,0.7982918620109558
no_init_box_kenn_hybrid_adapter_bert_ms,0,43yj0k43,0.8469460606575012,0.9010844230651855,0.8937526345252991,0.6754966974258423,0.9543147087097168,0.7605633735656738,0.872758686542511,0.8469460606575012,0.5249999761581421,0.5151515007019043,0.8047981262207031,0.959999978542328,1.0,0.6136363744735718,0.8333333134651184,0.7323232293128967,0.9058296084403992,0.017745302990078926,0.9010844230651855,0.9126426577568054,0.0252261646091938,0.9807692170143129,0.9494949579238892,0.4363636374473572,0.9591836929321288,0.9245012998580932,0.6664983034133911,0.017745302990078926,0.8268874883651733,0.9058296084403992,0.5999999642372131,0.5151515007019043,0.9730612635612488,0.8889867067337036,0.9666666388511658,0.03270702809095383,0.8889867067337036,0.017745302990078926,0.04,0.791119396686554,0.9126426577568054,0.7323232293128967,0.5151515007019043,0.872758686542511,0.8937526345252991,87,0.028483597561717033,0.9800000190734864,0.9245012998580932,0.9494949579238892,0.5151515007019043,0.6837208867073059,0.25,0.8047981262207031
no_init_box_kenn_top_down_adapter_bert_ms,0,9mmjxmf2,0.8469460606575012,0.9010844230651855,0.8937526345252991,0.6754966974258423,0.9543147087097168,0.7605633735656738,0.872758686542511,0.8469460606575012,0.5249999761581421,0.5151515007019043,0.8047981262207031,0.959999978542328,1.0,0.6136363744735718,0.8333333134651184,0.7323232293128967,0.9058296084403992,0.017745302990078926,0.9010844230651855,0.9126426577568054,0.0252261646091938,0.9807692170143129,0.9494949579238892,0.4363636374473572,0.9591836929321288,0.9245012998580932,0.6664983034133911,0.017745302990078926,0.8268874883651733,0.9058296084403992,0.5999999642372131,0.5151515007019043,0.9730612635612488,0.8889867067337036,0.9666666388511658,0.03270702809095383,0.8889867067337036,0.017745302990078926,0.13,0.791119396686554,0.9126426577568054,0.7323232293128967,0.5151515007019043,0.872758686542511,0.8937526345252991,68,0.028483597561717033,0.9800000190734864,0.9245012998580932,0.9494949579238892,0.5151515007019043,0.6837208867073059,0.25,0.8047981262207031
no_init_box_kenn_bottom_up_adapter_bert_ms,0,kzkikck3,0.8480300307273865,0.9014787673950196,0.8938608169555664,0.7179486751556396,0.9543147087097168,0.7777777910232544,0.8738388419151306,0.8480300307273865,0.5727272629737854,0.5656565427780151,0.8066697716712952,0.9655172228813172,1.0,0.6363636255264282,0.849858283996582,0.7575757503509521,0.9059350490570068,0.01948503777384758,0.9014787673950196,0.9128448963165284,0.026096034795045853,0.9824561476707458,0.9494949579238892,0.5090909004211426,0.9591836929321288,0.9245012998580932,0.6983165740966797,0.01948503777384758,0.8427469730377197,0.9059350490570068,0.6666666269302368,0.5656565427780151,0.9749003648757936,0.8895975351333618,0.9677419066429138,0.03270702809095383,0.8895975351333618,0.01948503777384758,0.01,0.8137487173080444,0.9128448963165284,0.7575758099555969,0.5656565427780151,0.8738388419151306,0.8938608169555664,74,0.029029907658696175,0.982758641242981,0.9245012998580932,0.9494949579238892,0.5656565427780151,0.7237001061439514,0.25,0.8066697716712952
no_init_box_kenn_horizontal_adapter_bert_ms,2,99h54qev,0.8429811000823975,0.8998028039932251,0.8945369720458984,0.5112782120704651,0.9543147087097168,0.307692289352417,0.8690862059593201,0.8429811000823975,0.3272727131843567,0.34343433380126953,0.7970440983772278,1.0,1.0,0.1818181872367859,0.7757576107978821,0.6464646458625793,0.9056731462478638,0.011830201372504234,0.8998028039932251,0.9119933247566224,0.022268615663051605,1.0,0.9494949579238892,0.4727272689342499,0.9591836929321288,0.9245187044143676,0.5346801280975342,0.011830202303826807,0.7692111134529114,0.9056731462478638,0.6419752836227417,0.34343433380126953,0.9863946437835692,0.8870025873184204,0.9696969985961914,0.03270702809095383,0.8870025873184204,0.011830201372504234,0.03,0.6934643983840942,0.9119933247566224,0.6464646458625793,0.34343433380126953,0.8690862059593201,0.8945369720458984,71,0.02649683319032192,1.0,0.9245187044143676,0.9494949579238892,0.34343433380126953,0.4931506812572479,0.25,0.7970440983772278
