name,test/macro_types/f1/mean,test_pretraining/macro_example/recall/mean,test_pretraining/macro_types/precision/mean,test_incremental_only/micro/f1/mean,test_incremental_government/macro_types/f1/mean,test_incremental_government-political_party/macro_types/f1/mean,test/micro/recall/mean,test_pretraining/macro_types/f1/mean,test_incremental_only/macro_types/recall/mean,test_incremental_only/macro_example_exclusive/precision/mean,test_pretraining/macro_types/recall/mean,test_incremental_government-government/macro_types/precision/mean,test_incremental_government-political_party/macro_types/precision/mean,test_incremental_government-political_party/macro_types/recall/mean,test_incremental/micro/f1/mean,test_incremental/micro/recall/mean,test_pretraining/micro/precision/mean,test_incremental_only/macro_example/recall/mean,test/macro_example/recall/mean,test/macro_example/f1/mean,test_incremental/macro_example/recall/mean,test_incremental_only/micro/precision/mean,test_incremental_government/macro_types/recall/mean,test_incremental_government-government/macro_types/recall/mean,test_incremental_government/macro_types/precision/mean,test/macro_example/precision/mean,test_incremental/macro_types/recall/mean,test_incremental_only/macro_example/f1/mean,test_incremental/macro_example_exclusive/f1/mean,test/micro/precision/mean,test_incremental_government-government/macro_types/f1/mean,test_incremental_only/micro/recall/mean,test_incremental/macro_types/precision/mean,test_pretraining/micro/f1/mean,test_incremental/micro/precision/mean,test_incremental/macro_example/precision/mean,test/micro/f1/mean,test_incremental_only/macro_example/precision/mean,threshold_incremental/mean,test_incremental/macro_types/f1/mean,test_pretraining/macro_example/f1/mean,test_incremental/macro_example_exclusive/recall/mean,test_incremental_only/macro_example_exclusive/f1/mean,test_pretraining/micro/recall/mean,test/macro_types/precision/mean,epoch/mean,test_incremental/macro_example/f1/mean,test_incremental_only/macro_types/precision/mean,test_pretraining/macro_example/precision/mean,test_incremental/macro_example_exclusive/precision/mean,test_incremental_only/macro_example_exclusive/recall/mean,test_incremental_only/macro_types/f1/mean,threshold_pretraining/mean,test/macro_types/recall/mean,test/macro_types/f1/std,test_pretraining/macro_example/recall/std,test_pretraining/macro_types/precision/std,test_incremental_only/micro/f1/std,test_incremental_government/macro_types/f1/std,test_incremental_government-political_party/macro_types/f1/std,test/micro/recall/std,test_pretraining/macro_types/f1/std,test_incremental_only/macro_types/recall/std,test_incremental_only/macro_example_exclusive/precision/std,test_pretraining/macro_types/recall/std,test_incremental_government-government/macro_types/precision/std,test_incremental_government-political_party/macro_types/precision/std,test_incremental_government-political_party/macro_types/recall/std,test_incremental/micro/f1/std,test_incremental/micro/recall/std,test_pretraining/micro/precision/std,test_incremental_only/macro_example/recall/std,test/macro_example/recall/std,test/macro_example/f1/std,test_incremental/macro_example/recall/std,test_incremental_only/micro/precision/std,test_incremental_government/macro_types/recall/std,test_incremental_government-government/macro_types/recall/std,test_incremental_government/macro_types/precision/std,test/macro_example/precision/std,test_incremental/macro_types/recall/std,test_incremental_only/macro_example/f1/std,test_incremental/macro_example_exclusive/f1/std,test/micro/precision/std,test_incremental_government-government/macro_types/f1/std,test_incremental_only/micro/recall/std,test_incremental/macro_types/precision/std,test_pretraining/micro/f1/std,test_incremental/micro/precision/std,test_incremental/macro_example/precision/std,test/micro/f1/std,test_incremental_only/macro_example/precision/std,threshold_incremental/std,test_incremental/macro_types/f1/std,test_pretraining/macro_example/f1/std,test_incremental/macro_example_exclusive/recall/std,test_incremental_only/macro_example_exclusive/f1/std,test_pretraining/micro/recall/std,test/macro_types/precision/std,epoch/std,test_incremental/macro_example/f1/std,test_incremental_only/macro_types/precision/std,test_pretraining/macro_example/precision/std,test_incremental/macro_example_exclusive/precision/std,test_incremental_only/macro_example_exclusive/recall/std,test_incremental_only/macro_types/f1/std,threshold_pretraining/std,test/macro_types/recall/std
no_init_box_kenn_bottom_up_adapter_bert_ms,0.8469717105229696,0.901380181312561,0.8941559592882792,0.6636516054471334,0.9543147087097168,0.7291005452473959,0.8726866841316223,0.8469717105229696,0.5181818107763926,0.5117844939231873,0.8045307397842407,0.9805692235628763,1.0,0.5757575631141663,0.8313723206520081,0.7306397358576456,0.9058897296587626,0.017629321043690045,0.901380181312561,0.9127996961275738,0.025168174877762794,0.9889437158902487,0.9494949579238892,0.46060605843861896,0.9591836929321288,0.9245129028956094,0.6619528929392496,0.017629320733249187,0.824183185895284,0.9058897296587626,0.5792779624462128,0.5117845038572947,0.9799177050590515,0.8889762957890829,0.9687811334927877,0.03270702809095383,0.8889762957890829,0.017629321043690045,0.01,0.7873507936795553,0.9127996961275738,0.7306397755940756,0.5117844939231873,0.8726866841316223,0.8941559592882792,68.33333333333333,0.028390442952513695,0.9902846217155457,0.9245129028956094,0.9494949579238892,0.5117844939231873,0.6720343033472697,0.25,0.8045307397842407,0.0029121258303378035,0.0012989120062618699,0.0003461599687293102,0.14437526490186137,0.0,0.05681859453359653,0.0033906078112287646,0.0029121258303378035,0.14002656904549765,0.15853545579098835,0.005491256212136941,0.01765349079622291,0.0,0.06943295738925313,0.05258889014333627,0.07926771112240215,0.00021875221601384967,0.005461033479316515,0.0012989120062618699,0.0006657733494136928,0.0027305175802908323,0.00962297055498077,0.0,0.3119299232504103,0.0,1.0048525250142924e-05,0.09335108762958083,0.005461034003475623,0.05183300708786669,0.00021875221601384967,0.31888789339756507,0.1585354390178963,0.005884507866310497,0.0018652114873061038,0.0009149835718652017,0.0,0.0018652114873061038,0.005461033479316515,0.0,0.06710619317240452,0.0006657733494136928,0.0792677446685864,0.15853545579098835,0.0033906078112287646,0.0003461599687293102,8.962886439832502,0.0017854795663328332,0.008826732692853551,1.0048525250142924e-05,0.0,0.15853545579098835,0.12598639723851776,0.0,0.005491256212136941
no_init_box_kenn_horizontal_adapter_bert_ms,0.843941887219747,0.9000579714775085,0.8945369720458984,0.5305930574735006,0.9543147087097168,0.5854772726694742,0.8695182601610819,0.843941887219747,0.37121211489041644,0.3636363645394643,0.7987672090530396,1.0,1.0,0.43939393758773804,0.7827528516451517,0.6565656463305155,0.9057154059410095,0.01252609584480524,0.9000579714775085,0.9121243158976237,0.022616563364863396,1.0,0.9494949579238892,0.3030302971601486,0.9591836929321288,0.9245187044143676,0.563973069190979,0.0125260961552461,0.7759349346160889,0.9057154059410095,0.44394909342130023,0.3636363645394643,0.9863946437835692,0.8872474034627279,0.9700926542282104,0.03270702809095383,0.8872474034627279,0.01252609584480524,0.016666666666666666,0.7167560656865438,0.9121243158976237,0.6565656661987305,0.3636363645394643,0.8695182601610819,0.8945369720458984,75.66666666666667,0.026728447526693344,1.0,0.9245187044143676,0.9494949579238892,0.3636363645394643,0.5385282635688782,0.25,0.7987672090530396,0.001664132137147883,0.0005455055286961068,0.0,0.07697362638125788,0.0,0.2412781723424894,0.0015578321514208926,0.001664132137147883,0.07610525039950733,0.07283941912190205,0.002984515237570326,0.0,0.0,0.22422193986553052,0.026223649384467924,0.03641971369379049,0.00015289028247007745,0.002509082298134817,0.0005455055286961068,0.00028009247049090515,0.0012545414719454919,0.0,0.0,0.1830262865049361,0.0,0.0,0.05073686227696866,0.0025090821689836207,0.025250664236435117,0.00015289028247007745,0.22666797577578143,0.07283941912190205,0.0,0.0008841051503193616,0.001578129418940561,0.0,0.0008841051503193616,0.002509082298134817,0.011547005383792516,0.04034235116083333,0.00028009247049090515,0.036419746756497375,0.07283941912190205,0.0015578321514208926,0.0,10.785793124908956,0.0008698030630827913,0.0,0.0,0.0,0.07283941912190205,0.07859627808838238,0.0,0.002984515237570326
no_init_box_kenn_hybrid_adapter_bert_ms,0.8466933369636536,0.9012970725695292,0.8941198984781901,0.653260350227356,0.9543147087097168,0.729264477888743,0.8723986546198527,0.8466933369636536,0.5060606002807617,0.498316486676534,0.804055412610372,0.9787301421165466,1.0,0.5757575829823812,0.827104369799296,0.7239057223002116,0.9058616757392883,0.017165391705930233,0.9012970725695292,0.9127570788065592,0.0249362097432216,0.9883814056714376,0.9494949579238892,0.4363636374473572,0.9591836929321288,0.9245129028956094,0.6538720726966858,0.017165391705930233,0.8200922012329102,0.9058616757392883,0.5570557415485382,0.498316486676534,0.9793046712875366,0.8888136347134908,0.9684998194376627,0.03270702809095383,0.8888136347134908,0.017165391705930233,0.023333333333333334,0.7818635106086731,0.9127570788065592,0.7239057024319967,0.498316486676534,0.8723986546198527,0.8941198984781901,67.66666666666667,0.02824952205022176,0.9893650809923807,0.9245129028956094,0.9494949579238892,0.498316486676534,0.6627752582232157,0.25,0.804055412610372,0.0026487686953330916,0.0012660865931162254,0.0003945340097522211,0.1322732723277609,0.0,0.05421127753324195,0.0031479123008811803,0.0026487686953330916,0.12719829765755625,0.14718850417263094,0.0049881735473202935,0.02012058559142412,0.0,0.06560799139204977,0.04853301278407216,0.07359425208631547,0.0002064396094401046,0.00507016829271469,0.0012660865931162254,0.0006498689809515716,0.002535083848095568,0.010222241357145907,0.0,0.30909091234207153,0.0,1.0048525250142924e-05,0.08479887273748037,0.00507016829271469,0.04784672841291099,0.0002064396094401046,0.3120016974986862,0.14718850417263094,0.00670688161296077,0.0017310126978176152,0.0016121859099840874,0.0,0.0017310126978176152,0.00507016829271469,0.015275252316519468,0.06054129277256699,0.0006498689809515716,0.07359428344642799,0.14718850417263094,0.0031479123008811803,0.0003945340097522211,18.556220879622373,0.001648165053423248,0.010060278924292572,1.0048525250142924e-05,0.0,0.14718850417263094,0.11313592767299957,0.0,0.0049881735473202935
no_init_box_kenn_top_down_adapter_bert_ms,0.846477230389913,0.9015522599220276,0.8924929698308309,0.6721889972686768,0.9543147087097168,0.7460136214892069,0.8729027112325033,0.846477230389913,0.5295454462369283,0.5218855241934458,0.8049763838450114,0.8957575758298238,1.0,0.5984848539034525,0.8329228758811951,0.7356902360916138,0.9057074785232544,0.017977267503738403,0.9015522599220276,0.9128597180048624,0.025342147797346115,0.9647297064463297,0.9494949579238892,0.46060606837272644,0.9591836929321288,0.924454907576243,0.6695286631584167,0.017977267503738403,0.8279462456703186,0.9057074785232544,0.5791145265102386,0.5218855241934458,0.951647142569224,0.8890015085538229,0.9620596170425415,0.03270702809095383,0.8890015085538229,0.017977267503738403,0.06333333333333334,0.7853797078132629,0.9128597180048624,0.7356902360916138,0.5218855341275533,0.8729027112325033,0.8924929698308309,57.333333333333336,0.028520068774620693,0.9478787978490194,0.924454907576243,0.9494949579238892,0.5218855241934458,0.6771485010782877,0.25,0.8049763838450114,0.003390836657492816,0.0012012382080408414,0.002480889100310447,0.11737862318551641,0.0,0.07316524544153197,0.0028111307041439053,0.003390836657492816,0.10916189457823029,0.13144256724075554,0.004280848220950001,0.12652486053422268,0.0,0.09185118254115072,0.04573680002746763,0.06572129087276873,0.0004894449006663658,0.004527770396547033,0.0012012382080408414,0.0006497318915655594,0.002263886629666633,0.03138036512906864,0.0,0.3098031195726729,0.0,9.582255092285892e-05,0.07277462761622285,0.004527770396547033,0.04167680380737491,0.0004894449006663658,0.3005598367019982,0.13144256724075554,0.042174966311749856,0.0016865323377643973,0.010540413988221212,0.0,0.0016865323377643973,0.004527770396547033,0.05859465277082316,0.06294554060288451,0.0006497318915655594,0.06572129087276873,0.13144255273597416,0.0028111307041439053,0.002480889100310447,9.451631252505216,0.0014356319918482359,0.06326243783310775,9.582255092285892e-05,0.0,0.13144256724075554,0.10396572771311606,0.0,0.004280848220950001
no_init_kenn_bottom_up_adapter_bert_ms,0.8782749573389689,0.9130634466807047,0.8951185544331869,0.6896142462889353,0.9494949579238892,0.8722638090451559,0.8981781403223673,0.8782749573389689,0.874999980131785,0.8636363943417867,0.862068255742391,0.5290665030479431,0.8117965459823608,0.9621212085088094,0.7942434549331665,0.9074074029922485,0.9002031882603964,0.029807469497124355,0.9130634466807047,0.9155265887578329,0.03125724817315737,0.5997487902641296,0.9494949579238892,0.7878787914911906,0.9494949579238892,0.918044924736023,0.8998316725095113,0.029778392985463142,0.931272566318512,0.9002031882603964,0.605932374795278,0.8653198679288229,0.7634527285893759,0.8991559743881226,0.7197843790054321,0.03295832375685374,0.8991559743881226,0.029749478523929913,0.04666666666666667,0.8232631285985311,0.9155265887578329,0.9074074029922485,0.8644757866859436,0.8981781403223673,0.8951185544331869,48.666666666666664,0.03207932412624359,0.6704315145810446,0.918044924736023,0.9567901094754537,0.8653198877970377,0.7518391807874044,0.375,0.862068255742391,0.004065078503856197,0.0009152254626812791,0.007164421147101598,0.20725599892933488,0.0,0.08739741266583445,0.001265822511214002,0.004065078503856197,0.05459276393237781,0.057362703089374065,0.002140909489025286,0.31670309975885985,0.16120066145432335,0.03471648194632785,0.13597555854793375,0.029593238099544616,0.014547596621107377,0.0020387842981414413,0.0009152254626812791,0.006209863844035429,0.0010193914603166608,0.2696964283976663,0.0,0.1001376391978054,0.0,0.011575148591402679,0.036395163548063915,0.00200690197495967,0.020043532322094087,0.014547596621107377,0.27548094940551565,0.059186544014882415,0.12179489125032106,0.007834072722179411,0.19882002910386168,0.0006414068780037471,0.007834072722179411,0.0019759602377778687,0.01527525231651947,0.07721988208977405,0.006209863844035429,0.029593238099544616,0.05826094638585353,0.001265822511214002,0.007164421147101598,0.5773502691896263,0.0006904354666303024,0.18269237076676792,0.011575148591402679,0.01862025861418527,0.05918649993463379,0.12241093156458148,0.0,0.002140909489025286
no_init_kenn_horizontal_adapter_bert_ms,0.8784990509351095,0.9125280578931173,0.8977479736010233,0.7313801447550455,0.9494949579238892,0.9052878022193909,0.8969539801279703,0.8784990509351095,0.8242424130439758,0.808080792427063,0.8600777784983317,0.6250489751497904,0.8499146103858948,0.9696969787279764,0.8283676107724508,0.878787895043691,0.906024694442749,0.027835769578814507,0.9125280578931173,0.9167594909667969,0.030271399145325024,0.6945184369881948,0.9494949579238892,0.6787878672281901,0.9494949579238892,0.9210527539253235,0.865993320941925,0.027835769578814507,0.9179175694783529,0.906024694442749,0.6182612876097361,0.808080792427063,0.8081528743108114,0.9014508525530497,0.7935116092363993,0.03311296800772349,0.9014508525530497,0.027835769578814507,0.09000000000000001,0.8326099316279093,0.9167594909667969,0.878787895043691,0.808080772558848,0.8969539801279703,0.8977479736010233,49.0,0.031619291131695114,0.7374817927678426,0.9210527539253235,0.9612794915835062,0.808080792427063,0.7696809768676758,0.375,0.8600777784983317,0.004480678563219563,0.0009051204692780104,0.008103380401341743,0.1724754849494848,0.0,0.03446004000758975,0.0014165768590431048,0.004480678563219563,0.05840216670028328,0.06623676080448555,0.0022902782272623927,0.3622489591102227,0.05660359699285628,0.013121618926064565,0.10541359076808808,0.033118364495402196,0.010024421753872201,0.0022816419716436406,0.0009051204692780104,0.004435614274207705,0.0011408224060754535,0.26252908473603914,0.0,0.1289927071963548,0.0,0.008356983839375475,0.038934770068450864,0.0022816419716436406,0.016678321652805545,0.010024421753872201,0.23717252611817732,0.06623676080448555,0.13775776484567523,0.00542728541084248,0.17073458463724336,0.0002657488372136002,0.00542728541084248,0.0022816419716436406,0.09643650760992956,0.08203879323329741,0.004435614274207705,0.033118364495402196,0.06623678807335572,0.0014165768590431048,0.008103380401341743,1.0,0.0005745148306340349,0.20663670692643032,0.008356983839375475,0.007714768707658466,0.06623676080448555,0.12720275502254724,0.0,0.0022902782272623927
no_init_kenn_hybrid_adapter_bert_ms,0.8803499341011047,0.9128663341204325,0.9003080328305563,0.8041347066561381,0.9494949579238892,0.912784735361735,0.8977460861206055,0.8803499341011047,0.8545454343159994,0.8451178669929504,0.8612661361694336,0.7111794253190359,0.8943458994229635,0.939393937587738,0.8729469974835714,0.8973064025243124,0.909947673479716,0.029111576577027638,0.9128663341204325,0.9188561836878458,0.0309093010922273,0.7757611672083536,0.9494949579238892,0.7696969707806905,0.9494949579238892,0.9249285062154134,0.8861953020095825,0.029111576577027638,0.9240960677464803,0.909947673479716,0.7306935588518778,0.8451178471247355,0.8516734639803568,0.9038027922312418,0.8525027632713318,0.032823012520869575,0.9038027922312418,0.029111576577027638,0.14666666666666667,0.8671878178914388,0.9188561836878458,0.8973064025243124,0.8451178669929504,0.8977460861206055,0.9003080328305563,48.666666666666664,0.03183212193349997,0.8027626673380533,0.9249285062154134,0.9528619249661764,0.8451178669929504,0.8245066404342651,0.375,0.8612661361694336,0.003632454084044782,0.0010112402797812967,0.00581998867195976,0.1243609988653447,0.0,0.021873761004923865,0.0014704884554368727,0.003632454084044782,0.06400058567200918,0.06875616715108855,0.0025098185263629762,0.28218659214756364,0.08227978240140013,0.057195720083843916,0.0673068498531485,0.0343781003589445,0.004984333784680682,0.0023684268491151964,0.0010112402797812967,0.0024258857234545936,0.0011842126492387136,0.18641714622108593,0.0,0.11689274863355904,0.0,0.003940868677928836,0.0426670535869882,0.0023684268491151964,0.024676332228303868,0.004984333784680682,0.20821951591205867,0.06875615693510591,0.09893992570519564,0.003058628466711815,0.10428052133504843,0.0006586536312551535,0.003058628466711815,0.0023684268491151964,0.061101009266077866,0.06340649989704704,0.0024258857234545936,0.0343781003589445,0.06875616715108855,0.0014704884554368727,0.00581998867195976,0.5773502691896263,0.0008500207661674363,0.14840989536732588,0.003940868677928836,0.019120878288905456,0.06875616715108855,0.09546606983055028,0.0,0.0025098185263629762
no_init_kenn_top_down_adapter_bert_ms,0.8737357060114542,0.9134404261906942,0.8845036427179972,0.4143020858367284,0.9494949579238892,0.6047924309968948,0.8988982439041138,0.8737357060114542,0.9068181912104288,0.878787895043691,0.8633160392443339,0.25063044019043446,0.5488723982125521,0.9772727290789286,0.5208201333880424,0.9242424170176188,0.7701894442240397,0.03096729392806689,0.9134404261906942,0.8493244846661886,0.03183716100951036,0.3234527384241422,0.9494949579238892,0.8363636533419291,0.9494949579238892,0.8076043327649435,0.9210438132286072,0.03060835972428322,0.9400071303049723,0.7701894442240397,0.3342016289631526,0.8989898959795634,0.5829992890357971,0.8180003762245178,0.4343373316029708,0.032977654288212456,0.8180003762245178,0.03027139976620674,0.09999999999999999,0.6921602388223013,0.8493244846661886,0.9242424170176188,0.8885699311892191,0.8988982439041138,0.8845036427179972,52.666666666666664,0.03238020340601603,0.39975141175091267,0.8076043327649435,0.957351287206014,0.8989899357159933,0.4827245796720187,0.375,0.8633160392443339,0.005135714449296084,0.0011617764676814457,0.01295732289533704,0.3437167777906231,0.0,0.4797559637279752,0.001845744498001172,0.005135714449296084,0.07816991467039065,0.05624004752930902,0.0030655130310730436,0.2665738408830092,0.45351387505963514,0.03936478795267831,0.3778600379160051,0.04315156383941106,0.21271858767228005,0.0029728618893261087,0.0011617764676814457,0.11053721451431703,0.0014864309446630526,0.30274770522574085,0.0,0.1553455244813159,0.0,0.18337048655759464,0.05211329262118857,0.002419168211512741,0.020605258717514056,0.21271858767228005,0.3086780696348228,0.08630306489305603,0.2202740768339291,0.13407278066123995,0.3582539030579232,0.0006091380367148522,0.13407278066123995,0.0019372878034081393,0.09,0.17149414809273708,0.11053721451431703,0.04315156383941106,0.07022914991555304,0.001845744498001172,0.01295732289533704,7.234178138070234,0.0007097851472704298,0.33041110875056673,0.18337048655759464,0.01768342139099855,0.0863030927978443,0.37602756687633254,0.0,0.0030655130310730436
smart_init_box_adapter_bert_ms,0.8447271585464478,0.903419574101766,0.8798602819442749,0.633340577284495,0.9543147087097168,0.5693242947260538,0.8772233128547668,0.8447271585464478,0.718181828657786,0.4680134852727254,0.8123738765716553,0.6927159229914347,0.558773954709371,0.6666666666666666,0.7819653352101644,0.8367003401120504,0.8948943217595419,0.024936210364103317,0.903419574101766,0.911818285783132,0.028821620469292004,0.6251818537712097,0.9494949579238892,0.7696969707806905,0.9591836929321288,0.9203855395317078,0.795286238193512,0.019216195369760197,0.7969332536061605,0.8948943217595419,0.6934813658396403,0.7239057223002116,0.7368912299474081,0.8859429558118185,0.7549047470092773,0.02683058815697829,0.8859429558118185,0.016121549842258293,0.39666666666666667,0.7507631182670593,0.911818285783132,0.8367003202438354,0.5578519900639852,0.8772233128547668,0.8798602819442749,38.333333333333336,0.02745177038013935,0.6257449487845103,0.9203855395317078,0.778900146484375,0.7239057223002116,0.632529099782308,0.25,0.8123738765716553,0.0020638426165421678,0.0020152142375380027,0.009422580152422195,0.04929495641938348,0.0,0.16822633033598186,0.003465461035558504,0.0020638426165421678,0.15681818127632233,0.07598172732805726,0.006149768829345703,0.1725485122718706,0.3266570004054387,0.1547013239154644,0.04582000056127246,0.08101823690282947,0.00882695491412284,0.005581632855051113,0.0020152142375380027,0.000717966281678216,0.002790817395136695,0.23950182266364567,0.0,0.2258744960005714,0.0,0.0034555386785168167,0.10454541444778442,0.0018709541361104697,0.033605741100589066,0.00882695491412284,0.06396936656491421,0.16203647380565891,0.1601837054079741,0.002636701384046469,0.15850857298371857,0.004830121572635875,0.002636701384046469,0.002617324272993339,0.10598742063723098,0.03726470699967139,0.000717966281678216,0.08101826786638514,0.0543143336730255,0.003465461035558504,0.009422580152422195,20.132891827388665,0.001157607295092701,0.24027555109701904,0.0034555386785168167,0.14021993068086727,0.16203647380565891,0.054247589125838984,0.0,0.006149768829345703
smart_init_classifier_adapter_bert_ms,0.8800583481788635,0.9133921066919962,0.8984777132670084,0.8049917022387186,0.9494949579238892,0.7494621674219767,0.8986102143923441,0.8800583481788635,0.8833333253860474,0.7424242496490479,0.8623950680096945,0.8344423174858093,0.6777390638987223,0.8636363744735718,0.8688660462697347,0.9175084233283997,0.9082727829615275,0.0305033636589845,0.9133921066919962,0.9195486108462015,0.03160519649585088,0.7548877994219462,0.9494949579238892,0.9030302961667379,0.9494949579238892,0.9257911841074625,0.9053872227668762,0.027341866865754128,0.8861226638158163,0.9082727829615275,0.856391708056132,0.8855218887329102,0.8205588062604269,0.9034048517545065,0.8319651881853739,0.0297688078135252,0.9034048517545065,0.025574113242328167,0.24,0.8576045632362366,0.9195486108462015,0.9175084233283997,0.7937426964441935,0.8986102143923441,0.8984777132670084,47.0,0.030524058888355892,0.7560906906922659,0.9257911841074625,0.8641975919405619,0.8855218887329102,0.8058683673540751,0.375,0.8623950680096945,0.005362534790808602,0.0004623962245228693,0.00892209195840847,0.16118789462790878,0.0,0.24939050637616328,0.0008994004954236138,0.005362534790808602,0.05268284815181183,0.2580704075819137,0.0020659823985506778,0.169721126032965,0.28614983789862874,0.16388869509069806,0.09477962647610684,0.02102695059368171,0.008574769243467955,0.0014486189674196676,0.0004623962245228693,0.0017533619803273177,0.000724309110882595,0.2288681348423927,0.0,0.07569694005557329,0.0,0.003081164492210256,0.035121882482776964,0.0063522941053959486,0.09491809898006948,0.008574769243467955,0.08099169378905739,0.04205384392107641,0.15167544851382064,0.004696954301934711,0.14871653849061087,0.005335607754933096,0.004696954301934711,0.008889690974447105,0.02645751311064591,0.10252096036940157,0.0017533619803273177,0.02102695059368171,0.18440901111380711,0.0008994004954236138,0.00892209195840847,33.04542328371661,0.003269621346173748,0.22751316490686269,0.003081164492210256,0.15489431910008514,0.04205384392107641,0.16367778834600175,0.0,0.0020659823985506778
