name,test_pretraining/micro/precision/mean,test_incremental/macro_example_exclusive/f1/mean,test/micro/f1/mean,test_incremental/micro/recall/mean,test_incremental/macro_types/recall/mean,test_pretraining/macro_types/precision/mean,threshold_incremental/mean,test_pretraining/macro_types/f1/mean,test_incremental_only/macro_types/f1/mean,test/micro/recall/mean,test_incremental_government-political_party/macro_types/recall/mean,test/macro_example/precision/mean,test_incremental/macro_example/precision/mean,test_incremental_only/macro_example_exclusive/f1/mean,test_incremental/macro_example_exclusive/precision/mean,test_incremental_government-political_party/macro_types/f1/mean,test_incremental_government-political_party/macro_types/precision/mean,test/macro_types/f1/mean,test_pretraining/micro/recall/mean,test/micro/precision/mean,test_incremental/macro_types/f1/mean,test_incremental_government/macro_types/precision/mean,threshold_pretraining/mean,test_pretraining/micro/f1/mean,test_incremental/macro_example/f1/mean,test_incremental_only/macro_example/f1/mean,test_incremental_only/macro_types/recall/mean,test_incremental_government-government/macro_types/f1/mean,test_incremental_only/macro_example_exclusive/precision/mean,epoch/mean,test_pretraining/macro_example/f1/mean,test_incremental_only/micro/recall/mean,test_pretraining/macro_example/precision/mean,test_pretraining/macro_example/recall/mean,test_incremental/macro_types/precision/mean,test_incremental_government/macro_types/f1/mean,test_incremental_only/macro_example/precision/mean,test_incremental/micro/f1/mean,test_incremental/micro/precision/mean,test_pretraining/macro_types/recall/mean,test_incremental_only/micro/precision/mean,test_incremental_government-government/macro_types/recall/mean,test/macro_example/f1/mean,test_incremental_only/micro/f1/mean,test_incremental_only/macro_types/precision/mean,test_incremental/macro_example_exclusive/recall/mean,test/macro_types/recall/mean,test/macro_types/precision/mean,test_incremental_only/macro_example/recall/mean,test_incremental_government/macro_types/recall/mean,test_incremental_only/macro_example_exclusive/recall/mean,test_incremental_government-government/macro_types/precision/mean,test/macro_example/recall/mean,test_incremental/macro_example/recall/mean,test_pretraining/micro/precision/std,test_incremental/macro_example_exclusive/f1/std,test/micro/f1/std,test_incremental/micro/recall/std,test_incremental/macro_types/recall/std,test_pretraining/macro_types/precision/std,threshold_incremental/std,test_pretraining/macro_types/f1/std,test_incremental_only/macro_types/f1/std,test/micro/recall/std,test_incremental_government-political_party/macro_types/recall/std,test/macro_example/precision/std,test_incremental/macro_example/precision/std,test_incremental_only/macro_example_exclusive/f1/std,test_incremental/macro_example_exclusive/precision/std,test_incremental_government-political_party/macro_types/f1/std,test_incremental_government-political_party/macro_types/precision/std,test/macro_types/f1/std,test_pretraining/micro/recall/std,test/micro/precision/std,test_incremental/macro_types/f1/std,test_incremental_government/macro_types/precision/std,threshold_pretraining/std,test_pretraining/micro/f1/std,test_incremental/macro_example/f1/std,test_incremental_only/macro_example/f1/std,test_incremental_only/macro_types/recall/std,test_incremental_government-government/macro_types/f1/std,test_incremental_only/macro_example_exclusive/precision/std,epoch/std,test_pretraining/macro_example/f1/std,test_incremental_only/micro/recall/std,test_pretraining/macro_example/precision/std,test_pretraining/macro_example/recall/std,test_incremental/macro_types/precision/std,test_incremental_government/macro_types/f1/std,test_incremental_only/macro_example/precision/std,test_incremental/micro/f1/std,test_incremental/micro/precision/std,test_pretraining/macro_types/recall/std,test_incremental_only/micro/precision/std,test_incremental_government-government/macro_types/recall/std,test/macro_example/f1/std,test_incremental_only/micro/f1/std,test_incremental_only/macro_types/precision/std,test_incremental/macro_example_exclusive/recall/std,test/macro_types/recall/std,test/macro_types/precision/std,test_incremental_only/macro_example/recall/std,test_incremental_government/macro_types/recall/std,test_incremental_only/macro_example_exclusive/recall/std,test_incremental_government-government/macro_types/precision/std,test/macro_example/recall/std,test_incremental/macro_example/recall/std
no_init_box_kenn_bottom_up_adapter_bert_ms,0.9058591922124227,0.8921060164769491,0.8913110693295797,0.8367003401120504,0.8043771187464396,0.8929348587989807,0.016666666666666666,0.8510438203811646,0.8295319279034933,0.8772233128547668,0.8030302921930949,0.9244394302368164,0.03293899446725845,0.7239057024319967,0.9562289317448934,0.8830077648162842,0.9809523820877075,0.8510438203811646,0.8772233128547668,0.9058591922124227,0.874730130036672,0.9591836929321288,0.25,0.8913110693295797,0.030730165541172028,0.0249362097432216,0.7318181991577148,0.7731371919314066,0.7239057024319967,48.0,0.9137935837109884,0.7239057223002116,0.9244394302368164,0.9033905466397604,0.9591589371363322,0.9543147087097168,0.024936210984985035,0.8936208883921305,0.9592214624087015,0.8129086494445801,0.9585723082224528,0.6606060862541199,0.9137935837109884,0.8240931630134583,0.9591464996337891,0.8367003202438354,0.8129086494445801,0.8929348587989807,0.024936210984985035,0.9494949579238892,0.7239057024319967,0.9373405973116556,0.9033905466397604,0.02882161984841029,0.0005022010571398971,0.018438490489538623,0.0010630421544256905,0.0372278511428885,0.047310612588737096,0.0010033436991980806,0.011547005383792514,0.0019745875884886496,0.05477729393083745,0.0015923717905026067,0.0473105791833989,7.016466781677543e-05,0.00020088877470362718,0.0744557130674245,0.005831792397409133,0.04174816403549634,0.032991441987249605,0.0019745875884886496,0.0015923717905026067,0.0005022010571398971,0.034864106300655666,0.0,0.0,0.0010630421544256905,0.0006351444555395213,0.002564758578341269,0.07096587593338548,0.0831315177350902,0.0744557130674245,2.0,0.0006050490077965511,0.07445569015639482,7.016466781677543e-05,0.0011164896700297329,0.017057121284103437,0.0,0.0025647575254447025,0.025916856311085867,0.011132451542120132,0.002782955595896849,0.02521312264554025,0.10497277934472811,0.0006050490077965511,0.05711270436827464,0.025585635797817217,0.03722786192454318,0.002782955595896849,0.0010033436991980806,0.0025647575254447025,0.0,0.0744557130674245,0.042956916972800706,0.0011164896700297329,0.0012823792891706346
no_init_box_kenn_horizontal_adapter_bert_ms,0.9057673215866089,0.8491716583569845,0.8897030750910441,0.7659932573636373,0.7124579548835754,0.8931665420532227,0.01,0.8481762409210205,0.7349721391995748,0.8741988937060038,0.6969696879386902,0.9244645635286967,0.03282301127910614,0.5824915766716003,0.9528619448343912,0.8142240643501282,0.9797979791959127,0.8481762409210205,0.8741988937060038,0.9057673215866089,0.8189107179641724,0.9591836929321288,0.25,0.8897030750910441,0.0292512159794569,0.020064949989318848,0.5939394036928812,0.6454241077105204,0.5824915766716003,50.0,0.9131835301717123,0.5824915965398153,0.9244645635286967,0.902174691359202,0.9630977114041647,0.9543147087097168,0.020064949989318848,0.8527590831120809,0.961928109327952,0.8075016339619955,0.9663734038670858,0.49090908964474994,0.9131835301717123,0.7263316512107849,0.9650546511014303,0.7659932772318522,0.8075016339619955,0.8931665420532227,0.020064949989318848,0.9494949579238892,0.5824915766716003,0.9503113031387329,0.902174691359202,0.026385989661018055,0.00023939882617528355,0.013794100596572854,0.0005401622232129755,0.021026917188347358,0.02463384526124313,0.0006662310709544656,0.0,0.0009937713542734889,0.03155048981469411,0.0008994004954235937,0.013121584513306875,7.015399168187861e-05,0.00020088877470362718,0.04205385823766606,0.005831792397409093,0.0111354644920282,0.0349909264482427,0.0009937713542734889,0.0008994004954235937,0.00023939882617528355,0.01890136132248871,0.0,0.0,0.0005401622232129755,0.00047516123016362664,0.001448619713074557,0.036950751088911965,0.07998518011597064,0.04205385823766606,4.358898943540674,0.00040806883590192134,0.042053867782028305,7.015399168187861e-05,0.0007731201095597904,0.01132538150678275,0.0,0.001448619713074557,0.014261932696766217,0.0063280030632946625,0.0014490340148809431,0.016302294041361045,0.08331955341948279,0.00040806883590192134,0.03519167626474119,0.016988055313229226,0.021026941049326012,0.0014490340148809431,0.0006662310709544656,0.001448619713074557,0.0,0.04205385823766606,0.02918189304671444,0.0007731201095597904,0.0007243088126206668
no_init_box_kenn_hybrid_adapter_bert_ms,0.9059590895970663,0.8843597173690796,0.891173263390859,0.8282828529675802,0.7907408078511556,0.8933302561442057,0.02666666666666667,0.8507822155952454,0.8188890814781189,0.8768632610638937,0.750000019868215,0.9244780937830607,0.03270702809095383,0.7070707281430563,0.9494949579238892,0.8555575013160706,1.0,0.8507822155952454,0.8768632610638937,0.9059590895970663,0.8689607381820679,0.9591836929321288,0.25,0.891173263390859,0.03046333168943723,0.02435629814863205,0.7113636533419291,0.7815053860346476,0.7070707281430563,37.0,0.9137154817581177,0.7070706884066263,0.9244780937830607,0.903201142946879,0.9658803741137186,0.9543147087097168,0.02435629814863205,0.8901160756746928,0.9626964926719666,0.8121065298716227,0.9671518206596375,0.6727272868156433,0.9137154817581177,0.8152477542559305,0.9692286054293314,0.8282828330993652,0.8121065298716227,0.8933302561442057,0.02435629814863205,0.9494949579238892,0.7070707281430563,0.9384572505950928,0.903201142946879,0.028531663740674656,0.00041700910791718027,0.024531401114500282,0.00111108763058227,0.04315153244652804,0.05612200191560494,0.0008175605681108279,0.02886751345948129,0.002009828378566065,0.06008972119598948,0.001845775890798591,0.07872957590535665,5.594782078678514e-05,0.0,0.08630306838115769,0.0,0.052859544410549325,0.0,0.002009828378566065,0.001845775890798591,0.00041700910791718027,0.0369673277705726,0.0,0.0,0.00111108763058227,0.0008450269993234255,0.002972860908298427,0.08418300448256581,0.08530561078541933,0.08630306838115769,5.0,0.0006203809285748846,0.08630306489305609,5.594782078678514e-05,0.0011923698346994994,0.01389832977662891,0.0,0.002972860908298427,0.0273849606711672,0.009349721409808786,0.0033012980166231957,0.02119252518454569,0.1105956797857011,0.0006203809285748846,0.06199118148677824,0.020847479039902323,0.04315153593463643,0.0033012980166231957,0.0008175605681108279,0.002972860908298427,0.0,0.08630306838115769,0.04169495493487502,0.0011923698346994994,0.0014864299636354076
no_init_box_kenn_top_down_adapter_bert_ms,0.905268649260203,0.9113567471504211,0.8918024698893229,0.872053881486257,0.8498317003250122,0.8917694091796875,0.053333333333333344,0.8519664406776428,0.8532090783119202,0.8787355025609335,0.8484848539034525,0.9240760207176208,0.03293899446725845,0.7946128050486246,0.9562289317448934,0.8918034633000692,0.9558316071828207,0.8519664406776428,0.8787355025609335,0.905268649260203,0.8896027207374573,0.9591836929321288,0.25,0.8918024698893229,0.031393290807803474,0.027371840551495552,0.799999992052714,0.8139501214027405,0.7946128050486246,40.0,0.9140442609786987,0.7946128050486246,0.9240760207176208,0.9042295018831888,0.9393464128176371,0.9543147087097168,0.027371840551495552,0.9047066569328308,0.9430452386538187,0.8155824343363444,0.9273395538330078,0.7515151699384054,0.9140442609786987,0.8492384552955627,0.929427703221639,0.872053861618042,0.8155824343363444,0.8917694091796875,0.027371840551495552,0.9494949579238892,0.7946128050486246,0.9030237793922424,0.9042295018831888,0.030039434010783832,0.0010068493523923625,0.041394235661182235,0.0014337904936621198,0.0696774567800872,0.09309248071396269,0.002155459874266017,0.07505553499465135,0.0026106210399326948,0.07690471483903195,0.002980346428551129,0.1443375672974065,0.0005699029498833351,0.00020088877470362718,0.1393549135601745,0.005831792397409085,0.07327220196410097,0.05713621080917939,0.0026106210399326948,0.002980346428551129,0.0010068493523923625,0.04714891847481408,0.0,0.0,0.0014337904936621198,0.0014258979734547029,0.004800324572946349,0.1396387040939933,0.0819630786530195,0.1393549135601745,9.16515138991168,0.0008101417272363682,0.1393549135601745,0.0005699029498833351,0.0017356541315036588,0.03664255725810785,0.0,0.004800324572946349,0.034342022672150904,0.026654781102175357,0.005476026850658083,0.05430923652180175,0.1388659212819048,0.0008101417272363682,0.0772972701299222,0.05496386327719528,0.0696774344580927,0.005476026850658083,0.002155459874266017,0.004800324572946349,0.0,0.1393549135601745,0.05279782461177815,0.0017356541315036588,0.0024001636928492323
no_init_kenn_bottom_up_adapter_bert_ms,0.7688867847124735,0.9705278078715006,0.8280098040898641,0.9696969787279764,0.9771044254302979,0.8743905822436014,0.013333333333333334,0.8704816699028015,0.23896673321723938,0.9008425076802572,1.0,0.8227474689483643,0.0334609126051267,0.9744975169499716,0.9713804721832275,0.26891325414180756,0.16332469880580902,0.8704816699028015,0.9008425076802572,0.7688867847124735,0.5764919916788737,0.9494949579238892,0.375,0.8280098040898641,0.03343154117465019,0.03356828664739927,0.9909090995788574,0.2072902967532476,0.9595959981282552,23.666666666666668,0.8652367194493612,0.9898989796638489,0.8227474689483643,0.9145712852478027,0.4110770026842753,0.9494949579238892,0.0330549751718839,0.3477918207645416,0.22328885396321616,0.8666137059529623,0.13461372380455336,0.9818181792894999,0.8652367194493612,0.2280203402042389,0.14186799774567285,0.9696970184644064,0.8666137059529623,0.8743905822436014,0.03409881889820099,0.9494949579238892,0.9898989796638489,0.120411300410827,0.9145712852478027,0.03340292473634084,0.08455135003612278,0.00886582043425388,0.0487266471865712,0.005050510168104844,0.006060600280761774,0.004062649520354839,0.005773502691896257,0.00203417085516655,0.15170125809871965,0.0002160370356735948,0.0,0.06866189888845398,0.00043782496020622786,0.014202146370676402,0.01271012449192213,0.17060186196727348,0.12148035599988301,0.00203417085516655,0.0002160370356735948,0.08455135003612278,0.06678350072763704,0.0,0.0,0.0487266471865712,0.0003053990835479945,0.0004892181099749351,0.009090900421142578,0.1366021670791231,0.01820988990960338,1.154700538379251,0.03785958828332603,0.01010102033615111,0.06866189888845398,0.0001018505780495259,0.06906484964152508,0.0,0.0006272729315434526,0.18521722075180108,0.14726847585158864,0.0003564953820625417,0.10099726577873046,0.018181830644615742,0.03785958828332603,0.1503867203317123,0.10359727329450866,0.0050505101681048575,0.0003564953820625417,0.004062649520354839,0.0003479495644569397,0.0,0.01010102033615111,0.08829076718679095,0.0001018505780495259,0.00017397478224176382
no_init_kenn_horizontal_adapter_bert_ms,0.9024329582850138,0.9641969601313273,0.9009628891944885,0.939393957455953,0.9407408038775126,0.893533190091451,0.06666666666666667,0.8787491122881571,0.7384484012921652,0.8995463450749716,1.0,0.9187949498494467,0.03411814942955971,0.928449014822642,0.9904601573944092,0.7369187672932943,0.5981685121854147,0.8787491122881571,0.8995463450749716,0.9024329582850138,0.8206899166107178,0.9494949579238892,0.375,0.9009628891944885,0.033213467647631965,0.03198206300536791,0.9363636374473572,0.7334909041722616,0.9276094436645508,25.0,0.9163781801859537,0.9292929371198019,0.9187949498494467,0.9139971733093262,0.7365014354387919,0.9494949579238892,0.031953142335017524,0.8241716225941976,0.7446189125378927,0.8644746740659078,0.6286038259665171,0.8727272748947144,0.9163781801859537,0.7349881728490194,0.6300045649210612,0.939393957455953,0.8644746740659078,0.893533190091451,0.03201113392909368,0.9494949579238892,0.9292929569880167,0.6618406375249227,0.9139971733093262,0.03235908349355062,0.010859137324665593,0.010006499831529196,0.005110789789128707,0.018209856846895373,0.021851772009671772,0.007980844825186956,0.041633319989322654,0.003440923052903314,0.14212153924449647,0.0007789160757104231,0.0,0.007720463831111621,3.348146245060453e-05,0.03501765608345426,0.0009719883414067222,0.14738411188821196,0.189878961870435,0.003440923052903314,0.0007789160757104231,0.010859137324665593,0.0807994040711224,0.0,0.0,0.005110789789128707,0.0003446920950809883,0.0012062461523484674,0.03277776546830919,0.1343468769689713,0.03362790462935253,1.0,0.0037056803182403592,0.036419721959474065,0.007720463831111621,0.0004355659977638568,0.13567406700648113,0.0,0.001158373444760254,0.09122236832392461,0.1509273938404208,0.001285395436247622,0.20321703629288576,0.06555547307687432,0.0037056803182403592,0.1402871620551636,0.2035110857338883,0.018209856846895373,0.001285395436247622,0.007980844825186956,0.0012545422468526696,0.0,0.03641971369379049,0.21920235581707825,0.0004355659977638568,0.0006272708651250437
no_init_kenn_hybrid_adapter_bert_ms,0.8920928239822388,0.9669884045918783,0.8961148659388224,0.9562289714813232,0.9609428246816,0.8879597783088684,0.056666666666666664,0.8766595125198364,0.636153111855189,0.9002664089202881,1.0,0.913516640663147,0.03369287898143133,0.9553154508272806,0.9781144857406616,0.6817183295885721,0.5362815956274668,0.8766595125198364,0.9002664089202881,0.8920928239822388,0.7653338313102722,0.9494949579238892,0.375,0.8961148659388224,0.033309621115525566,0.03290753004451593,0.9666666587193807,0.5883982479572296,0.9478114644686381,27.666666666666668,0.9138492941856384,0.9629629651705424,0.913516640663147,0.9142194588979086,0.6417532165845236,0.9494949579238892,0.032649037738641105,0.7484501600265503,0.6247393290201823,0.8656630516052246,0.47802064816157025,0.9333333373069763,0.9138492941856384,0.6271834174791971,0.4878823359807332,0.9562289714813232,0.8656630516052246,0.8879597783088684,0.033170959601799645,0.9494949579238892,0.9629629651705424,0.43948306639989215,0.9142194588979086,0.03293899570902189,0.014949211813225265,0.015032834009182663,0.007240509865674961,0.023327307240667013,0.027992713628388125,0.006070084250116126,0.05507570547286102,0.00240855358477691,0.1370015358259073,0.00099779790968616,0.0,0.009721249807513222,0.0002657492436788906,0.04222469459459519,0.007714801224682699,0.18619132798627006,0.2036617834771564,0.00240855358477691,0.00099779790968616,0.014949211813225265,0.07003105242650039,0.0,0.0,0.007240509865674961,0.0005178310914605809,0.0014545057481829761,0.0419891392680974,0.08676466168901019,0.03790685705970486,4.041451884327381,0.0047095136593607685,0.04665454565581841,0.009721249807513222,0.0005926565132132701,0.10319153808715363,0.0,0.0013057684323841473,0.10085166385389405,0.13951873719100258,0.0016466504562332388,0.1472350907703556,0.08397824412343712,0.0047095136593607685,0.12933995665742065,0.15478732353488348,0.023327307240667013,0.0016466504562332388,0.006070084250116126,0.0016070994436422348,0.0,0.04665459727496446,0.10733900276227851,0.0005926565132132701,0.0008035497218232755
no_init_kenn_top_down_adapter_bert_ms,0.8363948265711466,0.967847208182017,0.8657167355219523,0.9579124450683594,0.9629630049069721,0.8817736903826395,0.07333333333333333,0.8736803531646729,0.44995660583178204,0.9003384510676066,1.0,0.8743665417035421,0.033692880223194756,0.9612223307291666,0.9781144857406616,0.5176098048686981,0.39439185957113904,0.8736803531646729,0.9003384510676066,0.8363948265711466,0.6765835682551066,0.9494949579238892,0.375,0.8657167355219523,0.03333920364578565,0.0331110010544459,0.9696969787279764,0.37835398813088733,0.9562289714813232,35.333333333333336,0.8931387861569723,0.9663299520810446,0.8743665417035421,0.9143296281496683,0.5365903973579407,0.9494949579238892,0.03293899446725845,0.5524420440196991,0.4295736998319626,0.8657818635304769,0.3129586602250735,0.9393939177195231,0.8931387861569723,0.43117429316043854,0.33013806492090225,0.9579124848047892,0.8657818635304769,0.8817736903826395,0.033286940306425095,0.9494949579238892,0.9663299520810446,0.26588427523771924,0.9143296281496683,0.032996984819571175,0.08321627155417813,0.004577293944413814,0.045608236414646466,0.01166365362033355,0.013996391226951722,0.010591483945834436,0.028867513459481287,0.004792387500135521,0.2902151826696962,0.0004988817484642109,0.0,0.06188176474098599,0.00030686126409235716,0.019587560459728797,0.008908262599154008,0.3178733630496594,0.31829292284964406,0.004792387500135521,0.0004988817484642109,0.08321627155417813,0.1410930953922361,0.0,0.0,0.045608236414646466,0.00015767236562289958,0.0006747290159771713,0.02099456963404869,0.2607894758933026,0.017736791829784722,11.676186592091328,0.032835139765718224,0.02332727282790925,0.06188176474098599,0.0002511098929808396,0.1800551370251584,0.0,0.0006109756430789219,0.2815118374740907,0.2913630739343704,0.0008232908153589294,0.2603303804419434,0.04198910485533966,0.032835139765718224,0.2879165559175783,0.27008269583596517,0.01166368803309116,0.0008232908153589294,0.010591483945834436,0.0008035486464224389,0.0,0.02332727282790925,0.22220990011777372,0.0002511098929808396,0.0004017732478125401
smart_init_box_adapter_bert_ms,0.89788818359375,0.7772357861200968,0.8854235212008158,0.7457912365595499,0.6750842134157816,0.8805957635243734,0.47000000000000003,0.8412327369054159,0.5569456418355306,0.8733347654342651,0.5,0.9215211073557535,0.02845434161523978,0.4221891363461812,0.8260382016499838,0.49687039852142334,0.5172955989837646,0.8412327369054159,0.8733347654342651,0.89788818359375,0.6987398465474447,0.9591836929321288,0.25,0.8854235212008158,0.026773257181048393,0.014543050589660803,0.5378787716229757,0.5766036758820215,0.3569023609161377,20.0,0.9116744796435038,0.5420875350634257,0.9215211073557535,0.9020412961641947,0.7493941982587179,0.9543147087097168,0.012294131641586622,0.7583210468292236,0.7915357947349548,0.8053031762441,0.6577084461847941,0.5757575829823812,0.9116744796435038,0.554958701133728,0.6444994409879049,0.7457912365595499,0.8053031762441,0.8805957635243734,0.01867316197603941,0.9494949579238892,0.5420875549316406,0.771703282992045,0.9020412961641947,0.025690096120039623,0.006865131805372255,0.01169720885871637,0.0019204053580957469,0.07076718166941903,0.07361099151218947,0.009956674737453706,0.08717797887081348,0.002979649755258872,0.04276278018923058,0.0030269694497469216,0.21680436339037296,0.0026609663603339865,0.003828003811387524,0.046968757419291886,0.11112809504683285,0.3122826371244149,0.4188385297400397,0.002979649755258872,0.0030269694497469216,0.006865131805372255,0.040471120388038156,0.0,0.0,0.0019204053580957469,0.0004029313260134612,0.0016179221152158264,0.1104164899264704,0.31314404781506555,0.0508406282322859,18.193405398660254,0.0007272929601165103,0.14153433427079934,0.0026609663603339865,0.0011956799902392286,0.16926365477225092,0.0,0.0017512955850158538,0.032675172311058626,0.15056772896698467,0.0043300488702476,0.27537609391227247,0.4087203779657977,0.0007272929601165103,0.030638468375445805,0.2538954902451036,0.07076718166941903,0.0043300488702476,0.009956674737453706,0.0048754004018111245,0.0,0.14153436475678802,0.0898620577230007,0.0011956799902392286,0.002437700405844091
smart_init_classifier_adapter_bert_ms,0.9133873184521993,0.9428507685661316,0.9061940908432007,0.9292929172515869,0.9260942935943604,0.9039753079414368,0.5366666666666667,0.8833317557970682,0.9042276938756307,0.8991142908732096,0.9621212085088094,0.9277512828509012,0.032977654288212456,0.8996742765108744,0.9573512673377991,0.9048004746437073,0.8545404076576233,0.8833317557970682,0.8991142908732096,0.9133873184521993,0.9195719957351685,0.9494949579238892,0.375,0.9061940908432007,0.032478159914414086,0.03099086570243041,0.914393961429596,0.8960560361544291,0.8905724088350931,36.666666666666664,0.920663853486379,0.9090909163157145,0.9277512828509012,0.9136839906374613,0.9140175978342692,0.9494949579238892,0.03067733719944954,0.9252057472864786,0.9217066168785095,0.8636131286621094,0.8945520321528116,0.8666666746139526,0.920663853486379,0.9007001121838888,0.8962788184483846,0.929292897383372,0.8636131286621094,0.9039753079414368,0.031315241008996964,0.9494949579238892,0.9090908964474996,0.9380172292391459,0.9136839906374613,0.03201113517085711,0.0005820285898587652,0.02081143811527509,0.0007885172056045965,0.035353520086834206,0.042595247826592034,0.00107077424493777,0.25006665778014736,0.001313213870838381,0.03249199964350367,0.0015121868679780312,0.03471648194632785,0.000451923927371043,0.0005951738086592915,0.06623574187223275,0.01727811166601253,0.05491325428195995,0.07137006802489924,0.001313213870838381,0.0015121868679780312,0.0005820285898587652,0.021596488730088674,0.0,0.0,0.0007885172056045965,0.0007168858118917011,0.0022816088154507235,0.06389287439013142,0.06126550192290525,0.06314816539782776,8.736894948054106,0.0005380889134253893,0.07070707423346455,0.000451923927371043,0.0007095232122807671,0.018202967258225698,0.0,0.002175248378558961,0.018124226313230962,0.0131747216724419,0.0025056076149806697,0.024776396171433755,0.12899270159541443,0.0005380889134253893,0.037353015990224885,0.02730453801002204,0.035353554146630536,0.0025056076149806697,0.00107077424493777,0.002435630719576609,0.0,0.07070705294609281,0.03463321902428213,0.0007095232122807671,0.0012178157589267705
