name,test_incremental/micro/precision/mean,test_incremental_only/macro_types/recall/mean,test_incremental_only/macro_example_exclusive/f1/mean,test_incremental_government-political_party/macro_types/f1/mean,test_incremental_only/macro_example/precision/mean,test_incremental_government-government/macro_types/f1/mean,threshold_incremental/mean,threshold_pretraining/mean,test_incremental/micro/f1/mean,test_pretraining/micro/f1/mean,test_pretraining/macro_example/f1/mean,test_incremental/macro_types/precision/mean,test_incremental_only/micro/f1/mean,test_pretraining/macro_example/precision/mean,test_incremental_only/macro_types/precision/mean,test/micro/f1/mean,test_incremental/macro_example/recall/mean,test_incremental_government-political_party/macro_types/recall/mean,test_incremental/macro_example_exclusive/precision/mean,epoch/mean,test/micro/recall/mean,test/macro_example/f1/mean,test/macro_types/precision/mean,test_pretraining/macro_types/f1/mean,test_incremental_only/macro_example/recall/mean,test/macro_types/f1/mean,test_incremental/macro_types/f1/mean,test_incremental_only/micro/recall/mean,test_incremental/macro_example/precision/mean,test_incremental_government-political_party/macro_types/precision/mean,test/macro_example/precision/mean,test_incremental_only/macro_types/f1/mean,test_pretraining/macro_types/precision/mean,test_incremental_government-government/macro_types/recall/mean,test_pretraining/micro/recall/mean,test_pretraining/micro/precision/mean,test_incremental_only/macro_example_exclusive/recall/mean,test_incremental_only/micro/precision/mean,test_incremental_only/macro_example_exclusive/precision/mean,test_incremental/micro/recall/mean,test_incremental/macro_types/recall/mean,test/macro_types/recall/mean,test_incremental_government/macro_types/precision/mean,test_pretraining/macro_types/recall/mean,test_incremental_government/macro_types/recall/mean,test_incremental_government/macro_types/f1/mean,test_incremental/macro_example_exclusive/recall/mean,test_incremental/macro_example/f1/mean,test/macro_example/recall/mean,test_pretraining/macro_example/recall/mean,test_incremental_only/macro_example/f1/mean,test/micro/precision/mean,test_incremental/macro_example_exclusive/f1/mean,test_incremental_government-government/macro_types/precision/mean,test_incremental/micro/precision/std,test_incremental_only/macro_types/recall/std,test_incremental_only/macro_example_exclusive/f1/std,test_incremental_government-political_party/macro_types/f1/std,test_incremental_only/macro_example/precision/std,test_incremental_government-government/macro_types/f1/std,threshold_incremental/std,threshold_pretraining/std,test_incremental/micro/f1/std,test_pretraining/micro/f1/std,test_pretraining/macro_example/f1/std,test_incremental/macro_types/precision/std,test_incremental_only/micro/f1/std,test_pretraining/macro_example/precision/std,test_incremental_only/macro_types/precision/std,test/micro/f1/std,test_incremental/macro_example/recall/std,test_incremental_government-political_party/macro_types/recall/std,test_incremental/macro_example_exclusive/precision/std,epoch/std,test/micro/recall/std,test/macro_example/f1/std,test/macro_types/precision/std,test_pretraining/macro_types/f1/std,test_incremental_only/macro_example/recall/std,test/macro_types/f1/std,test_incremental/macro_types/f1/std,test_incremental_only/micro/recall/std,test_incremental/macro_example/precision/std,test_incremental_government-political_party/macro_types/precision/std,test/macro_example/precision/std,test_incremental_only/macro_types/f1/std,test_pretraining/macro_types/precision/std,test_incremental_government-government/macro_types/recall/std,test_pretraining/micro/recall/std,test_pretraining/micro/precision/std,test_incremental_only/macro_example_exclusive/recall/std,test_incremental_only/micro/precision/std,test_incremental_only/macro_example_exclusive/precision/std,test_incremental/micro/recall/std,test_incremental/macro_types/recall/std,test/macro_types/recall/std,test_incremental_government/macro_types/precision/std,test_pretraining/macro_types/recall/std,test_incremental_government/macro_types/recall/std,test_incremental_government/macro_types/f1/std,test_incremental/macro_example_exclusive/recall/std,test_incremental/macro_example/f1/std,test/macro_example/recall/std,test_pretraining/macro_example/recall/std,test_incremental_only/macro_example/f1/std,test/micro/precision/std,test_incremental/macro_example_exclusive/f1/std,test_incremental_government-government/macro_types/precision/std
no_init_box_kenn_bottom_up_adapter_bert_ms,0.9559450149536133,0.8037878672281901,0.7979797720909119,0.9173708558082581,0.027487822497884434,0.82428906361262,0.07666666666666667,0.25,0.9126315712928772,0.8921047449111938,0.914176861445109,0.957109272480011,0.8667898774147034,0.9244046211242676,0.9560719728469849,0.8921047449111938,0.03009742560485999,0.8560606042544047,0.9629629651705424,33.333333333333336,0.878807524840037,0.914176861445109,0.8928142786026001,0.8525314529736837,0.027487822497884434,0.8525314529736837,0.9010655085245768,0.7979797919591268,0.033170958360036217,0.9920634826024374,0.9244046211242676,0.8718171318372091,0.8928142786026001,0.7515151500701904,0.878807524840037,0.9058117469151815,0.7979797919591268,0.9524735808372498,0.7979797919591268,0.8737373749415079,0.8523569504419962,0.8157309889793396,0.9591836929321288,0.8157309889793396,0.9494949579238892,0.9543147087097168,0.8737373749415079,0.03154573403298855,0.9041734536488851,0.9041734536488851,0.027487822497884434,0.9058117469151815,0.9157822926839193,0.9200804829597473,0.008466473324203826,0.07741741745402596,0.0788914412014049,0.041659987203148605,0.0027175530593443716,0.057315792285197405,0.09865765724632494,0.0,0.0201207739038726,0.0008659028987395376,0.0005288899900166828,0.010225149960949578,0.04336690127279167,0.0001018505780494034,0.01533775217549003,0.0008659028987395376,0.0013587762315631123,0.07981557313444533,0.015429569932337104,2.081665999466132,0.0016872421297959889,0.0005288899900166828,0.0006015025755122279,0.0015648843560311908,0.0027175530593443716,0.0015648843560311908,0.026824546832611082,0.07889142212241625,0.0005314976744271993,0.013746451367732846,0.0001018505780494034,0.042246357435084356,0.0006015025755122279,0.10013766986101948,0.0016872421297959889,0.0002926077085115905,0.07889142212241625,0.018881190110902328,0.07889142212241625,0.039445684350634974,0.05161161737148553,0.00303597951686596,0.0,0.00303597951686596,0.0,0.0,0.039445684350634974,0.0007145205754960853,0.0011217500405733016,0.0011217500405733016,0.0027175530593443716,0.0002926077085115905,0.020742741171197062,0.028061644762268807
no_init_box_kenn_horizontal_adapter_bert_ms,0.9463619788487754,0.7750000357627869,0.7676767706871033,0.8862889607747396,0.02644398125509421,0.8004015882809957,0.013333333333333334,0.25,0.9000742435455322,0.8915773630142212,0.9139497677485148,0.9433668255805969,0.840414822101593,0.9241784612337748,0.9354583422342936,0.8915773630142212,0.029575505604346592,0.8409091035525004,0.9629629651705424,32.0,0.8781594236691793,0.9139497677485148,0.8920059204101562,0.8515466451644897,0.02644398125509421,0.8515466451644897,0.8842811584472656,0.7676767706871033,0.033170958360036217,0.9488998055458069,0.9241784612337748,0.8463173508644104,0.8920059204101562,0.7090909282366434,0.8781594236691793,0.9054126143455505,0.7676767706871033,0.9313475489616394,0.7676767706871033,0.8585858543713888,0.8331650495529175,0.8146020571390787,0.9591836929321288,0.8146020571390787,0.9494949579238892,0.9543147087097168,0.8585858543713888,0.031262717520197235,0.9039453864097595,0.9039453864097595,0.02644398125509421,0.9054126143455505,0.9075661698977152,0.9220168590545654,0.010084379689118897,0.06575215719977426,0.06308075156504203,0.038950930606732,0.002172929867873645,0.037907778715614765,0.005773502691896258,0.0,0.01638534800749238,0.0006807249151692745,0.00042376775281325826,0.014559641256924046,0.03675677372417037,0.00032988003303321663,0.02183951017118596,0.0006807249151692745,0.0010864647102408588,0.1041494393355783,0.023327272827909154,2.6457513110645907,0.0013490888126012994,0.00042376775281325826,0.0008564707617170748,0.0012633116128535759,0.002172929867873645,0.0012633116128535759,0.022732267731253208,0.0630807945147571,0.0008035507972197959,0.06753049520643316,0.00032988003303321663,0.03694026002506457,0.0008564707617170748,0.0629836744893884,0.0013490888126012994,0.00037169204145830095,0.06308075156504203,0.02117188735308103,0.06308075156504203,0.03154036385204144,0.0438347900086603,0.002578513423640893,0.0,0.002578513423640893,0.0,0.0,0.03154040680178628,0.0007851932305304093,0.0008822273991772012,0.0008822273991772012,0.002172929867873645,0.00037169204145830095,0.022794430225420013,0.023947666063072803
no_init_box_kenn_hybrid_adapter_bert_ms,0.9558138648668925,0.7909090916315714,0.7878787716229757,0.8938898841540018,0.027139875416954357,0.8319791356722513,0.06333333333333334,0.25,0.9095434347788492,0.891982913017273,0.9141243696212769,0.9576124548912048,0.8595144152641296,0.9244046211242676,0.9568267862002054,0.891982913017273,0.02992345206439495,0.8181818326314291,0.9528619448343912,30.0,0.8785914778709412,0.9141243696212769,0.8928438822428385,0.8522671858469645,0.027139875416954357,0.8522671858469645,0.8959241708119711,0.7878787914911906,0.03282301127910614,0.9920634826024374,0.9244046211242676,0.8631462057431539,0.8928438822428385,0.7636363704999288,0.8785914778709412,0.9057908455530802,0.7878787716229757,0.9524747133255004,0.7878787716229757,0.868686854839325,0.8437710801760355,0.8152259190877279,0.9591836929321288,0.8152259190877279,0.9494949579238892,0.9543147087097168,0.8686868747075399,0.03129162018497785,0.9040709932645162,0.9040709932645162,0.027139875416954357,0.9057908455530802,0.9084052443504333,0.9215901295344034,0.0074514261281729745,0.10115550660523238,0.10101011395454554,0.05610119315640989,0.0034794704988599266,0.05635832319690953,0.09237604307034013,0.0,0.02529650337989258,0.001071611817892624,0.0006187877261188008,0.009737925511588853,0.05600413703125506,0.0001018505780494034,0.014606878195331947,0.001071611817892624,0.0017397347837686539,0.10414943933557831,0.005831792397409045,7.0,0.002160310745239258,0.0006187877261188008,0.0005728367494068179,0.001954135585826882,0.0034794704988599266,0.001954135585826882,0.034681218269300575,0.10101011395454554,0.00020088877470362718,0.013746451367732846,0.0001018505780494034,0.05598691002948711,0.0005728367494068179,0.10123210589281695,0.002160310745239258,0.00019803506959215568,0.10101011395454554,0.016730995646945884,0.10101011395454554,0.05050504207611084,0.067437034088572,0.003966903697437677,0.0,0.003966903697437677,0.0,0.0,0.05050504207612257,0.0010339054886376877,0.001307968549113069,0.001307968549113069,0.0034794704988599266,0.00019803506959215568,0.030014624507152456,0.0257675714991444
no_init_box_kenn_top_down_adapter_bert_ms,0.9199888110160828,0.8977272709210714,0.8922559022903442,0.9087902108828226,0.030735328793525696,0.8660345077514648,0.02,0.25,0.9194526274998983,0.8924235304196676,0.9142728050549825,0.9114154378573099,0.8850903908411661,0.9234284361203512,0.8875312606493632,0.8924235304196676,0.03172117844223976,0.9469696879386902,0.9797979593276978,30.0,0.8808237910270691,0.9142728050549825,0.8901264071464539,0.8533023397127787,0.030735328793525696,0.8533023397127787,0.9115722974141439,0.8922558824221293,0.03375087181727091,0.8878464301427206,0.9234284361203512,0.8888206084569296,0.8901264071464539,0.8484848539034525,0.8808237910270691,0.90433669090271,0.8922559022903442,0.8852455218633016,0.8922559022903442,0.9208754301071167,0.9149831930796305,0.8194148739178976,0.9591836929321288,0.8194148739178976,0.9494949579238892,0.9543147087097168,0.9208754301071167,0.03270051876703898,0.9052984913190206,0.9052984913190206,0.030735328793525696,0.90433669090271,0.9493059118588766,0.8872160712877909,0.047566048226110894,0.08316447304855737,0.08226793863302016,0.0660414093914434,0.0028338652379112563,0.04757818404408648,0.009999999999999998,0.0,0.026279905272819225,0.001138882314680835,0.0006680456421042267,0.05768171725304687,0.05175717165667343,0.0013070608443674124,0.08652258512665842,0.001138882314680835,0.0014169326189556282,0.09185119483142123,0.017495480430500095,7.0,0.00175943425966824,0.0006680456421042267,0.0033930284953258,0.0018925538712099607,0.0028338652379112563,0.0018925538712099607,0.03337027112066279,0.08226797278539962,0.0006026620225161673,0.13408712274477078,0.0013070608443674124,0.05124264789275996,0.0033930284953258,0.07569696391652625,0.00175943425966824,0.0021346840158038794,0.08226793863302016,0.08583128623403108,0.08226793863302016,0.041133969316510074,0.05544293425181086,0.003261348163434935,0.0,0.003261348163434935,0.0,0.0,0.041133969316510074,0.0010376709671207746,0.0011974098073867226,0.0011974098073867226,0.0028338652379112563,0.0021346840158038794,0.030123884995167993,0.04227533806436067
no_init_kenn_bottom_up_adapter_bert_ms,0.5582236846288046,0.9818181991577148,0.9764137268066406,0.6691202620665232,0.033518905440966286,0.5186996459960936,0.05666666666666667,0.375,0.6661714116732279,0.8845457037289938,0.9051831761995951,0.6427659889062246,0.5650298595428467,0.8965456684430441,0.4894014696280162,0.8845457037289938,0.033228952437639236,1.0,0.9870931704839071,15.0,0.9006264607111613,0.9051831761995951,0.888019343217214,0.876960277557373,0.03375087181727091,0.876960277557373,0.7549929022789001,0.9797979791959127,0.034002166241407394,0.5441310505072275,0.8965456684430441,0.5986584226290385,0.888019343217214,0.9636363784472147,0.9006264607111613,0.8699063460032145,0.9797979990641276,0.4651029407978058,0.9730639855066935,0.9646464784940084,0.9710438052813214,0.8662572304407755,0.9494949579238892,0.8662572304407755,0.9494949579238892,0.9494949579238892,0.9646464784940084,0.03361033027370771,0.914474626382192,0.914474626382192,0.033634292582670845,0.8699063460032145,0.9757180015246073,0.43467190364996594,0.3412798246439365,0.015745901415968273,0.014564545856678135,0.253819151076965,0.0004017732478125416,0.3675199467850047,0.06350852961085884,0.0,0.26620891957125925,0.024777368645923767,0.018105344112958992,0.24896453042894973,0.3404968749013899,0.03538899717406193,0.37344677847226654,0.024777368645923767,0.00030133316205544077,0.0,0.003504506082537122,0.0,0.00037416991453760476,0.018105344112958992,0.014644983560649923,0.006799105861345261,0.0006026620225161687,0.006799105861345261,0.16653520569979346,0.01749544601774238,0.00012071912964317683,0.3258609119177964,0.03538899717406193,0.3050098190970152,0.014644983560649923,0.03149183724469421,0.00037416991453760476,0.04783502072084762,0.017495411604984665,0.3978812765095017,0.011663584794818042,0.008747757421628923,0.010497302023403213,0.000617502524276899,0.0,0.000617502524276899,0.0,0.0,0.008747757421628923,0.0001216446816136218,0.0001763760794113796,0.0001763760794113796,0.0005017014437987648,0.04783502072084762,0.0035314151894323227,0.4214605208296883
no_init_kenn_horizontal_adapter_bert_ms,0.4972434838612874,0.9757575988769531,0.9705278674761454,0.5072192351023356,0.033344933142264686,0.5017616848150889,0.023333333333333334,0.375,0.6468033393224081,0.8879590431849161,0.9060069719950358,0.5509786009788513,0.50225763519605,0.8977847496668497,0.35172035296758014,0.8879590431849161,0.03311296676596006,1.0,0.9915825128555298,15.333333333333334,0.9004824558893839,0.9060069719950358,0.8826200763384501,0.8742332458496094,0.033518905440966286,0.8742332458496094,0.6982247630755106,0.9730639656384786,0.034156810492277145,0.3559001882870992,0.8977847496668497,0.5050418078899384,0.8826200763384501,0.9515151580174764,0.9004824558893839,0.8759234944979349,0.9730639656384786,0.3489843209584554,0.9680134852727255,0.9612794717152914,0.9670034050941467,0.8660195469856262,0.9494949579238892,0.8660195469856262,0.9494949579238892,0.9494949579238892,0.9612794717152914,0.033626252164443336,0.9144649306933085,0.9144649306933085,0.03343154489994049,0.8759234944979349,0.9761802752812704,0.3475404977798462,0.14541354921745078,0.01892421831122477,0.01928128406545959,0.19232178239711684,0.0006109774110240724,0.1000546921019717,0.023094010767585032,0.0,0.11764206389253083,0.009606535918392922,0.007361672849834663,0.09706649875456878,0.14101390861524382,0.014672231888692005,0.1455997063713774,0.009606535918392922,0.0003621553010963961,0.0,0.0016835331916810192,0.5773502691896258,0.000449688317291626,0.007361672849834663,0.005709776299767006,0.002422261526713982,0.000724310602192793,0.002422261526713982,0.07256647063582518,0.021026917188347313,5.7991594076156616e-05,0.18773828651925295,0.014672231888692005,0.14580517782153007,0.005709776299767006,0.03784846048341213,0.000449688317291626,0.01922573811593913,0.021026917188347313,0.1406673707703662,0.017736794658481787,0.010513470524663032,0.012616178946155321,0.0007421281737173713,0.0,0.0007421281737173713,0.0,0.0,0.010513470524663032,0.00020820998666014543,0.00016992773400484416,0.00016992773400484416,0.0006641797723333334,0.01922573811593913,0.006044393775414896,0.10372422645381496
no_init_kenn_hybrid_adapter_bert_ms,0.5469539562861124,0.9810606241226196,0.9755613207817078,0.6387700935204824,0.03346091384689013,0.5150639861822128,0.09000000000000001,0.375,0.6547881066799164,0.8832298318545023,0.9043614665667216,0.6333508193492889,0.55265544851621,0.89496248960495,0.4752787301937739,0.8832298318545023,0.0332289511958758,0.9924242496490479,0.9826038479804993,15.0,0.9006264805793762,0.9043614665667216,0.8874654968579611,0.8766706784566244,0.03375087181727091,0.8766706784566244,0.7462396224339803,0.9797979791959127,0.03384752323230108,0.5191444357236227,0.89496248960495,0.580602208773295,0.8874654968579611,0.9696969787279764,0.9006264805793762,0.8674184878667196,0.9797979791959127,0.45569461584091187,0.9713804721832275,0.9646464784940084,0.9705387552579244,0.8662275075912476,0.9494949579238892,0.8662275075912476,0.9494949579238892,0.9494949579238892,0.9646464983622233,0.03353513156374296,0.9144649704297384,0.9144649704297384,0.033604931086301804,0.8674184878667196,0.9735349615414938,0.43141301224629086,0.3470773160958009,0.025341988989060375,0.022887090628559776,0.26717607034454255,0.0006586536312551552,0.36974096457030564,0.12124355652982141,0.0,0.26973917570590517,0.025400851668518475,0.01839143875355222,0.2553763559138403,0.34331388899398296,0.035974134489984884,0.3830645552688492,0.025400851668518475,0.00046029260014863836,0.013121584513306875,0.007591319618048947,0.0,0.0005715577404539151,0.01839143875355222,0.015022123194006205,0.006813434435390983,0.0009205837922645077,0.006813434435390983,0.1695507508298032,0.026724754004805416,0.00026149665358577367,0.3438655492261821,0.035974134489984884,0.3127510646260345,0.015022123194006205,0.03784847002778666,0.0005715577404539151,0.04906588988011371,0.026724754004805416,0.40320572398205995,0.019120899280497313,0.013362382634518206,0.01689469318071744,0.0009937772869366979,0.0,0.0009937772869366979,0.0,0.0,0.013362405162956378,0.00035997696635687004,0.00027407518651147167,0.00027407518651147167,0.0007883874720832338,0.04906588988011371,0.01045019597912277,0.4236245212064073
no_init_kenn_top_down_adapter_bert_ms,0.48833287755648297,0.9818181991577148,0.9764095544815063,0.5726330031951269,0.03351890668272972,0.4611828923225403,0.16666666666666666,0.375,0.594657838344574,0.874680777390798,0.898703376452128,0.6004258791605631,0.49357099334398896,0.8840524355570475,0.42589131991068524,0.874680777390798,0.03322894995411237,1.0,0.9870931704839071,15.333333333333334,0.9006264805793762,0.898703376452128,0.8855287432670593,0.8757357994715372,0.03375087181727091,0.8757357994715372,0.7185126940409342,0.9797979791959127,0.03400216748317083,0.46730513374010724,0.8840524355570475,0.5213261743386587,0.8855287432670593,0.9636363585789999,0.9006264805793762,0.8514831066131592,0.9797979990641276,0.405089149872462,0.9730640053749084,0.9646464586257935,0.9710437854131063,0.8662571907043457,0.9494949579238892,0.8662571907043457,0.9494949579238892,0.9494949579238892,0.9646464983622233,0.033610361317793526,0.914474626382192,0.914474626382192,0.033634151021639504,0.8514831066131592,0.9757189353307089,0.38447747627894086,0.3752933787551333,0.01818180084228517,0.016401983816704213,0.36281689217810215,0.00043782323321196417,0.3824177760048554,0.1514375558880073,0.0,0.30196437879880117,0.030338437460452807,0.020299002467701437,0.27082543855511465,0.3749211988614509,0.0396681536362039,0.4062381517873898,0.030338437460452807,0.00034794770181345146,0.0,0.00485985567523022,0.5773502691896258,0.00043207406997680664,0.020299002467701437,0.0159309155634827,0.0074129164350035985,0.0006958954036269055,0.0074129164350035985,0.19036716163481232,0.020202010869987158,0.00016740516145566552,0.3940947495297723,0.0396681536362039,0.3613788037051103,0.0159309155634827,0.03636363148689672,0.00043207406997680664,0.05811931643408997,0.02020198106768678,0.41958550555384094,0.012710124491922067,0.010101020336151054,0.01212123036385801,0.0007129907608032227,0.0,0.0007129907608032227,0.0,0.0,0.010101050138488166,0.00019617698437240187,0.00020298361851184827,0.00020298361851184827,0.0005649969945860513,0.05811931643408997,0.005695053760757773,0.4285770515974572
smart_init_box_adapter_bert_ms,0.9402381579081217,0.8045454223950704,0.7979798316955566,0.8910819490750631,0.027487822497884434,0.8207159837086996,0.5333333333333333,0.25,0.9057376384735107,0.8918118278185526,0.9140272736549377,0.9334772427876791,0.8539541959762573,0.924027681350708,0.9206240177154541,0.8918118278185526,0.03009742560485999,0.8636363546053568,0.9545454581578573,35.666666666666664,0.8788075049718221,0.9140272736549377,0.8914241393407186,0.8519155780474345,0.027487822497884434,0.8519155780474345,0.8913153012593588,0.7979798118273417,0.03288100163141886,0.9231853485107422,0.924027681350708,0.8585989673932394,0.8914241393407186,0.7454545299212137,0.8788075049718221,0.9052069584528605,0.7979798118273417,0.9186830917994181,0.7979798118273417,0.8737373550732931,0.8528619805971781,0.8157606919606527,0.9591836929321288,0.8157606919606527,0.9494949579238892,0.9543147087097168,0.8737373749415079,0.03142009427150091,0.9042411049207052,0.9042411049207052,0.027487823118766148,0.9052069584528605,0.912134846051534,0.918062686920166,0.016036737516481915,0.030065360927652454,0.03641970542813751,0.0351520706085326,0.001254541213643145,0.05512002144448864,0.08736894948054105,0.0,0.016072336647313255,0.0006751951869998334,0.0005608207171722395,0.024875758184683242,0.03336171596936774,0.0004495275735350504,0.037313708648418265,0.0006751951869998334,0.0006272711234263354,0.03936482236543602,0.028120029117330025,2.081665999466132,0.0007789160757104424,0.0005608207171722395,0.0014632760498071572,0.0012511748407996995,0.001254541213643145,0.0012511748407996995,0.02129576168348943,0.03641971369379047,0.0009686452398695995,0.07082715419543784,0.0004495275735350504,0.031894892232266756,0.0014632760498071572,0.09090909361839458,0.0007789160757104424,0.000659070274138589,0.03641971369379047,0.03393066721828065,0.03641971369379047,0.01820985684689524,0.020043573951784705,0.0011790483391651303,0.0,0.0011790483391651303,0.0,0.0,0.01820984858125759,0.0005247232738269143,0.0007119786827494265,0.0007119786827494265,0.0012545404387357918,0.000659070274138589,0.01523287364085945,0.0062137021741436455
smart_init_classifier_adapter_bert_ms,0.8754434784253439,0.9818181991577148,0.966119130452474,0.8471691807111105,0.03282301127910614,0.9275209903717041,0.19333333333333336,0.375,0.9177024364471436,0.905877967675527,0.9203223387400309,0.8602700630823771,0.8891406059265137,0.9262752930323283,0.8156575361887614,0.905877967675527,0.0332289511958758,1.0,0.9685746431350708,25.333333333333332,0.9006264805793762,0.9203223387400309,0.9008136987686157,0.8831967910130819,0.033750870575507484,0.8831967910130819,0.9120700558026632,0.9797979791959127,0.033364263673623405,0.7360300421714783,0.9262752930323283,0.890488862991333,0.9008136987686157,0.9636363585789999,0.9006264805793762,0.9111919601758321,0.9797979990641276,0.814815878868103,0.9528619448343912,0.9646464784940084,0.9710438251495361,0.8662572105725607,0.9494949579238892,0.8662572105725607,0.9494949579238892,0.9494949579238892,0.9646464586257935,0.033295925706624985,0.9144456386566162,0.9144456386566162,0.03327967847386996,0.9111919601758321,0.9665908018747965,0.8952850898106893,0.028030423806565296,0.009090900421142536,0.005743472302260003,0.036338050986990715,0.00020088877470362718,0.01945406587401372,0.09073771725877469,0.0,0.014630946657232202,0.0006495961733425234,0.00038305795899448724,0.03139342373954036,0.027084187022178793,0.0007876482758757859,0.04709010443703721,0.0006495961733425234,0.00017397478224176553,0.0,0.0070089501258961615,0.5773502691896255,0.00021600723266601562,0.00038305795899448724,0.0018466643016936879,0.0008261898830285576,0.00034794770181345146,0.0008261898830285576,0.016679280767423005,0.010100990533843349,0.00024143408362156,0.05568519584605702,0.0007876482758757859,0.026696654002924702,0.0018466643016936879,0.01818183064461566,0.00021600723266601562,0.0013908493321593968,0.010100990533843321,0.047726388893929904,0.005831792397409045,0.00505051016810483,0.006060600280761774,0.0003565251831391865,0.0,0.0003565251831391865,0.0,0.0,0.00505053997039788,0.00013031863086243405,0.00011599063873302118,0.00011599063873302118,0.00019784591677602018,0.0013908493321593968,0.0037832320092967,0.045484572360669294
