name,test_incremental/macro_types/f1/mean,test_incremental_only/macro_example/precision/mean,test/macro_example/f1/mean,test_incremental/micro/precision/mean,test_incremental_only/macro_types/f1/mean,test/macro_types/f1/mean,test_incremental_internet/macro_types/f1/mean,test_incremental_internet-website/macro_types/f1/mean,test_incremental_only/macro_example_exclusive/precision/mean,test_incremental/macro_example/recall/mean,test_pretraining/macro_types/precision/mean,test_incremental/macro_example/precision/mean,test_incremental/macro_example_exclusive/recall/mean,test_incremental_internet-website/macro_types/precision/mean,epoch/mean,threshold_incremental/mean,test_incremental_only/macro_types/recall/mean,test_incremental_only/macro_example_exclusive/f1/mean,test_incremental/macro_example_exclusive/precision/mean,test_incremental_only/macro_types/precision/mean,test_pretraining/micro/recall/mean,test_incremental_only/micro/recall/mean,test/macro_types/precision/mean,test/macro_example/precision/mean,test_incremental/macro_example/f1/mean,test_incremental_internet/macro_types/recall/mean,test/micro/precision/mean,threshold_pretraining/mean,test_incremental/macro_types/recall/mean,test/micro/recall/mean,test_pretraining/macro_types/f1/mean,test_incremental_internet-website/macro_types/recall/mean,test/macro_types/recall/mean,test_incremental/micro/recall/mean,test_pretraining/macro_example/recall/mean,test_incremental_only/macro_example/recall/mean,test_incremental_internet/macro_types/precision/mean,test/macro_example/recall/mean,test_pretraining/micro/f1/mean,test_pretraining/macro_example/f1/mean,test_incremental_only/micro/f1/mean,test/micro/f1/mean,test_incremental_only/micro/precision/mean,test_pretraining/macro_types/recall/mean,test_incremental_only/macro_example_exclusive/recall/mean,test_incremental/macro_types/precision/mean,test_incremental_only/macro_example/f1/mean,test_pretraining/macro_example/precision/mean,test_incremental/micro/f1/mean,test_pretraining/micro/precision/mean,test_incremental/macro_example_exclusive/f1/mean,test_incremental/macro_types/f1/std,test_incremental_only/macro_example/precision/std,test/macro_example/f1/std,test_incremental/micro/precision/std,test_incremental_only/macro_types/f1/std,test/macro_types/f1/std,test_incremental_internet/macro_types/f1/std,test_incremental_internet-website/macro_types/f1/std,test_incremental_only/macro_example_exclusive/precision/std,test_incremental/macro_example/recall/std,test_pretraining/macro_types/precision/std,test_incremental/macro_example/precision/std,test_incremental/macro_example_exclusive/recall/std,test_incremental_internet-website/macro_types/precision/std,epoch/std,threshold_incremental/std,test_incremental_only/macro_types/recall/std,test_incremental_only/macro_example_exclusive/f1/std,test_incremental/macro_example_exclusive/precision/std,test_incremental_only/macro_types/precision/std,test_pretraining/micro/recall/std,test_incremental_only/micro/recall/std,test/macro_types/precision/std,test/macro_example/precision/std,test_incremental/macro_example/f1/std,test_incremental_internet/macro_types/recall/std,test/micro/precision/std,threshold_pretraining/std,test_incremental/macro_types/recall/std,test/micro/recall/std,test_pretraining/macro_types/f1/std,test_incremental_internet-website/macro_types/recall/std,test/macro_types/recall/std,test_incremental/micro/recall/std,test_pretraining/macro_example/recall/std,test_incremental_only/macro_example/recall/std,test_incremental_internet/macro_types/precision/std,test/macro_example/recall/std,test_pretraining/micro/f1/std,test_pretraining/macro_example/f1/std,test_incremental_only/micro/f1/std,test/micro/f1/std,test_incremental_only/micro/precision/std,test_pretraining/macro_types/recall/std,test_incremental_only/macro_example_exclusive/recall/std,test_incremental/macro_types/precision/std,test_incremental_only/macro_example/f1/std,test_pretraining/macro_example/precision/std,test_incremental/micro/f1/std,test_pretraining/micro/precision/std,test_incremental/macro_example_exclusive/f1/std
no_init_box_kenn_bottom_up_adapter_bert_ms,0.7143078049023946,0.006379030489673217,0.9151181181271871,0.8963081439336141,0.6368523935476939,0.8489663203557333,0.75,0.6368523935476939,0.6111111640930176,0.0063210393612583475,0.8893672625223795,0.0076548367117842036,0.6055556138356527,0.8469834923744202,51.666666666666664,0.09333333333333334,0.611111099521319,0.6111111640930176,0.7333333889643351,0.8469834923744202,0.878801167011261,0.611111099521319,0.8893672625223795,0.9244181911150614,0.006903476547449827,0.6000000238418579,0.9041176637013754,0.25,0.6055555542310079,0.878801167011261,0.8489663203557333,0.611111099521319,0.812116265296936,0.6055555442969004,0.9060040314992269,0.006379030489673217,1.0,0.9060040314992269,0.8912772337595621,0.9151181181271871,0.6368523935476939,0.8912772337595621,0.8469834923744202,0.812116265296936,0.6111111640930176,0.9234917561213175,0.006379030489673217,0.9244181911150614,0.7014380494753519,0.9041176637013754,0.6613531510035197,0.10923259842239014,0.003571051911216861,0.000540526837828843,0.13950311207786834,0.22539220217331152,0.002389287886880801,0.0,0.22539220217331152,0.34210680031470647,0.0017855260841622245,0.0038928621955355985,0.0015944938362009902,0.17105340790083065,0.19464389943394292,24.583192089989723,0.13576941236277534,0.3421067504660829,0.34210680031470647,0.15275255958423423,0.19464389943394292,0.0022507205150268804,0.3421067504660829,0.0038928621955355985,0.00034740150009816216,0.0017073139863594455,0.0,0.0016018041354852331,0.0,0.1710533672475832,0.0022507205150268804,0.002389287886880801,0.3421067504660829,0.006842127178735379,0.17105338370246814,0.0011737507756969204,0.003571051911216861,0.0,0.0011737507756969204,0.0007677496632818421,0.000540526837828843,0.22539220217331152,0.0007677496632818421,0.19464389943394292,0.006842127178735379,0.34210680031470647,0.09732193294534672,0.003571051911216861,0.00034740150009816216,0.09906492440642853,0.0016018041354852331,0.16356073278276226
no_init_box_kenn_horizontal_adapter_bert_ms,0.7082733909289042,0.005335189246882995,0.9150757590929667,0.9916666746139526,0.6549610098203024,0.8491407632827759,0.75,0.6549610098203024,0.5111111402511597,0.005799118584642808,0.8921245336532593,0.007190907374024391,0.5555556118488312,0.9848484794298807,73.0,0.07666666666666667,0.5111111203829447,0.5111111402511597,0.688888947168986,0.9848484794298807,0.8781432708104452,0.5111111203829447,0.8921245336532593,0.9246713916460673,0.006402318986753623,0.6000000238418579,0.9052068193753561,0.25,0.5555555721124014,0.8781432708104452,0.8491407632827759,0.5111111203829447,0.8101162513097128,0.555555542310079,0.9056773583094279,0.005335189246882995,1.0,0.9056773583094279,0.8914693792661031,0.9150757590929667,0.6549610098203024,0.8914693792661031,0.9848484794298807,0.8101162513097128,0.5111111402511597,0.9924242496490479,0.005335189246882995,0.9246713916460673,0.7080313165982565,0.9052068193753561,0.6133422056833903,0.08108414305406754,0.002097325639584548,0.00041995582747132346,0.014433742964637538,0.176627985121478,0.0020194964060421343,0.0,0.176627985121478,0.20092381013403185,0.0010486629163590322,0.0005248633805322749,0.000875647761668747,0.10046193473231549,0.026243203439371438,53.925875050851054,0.061101009266077866,0.20092378211680526,0.20092381013403185,0.08388708770228381,0.026243203439371438,0.0013218494876984035,0.20092378211680526,0.0005248633805322749,0.0001325151118924254,0.0009030680803445519,0.0,7.617604967682526e-05,0.0,0.10046187869786714,0.0013218494876984035,0.0020194964060421343,0.20092378211680526,0.0040184845419299915,0.10046189105840263,0.0007075784880777865,0.002097325639584548,0.0,0.0007075784880777865,0.0006980432770732795,0.00041995582747132346,0.176627985121478,0.0006980432770732795,0.026243203439371438,0.0040184845419299915,0.20092381013403185,0.013121584513306875,0.002097325639584548,0.0001325151118924254,0.08076012085040932,7.617604967682526e-05,0.08651398126756503
no_init_box_kenn_hybrid_adapter_bert_ms,0.7166329820950826,0.006379030489673217,0.9151551127433777,0.9046437939008077,0.6437981824080149,0.8490604956944784,0.75,0.6437981824080149,0.6111111640930176,0.0063210393612583475,0.8895714481671652,0.0076548367117842036,0.6055556138356527,0.8571933706601461,54.0,0.15,0.611111099521319,0.6111111640930176,0.7333333889643351,0.8571933706601461,0.878801167011261,0.611111099521319,0.8895714481671652,0.9244935711224874,0.006903476547449827,0.6000000238418579,0.9042528669039408,0.25,0.6055555542310079,0.878801167011261,0.8490604956944784,0.611111099521319,0.812116265296936,0.6055555442969004,0.9060040314992269,0.006379030489673217,1.0,0.9060040314992269,0.8913431962331136,0.9151551127433777,0.6437981824080149,0.8913431962331136,0.8571933706601461,0.812116265296936,0.6111111640930176,0.9285966952641805,0.006379030489673217,0.9244935711224874,0.7056050101915995,0.9042528669039408,0.6613531510035197,0.11140415610826308,0.003571051911216861,0.0005727005370191259,0.12531314736582824,0.23041265847585427,0.0024618580717800896,0.0,0.23041265847585427,0.34210680031470647,0.0017855260841622245,0.0035490171084408863,0.0015944938362009902,0.17105340790083065,0.17745066580207425,22.60530911091463,0.2253885533916929,0.3421067504660829,0.34210680031470647,0.15275255958423423,0.17745066580207425,0.0022507205150268804,0.3421067504660829,0.0035490171084408863,0.00022430774782540737,0.0017073139863594455,0.0,0.0013677832952422744,0.0,0.1710533672475832,0.0022507205150268804,0.0024618580717800896,0.3421067504660829,0.006842127178735379,0.17105338370246814,0.0011737507756969204,0.003571051911216861,0.0,0.0011737507756969204,0.000786059226887529,0.0005727005370191259,0.23041265847585427,0.000786059226887529,0.17745066580207425,0.006842127178735379,0.34210680031470647,0.08872531621912537,0.003571051911216861,0.00022430774782540737,0.10195847982019723,0.0013677832952422744,0.16356073278276226
no_init_box_kenn_top_down_adapter_bert_ms,0.7885990540186564,0.008118766359984875,0.9154991507530212,0.9077067573865255,0.8043891390164694,0.8509190678596497,0.75,0.8043891390164694,0.7777778108914694,0.007190907218803962,0.88962455590566,0.008234748616814613,0.688888947168986,0.8598484794298807,58.333333333333336,0.10333333333333335,0.7777777711550394,0.7777778108914694,0.788888951142629,0.8598484794298807,0.8798976540565491,0.7777777711550394,0.88962455590566,0.9246075948079427,0.007671686665465434,0.6000000238418579,0.9044274687767029,0.25,0.6888888875643412,0.8798976540565491,0.8509190678596497,0.7777777711550394,0.815449595451355,0.6888888875643412,0.9065684874852499,0.008118766359984875,1.0,0.9065684874852499,0.8919933239618937,0.9154991507530212,0.8043891390164694,0.8919933239618937,0.8598484794298807,0.815449595451355,0.7777778108914694,0.9299242496490479,0.008118766359984875,0.9246075948079427,0.7786861459414164,0.9044274687767029,0.7349476416905721,0.01414518163659056,0.000875647761668747,7.77123657940394e-05,0.11758780035024463,0.04919755285275744,0.0007938058311553269,0.0,0.04919755285275744,0.08388702849107246,0.0004378239116735946,0.0033462359917658425,0.0010629958569288,0.04194348463993088,0.1673110600922157,34.38507428134093,0.06658328118479394,0.08388706007038475,0.08388702849107246,0.10183504189062338,0.1673110600922157,0.0005518840087556957,0.08388706007038475,0.0033462359917658425,0.0002936600374144914,0.0007086770763388566,0.0,0.001361209503486383,0.0,0.041943543851141914,0.0005518840087556957,0.0007938058311553269,0.08388706007038475,0.0016777378066873472,0.041943543851141914,0.0001860315232604299,0.000875647761668747,0.0,0.0001860315232604299,0.00042069534788920904,7.77123657940394e-05,0.04919755285275744,0.00042069534788920904,0.1673110600922157,0.0016777378066873472,0.08388702849107246,0.0836555125034786,0.000875647761668747,0.0002936600374144914,0.02591736680232936,0.001361209503486383,0.06789127018814463
no_init_kenn_bottom_up_adapter_bert_ms,0.8105826377868652,0.00962653694053491,0.9209895531336466,0.7408279180526733,0.7513473033905029,0.8805475036303202,0.8363636136054993,0.7513473033905029,0.9222222566604614,0.008814660521845022,0.8990951379140218,0.009742519507805506,0.844444473584493,0.644575277964274,37.333333333333336,0.36333333333333334,0.9222222169240316,0.9222222566604614,0.9333333571751913,0.644575277964274,0.899049719174703,0.9222222169240316,0.8990951379140218,0.9272249539693197,0.009253482644756636,0.7666666507720947,0.9109726945559183,0.375,0.8444444537162781,0.899049719174703,0.8805475036303202,0.9222222169240316,0.8627539674441019,0.8444444537162781,0.9148380557696024,0.00962653694053491,0.9200000166893004,0.9148380557696024,0.9049710432688395,0.9209895531336466,0.7513473033905029,0.9049710432688395,0.644575277964274,0.8627539674441019,0.9222222566604614,0.7822876572608948,0.00962653694053491,0.9272249539693197,0.7859977086385092,0.9109726945559183,0.8864835898081461,0.022299412667243407,0.0005314978776566977,0.0004850288637917114,0.09460066573383998,0.07037956350284823,0.00068117652940627,0.0,0.07037956350284823,0.05091752419701629,0.0002657489388283485,0.0024711029618948487,0.0006026620225161681,0.02545872958150611,0.12355615907708127,11.239810200058242,0.2742869543622761,0.05091749168001301,0.05091752419701629,0.0577350406840656,0.12355615907708127,0.0003349966332406168,0.05091749168001301,0.0024711029618948487,0.001132253223006964,0.0004147371845307912,0.0,0.0019155512414054845,0.0,0.025458762098508163,0.0003349966332406168,0.00068117652940627,0.05091749168001301,0.0010183673927799922,0.025458762098508163,0.00021710924836491603,0.0005314978776566977,0.0,0.00021710924836491603,0.0007878706047619609,0.0004850288637917114,0.07037956350284823,0.0007878706047619609,0.12355615907708127,0.0010183673927799922,0.05091752419701629,0.06177809402657432,0.0005314978776566977,0.001132253223006964,0.043990816255430165,0.0019155512414054845,0.039731766709154986
no_init_kenn_horizontal_adapter_bert_ms,0.7722065250078837,0.0090466250355045,0.920273999373118,0.6720085740089417,0.6678219437599182,0.879020114739736,0.8363636136054993,0.6678219437599182,0.8666667143503824,0.008524704414109388,0.8971131841341654,0.009510554373264313,0.8166667222976685,0.545477439959844,44.666666666666664,0.4066666666666667,0.8666666547457377,0.8666667342185974,0.9111111561457316,0.545477439959844,0.8986842036247253,0.8666666547457377,0.8971131841341654,0.9259259303410848,0.008987354425092539,0.7666666507720947,0.9097918669382731,0.375,0.8166666428248087,0.8986842036247253,0.879020114739736,0.8666666547457377,0.861642857392629,0.8166666626930237,0.9146911303202311,0.0090466250355045,0.9200000166893004,0.9146911303202311,0.9042036930720011,0.920273999373118,0.6678219437599182,0.9042036930720011,0.545477439959844,0.861642857392629,0.8666667143503824,0.732738733291626,0.0090466250355045,0.9259259303410848,0.7364640831947327,0.9097918669382731,0.8609886169433594,0.03255500526005424,0.000347947236150607,0.0006566436832978991,0.0698592433505474,0.07782572386562707,0.0012166695170707743,0.0,0.07782572386562707,0.03333336114885199,0.00017397338524481566,0.001817287417562892,0.00040177432321121943,0.016666650772094727,0.09086368781139631,21.385353243127255,0.0929157324317757,0.03333333134651628,0.03333333134655181,0.038490050064548975,0.09086368781139631,0.0002192854881286621,0.03333333134651628,0.001817287417562892,0.0012376864119618483,0.00020663086343839155,0.0,0.001438911778260198,0.0,0.016666680574425996,0.0002192854881286621,0.0012166695170707743,0.03333333134651628,0.0006666481497124072,0.016666650772094727,0.00011147594177499998,0.000347947236150607,0.0,0.00011147594177499998,0.0008212795123786036,0.0006566436832978991,0.07782572386562707,0.0008212795123786036,0.09086368781139631,0.0006666481497124072,0.03333336114885199,0.04543184823385655,0.000347947236150607,0.0012376864119618483,0.048579850565021114,0.001438911778260198,0.019795246473237316
no_init_kenn_hybrid_adapter_bert_ms,0.8340641856193542,0.00962653694053491,0.9212612708409628,0.8018712798754374,0.8080651164054871,0.8814446131388346,0.8363636136054993,0.8080651164054871,0.9222222566604614,0.008814660521845022,0.9009712934494019,0.009742519507805506,0.844444473584493,0.7383825381596884,36.333333333333336,0.41,0.9222222169240316,0.9222222566604614,0.9333333571751913,0.7383825381596884,0.899049719174703,0.9222222169240316,0.9009712934494019,0.9277758598327636,0.009253482644756636,0.7666666507720947,0.9119862119356791,0.375,0.8444444537162781,0.899049719174703,0.8814446131388346,0.9222222169240316,0.8627539674441019,0.8444444537162781,0.9148380557696024,0.00962653694053491,0.9200000166893004,0.9148380557696024,0.9054707686106364,0.9212612708409628,0.8080651164054871,0.9054707686106364,0.7383825381596884,0.8627539674441019,0.9222222566604614,0.829191267490387,0.00962653694053491,0.9277758598327636,0.8181810776392618,0.9119862119356791,0.8864835898081461,0.03315323236477811,0.0005314978776566977,0.00046234333757135665,0.12023676135178507,0.09030288162914175,0.0012016329579206714,0.0,0.09030288162914175,0.05091752419701629,0.0002657489388283485,0.003616761563707445,0.0006026620225161681,0.02545872958150611,0.18083988157283423,12.220201853215572,0.3897435053981015,0.05091749168001301,0.05091752419701629,0.0577350406840656,0.18083988157283423,0.0003349966332406168,0.05091749168001301,0.003616761563707445,0.0010970538427774524,0.0004147371845307912,0.0,0.0020027276317417524,0.0,0.025458762098508163,0.0003349966332406168,0.0012016329579206714,0.05091749168001301,0.0010183673927799922,0.025458762098508163,0.00021710924836491603,0.0005314978776566977,0.0,0.00021710924836491603,0.000823710522732453,0.00046234333757135665,0.09030288162914175,0.000823710522732453,0.18083988157283423,0.0010183673927799922,0.05091752419701629,0.09041995477419253,0.0005314978776566977,0.0010970538427774524,0.05141674144907911,0.0020027276317417524,0.039731766709154986
no_init_kenn_top_down_adapter_bert_ms,0.7743849356969198,0.009510554373264313,0.920464038848877,0.6447691917419434,0.6551109751065572,0.8792903224627177,0.8363636136054993,0.6551109751065572,0.9111111561457316,0.008756669238209724,0.8967188398043314,0.009742519507805506,0.838888923327128,0.5257596572240194,38.0,0.53,0.9111111164093018,0.9111111561457316,0.9333333571751913,0.5257596572240194,0.8989766240119934,0.9111111164093018,0.8967188398043314,0.9261849721272787,0.00922094192355871,0.7666666507720947,0.9086822668711346,0.375,0.8388889034589132,0.8989766240119934,0.8792903224627177,0.9111111164093018,0.8625317414601644,0.8388889034589132,0.9148148695627848,0.009510554373264313,0.9200000166893004,0.9148148695627848,0.9038012822469076,0.920464038848877,0.6551109751065572,0.9038012822469076,0.5257596572240194,0.8625317414601644,0.9111111561457316,0.7228798468907675,0.009510554373264313,0.9261849721272787,0.7232255538304647,0.9086822668711346,0.8833661874135336,0.03619387510165885,0.00040177432321121943,0.0008878114780511208,0.13086212409783995,0.1103626630667665,0.0011298172917565369,0.0,0.1103626630667665,0.038490050064548975,0.00020088716160560972,0.003154174576526356,0.0006026620225161681,0.019244990619516733,0.15770870352898922,10.816653826391969,0.26000000000000006,0.03849001565179128,0.038490050064548975,0.0577350406840656,0.15770870352898922,0.00025324348395862914,0.03849001565179128,0.003154174576526356,0.0019445488311791563,0.00038367375035718883,0.0,0.003147070573525484,0.0,0.01924502503227447,0.00025324348395862914,0.0011298172917565369,0.03849001565179128,0.0007698133898837684,0.01924502503227447,0.00019422560449286241,0.00040177432321121943,0.0,0.00019422560449286241,0.0014366469785251812,0.0008878114780511208,0.1103626630667665,0.0014366469785251812,0.15770870352898922,0.0007698133898837684,0.038490050064548975,0.0788543434052324,0.00040177432321121943,0.0019445488311791563,0.07374363537083942,0.003147070573525484,0.03675588796546919
smart_init_box_adapter_bert_ms,0.7243876258532206,0.007538854299734036,0.9138462742169698,0.7587606906890869,0.6065323452154795,0.8490190505981445,0.75,0.6065323452154795,0.7222222487131754,0.006900951111068328,0.8868588407834371,0.008698677954574427,0.6611111760139465,0.7215634534756342,24.0,0.41333333333333333,0.7222222089767456,0.7222222487131754,0.8333333730697632,0.7215634534756342,0.8795321583747864,0.7222222089767456,0.8868588407834371,0.9215282797813416,0.007677123571435611,0.6000000238418579,0.8981045683224996,0.25,0.6611110965410868,0.8795321583747864,0.8490190505981445,0.7222222089767456,0.814338485399882,0.6611111164093018,0.9063055713971456,0.007538854299734036,1.0,0.9063055713971456,0.8886863390604655,0.9138462742169698,0.6065323452154795,0.8886863390604655,0.7215634534756342,0.814338485399882,0.7222222487131754,0.860781729221344,0.007538854299734036,0.9215282797813416,0.6416208843390147,0.8981045683224996,0.7354684670766195,0.050613035639111494,0.0024439003623847114,0.002347792219342224,0.3963852683120153,0.2370191614018086,0.0019948353109593133,0.0,0.2370191614018086,0.2341256532844209,0.0012219500485965362,0.008869670614702937,0.0012545413427942113,0.11706282947092389,0.44348417665379525,6.082762530298219,0.3709896674212549,0.23412562499730755,0.2341256532844209,0.12018504361755991,0.44348417665379525,0.0015403011694240343,0.23412562499730755,0.008869670614702937,0.005541842279706382,0.0011905719469715022,0.0,0.012341488585450198,0.0,0.11706279835509788,0.0015403011694240343,0.0019948353109593133,0.23412562499730755,0.004682532640372862,0.11706282947092389,0.000965461538348049,0.0024439003623847114,0.0,0.000965461538348049,0.005371380230324718,0.002347792219342224,0.2370191614018086,0.005371380230324718,0.44348417665379525,0.004682532640372862,0.2341256532844209,0.22174210904296895,0.0024439003623847114,0.005541842279706382,0.1822034466818412,0.012341488585450198,0.11405683538606576
smart_init_classifier_adapter_bert_ms,0.80635533730189,0.009162607292334238,0.9204891721407572,0.7539336681365967,0.7285905480384827,0.8806766072909037,0.8363636136054993,0.7285905480384827,0.8777778148651123,0.00858269538730383,0.9003622134526571,0.009278589859604836,0.8222222526868185,0.7079293231169382,7.0,0.45999999999999996,0.8777777751286825,0.8777778148651123,0.888888935248057,0.7079293231169382,0.8987572987874349,0.8777777751286825,0.9003622134526571,0.926434338092804,0.008913290066023668,0.7666666507720947,0.9097661177317301,0.375,0.8222222129503886,0.8987572987874349,0.8806766072909037,0.8777777751286825,0.8618650833765665,0.8222222129503886,0.9146253863970438,0.009162607292334238,0.9200000166893004,0.9146253863970438,0.9042181968688965,0.9204891721407572,0.7285905480384827,0.9042181968688965,0.7079293231169382,0.8618650833765665,0.8777778148651123,0.8139646848042806,0.009162607292334238,0.926434338092804,0.7612434426943461,0.9097661177317301,0.8538932005564371,0.06446981978062408,0.0014062115523018085,0.0015509555112816526,0.26305454611479623,0.20154740542536537,0.0020415034640261227,0.0,0.20154740542536537,0.13471506215544127,0.0007031055265047854,0.006867538971683988,0.00122194982760345,0.06735755811631128,0.34337556909285444,2.6457513110645907,0.40509258201058185,0.13471505232321618,0.13471506215544127,0.11706280118381703,0.34337556909285444,0.0008862907425430737,0.13471505232321618,0.006867538971683988,0.0035475851632690227,0.000944203817160169,0.0,0.006643583994039098,0.0,0.06735752616160808,0.0008862907425430737,0.0020415034640261227,0.13471505232321618,0.002694314909919808,0.06735752616160808,0.0005324337635180096,0.0014062115523018085,0.0,0.0005324337635180096,0.0029212142491379166,0.0015509555112816526,0.20154740542536537,0.0029212142491379166,0.34337556909285444,0.002694314909919808,0.13471506215544127,0.171687789013674,0.0014062115523018085,0.0035475851632690227,0.13767327086224837,0.006643583994039098,0.09045474737749812
