name,instance,run_id,test_incremental/micro/f1,test/macro_types/precision,test_pretraining/macro_example/f1,test/micro/recall,test_incremental_only/micro/precision,threshold_incremental,test_incremental_only/macro_example/f1,test_incremental_only/macro_example/precision,test_incremental/macro_types/recall,test_pretraining/macro_types/recall,test_incremental/macro_example/precision,test/micro/precision,test_incremental/macro_example_exclusive/recall,test_incremental_only/macro_example_exclusive/recall,test_incremental/macro_example_exclusive/f1,test_pretraining/micro/f1,test/macro_example/precision,test_incremental/macro_example/f1,test_incremental/macro_types/precision,test_incremental_only/macro_example_exclusive/precision,test/macro_types/recall,test_pretraining/macro_types/precision,test_incremental_only/macro_example_exclusive/f1,test/micro/f1,test_pretraining/macro_example/recall,epoch,test_incremental_only/macro_types/recall,test_pretraining/macro_example/precision,test_incremental_only/macro_types/precision,test_incremental_living_thing-animal/macro_types/precision,test_incremental/micro/recall,test_pretraining/micro/recall,test_incremental_only/micro/recall,test/macro_example/f1,test/macro_example/recall,test_pretraining/macro_types/f1,test_incremental_living_thing/macro_types/precision,test_incremental/macro_types/f1,test_pretraining/micro/precision,test_incremental/macro_example_exclusive/precision,threshold_pretraining,test_incremental_only/micro/f1,test_incremental_living_thing-animal/macro_types/f1,test_incremental/micro/precision,test_incremental/macro_example/recall,test_incremental_living_thing/macro_types/f1,test_incremental_living_thing-animal/macro_types/recall,test/macro_types/f1,test_incremental_only/macro_types/f1,test_incremental_only/macro_example/recall,test_incremental_living_thing/macro_types/recall
kenn_horizontal_adapter_bert_ms,2,3jnkorq9,0.5923566818237305,0.8901492357254028,0.9150479435920716,0.8993421196937561,0.1972789168357849,0.59,0.01009046658873558,0.01009046658873558,0.9756410121917723,0.8636428713798523,0.02000695839524269,0.8909406661987305,0.9769231081008912,0.9666666984558104,0.928480625152588,0.895121693611145,0.9159128069877625,0.020999038591980938,0.543083906173706,0.9666666984558104,0.8636428713798523,0.8901492357254028,0.9666666984558104,0.895121693611145,0.9141846895217896,26,0.9666666388511658,0.9159128069877625,0.1972789168357849,0.1972789168357849,0.9789473414421082,0.8993421196937561,0.9666666388511658,0.9150479435920716,0.9141846895217896,0.8766958117485046,0.8888888955116272,0.6977629065513611,0.8909406661987305,0.884615421295166,0.375,0.32768362760543823,0.32768362760543823,0.4246575236320496,0.022094640880823135,0.9343065619468688,0.9666666388511658,0.8766958117485046,0.32768362760543823,0.01009046658873558,0.9846153855323792
kenn_horizontal_adapter_bert_ms,1,1cpfzeol,0.4581280648708343,0.8886303901672363,0.9100720882415771,0.8993421196937561,0.12133891135454178,0.74,0.01009046658873558,0.01009046658873558,0.9756410121917723,0.8636428713798523,0.01965901255607605,0.8734824061393738,0.9769231081008912,0.9666666984558104,0.9199358820915222,0.8862236738204956,0.905996322631836,0.020805787295103073,0.5051138997077942,0.9666666984558104,0.8636428713798523,0.8886303901672363,0.9666666984558104,0.8862236738204956,0.9141846895217896,26,0.9666666388511658,0.905996322631836,0.12133891135454178,0.12133891135454178,0.9789473414421082,0.8993421196937561,0.9666666388511658,0.9100720882415771,0.9141846895217896,0.8759583830833435,0.8888888955116272,0.6656197309494019,0.8734824061393738,0.8692307472229004,0.375,0.21561338007450104,0.21561338007450104,0.29903537034988403,0.022094640880823135,0.9343065619468688,0.9666666388511658,0.8759583830833435,0.21561338007450104,0.01009046658873558,0.9846153855323792
kenn_horizontal_adapter_bert_ms,0,2xbyy7hi,0.1808838397264481,0.886799156665802,0.871415376663208,0.898245632648468,0.02977667562663555,0.97,0.008350730873644352,0.008350730873644352,0.892307698726654,0.8603095412254333,0.021572720259428024,0.7784112691879272,0.9384615421295166,0.8000000715255737,0.94609135389328,0.8340460062026978,0.8329505920410156,0.021397333592176437,0.45933279395103455,0.8000000715255737,0.8603095412254333,0.886799156665802,0.8000000715255737,0.8340460062026978,0.913604736328125,20,0.800000011920929,0.8329505920410156,0.02977667562663555,0.02977667562663555,0.9263157844543456,0.898245632648468,0.800000011920929,0.871415376663208,0.913604736328125,0.8733534812927246,0.8888888955116272,0.6064721941947937,0.7784112691879272,0.9538462162017822,0.375,0.057416267693042755,0.057416267693042755,0.10022778809070589,0.021224774420261383,0.9343065619468688,0.800000011920929,0.8733534812927246,0.057416267693042755,0.008350730873644352,0.9846153855323792
kenn_hybrid_adapter_bert_ms,2,v4vc00s4,0.18825910985469815,0.886910080909729,0.8710913062095642,0.8993421196937561,0.035322777926921844,0.97,0.01009046658873558,0.01009046658873558,0.9756410121917723,0.8636428713798523,0.02000695839524269,0.7771461009979248,0.9769231081008912,0.9666666984558104,0.928480625152588,0.8337908387184143,0.8318777680397034,0.020999038591980938,0.4621058404445648,0.9666666984558104,0.8636428713798523,0.886910080909729,0.9666666984558104,0.8337908387184143,0.9141846895217896,20,0.9666666388511658,0.8318777680397034,0.035322777926921844,0.035322777926921844,0.9789473414421082,0.8993421196937561,0.9666666388511658,0.8710913062095642,0.9141846895217896,0.8751218914985657,0.8888888955116272,0.6271610260009766,0.7771461009979248,0.884615421295166,0.375,0.06815511733293533,0.06815511733293533,0.10414333641529085,0.022094640880823135,0.9343065619468688,0.9666666388511658,0.8751218914985657,0.06815511733293533,0.01009046658873558,0.9846153855323792
kenn_top_down_adapter_bert_ms,2,f3xe1utr,0.18825910985469815,0.886910080909729,0.8710913062095642,0.8993421196937561,0.035322777926921844,0.97,0.01009046658873558,0.01009046658873558,0.9756410121917723,0.8636428713798523,0.02000695839524269,0.7771461009979248,0.9769231081008912,0.9666666984558104,0.928480625152588,0.8337908387184143,0.8318777680397034,0.020999038591980938,0.4621058404445648,0.9666666984558104,0.8636428713798523,0.886910080909729,0.9666666984558104,0.8337908387184143,0.9141846895217896,20,0.9666666388511658,0.8318777680397034,0.035322777926921844,0.035322777926921844,0.9789473414421082,0.8993421196937561,0.9666666388511658,0.8710913062095642,0.9141846895217896,0.8751218914985657,0.8888888955116272,0.6271610260009766,0.7771461009979248,0.884615421295166,0.375,0.06815511733293533,0.06815511733293533,0.10414333641529085,0.022094640880823135,0.9343065619468688,0.9666666388511658,0.8751218914985657,0.06815511733293533,0.01009046658873558,0.9846153855323792
kenn_bottom_up_adapter_bert_ms,2,1x74do88,0.5980707406997681,0.8902313709259033,0.9152215123176576,0.8993421196937561,0.2013888955116272,0.5800000000000001,0.01009046658873558,0.01009046658873558,0.9756410121917723,0.8636428713798523,0.02000695839524269,0.8915217518806458,0.9769231081008912,0.9666666984558104,0.928480625152588,0.8954148888587952,0.9162607192993164,0.020999038591980938,0.5451388955116272,0.9666666984558104,0.8636428713798523,0.8902313709259033,0.9666666984558104,0.8954148888587952,0.9141846895217896,26,0.9666666388511658,0.9162607192993164,0.2013888955116272,0.2013888955116272,0.9789473414421082,0.8993421196937561,0.9666666388511658,0.9152215123176576,0.9141846895217896,0.8767355680465698,0.8888888955116272,0.6994567513465881,0.8915217518806458,0.884615421295166,0.375,0.3333333432674408,0.3333333432674408,0.4305555522441864,0.022094640880823135,0.9343065619468688,0.9666666388511658,0.8767355680465698,0.3333333432674408,0.01009046658873558,0.9846153855323792
kenn_hybrid_adapter_bert_ms,1,9hy562jf,0.2530612349510193,0.8872247934341431,0.8899933695793152,0.8993421196937561,0.05105633661150932,0.94,0.01009046658873558,0.01009046658873558,0.9756410121917723,0.8636428713798523,0.01896311715245247,0.8162818551063538,0.9769231081008912,0.9666666984558104,0.9024119973182678,0.8558013439178467,0.8670494556427002,0.02040945552289486,0.4699726104736328,0.9666666984558104,0.8636428713798523,0.8872247934341431,0.9666666984558104,0.8558013439178467,0.9141846895217896,21,0.9666666388511658,0.8670494556427002,0.05105633661150932,0.05105633661150932,0.9789473414421082,0.8993421196937561,0.9666666388511658,0.8899933695793152,0.9141846895217896,0.8752750754356384,0.8888888955116272,0.6343666911125183,0.8162818551063538,0.8384615182876587,0.375,0.0969899594783783,0.0969899594783783,0.14531250298023224,0.022094640880823135,0.9343065619468688,0.9666666388511658,0.8752750754356384,0.0969899594783783,0.01009046658873558,0.9846153855323792
kenn_top_down_adapter_bert_ms,1,30oy4u6d,0.2818181812763214,0.8873801231384277,0.8951221108436584,0.8993421196937561,0.05882352963089943,0.92,0.01009046658873558,0.01009046658873558,0.9756410121917723,0.8636428713798523,0.01983298547565937,0.8286522626876831,0.9769231081008912,0.9666666984558104,0.9242259860038756,0.8625512719154358,0.8768383264541626,0.020902814343571663,0.47385621070861816,0.9666666984558104,0.8636428713798523,0.8873801231384277,0.9666666984558104,0.8625512719154358,0.9141846895217896,26,0.9666666388511658,0.8768383264541626,0.05882352963089943,0.05882352963089943,0.9789473414421082,0.8993421196937561,0.9666666388511658,0.8951221108436584,0.9141846895217896,0.8753505945205688,0.8888888955116272,0.6378950476646423,0.8286522626876831,0.8769230842590332,0.375,0.11089866608381271,0.11089866608381271,0.16460177302360535,0.022094640880823135,0.9343065619468688,0.9666666388511658,0.8753505945205688,0.11089866608381271,0.01009046658873558,0.9846153855323792
kenn_bottom_up_adapter_bert_ms,1,1n194fhy,0.4087912142276764,0.8882175087928772,0.9077726006507874,0.8993421196937561,0.1006944477558136,0.79,0.01009046658873558,0.01009046658873558,0.9756410121917723,0.8636428713798523,0.01896311715245247,0.8644603490829468,0.9769231081008912,0.9666666984558104,0.9024119973182678,0.8815562725067139,0.9014497995376588,0.02040945552289486,0.4947916865348816,0.9666666984558104,0.8636428713798523,0.8882175087928772,0.9666666984558104,0.8815562725067139,0.9141846895217896,21,0.9666666388511658,0.9014497995376588,0.1006944477558136,0.1006944477558136,0.9789473414421082,0.8993421196937561,0.9666666388511658,0.9077726006507874,0.9141846895217896,0.8757578134536743,0.8888888955116272,0.6565945148468018,0.8644603490829468,0.8384615182876587,0.375,0.18238992989063263,0.18238992989063263,0.25833332538604736,0.022094640880823135,0.9343065619468688,0.9666666388511658,0.8757578134536743,0.18238992989063263,0.01009046658873558,0.9846153855323792
kenn_hybrid_adapter_bert_ms,0,1u49ua1y,0.1247401162981987,0.8866111636161804,0.8333545923233032,0.8986842036247253,0.02037617564201355,0.99,0.009046625345945358,0.009046625345945358,0.9256410598754884,0.8616428375244141,0.020876826718449593,0.7149336934089661,0.9538461565971376,0.8666667342185974,0.9382094144821168,0.7963466644287109,0.7659012079238892,0.02121906727552414,0.4546325206756592,0.8666667342185974,0.8616428375244141,0.8866111636161804,0.8666667342185974,0.7963466644287109,0.9138367176055908,20,0.8666666746139526,0.7659012079238892,0.02037617564201355,0.02037617564201355,0.9473684430122375,0.8986842036247253,0.8666666746139526,0.8333545923233032,0.9138367176055908,0.8739486932754517,0.8888888955116272,0.6097726225852966,0.7149336934089661,0.9230769872665404,0.375,0.0398162342607975,0.0398162342607975,0.06676557660102844,0.021572720259428024,0.9343065619468688,0.8666666746139526,0.8739486932754517,0.0398162342607975,0.009046625345945358,0.9846153855323792
