name,epoch/mean,test_pretraining/micro/f1/mean,test/micro/precision/mean,test/macro_example/precision/mean,test_incremental_only/micro/f1/mean,test_pretraining/macro_types/f1/mean,test_incremental/macro_example_exclusive/precision/mean,test_incremental_only/macro_example_exclusive/precision/mean,test_pretraining/macro_example/precision/mean,test/macro_types/f1/mean,threshold_incremental/mean,threshold_pretraining/mean,test_incremental_only/macro_example/precision/mean,test_incremental_only/micro/precision/mean,test_incremental/macro_example/recall/mean,test_pretraining/macro_types/recall/mean,test_incremental_only/macro_types/f1/mean,test_incremental_living_thing/macro_types/f1/mean,test/micro/f1/mean,test/macro_example/f1/mean,test_incremental/micro/recall/mean,test/macro_types/precision/mean,test_pretraining/micro/recall/mean,test_incremental/micro/precision/mean,test_pretraining/macro_types/precision/mean,test_incremental_only/macro_types/precision/mean,test_incremental_living_thing/macro_types/precision/mean,test_incremental/macro_example/f1/mean,test_incremental/macro_example/precision/mean,test_incremental/macro_example_exclusive/recall/mean,test_incremental_living_thing/macro_types/recall/mean,test_pretraining/micro/precision/mean,test_incremental/macro_example_exclusive/f1/mean,test_incremental_only/micro/recall/mean,test_incremental/macro_types/precision/mean,test_incremental_only/macro_example/f1/mean,test_incremental_living_thing-animal/macro_types/f1/mean,test_incremental_only/macro_example_exclusive/recall/mean,test/macro_example/recall/mean,test_pretraining/macro_example/f1/mean,test_incremental/macro_types/recall/mean,test_incremental_only/macro_example/recall/mean,test_pretraining/macro_example/recall/mean,test_incremental_only/macro_types/recall/mean,test/macro_types/recall/mean,test_incremental/micro/f1/mean,test_incremental_only/macro_example_exclusive/f1/mean,test_incremental_living_thing-animal/macro_types/precision/mean,test/micro/recall/mean,test_incremental/macro_types/f1/mean,test_incremental_living_thing-animal/macro_types/recall/mean,epoch/std,test_pretraining/micro/f1/std,test/micro/precision/std,test/macro_example/precision/std,test_incremental_only/micro/f1/std,test_pretraining/macro_types/f1/std,test_incremental/macro_example_exclusive/precision/std,test_incremental_only/macro_example_exclusive/precision/std,test_pretraining/macro_example/precision/std,test/macro_types/f1/std,threshold_incremental/std,threshold_pretraining/std,test_incremental_only/macro_example/precision/std,test_incremental_only/micro/precision/std,test_incremental/macro_example/recall/std,test_pretraining/macro_types/recall/std,test_incremental_only/macro_types/f1/std,test_incremental_living_thing/macro_types/f1/std,test/micro/f1/std,test/macro_example/f1/std,test_incremental/micro/recall/std,test/macro_types/precision/std,test_pretraining/micro/recall/std,test_incremental/micro/precision/std,test_pretraining/macro_types/precision/std,test_incremental_only/macro_types/precision/std,test_incremental_living_thing/macro_types/precision/std,test_incremental/macro_example/f1/std,test_incremental/macro_example/precision/std,test_incremental/macro_example_exclusive/recall/std,test_incremental_living_thing/macro_types/recall/std,test_pretraining/micro/precision/std,test_incremental/macro_example_exclusive/f1/std,test_incremental_only/micro/recall/std,test_incremental/macro_types/precision/std,test_incremental_only/macro_example/f1/std,test_incremental_living_thing-animal/macro_types/f1/std,test_incremental_only/macro_example_exclusive/recall/std,test/macro_example/recall/std,test_pretraining/macro_example/f1/std,test_incremental/macro_types/recall/std,test_incremental_only/macro_example/recall/std,test_pretraining/macro_example/recall/std,test_incremental_only/macro_types/recall/std,test/macro_types/recall/std,test_incremental/micro/f1/std,test_incremental_only/macro_example_exclusive/f1/std,test_incremental_living_thing-animal/macro_types/precision/std,test/micro/recall/std,test_incremental/macro_types/f1/std,test_incremental_living_thing-animal/macro_types/recall/std
no_init_box_adapter_bert_ms,27.666666666666668,0.8898568153381348,0.8987475633621216,0.9209618965784708,0.6262088815371195,0.8493131597836813,0.72820512453715,0.9666666984558104,0.9209618965784708,0.8493131597836813,0.10666666666666667,0.25,0.01009046658873558,0.4632682104905446,0.021920667961239815,0.819227397441864,0.6262088815371195,0.9692307710647584,0.8898568153381348,0.913515051205953,0.9684210419654846,0.8816929658253988,0.8811403512954712,0.7208141088485718,0.8816929658253988,0.4632682104905446,0.9692307710647584,0.01880658542116483,0.01646949661274751,0.9692307710647584,0.9692307710647584,0.8987475633621216,0.8315404454867045,0.9666666388511658,0.7162495056788126,0.01009046658873558,0.6262088815371195,0.9666666984558104,0.9061876535415648,0.913515051205953,0.9679486751556396,0.01009046658873558,0.9061876535415648,0.9666666388511658,0.819227397441864,0.8264178435007731,0.9666666984558104,0.4632682104905446,0.8811403512954712,0.8232681751251221,0.9666666388511658,6.506407098647712,0.00024801207629937517,0.0005059716542482568,0.0002755892433323791,0.0171025527731296,0.00017411777076781806,0.016012809653888207,0.0,0.0002755892433323791,0.00017411777076781806,0.04041451884327381,0.0,0.0,0.018764552565850422,0.0,0.0,0.0171025527731296,0.0,0.00024801207629937517,0.0001356028112987576,0.0,0.0003752820160547541,0.0,0.014266272939949004,0.0003752820160547541,0.018764552565850422,0.0,0.0002352141900582717,0.0003621545554412975,0.0,0.0,0.0005059716542482568,0.010400066270932769,0.0,0.009382276282925208,0.0,0.0171025527731296,0.0,0.0,0.0001356028112987576,0.0,0.0,0.0,0.0,0.0,0.00936144843380975,0.0,0.018764552565850422,0.0,0.006190369524528551,0.0
no_init_box_kenn_bottom_up_adapter_bert_ms,30.333333333333332,0.8898569941520691,0.8987481792767843,0.9209039012591044,0.6272086898485819,0.849328358968099,0.728205144405365,0.9666666984558104,0.9209039012591044,0.849328358968099,0.03,0.25,0.01009046658873558,0.46491092443466187,0.021920667961239815,0.819227397441864,0.6272086898485819,0.9692307710647584,0.8898569941520691,0.9134865005811056,0.9684210419654846,0.8817258278528849,0.8811403512954712,0.7214154402414957,0.8817258278528849,0.46491092443466187,0.9692307710647584,0.018803197269638378,0.016469497854510944,0.9692307710647584,0.9692307710647584,0.8987481792767843,0.8313905994097391,0.9666666388511658,0.7170708576838175,0.01009046658873558,0.6272086898485819,0.9666666984558104,0.9061876535415648,0.9134865005811056,0.9679486751556396,0.01009046658873558,0.9061876535415648,0.9666666388511658,0.819227397441864,0.8266424934069315,0.9666666984558104,0.46491092443466187,0.8811403512954712,0.8237330913543701,0.9666666388511658,8.144527815247079,0.0005057786647921506,0.0010320621718852942,0.000494066335342796,0.03547875007236341,0.00036475380424311465,0.02912262878123648,0.0,0.000494066335342796,0.00036475380424311465,0.03464101615137754,0.0,0.0,0.039316094650791854,0.0,0.0,0.03547875007236341,0.0,0.0005057786647921506,0.00024305758539619007,0.0,0.0007863231731510034,0.0,0.029441625558971438,0.0007863231731510034,0.039316094650791854,0.0,0.00042569597086758936,0.00065865404124695,0.0,0.0,0.0010320621718852942,0.018822308705117193,0.0,0.01965806394913046,0.0,0.03547875007236341,0.0,0.0,0.00024305758539619007,0.0,0.0,0.0,0.0,0.0,0.019214874415021798,0.0,0.039316094650791854,0.0,0.012913685258015737,0.0
no_init_box_kenn_horizontal_adapter_bert_ms,44.666666666666664,0.8905976812044779,0.9004154006640116,0.9217157959938049,0.6859833200772604,0.8498576879501343,0.7820512851079305,0.944444497426351,0.9217157959938049,0.8498576879501343,0.22666666666666668,0.25,0.009858501764635244,0.548050194978714,0.02180468539396922,0.8187829454739889,0.6859833200772604,0.9692307710647584,0.8905976812044779,0.9138461152712504,0.961403508981069,0.8833885987599691,0.8809941609700521,0.7753567099571228,0.8833885987599691,0.548050194978714,0.9692307710647584,0.01948950191338857,0.01768731139600277,0.964102586110433,0.9692307710647584,0.9004154006640116,0.8617358803749084,0.9444444179534912,0.7586404879887899,0.009858501764635244,0.6859833200772604,0.944444497426351,0.9061103264490763,0.9138461152712504,0.9568375746409098,0.009858501764635244,0.9061103264490763,0.9444444179534912,0.8187829454739889,0.8566058079401652,0.944444497426351,0.548050194978714,0.8809941609700521,0.8448335727055868,0.9444444179534912,7.505553499465135,0.001017958915367746,0.002343025228156019,0.0012439005135291127,0.0848454988746928,0.0007538839651449739,0.08296764092437584,0.03848998123903344,0.0012439005135291127,0.0007538839651449739,0.3061590000854676,0.0,0.0004017748609105583,0.1259013786231603,0.00020088769930494936,0.0007698133898837684,0.0848454988746928,0.0,0.001017958915367746,0.0005443067322311917,0.012154723672798446,0.0025180225479874414,0.00025320907120093914,0.0788236174461964,0.0025180225479874414,0.1259013786231603,0.0,0.0010330400530531535,0.0018764429716466248,0.008882276891501851,0.0,0.002343025228156019,0.04567624497701523,0.03849001565179121,0.06295068411974068,0.0004017748609105583,0.0848454988746928,0.03848998123903344,0.00013393445299171643,0.0005443067322311917,0.019244990619516733,0.0004017748609105583,0.00013393445299171643,0.03849001565179121,0.0007698133898837684,0.042175807908874555,0.03848998123903344,0.1259013786231603,0.00025320907120093914,0.030572522252134474,0.03849001565179121
no_init_box_kenn_hybrid_adapter_bert_ms,46.0,0.8901197711626688,0.8992843627929688,0.9211358626683553,0.6454279621442159,0.8495145042737325,0.7435897588729858,0.9666666984558104,0.9211358626683553,0.8495145042737325,0.08333333333333333,0.25,0.01009046658873558,0.4849752684434255,0.021920667961239815,0.819227397441864,0.6454279621442159,0.9692307710647584,0.8901197711626688,0.9136005838712057,0.9684210419654846,0.8821271061897278,0.8811403512954712,0.7365860541661581,0.8821271061897278,0.4849752684434255,0.9692307710647584,0.019029442841808002,0.016817444935441017,0.9692307710647584,0.9692307710647584,0.8992843627929688,0.8413941065470377,0.9666666388511658,0.727103034655253,0.01009046658873558,0.6454279621442159,0.9666666984558104,0.9061876535415648,0.9136005838712057,0.9679486751556396,0.01009046658873558,0.9061876535415648,0.9666666388511658,0.819227397441864,0.8365802764892578,0.9666666984558104,0.4849752684434255,0.8811403512954712,0.8303411404291788,0.9666666388511658,11.789826122551595,0.0004297130975931839,0.0008768813824597789,0.00038938747467519026,0.030462132536353107,0.0003145417374825415,0.024727335982923326,0.0,0.00038938747467519026,0.0003145417374825415,0.06429100507328636,0.0,0.0,0.03390521696459115,0.0,0.0,0.030462132536353107,0.0,0.0004297130975931839,0.00019154753941389455,0.0,0.0006780910329776944,0.0,0.025209771683507198,0.0006780910329776944,0.03390521696459115,0.0,0.0003608915001765155,0.0005592474934134245,0.0,0.0,0.0008768813824597789,0.015956946567729918,0.0,0.016952610409915827,0.0,0.030462132536353107,0.0,0.0,0.00019154753941389455,0.0,0.0,0.0,0.0,0.0,0.016399132424616044,0.0,0.03390521696459115,0.0,0.011116432859578002,0.0
no_init_box_kenn_top_down_adapter_bert_ms,43.0,0.8897340297698975,0.898422102133433,0.9207589427630106,0.6224152247111002,0.8493848641713461,0.7358974615732828,0.9777777989705404,0.9207589427630106,0.8493848641713461,0.11333333333333333,0.25,0.010206448845565319,0.4581649402777354,0.021978658934434254,0.8194496234258016,0.6224152247111002,0.9692307710647584,0.8897340297698975,0.9134347240130106,0.9719298084576925,0.8815909028053284,0.8812134464581808,0.7139710386594137,0.8815909028053284,0.4581649402777354,0.9692307710647584,0.018939278398950894,0.016643470774094265,0.9717948834101361,0.9692307710647584,0.898422102133433,0.8374075293540955,0.9777777592341105,0.7136978705724081,0.010206448845565319,0.6224152247111002,0.9777777989705404,0.9062263170878092,0.9134347240130106,0.9735042452812195,0.010206448845565319,0.9062263170878092,0.9777777592341105,0.8194496234258016,0.8226367036501566,0.9777777989705404,0.4581649402777354,0.8812134464581808,0.8233237862586975,0.9777777592341105,13.892443989449804,0.0007306550793316274,0.0016106874105925894,0.0007722455441555114,0.0448846695103594,0.00031285211508162817,0.02220579546702762,0.0192449906195168,0.0007722455441555114,0.00031285211508162817,0.13051181300301262,0.0,0.00020088716160560972,0.051716884329907,0.00010044331195313502,0.0003849066949418842,0.0448846695103594,0.0,0.0007306550793316274,0.0003477824137836884,0.006077361836399223,0.0010343354035472097,0.00012660453560046957,0.04271775915436999,0.0010343354035472097,0.051716884329907,0.0,0.0003055373246223817,0.0005022197859617115,0.0044411728585085995,0.0,0.0016106874105925894,0.013509400465247963,0.019245025032274446,0.025858457056431403,0.00020088716160560972,0.0448846695103594,0.0192449906195168,6.696722649605051e-05,0.0003477824137836884,0.009622529722516081,0.00020088716160560972,6.696722649605051e-05,0.019245025032274446,0.0003849066949418842,0.026613737159375008,0.0192449906195168,0.051716884329907,0.00012660453560046957,0.014319861402903677,0.019245025032274446
no_init_kenn_bottom_up_adapter_bert_ms,22.333333333333332,0.9042812983194987,0.909126897652944,0.925896942615509,0.6973912914594015,0.8802637060483297,0.8256410559018453,0.9888888994852701,0.925896942615509,0.8802637060483297,0.43333333333333335,0.375,0.010322431102395058,0.5427718063195547,0.02221062406897545,0.8640873233477274,0.6973912914594015,0.9343065619468688,0.9042812983194987,0.9200425346692404,0.9859649141629537,0.8970590829849243,0.8994883100191752,0.7361618479092916,0.8970590829849243,0.5427718063195547,0.8888888955116272,0.020274198924501736,0.018673161665598553,0.9820513327916465,0.9846153855323792,0.909126897652944,0.8964315056800842,0.9888888796170553,0.7158303260803223,0.010322431102395058,0.6973912914594015,0.9888888994852701,0.9142620166142782,0.9200425346692404,0.9867521127065023,0.010322431102395058,0.9142620166142782,0.9888888796170553,0.8640873233477274,0.8421709934870402,0.9888888994852701,0.5427718063195547,0.8994883100191752,0.8290550510088602,0.9888888796170553,3.214550253664318,0.0008002413687918456,0.0017470761438925682,0.0008514749863112432,0.06616572482730901,0.0006520425925773107,0.051217913010776064,0.01924499061951678,0.0008514749863112432,0.0006520425925773107,0.18175074506954117,0.0,0.00020088716160560972,0.08841964587257863,0.00010044438735181359,0.0003849066949418842,0.06616572482730901,0.0,0.0008002413687918456,0.0003888382557175567,0.006077396249156824,0.0017684091681988096,0.00012660453560046957,0.051121291860777955,0.0017684091681988096,0.08841964587257863,0.0,0.000629978851360513,0.0011583726055203105,0.0044411728585085995,0.0,0.0017470761438925682,0.027854800355865898,0.019245025032274446,0.04420981797307668,0.00020088716160560972,0.06616572482730901,0.01924499061951678,6.696722649582616e-05,0.0003888382557175567,0.00962249530975839,0.00020088716160560972,6.696722649582616e-05,0.019245025032274446,0.0003849066949418842,0.03068707712838544,0.01924499061951678,0.08841964587257863,0.00012660453560046957,0.025758451744266428,0.019245025032274446
no_init_kenn_horizontal_adapter_bert_ms,24.0,0.9043808976809183,0.909328043460846,0.9258679548899332,0.7048307259877523,0.880344569683075,0.8358974655469259,0.9888888994852701,0.9258679548899332,0.880344569683075,0.4033333333333333,0.375,0.010322431102395058,0.5511630376180013,0.02221062406897545,0.8640873233477274,0.7048307259877523,0.9343065619468688,0.9043808976809183,0.9200282295544943,0.9859649141629537,0.8972269097963969,0.8994883100191752,0.7415718833605448,0.8972269097963969,0.5511630376180013,0.8888888955116272,0.020414220169186596,0.018905126800139744,0.9820513327916465,0.9846153855323792,0.909328043460846,0.9026226003964742,0.9888888796170553,0.7200259764989217,0.010322431102395058,0.7048307259877523,0.9888888994852701,0.9142620166142782,0.9200282295544943,0.9867521127065023,0.010322431102395058,0.9142620166142782,0.9888888796170553,0.8640873233477274,0.8458251357078552,0.9888888994852701,0.5511630376180013,0.8994883100191752,0.8319557110468546,0.9888888796170553,3.4641016151377544,0.0007233694571900752,0.0015901703282787916,0.0008208103353531788,0.06038015162464366,0.0005902285385609363,0.043740322722772236,0.01924499061951678,0.0008208103353531788,0.0005902285385609363,0.1644181660685136,0.0,0.00020088716160560972,0.08177923003482328,0.00010044438735181359,0.0003849066949418842,0.06038015162464366,0.0,0.0007233694571900752,0.0003712475399519266,0.006077396249156824,0.001635596097224118,0.00012660453560046957,0.04687393436562375,0.001635596097224118,0.08177923003482328,0.0,0.0005301975971081597,0.0009892547355128964,0.0044411728585085995,0.0,0.0015901703282787916,0.02344294991417629,0.019245025032274446,0.04088958102341145,0.00020088716160560972,0.06038015162464366,0.01924499061951678,6.696722649582616e-05,0.0003712475399519266,0.00962249530975839,0.00020088716160560972,6.696722649582616e-05,0.019245025032274446,0.0003849066949418842,0.027856409613609006,0.01924499061951678,0.08177923003482328,0.00012660453560046957,0.023506885710785227,0.019245025032274446
no_init_kenn_hybrid_adapter_bert_ms,20.333333333333332,0.9037503798802694,0.9080552260080973,0.9254233837127686,0.659245510896047,0.8798494338989258,0.7897436022758484,0.9888888994852701,0.9254233837127686,0.8798494338989258,0.5433333333333333,0.375,0.010322431102395058,0.49979140361150104,0.02221062406897545,0.8640873233477274,0.659245510896047,0.9343065619468688,0.9037503798802694,0.9198086261749268,0.9859649141629537,0.8961994647979736,0.8994883100191752,0.708123246828715,0.8961994647979736,0.49979140361150104,0.8888888955116272,0.01977229987581571,0.01786128617823124,0.9820513327916465,0.9846153855323792,0.9080552260080973,0.8742398222287496,0.9888888796170553,0.6943401495615641,0.010322431102395058,0.659245510896047,0.9888888994852701,0.9142620166142782,0.9198086261749268,0.9867521127065023,0.010322431102395058,0.9142620166142782,0.9888888796170553,0.8640873233477274,0.8230529427528381,0.9888888994852701,0.49979140361150104,0.8994883100191752,0.8142225941022238,0.9888888796170553,0.5773502691896255,0.0010807326557576854,0.0023131223347258177,0.0010610411714062373,0.08140743905900862,0.000778003626217786,0.06979821689378526,0.01924499061951678,0.0010610411714062373,0.000778003626217786,0.30534133905079636,0.0,0.00020088716160560972,0.10152403600570352,0.00010044438735181359,0.0003849066949418842,0.08140743905900862,0.0,0.0010807326557576854,0.0004902365612109088,0.006077396249156824,0.002030490355686228,0.00012660453560046957,0.06355705985828616,0.002030490355686228,0.10152403600570352,0.0,0.0009106885283101632,0.0015785958617971357,0.0044411728585085995,0.0,0.0023131223347258177,0.04026645788138222,0.019245025032274446,0.05076201800285175,0.00020088716160560972,0.08140743905900862,0.01924499061951678,6.696722649582616e-05,0.0004902365612109088,0.00962249530975839,0.00020088716160560972,6.696722649582616e-05,0.019245025032274446,0.0003849066949418842,0.03992895070251088,0.01924499061951678,0.10152403600570352,0.00012660453560046957,0.030944571158895314,0.019245025032274446
no_init_kenn_top_down_adapter_bert_ms,22.0,0.9043806791305542,0.9093272487322489,0.9259549578030905,0.7030740777651469,0.8803103168805441,0.8307692209879557,0.9888888994852701,0.9259549578030905,0.8803103168805441,0.64,0.375,0.010322431102395058,0.5475790699323019,0.02221062406897545,0.8640873233477274,0.7030740777651469,0.9343065619468688,0.9043806791305542,0.9200712641080221,0.9859649141629537,0.897155225276947,0.8994883100191752,0.7407156030337015,0.897155225276947,0.5475790699323019,0.8888888955116272,0.02035039911667506,0.018789144232869148,0.9820513327916465,0.9846153855323792,0.9093272487322489,0.8998007376988729,0.9888888796170553,0.7182339827219645,0.010322431102395058,0.7030740777651469,0.9888888994852701,0.9142620166142782,0.9200712641080221,0.9867521127065023,0.010322431102395058,0.9142620166142782,0.9888888796170553,0.8640873233477274,0.8455242911974589,0.9888888994852701,0.5475790699323019,0.8994883100191752,0.8309897184371948,0.9888888796170553,3.4641016151377544,0.0005371935497784384,0.0012156914052788856,0.0006328625219638188,0.043619297155829635,0.00038121353769377686,0.03352998303772859,0.01924499061951678,0.0006328625219638188,0.00038121353769377686,0.17435595774162696,0.0,0.00020088716160560972,0.060298239296720214,0.00010044438735181359,0.0003849066949418842,0.043619297155829635,0.0,0.0005371935497784384,0.0002807650604404468,0.006077396249156824,0.001205966831710731,0.00012660453560046957,0.03543887788647095,0.001205966831710731,0.060298239296720214,0.0,0.00039782769403176496,0.0007583335802772899,0.0044411728585085995,0.0,0.0012156914052788856,0.01759009175659414,0.019245025032274446,0.030149121814856888,0.00020088716160560972,0.043619297155829635,0.01924499061951678,6.696722649582616e-05,0.0002807650604404468,0.00962249530975839,0.00020088716160560972,6.696722649582616e-05,0.019245025032274446,0.0003849066949418842,0.020551499454283233,0.01924499061951678,0.060298239296720214,0.00012660453560046957,0.01649268014979647,0.019245025032274446
smart_init_box_adapter_bert_ms,14.333333333333334,0.8878751198450724,0.8946579297383627,0.9183812936147054,0.5460864901542664,0.8487454851468405,0.7358974615732828,0.9777777989705404,0.9183812936147054,0.8487454851468405,0.3066666666666667,0.25,0.01020644853512446,0.38952380915482837,0.021978658934434254,0.8194496234258016,0.5460864901542664,0.9692307710647584,0.8878751198450724,0.9122596383094788,0.9719298084576925,0.8802180687586466,0.8812134464581808,0.6434762378533682,0.8802180687586466,0.38952380915482837,0.9692307710647584,0.018937803183992703,0.016643470774094265,0.9717948834101361,0.9692307710647584,0.8946579297383627,0.8373422622680664,0.9777777791023254,0.6793772975603739,0.01020644853512446,0.5460864901542664,0.9777777989705404,0.9062263170878092,0.9122596383094788,0.9735042651494344,0.01020644853512446,0.9062263170878092,0.9777777791023254,0.8194496234258016,0.7679732839266459,0.9777777989705404,0.38952380915482837,0.8812134464581808,0.7985747655232748,0.9777777791023254,7.571877794400365,0.0034084500893165116,0.0070700361498870455,0.004430276334316564,0.1400453768763012,0.000998951160730763,0.02220579546702762,0.038489981239033466,0.004430276334316564,0.000998951160730763,0.48809152147249324,0.0,0.0004017748609105587,0.1343262386256627,0.00020088662390627005,0.0007698133898837444,0.1400453768763012,0.0,0.0034084500893165116,0.00214916925400446,0.012154723672798398,0.002686511254600671,0.0002532090712009151,0.13705996332308318,0.002686511254600671,0.1343262386256627,0.0,0.0002465770875517686,0.0005022197859617115,0.008882345717017223,0.0,0.0070700361498870455,0.01090247783263393,0.03849001565179118,0.06716311733189226,0.0004017748609105587,0.1400453768763012,0.038489981239033466,0.00013393445299194077,0.00214916925400446,0.01924502503227447,0.0004017748609105587,0.00013393445299194077,0.03849001565179118,0.0007698133898837444,0.10131649275075393,0.038489981239033466,0.1343262386256627,0.0002532090712009151,0.04315872134756901,0.03849001565179118
