name,test/macro_example/f1/mean,test_pretraining/micro/f1/mean,test_incremental_medicine-drug/macro_types/f1/mean,test_incremental_only/micro/precision/mean,test/macro_types/recall/mean,test_incremental/micro/recall/mean,test_pretraining/macro_types/precision/mean,test_pretraining/macro_example/precision/mean,test_incremental_medicine-symptom/macro_types/f1/mean,test_incremental_only/macro_example_exclusive/f1/mean,test/macro_types/f1/mean,test_incremental_medicine/macro_types/f1/mean,test_incremental_medicine-drug/macro_types/recall/mean,test_incremental_only/micro/f1/mean,test_incremental/micro/precision/mean,test_incremental_only/macro_example_exclusive/precision/mean,threshold_pretraining/mean,test_incremental_medicine-medical_treatment/macro_types/precision/mean,test/micro/precision/mean,test_incremental/macro_types/f1/mean,test_incremental_only/micro/recall/mean,test_incremental/macro_example/recall/mean,test_incremental_only/macro_example_exclusive/recall/mean,test_pretraining/macro_types/f1/mean,test_pretraining/micro/precision/mean,test_incremental_only/macro_types/precision/mean,test_incremental/macro_example_exclusive/precision/mean,test_incremental_only/macro_example/precision/mean,epoch/mean,test_incremental/macro_example/precision/mean,test_incremental/macro_example_exclusive/recall/mean,test_incremental_medicine-drug/macro_types/precision/mean,test_incremental_medicine-symptom/macro_types/recall/mean,test_incremental_medicine-medical_treatment/macro_types/f1/mean,threshold_incremental/mean,test_incremental_only/macro_types/recall/mean,test_incremental_only/macro_types/f1/mean,test_incremental/macro_types/precision/mean,test/macro_example/precision/mean,test_pretraining/micro/recall/mean,test_pretraining/macro_types/recall/mean,test_incremental_only/macro_example/f1/mean,test_incremental/macro_example_exclusive/f1/mean,test_pretraining/macro_example/recall/mean,test/macro_example/recall/mean,test_incremental_medicine/macro_types/recall/mean,test/micro/recall/mean,test_incremental/micro/f1/mean,test_incremental_only/macro_example/recall/mean,test_incremental_medicine/macro_types/precision/mean,test/macro_types/precision/mean,test_incremental/macro_example/f1/mean,test_pretraining/macro_example/f1/mean,test/micro/f1/mean,test_incremental_medicine-medical_treatment/macro_types/recall/mean,test_incremental/macro_types/recall/mean,test_incremental_medicine-symptom/macro_types/precision/mean,test/macro_example/f1/std,test_pretraining/micro/f1/std,test_incremental_medicine-drug/macro_types/f1/std,test_incremental_only/micro/precision/std,test/macro_types/recall/std,test_incremental/micro/recall/std,test_pretraining/macro_types/precision/std,test_pretraining/macro_example/precision/std,test_incremental_medicine-symptom/macro_types/f1/std,test_incremental_only/macro_example_exclusive/f1/std,test/macro_types/f1/std,test_incremental_medicine/macro_types/f1/std,test_incremental_medicine-drug/macro_types/recall/std,test_incremental_only/micro/f1/std,test_incremental/micro/precision/std,test_incremental_only/macro_example_exclusive/precision/std,threshold_pretraining/std,test_incremental_medicine-medical_treatment/macro_types/precision/std,test/micro/precision/std,test_incremental/macro_types/f1/std,test_incremental_only/micro/recall/std,test_incremental/macro_example/recall/std,test_incremental_only/macro_example_exclusive/recall/std,test_pretraining/macro_types/f1/std,test_pretraining/micro/precision/std,test_incremental_only/macro_types/precision/std,test_incremental/macro_example_exclusive/precision/std,test_incremental_only/macro_example/precision/std,epoch/std,test_incremental/macro_example/precision/std,test_incremental/macro_example_exclusive/recall/std,test_incremental_medicine-drug/macro_types/precision/std,test_incremental_medicine-symptom/macro_types/recall/std,test_incremental_medicine-medical_treatment/macro_types/f1/std,threshold_incremental/std,test_incremental_only/macro_types/recall/std,test_incremental_only/macro_types/f1/std,test_incremental/macro_types/precision/std,test/macro_example/precision/std,test_pretraining/micro/recall/std,test_pretraining/macro_types/recall/std,test_incremental_only/macro_example/f1/std,test_incremental/macro_example_exclusive/f1/std,test_pretraining/macro_example/recall/std,test/macro_example/recall/std,test_incremental_medicine/macro_types/recall/std,test/micro/recall/std,test_incremental/micro/f1/std,test_incremental_only/macro_example/recall/std,test_incremental_medicine/macro_types/precision/std,test/macro_types/precision/std,test_incremental/macro_example/f1/std,test_pretraining/macro_example/f1/std,test/micro/f1/std,test_incremental_medicine-medical_treatment/macro_types/recall/std,test_incremental/macro_types/recall/std,test_incremental_medicine-symptom/macro_types/precision/std
no_init_box_kenn_bottom_up_adapter_bert_ms,0.9097746213277181,0.8836186329523722,0.38753388325373334,0.6064266363779703,0.7864633599917094,0.5329768260320028,0.8682434757550558,0.9223730166753134,0.5461248656113943,0.3189279834429423,0.8253293633460999,0.9044586420059204,0.2888889014720917,0.3667774498462677,0.7947529753049215,0.3628692030906677,0.25,0.3095238010088603,0.901699980099996,0.5171791712443033,0.26543209453423816,0.015116369351744652,0.2848101357618968,0.8253293633460999,0.901699980099996,0.5090929965178171,0.8797468145688375,0.009974483711024126,47.333333333333336,0.02418232522904873,0.549929698308309,0.6401515205701193,0.522222230831782,0.13978495200475058,0.02,0.3004629810651143,0.37714553872744244,0.6093838214874268,0.9223730166753134,0.8662498195966085,0.7864633599917094,0.008766635321080685,0.6767344077428182,0.8975160916646322,0.8975160916646322,0.8987341523170471,0.8662498195966085,0.6373470822970072,0.007828809941808382,0.9102563858032228,0.8682434757550558,0.018601955225070316,0.9097746213277181,0.8836186329523722,0.09027778108914693,0.45003077387809753,0.5776036183039347,0.00019261549063138717,0.00017289110231717242,0.052897613282260066,0.03820420198043545,0.0013223223562102268,0.02527174936552147,0.005536713768507042,0.00036214724811825923,0.07641510382291469,0.04112695366069964,0.003209622682108276,0.0,0.019245007825895603,0.03509009714596128,0.029762137635440337,0.059820450433048254,0.0,0.5361109494991849,0.001130104999145295,0.036767644607846615,0.043757548610905896,0.0005388297860406013,0.029003654834689637,0.003209622682108276,0.001130104999145295,0.09597001098998896,0.010962338824704076,0.0016443336974263092,2.3094010767585034,0.00030132993585940584,0.019602458410436167,0.23408355584376994,0.1071516795516563,0.24211463900580496,0.017320508075688773,0.022920181733204738,0.04379036908906515,0.07197751542479981,0.00036214724811825923,0.0010189394923187918,0.0013223223562102268,0.001130489619126121,0.01796620167246882,0.0006430054663137823,0.0006430054663137823,0.0,0.0010189394923187918,0.009398904382087432,0.000797246918100495,0.0,0.005536713768507042,0.0004938515602979163,0.00019261549063138717,0.00017289110231717242,0.15636570364098326,0.017190121401022454,0.038791643981515925
no_init_box_kenn_horizontal_adapter_bert_ms,0.7574933966000875,0.7434815069039663,0.277403795470794,0.4157672527556618,0.7970402638117472,0.6506238778432211,0.8600286444028219,0.7159746487935384,0.25133150195082027,0.3634883215030034,0.8269452055295309,0.9044586420059204,0.5333333412806193,0.2121022908637921,0.5530897857000431,0.3375527610381444,0.25,0.30556714596847695,0.7065873046716055,0.4501619239648183,0.4691358009974162,0.018054588387409847,0.46624472737312317,0.8269452055295309,0.7065873046716055,0.36670261683563393,0.7855133612950643,0.009278589859604836,41.0,0.021592050790786743,0.6568214098612467,0.4299500687047839,0.5222222258647283,0.11439967527985573,0.03,0.4837963084379832,0.21960444003343582,0.5025910486777624,0.7159746487935384,0.8709932565689087,0.7970402638117472,0.009991501923650503,0.6708541512489319,0.9003035227457682,0.9003035227457682,0.8987341523170471,0.8709932565689087,0.42597436904907227,0.012816052107761303,0.9102563858032228,0.8600286444028219,0.01844031798342864,0.7574933966000875,0.7434815069039663,0.3958333333333333,0.5875307619571686,0.3645905756081144,0.2635842237554384,0.24223200894511573,0.22351120871548702,0.35001617110423416,0.025804825303492845,0.26600358815302755,0.0191553423331895,0.3585471649964397,0.202528311942701,0.22867891818003172,0.006561165038122268,0.0,0.4041451815501865,0.16585540130189905,0.4611730535284934,0.10913519155735218,0.0,0.5148616580321315,0.3396197141696761,0.06993924411200957,0.46058028961656655,0.00712190588294184,0.46251635512505906,0.006561165038122268,0.3396197141696761,0.3320260762173399,0.17991133745244398,0.002999888401223999,13.74772708486752,0.004945370279338187,0.2590931408927698,0.37968053811323427,0.4167777603714909,0.17048672440390808,0.03605551275463988,0.44728331293127394,0.17272131961794016,0.2490195499604645,0.3585471649964397,0.010725022229363817,0.025804825303492845,0.006285885667272086,0.04452071252403142,0.006177974102840588,0.006177974102840588,0.0,0.010725022229363817,0.3342616424124085,0.012713567109337073,0.0,0.0191553423331895,0.0012237781033510341,0.2635842237554384,0.24223200894511573,0.5315562842572115,0.3354624781280336,0.3095220925918565
no_init_box_kenn_hybrid_adapter_bert_ms,0.9101308981577555,0.8840944965680441,0.40685755014419556,0.6898040970166525,0.7855552434921265,0.5240641633669535,0.8711409370104471,0.9233202139536539,0.5612341165542603,0.30018564065297443,0.826128363609314,0.9044586420059204,0.2888889014720917,0.366135577360789,0.8375270366668701,0.3417721490065257,0.25,0.3055555621782939,0.9030807415644327,0.5211528937021891,0.25,0.014865074306726456,0.2679324944814046,0.826128363609314,0.9030807415644327,0.5593152145544688,0.8818565209706625,0.009394572116434574,47.0,0.024240316202243168,0.5407876571019491,0.7026515205701193,0.4888888994852702,0.12222222487131755,0.04,0.284722238779068,0.3755439917246501,0.6470504999160767,0.9233202139536539,0.8658904631932577,0.7855552434921265,0.008251449558883905,0.6703416705131531,0.897313137849172,0.897313137849172,0.8987341523170471,0.8658904631932577,0.6445075472195944,0.007364880448828141,0.9102563858032228,0.8711409370104471,0.018426232660810154,0.9101308981577555,0.8840944965680441,0.07638889054457347,0.4382252097129822,0.6697385708491007,0.0004326949188219646,0.0006369061069279779,0.02786234479194618,0.05383995398228239,0.0020318699491756586,0.026737958192830896,0.008724351267949841,0.00027404155310838184,0.0809060159250496,0.04656107286140717,0.004855733451211309,0.0,0.019245007825895603,0.05557080835167748,0.014582970415647309,0.06329113245010609,0.0,0.5292377582280762,0.00036845723444920586,0.05217542276857382,0.04629629850387573,0.0006146336857315202,0.0359888620469822,0.004855733451211309,0.00036845723444920586,0.15122208741062373,0.014616457501708086,0.001739735715091229,1.7320508075688772,0.00040177324781254085,0.02236023398312801,0.12960690957493742,0.10183502563212313,0.21169510329123045,0.034641016151377546,0.03521867501492036,0.06062590638458747,0.11341657460721813,0.00027404155310838184,0.0010780394078674163,0.0020318699491756586,0.0012798623532376623,0.020753785106552562,0.000632086179011021,0.000632086179011021,0.0,0.0010780394078674163,0.022596466672155403,0.000989255513493,0.0,0.008724351267949841,0.0005704761163947698,0.0004326949188219646,0.0006369061069279779,0.13230943955701904,0.026414019042456494,0.07516134941259024
no_init_box_kenn_top_down_adapter_bert_ms,0.9094905058542887,0.8834754824638367,0.45180270075798035,0.539191484451294,0.794128934542338,0.6042780876159668,0.8737873832384745,0.9201403856277466,0.6291627883911133,0.4677225947380066,0.8320414423942566,0.9044586420059204,0.41111112634340924,0.44830519954363507,0.721971352895101,0.5316455562909445,0.25,0.7268170416355133,0.8983123302459717,0.6055919726689657,0.3888888955116272,0.017107400422294933,0.4177215298016866,0.8320414423942566,0.8983123302459717,0.605186919371287,0.8924050529797872,0.01461377926170826,47.333333333333336,0.024530271689097088,0.6223628918329874,0.5274287660916647,0.7222222089767456,0.24073068425059319,0.013333333333333334,0.4333333472410838,0.4995609124501546,0.6814542810122172,0.9201403856277466,0.8691246310869852,0.794128934542338,0.012856675311923027,0.7330691417058309,0.8990856806437174,0.8990856806437174,0.8987341523170471,0.8691246310869852,0.6566357811292013,0.011482254912455877,0.9102563858032228,0.8737873832384745,0.020150473341345787,0.9094905058542887,0.8834754824638367,0.1666666635622581,0.5496835311253866,0.5613149007161459,0.000453824858256487,0.0007787317710446791,0.16694308832605925,0.07258748167009497,0.0007643783176014485,0.02139037847518921,0.008133371977946287,0.0014331293788218326,0.03327571693649963,0.04262476574625468,0.0032767238230500782,0.0,0.10715168573236923,0.01017807932572868,0.0542780727833958,0.05063292384147937,0.0,0.3856148420874018,0.0024532814787388605,0.035168290922432094,0.037037044763565063,0.0005711470867348515,0.038498494856552046,0.0032767238230500782,0.0024532814787388605,0.14097848637338764,0.010962338824704076,0.0013917889446020113,2.3094010767585034,0.00030133101125808437,0.02077817414738826,0.25231679104439375,0.10183500937362319,0.2403916649763355,0.005773502691896258,0.013249135650238076,0.03878153436977678,0.1057338327905255,0.0014331293788218326,0.0008624494077491534,0.0007643783176014485,0.0011716629341390007,0.011046301916530617,0.0005651030409718791,0.0005651030409718791,0.0,0.0008624494077491534,0.010889013397021434,0.0010582402435657355,0.0,0.008133371977946287,0.000303639818321533,0.000453824858256487,0.0007787317710446791,0.17052817702045825,0.009936886884152587,0.012592869152557695
no_init_kenn_bottom_up_adapter_bert_ms,0.8583696484565735,0.8182487289110819,0.29477012778321904,0.23586048806707063,0.8520070711771647,0.7575757702191671,0.8664950529734293,0.819222609202067,0.3642728750904401,0.663168340921402,0.8590507904688517,0.9090908765792848,0.6999999980131785,0.25768662119905156,0.34127136568228406,0.6540084679921468,0.375,0.17138841251532236,0.7688397169113159,0.5008978545665741,0.6635802487532297,0.021070131411155064,0.6814345916112264,0.8590507904688517,0.7688397169113159,0.24918536966045698,0.8298171758651733,0.01797726781417926,49.0,0.022809866815805435,0.7665260434150696,0.30413820408284664,0.8888888955116272,0.16538353761037192,0.25000000000000006,0.6962963342666626,0.2854850615064303,0.42022237181663513,0.819222609202067,0.893416702747345,0.8520070711771647,0.018229052424430847,0.7897475759188334,0.9110589226086935,0.9110589226086935,0.8860759735107422,0.893416702747345,0.3817014495531718,0.018731153570115566,0.9333333373069764,0.8664950529734293,0.02170844003558159,0.8583696484565735,0.8182487289110819,0.5,0.7437411944071451,0.27202949300408363,0.07872042018571555,0.10878373553948986,0.2259178860249745,0.25272870075434484,0.012809583293954471,0.133189795748254,0.014230702531882968,0.13738781424201482,0.2816472743039527,0.14485123396601096,0.0019128286164047292,0.0,0.3179797226629105,0.19588735626274398,0.33923144199348837,0.1048291804442299,0.0,0.17876587038818426,0.17933401021791093,0.09465071030961686,0.23061566448001233,0.0032683231473381556,0.19977686313939816,0.0019128286164047292,0.17933401021791093,0.24666574783264844,0.06679247556278112,0.0028815261202342927,23.065125189341593,0.0018359812674879736,0.11890075313821438,0.3052278923947186,0.07698003130358248,0.08706406028284068,0.3897435053981016,0.22203261550730014,0.2048993237374587,0.18499931337415526,0.13738781424201482,0.005370090335782055,0.012809583293954471,0.003981644931157497,0.0453937549407347,0.0029062838584169616,0.0029062838584169616,0.0,0.005370090335782055,0.27754722786481284,0.005491432365975496,0.0,0.014230702531882968,0.0012477751056561815,0.07872042018571555,0.10878373553948986,0.2755990911478225,0.16652447022149497,0.25989604711676334
no_init_kenn_horizontal_adapter_bert_ms,0.9056126077969869,0.8831789493560791,0.36714976529280346,0.29881757994492847,0.8488553762435913,0.7272727489471436,0.8725578188896179,0.9011868834495544,0.5944878458976746,0.6486157377560934,0.8604800701141357,0.9090908765792848,0.5888888935248057,0.3619885842005412,0.45010141531626385,0.6722925504048666,0.375,0.23547434310118356,0.8747492432594299,0.5693139235178629,0.6111111044883728,0.02025825468202432,0.6286920110384623,0.8604800701141357,0.8747492432594299,0.3542737513780594,0.8481012980143229,0.018479858214656513,48.666666666666664,0.023312456905841827,0.7369901935259501,0.35663976271947223,0.8777777751286825,0.27242452402909595,0.26666666666666666,0.6416667004426321,0.427092045545578,0.4990386466185252,0.9011868834495544,0.892194906870524,0.8488553762435913,0.01782903354614973,0.7851364016532898,0.9102857112884521,0.9102857112884521,0.8860759735107422,0.892194906870524,0.5260141988595327,0.01728137272099654,0.9333333373069764,0.8725578188896179,0.021581688274939854,0.9056126077969869,0.8831789493560791,0.4583333383003871,0.7027690013249716,0.47070708870887756,0.009522671644973588,0.012283872014252304,0.17665907748383558,0.15235556945587006,0.010769423013600236,0.11050255546887121,0.00728302920874071,0.02105728767750708,0.15963880572021064,0.12776366525116856,0.002044960780376448,0.0,0.28738925013142785,0.06774538593955577,0.20143720437115084,0.10043466099310162,0.0,0.10500188681840249,0.028472727598881226,0.01268669629279011,0.19133312527247068,0.0025884694575239453,0.15194268306448627,0.002044960780376448,0.028472727598881226,0.12623893963144822,0.03349050581470247,0.002760730096193474,23.58671942711265,0.0009205816802238785,0.09416783841459754,0.2632739459391404,0.06938885774078349,0.0942574171024349,0.32715949219506585,0.18666996948495065,0.04809863593391101,0.09467923061089767,0.02105728767750708,0.004455369664132098,0.010769423013600236,0.0035119441160263274,0.044132447931297135,0.002284696451158882,0.002284696451158882,0.0,0.004455369664132098,0.10487780625357705,0.004176572484791758,0.0,0.00728302920874071,0.001213103662992013,0.009522671644973588,0.012283872014252304,0.22047928249284396,0.14000249385505129,0.17879644284365007
no_init_kenn_hybrid_adapter_bert_ms,0.8549220959345499,0.8136189182599386,0.26977366333206493,0.2478764889140924,0.8515797257423401,0.7540107170740763,0.8667476971944174,0.8137687842051188,0.350276159743468,0.6512061158816019,0.8589263359705607,0.9090908765792848,0.6999999980131785,0.24923267712195715,0.3470775994161765,0.6385373075803121,0.375,0.20177882785598436,0.7620523373285929,0.49399269620577496,0.6574073930581411,0.02095414822300275,0.672995795806249,0.8589263359705607,0.7620523373285929,0.253565048178037,0.8171589573224386,0.017551999228696026,53.0,0.022461920355757076,0.7623066107432047,0.2842120931794246,0.8666666746139526,0.1620371863245964,0.32,0.6888889372348785,0.27095385392506915,0.4235071043173472,0.8137687842051188,0.8932729562123617,0.8515797257423401,0.0179002375031511,0.7818975249926249,0.9109622637430826,0.9109622637430826,0.8860759735107422,0.8932729562123617,0.37355440109968185,0.018499188746015232,0.9333333373069764,0.8667476971944174,0.02149265942474206,0.8549220959345499,0.8136189182599386,0.4999999950329463,0.7381856441497803,0.2747041881084442,0.08208662090111475,0.11295154280637057,0.2104569584490068,0.2859907732983686,0.013886955493158576,0.14378961940371077,0.01592793681914749,0.14239203752411858,0.2875232262017336,0.16439796091673695,0.0016875869025965702,0.0,0.3179797226629105,0.19693060560965844,0.36777396632321047,0.12202292086263687,0.0,0.23453050628206135,0.18489538196971142,0.09502428096548689,0.24896906623373583,0.003558946015294695,0.21891170673726762,0.0016875869025965702,0.18489538196971142,0.27608424360148087,0.053552142892030766,0.003354143587909933,24.576411454889016,0.0014720319007014893,0.1294735152568181,0.310699964930822,0.11547004695537369,0.08627611073945604,0.5196152422706632,0.24070691867500324,0.20534850056491302,0.2070631564693815,0.14239203752411858,0.005797460296455775,0.013886955493158576,0.004518942392418618,0.05783291273158287,0.0031637768599744216,0.0031637768599744216,0.0,0.005797460296455775,0.28376500617735295,0.006017406888694302,0.0,0.01592793681914749,0.0015897015872382379,0.08208662090111475,0.11295154280637057,0.2916666567325593,0.18053016243833245,0.28560623623122344
no_init_kenn_top_down_adapter_bert_ms,0.8467004299163818,0.798653225104014,0.12957286772628626,0.09247770408789317,0.8526213963826498,0.7647058765093485,0.8579592307408651,0.7963043252627054,0.22818232576052347,0.7064321239789327,0.8552636106808981,0.9090908765792848,0.6666666666666666,0.15510880450407663,0.16569321354230246,0.7144866387049357,0.375,0.09277328476309776,0.7328414916992188,0.43419432640075684,0.6759259303410848,0.021321425835291546,0.7004219094912211,0.8552636106808981,0.7328414916992188,0.10123182584842046,0.8248945077260336,0.01963968202471733,57.0,0.02267455371717612,0.7756681044896444,0.07442396134138107,0.9333333373069764,0.1419161967933178,0.07666666666666666,0.706944465637207,0.16870183621843657,0.3092571993668874,0.7963043252627054,0.8937041759490967,0.8526213963826498,0.019418281813462574,0.798968235651652,0.9112715721130371,0.9112715721130371,0.8860759735107422,0.8937041759490967,0.25715923806031543,0.01925307388106982,0.9333333373069764,0.8579592307408651,0.02196189823249976,0.8467004299163818,0.798653225104014,0.5208333233992258,0.7517273426055908,0.13649821653962135,0.0690972134660597,0.10064888898207619,0.1029898256494285,0.06067810072138423,0.006769284187762656,0.06992884283603068,0.003883843447423899,0.11726762225241626,0.15697932014893734,0.06343655910475897,0.0026735947358984386,0.0,0.21858128474937513,0.09324878706750711,0.1113719713109727,0.04793873475883914,0.0,0.07025597311774169,0.15826061904700547,0.04336524945088514,0.12108054975954896,0.0015401365187410257,0.08639492026475142,0.0026735947358984386,0.15826061904700547,0.06731966069968254,0.02742616488384913,0.0013177326861655491,19.467922333931785,0.0007538853499752111,0.05602975088870137,0.0606203148793807,0.0,0.08412292920094146,0.015275252316519458,0.11733438836850887,0.10253128455288031,0.05048975019759941,0.11726762225241626,0.0028194648823322887,0.006769284187762656,0.0017437324253952865,0.03794526670337078,0.0013395723902787393,0.0013395723902787393,0.0,0.0028194648823322887,0.1517648181696207,0.0023748075071681235,0.0,0.003883843447423899,0.001043033598448108,0.0690972134660597,0.10064888898207619,0.14583333475249186,0.08800081932163537,0.10220733547861661
smart_init_box_adapter_bert_ms,0.9099333882331848,0.8776469230651855,0.4715617597103119,0.3761032025019328,0.8232689102490743,0.9215686122576395,0.8605762918790182,0.913326362768809,0.46402624249458313,0.587133010228475,0.8415049513181051,0.9044586420059204,0.9444444378217062,0.5344724357128143,0.494517982006073,0.42756685614585876,0.25,0.5020550092061361,0.8734574317932129,0.6569754878679911,0.9382716019948324,0.02530348797639211,0.9367088675498962,0.8415049513181051,0.8734574317932129,0.376194695631663,0.5534458557764689,0.011752880488832792,10.0,0.01521302138765653,0.9205344518025717,0.3160335222880046,0.9333333174387614,0.6504922111829122,0.15666666666666665,0.9384259382883707,0.5345623592535654,0.5097101132074991,0.913326362768809,0.8819174965222677,0.8232689102490743,0.016139006863037746,0.6912691990534464,0.9065723220507304,0.9065723220507304,0.8987341523170471,0.8819174965222677,0.6415555874506632,0.025748086472352345,0.9102563858032228,0.8605762918790182,0.01900148515899976,0.9099333882331848,0.8776469230651855,0.9375,0.9285029570261637,0.3104955156644185,0.0018768040925160447,0.0046916838664757985,0.057309969766764744,0.06032126212594865,0.0012778531578400973,0.012349740770718457,0.0034838692728908246,0.004059099178738786,0.05065723174456214,0.01349410261547459,0.0010017112238437716,0.0,0.019244990619516646,0.060151397570046186,0.06508336799292845,0.00974429926565879,0.0,0.08326543540127548,0.009746791495959702,0.034566310847715276,0.021383364970611232,0.00033481193601064406,0.021924712062084933,0.0010017112238437716,0.009746791495959702,0.06038685950065016,0.00852628182920926,0.00026784981765755523,5.196152422706632,0.0002343688160917019,0.012180395590047107,0.05161554545852099,0.033333331346516226,0.06971322205069788,0.09291573243177569,0.02214975352635927,0.06008840138348095,0.04529015783342559,0.004059099178738786,0.0004979526040061724,0.0012778531578400973,0.000370924899026956,0.009594633778872022,0.0002860700217396001,0.0002860700217396001,0.0,0.0004979526040061724,0.05396644164704233,0.0006026620225161687,0.0,0.0034838692728908246,0.000263734363152215,0.0018768040925160447,0.0046916838664757985,0.020833313465118408,0.016612330873302574,0.046642768466200066
smart_init_classifier_adapter_bert_ms,0.9154448310534159,0.8904977440834045,0.4569060107072194,0.3764241834481557,0.8615156213442484,0.8716577490170797,0.8739111622174581,0.9170127113660177,0.444425493478775,0.5760169625282288,0.8676442901293436,0.9090908765792848,0.855555534362793,0.5138447483380636,0.5029145876566569,0.4324894845485687,0.375,0.5077160398165385,0.883196492989858,0.6424116293589274,0.8611111044883728,0.024027680978178978,0.8691983222961426,0.8676442901293436,0.883196492989858,0.3777320285638173,0.5826301376024882,0.01188819327702125,9.0,0.016015232851107914,0.8741209904352824,0.32077091932296753,0.8666666547457377,0.6247695684432983,0.06999999999999999,0.8611111442248026,0.5150285363197327,0.5166323582331339,0.9170127113660177,0.8980163931846619,0.8615156213442484,0.01583345141261816,0.6961898605028788,0.9138946930567423,0.9138946930567423,0.8860759735107422,0.8980163931846619,0.6303501526514689,0.023892368500431378,0.9333333373069764,0.8739111622174581,0.0191367423782746,0.9154448310534159,0.8904977440834045,0.8611111243565878,0.8673523465792338,0.3047090470790863,0.001485738191022486,0.005552755332683346,0.08596060950900622,0.09214611953872462,0.00595810130310356,0.060736977117729955,0.005406605865352126,0.004419916357446695,0.04327177691207874,0.026090408125398052,0.00037709863082456373,0.0,0.07698003130358241,0.061730890734410064,0.104507619992155,0.006329104304366284,0.0,0.12338924156607893,0.013351540700067263,0.029543115783553595,0.1051649854019106,0.0016900547766972975,0.11256809787396847,0.00037709863082456373,0.013351540700067263,0.09371454411251104,0.05471354531591053,0.00017397338524481566,3.605551275463989,0.0015039554798128908,0.06148382311041307,0.09904618478456821,0.12018501882052555,0.05594059768696284,0.10392304845413264,0.10327395618641388,0.06331624766837993,0.0702859182524947,0.004419916357446695,0.0024488914731488373,0.00595810130310356,0.0007171679963049589,0.017243860803991498,0.001423728110312287,0.001423728110312287,0.0,0.0024488914731488373,0.06218918110857612,0.0030942525311514826,0.0,0.005406605865352126,0.00047399516611375286,0.001485738191022486,0.005552755332683346,0.11474104645482598,0.07745546603761282,0.05907644119430268
