name,instance,run_id,threshold_pretraining,test/macro_types/recall,test_pretraining/micro/f1,test_incremental_only/macro_example/recall,test_incremental_medicine-symptom/macro_types/recall,test_incremental_only/macro_example_exclusive/precision,test/micro/precision,test_incremental_only/micro/recall,epoch,test_incremental_medicine-medical_treatment/macro_types/f1,test_incremental/micro/recall,test_incremental_only/micro/f1,test_pretraining/micro/precision,test_incremental_medicine/macro_types/f1,test_incremental_medicine-medical_treatment/macro_types/precision,test_incremental/macro_types/f1,test_incremental/macro_example_exclusive/recall,test/micro/recall,test/macro_example/f1,test_incremental_only/macro_types/f1,test_incremental/macro_example/precision,test_incremental/macro_example_exclusive/precision,test_incremental_medicine-symptom/macro_types/precision,test_incremental_only/macro_types/recall,test_incremental/macro_example_exclusive/f1,test_incremental_medicine-medical_treatment/macro_types/recall,threshold_incremental,test/macro_example/recall,test_pretraining/macro_types/f1,test_pretraining/macro_example/precision,test_incremental/micro/f1,test/macro_types/precision,test/macro_example/precision,test_pretraining/macro_example/f1,test_incremental_only/macro_types/precision,test_incremental_medicine/macro_types/recall,test_incremental_only/macro_example_exclusive/f1,test/micro/f1,test_pretraining/micro/recall,test_pretraining/macro_types/recall,test_incremental/macro_types/recall,test_pretraining/macro_example/recall,test_incremental/macro_example/recall,test_incremental_only/macro_example/precision,test_incremental_medicine-symptom/macro_types/f1,test_incremental/micro/precision,test_incremental_medicine/macro_types/precision,test_incremental_medicine-drug/macro_types/recall,test_incremental/macro_types/precision,test_incremental_only/macro_example/f1,test_pretraining/macro_types/precision,test_incremental_medicine-drug/macro_types/f1,test/macro_types/f1,test_incremental/macro_example/f1,test_incremental_only/micro/precision,test_incremental_medicine-drug/macro_types/precision,test_incremental_only/macro_example_exclusive/recall
no_init_box_kenn_horizontal_adapter_bert_ms,2,v2o03p6k,0.25,0.7986161708831787,0.8854509592056274,0.011830202303826807,0.7333333492279053,0.5822784900665283,0.9014745354652404,0.42592594027519226,13,0.0,0.625668466091156,0.5227273106575012,0.9014745354652404,0.9044586420059204,0.0,0.5896185040473938,0.6350210905075073,0.8699870705604553,0.9105718731880188,0.484016090631485,0.02487821877002716,0.905063271522522,0.5789473652839661,0.5111111402511597,0.7463672757148743,0.0,0.01,0.8994549512863159,0.8306637406349182,0.921967089176178,0.7027027010917664,0.865390956401825,0.921967089176178,0.9105718731880188,0.45964914560317993,0.8987341523170471,0.4949367344379425,0.8854509592056274,0.8699870705604553,0.7986161708831787,0.608016848564148,0.8994549512863159,0.017455346882343292,0.016005568206310272,0.6470588445663452,0.801369845867157,0.9102563858032228,0.800000011920929,0.572300910949707,0.013604732230305672,0.865390956401825,0.8000000715255737,0.8306637406349182,0.020516010001301765,0.6764705777168274,0.800000011920929,0.4303797483444214
no_init_box_kenn_horizontal_adapter_bert_ms,1,yd2jxjw4,0.25,0.7992571592330933,0.8848937153816223,0.011830201372504234,0.699999988079071,0.594936728477478,0.9000892043113708,0.435185194015503,19,0.0,0.6310160160064697,0.510869562625885,0.9000892043113708,0.9044586420059204,0.0,0.5734439492225647,0.637130856513977,0.8702026605606079,0.9100279808044434,0.4602408707141876,0.02470424398779869,0.8987341523170471,0.5675675868988037,0.5222222208976746,0.7456530928611755,0.0,0.02,0.8995535373687744,0.8297250866889954,0.920749306678772,0.6920821070671082,0.862608015537262,0.920749306678772,0.9100279808044434,0.41141143441200256,0.8987341523170471,0.49945303797721863,0.8848937153816223,0.8702026605606079,0.7992571592330933,0.6163501739501953,0.8995535373687744,0.01751333847641945,0.016353514045476913,0.6268656253814697,0.7662337422370911,0.9102563858032228,0.8666666746139526,0.5361226797103882,0.01372887659817934,0.862608015537262,0.7536232471466064,0.8297250866889954,0.02049637958407402,0.6184210777282715,0.6666666865348816,0.4303797483444214
no_init_box_kenn_horizontal_adapter_bert_ms,0,vhgnla4t,0.25,0.7998981475830078,0.8856954574584961,0.01235212292522192,0.7666666507720947,0.6075949668884277,0.9015185236930848,0.4444444477558136,14,0.0,0.6363636255264282,0.5393258333206177,0.9015185236930848,0.9044586420059204,0.0,0.6013234257698059,0.6455696821212769,0.8704183101654053,0.9106773138046264,0.49935364723205566,0.02470424398779869,0.8987341523170471,0.574999988079071,0.5333333611488342,0.7514007687568665,0.0,0.01,0.8997159004211426,0.8316173553466797,0.9219090938568116,0.7104477286338806,0.8659560680389404,0.9219090938568116,0.9106773138046264,0.4694444537162781,0.8987341523170471,0.5166376829147339,0.8856954574584961,0.8704183101654053,0.7998981475830078,0.6246834993362427,0.8997159004211426,0.017745302990078926,0.016701461747288704,0.6571428179740906,0.8040540814399719,0.9102563858032228,0.8333333134651184,0.579647421836853,0.014201244339346886,0.8659560680389404,0.8333333134651184,0.8316173553466797,0.02065436728298664,0.6857143044471741,0.8333333134651184,0.44936710596084595
no_init_box_kenn_hybrid_adapter_bert_ms,2,gtmt0x4d,0.25,0.7934879064559937,0.884353756904602,0.011656228452920914,0.699999988079071,0.5189873576164246,0.9003574848175049,0.3796296417713166,21,0.25806453824043274,0.5989304780960083,0.4659091234207154,0.9003574848175049,0.9044586420059204,0.5714285969734192,0.5997880697250366,0.6223629117012024,0.8689090013504028,0.9101673364639282,0.4932727515697479,0.02470424398779869,0.8987342119216919,0.6363636255264282,0.4222222566604614,0.7354413270950317,0.1666666716337204,0.01,0.8991069793701172,0.8313872218132019,0.9215031862258912,0.6726726293563843,0.8730884790420532,0.9215031862258912,0.9101673364639282,0.5930736064910889,0.8987341523170471,0.46674031019210815,0.884353756904602,0.8689090013504028,0.7934879064559937,0.5413501858711243,0.8991069793701172,0.017107399180531502,0.014265831559896467,0.6666666865348816,0.767123281955719,0.9102563858032228,0.4000000059604645,0.6723693013191223,0.012829674407839777,0.8730884790420532,0.47058823704719543,0.8313872218132019,0.02021567709743977,0.6029411554336548,0.5714285969734192,0.42405062913894653
no_init_box_kenn_top_down_adapter_bert_ms,2,9n00dmzx,0.25,0.7990968823432922,0.8810639977455139,0.01478775218129158,0.800000011920929,0.6582278609275818,0.8910694718360901,0.48148149251937866,21,0.3684210479259491,0.6577540040016174,0.4425532221794128,0.8910694718360901,0.9044586420059204,0.5,0.5829099416732788,0.683544397354126,0.8712807297706604,0.9078288674354552,0.4741058945655823,0.02487821877002716,0.905063271522522,0.5581395626068115,0.519444465637207,0.7788592576980591,0.2916666567325592,0.01,0.9004523754119873,0.8302955031394958,0.9153271317481996,0.6275510191917419,0.8640292882919312,0.9153271317481996,0.9078288674354552,0.4360465407371521,0.8987341523170471,0.5920568704605103,0.8810639977455139,0.8712807297706604,0.7990968823432922,0.6142668724060059,0.9004523754119873,0.018789144232869148,0.018093248829245567,0.6575343012809753,0.6000000238418579,0.9102563858032228,0.46666666865348816,0.5545989871025085,0.016274351626634598,0.8640292882919312,0.3255813717842102,0.8302955031394958,0.02140914462506771,0.4094488322734833,0.25,0.5379747152328491
no_init_box_kenn_bottom_up_adapter_bert_ms,2,s368omp7,0.25,0.7934879064559937,0.8844508528709412,0.011656228452920914,0.699999988079071,0.5189873576164246,0.9005586504936218,0.3796296417713166,21,0.26229509711265564,0.5989304780960083,0.468571424484253,0.9005586504936218,0.9044586420059204,0.6153846383094788,0.604121208190918,0.6223629117012024,0.8689090013504028,0.9101955890655518,0.4982684850692749,0.02470424398779869,0.8987342119216919,0.6363636255264282,0.4222222566604614,0.7354413270950317,0.1666666716337204,0.01,0.8991069793701172,0.8317702412605286,0.9215611219406128,0.6746987700462341,0.8739337921142578,0.9215611219406128,0.9101955890655518,0.6077256202697754,0.8987341523170471,0.46674031019210815,0.8844508528709412,0.8689090013504028,0.7934879064559937,0.541350245475769,0.8991069793701172,0.017107399180531502,0.014265831559896467,0.6666666865348816,0.7724137902259827,0.9102563858032228,0.4000000059604645,0.6833583116531372,0.012829674407839777,0.8739337921142578,0.47058823704719543,0.8317702412605286,0.02021567709743977,0.611940324306488,0.5714285969734192,0.42405062913894653
no_init_box_kenn_hybrid_adapter_bert_ms,1,zf13hsff,0.25,0.7940487861633301,0.8848139047622681,0.010438414290547373,0.6666666865348816,0.5063291788101196,0.9015439748764038,0.3703703582286834,16,0.11764705926179886,0.5935828685760498,0.47337278723716736,0.9015439748764038,0.9044586420059204,1.0,0.6540634632110596,0.6054852604866028,0.8686934113502502,0.9102062582969666,0.5549980998039246,0.02487821877002716,0.905063271522522,0.5555555820465088,0.43194445967674255,0.7255675196647644,0.0625,0.01,0.898741602897644,0.8364555239677429,0.9219671487808228,0.6809816360473633,0.8836473822593689,0.9219671487808228,0.9102062582969666,0.7760943174362183,0.8987341523170471,0.43399640917778015,0.8848139047622681,0.8686934113502502,0.7940487861633301,0.5486418604850769,0.898741602897644,0.016643472015857697,0.013917884789407252,0.6060605645179749,0.798561155796051,0.9102563858032228,0.5666666626930237,0.809634804725647,0.011929616332054138,0.8836473822593689,0.6538461446762085,0.8364555239677429,0.019944271072745323,0.6557376980781555,0.7727272510528564,0.37974685430526733
no_init_box_kenn_top_down_adapter_bert_ms,1,6f3vsdfc,0.25,0.800298810005188,0.8829891681671143,0.013569937087595465,0.8666666746139526,0.658227801322937,0.895016610622406,0.48148149251937866,16,0.31578946113586426,0.6577540040016174,0.4837209582328797,0.895016610622406,0.9044586420059204,1.0,0.6696735620498657,0.6687763929367065,0.8712807297706604,0.9083667993545532,0.589946985244751,0.02505219355225563,0.9113923907279968,0.38235294818878174,0.5402778387069702,0.7714589834213257,0.1875,0.01,0.9002493619918823,0.8366013765335083,0.9166318774223328,0.6612903475761414,0.8763538599014282,0.9166318774223328,0.9083667993545532,0.6496732234954834,0.8987341523170471,0.5641952753067017,0.8829891681671143,0.8712807297706604,0.800298810005188,0.6298918724060059,0.9002493619918823,0.0183832049369812,0.018093250691890717,0.5306122303009033,0.6648648381233215,0.9102563858032228,0.5666666626930237,0.7148189544677734,0.01550850085914135,0.8763538599014282,0.5666666626930237,0.8366013765335083,0.021205727010965347,0.4859813153743744,0.5666666626930237,0.49367088079452515
no_init_box_kenn_bottom_up_adapter_bert_ms,1,eobzha8t,0.25,0.7928469181060791,0.8843492865562439,0.00991649366915226,0.6666666865348816,0.4683544337749481,0.9012760519981384,0.34259259700775146,16,0.0,0.5775400996208191,0.443113774061203,0.9012760519981384,0.9044586420059204,0.0,0.544208824634552,0.5928270220756531,0.8680465817451477,0.9099429249763488,0.4240153431892395,0.02487821877002716,0.905063271522522,0.5405405163764954,0.41111111640930176,0.7164022922515869,0.0,0.01,0.8983936309814453,0.826954185962677,0.9217931032180786,0.6666666865348816,0.8641278743743896,0.9217931032180786,0.9099429249763488,0.4377559423446655,0.8987341523170471,0.4075756072998047,0.8843492865562439,0.8680465817451477,0.7928469181060791,0.5330168604850769,0.8983936309814453,0.016295522451400757,0.012874042615294456,0.5970149040222168,0.7883211970329285,0.9102563858032228,0.5666666626930237,0.5558810234069824,0.011203366331756117,0.8641278743743896,0.6538461446762085,0.826954185962677,0.01969233714044094,0.6271186470985413,0.7727272510528564,0.3607594966888428
no_init_box_kenn_hybrid_adapter_bert_ms,0,wxf981pd,0.25,0.7981353998184204,0.8853321671485901,0.013048016466200352,0.699999988079071,0.6202532052993774,0.9005352258682251,0.45370370149612427,28,0.29411765933036804,0.6417112350463867,0.532608687877655,0.9005352258682251,0.9044586420059204,0.5,0.6570001840591431,0.6561181545257568,0.8706339001655579,0.910392165184021,0.5711748003959656,0.02470424585044384,0.8987341523170471,0.5833333134651184,0.5027778148651123,0.7584975361824036,0.2083333283662796,0.02,0.8999884128570557,0.835717499256134,0.9210392236709596,0.7038122415542603,0.8770137429237366,0.9210392236709596,0.910392165184021,0.6611111164093018,0.8987341523170471,0.5377917885780334,0.8853321671485901,0.8706339001655579,0.7981353998184204,0.6017668843269348,0.8999884128570557,0.01803525909781456,0.017049409449100494,0.6363636255264282,0.7792207598686218,0.9102563858032228,0.6000000238418579,0.7233973741531372,0.014782724902033806,0.8770137429237366,0.7200000286102295,0.835717499256134,0.020849445834755898,0.6447368264198303,0.8999999761581421,0.47468358278274536
