metric,projector,instance,family,subset,precision,recall,f1
test_incremental_only/macro_types,kenn_horizontal_adapter_bert_ms,2,art,10,0.029600000008940697,0.9736841917037964,0.05745341628789902
test_incremental_only/macro_example_exclusive,kenn_horizontal_adapter_bert_ms,2,art,10,0.9736841917037964,0.9736841917037964,0.9736841917037964
test_incremental/macro_example_exclusive,kenn_horizontal_adapter_bert_ms,2,art,10,0.9871795177459716,0.8589743375778198,0.9186253547668456
test_incremental_only/macro_example,kenn_horizontal_adapter_bert_ms,2,art,10,0.012874042615294456,0.012874042615294456,0.012874042615294456
test_incremental_art/macro_types,kenn_horizontal_adapter_bert_ms,2,art,10,0.707317054271698,0.7435897588729858,0.7250000238418579
test/macro_types,kenn_horizontal_adapter_bert_ms,2,art,10,0.8867956399917603,0.8637832403182983,0.8751381635665894
test/micro,kenn_horizontal_adapter_bert_ms,2,art,10,0.7201191782951355,0.8995183706283569,0.799883246421814
test_pretraining/macro_example,kenn_horizontal_adapter_bert_ms,2,art,10,0.7715842723846436,0.9150777459144592,0.8372271060943604
test_pretraining/micro,kenn_horizontal_adapter_bert_ms,2,art,10,0.7201191782951355,0.8995183706283569,0.799883246421814
test_incremental/micro,kenn_horizontal_adapter_bert_ms,2,art,10,0.05112316086888313,0.8571428656578064,0.0964912325143814
test_incremental_art-film/macro_types,kenn_horizontal_adapter_bert_ms,2,art,10,0.029600000008940697,0.9736841917037964,0.05745341628789902
test/macro_example,kenn_horizontal_adapter_bert_ms,2,art,10,0.7715842723846436,0.9150777459144592,0.8372271060943604
test_incremental_only/micro,kenn_horizontal_adapter_bert_ms,2,art,10,0.029600000008940697,0.9736841917037964,0.05745341628789902
test_incremental/macro_example,kenn_horizontal_adapter_bert_ms,2,art,10,0.013395964168012142,0.011656228452920914,0.012465688399970531
test_pretraining/macro_types,kenn_horizontal_adapter_bert_ms,2,art,10,0.8867956399917603,0.8637832403182983,0.8751381635665894
test_incremental/macro_types,kenn_horizontal_adapter_bert_ms,2,art,10,0.3684585392475128,0.8586369752883911,0.515643835067749
test_incremental_only/macro_types,kenn_horizontal_adapter_bert_ms,1,art,10,0.02955271489918232,0.9736841917037964,0.057364340871572495
test_incremental_only/macro_example_exclusive,kenn_horizontal_adapter_bert_ms,1,art,10,0.9736841917037964,0.9736841917037964,0.9736841917037964
test_incremental/macro_example_exclusive,kenn_horizontal_adapter_bert_ms,1,art,10,0.9871795177459716,0.8589743375778198,0.9186253547668456
test_incremental_only/macro_example,kenn_horizontal_adapter_bert_ms,1,art,10,0.012874042615294456,0.012874042615294456,0.012874042615294456
