name,instance,run_id,test_incremental/macro_example/f1,test_incremental_only/micro/precision,test_incremental_only/macro_types/precision,test_incremental/micro/recall,test_pretraining/macro_example/recall,test_incremental/macro_example/precision,test_incremental_metropolitan_transit-transit_line/macro_types/recall,test_incremental/micro/precision,test_pretraining/macro_example/f1,test_incremental_metropolitan_transit/macro_types/recall,threshold_incremental,threshold_pretraining,test_incremental_only/macro_example/precision,test_incremental_only/macro_example_exclusive/f1,test_incremental/macro_example_exclusive/precision,test/macro_example/precision,test_pretraining/macro_types/recall,test_pretraining/macro_types/precision,test_incremental_metropolitan_transit-transit_line/macro_types/f1,test_pretraining/micro/precision,test_incremental/macro_types/precision,test_incremental/macro_types/recall,test_pretraining/macro_example/precision,test/macro_example/f1,test/macro_example/recall,test/micro/precision,test/macro_types/recall,test/micro/f1,test/micro/recall,test/macro_types/f1,test_incremental/micro/f1,test_incremental/macro_example_exclusive/f1,test_incremental/macro_example_exclusive/recall,test_incremental_only/macro_example_exclusive/recall,test/macro_types/precision,test_pretraining/macro_types/f1,test_incremental_only/macro_types/f1,test_incremental_only/macro_types/recall,epoch,test_pretraining/micro/recall,test_incremental/macro_example/recall,test_incremental_metropolitan_transit-transit_line/macro_types/precision,test_incremental_metropolitan_transit/macro_types/precision,test_incremental_only/micro/recall,test_incremental_only/macro_example_exclusive/precision,test_incremental/macro_types/f1,test_incremental_only/macro_example/recall,test_incremental_only/micro/f1,test_incremental_only/macro_example/f1,test_incremental_metropolitan_transit/macro_types/f1,test_pretraining/micro/f1
no_init_box_kenn_horizontal_adapter_bert_ms,2,ewk2lhhf,0.008240852504968643,0.65625,0.65625,0.75,0.9056947231292723,0.008698677644133568,0.699999988079071,0.7894737124443054,0.9145552515983582,0.800000011920929,0.02,0.25,0.007306889165192843,0.7000000476837158,0.8333333730697632,0.923590898513794,0.8138940334320068,0.8855525851249695,0.6774193048477173,0.9031531810760498,0.8081250190734863,0.75,0.923590898513794,0.9145552515983582,0.9056947231292723,0.9031531810760498,0.8138940334320068,0.8911111354827881,0.8793859481811523,0.8482125401496887,0.7692307233810425,0.7894736528396606,0.7500000596046448,0.7000000476837158,0.8855525851249695,0.8482125401496887,0.6774193048477173,0.699999988079071,72,0.8793859481811523,0.007828810252249241,0.65625,0.959999978542328,0.699999988079071,0.7000000476837158,0.7779783606529236,0.007306889165192843,0.6774193048477173,0.007306889165192843,0.8727272748947144,0.8911111354827881
no_init_box_kenn_horizontal_adapter_bert_ms,1,uz0rqdpt,0.007270048372447491,0.8666666746139526,0.8666666746139526,0.6166666746139526,0.9043609499931335,0.008350730873644352,0.4333333373069763,0.925000011920929,0.9142436385154724,0.800000011920929,0.15000000000000002,0.25,0.004523312672972679,0.4333333969116211,0.8000000715255737,0.9243447184562684,0.8085607290267944,0.8897609710693359,0.5777778029441833,0.9048157334327698,0.913333296775818,0.6166666746139526,0.9243447184562684,0.9142436385154724,0.9043609499931335,0.9048157334327698,0.8085607290267944,0.8910163640975952,0.8776316046714783,0.847219705581665,0.7400000095367432,0.6964706778526306,0.6166667342185974,0.4333333969116211,0.8897609710693359,0.847219705581665,0.5777778029441833,0.4333333373069763,69,0.8776316046714783,0.0064370217733085155,0.8666666746139526,0.959999978542328,0.4333333373069763,0.4333333969116211,0.7362382411956787,0.004523312672972679,0.5777778029441833,0.004523312672972679,0.8727272748947144,0.8910163640975952
no_init_box_kenn_horizontal_adapter_bert_ms,0,04idka1s,0.008081353269517422,1.0,1.0,0.75,0.9056947231292723,0.008350730873644352,0.699999988079071,0.97826087474823,0.915066659450531,0.800000011920929,0.01,0.25,0.00730688963085413,0.7000000476837158,0.8000000715255737,0.9246346950531006,0.8138940334320068,0.8924275636672974,0.8235293626785278,0.9053962230682372,0.9800000190734864,0.75,0.9246346950531006,0.915066659450531,0.9056947231292723,0.9053962230682372,0.8138940334320068,0.8922015428543091,0.8793859481811523,0.8513535857200623,0.8490565419197083,0.774193525314331,0.75,0.7000000476837158,0.8924275636672974,0.8513535857200623,0.8235293626785278,0.699999988079071,30,0.8793859481811523,0.007828810252249241,1.0,0.959999978542328,0.699999988079071,0.7000000476837158,0.849711000919342,0.00730688963085413,0.8235293626785278,0.00730688963085413,0.8727272748947144,0.8922015428543091
no_init_box_kenn_hybrid_adapter_bert_ms,2,rl0xy12r,0.007794015575200319,0.8181818127632141,0.8181818127632141,0.699999988079071,0.9052308201789856,0.008350730873644352,0.6000000238418579,0.8936170339584351,0.9145743250846864,0.800000011920929,0.19,0.25,0.006263048388063908,0.6000000238418579,0.8000000715255737,0.9241127371788024,0.8118940591812134,0.8887912034988403,0.6923076510429382,0.9045146703720092,0.889090895652771,0.7000000476837158,0.9241127371788024,0.9145743250846864,0.9052308201789856,0.9045146703720092,0.8118940591812134,0.8914349675178528,0.8787280917167664,0.848604142665863,0.7850467562675476,0.746666669845581,0.7000000476837158,0.6000000238418579,0.8887912034988403,0.848604142665863,0.6923076510429382,0.6000000238418579,72,0.8787280917167664,0.00730688963085413,0.8181818127632141,0.959999978542328,0.6000000238418579,0.6000000238418579,0.783295214176178,0.006263048388063908,0.6923076510429382,0.006263048388063908,0.8727272748947144,0.8914349675178528
no_init_box_kenn_top_down_adapter_bert_ms,2,w8ybfui7,0.008143442682921886,0.6666666865348816,0.6666666865348816,0.7333333492279053,0.905520796775818,0.008698677644133568,0.6666666865348816,0.800000011920929,0.9144666194915771,0.800000011920929,0.41,0.25,0.006958942394703627,0.6666667461395264,0.8333333730697632,0.923590898513794,0.8132274150848389,0.8857609033584595,0.6666666865348816,0.9033348560333252,0.8133333325386047,0.7333333492279053,0.923590898513794,0.9144666194915771,0.905520796775818,0.9033348560333252,0.8132274150848389,0.8910869359970093,0.8791666626930237,0.8479458689689636,0.7652174830436707,0.7801418900489807,0.7333333492279053,0.6666667461395264,0.8857609033584595,0.8479458689689636,0.6666666865348816,0.6666666865348816,71,0.8791666626930237,0.007654836401343346,0.6666666865348816,0.959999978542328,0.6666666865348816,0.6666667461395264,0.771264374256134,0.006958942394703627,0.6666666865348816,0.006958942394703627,0.8727272748947144,0.8910869359970093
no_init_box_kenn_bottom_up_adapter_bert_ms,2,x7ktljec,0.008143442682921886,0.6896551847457886,0.6896551847457886,0.7333333492279053,0.905520796775818,0.008698677644133568,0.6666666865348816,0.8148148059844971,0.9145233631134032,0.800000011920929,0.08,0.25,0.006958942394703627,0.6666667461395264,0.8333333730697632,0.923706829547882,0.8132274150848389,0.8862206935882568,0.6779661774635315,0.9035384058952332,0.8248275518417358,0.7333333492279053,0.923706829547882,0.9145233631134032,0.905520796775818,0.9035384058952332,0.8132274150848389,0.8911858797073364,0.8791666626930237,0.8481564521789551,0.7719298005104065,0.7801418900489807,0.7333333492279053,0.6666667461395264,0.8862206935882568,0.8481564521789551,0.6779661774635315,0.6666666865348816,70,0.8791666626930237,0.007654836401343346,0.6896551847457886,0.959999978542328,0.6666666865348816,0.6666667461395264,0.7763941884040833,0.006958942394703627,0.6779661774635315,0.006958942394703627,0.8727272748947144,0.8911858797073364
no_init_box_kenn_hybrid_adapter_bert_ms,1,kgehafku,0.009033242240548134,0.604651153087616,0.604651153087616,0.8333333134651184,0.9064486026763916,0.009394572116434574,0.8666666746139526,0.7352941036224365,0.9145123958587646,0.800000011920929,0.01,0.25,0.009046625345945358,0.8666666746139526,0.9000000953674316,0.9227209091186525,0.8172273635864258,0.8845206499099731,0.7123287916183472,0.9020444750785828,0.7823255658149719,0.8333333730697632,0.9227209091186525,0.9145123958587646,0.9064486026763916,0.9020444750785828,0.8172273635864258,0.8911330103874207,0.8804824352264404,0.8495435118675232,0.78125,0.8653846979141235,0.8333333730697632,0.8666666746139526,0.8845206499099731,0.8495435118675232,0.7123287916183472,0.8666666746139526,52,0.8804824352264404,0.008698677644133568,0.604651153087616,0.959999978542328,0.8666666746139526,0.8666666746139526,0.8070243000984192,0.009046625345945358,0.7123287916183472,0.009046625345945358,0.8727272748947144,0.8911330103874207
no_init_box_kenn_top_down_adapter_bert_ms,1,ay9tgm9w,0.008938525803387165,0.5952380895614624,0.5952380895614624,0.8166666626930237,0.906274676322937,0.009394572116434574,0.8333333134651184,0.7313432693481445,0.9144238829612732,0.800000011920929,0.09,0.25,0.008698677644133568,0.833333432674408,0.9000000953674316,0.9227209091186525,0.8165607452392578,0.8843323588371277,0.6944444179534912,0.9020224809646606,0.7776190042495728,0.8166666626930237,0.9227209091186525,0.9144238829612732,0.906274676322937,0.9020224809646606,0.8165607452392578,0.8910099267959595,0.8802631497383118,0.8490963578224182,0.7716535925865173,0.8563107848167419,0.8166667222976685,0.8333333730697632,0.8843323588371277,0.8490963578224182,0.6944444179534912,0.8333333134651184,78,0.8802631497383118,0.008524704724550247,0.5952380895614624,0.959999978542328,0.8333333134651184,0.8333333730697632,0.7966646552085876,0.008698677644133568,0.6944444179534912,0.008698677644133568,0.8727272748947144,0.8910099267959595
no_init_box_kenn_bottom_up_adapter_bert_ms,1,zm6aq6nj,0.008841950446367264,0.5853658318519592,0.5853658318519592,0.800000011920929,0.9061006903648376,0.009394572116434574,0.800000011920929,0.7272727489471436,0.9143352508544922,0.800000011920929,0.01,0.25,0.008350730873644352,0.8000000715255737,0.9000000953674316,0.9227209091186525,0.8158940672874451,0.8841348886489868,0.6760563254356384,0.9020004272460938,0.7726829051971436,0.800000011920929,0.9227209091186525,0.9143352508544922,0.9061006903648376,0.9020004272460938,0.8158940672874451,0.8908869028091431,0.8800438642501831,0.8486448526382446,0.7619048357009888,0.847058892250061,0.8000000715255737,0.8000000715255737,0.8841348886489868,0.8486448526382446,0.6760563254356384,0.800000011920929,52,0.8800438642501831,0.008350730873644352,0.5853658318519592,0.959999978542328,0.800000011920929,0.8000000715255737,0.7861042618751526,0.008350730873644352,0.6760563254356384,0.008350730873644352,0.8727272748947144,0.8908869028091431
no_init_box_kenn_hybrid_adapter_bert_ms,0,p2wcyzu0,0.009126156568527222,0.675000011920929,0.675000011920929,0.8500000238418579,0.9066226482391356,0.009394572116434574,0.8999999761581421,0.7846153974533081,0.9149996042251588,0.800000011920929,0.01,0.25,0.009394572116434574,0.9000000953674316,0.9000000953674316,0.9235328435897828,0.8178940415382385,0.8859276175498962,0.7714285850524902,0.902877688407898,0.8174999952316284,0.8500000238418579,0.9235328435897828,0.9149996042251588,0.9066226482391356,0.902877688407898,0.8178940415382385,0.8916519284248352,0.8807017803192139,0.850552499294281,0.8160000443458557,0.8742857575416565,0.8500000238418579,0.9000000953674316,0.8859276175498962,0.850552499294281,0.7714285850524902,0.8999999761581421,48,0.8807017803192139,0.008872651495039463,0.675000011920929,0.959999978542328,0.8999999761581421,0.9000000953674316,0.8334332704544067,0.009394572116434574,0.7714285850524902,0.009394572116434574,0.8727272748947144,0.8916519284248352
