name,test/micro/f1/mean,test_incremental/macro_types/f1/mean,test_incremental/macro_types/recall/mean,test/macro_types/recall/mean,test_incremental/macro_types/precision/mean,test_pretraining/macro_example/precision/mean,test_incremental_only/macro_example/recall/mean,test_incremental/macro_example/f1/mean,test_pretraining/macro_example/f1/mean,test_incremental_only/macro_types/f1/mean,test_pretraining/micro/recall/mean,test_pretraining/micro/precision/mean,test_incremental_only/micro/recall/mean,test_incremental/macro_example_exclusive/f1/mean,test_incremental_metropolitan_transit-transit_line/macro_types/recall/mean,test/micro/precision/mean,test_incremental_only/macro_example_exclusive/f1/mean,test_incremental_only/micro/f1/mean,epoch/mean,threshold_incremental/mean,test_pretraining/micro/f1/mean,test_incremental_metropolitan_transit/macro_types/precision/mean,test/macro_types/f1/mean,test_incremental_only/macro_types/recall/mean,test_incremental/macro_example_exclusive/recall/mean,test_incremental/macro_example_exclusive/precision/mean,test_incremental_metropolitan_transit/macro_types/f1/mean,test_incremental_only/macro_example_exclusive/recall/mean,threshold_pretraining/mean,test_incremental/micro/f1/mean,test_incremental_metropolitan_transit-transit_line/macro_types/precision/mean,test/macro_example/f1/mean,test/macro_example/recall/mean,test_incremental_metropolitan_transit-transit_line/macro_types/f1/mean,test_incremental/micro/precision/mean,test_incremental_only/macro_example/f1/mean,test_incremental_only/macro_types/precision/mean,test/macro_types/precision/mean,test_pretraining/macro_types/recall/mean,test_pretraining/macro_example/recall/mean,test_pretraining/macro_types/precision/mean,test_incremental_only/macro_example_exclusive/precision/mean,test_incremental_metropolitan_transit/macro_types/recall/mean,test_incremental/micro/recall/mean,test_incremental/macro_example/recall/mean,test/macro_example/precision/mean,test_incremental_only/micro/precision/mean,test_incremental/macro_example/precision/mean,test_incremental_only/macro_example/precision/mean,test/micro/recall/mean,test_pretraining/macro_types/f1/mean,test/micro/f1/std,test_incremental/macro_types/f1/std,test_incremental/macro_types/recall/std,test/macro_types/recall/std,test_incremental/macro_types/precision/std,test_pretraining/macro_example/precision/std,test_incremental_only/macro_example/recall/std,test_incremental/macro_example/f1/std,test_pretraining/macro_example/f1/std,test_incremental_only/macro_types/f1/std,test_pretraining/micro/recall/std,test_pretraining/micro/precision/std,test_incremental_only/micro/recall/std,test_incremental/macro_example_exclusive/f1/std,test_incremental_metropolitan_transit-transit_line/macro_types/recall/std,test/micro/precision/std,test_incremental_only/macro_example_exclusive/f1/std,test_incremental_only/micro/f1/std,epoch/std,threshold_incremental/std,test_pretraining/micro/f1/std,test_incremental_metropolitan_transit/macro_types/precision/std,test/macro_types/f1/std,test_incremental_only/macro_types/recall/std,test_incremental/macro_example_exclusive/recall/std,test_incremental/macro_example_exclusive/precision/std,test_incremental_metropolitan_transit/macro_types/f1/std,test_incremental_only/macro_example_exclusive/recall/std,threshold_pretraining/std,test_incremental/micro/f1/std,test_incremental_metropolitan_transit-transit_line/macro_types/precision/std,test/macro_example/f1/std,test/macro_example/recall/std,test_incremental_metropolitan_transit-transit_line/macro_types/f1/std,test_incremental/micro/precision/std,test_incremental_only/macro_example/f1/std,test_incremental_only/macro_types/precision/std,test/macro_types/precision/std,test_pretraining/macro_types/recall/std,test_pretraining/macro_example/recall/std,test_pretraining/macro_types/precision/std,test_incremental_only/macro_example_exclusive/precision/std,test_incremental_metropolitan_transit/macro_types/recall/std,test_incremental/micro/recall/std,test_incremental/macro_example/recall/std,test/macro_example/precision/std,test_incremental_only/micro/precision/std,test_incremental/macro_example/precision/std,test_incremental_only/macro_example/precision/std,test/micro/recall/std,test_pretraining/macro_types/f1/std
no_init_box_kenn_bottom_up_adapter_bert_ms,0.8911667068799337,0.8231247862180074,0.8555555542310079,0.818116287390391,0.7985703349113464,0.92283695936203,0.009510554373264313,0.009208663987616697,0.9146917661031088,0.7359461585680643,0.8807748556137085,0.9018111030260721,0.9111110965410868,0.8821900486946106,0.9111110965410868,0.9018111030260721,0.9111111760139465,0.7359461585680643,38.666666666666664,0.1466666666666667,0.8911667068799337,0.959999978542328,0.8503191272417704,0.9111110965410868,0.8555556138356527,0.9111111561457316,0.8727272748947144,0.9111111561457316,0.25,0.7910297314325968,0.6371406416098276,0.9146917661031088,0.9066902796427408,0.7359461585680643,0.7472342054049174,0.009510554373264313,0.6371406416098276,0.8851704001426697,0.818116287390391,0.9066902796427408,0.8851704001426697,0.9111111561457316,0.800000011920929,0.8555555542310079,0.008930642778674761,0.92283695936203,0.6371406416098276,0.009510554373264313,0.009510554373264313,0.8807748556137085,0.8503191272417704,0.0011441908014783895,0.02499208242023843,0.041943512271834106,0.0016777417541710335,0.07776901393798678,0.0014705108516718988,0.000875647761668747,0.0006430876126639701,0.0005555216025452021,0.09055309365685864,0.0005518840087556957,0.002891403587942326,0.08388706007038474,0.06160778520306779,0.08388706007038474,0.002891403587942326,0.08388699691176246,0.09055309365685864,2.516611478423584,0.13576941236277537,0.0011441908014783895,0.0,0.0005781380790057753,0.08388706007038474,0.04194354779856429,0.0838870245436682,0.0,0.0838870245436682,0.0,0.06164110980430328,0.15553801105258522,0.0005555216025452021,0.00033853359001855503,0.09055309365685864,0.12974317301587862,0.000875647761668747,0.15553801105258522,0.0031107424061321024,0.0016777417541710335,0.00033853359001855503,0.0031107424061321024,0.0838870245436682,0.0,0.041943512271834106,0.00043782366496017834,0.0014705108516718988,0.15553801105258522,0.000875647761668747,0.000875647761668747,0.0005518840087556957,0.0005781380790057753
no_init_box_kenn_horizontal_adapter_bert_ms,0.8916191061337789,0.833528200785319,0.850000003973643,0.8178940614064535,0.819609522819519,0.9232621987660726,0.009394572116434574,0.009124302926162878,0.9148714939753214,0.7698482672373453,0.8807017604509989,0.9028113683064779,0.8999999761581421,0.8741082747777303,0.8999999761581421,0.9028113683064779,0.9000000754992167,0.7698482672373453,60.666666666666664,0.26666666666666666,0.8916191061337789,0.959999978542328,0.850589911142985,0.8999999761581421,0.8500000437100729,0.9000000556310018,0.8727272748947144,0.9000000556310018,0.25,0.8146141767501831,0.6792190472284952,0.9148714939753214,0.9066322644551595,0.7698482672373453,0.7854161659876505,0.009394572116434574,0.6792190472284952,0.8860119978586832,0.8178940614064535,0.9066322644551595,0.8860119978586832,0.9000000556310018,0.800000011920929,0.850000003973643,0.008872651495039463,0.9232621987660726,0.6792190472284952,0.009394572116434574,0.009394572116434574,0.8807017604509989,0.850589911142985,0.00035895738400541555,0.008333988098956507,0.03333333134651628,0.0013333261014141235,0.03834095022202136,0.0006517980493530163,0.0006958944723010063,0.0005125666029677488,0.00016980728673363348,0.03155488340052541,0.0004386007789172164,0.0011473117256081216,0.06666666269302368,0.04910388803346674,0.06666666269302368,0.0011473117256081216,0.06666663289070343,0.03155488340052541,44.85903847981289,0.39272551907577047,0.00035895738400541555,0.0,0.0002580929664672252,0.06666666269302368,0.03333333134651628,0.06666666269303248,0.0,0.06666666269303248,0.0,0.020612409498683603,0.07668187865053305,0.00016980728673363348,0.0003045744002757972,0.03155488340052541,0.06084048545078068,0.0006958944723010063,0.07668187865053305,0.0015336359021100225,0.0013333261014141235,0.0003045744002757972,0.0015336359021100225,0.06666666269303248,0.0,0.03333333134651628,0.00034794677048921715,0.0006517980493530163,0.07668187865053305,0.0006958944723010063,0.0006958944723010063,0.0004386007789172164,0.0002580929664672252
no_init_box_kenn_hybrid_adapter_bert_ms,0.8903624415397644,0.8154898683230082,0.8666666547457377,0.8185607393582662,0.7885248064994812,0.92178342739741,0.009742519197364649,0.009376259210209051,0.9142170151074728,0.6937385201454163,0.8809210459391276,0.900020162264506,0.9333333373069763,0.8982456922531128,0.9333333373069763,0.900020162264506,0.9333333571751913,0.6937385201454163,52.333333333333336,0.2066666666666667,0.8903624415397644,0.959999978542328,0.8503628174463908,0.9333333373069763,0.8666667540868124,0.9333333571751913,0.8727272748947144,0.9333333571751913,0.25,0.7558002273241679,0.6170496145884196,0.9142170151074728,0.9067772428194681,0.6937385201454163,0.7030012210210165,0.009742519197364649,0.6170496145884196,0.8847685853640238,0.8185607393582662,0.9067772428194681,0.8847685853640238,0.9333333571751913,0.800000011920929,0.8666666547457377,0.0090466250355045,0.92178342739741,0.6170496145884196,0.009742519197364649,0.009742519197364649,0.8809210459391276,0.8503628174463908,0.00200186017262552,0.057798299349037206,0.05773500627130796,0.002309405756893543,0.16679454843284494,0.0026515120783945382,0.0012053240450323364,0.000888133591765828,0.0010715174990083322,0.17267611165515487,0.0007596616263604834,0.004862216896651698,0.1154700469553736,0.08508320336061995,0.1154700469553736,0.004862216896651698,0.11547001254261591,0.17267611165515487,25.92939130279254,0.32347076117221685,0.00200186017262552,0.0,0.0018352221481738346,0.1154700469553736,0.057735040684065646,0.11547001254261591,0.0,0.11547001254261591,0.0,0.11143357121588728,0.33358905944053213,0.0010715174990083322,0.0004854607729588857,0.17267611165515487,0.24212074499111094,0.0012053240450323364,0.33358905944053213,0.006671755679015036,0.002309405756893543,0.0004854607729588857,0.006671755679015036,0.11547001254261591,0.0,0.05773500627130796,0.0006026620225161684,0.0026515120783945382,0.33358905944053213,0.0012053240450323364,0.0012053240450323364,0.0007596616263604834,0.0018352221481738346
no_init_box_kenn_top_down_adapter_bert_ms,0.8902313510576884,0.8116777539253235,0.8666666547457377,0.8185607393582662,0.7803406715393066,0.9215804735819498,0.009742519197364649,0.009376259210209051,0.9141169786453247,0.6845342914263407,0.8809210459391276,0.8997534314791361,0.9333333373069763,0.8982456922531128,0.9333333373069763,0.8997534314791361,0.9333333571751913,0.6845342914263407,37.0,0.31333333333333335,0.8902313510576884,0.959999978542328,0.8502127528190613,0.9333333373069763,0.8666667540868124,0.9333333571751913,0.8727272748947144,0.9333333571751913,0.25,0.7497212092081705,0.6006813744703928,0.9141169786453247,0.9067772428194681,0.6845342914263407,0.6927697459856669,0.009742519197364649,0.6006813744703928,0.8844412366549174,0.8185607393582662,0.9067772428194681,0.8844412366549174,0.9333333571751913,0.800000011920929,0.8666666547457377,0.0090466250355045,0.9215804735819498,0.6006813744703928,0.009742519197364649,0.009742519197364649,0.8809210459391276,0.8502127528190613,0.0021536141952459465,0.055745025711612266,0.05773500627130796,0.002309405756893543,0.15801578848364756,0.0028465174238561713,0.0012053240450323364,0.000888133591765828,0.0011845754403605811,0.1719218255952503,0.0007596616263604834,0.0051309035284803385,0.1154700469553736,0.08508320336061995,0.1154700469553736,0.0051309035284803385,0.11547001254261591,0.1719218255952503,3.605551275463989,0.4178915329763614,0.0021536141952459465,0.0,0.0016975772123575953,0.1154700469553736,0.057735040684065646,0.11547001254261591,0.0,0.11547001254261591,0.0,0.11432883138951938,0.3160315606924869,0.0011845754403605811,0.0004854607729588857,0.1719218255952503,0.23775461805607173,0.0012053240450323364,0.3160315606924869,0.006320637835790334,0.002309405756893543,0.0004854607729588857,0.006320637835790334,0.11547001254261591,0.0,0.05773500627130796,0.0006026620225161684,0.0028465174238561713,0.3160315606924869,0.0012053240450323364,0.0012053240450323364,0.0007596616263604834,0.0016975772123575953
no_init_kenn_bottom_up_adapter_bert_ms,0.8788132071495056,0.6810723741849264,0.9333333373069764,0.864309549331665,0.5433341463406881,0.8893025716145834,0.010438413359224796,0.010078467428684236,0.9016995032628378,0.3156576007604599,0.8995614051818848,0.8598641951878866,1.0,0.965517282485962,1.0,0.8598641951878866,1.0,0.3156576007604599,22.666666666666668,0.2866666666666667,0.8788132071495056,0.8666666746139526,0.8772546847661337,1.0,0.9333333969116212,1.0,0.8666666746139526,1.0,0.375,0.3968445261319478,0.2200016292432944,0.9016995032628378,0.9149675369262696,0.3156576007604599,0.29461375375588733,0.010438413359224796,0.2200016292432944,0.8906036615371704,0.864309549331665,0.9149675369262696,0.8906036615371704,1.0,0.8666666746139526,0.9333333373069764,0.00974251888692379,0.8893025716145834,0.2200016292432944,0.010438413359224796,0.010438413359224796,0.8995614051818848,0.8772546847661337,0.024954986573401765,0.09883373508144284,0.0,0.0,0.12911059476596445,0.03646973909750002,0.0,0.0,0.018777005544415557,0.3190841833120694,0.0,0.04778200360278221,0.0,0.0,0.0,0.04778200360278221,0.0,0.3190841833120694,8.962886439832502,0.47056703383612986,0.024954986573401765,0.0,0.0025012598342916944,0.0,0.0,0.0,0.0,0.0,0.0,0.31595116647207344,0.25822117914910686,0.018777005544415557,0.0,0.3190841833120694,0.2978118971164897,0.0,0.25822117914910686,0.005164419993776843,0.0,0.0,0.005164419993776843,0.0,0.0,0.0,0.0,0.03646973909750002,0.25822117914910686,0.0,0.0,0.0,0.0025012598342916944
no_init_kenn_horizontal_adapter_bert_ms,0.8782315254211426,0.673052171866099,0.9333333373069764,0.864309549331665,0.5319861272970835,0.8822972377141317,0.010438413359224796,0.010078467428684236,0.8980822960535685,0.2921125714977582,0.8995614051818848,0.8585634032885233,1.0,0.965517282485962,1.0,0.8585634032885233,1.0,0.2921125714977582,19.333333333333332,0.31,0.8782315254211426,0.8666666746139526,0.8770354787508646,1.0,0.9333333969116212,1.0,0.8666666746139526,1.0,0.375,0.3765162577231725,0.1973055824637413,0.8980822960535685,0.9149675369262696,0.2921125714977582,0.27263838052749634,0.010438413359224796,0.1973055824637413,0.890149732430776,0.864309549331665,0.9149675369262696,0.890149732430776,1.0,0.8666666746139526,0.9333333373069764,0.00974251888692379,0.8822972377141317,0.1973055824637413,0.010438413359224796,0.010438413359224796,0.8995614051818848,0.8770354787508646,0.021932413009125105,0.08919465802438661,0.0,0.0,0.11442926587660913,0.03648292695921822,0.0,0.0,0.018707097579176067,0.2940498196041432,0.0,0.04242969459521378,0.0,0.0,0.0,0.04242969459521378,0.0,0.2940498196041432,11.930353445448855,0.5196152422706632,0.021932413009125105,0.0,0.0022182964331690807,0.0,0.0,0.0,0.0,0.0,0.0,0.29983681859870276,0.22885855557828266,0.018707097579176067,0.0,0.2940498196041432,0.2744464704862079,0.0,0.22885855557828266,0.004577162276245067,0.0,0.0,0.004577162276245067,0.0,0.0,0.0,0.0,0.03648292695921822,0.22885855557828266,0.0,0.0,0.0,0.0022182964331690807
no_init_kenn_hybrid_adapter_bert_ms,0.8947782715161642,0.7105194131533304,0.9277777671813965,0.8640873233477274,0.5814909736315409,0.9125860532124838,0.010322431102395058,0.009993171008924644,0.9137021700541178,0.4256354421377182,0.8994883100191752,0.8903068701426188,0.9888888796170553,0.9573458433151245,0.9888888796170553,0.8903068701426188,0.9888888994852701,0.4256354421377182,20.666666666666668,0.3633333333333333,0.8947782715161642,0.8666666746139526,0.8778805732727051,0.9888888796170553,0.9277778466542562,0.9888888994852701,0.8666666746139526,0.9888888994852701,0.375,0.5308196544647217,0.2963152428468068,0.9137021700541178,0.9149095416069031,0.4256354421377182,0.4006989002227783,0.010322431102395058,0.2963152428468068,0.8921299378077189,0.8640873233477274,0.9149095416069031,0.8921299378077189,0.9888888994852701,0.8666666746139526,0.9277777870496114,0.00968452791372935,0.9125860532124838,0.2963152428468068,0.010322431102395058,0.010322431102395058,0.8994883100191752,0.8778805732727051,0.01133136215639217,0.07863445731891636,0.009622529722516161,0.00038490669494186015,0.10994639946490115,0.015438261255606834,0.00020088716160560972,0.00014773773272733527,0.007726396814822005,0.2508229142498147,0.00012660453560044553,0.022418264904988595,0.01924502503227447,0.014153347814848992,0.01924502503227447,0.022418264904988595,0.019244990619516813,0.2508229142498147,10.016652800877813,0.43096790290383963,0.01133136215639217,0.0,0.0019399249059471498,0.01924502503227447,0.009622495309758422,0.019244990619516813,0.0,0.019244990619516813,0.0,0.2318206753178594,0.21989281865875415,0.007726396814822005,0.00010045083974396359,0.2508229142498147,0.23956056560076167,0.00020088716160560972,0.21989281865875415,0.004397873463211139,0.00038490669494186015,0.00010045083974396359,0.004397873463211139,0.019244990619516813,0.0,0.009622495309758422,0.00010044331195313502,0.015438261255606834,0.21989281865875415,0.00020088716160560972,0.00020088716160560972,0.00012660453560044553,0.0019399249059471498
no_init_kenn_top_down_adapter_bert_ms,0.8851186434427897,0.6853243708610535,0.9333333373069764,0.864309549331665,0.5477959712346395,0.8993176221847534,0.010438413359224796,0.010078467428684236,0.9069595336914062,0.33346253136793774,0.8995614051818848,0.8715869386990865,1.0,0.965517282485962,1.0,0.8715869386990865,1.0,0.33346253136793774,25.666666666666668,0.3466666666666667,0.8851186434427897,0.8666666746139526,0.8773418267567953,1.0,0.9333333969116212,1.0,0.8666666746139526,1.0,0.375,0.4242200255393982,0.22892526785532633,0.9069595336914062,0.9149675369262696,0.33346253136793774,0.31123170256614685,0.010438413359224796,0.22892526785532633,0.8907821575800577,0.864309549331665,0.9149675369262696,0.8907821575800577,1.0,0.8666666746139526,0.9333333373069764,0.00974251888692379,0.8993176221847534,0.22892526785532633,0.010438413359224796,0.010438413359224796,0.8995614051818848,0.8773418267567953,0.017901557580294245,0.09262381921304448,0.0,0.0,0.12144224421018049,0.02488227368001671,0.0,0.0,0.012636084367245809,0.29688597815597717,0.0,0.034819756674131154,0.0,0.0,0.0,0.034819756674131154,0.0,0.29688597815597717,7.505553499465135,0.505799696849784,0.017901557580294245,0.0,0.0023524834545304257,0.0,0.0,0.0,0.0,0.0,0.0,0.28721693386106195,0.24288449021901629,0.012636084367245809,0.0,0.29688597815597717,0.2770935838413477,0.0,0.24288449021901629,0.004857696259470564,0.0,0.0,0.004857696259470564,0.0,0.0,0.0,0.0,0.02488227368001671,0.24288449021901629,0.0,0.0,0.0,0.0023524834545304257
smart_init_box_adapter_bert_ms,0.8895508050918579,0.7956231435139974,0.8722222050031027,0.8187829653422037,0.743659238020579,0.9209618965784708,0.009858501454194387,0.009462952924271425,0.9138415654500326,0.6397320032119751,0.8809941411018372,0.8982903560002645,0.9444444378217062,0.9065509637196859,0.9444444378217062,0.8982903560002645,0.944444477558136,0.6397320032119751,32.0,0.3,0.8895508050918579,0.959999978542328,0.8496577938397726,0.9444444378217062,0.8722223043441772,0.944444457689921,0.8727272748947144,0.944444457689921,0.25,0.7182170152664185,0.5273184974988302,0.9138415654500326,0.9068352381388346,0.6397320032119751,0.6383158465226492,0.009858501454194387,0.5273184974988302,0.8829739689826965,0.8187829653422037,0.9068352381388346,0.8829739689826965,0.944444457689921,0.800000011920929,0.8722222050031027,0.009104616319139799,0.9209618965784708,0.5273184974988302,0.009858501454194387,0.009858501454194387,0.8809941411018372,0.8496577938397726,0.002513743344383498,0.053660102501801664,0.04811251096154957,0.001924499061951683,0.13468423204462648,0.003288835154270263,0.0010044368834267268,0.0007379756743129495,0.0014438019414445664,0.17528599196707625,0.0006330570907600138,0.005739802294782482,0.09622505633585686,0.07069805120986328,0.09622505633585686,0.005739802294782482,0.09622498751034145,0.17528599196707625,11.532562594670797,0.4167733196834942,0.002513743344383498,0.0,0.0014791796807341914,0.09622505633585686,0.048112545374307286,0.09622502192309917,0.0,0.09622502192309917,0.0,0.12306500679180027,0.26936845875384274,0.0014438019414445664,0.00038500993321497823,0.17528599196707625,0.22450125284751468,0.0010044368834267268,0.26936845875384274,0.005387343903701847,0.001924499061951683,0.00038500993321497823,0.005387343903701847,0.09622502192309917,0.0,0.04811251096154957,0.0005022181728636938,0.003288835154270263,0.26936845875384274,0.0010044368834267268,0.0010044368834267268,0.0006330570907600138,0.0014791796807341914
smart_init_classifier_adapter_bert_ms,0.9028754035631815,0.7624913255373637,0.9166666467984518,0.8636428713798523,0.6541431347529093,0.9235676527023315,0.01009046658873558,0.009822142620881399,0.9191778302192688,0.6009493668874105,0.8993421196937561,0.9064417680104574,0.9666666587193807,0.9409613013267517,0.9666666587193807,0.9064417680104574,0.9666666984558105,0.6009493668874105,6.333333333333333,0.6133333333333334,0.9028754035631815,0.8666666746139526,0.8790581027666727,0.9666666587193807,0.9166667262713114,0.9666666984558105,0.8666666746139526,0.9666666984558105,0.375,0.7000677784283956,0.4416195849577586,0.9191778302192688,0.9148322145144144,0.6009493668874105,0.5708503822485606,0.01009046658873558,0.4416195849577586,0.8950360218683878,0.8636428713798523,0.9148322145144144,0.8950360218683878,0.9666666984558105,0.8666666746139526,0.9166666666666666,0.00956854565689961,0.9235676527023315,0.4416195849577586,0.01009046658873558,0.01009046658873558,0.8993421196937561,0.8790581027666727,0.0016727464090201542,0.027812417328213285,0.01666668057442605,0.0006666779518127441,0.046937149571240164,0.0026140899538938016,0.00034794677048921585,0.0002565428593615443,0.0012354206813331577,0.08742510673399824,0.0002192854881286621,0.003564543815554827,0.033333331346516226,0.02457683946878203,0.033333331346516226,0.003564543815554827,0.0333333015441894,0.08742510673399824,0.5773502691896257,0.3837099599089569,0.0016727464090201542,0.0,0.0006206857651806373,0.033333331346516226,0.016666680574426024,0.0333333015441894,0.0,0.0333333015441894,0.0,0.06742022195220813,0.09387431633132177,0.0012354206813331577,0.0001459516864125543,0.08742510673399824,0.09036223363784053,0.00034794677048921585,0.09387431633132177,0.001877478270332271,0.0006666779518127441,0.0001459516864125543,0.001877478270332271,0.0333333015441894,0.0,0.016666680574426024,0.00017397338524481547,0.0026140899538938016,0.09387431633132177,0.00034794677048921585,0.00034794677048921585,0.0002192854881286621,0.0006206857651806373
