name,instance,run_id,test/micro/f1,test/micro/precision,test_incremental_only/macro_example/f1,test_incremental/macro_example/precision,test/macro_example/precision,test_incremental_only/micro/f1,test_pretraining/macro_types/recall,test_incremental/macro_types/precision,test_pretraining/macro_example/precision,test_pretraining/micro/f1,test_pretraining/macro_example/recall,test_incremental_people-ethnicity/macro_types/f1,test_incremental_only/macro_example_exclusive/precision,test_incremental_people/macro_types/recall,test_incremental_only/macro_example_exclusive/f1,test/macro_types/recall,test_incremental/micro/recall,test_pretraining/micro/precision,test/micro/recall,test_pretraining/macro_types/f1,test_incremental_only/macro_types/f1,test/macro_types/precision,test_incremental/macro_example_exclusive/f1,epoch,test_pretraining/macro_example/f1,test_incremental/macro_types/recall,test_incremental_only/macro_example/recall,test_incremental/macro_example_exclusive/precision,threshold_incremental,test/macro_types/f1,test_incremental/micro/f1,test_incremental/macro_example/f1,test_pretraining/macro_types/precision,test_incremental/macro_example_exclusive/recall,test/macro_example/recall,test_incremental/macro_types/f1,test_incremental/macro_example/recall,test_incremental_only/micro/precision,test_incremental_only/macro_types/recall,test_incremental_people-ethnicity/macro_types/precision,test/macro_example/f1,test_incremental/micro/precision,test_incremental_only/macro_example/precision,test_incremental_people-ethnicity/macro_types/recall,threshold_pretraining,test_pretraining/micro/recall,test_incremental_only/micro/recall,test_incremental_people/macro_types/f1,test_incremental_only/macro_types/precision,test_incremental_people/macro_types/precision,test_incremental_only/macro_example_exclusive/recall
no_init_box_kenn_horizontal_adapter_bert_ms,2,gzzd4crn,0.8916814923286438,0.9053748846054076,0.006958942394703627,0.011134307831525804,0.9245187044143676,0.7407407164573669,0.8116587400436401,0.970588207244873,0.9245187044143676,0.8916814923286438,0.9045349359512328,0.7407407164573669,0.5882353186607361,0.9411764740943908,0.5882353186607361,0.8116587400436401,0.7647058963775635,0.9053748846054076,0.8783961534500122,0.8501290678977966,0.7407407164573669,0.8924275636672974,0.843813419342041,37,0.9144176840782166,0.7647058963775635,0.006958942394703627,0.9411765336990356,0.01,0.8501290678977966,0.8524590730667114,0.009982483461499214,0.8924275636672974,0.7647058963775635,0.9045349359512328,0.8554336428642273,0.009046625345945358,1.0,0.5882353186607361,1.0,0.9144176840782166,0.9629629850387572,0.006958942394703627,0.5882353186607361,0.25,0.8783961534500122,0.5882353186607361,0.9411764740943908,1.0,0.9411764740943908,0.5882353186607361
no_init_box_kenn_horizontal_adapter_bert_ms,1,rychjac7,0.8896313309669495,0.9046432375907898,0.0017397355986759069,0.011134307831525804,0.9245187044143676,0.2439024448394775,0.80283522605896,0.8277311325073242,0.9245187044143676,0.8896313309669495,0.9032881259918212,0.2439024448394775,0.14705882966518402,0.9411764740943908,0.14705882966518402,0.80283522605896,0.5441176295280457,0.9046432375907898,0.8751095533370972,0.8426921963691711,0.2439024448394775,0.8867133259773254,0.6895749568939209,36,0.913780152797699,0.5441176295280457,0.0017397355986759069,0.9411765336990356,0.27,0.8426921963691711,0.6788990497589111,0.008157809264957905,0.8867133259773254,0.5441176891326904,0.9032881259918212,0.656607449054718,0.006437021307647228,0.7142857313156128,0.14705882966518402,0.7142857313156128,0.913780152797699,0.9024389982223512,0.0017397355986759069,0.14705882966518402,0.25,0.8751095533370972,0.14705882966518402,0.9411764740943908,0.7142857313156128,0.9411764740943908,0.14705882966518402
no_init_box_kenn_horizontal_adapter_bert_ms,0,h5kyysgf,0.8897550702095032,0.9046648740768432,0.002087682718411088,0.011134307831525804,0.9245187044143676,0.2857142984867096,0.8034234642982483,0.845588207244873,0.9245187044143676,0.8897550702095032,0.9032881259918212,0.2857142984867096,0.1764705926179886,0.9411764740943908,0.1764705926179886,0.8034234642982483,0.5588235259056091,0.9046648740768432,0.8753286600112915,0.8433388471603394,0.2857142984867096,0.887427568435669,0.70126873254776,63,0.913780152797699,0.5588235259056091,0.002087682718411088,0.9411765336990356,0.15000000000000002,0.8433388471603394,0.6909091472625732,0.008296150714159012,0.887427568435669,0.5588235259056091,0.9032881259918212,0.6729288101196289,0.0066109951585531235,0.75,0.1764705926179886,0.75,0.913780152797699,0.9047619104385376,0.002087682718411088,0.1764705926179886,0.25,0.8753286600112915,0.1764705926179886,0.9411764740943908,0.75,0.9411764740943908,0.1764705926179886
no_init_box_kenn_hybrid_adapter_bert_ms,2,6zllozn0,0.89192795753479,0.9054176211357116,0.007654836401343346,0.011134307831525804,0.9245187044143676,0.785714328289032,0.8128352165222168,0.970588207244873,0.9245187044143676,0.89192795753479,0.9047088623046876,0.785714328289032,0.6470588445663452,0.9411764740943908,0.6470588445663452,0.8128352165222168,0.7941176295280457,0.9054176211357116,0.8788343667984009,0.8507739305496216,0.785714328289032,0.8924275636672974,0.8614158034324646,37,0.914506494998932,0.7941176891326904,0.007654836401343346,0.9411765336990356,0.05,0.8507739305496216,0.8709678053855896,0.010190721601247787,0.8924275636672974,0.7941176891326904,0.9047088623046876,0.8735294342041016,0.009394571185112,1.0,0.6470588445663452,1.0,0.914506494998932,0.9642857313156128,0.007654836401343346,0.6470588445663452,0.25,0.8788343667984009,0.6470588445663452,0.9411764740943908,1.0,0.9411764740943908,0.6470588445663452
no_init_box_kenn_top_down_adapter_bert_ms,2,6ox0ljpo,0.892468273639679,0.9051374197006226,0.00974251888692379,0.011482255533337591,0.9245187044143676,0.875,0.8163646459579468,0.9372549057006836,0.9245187044143676,0.892468273639679,0.9056077599525452,0.875,0.8235294222831726,0.9411764740943908,0.8235294222831726,0.8163646459579468,0.8823529481887817,0.9051374197006226,0.8801490068435669,0.8520941138267517,0.875,0.8910942673683167,0.924369752407074,37,0.9149655103683472,0.8823529481887817,0.00974251888692379,0.9705882668495178,0.02,0.8520941138267517,0.9090909361839294,0.010935481637716292,0.8910942673683167,0.8823529481887817,0.9056077599525452,0.9089756608009338,0.010438414290547373,0.9333333373069764,0.8235294222831726,0.9333333373069764,0.9149655103683472,0.9375,0.00974251888692379,0.8235294222831726,0.25,0.8801490068435669,0.8235294222831726,0.9411764740943908,0.9333333373069764,0.9411764740943908,0.8235294222831726
no_init_box_kenn_bottom_up_adapter_bert_ms,2,gz4hikrn,0.89192795753479,0.9054176211357116,0.007654836401343346,0.011134307831525804,0.9245187044143676,0.785714328289032,0.8128352165222168,0.970588207244873,0.9245187044143676,0.89192795753479,0.9047088623046876,0.785714328289032,0.6470588445663452,0.9411764740943908,0.6470588445663452,0.8128352165222168,0.7941176295280457,0.9054176211357116,0.8788343667984009,0.8507739305496216,0.785714328289032,0.8924275636672974,0.8614158034324646,36,0.914506494998932,0.7941176891326904,0.007654836401343346,0.9411765336990356,0.02,0.8507739305496216,0.8709678053855896,0.010190721601247787,0.8924275636672974,0.7941176891326904,0.9047088623046876,0.8735294342041016,0.009394571185112,1.0,0.6470588445663452,1.0,0.914506494998932,0.9642857313156128,0.007654836401343346,0.6470588445663452,0.25,0.8788343667984009,0.6470588445663452,0.9411764740943908,1.0,0.9411764740943908,0.6470588445663452
no_init_box_kenn_hybrid_adapter_bert_ms,1,lnqui6qo,0.8897550702095032,0.9046648740768432,0.002087682718411088,0.011134307831525804,0.9245187044143676,0.2857142984867096,0.8034234642982483,0.845588207244873,0.9245187044143676,0.8897550702095032,0.9032881259918212,0.2857142984867096,0.1764705926179886,0.9411764740943908,0.1764705926179886,0.8034234642982483,0.5588235259056091,0.9046648740768432,0.8753286600112915,0.8433388471603394,0.2857142984867096,0.887427568435669,0.70126873254776,33,0.913780152797699,0.5588235259056091,0.002087682718411088,0.9411765336990356,0.73,0.8433388471603394,0.6909091472625732,0.008296150714159012,0.887427568435669,0.5588235259056091,0.9032881259918212,0.6729288101196289,0.0066109951585531235,0.75,0.1764705926179886,0.75,0.913780152797699,0.9047619104385376,0.002087682718411088,0.1764705926179886,0.25,0.8753286600112915,0.1764705926179886,0.9411764740943908,0.75,0.9411764740943908,0.1764705926179886
no_init_box_kenn_top_down_adapter_bert_ms,1,my939fj5,0.8906197547912598,0.9048157334327698,0.004523312672972679,0.011134307831525804,0.9246346950531006,0.5306122303009033,0.8075411319732666,0.903921604156494,0.9246346950531006,0.8906197547912598,0.9042449593544006,0.5306122303009033,0.38235294818878174,0.9411764740943908,0.38235294818878174,0.8075411319732666,0.6617646813392639,0.9048157334327698,0.8768624067306519,0.8466596007347107,0.5306122303009033,0.8897609710693359,0.7771182060241699,33,0.9143262505531312,0.6617647409439087,0.004523312672972679,0.9411765336990356,0.02,0.8466596007347107,0.7692307829856873,0.009193465113639832,0.8897609710693359,0.6617647409439087,0.9042449593544006,0.7641165852546692,0.007828810252249241,0.8666666746139526,0.38235294818878174,0.8666666746139526,0.9143262505531312,0.918367326259613,0.004523312672972679,0.38235294818878174,0.25,0.8768624067306519,0.38235294818878174,0.9411764740943908,0.8666666746139526,0.9411764740943908,0.38235294818878174
no_init_box_kenn_bottom_up_adapter_bert_ms,1,8e3w1kun,0.8897550702095032,0.9046648740768432,0.002087682718411088,0.011134307831525804,0.9245187044143676,0.2857142984867096,0.8034234642982483,0.845588207244873,0.9245187044143676,0.8897550702095032,0.9032881259918212,0.2857142984867096,0.1764705926179886,0.9411764740943908,0.1764705926179886,0.8034234642982483,0.5588235259056091,0.9046648740768432,0.8753286600112915,0.8433388471603394,0.2857142984867096,0.887427568435669,0.70126873254776,39,0.913780152797699,0.5588235259056091,0.002087682718411088,0.9411765336990356,0.31,0.8433388471603394,0.6909091472625732,0.008296150714159012,0.887427568435669,0.5588235259056091,0.9032881259918212,0.6729288101196289,0.0066109951585531235,0.75,0.1764705926179886,0.75,0.913780152797699,0.9047619104385376,0.002087682718411088,0.1764705926179886,0.25,0.8753286600112915,0.1764705926179886,0.9411764740943908,0.75,0.9411764740943908,0.1764705926179886
no_init_box_kenn_hybrid_adapter_bert_ms,0,1d1bau3k,0.8922221660614014,0.9050946831703186,0.009046625345945358,0.011134307831525804,0.9245187044143676,0.8387096524238586,0.8151881694793701,0.9348739385604858,0.9245187044143676,0.8922221660614014,0.9055787324905396,0.8387096524238586,0.7647058963775635,0.9411764740943908,0.7647058963775635,0.8151881694793701,0.8529411554336548,0.9050946831703186,0.8797107934951782,0.8514092564582825,0.8387096524238586,0.8909990191459656,0.8948891162872314,35,0.9149507284164428,0.8529411554336548,0.009046625345945358,0.9411765336990356,0.04,0.8514092564582825,0.8923077583312988,0.010586719028651714,0.8909990191459656,0.8529411554336548,0.9055787324905396,0.8920300602912903,0.01009046658873558,0.9285714030265808,0.7647058963775635,0.9285714030265808,0.9149507284164428,0.9354838728904724,0.009046625345945358,0.7647058963775635,0.25,0.8797107934951782,0.7647058963775635,0.9411764740943908,0.9285714030265808,0.9411764740943908,0.7647058963775635
