name,test/micro/f1/mean,test/micro/precision/mean,test_incremental_only/macro_example/f1/mean,test_incremental/macro_example/precision/mean,test/macro_example/precision/mean,test_incremental_only/micro/f1/mean,test_pretraining/macro_types/recall/mean,test_incremental/macro_types/precision/mean,test_pretraining/macro_example/precision/mean,test_pretraining/micro/f1/mean,test_pretraining/macro_example/recall/mean,test_incremental_people-ethnicity/macro_types/f1/mean,test_incremental_only/macro_example_exclusive/precision/mean,test_incremental_people/macro_types/recall/mean,test_incremental_only/macro_example_exclusive/f1/mean,test/macro_types/recall/mean,test_incremental/micro/recall/mean,test_pretraining/micro/precision/mean,test/micro/recall/mean,test_pretraining/macro_types/f1/mean,test_incremental_only/macro_types/f1/mean,test/macro_types/precision/mean,test_incremental/macro_example_exclusive/f1/mean,epoch/mean,test_pretraining/macro_example/f1/mean,test_incremental/macro_types/recall/mean,test_incremental_only/macro_example/recall/mean,test_incremental/macro_example_exclusive/precision/mean,threshold_incremental/mean,test/macro_types/f1/mean,test_incremental/micro/f1/mean,test_incremental/macro_example/f1/mean,test_pretraining/macro_types/precision/mean,test_incremental/macro_example_exclusive/recall/mean,test/macro_example/recall/mean,test_incremental/macro_types/f1/mean,test_incremental/macro_example/recall/mean,test_incremental_only/micro/precision/mean,test_incremental_only/macro_types/recall/mean,test_incremental_people-ethnicity/macro_types/precision/mean,test/macro_example/f1/mean,test_incremental/micro/precision/mean,test_incremental_only/macro_example/precision/mean,test_incremental_people-ethnicity/macro_types/recall/mean,threshold_pretraining/mean,test_pretraining/micro/recall/mean,test_incremental_only/micro/recall/mean,test_incremental_people/macro_types/f1/mean,test_incremental_only/macro_types/precision/mean,test_incremental_people/macro_types/precision/mean,test_incremental_only/macro_example_exclusive/recall/mean,test/micro/f1/std,test/micro/precision/std,test_incremental_only/macro_example/f1/std,test_incremental/macro_example/precision/std,test/macro_example/precision/std,test_incremental_only/micro/f1/std,test_pretraining/macro_types/recall/std,test_incremental/macro_types/precision/std,test_pretraining/macro_example/precision/std,test_pretraining/micro/f1/std,test_pretraining/macro_example/recall/std,test_incremental_people-ethnicity/macro_types/f1/std,test_incremental_only/macro_example_exclusive/precision/std,test_incremental_people/macro_types/recall/std,test_incremental_only/macro_example_exclusive/f1/std,test/macro_types/recall/std,test_incremental/micro/recall/std,test_pretraining/micro/precision/std,test/micro/recall/std,test_pretraining/macro_types/f1/std,test_incremental_only/macro_types/f1/std,test/macro_types/precision/std,test_incremental/macro_example_exclusive/f1/std,epoch/std,test_pretraining/macro_example/f1/std,test_incremental/macro_types/recall/std,test_incremental_only/macro_example/recall/std,test_incremental/macro_example_exclusive/precision/std,threshold_incremental/std,test/macro_types/f1/std,test_incremental/micro/f1/std,test_incremental/macro_example/f1/std,test_pretraining/macro_types/precision/std,test_incremental/macro_example_exclusive/recall/std,test/macro_example/recall/std,test_incremental/macro_types/f1/std,test_incremental/macro_example/recall/std,test_incremental_only/micro/precision/std,test_incremental_only/macro_types/recall/std,test_incremental_people-ethnicity/macro_types/precision/std,test/macro_example/f1/std,test_incremental/micro/precision/std,test_incremental_only/macro_example/precision/std,test_incremental_people-ethnicity/macro_types/recall/std,threshold_pretraining/std,test_pretraining/micro/recall/std,test_incremental_only/micro/recall/std,test_incremental_people/macro_types/f1/std,test_incremental_only/macro_types/precision/std,test_incremental_people/macro_types/precision/std,test_incremental_only/macro_example_exclusive/recall/std
no_init_box_kenn_bottom_up_adapter_bert_ms,0.8911375800768534,0.9050305088361105,0.005799118507032593,0.011134307831525804,0.9245187044143676,0.6100164552529653,0.8096979657808939,0.9150326649347941,0.9245187044143676,0.8911375800768534,0.9043705860773722,0.6100164552529653,0.490196093916893,0.9411764740943908,0.490196093916893,0.8096979657808939,0.7156862616539001,0.9050305088361105,0.8776657978693644,0.8480428655942281,0.6100164552529653,0.8902053435643514,0.8080334464708964,36.666666666666664,0.9143334825833639,0.71568630139033,0.005799118507032593,0.9411765336990356,0.12,0.8480428655942281,0.8063399394353231,0.009559198593099913,0.8902053435643514,0.71568630139033,0.9043705860773722,0.8009015321731567,0.00846671313047409,0.8888888955116272,0.490196093916893,0.8888888955116272,0.9143334825833639,0.9333607157071432,0.005799118507032593,0.490196093916893,0.25,0.8776657978693644,0.490196093916893,0.9411764740943908,0.8888888955116272,0.9411764740943908,0.490196093916893,0.001201384794645999,0.0003768328504958908,0.0032141976774609556,0.0,0.0,0.281180426608615,0.005433877680054284,0.06364688898776838,0.0,0.001201384794645999,0.0009591559460370835,0.281180426608615,0.27169425393985913,0.0,0.27169425393985913,0.005433877680054284,0.13584711406514544,0.0003768328504958908,0.0020240207572375037,0.004091396500294861,0.281180426608615,0.0025458729581506064,0.09246095448521428,2.081665999466132,0.0004902797413936902,0.13584714847790313,0.0032141976774609556,0.0,0.1646207763315433,0.004091396500294861,0.10020470585676419,0.0010938315493592681,0.0025458729581506064,0.13584714847790313,0.0009591559460370835,0.11116402036301609,0.001607098905943165,0.12729377147212936,0.27169425393985913,0.12729377147212936,0.0004902797413936902,0.02983001431210688,0.0032141976774609556,0.27169425393985913,0.0,0.0020240207572375037,0.27169425393985913,0.0,0.12729377147212936,0.0,0.27169425393985913
no_init_box_kenn_horizontal_adapter_bert_ms,0.8903559645016988,0.9048943320910136,0.0035954535705968738,0.011134307831525804,0.9245187044143676,0.423452486594518,0.8059724768002828,0.8813025156656901,0.9245187044143676,0.8903559645016988,0.903703729311625,0.423452486594518,0.30392158031463623,0.9411764740943908,0.30392158031463623,0.8059724768002828,0.6225490172704061,0.9048943320910136,0.8762781222661337,0.8453867038091024,0.423452486594518,0.8888561526934305,0.7448857029279073,45.333333333333336,0.9139926632245382,0.6225490172704061,0.0035954535705968738,0.9411765336990356,0.14333333333333334,0.8453867038091024,0.7407557566960653,0.00881214781353871,0.8888561526934305,0.622549037138621,0.903703729311625,0.7283233006795248,0.00736488060404857,0.8214285771052042,0.30392158031463623,0.8214285771052042,0.9139926632245382,0.9233879645665487,0.0035954535705968738,0.30392158031463623,0.25,0.8762781222661337,0.30392158031463623,0.9411764740943908,0.8214285771052042,0.9411764740943908,0.30392158031463623,0.0011496068306343186,0.0004163112702054521,0.002918057504908235,0.0,0.0,0.2755738075062277,0.004933223926714444,0.0778374576931013,0.0,0.0011496068306343186,0.0007198460656945978,0.2755738075062277,0.24666168999106627,0.0,0.24666168999106627,0.004933223926714444,0.12333085402762008,0.0004163112702054521,0.0018375374841294338,0.004119715059774443,0.2755738075062277,0.0031134816252094944,0.0858731966532458,15.307950004273378,0.0003680788564236386,0.12333085402762008,0.002918057504908235,0.0,0.13012814197295425,0.004119715059774443,0.09692411349433314,0.0010158979947844737,0.0031134816252094944,0.12333083507504644,0.0007198460656945978,0.11038286109938866,0.0014590290462745687,0.15567495640891996,0.24666168999106627,0.15567495640891996,0.0003680788564236386,0.03429264737990961,0.002918057504908235,0.24666168999106627,0.0,0.0018375374841294338,0.24666168999106627,0.0,0.15567495640891996,0.0,0.24666168999106627
no_init_box_kenn_hybrid_adapter_bert_ms,0.8913017312685648,0.9050590594609579,0.006263048155233264,0.011134307831525804,0.9245187044143676,0.6367127597332001,0.8104822834332784,0.9170167843500773,0.9245187044143676,0.8913017312685648,0.9045252402623495,0.6367127597332001,0.5294117778539658,0.9411764740943908,0.5294117778539658,0.8104822834332784,0.7352941036224365,0.9050590594609579,0.8779579401016235,0.8485073447227478,0.6367127597332001,0.8902847170829773,0.8191912174224854,35.0,0.9144124587376913,0.7352941234906515,0.006263048155233264,0.9411765336990356,0.2733333333333334,0.8485073447227478,0.8180615703264872,0.00969119711468617,0.8902847170829773,0.7352941234906515,0.9045252402623495,0.8128294348716736,0.008698677644133568,0.8928571343421936,0.5294117778539658,0.8928571343421936,0.9144124587376913,0.9348438382148743,0.006263048155233264,0.5294117778539658,0.25,0.8779579401016235,0.5294117778539658,0.9411764740943908,0.8928571343421936,0.9411764740943908,0.5294117778539658,0.0013475013870108223,0.0003776358300800237,0.0036823262368828793,0.0,0.0,0.3051263114565702,0.006225294578607862,0.06438484656633682,0.0,0.0013475013870108223,0.0011562903285148632,0.3051263114565702,0.31126486691690747,0.0,0.31126486691690747,0.006225294578607862,0.15563242078620726,0.0003776358300800237,0.0023188070820506657,0.0044873082178540505,0.3051263114565702,0.0025753948545744814,0.10348623095678307,2.0,0.000590926335189487,0.15563243205042973,0.0036823262368828793,0.0,0.39551653989856517,0.0044873082178540505,0.11063296261150966,0.0012242627721798414,0.0025753948545744814,0.15563243205042973,0.0011562903285148632,0.12151011026212512,0.0018411630084393977,0.12876968486699597,0.31126486691690747,0.12876968486699597,0.000590926335189487,0.02976707150932065,0.0036823262368828793,0.31126486691690747,0.0,0.0023188070820506657,0.31126486691690747,0.0,0.12876968486699597,0.0,0.31126486691690747
no_init_box_kenn_top_down_adapter_bert_ms,0.8920160929361979,0.9050586819648743,0.00846671313047409,0.011366272966066996,0.9246540069580078,0.782262901465098,0.8142077922821045,0.9274509946505228,0.9246540069580078,0.8920160929361979,0.9053661227226257,0.782262901465098,0.7156862815221151,0.9411764740943908,0.7156862815221151,0.8142077922821045,0.8284313678741455,0.9050586819648743,0.8793456157048544,0.85073322057724,0.782262901465098,0.8907021284103394,0.8857146898905436,33.333333333333336,0.9149082700411478,0.8284313877423605,0.00846671313047409,0.9607843557993571,0.016666666666666666,0.85073322057724,0.8731660644213358,0.01047818393756946,0.8907021284103394,0.8284313877423605,0.9053661227226257,0.8714229067166647,0.009800510791440805,0.9137254953384399,0.7156862815221151,0.9137254953384399,0.9149082700411478,0.9323479334513346,0.00846671313047409,0.7156862815221151,0.25,0.8793456157048544,0.7156862815221151,0.9411764740943908,0.9137254953384399,0.9411764740943908,0.7156862815221151,0.001234030161274192,0.00021469607113590525,0.0034852653403644692,0.00020088769930494687,0.00014592010774092882,0.22043338371021218,0.0058921444873424504,0.020471170885711428,0.00014592010774092882,0.001234030161274192,0.001021998551147666,0.22043338371021218,0.2946074346198704,0.0,0.2946074346198704,0.0058921444873424504,0.14730373416984144,0.00021469607113590525,0.0021947154817597066,0.003592025516785741,0.22043338371021218,0.0008188318776735433,0.09533942675182382,3.511884584284247,0.0005556151127881775,0.14730370045002894,0.0034852653403644692,0.016980872051764333,0.005773502691896258,0.003592025516785741,0.09142908443751101,0.0011278850471569978,0.0008188318776735433,0.14730370045002894,0.001021998551147666,0.09431441068823386,0.001742632840640881,0.04094237602595994,0.2946074346198704,0.04094237602595994,0.0005556151127881775,0.012246311629572149,0.0034852653403644692,0.2946074346198704,0.0,0.0021947154817597066,0.2946074346198704,0.0,0.04094237602595994,0.0,0.2946074346198704
no_init_kenn_bottom_up_adapter_bert_ms,0.9051316777865092,0.9107609788576764,0.011714219736556212,0.011714219426115354,0.9269175926844279,0.8035075863202413,0.864113469918569,0.7793409824371338,0.9269175926844279,0.9051316777865092,0.9145809014638265,0.8035075863202413,0.9901960889498392,0.9411764740943908,0.9901960889498392,0.864113469918569,0.9656862616539001,0.9107609788576764,0.8995764056841532,0.8817269404729208,0.8035075863202413,0.9000799655914307,0.9777762095133463,23.333333333333332,0.9207072655359904,0.9656862417856852,0.011714219426115354,0.9901960889498392,0.17,0.8817269404729208,0.8433388670285543,0.011567288699249426,0.9000799655914307,0.96568630139033,0.9145809014638265,0.8599895040194193,0.01142426331837972,0.6938170393308004,0.9901960690816244,0.6938170393308004,0.9207072655359904,0.7563852866490682,0.011714219426115354,0.9901960690816244,0.375,0.8995764056841532,0.9901960690816244,0.9014084339141846,0.6938170393308004,0.8648648858070374,0.9901960889498392,0.0017492875908722736,0.0036070443476125874,0.00020088769930494798,0.00020088662390627154,0.0018836636656493456,0.14555283710147757,0.00033961950580074085,0.09912606792809367,0.0018836636656493456,0.0017492875908722736,6.69672264958422e-05,0.14555283710147757,0.016980872051764333,0.0,0.016980872051764333,0.00033961950580074085,0.00849041881950331,0.0036070443476125874,0.0001265012973273515,0.0018096089346345003,0.14555283710147757,0.003965071721724172,0.01264135447951936,4.509249752822894,0.0009147458446387838,0.008490453232261023,0.00020088662390627154,0.016980872051764333,0.18193405398660253,0.0018096089346345003,0.0881625882289628,0.0001495492418009548,0.003965071721724172,0.008490453232261023,6.69672264958422e-05,0.061101329392486955,0.00010044384965247431,0.1982521555763065,0.016980906464522022,0.1982521555763065,0.0009147458446387838,0.135771865863438,0.00020088662390627154,0.016980906464522022,0.0,0.0001265012973273515,0.016980906464522022,0.0,0.1982521555763065,0.0,0.016980872051764333
no_init_kenn_horizontal_adapter_bert_ms,0.9031223257382711,0.907217780749003,0.010902343007425467,0.011598236858844757,0.9233260154724121,0.6244752804438273,0.8627409140268961,0.6698927680651346,0.9233260154724121,0.9031223257382711,0.9143682916959127,0.6244752804438273,0.9215686321258545,0.9411764740943908,0.9215686321258545,0.8627409140268961,0.9313725431760153,0.907217780749003,0.8990651567776998,0.8789119323094686,0.6244752804438273,0.895702064037323,0.9545837243398031,27.333333333333332,0.9188250700632731,0.9313725431760153,0.01090234269698461,0.9803921580314636,0.12000000000000001,0.8789119323094686,0.7380262215932211,0.011292917653918266,0.895702064037323,0.9313725630442301,0.9143682916959127,0.7788414359092712,0.011018325574696064,0.474920650323232,0.9215686321258545,0.474920650323232,0.9188250700632731,0.6127351522445679,0.01090234269698461,0.9215686321258545,0.375,0.8990651567776998,0.9215686321258545,0.9014084339141846,0.474920650323232,0.8648648858070374,0.9215686321258545,0.0011507633231300784,0.0020473756104662883,0.0010629963650069033,0.00040177432321121905,0.001194228439509681,0.08632649201087182,0.0017970975054708914,0.04386469987288036,0.001194228439509681,0.0011507633231300784,0.0002614867405502246,0.08632649201087182,0.08985442003554986,0.0,0.08985442003554986,0.0017970975054708914,0.044927197010976486,0.0020473756104662883,0.0006693819465103691,0.0015283417341309812,0.08632649201087182,0.0017545969159114372,0.026469865201939863,11.150485789118488,0.0006260367813102065,0.044927197010976486,0.0010629959585444675,0.03396177851628638,0.09539392014169458,0.0015283417341309812,0.054809240798275954,0.00031314295587453597,0.0017545969159114372,0.04492722302457617,0.0002614867405502246,0.039320972289444055,0.0005314974711940852,0.08772940880461949,0.08985442003554986,0.08772940880461949,0.0006260367813102065,0.06687038465237939,0.0010629959585444675,0.08985442003554986,0.0,0.0006693819465103691,0.08985442003554986,0.0,0.08772940880461949,0.0,0.08985442003554986
no_init_kenn_hybrid_adapter_bert_ms,0.9058009187380472,0.9124135573705038,0.011250290088355541,0.0112502903987964,0.9278106490770975,0.8517852624257406,0.8633291522661845,0.8217975298563639,0.9278106490770975,0.9058009187380472,0.9144262870152792,0.8517852624257406,0.9509804050127665,0.9411764740943908,0.9509804050127665,0.8633291522661845,0.9460784395535787,0.9124135573705038,0.8992842634518942,0.882133424282074,0.8517852624257406,0.9017782211303711,0.9485107262929281,22.0,0.9210698008537292,0.9460784196853638,0.0112502903987964,0.9509804050127665,0.3,0.882133424282074,0.8745812376340231,0.01122107325742642,0.9017782211303711,0.9460784395535787,0.9144262870152792,0.8785145282745361,0.011192298804720243,0.7787301739056905,0.9509803851445516,0.7787301739056905,0.9210698008537292,0.8153806527455648,0.0112502903987964,0.9509803851445516,0.375,0.8992842634518942,0.9509803851445516,0.9014084339141846,0.7787301739056905,0.8648648858070374,0.9509804050127665,0.0006403167622551264,0.0014100843859331258,0.00020088716160560844,0.00020088769930494687,0.0004696150909725205,0.07140479840198977,0.0003396195058007649,0.06398754555799514,0.0004696150909725205,0.0006403167622551264,6.693281373828039e-05,0.07140479840198977,0.016980906464522078,0.0,0.016980906464522078,0.0003396195058007649,0.00849045323226108,0.0014100843859331258,0.00012650129732732745,0.0010869180855256552,0.07140479840198977,0.002559500228473423,0.01270329744339022,3.605551275463989,0.0002144447887986761,0.00849041881950339,0.00020088769930494687,0.016980906464522078,0.38157568056677826,0.0010869180855256552,0.03793351930705437,0.00015028212600022114,0.002559500228473423,0.00849045323226108,6.693281373828039e-05,0.03357973724831148,0.00010044331195313452,0.1279750911159903,0.01698087205176439,0.1279750911159903,0.0002144447887986761,0.07102711318230268,0.00020088769930494687,0.01698087205176439,0.0,0.00012650129732732745,0.01698087205176439,0.0,0.1279750911159903,0.0,0.016980906464522078
no_init_kenn_top_down_adapter_bert_ms,0.9040344953536987,0.9086291988690695,0.011598237169285616,0.011598237479726473,0.9256437023480734,0.7430365482966105,0.8639173905054728,0.7485788663228353,0.9256437023480734,0.9040344953536987,0.9145422379175822,0.7430365482966105,0.9803921778996786,0.9411764740943908,0.9803921778996786,0.8639173905054728,0.9607843160629272,0.9086291988690695,0.8995033701260885,0.8810314734776815,0.7430365482966105,0.8988494873046875,0.9704777201016744,23.0,0.9200566212336222,0.9607842763264974,0.011598237479726473,0.9803921778996786,0.38000000000000006,0.8810314734776815,0.8004620472590128,0.011480946404238542,0.8988494873046875,0.9607843359311422,0.9145422379175822,0.8365119894345602,0.011366272034744421,0.6322928369045258,0.9803921381632487,0.6322928369045258,0.9200566212336222,0.7044052879015604,0.011598237479726473,0.9803921381632487,0.375,0.8995033701260885,0.9803921381632487,0.9014084339141846,0.6322928369045258,0.8648648858070374,0.9803921778996786,0.003303676052565385,0.00678830769765977,0.0002008876993049486,0.00020088662390627216,0.003941212288791471,0.21416034428053493,0.00033961950580074085,0.1333956089199829,0.003941212288791471,0.003303676052565385,6.696722649582616e-05,0.21416034428053493,0.016980872051764333,0.0,0.016980872051764333,0.00033961950580074085,0.00849041881950331,0.00678830769765977,0.0001265012973273515,0.002396057227093665,0.21416034428053493,0.0053358188383267734,0.012641354479519345,4.0,0.00191552732715297,0.008490453232261023,0.00020088662390627216,0.016980872051764333,0.29546573405388316,0.002396057227093665,0.1425169764834668,0.0001495492418009548,0.0053358188383267734,0.008490453232261023,6.696722649582616e-05,0.08487647419988496,0.00010044384965247431,0.26679117725242113,0.016980906464522022,0.26679117725242113,0.00191552732715297,0.20207105861632474,0.00020088662390627216,0.016980906464522022,0.0,0.0001265012973273515,0.016980906464522022,0.0,0.26679117725242113,0.0,0.016980872051764333
smart_init_box_adapter_bert_ms,0.891242504119873,0.9020957748095194,0.01055439623693625,0.01136627234518528,0.9230998357137045,0.7834299008051554,0.8177372018496195,0.8510214885075887,0.9230998357137045,0.891242504119873,0.9060233235359192,0.7834299008051554,0.8921568791071574,0.9411764740943908,0.8921568791071574,0.8177372018496195,0.9166666467984518,0.9020957748095194,0.8806602557500204,0.851246178150177,0.7834299008051554,0.887644906838735,0.9379098415374756,6.666666666666667,0.9144803484280905,0.9166666467984518,0.010554395926495394,0.9607843557993571,0.4266666666666667,0.851246178150177,0.84767746925354,0.011095662290851275,0.887644906838735,0.9166666865348816,0.9060233235359192,0.8745404481887817,0.010844352034231028,0.7608664929866791,0.8921568592389425,0.7608664929866791,0.9144803484280905,0.8149159550666809,0.010554395926495394,0.8921568592389425,0.25,0.8806602557500204,0.8921568592389425,0.9411764740943908,0.7608664929866791,0.9411764740943908,0.8921568791071574,0.0022507026386882033,0.005287084798452973,0.0014062115523018088,0.0004017743232112182,0.002507893784236741,0.17621101009969545,0.0023773365406052544,0.14994741081894505,0.002507893784236741,0.0022507026386882033,0.000468738630941818,0.17621101009969545,0.11886622726505765,0.0,0.11886622726505765,0.0023773365406052544,0.05943311363252878,0.005287084798452973,0.0008855090812913917,0.001950377251732786,0.17621101009969545,0.005997898260591697,0.045235386616097585,1.1547005383792517,0.0010567405731408495,0.05943311363252878,0.0014062111298238122,0.03396174410352867,0.39106691669499904,0.001950377251732786,0.11468058505075404,0.0005351434119114747,0.005997898260591697,0.05943314558723558,0.000468738630941818,0.06920888372990057,0.0007031059489829467,0.2998948388414676,0.11886622234894939,0.2998948388414676,0.0010567405731408495,0.21301295006106102,0.0014062111298238122,0.11886622234894939,0.0,0.0008855090812913917,0.11886622234894939,0.0,0.2998948388414676,0.0,0.11886622726505765
smart_init_classifier_adapter_bert_ms,0.906220277150472,0.9134154121081034,0.011018324953814348,0.0112502903987964,0.9282165964444479,0.8989667097727457,0.8629369934399923,0.8705637454986572,0.9282165964444479,0.906220277150472,0.9143489599227905,0.8989667097727457,0.9313725829124451,0.9411764740943908,0.9313725829124451,0.8629369934399923,0.936274508635203,0.9134154121081034,0.8991381923357645,0.8828605016072592,0.8989667097727457,0.9037288824717203,0.9435701767603556,5.0,0.9212305545806885,0.9362744887669882,0.011018325264255205,0.9509804050127665,0.6566666666666667,0.8828605016072592,0.8995233774185181,0.01116262593617042,0.9037288824717203,0.936274508635203,0.9143489599227905,0.9012281894683838,0.011076316858331362,0.8762626250584921,0.9313725233078003,0.8762626250584921,0.9212305545806885,0.8674896955490112,0.011018325264255205,0.9313725233078003,0.375,0.8991381923357645,0.9313725233078003,0.9014084339141846,0.8762626250584921,0.8648648858070374,0.9313725829124451,0.000380295385409285,0.0010333462883964665,0.0004017748609105583,0.00020088769930494687,0.00018414266648486923,0.04573727359916436,0.0006792390116014817,0.05467333763096064,0.00018414266648486923,0.000380295385409285,0.0001339000402342187,0.04573727359916436,0.033961778516286276,0.0,0.033961778516286276,0.0006792390116014817,0.016980906464522046,0.0010333462883964665,0.000253002594654703,0.0006893907751247908,0.04573727359916436,0.0021869307522177643,0.016981938847253228,0.0,2.271242008608788e-05,0.01698087205176431,0.0004017753986098967,0.016980906464522078,0.37166292972710285,0.0006893907751247908,0.023417434253099015,0.0002008989909910704,0.0021869307522177643,0.016980906464522046,0.0001339000402342187,0.0223604808129162,0.0002008866239062708,0.10934664084916376,0.033961778516286276,0.10934664084916376,2.271242008608788e-05,0.05630945778333592,0.0004017753986098967,0.033961778516286276,0.0,0.000253002594654703,0.033961778516286276,0.0,0.10934664084916376,0.0,0.033961778516286276
