name,test_incremental/macro_example_exclusive/recall/mean,test_incremental/macro_example/recall/mean,test_incremental_only/micro/precision/mean,test_incremental/macro_example_exclusive/f1/mean,test_incremental_only/macro_example/precision/mean,test_pretraining/macro_types/f1/mean,test_incremental_only/micro/recall/mean,test_pretraining/macro_types/recall/mean,test_incremental_only/macro_example_exclusive/f1/mean,test/micro/recall/mean,test_incremental_only/micro/f1/mean,test_incremental_only/macro_example_exclusive/precision/mean,test_incremental/macro_example/f1/mean,test_pretraining/macro_example/recall/mean,threshold_incremental/mean,threshold_pretraining/mean,test_pretraining/micro/precision/mean,test_pretraining/macro_example/f1/mean,test/micro/precision/mean,test_incremental_only/macro_example/f1/mean,test_incremental_only/macro_example/recall/mean,test_incremental_only/macro_types/precision/mean,test_incremental_religion-religion/macro_types/recall/mean,test_pretraining/micro/f1/mean,test_incremental/micro/precision/mean,test_incremental/macro_types/recall/mean,epoch/mean,test_incremental_only/macro_types/recall/mean,test_pretraining/macro_example/precision/mean,test_incremental/macro_example_exclusive/precision/mean,test_incremental_religion-religion/macro_types/precision/mean,test/macro_types/recall/mean,test/macro_types/precision/mean,test_incremental_only/macro_example_exclusive/recall/mean,test/macro_example/precision/mean,test_pretraining/micro/recall/mean,test_incremental/macro_types/precision/mean,test/macro_types/f1/mean,test/micro/f1/mean,test_incremental_religion-religion/macro_types/f1/mean,test_incremental/macro_example/precision/mean,test/macro_example/recall/mean,test_incremental/macro_types/f1/mean,test_incremental_only/macro_types/f1/mean,test/macro_example/f1/mean,test_incremental/micro/f1/mean,test_incremental/micro/recall/mean,test_pretraining/macro_types/precision/mean,test_incremental/macro_example_exclusive/recall/std,test_incremental/macro_example/recall/std,test_incremental_only/micro/precision/std,test_incremental/macro_example_exclusive/f1/std,test_incremental_only/macro_example/precision/std,test_pretraining/macro_types/f1/std,test_incremental_only/micro/recall/std,test_pretraining/macro_types/recall/std,test_incremental_only/macro_example_exclusive/f1/std,test/micro/recall/std,test_incremental_only/micro/f1/std,test_incremental_only/macro_example_exclusive/precision/std,test_incremental/macro_example/f1/std,test_pretraining/macro_example/recall/std,threshold_incremental/std,threshold_pretraining/std,test_pretraining/micro/precision/std,test_pretraining/macro_example/f1/std,test/micro/precision/std,test_incremental_only/macro_example/f1/std,test_incremental_only/macro_example/recall/std,test_incremental_only/macro_types/precision/std,test_incremental_religion-religion/macro_types/recall/std,test_pretraining/micro/f1/std,test_incremental/micro/precision/std,test_incremental/macro_types/recall/std,epoch/std,test_incremental_only/macro_types/recall/std,test_pretraining/macro_example/precision/std,test_incremental/macro_example_exclusive/precision/std,test_incremental_religion-religion/macro_types/precision/std,test/macro_types/recall/std,test/macro_types/precision/std,test_incremental_only/macro_example_exclusive/recall/std,test/macro_example/precision/std,test_pretraining/micro/recall/std,test_incremental/macro_types/precision/std,test/macro_types/f1/std,test/micro/f1/std,test_incremental_religion-religion/macro_types/f1/std,test_incremental/macro_example/precision/std,test/macro_example/recall/std,test_incremental/macro_types/f1/std,test_incremental_only/macro_types/f1/std,test/macro_example/f1/std,test_incremental/micro/f1/std,test_incremental/micro/recall/std,test_pretraining/macro_types/precision/std
no_init_box_kenn_bottom_up_adapter_bert_ms,0.8541666666666666,0.009510554373264313,0.9646658102671305,0.8541666666666666,0.009510554373264313,0.8527143001556396,0.8541666666666666,0.8169773618380228,0.8541666666666666,0.8803886969884237,0.9058071573575338,0.8541666666666666,0.009510554373264313,0.9059943358103434,0.02,0.25,0.9053272207578025,0.9152196049690247,0.9053272207578025,0.009510554373264313,0.009510554373264313,0.9646658102671305,0.8541666666666666,0.8926838040351868,0.9646658102671305,0.8541666666666666,42.333333333333336,0.8541666666666666,0.9246346950531006,0.8541666666666666,0.9646658102671305,0.8169773618380228,0.8917209108670553,0.8541666666666666,0.9246346950531006,0.8803886969884237,0.9646658102671305,0.8527143001556396,0.8926838040351868,0.9058071573575338,0.009510554373264313,0.9059943358103434,0.9058071573575338,0.9058071573575338,0.9152196049690247,0.9058071573575338,0.8541666666666666,0.8917209108670553,0.036084391824351594,0.00040177432321121943,0.001474689905976382,0.036084391824351594,0.00040177432321121943,0.0004066555578120832,0.036084391824351594,0.0007216699418530091,0.036084391824351594,0.00025310583292782106,0.02117537426303617,0.036084391824351594,0.00040177432321121943,0.00013393445299182859,0.017320508075688773,0.0,2.4639534517529063e-05,6.834373680416326e-05,2.4639534517529063e-05,0.00040177432321121943,0.00040177432321121943,0.001474689905976382,0.036084391824351594,0.00014205586381046625,0.001474689905976382,0.036084391824351594,9.073771725877467,0.036084391824351594,0.0,0.036084391824351594,0.001474689905976382,0.0007216699418530091,2.949173335407842e-05,0.036084391824351594,0.0,0.00025310583292782106,0.001474689905976382,0.0004066555578120832,0.00014205586381046625,0.02117537426303617,0.00040177432321121943,0.00013393445299182859,0.02117537426303617,0.02117537426303617,6.834373680416326e-05,0.02117537426303617,0.036084391824351594,2.949173335407842e-05
no_init_box_kenn_horizontal_adapter_bert_ms,0.78125,0.008698677954574427,0.9610085487365723,0.78125,0.008698677954574427,0.8518850008646647,0.78125,0.8155190348625183,0.78125,0.8798772295316061,0.8590554793675741,0.78125,0.008698677954574427,0.9056464036305746,0.02,0.25,0.9052773714065552,0.9150230685869852,0.9052773714065552,0.008698677954574427,0.008698677954574427,0.9610085487365723,0.78125,0.8923965096473694,0.9610085487365723,0.78125,51.333333333333336,0.78125,0.9245960315068563,0.78125,0.9610085487365723,0.8155190348625183,0.8916477560997009,0.78125,0.9245960315068563,0.8798772295316061,0.9610085487365723,0.8518850008646647,0.8923965096473694,0.8590554793675741,0.008698677954574427,0.9056464036305746,0.8590554793675741,0.8590554793675741,0.9150230685869852,0.8590554793675741,0.78125,0.8916477560997009,0.11267347735824966,0.0012545409553406334,0.0057410696064411106,0.11267347735824966,0.0012545409553406334,0.0012823670751105805,0.11267347735824966,0.0022534632652959218,0.11267347735824966,0.0007903392413770311,0.07273824021878922,0.11267347735824966,0.0012545409553406334,0.0005480831062166942,0.01,0.0,7.703611531750529e-05,0.00031190632410914185,7.703611531750529e-05,0.0012545409553406334,0.0012545409553406334,0.0057410696064411106,0.11267347735824966,0.00044396605984972046,0.0057410696064411106,0.11267347735824966,31.021497922139954,0.11267347735824966,6.696722649593834e-05,0.11267347735824966,0.0057410696064411106,0.0022534632652959218,0.0001148381052406337,0.11267347735824966,6.696722649593834e-05,0.0007903392413770311,0.0057410696064411106,0.0012823670751105805,0.00044396605984972046,0.07273824021878922,0.0012545409553406334,0.0005480831062166942,0.07273824021878922,0.07273824021878922,0.00031190632410914185,0.07273824021878922,0.11267347735824966,0.0001148381052406337
no_init_box_kenn_hybrid_adapter_bert_ms,0.8541666666666666,0.009510554373264313,0.9646658102671305,0.8541666666666666,0.009510554373264313,0.8527143001556396,0.8541666666666666,0.8169773618380228,0.8541666666666666,0.8803886969884237,0.9058071573575338,0.8541666666666666,0.009510554373264313,0.9059943358103434,0.04,0.25,0.9053272207578025,0.9152196049690247,0.9053272207578025,0.009510554373264313,0.009510554373264313,0.9646658102671305,0.8541666666666666,0.8926838040351868,0.9646658102671305,0.8541666666666666,42.0,0.8541666666666666,0.9246346950531006,0.8541666666666666,0.9646658102671305,0.8169773618380228,0.8917209108670553,0.8541666666666666,0.9246346950531006,0.8803886969884237,0.9646658102671305,0.8527143001556396,0.8926838040351868,0.9058071573575338,0.009510554373264313,0.9059943358103434,0.9058071573575338,0.9058071573575338,0.9152196049690247,0.9058071573575338,0.8541666666666666,0.8917209108670553,0.036084391824351594,0.00040177432321121943,0.001474689905976382,0.036084391824351594,0.00040177432321121943,0.0004066555578120832,0.036084391824351594,0.0007216699418530091,0.036084391824351594,0.00025310583292782106,0.02117537426303617,0.036084391824351594,0.00040177432321121943,0.00013393445299182859,0.04358898943540673,0.0,2.4639534517529063e-05,6.834373680416326e-05,2.4639534517529063e-05,0.00040177432321121943,0.00040177432321121943,0.001474689905976382,0.036084391824351594,0.00014205586381046625,0.001474689905976382,0.036084391824351594,9.16515138991168,0.036084391824351594,0.0,0.036084391824351594,0.001474689905976382,0.0007216699418530091,2.949173335407842e-05,0.036084391824351594,0.0,0.00025310583292782106,0.001474689905976382,0.0004066555578120832,0.00014205586381046625,0.02117537426303617,0.00040177432321121943,0.00013393445299182859,0.02117537426303617,0.02117537426303617,6.834373680416326e-05,0.02117537426303617,0.036084391824351594,2.949173335407842e-05
no_init_box_kenn_top_down_adapter_bert_ms,0.8541666666666666,0.009510554373264313,0.9646658102671305,0.8541666666666666,0.009510554373264313,0.8527143001556396,0.8541666666666666,0.8169773618380228,0.8541666666666666,0.8803886969884237,0.9058071573575338,0.8541666666666666,0.009510554373264313,0.9059943358103434,0.13333333333333333,0.25,0.9053272207578025,0.9152196049690247,0.9053272207578025,0.009510554373264313,0.009510554373264313,0.9646658102671305,0.8541666666666666,0.8926838040351868,0.9646658102671305,0.8541666666666666,45.666666666666664,0.8541666666666666,0.9246346950531006,0.8541666666666666,0.9646658102671305,0.8169773618380228,0.8917209108670553,0.8541666666666666,0.9246346950531006,0.8803886969884237,0.9646658102671305,0.8527143001556396,0.8926838040351868,0.9058071573575338,0.009510554373264313,0.9059943358103434,0.9058071573575338,0.9058071573575338,0.9152196049690247,0.9058071573575338,0.8541666666666666,0.8917209108670553,0.036084391824351594,0.00040177432321121943,0.001474689905976382,0.036084391824351594,0.00040177432321121943,0.0004066555578120832,0.036084391824351594,0.0007216699418530091,0.036084391824351594,0.00025310583292782106,0.02117537426303617,0.036084391824351594,0.00040177432321121943,0.00013393445299182859,0.10214368964029708,0.0,2.4639534517529063e-05,6.834373680416326e-05,2.4639534517529063e-05,0.00040177432321121943,0.00040177432321121943,0.001474689905976382,0.036084391824351594,0.00014205586381046625,0.001474689905976382,0.036084391824351594,14.571661996262929,0.036084391824351594,0.0,0.036084391824351594,0.001474689905976382,0.0007216699418530091,2.949173335407842e-05,0.036084391824351594,0.0,0.00025310583292782106,0.001474689905976382,0.0004066555578120832,0.00014205586381046625,0.02117537426303617,0.00040177432321121943,0.00013393445299182859,0.02117537426303617,0.02117537426303617,6.834373680416326e-05,0.02117537426303617,0.036084391824351594,2.949173335407842e-05
no_init_kenn_bottom_up_adapter_bert_ms,0.9583333333333334,0.010670378183325132,0.7361419200897217,0.9583333333333334,0.010670378183325132,0.8817956447601318,0.9583333333333334,0.8634761969248453,0.9583333333333334,0.8993131915728251,0.8025191227595011,0.9583333333333334,0.010670378183325132,0.9143102963765463,0.25333333333333335,0.375,0.9106472333272299,0.920111894607544,0.9106472333272299,0.010670378183325132,0.010670378183325132,0.7361419200897217,0.9583333333333334,0.9049387772878011,0.7361419200897217,0.9583333333333334,35.666666666666664,0.9583333333333334,0.9259936014811198,0.9583333333333334,0.7361419200897217,0.8634761969248453,0.9009264707565308,0.9583333333333334,0.9259936014811198,0.8993131915728251,0.7361419200897217,0.8817956447601318,0.9049387772878011,0.8025191227595011,0.010670378183325132,0.9143102963765463,0.8025191227595011,0.8025191227595011,0.920111894607544,0.8025191227595011,0.9583333333333334,0.9009264707565308,0.036084391824351615,0.0004017748609105591,0.29955648299421533,0.036084391824351615,0.0004017748609105591,0.0025006374514659254,0.036084391824351615,0.0007217043546107232,0.036084391824351615,0.00025310583292779704,0.20881224333992374,0.036084391824351615,0.0004017748609105591,0.00011720985274672508,0.21548395145191981,0.0,0.00544217115466142,0.0018858243592389072,0.00544217115466142,0.0004017748609105591,0.0004017748609105591,0.29955648299421533,0.036084391824351615,0.0025640945766758254,0.29955648299421533,0.036084391824351615,2.886751345948128,0.036084391824351615,0.003934993106770443,0.036084391824351615,0.29955648299421533,0.0007217043546107232,0.005991123465587919,0.036084391824351615,0.003934993106770443,0.00025310583292779704,0.29955648299421533,0.0025006374514659254,0.0025640945766758254,0.20881224333992374,0.0004017748609105591,0.00011720985274672508,0.20881224333992374,0.20881224333992374,0.0018858243592389072,0.20881224333992374,0.036084391824351615,0.005991123465587919
no_init_kenn_horizontal_adapter_bert_ms,0.9479166666666666,0.010554395926495394,0.5764307181040446,0.9479166666666666,0.010554395926495394,0.8801548878351847,0.9479166666666666,0.8632678786913554,0.9479166666666666,0.8992401162783304,0.6889794667561849,0.9479166666666666,0.010554395926495394,0.9142813285191854,0.18999999999999997,0.375,0.9084842999776205,0.9191420475641886,0.9084842999776205,0.010554395926495394,0.010554395926495394,0.5764307181040446,0.9479166666666666,0.9038336873054504,0.5764307181040446,0.9479166666666666,33.333333333333336,0.9479166666666666,0.9240605632464091,0.9479166666666666,0.5764307181040446,0.8632678786913554,0.8977322379748026,0.9479166666666666,0.9240605632464091,0.8992401162783304,0.5764307181040446,0.8801548878351847,0.9038336873054504,0.6889794667561849,0.010554395926495394,0.9142813285191854,0.6889794667561849,0.6889794667561849,0.9191420475641886,0.6889794667561849,0.9479166666666666,0.8977322379748026,0.09021097956087903,0.0010044368834267276,0.23847399955740206,0.09021097956087903,0.0010044368834267276,0.0013951400676566967,0.09021097956087903,0.0018042264737691298,0.09021097956087903,0.0006327817886983737,0.14490830627943968,0.09021097956087903,0.0010044368834267276,0.0002845935062288809,0.24248711305964282,0.0,0.004602320228579966,0.0017281265037154497,0.004602320228579966,0.0010044368834267276,0.0010044368834267276,0.23847399955740206,0.09021097956087903,0.001989579405059824,0.23847399955740206,0.09021097956087903,8.020806277010642,0.09021097956087903,0.003756915040666563,0.09021097956087903,0.23847399955740206,0.0018042264737691298,0.004769475598356489,0.09021097956087903,0.003756915040666563,0.0006327817886983737,0.23847399955740206,0.0013951400676566967,0.001989579405059824,0.14490830627943968,0.0010044368834267276,0.0002845935062288809,0.14490830627943968,0.14490830627943968,0.0017281265037154497,0.14490830627943968,0.09021097956087903,0.004769475598356489
no_init_kenn_hybrid_adapter_bert_ms,0.9270833333333334,0.010322431102395058,0.7697659631570181,0.9270833333333334,0.010322431102395058,0.8817919691403707,0.9270833333333334,0.8628512024879456,0.9270833333333334,0.8990939656893412,0.816507895787557,0.9270833333333334,0.010322431102395058,0.9142040014266968,0.52,0.375,0.9116287827491761,0.9204361836115519,0.9116287827491761,0.010322431102395058,0.010322431102395058,0.7697659631570181,0.9270833333333334,0.9053146243095398,0.7697659631570181,0.9270833333333334,32.0,0.9270833333333334,0.9267571369806925,0.9270833333333334,0.7697659631570181,0.8628512024879456,0.9015989502271017,0.9270833333333334,0.9267571369806925,0.8990939656893412,0.7697659631570181,0.8817919691403707,0.9053146243095398,0.816507895787557,0.010322431102395058,0.9142040014266968,0.816507895787557,0.816507895787557,0.9204361836115519,0.816507895787557,0.9270833333333334,0.9015989502271017,0.06505206248331666,0.0007243098565372799,0.25959705313608944,0.06505206248331666,0.0007243098565372799,0.0018529246150060573,0.06505206248331666,0.00130104716741931,0.06505206248331666,0.0004563216625901463,0.1536822512420739,0.06505206248331666,0.0007243098565372799,0.0002137275622668204,0.4396589587396122,0.0,0.003870097486475807,0.001257825310838282,0.003870097486475807,0.0007243098565372799,0.0007243098565372799,0.25959705313608944,0.06505206248331666,0.0016895523618759964,0.25959705313608944,0.06505206248331666,3.0,0.06505206248331666,0.00276217441003169,0.06505206248331666,0.25959705313608944,0.00130104716741931,0.005191938277987124,0.06505206248331666,0.00276217441003169,0.0004563216625901463,0.25959705313608944,0.0018529246150060573,0.0016895523618759964,0.1536822512420739,0.0007243098565372799,0.0002137275622668204,0.1536822512420739,0.1536822512420739,0.001257825310838282,0.1536822512420739,0.06505206248331666,0.005191938277987124
no_init_kenn_top_down_adapter_bert_ms,0.9479166666666666,0.010554395926495394,0.7603035469849905,0.9479166666666666,0.010554395926495394,0.88192085425059,0.9479166666666666,0.8632678588231405,0.9479166666666666,0.8992401162783304,0.8250449299812317,0.9479166666666666,0.010554395926495394,0.9142716328303019,0.49666666666666676,0.375,0.9117065270741781,0.9204373558362325,0.9117065270741781,0.010554395926495394,0.010554395926495394,0.7603035469849905,0.9479166666666666,0.905427873134613,0.7603035469849905,0.9479166666666666,39.333333333333336,0.9479166666666666,0.9266895055770874,0.9479166666666666,0.7603035469849905,0.8632678588231405,0.9014097054799398,0.9479166666666666,0.9266895055770874,0.8992401162783304,0.7603035469849905,0.88192085425059,0.905427873134613,0.8250449299812317,0.010554395926495394,0.9142716328303019,0.8250449299812317,0.8250449299812317,0.9204373558362325,0.8250449299812317,0.9479166666666666,0.9014097054799398,0.04773516348912333,0.0005314979792722342,0.2323985814934454,0.04773516348912333,0.0005314979792722342,0.0017564080822468394,0.04773516348912333,0.0009547251212061861,0.04773516348912333,0.00033484055164271305,0.1431186793324508,0.04773516348912333,0.0005314979792722342,0.0001614681942732964,0.3134219732777735,0.0,0.0034157638541595205,0.0011978166517957372,0.0034157638541595205,0.0005314979792722342,0.0005314979792722342,0.2323985814934454,0.04773516348912333,0.0015256904508025883,0.2323985814934454,0.04773516348912333,5.033222956847165,0.04773516348912333,0.0025839263694441587,0.04773516348912333,0.2323985814934454,0.0009547251212061861,0.004647964460908102,0.04773516348912333,0.0025839263694441587,0.00033484055164271305,0.2323985814934454,0.0017564080822468394,0.0015256904508025883,0.1431186793324508,0.0005314979792722342,0.0001614681942732964,0.1431186793324508,0.1431186793324508,0.0011978166517957372,0.1431186793324508,0.04773516348912333,0.004647964460908102
smart_init_box_adapter_bert_ms,0.9166666666666666,0.01020644853512446,0.9171824256579081,0.9166666666666666,0.01020644853512446,0.8529577652613322,0.9166666666666666,0.8182273705800375,0.9166666666666666,0.8808271090189616,0.9124913414319357,0.9166666666666666,0.01020644853512446,0.9061973094940186,0.31,0.25,0.9049626588821412,0.915209432442983,0.9049626588821412,0.01020644853512446,0.01020644853512446,0.9171824256579081,0.9166666666666666,0.892731507619222,0.9171824256579081,0.9166666666666666,8.666666666666666,0.9166666666666666,0.9244027137756348,0.9166666666666666,0.9171824256579081,0.8182273705800375,0.8907712499300638,0.9166666666666666,0.9244027137756348,0.8808271090189616,0.9171824256579081,0.8529577652613322,0.892731507619222,0.9124913414319357,0.01020644853512446,0.9061973094940186,0.9124913414319357,0.9124913414319357,0.915209432442983,0.9124913414319357,0.9166666666666666,0.8907712499300638,0.07216878364870322,0.0008035497218211174,0.08371832456448361,0.07216878364870322,0.0008035497218211174,1.5038375117524388e-05,0.07216878364870322,0.0014434087092214702,0.07216878364870322,0.000506246078613308,0.009598027839029407,0.07216878364870322,0.0008035497218211174,0.0002176262797328945,0.3439476704383968,0.0,0.0006560792256653437,8.596306874963943e-05,0.0006560792256653437,0.0008035497218211174,0.0008035497218211174,0.08371832456448361,0.07216878364870322,5.943083255829509e-05,0.08371832456448361,0.07216878364870322,5.507570547286102,0.07216878364870322,0.0004018033589755098,0.07216878364870322,0.08371832456448361,0.0014434087092214702,0.001674352726186596,0.07216878364870322,0.0004018033589755098,0.000506246078613308,0.08371832456448361,1.5038375117524388e-05,5.943083255829509e-05,0.009598027839029407,0.0008035497218211174,0.0002176262797328945,0.009598027839029407,0.009598027839029407,8.596306874963943e-05,0.009598027839029407,0.07216878364870322,0.001674352726186596
smart_init_classifier_adapter_bert_ms,0.9583333333333334,0.010670377872884274,0.9797979791959127,0.9583333333333334,0.010670377872884274,0.8841315309206644,0.9583333333333334,0.8634761969248453,0.9583333333333334,0.8993131717046102,0.968571662902832,0.9583333333333334,0.010670377872884274,0.9142716328303019,0.9666666666666667,0.375,0.9142772555351257,0.9212865233421326,0.9142772555351257,0.010670377872884274,0.010670377872884274,0.9797979791959127,0.9583333333333334,0.9067334731419882,0.9797979791959127,0.9583333333333334,5.0,0.9583333333333334,0.9284099340438844,0.9583333333333334,0.9797979791959127,0.8634761969248453,0.9057995875676473,0.9583333333333334,0.9284099340438844,0.8993131717046102,0.9797979791959127,0.8841315309206644,0.9067334731419882,0.968571662902832,0.010670377872884274,0.9142716328303019,0.968571662902832,0.968571662902832,0.9212865233421326,0.968571662902832,0.9583333333333334,0.9057995875676473,0.018042195912175797,0.00020088716160560972,0.0349909264482427,0.018042195912175797,0.00020088716160560972,0.0002897222579027893,0.018042195912175797,0.00036085217730537356,0.018042195912175797,0.0001265357100850415,0.015157487170555808,0.018042195912175797,0.00020088716160560972,0.0001004852525015334,0.025166114784235853,0.0,0.00022990304247330037,5.099970692039938e-05,0.00022990304247330037,0.00020088716160560972,0.00020088716160560972,0.0349909264482427,0.018042195912175797,0.00010092797199454494,0.0349909264482427,0.018042195912175797,0.0,0.018042195912175797,0.0,0.018042195912175797,0.0349909264482427,0.00036085217730537356,0.000699817840709692,0.018042195912175797,0.0,0.0001265357100850415,0.0349909264482427,0.0002897222579027893,0.00010092797199454494,0.015157487170555808,0.00020088716160560972,0.0001004852525015334,0.015157487170555808,0.015157487170555808,5.099970692039938e-05,0.015157487170555808,0.018042195912175797,0.000699817840709692
