name,test_incremental_only/macro_types/f1/mean,test_incremental_only/micro/precision/mean,test_incremental_only/macro_example_exclusive/f1/mean,test_incremental/micro/f1/mean,test_incremental_only/micro/f1/mean,test_pretraining/micro/precision/mean,test/macro_types/recall/mean,test/macro_types/precision/mean,test_incremental/macro_example_exclusive/f1/mean,test/macro_example/recall/mean,test_incremental/macro_types/f1/mean,test_incremental/micro/recall/mean,test_incremental/macro_example/f1/mean,test/macro_types/f1/mean,test_pretraining/macro_example/precision/mean,test_incremental/macro_types/precision/mean,test_incremental/macro_example/precision/mean,test_incremental_transportation/macro_types/recall/mean,test_incremental_only/macro_example_exclusive/precision/mean,epoch/mean,test_incremental/macro_example/recall/mean,test_incremental_transportation-road/macro_types/f1/mean,test_pretraining/micro/recall/mean,test_pretraining/macro_types/f1/mean,test_incremental/micro/precision/mean,test_pretraining/micro/f1/mean,test_incremental_only/macro_example/precision/mean,test_incremental_only/micro/recall/mean,test_incremental/macro_types/recall/mean,test_incremental/macro_example_exclusive/recall/mean,test/macro_example/f1/mean,threshold_pretraining/mean,test_pretraining/macro_types/recall/mean,test_pretraining/macro_example/recall/mean,test_incremental_only/macro_example_exclusive/recall/mean,test/micro/recall/mean,test/macro_example/precision/mean,test_pretraining/macro_example/f1/mean,test_incremental_only/macro_types/recall/mean,test_incremental_transportation-road/macro_types/precision/mean,test/micro/precision/mean,test_incremental_only/macro_types/precision/mean,test_incremental_transportation/macro_types/precision/mean,test_pretraining/macro_types/precision/mean,test_incremental_only/macro_example/recall/mean,test_incremental_transportation/macro_types/f1/mean,test/micro/f1/mean,threshold_incremental/mean,test_incremental/macro_example_exclusive/precision/mean,test_incremental_only/macro_example/f1/mean,test_incremental_transportation-road/macro_types/recall/mean,test_incremental_only/macro_types/f1/std,test_incremental_only/micro/precision/std,test_incremental_only/macro_example_exclusive/f1/std,test_incremental/micro/f1/std,test_incremental_only/micro/f1/std,test_pretraining/micro/precision/std,test/macro_types/recall/std,test/macro_types/precision/std,test_incremental/macro_example_exclusive/f1/std,test/macro_example/recall/std,test_incremental/macro_types/f1/std,test_incremental/micro/recall/std,test_incremental/macro_example/f1/std,test/macro_types/f1/std,test_pretraining/macro_example/precision/std,test_incremental/macro_types/precision/std,test_incremental/macro_example/precision/std,test_incremental_transportation/macro_types/recall/std,test_incremental_only/macro_example_exclusive/precision/std,epoch/std,test_incremental/macro_example/recall/std,test_incremental_transportation-road/macro_types/f1/std,test_pretraining/micro/recall/std,test_pretraining/macro_types/f1/std,test_incremental/micro/precision/std,test_pretraining/micro/f1/std,test_incremental_only/macro_example/precision/std,test_incremental_only/micro/recall/std,test_incremental/macro_types/recall/std,test_incremental/macro_example_exclusive/recall/std,test/macro_example/f1/std,threshold_pretraining/std,test_pretraining/macro_types/recall/std,test_pretraining/macro_example/recall/std,test_incremental_only/macro_example_exclusive/recall/std,test/micro/recall/std,test/macro_example/precision/std,test_pretraining/macro_example/f1/std,test_incremental_only/macro_types/recall/std,test_incremental_transportation-road/macro_types/precision/std,test/micro/precision/std,test_incremental_only/macro_types/precision/std,test_incremental_transportation/macro_types/precision/std,test_pretraining/macro_types/precision/std,test_incremental_only/macro_example/recall/std,test_incremental_transportation/macro_types/f1/std,test/micro/f1/std,threshold_incremental/std,test_incremental/macro_example_exclusive/precision/std,test_incremental_only/macro_example/f1/std,test_incremental_transportation-road/macro_types/recall/std
no_init_box_kenn_bottom_up_adapter_bert_ms,0.7293673356374105,0.9696356256802877,0.6021505097548167,0.8464338382085165,0.7293673356374105,0.905210038026174,0.8119370539983114,0.8918202916781107,0.8417869408925375,0.9050664901733398,0.8483015497525533,0.7688172062238058,0.009079818613827229,0.8500021696090698,0.9244896769523621,0.95255974928538,0.01009046658873558,0.9354838728904724,0.6021505097548167,49.666666666666664,0.008292739590009054,0.7293673356374105,0.8786815603574117,0.8500021696090698,0.9473046263058981,0.8917482097943624,0.006495012901723385,0.6021505296230316,0.7688172062238058,0.7688171664873759,0.9146749178568522,0.25,0.8119370539983114,0.9050664901733398,0.6021505097548167,0.8786815603574117,0.9244896769523621,0.9146749178568522,0.6021505296230316,0.9696356256802877,0.905210038026174,0.9696356256802877,0.9354838728904724,0.8918202916781107,0.006495012901723385,0.9354838728904724,0.8917482097943624,0.02666666666666667,0.9354838132858276,0.006495012901723385,0.6021505296230316,0.14337164987795384,0.027234051887698108,0.1944423583336962,0.05788706950107218,0.14337164987795384,7.601156572383349e-05,0.003888875200408144,0.0005446707151223472,0.05825312688550685,0.0005364473792952571,0.056041119041971094,0.09722118781922744,0.0006283391127164206,0.001982490395388239,2.9027462005504212e-05,0.013617046988181433,0.0,0.0,0.1944423583336962,4.932882862316248,0.0010486627232255588,0.14337164987795384,0.0013215808519215682,0.001982490395388239,0.007272930326076981,0.0006972737584499612,0.002097325394948838,0.19444238964706786,0.09722118781922744,0.09722118452308603,0.00026730338319465405,0.0,0.003888875200408144,0.0005364473792952571,0.1944423583336962,0.0013215808519215682,2.9027462005504212e-05,0.00026730338319465405,0.19444238964706786,0.027234051887698108,7.601156572383349e-05,0.027234051887698108,0.0,0.0005446707151223472,0.002097325394948838,0.0,0.0006972737584499612,0.005773502691896255,0.0,0.002097325394948838,0.19444238964706786
no_init_box_kenn_horizontal_adapter_bert_ms,0.5497598946094513,0.9563492139180502,0.40860213836034137,0.7805179556210836,0.5497598946094513,0.9050813714663187,0.8080660899480184,0.8915545543034872,0.7789997657140096,0.9043899575869242,0.7822125355402628,0.6720430056254069,0.008402573565642038,0.8477551142374674,0.9244896769523621,0.9459165533383688,0.01009046658873558,0.9354838728904724,0.40860213836034137,55.666666666666664,0.00724889865765969,0.5497598946094513,0.8773660659790039,0.8477551142374674,0.9399695793787638,0.8910078406333923,0.004407329950481653,0.40860213836034137,0.672042985757192,0.672042985757192,0.9143293102582296,0.25,0.8080660899480184,0.9043899575869242,0.40860213836034137,0.8773660659790039,0.9244896769523621,0.9143293102582296,0.40860213836034137,0.9563492139180502,0.9050813714663187,0.9563492139180502,0.9354838728904724,0.8915545543034872,0.004407329950481653,0.9354838728904724,0.8910078406333923,0.09666666666666668,0.9354838132858276,0.004407329950481653,0.40860213836034137,0.20310744700300645,0.0418081402491699,0.2147847716143791,0.07166111310455978,0.20310744700300645,9.739078554776659e-05,0.004295724287237021,0.0008361613906851655,0.07137584567268741,0.00059916374412156,0.06983652783809104,0.10739241042489717,0.0007698853043243439,0.002246737020275537,2.9027462005504212e-05,0.02090408568249902,0.0,0.0,0.2147847716143791,5.507570547286101,0.0011583730484523713,0.20310744700300645,0.0014598345225490758,0.002246737020275537,0.008803951119362484,0.0007805939314627554,0.002316745898750836,0.2147847716143791,0.10739237760128713,0.10739237760128713,0.0003009635439305122,0.0,0.004295724287237021,0.00059916374412156,0.2147847716143791,0.0014598345225490758,2.9027462005504212e-05,0.0003009635439305122,0.2147847716143791,0.0418081402491699,9.739078554776659e-05,0.0418081402491699,0.0,0.0008361613906851655,0.002316745898750836,0.0,0.0007805939314627554,0.041633319989322654,0.0,0.002316745898750836,0.2147847716143791
no_init_box_kenn_hybrid_adapter_bert_ms,0.702133297920227,0.9663461446762085,0.5698924462000529,0.8357850909233093,0.702133297920227,0.9051885803540548,0.8112918933232626,0.8917545080184937,0.8316547473271688,0.904969851175944,0.8375033338864645,0.7526881694793701,0.008970528530577818,0.8496183753013611,0.9244896769523621,0.9509150187174479,0.01009046658873558,0.9354838728904724,0.5698924462000529,57.0,0.008118766049544016,0.702133297920227,0.8784623146057129,0.8496183753013611,0.9460280338923136,0.8916248480478922,0.006147065820793311,0.5698924660682678,0.7526881694793701,0.7526881297429403,0.9146255850791931,0.25,0.8112918933232626,0.904969851175944,0.5698924462000529,0.8784623146057129,0.9244896769523621,0.9146255850791931,0.5698924660682678,0.9663461446762085,0.9051885803540548,0.9663461446762085,0.9354838728904724,0.8917545080184937,0.006147065820793311,0.9354838728904724,0.8916248480478922,0.08,0.9354838132858276,0.006147065820793311,0.5698924660682678,0.15344654466085242,0.03152614884906122,0.20739031576840852,0.06260556945998903,0.15344654466085242,0.00011163767512565165,0.004147836817193948,0.0006305062521237563,0.06190561448581364,0.0005644399905196064,0.06135208504139201,0.10369517256340065,0.0006677366106799951,0.002207271405456773,2.9027462005504212e-05,0.015763078969396112,0.0,0.0,0.20739031576840852,16.09347693943108,0.001118493441647976,0.15344654466085242,0.0014095828469363925,0.002207271405456773,0.009260652288509134,0.0007578797883247244,0.002236986690148629,0.20739034976233411,0.10369517256340065,0.10369516020197317,0.0002856238656485442,0.0,0.004147836817193948,0.0005644399905196064,0.20739031576840852,0.0014095828469363925,2.9027462005504212e-05,0.0002856238656485442,0.20739034976233411,0.03152614884906122,0.00011163767512565165,0.03152614884906122,0.0,0.0006305062521237563,0.002236986690148629,0.0,0.0007578797883247244,0.0360555127546399,0.0,0.002236986690148629,0.20739034976233411
no_init_box_kenn_top_down_adapter_bert_ms,0.702133297920227,0.9663461446762085,0.5698924462000529,0.8357850909233093,0.702133297920227,0.9051885803540548,0.8112918933232626,0.8917545080184937,0.8316547473271688,0.904969851175944,0.8375033338864645,0.7526881694793701,0.008970528530577818,0.8496183753013611,0.9244896769523621,0.9509150187174479,0.01009046658873558,0.9354838728904724,0.5698924462000529,60.666666666666664,0.008118766049544016,0.702133297920227,0.8784623146057129,0.8496183753013611,0.9460280338923136,0.8916248480478922,0.006147065820793311,0.5698924660682678,0.7526881694793701,0.7526881297429403,0.9146255850791931,0.25,0.8112918933232626,0.904969851175944,0.5698924462000529,0.8784623146057129,0.9244896769523621,0.9146255850791931,0.5698924660682678,0.9663461446762085,0.9051885803540548,0.9663461446762085,0.9354838728904724,0.8917545080184937,0.006147065820793311,0.9354838728904724,0.8916248480478922,0.21,0.9354838132858276,0.006147065820793311,0.5698924660682678,0.15344654466085242,0.03152614884906122,0.20739031576840852,0.06260556945998903,0.15344654466085242,0.00011163767512565165,0.004147836817193948,0.0006305062521237563,0.06190561448581364,0.0005644399905196064,0.06135208504139201,0.10369517256340065,0.0006677366106799951,0.002207271405456773,2.9027462005504212e-05,0.015763078969396112,0.0,0.0,0.20739031576840852,13.796134724383252,0.001118493441647976,0.15344654466085242,0.0014095828469363925,0.002207271405456773,0.009260652288509134,0.0007578797883247244,0.002236986690148629,0.20739034976233411,0.10369517256340065,0.10369516020197317,0.0002856238656485442,0.0,0.004147836817193948,0.0005644399905196064,0.20739031576840852,0.0014095828469363925,2.9027462005504212e-05,0.0002856238656485442,0.20739034976233411,0.03152614884906122,0.00011163767512565165,0.03152614884906122,0.0,0.0006305062521237563,0.002236986690148629,0.0,0.0007578797883247244,0.017320508075688773,0.0,0.002236986690148629,0.20739034976233411
no_init_kenn_bottom_up_adapter_bert_ms,0.5778987209002177,0.5327834437290827,0.8924731016159058,0.6421780784924825,0.5778987209002177,0.8894964853922526,0.862159013748169,0.8968592882156372,0.9162636597951254,0.9140783548355103,0.7829814751942953,0.897849460442861,0.009883150458335876,0.8791494369506836,0.9130731423695883,0.7180046041806539,0.01009046658873558,0.9032257795333862,0.8924731016159058,43.0,0.009684528224170208,0.5778987209002177,0.8988525867462158,0.8791494369506836,0.5919887671868006,0.8938426772753397,0.00962653694053491,0.8924731016159058,0.897849440574646,0.897849460442861,0.9134637117385864,0.375,0.862159013748169,0.9140783548355103,0.8924731016159058,0.8988525867462158,0.9130731423695883,0.9134637117385864,0.8924731016159058,0.5327834437290827,0.8894964853922526,0.5327834437290827,0.9032257795333862,0.8968592882156372,0.00962653694053491,0.9032257795333862,0.8938426772753397,0.12,0.9354838331540426,0.00962653694053491,0.8924731016159058,0.38766415542848875,0.4194982437935056,0.06715050933838057,0.3568735856739268,0.38766415542848875,0.03969490334236681,0.0013430090414417637,0.008389936206715288,0.03263242033031742,0.00022522134601051424,0.12622562928671086,0.03357525944138116,0.00035198519004635666,0.0033444242046256904,0.024423211199627405,0.20974911444271435,0.00034794677048921585,0.0,0.06715050933838057,13.228756555322953,0.00036215492826863975,0.38766415542848875,0.0004564123344410722,0.0033444242046256904,0.4053848537814688,0.020106488797170193,0.0007243094837098338,0.06715050933838057,0.03357522603604409,0.03357525944138116,0.012212938079924423,0.0,0.0013430090414417637,0.00022522134601051424,0.06715050933838057,0.0004564123344410722,0.024423211199627405,0.012212938079924423,0.06715050933838057,0.4194982437935056,0.03969490334236681,0.4194982437935056,0.0,0.008389936206715288,0.0007243094837098338,0.0,0.020106488797170193,0.11532562594670795,0.03225806355476838,0.0007243094837098338,0.06715050933838057
no_init_kenn_horizontal_adapter_bert_ms,0.6889334321022034,0.8385331233342489,0.6666666467984518,0.8077033360799154,0.6889334321022034,0.9129336675008138,0.8576428890228271,0.9029742876688639,0.8397149046262106,0.9133824507395426,0.8143808444341024,0.7849462429682413,0.009057468734681606,0.8797088066736857,0.9274337291717529,0.8708794514338175,0.009858502075076103,0.9032257795333862,0.6666666467984518,45.666666666666664,0.00846671313047409,0.6889334321022034,0.8973178267478943,0.8797088066736857,0.8555184205373129,0.9050564368565878,0.007190907296414177,0.6666666467984518,0.7849462429682413,0.7849461833635966,0.9203537305196127,0.375,0.8576428890228271,0.9133824507395426,0.6666666467984518,0.8973178267478943,0.9274337291717529,0.9203537305196127,0.6666666467984518,0.8385331233342489,0.9129336675008138,0.8385331233342489,0.9032257795333862,0.9029742876688639,0.007190907296414177,0.9032257795333862,0.9050564368565878,0.49333333333333335,0.9139784574508667,0.007190907296414177,0.6666666467984518,0.19051130902190594,0.19699186201572866,0.29798722683006296,0.07399224735844818,0.19051130902190594,0.0016197768122029623,0.005959739030560025,0.003939819393961817,0.09509117701536167,0.0008872641319343635,0.06982122182300643,0.14899361341503145,0.0010256875043932324,0.00225089616308901,0.0013681140043561944,0.09849593100786436,0.00020088716160560972,0.0,0.29798722683006296,12.741009902410928,0.001607098905942895,0.19051130902190594,0.0020253284420303245,0.00225089616308901,0.1011724524901696,0.0008647830722031202,0.003214197946310625,0.29798722683006296,0.14899361341503145,0.14899361341503145,0.0005619316591731465,0.0,0.005959739030560025,0.0008872641319343635,0.29798722683006296,0.0020253284420303245,0.0013681140043561944,0.0005619316591731465,0.29798722683006296,0.19699186201572866,0.0016197768122029623,0.19699186201572866,0.0,0.003939819393961817,0.003214197946310625,0.0,0.0008647830722031202,0.45720163312627543,0.01862418447050008,0.003214197946310625,0.29798722683006296
no_init_kenn_hybrid_adapter_bert_ms,0.606890377899011,0.6265525513639053,0.9032257994016012,0.6220654770731926,0.606890377899011,0.837152342001597,0.8623740673065186,0.8987346688906351,0.91903289159139,0.9141073624293009,0.805473526318868,0.9032257994016012,0.00991302045683066,0.8801516691843668,0.861524780591329,0.764889140923818,0.01009046658873558,0.9032257795333862,0.9032257994016012,39.666666666666664,0.009742519197364649,0.606890377899011,0.8989256620407104,0.8801516691843668,0.6231112430493037,0.8630851705869039,0.009742519197364649,0.9032257994016012,0.9032257994016012,0.9032257994016012,0.8842568397521973,0.375,0.8623740673065186,0.9141073624293009,0.9032257994016012,0.8989256620407104,0.861524780591329,0.8842568397521973,0.9032257994016012,0.6265525513639053,0.837152342001597,0.6265525513639053,0.9032257795333862,0.8987346688906351,0.009742519197364649,0.9032257795333862,0.8630851705869039,0.44,0.9354838530222574,0.009742519197364649,0.9032257994016012,0.4916229505601703,0.5252465489400766,0.08534682520664125,0.4763965266719821,0.4916229505601703,0.1329754730191173,0.0017069347018577534,0.010504918949209454,0.04882387733544519,0.0002740751865115372,0.1592257382597649,0.04267340133910162,0.0005266320544464272,0.004192477072635232,0.11554702829436192,0.26262326532917474,0.0006026614848168291,0.0,0.08534682520664125,13.051181300301261,0.0004602904881047337,0.4916229505601703,0.0005800734900702682,0.004192477072635232,0.507230215921877,0.07467094249090657,0.0009205811522128075,0.08534682520664125,0.04267340133910162,0.04267340133910162,0.0637084483837922,0.0,0.0017069347018577534,0.0002740751865115372,0.08534682520664125,0.0005800734900702682,0.11554702829436192,0.0637084483837922,0.08534682520664125,0.5252465489400766,0.1329754730191173,0.5252465489400766,0.0,0.010504918949209454,0.0009205811522128075,0.0,0.07467094249090657,0.4250882261366457,0.05587262223701567,0.0009205811522128075,0.08534682520664125
no_init_kenn_top_down_adapter_bert_ms,0.35779725077251595,0.33381641780336696,0.9462365508079529,0.4040054976940155,0.35779725077251595,0.7967583139737447,0.863234281539917,0.8928799629211426,0.9457313418388367,0.9142523407936096,0.7203203241030375,0.924731175104777,0.010200999677181244,0.8777839342753092,0.8248704870541891,0.6185210943222046,0.010438413359224796,0.9032257795333862,0.9462365508079529,42.333333333333336,0.009974484021464983,0.35779725077251595,0.8992180029551188,0.8777839342753092,0.36102786598106223,0.8393445213635763,0.01020644853512446,0.9462365508079529,0.9247311552365621,0.924731175104777,0.86228875319163,0.375,0.863234281539917,0.9142523407936096,0.9462365508079529,0.8992180029551188,0.8248704870541891,0.86228875319163,0.9462365508079529,0.33381641780336696,0.7967583139737447,0.33381641780336696,0.9032257795333862,0.8928799629211426,0.01020644853512446,0.9032257795333862,0.8393445213635763,0.16333333333333333,0.9677419066429138,0.01020644853512446,0.9462365508079529,0.46145636309809923,0.49166616294468574,0.06715050933838057,0.4376427826114493,0.46145636309809923,0.154107437302476,0.0013430090414417637,0.009833342504018088,0.03264261840412943,0.0002137396881296893,0.1513320728537595,0.033575259441381185,0.00035209492366670145,0.00404999383793922,0.14910579251228315,0.2458330848828491,0.00034794677048921585,0.0,0.06715050933838057,10.96965511460289,0.00036215455544129696,0.46145636309809923,0.0004563884732622335,0.00404999383793922,0.472474382596488,0.0911035790993013,0.0007243094837098339,0.06715050933838057,0.03357524989700761,0.033575259441381185,0.08683813728376379,0.0,0.0013430090414417637,0.0002137396881296893,0.06715050933838057,0.0004563884732622335,0.14910579251228315,0.08683813728376379,0.06715050933838057,0.49166616294468574,0.154107437302476,0.49166616294468574,0.0,0.009833342504018088,0.0007243094837098339,0.0,0.0911035790993013,0.23180451534284946,0.03225809335708618,0.0007243094837098339,0.06715050933838057
smart_init_box_adapter_bert_ms,0.678970456123352,0.9285714030265808,0.5591397682825724,0.8263947566350301,0.678970456123352,0.9050451318422953,0.811076839764913,0.8909990191459656,0.8274202744166056,0.9049311876296996,0.8260587652524313,0.7473118305206299,0.008924854608873526,0.8491564989089966,0.9244509935379028,0.9320276379585266,0.01009046658873558,0.9354838728904724,0.5591397682825724,5.0,0.008060775076349577,0.678970456123352,0.8783892393112183,0.8491564989089966,0.9329566955566406,0.8915174802144369,0.0060310835639635725,0.5591397682825724,0.7473118305206299,0.7473117907842001,0.9145868619283042,0.25,0.811076839764913,0.9049311876296996,0.5591397682825724,0.8783892393112183,0.9244509935379028,0.9145868619283042,0.5591397682825724,0.9285714030265808,0.9050451318422953,0.9285714030265808,0.9354838728904724,0.8909990191459656,0.0060310835639635725,0.9354838728904724,0.8915174802144369,0.84,0.9354838132858276,0.0060310835639635725,0.5591397682825724,0.17527091989728957,0.0,0.24211462179942614,0.07161694066612949,0.17527091989728957,4.291270885945975e-05,0.0048423223750877105,0.0,0.07207731453872063,0.0006863280396889386,0.07183549609032036,0.12105730229652363,0.0007774514089964724,0.002649507041302184,1.6724600245127566e-05,0.0,0.0,0.0,0.24211462179942614,0.0,0.0013057678946848106,0.17527091989728957,0.0016456180735020581,0.002649507041302184,0.0006523626478331733,0.0008679585748613163,0.002611535789369622,0.24211462179942614,0.12105730229652363,0.12105733670928132,0.00034226928814409666,0.0,0.0048423223750877105,0.0006863280396889386,0.24211462179942614,0.0016456180735020581,1.6724600245127566e-05,0.00034226928814409666,0.24211462179942614,0.0,4.291270885945975e-05,0.0,0.0,0.0,0.002611535789369622,0.0,0.0008679585748613163,0.0888819441731559,0.0,0.002611535789369622,0.24211462179942614
smart_init_classifier_adapter_bert_ms,0.9058071772257487,0.9317460258801779,0.8817204038302103,0.9045667052268982,0.9058071772257487,0.9139417211214701,0.8619439601898193,0.9048385222752889,0.8977516889572144,0.9140493671099345,0.9047497510910034,0.8924731016159058,0.009683473967015743,0.8828704555829366,0.92823588848114,0.9174858729044596,0.009742519818246365,0.9032257795333862,0.8817204038302103,5.0,0.009626537250975767,0.9058071772257487,0.8987794915835062,0.8828704555829366,0.9171065886815389,0.9062972068786621,0.009510554994146029,0.8817204038302103,0.8924731016159058,0.8924731016159058,0.9210880001386007,0.375,0.8619439601898193,0.9140493671099345,0.8817204038302103,0.8987794915835062,0.92823588848114,0.9210880001386007,0.8817204038302103,0.9317460258801779,0.9139417211214701,0.9317460258801779,0.9032257795333862,0.9048385222752889,0.009510554994146029,0.9032257795333862,0.9062972068786621,0.9066666666666666,0.9032257795333862,0.009510554994146029,0.8817204038302103,0.02117544308855155,0.0027493040386497012,0.03724840335375785,0.010396403817809144,0.02117544308855155,2.2127403204957276e-05,0.0007449673788200032,5.499158681416193e-05,0.009481403003163677,0.00013393445299198883,0.010289655443405057,0.01862418447050008,0.00010227041430758948,0.00041704821063931843,0.0,0.0013746520193246984,0.0,0.0,0.03724840335375785,0.0,0.0002008876993049486,0.02117544308855155,0.00025317465844320106,0.00041704821063931843,0.0016041851132240215,0.0001395781452555524,0.0004017748609105583,0.03724840335375785,0.01862418447050008,0.01862418447050008,6.799960922715109e-05,0.0,0.0007449673788200032,0.00013393445299198883,0.03724840335375785,0.00025317465844320106,0.0,6.799960922715109e-05,0.03724840335375785,0.0027493040386497012,2.2127403204957276e-05,0.0027493040386497012,0.0,5.499158681416193e-05,0.0004017748609105583,0.0,0.0001395781452555524,0.03785938897200181,0.0,0.0004017748609105583,0.03724840335375785
