name,test_incremental/macro_example/recall/mean,test_incremental_only/micro/precision/mean,test_incremental_transportation/macro_types/precision/mean,test_incremental/macro_types/recall/mean,test_incremental/macro_example/precision/mean,test_incremental_only/macro_example/recall/mean,test_incremental_only/macro_example_exclusive/precision/mean,test_pretraining/macro_types/f1/mean,test_pretraining/macro_types/recall/mean,test_pretraining/macro_example/recall/mean,test_incremental_only/macro_types/f1/mean,epoch/mean,test/micro/f1/mean,test/macro_example/recall/mean,test_incremental/macro_example_exclusive/recall/mean,test_incremental_only/macro_types/recall/mean,test_incremental_only/macro_example_exclusive/recall/mean,test/macro_types/precision/mean,test_incremental/macro_types/f1/mean,test_pretraining/micro/precision/mean,test/micro/recall/mean,test_pretraining/micro/f1/mean,test_incremental/micro/precision/mean,test/macro_example/f1/mean,test_incremental/macro_example/f1/mean,test_pretraining/macro_example/precision/mean,test_incremental_transportation/macro_types/f1/mean,test_incremental_transportation-road/macro_types/recall/mean,test/micro/precision/mean,test_incremental_only/micro/f1/mean,test_incremental_transportation-road/macro_types/f1/mean,test/macro_types/f1/mean,test_pretraining/macro_example/f1/mean,test_incremental_transportation-road/macro_types/precision/mean,test/macro_example/precision/mean,test_incremental/macro_example_exclusive/f1/mean,test_incremental/micro/recall/mean,test_incremental_only/macro_example/f1/mean,test_incremental_only/macro_types/precision/mean,threshold_incremental/mean,test/macro_types/recall/mean,test_incremental_only/macro_example/precision/mean,test_incremental_only/macro_example_exclusive/f1/mean,test_incremental_only/micro/recall/mean,threshold_pretraining/mean,test_incremental/macro_example_exclusive/precision/mean,test_incremental_transportation/macro_types/recall/mean,test_pretraining/macro_types/precision/mean,test_incremental/macro_types/precision/mean,test_incremental/micro/f1/mean,test_pretraining/micro/recall/mean,test_incremental/macro_example/recall/std,test_incremental_only/micro/precision/std,test_incremental_transportation/macro_types/precision/std,test_incremental/macro_types/recall/std,test_incremental/macro_example/precision/std,test_incremental_only/macro_example/recall/std,test_incremental_only/macro_example_exclusive/precision/std,test_pretraining/macro_types/f1/std,test_pretraining/macro_types/recall/std,test_pretraining/macro_example/recall/std,test_incremental_only/macro_types/f1/std,epoch/std,test/micro/f1/std,test/macro_example/recall/std,test_incremental/macro_example_exclusive/recall/std,test_incremental_only/macro_types/recall/std,test_incremental_only/macro_example_exclusive/recall/std,test/macro_types/precision/std,test_incremental/macro_types/f1/std,test_pretraining/micro/precision/std,test/micro/recall/std,test_pretraining/micro/f1/std,test_incremental/micro/precision/std,test/macro_example/f1/std,test_incremental/macro_example/f1/std,test_pretraining/macro_example/precision/std,test_incremental_transportation/macro_types/f1/std,test_incremental_transportation-road/macro_types/recall/std,test/micro/precision/std,test_incremental_only/micro/f1/std,test_incremental_transportation-road/macro_types/f1/std,test/macro_types/f1/std,test_pretraining/macro_example/f1/std,test_incremental_transportation-road/macro_types/precision/std,test/macro_example/precision/std,test_incremental/macro_example_exclusive/f1/std,test_incremental/micro/recall/std,test_incremental_only/macro_example/f1/std,test_incremental_only/macro_types/precision/std,threshold_incremental/std,test/macro_types/recall/std,test_incremental_only/macro_example/precision/std,test_incremental_only/macro_example_exclusive/f1/std,test_incremental_only/micro/recall/std,threshold_pretraining/std,test_incremental/macro_example_exclusive/precision/std,test_incremental_transportation/macro_types/recall/std,test_pretraining/macro_types/precision/std,test_incremental/macro_types/precision/std,test_incremental/micro/f1/std,test_pretraining/micro/recall/std
no_init_box_kenn_bottom_up_adapter_bert_ms,0.009452563089629015,0.9508576393127441,0.9354838728904724,0.8763440847396851,0.01009046658873558,0.008814660521845022,0.8172042767206827,0.852185070514679,0.8162381649017334,0.9056463638941447,0.8781119585037231,40.333333333333336,0.8925037980079651,0.9056463638941447,0.8763440450032552,0.8172042965888977,0.8172042767206827,0.8914447625478109,0.9083267450332642,0.9052165150642395,0.8801432450612386,0.8925037980079651,0.9423767924308777,0.9149615367253622,0.009759824723005295,0.9244703451792399,0.9354838728904724,0.8172042965888977,0.9052165150642395,0.8781119585037231,0.8781119585037231,0.852185070514679,0.9149615367253622,0.9508576393127441,0.9244703451792399,0.9048301378885905,0.8763440847396851,0.008814660521845022,0.9508576393127441,0.1366666666666667,0.8162381649017334,0.008814660521845022,0.8172042767206827,0.8172042965888977,0.25,0.9354838132858276,0.9354838728904724,0.8914447625478109,0.9431707461675009,0.9079669713973999,0.8801432450612386,0.00026574893882834797,0.017184562574756486,0.0,0.024637480240167188,0.0,0.0005314984873504393,0.04927502551433867,0.0003952943372613885,0.0009854992096066874,0.0001771786272999095,0.021443418829689125,6.506407098647712,0.00013524112641358528,0.0001771786272999095,0.024637512757169352,0.0492750190109349,0.04927502551433867,0.0003436803007996772,0.009552589369566319,8.763380879505715e-05,0.00033490558564184717,0.00013524112641358528,0.007845947239032626,7.512375944774677e-05,0.00014111916643145658,3.3483613247856993e-05,0.0,0.0492750190109349,8.763380879505715e-05,0.021443418829689125,0.021443418829689125,0.0003952943372613885,7.512375944774677e-05,0.017184562574756486,3.3483613247856993e-05,0.013083112680167895,0.024637480240167188,0.0005314984873504393,0.017184562574756486,0.09504384952922168,0.0009854992096066874,0.0005314984873504393,0.04927502551433867,0.0492750190109349,0.0,0.0,0.0,0.0003436803007996772,0.008592272025807942,0.00987008454671405,0.00033490558564184717
no_init_box_kenn_horizontal_adapter_bert_ms,0.009452563089629015,0.9508576393127441,0.9354838728904724,0.8763440847396851,0.01009046658873558,0.008814660521845022,0.8172042767206827,0.852185070514679,0.8162381649017334,0.9056463638941447,0.8781119585037231,66.66666666666667,0.8925037980079651,0.9056463638941447,0.8763440450032552,0.8172042965888977,0.8172042767206827,0.8914447625478109,0.9083267450332642,0.9052165150642395,0.8801432450612386,0.8925037980079651,0.9423767924308777,0.9149615367253622,0.009759824723005295,0.9244703451792399,0.9354838728904724,0.8172042965888977,0.9052165150642395,0.8781119585037231,0.8781119585037231,0.852185070514679,0.9149615367253622,0.9508576393127441,0.9244703451792399,0.9048301378885905,0.8763440847396851,0.008814660521845022,0.9508576393127441,0.04666666666666667,0.8162381649017334,0.008814660521845022,0.8172042767206827,0.8172042965888977,0.25,0.9354838132858276,0.9354838728904724,0.8914447625478109,0.9431707461675009,0.9079669713973999,0.8801432450612386,0.00026574893882834797,0.017184562574756486,0.0,0.024637480240167188,0.0,0.0005314984873504393,0.04927502551433867,0.0003952943372613885,0.0009854992096066874,0.0001771786272999095,0.021443418829689125,21.1266025033211,0.00013524112641358528,0.0001771786272999095,0.024637512757169352,0.0492750190109349,0.04927502551433867,0.0003436803007996772,0.009552589369566319,8.763380879505715e-05,0.00033490558564184717,0.00013524112641358528,0.007845947239032626,7.512375944774677e-05,0.00014111916643145658,3.3483613247856993e-05,0.0,0.0492750190109349,8.763380879505715e-05,0.021443418829689125,0.021443418829689125,0.0003952943372613885,7.512375944774677e-05,0.017184562574756486,3.3483613247856993e-05,0.013083112680167895,0.024637480240167188,0.0005314984873504393,0.017184562574756486,0.011547005383792518,0.0009854992096066874,0.0005314984873504393,0.04927502551433867,0.0492750190109349,0.0,0.0,0.0,0.0003436803007996772,0.008592272025807942,0.00987008454671405,0.00033490558564184717
no_init_box_kenn_hybrid_adapter_bert_ms,0.009394572116434574,0.9500366051991781,0.9354838728904724,0.8709677457809448,0.01009046658873558,0.008698677954574427,0.8064515789349874,0.8520604769388834,0.8160231113433838,0.9056077003479004,0.8718972206115723,37.0,0.8924627502759298,0.9056077003479004,0.870967706044515,0.8064515988032023,0.8064515789349874,0.8914283315340678,0.9053301811218262,0.9052093823750814,0.880070169766744,0.8924627502759298,0.942000150680542,0.9149418075879415,0.009729537181556225,0.9244703451792399,0.9354838728904724,0.8064515988032023,0.9052093823750814,0.8718972206115723,0.8718972206115723,0.8520604769388834,0.9149418075879415,0.9500366051991781,0.9244703451792399,0.9020221829414368,0.8709677457809448,0.008698677954574427,0.9500366051991781,0.2933333333333334,0.8160231113433838,0.008698677954574427,0.8064515789349874,0.8064515988032023,0.25,0.9354838132858276,0.9354838728904724,0.8914283315340678,0.9427602291107178,0.9049863219261169,0.880070169766744,0.00017397385090589415,0.018605318851169655,0.0,0.016129016876220703,0.0,0.00034794723615060724,0.0322580635547684,0.0002271518884069355,0.0006451606750488281,0.00011599063873282689,0.012946119559290842,2.6457513110645907,7.887274191525506e-05,0.00011599063873282689,0.016129046678552285,0.03225806355476837,0.0322580635547684,0.0003721133265106753,0.005590889981565093,9.9906956728839e-05,0.00021925568648143492,7.887274191525506e-05,0.008497228571882563,4.574074317237221e-05,9.332022988282516e-05,3.3483613247856993e-05,0.0,0.03225806355476837,9.9906956728839e-05,0.012946119559290842,0.012946119559290842,0.0002271518884069355,4.574074317237221e-05,0.018605318851169655,3.3483613247856993e-05,0.008651669537930234,0.016129016876220703,0.00034794723615060724,0.018605318851169655,0.2272296928953902,0.0006451606750488281,0.00034794723615060724,0.0322580635547684,0.03225806355476837,0.0,0.0,0.0,0.0003721133265106753,0.009302650213681648,0.005836354956379707,0.00021925568648143492
no_init_box_kenn_top_down_adapter_bert_ms,0.009800510480999947,0.9108704129854838,0.9354838728904724,0.9086021383603414,0.01009046658873558,0.009510554373264313,0.8817203839619955,0.8525202870368958,0.817528486251831,0.9058783451716105,0.8920659820238749,34.0,0.8925846815109253,0.9058783451716105,0.9086020986239115,0.8817204236984253,0.8817203839619955,0.8906450072924296,0.9148629109064738,0.9049197634061178,0.8805817365646362,0.8925846815109253,0.921013355255127,0.9149756828943888,0.009941094554960728,0.924257735411326,0.9354838728904724,0.8817204236984253,0.9049197634061178,0.8920659820238749,0.8920659820238749,0.8525202870368958,0.9149756828943888,0.9108704129854838,0.924257735411326,0.9216355681419373,0.9086021582285563,0.009510554373264313,0.9108704129854838,0.22,0.817528486251831,0.009510554373264313,0.8817203839619955,0.8817204236984253,0.25,0.9354838132858276,0.9354838728904724,0.8906450072924296,0.9231771429379781,0.9137380123138428,0.8805817365646362,0.00036215492826863937,0.09122701300581018,0.0,0.03357524989700755,0.0,0.0007243098565372795,0.0671505188827623,0.0006375876644863047,0.0013430090414417637,0.00024145376890667187,0.0361998794823113,6.557438524302,0.0002481804067385572,0.00024145376890667187,0.033575259441381136,0.06715050933838057,0.0671505188827623,0.0018245336842537506,0.01743459419396282,0.000675695944346764,0.0004564123344410722,0.0002481804067385572,0.04794539378306682,0.0001425128276795916,0.00018792519760057428,0.00040173453346001764,0.0,0.06715050933838057,0.000675695944346764,0.0361998794823113,0.0361998794823113,0.0006375876644863047,0.0001425128276795916,0.09122701300581018,0.00040173453346001764,0.017422499950918574,0.033575259441381136,0.0007243098565372795,0.09122701300581018,0.34655446902326914,0.0013430090414417637,0.0007243098565372795,0.0671505188827623,0.06715050933838057,0.0,0.0,0.0,0.0018245336842537506,0.045613481024427714,0.018395217354171527,0.0004564123344410722
no_init_kenn_bottom_up_adapter_bert_ms,0.009742519197364649,0.34033698836962384,0.9032257795333862,0.9032257795333862,0.010206448845565319,0.009742519197364649,0.9032257596651713,0.8774013717969259,0.8623740673065186,0.9141073425610861,0.36183321724335354,22.0,0.8747180104255676,0.9141073425610861,0.9032257795333862,0.9032257994016012,0.9032257596651713,0.8930103778839111,0.7157017389933268,0.8532806038856506,0.8989256819089254,0.8747180104255676,0.37699686487515766,0.9001753727595011,0.009968876528243223,0.8873540560404459,0.9032257795333862,0.9032257994016012,0.8532806038856506,0.36183321724335354,0.36183321724335354,0.8774013717969259,0.9001753727595011,0.34033698836962384,0.8873540560404459,0.9242112636566162,0.903225819269816,0.009742519197364649,0.34033698836962384,0.23333333333333336,0.8623740673065186,0.009742519197364649,0.9032257596651713,0.9032257994016012,0.375,0.9462365309397379,0.9032257795333862,0.8930103778839111,0.6217813889185587,0.42805222670237225,0.8989256819089254,0.0004602910161149685,0.4790749887076272,0.0,0.04267336754644381,0.00040177432321121943,0.0009205816802230937,0.08534682520664126,0.003732270958026926,0.0017069347018577534,0.00029044262919897013,0.42257633011028123,4.358898943540674,0.03262457992530597,0.00029044262919897013,0.04267342386754364,0.0853468026782031,0.08534682520664126,0.009581499953329395,0.13898886021701012,0.06219018809640385,0.0005800847541070563,0.03262457992530597,0.4533345153153867,0.02206016841956124,0.0004306450812001659,0.042918802853355996,0.0,0.0853468026782031,0.06219018809640385,0.42257633011028123,0.42257633011028123,0.003732270958026926,0.02206016841956124,0.4790749887076272,0.042918802853355996,0.0399250459867029,0.04267340133910153,0.0009205816802230937,0.4790749887076272,0.3696394639825858,0.0017069347018577534,0.0009205816802230937,0.08534682520664126,0.0853468026782031,0.0,0.03724840335375787,0.0,0.009581499953329395,0.2395375160188343,0.3933382215161499,0.0005800847541070563
no_init_kenn_horizontal_adapter_bert_ms,0.00968452791372935,0.3548201322555542,0.9032257795333862,0.897849440574646,0.01009046658873558,0.00962653694053491,0.892473061879476,0.8774436116218567,0.862159013748169,0.9140783548355103,0.45066481331984204,23.666666666666668,0.8923950990041097,0.9140783548355103,0.897849420706431,0.8924731214841207,0.892473061879476,0.8933000167210897,0.7310405174891154,0.8865286509195963,0.8988526066144308,0.8923950990041097,0.46155208349227905,0.9100879828135172,0.009882620846231779,0.9064505696296692,0.9032257795333862,0.8924731214841207,0.8865286509195963,0.45066481331984204,0.45066481331984204,0.8774436116218567,0.9100879828135172,0.3548201322555542,0.9064505696296692,0.9162145058314005,0.8978494803110758,0.00962653694053491,0.3548201322555542,0.12666666666666668,0.862159013748169,0.00962653694053491,0.892473061879476,0.8924731214841207,0.375,0.9354838331540426,0.9032257795333862,0.8933000167210897,0.6290229558944702,0.5585408409436544,0.8988526066144308,0.0004017748609105566,0.29292284701203086,0.0,0.037248368941000094,0.00034794677048921585,0.0008035497218211171,0.07449680670751573,0.0021603237822769936,0.0014899347576400063,0.00025989497269337906,0.29652216639558016,3.214550253664319,0.01833609773432107,0.00025989497269337906,0.03724840335375781,0.07449680670751573,0.07449680670751573,0.005858451047073469,0.08941198332925401,0.03605460806392271,0.0005063493168864262,0.01833609773432107,0.3178589930286149,0.01479252230738572,0.0003633955789098129,0.0292101870484098,0.0,0.07449680670751573,0.03605460806392271,0.29652216639558016,0.29652216639558016,0.0021603237822769936,0.01479252230738572,0.29292284701203086,0.0292101870484098,0.03369035911008682,0.03724840335375781,0.0008035497218211171,0.29292284701203086,0.17672954855748751,0.0014899347576400063,0.0008035497218211171,0.07449680670751573,0.07449680670751573,0.0,0.03225806355476837,0.0,0.005858451047073469,0.1464614301217636,0.29520926609895687,0.0005063493168864262
no_init_kenn_hybrid_adapter_bert_ms,0.00968452791372935,0.4511416144669056,0.9032257795333862,0.897849440574646,0.01009046658873558,0.00962653694053491,0.8924730817476908,0.8783610463142395,0.862159013748169,0.9140783548355103,0.49333856006463367,20.666666666666668,0.8819534182548523,0.9140783548355103,0.897849440574646,0.8924731016159058,0.8924730817476908,0.8952264587084452,0.7544896999994913,0.8677485187848409,0.8988525867462158,0.8819534182548523,0.5097548589110374,0.904554526011149,0.009883102960884571,0.896213173866272,0.9032257795333862,0.8924731016159058,0.8677485187848409,0.49333856006463367,0.49333856006463367,0.8783610463142395,0.904554526011149,0.4511416144669056,0.896213173866272,0.9162592093149821,0.897849460442861,0.00962653694053491,0.4511416144669056,0.32666666666666666,0.862159013748169,0.00962653694053491,0.8924730817476908,0.8924731016159058,0.375,0.9354838331540426,0.9032257795333862,0.8952264587084452,0.6771836976210276,0.5651514977216721,0.8988525867462158,0.00043782409670862593,0.44692159872573295,0.0,0.04059046900638471,0.00034794677048921585,0.0008756478233471888,0.08118102880329243,0.0034538133096966893,0.0016236187602553882,0.00027862575481481526,0.39631196078812186,5.131601439446885,0.0384105850852594,0.00027862575481481526,0.04059052821759576,0.08118099722398019,0.08118102880329243,0.008938438604289839,0.12861728744271533,0.07276144451427058,0.0005517655859959383,0.0384105850852594,0.4220299189414611,0.026395834731104843,0.0003944329080293973,0.05110917565108962,0.0,0.08118099722398019,0.07276144451427058,0.39631196078812186,0.39631196078812186,0.0034538133096966893,0.026395834731104843,0.44692159872573295,0.05110917565108962,0.0365678123787195,0.040590496638288114,0.0008756478233471888,0.44692159872573295,0.48911484677254824,0.0016236187602553882,0.0008756478233471888,0.08118102880329243,0.08118099722398019,0.0,0.03225806355476838,0.0,0.008938438604289839,0.22346078059743954,0.38769821510393465,0.0005517655859959383
no_init_kenn_top_down_adapter_bert_ms,0.009742519197364649,0.32386059934894246,0.9032257795333862,0.9032257795333862,0.010206448845565319,0.009742519197364649,0.9032257596651713,0.8772411743799845,0.8623740673065186,0.9141073425610861,0.33269842341542244,23.0,0.8574451406796774,0.9141073425610861,0.9032257795333862,0.9032257994016012,0.9032257596651713,0.892680843671163,0.7086233695348104,0.8226176102956136,0.8989256819089254,0.8574451406796774,0.3482498601078987,0.8854653636614481,0.009968876528243223,0.8604248960812887,0.9032257795333862,0.9032257994016012,0.8226176102956136,0.33269842341542244,0.33269842341542244,0.8772411743799845,0.8854653636614481,0.32386059934894246,0.8604248960812887,0.9242112636566162,0.903225819269816,0.009742519197364649,0.32386059934894246,0.33,0.8623740673065186,0.009742519197364649,0.9032257596651713,0.9032257994016012,0.375,0.9462365309397379,0.9032257795333862,0.892680843671163,0.6135432024796804,0.38194166620572406,0.8989256819089254,0.0004602910161149685,0.4929343430498552,0.0,0.04267336754644381,0.00040177432321121943,0.0009205816802230937,0.08534682520664126,0.0038814127558918186,0.0017069347018577534,0.00029044262919897013,0.4464323498717338,3.605551275463989,0.047473315171157555,0.00029044262919897013,0.04267342386754364,0.0853468026782031,0.08534682520664126,0.009858692830808204,0.14506669192933824,0.08773655769768048,0.0005800847541070563,0.047473315171157555,0.4768997378162424,0.0372814369972351,0.0004306450812001659,0.07004194341999133,0.0,0.0853468026782031,0.08773655769768048,0.4464323498717338,0.4464323498717338,0.0038814127558918186,0.0372814369972351,0.4929343430498552,0.07004194341999133,0.0399250459867029,0.04267340133910153,0.0009205816802230937,0.4929343430498552,0.47634021455258213,0.0017069347018577534,0.0009205816802230937,0.08534682520664126,0.0853468026782031,0.0,0.03724840335375787,0.0,0.009858692830808204,0.2464671859159496,0.4296708813064286,0.0005800847541070563
smart_init_box_adapter_bert_ms,0.00956854596734047,0.9310515721638998,0.9354838728904724,0.8870967825253805,0.01009046658873558,0.009046625345945358,0.8387096524238586,0.8522373835245768,0.8166682720184326,0.9057237108548483,0.8794514735539755,11.333333333333334,0.8925196528434753,0.9057237108548483,0.8870967427889506,0.8387096722920736,0.8387096524238586,0.8910486499468485,0.9088853796323141,0.9050947626431783,0.8802894155184428,0.8925196528434753,0.9327642917633057,0.9149725834528605,0.00981770766278108,0.9244123498598734,0.9354838728904724,0.8387096722920736,0.9050947626431783,0.8794514735539755,0.8794514735539755,0.8522373835245768,0.9149725834528605,0.9310515721638998,0.9244123498598734,0.9101964036623637,0.8870967626571655,0.009046625345945358,0.9310515721638998,0.6366666666666667,0.8166682720184326,0.009046625345945358,0.8387096524238586,0.8387096722920736,0.25,0.9354838132858276,0.9354838728904724,0.8910486499468485,0.9332677324612936,0.9086599151293436,0.8802894155184428,0.0005219206213951111,0.02613008447343269,0.0,0.04838708043098756,0.0,0.0010438412427902222,0.096774160861969,0.0008159019967762046,0.0019354820251464844,0.00034794211430186963,0.04216786159199661,4.041451884327381,0.00027009845273220863,0.00034794211430186963,0.04838708043098756,0.09677419066429291,0.096774160861969,0.0005225959194718208,0.019293716152117005,0.00013983251358098728,0.0006577670576438721,0.00027009845273220863,0.012419308786522185,0.00013519532220171706,0.00027522650249994345,8.858931364986693e-05,0.0,0.09677419066429291,0.00013983251358098728,0.04216786159199661,0.04216786159199661,0.0008159019967762046,0.00013519532220171706,0.02613008447343269,8.858931364986693e-05,0.025516199175609936,0.048387110233306885,0.0010438412427902222,0.02613008447343269,0.27227437142216177,0.0019354820251464844,0.0010438412427902222,0.096774160861969,0.09677419066429291,0.0,0.0,0.0,0.0005225959194718208,0.013065028093167402,0.019559159706379357,0.0006577670576438721
smart_init_classifier_adapter_bert_ms,0.009684528224170208,0.8891534407933553,0.9032257795333862,0.897849440574646,0.009858502075076103,0.009626537250975767,0.8924730817476908,0.882576584815979,0.862159013748169,0.9140880306561788,0.8883534471193949,5.0,0.9061706066131592,0.9140880306561788,0.897849440574646,0.8924731016159058,0.8924730817476908,0.9039866725603739,0.8964139421780905,0.9136090079943339,0.8988525867462158,0.9061706066131592,0.8946777582168579,0.9210219581921896,0.009770208659271399,0.9280619223912557,0.9032257795333862,0.8924731016159058,0.9136090079943339,0.8883534471193949,0.8883534471193949,0.882576584815979,0.9210219581921896,0.8891534407933553,0.9280619223912557,0.9057928323745728,0.897849460442861,0.009626537250975767,0.8891534407933553,0.68,0.862159013748169,0.009626537250975767,0.8924730817476908,0.8924731016159058,0.375,0.9139784574508667,0.9032257795333862,0.9039866725603739,0.8961895902951559,0.8956173261006674,0.8988525867462158,0.00026574904044414713,0.07243701053202008,0.0,0.024637480240167178,0.00020088716160560972,0.0005314979792722335,0.049274992997335225,0.00046982138038129524,0.0009854992096066874,0.000177178627299964,0.026872811619757252,0.0,0.00019224596463472053,0.000177178627299964,0.024637480240167178,0.0492750190109349,0.049274992997335225,0.0014487341764334548,0.012875233436701107,0.00056553709389604,0.00033493159924148267,0.00019224596463472053,0.03807113784609215,9.965050507799058e-05,0.00021998165689684102,0.00030131810647384826,0.0,0.0492750190109349,0.00056553709389604,0.026872811619757252,0.026872811619757252,0.00046982138038129524,9.965050507799058e-05,0.07243701053202008,0.00030131810647384826,0.020394381762921975,0.024637506253777156,0.0005314979792722335,0.07243701053202008,0.47655010229775424,0.0009854992096066874,0.0005314979792722335,0.049274992997335225,0.0492750190109349,0.0,0.01862418447050008,0.0,0.0014487341764334548,0.03621848806892854,0.01368236131079759,0.00033493159924148267
