name,test_pretraining/macro_types/f1/mean,test_pretraining/macro_types/precision/mean,test_incremental_only/macro_example/precision/mean,test_incremental/macro_example_exclusive/precision/mean,test/macro_types/f1/mean,test_pretraining/micro/f1/mean,test_incremental/macro_types/f1/mean,test_pretraining/macro_example/precision/mean,test_incremental_only/macro_example/recall/mean,epoch/mean,threshold_incremental/mean,test/macro_types/precision/mean,test_pretraining/micro/recall/mean,test_incremental_transportation/macro_types/f1/mean,test/macro_types/recall/mean,test_incremental/macro_example/recall/mean,test_incremental/macro_example/precision/mean,test_incremental/macro_types/recall/mean,test_pretraining/macro_example/recall/mean,test_incremental_only/macro_example_exclusive/precision/mean,test/macro_example/f1/mean,test_incremental/macro_example/f1/mean,test_incremental_only/macro_types/precision/mean,test_incremental_only/macro_example_exclusive/f1/mean,test_incremental/micro/recall/mean,test_incremental_only/micro/recall/mean,test_incremental/macro_example_exclusive/f1/mean,test/micro/precision/mean,test_incremental/micro/f1/mean,test/macro_example/recall/mean,test_incremental_transportation-road/macro_types/f1/mean,test_incremental_only/micro/f1/mean,test_pretraining/macro_types/recall/mean,test_incremental_only/micro/precision/mean,test_incremental/macro_types/precision/mean,test_incremental_transportation-road/macro_types/recall/mean,test_incremental/macro_example_exclusive/recall/mean,test/macro_example/precision/mean,test_pretraining/micro/precision/mean,test_incremental_transportation-road/macro_types/precision/mean,test_incremental_only/macro_types/f1/mean,test_incremental_only/macro_types/recall/mean,test_incremental_transportation/macro_types/recall/mean,test_incremental_transportation/macro_types/precision/mean,test/micro/f1/mean,threshold_pretraining/mean,test_incremental_only/macro_example/f1/mean,test_incremental_only/macro_example_exclusive/recall/mean,test/micro/recall/mean,test_incremental/micro/precision/mean,test_pretraining/macro_example/f1/mean,test_pretraining/macro_types/f1/std,test_pretraining/macro_types/precision/std,test_incremental_only/macro_example/precision/std,test_incremental/macro_example_exclusive/precision/std,test/macro_types/f1/std,test_pretraining/micro/f1/std,test_incremental/macro_types/f1/std,test_pretraining/macro_example/precision/std,test_incremental_only/macro_example/recall/std,epoch/std,threshold_incremental/std,test/macro_types/precision/std,test_pretraining/micro/recall/std,test_incremental_transportation/macro_types/f1/std,test/macro_types/recall/std,test_incremental/macro_example/recall/std,test_incremental/macro_example/precision/std,test_incremental/macro_types/recall/std,test_pretraining/macro_example/recall/std,test_incremental_only/macro_example_exclusive/precision/std,test/macro_example/f1/std,test_incremental/macro_example/f1/std,test_incremental_only/macro_types/precision/std,test_incremental_only/macro_example_exclusive/f1/std,test_incremental/micro/recall/std,test_incremental_only/micro/recall/std,test_incremental/macro_example_exclusive/f1/std,test/micro/precision/std,test_incremental/micro/f1/std,test/macro_example/recall/std,test_incremental_transportation-road/macro_types/f1/std,test_incremental_only/micro/f1/std,test_pretraining/macro_types/recall/std,test_incremental_only/micro/precision/std,test_incremental/macro_types/precision/std,test_incremental_transportation-road/macro_types/recall/std,test_incremental/macro_example_exclusive/recall/std,test/macro_example/precision/std,test_pretraining/micro/precision/std,test_incremental_transportation-road/macro_types/precision/std,test_incremental_only/macro_types/f1/std,test_incremental_only/macro_types/recall/std,test_incremental_transportation/macro_types/recall/std,test_incremental_transportation/macro_types/precision/std,test/micro/f1/std,threshold_pretraining/std,test_incremental_only/macro_example/f1/std,test_incremental_only/macro_example_exclusive/recall/std,test/micro/recall/std,test_incremental/micro/precision/std,test_pretraining/macro_example/f1/std
no_init_box_kenn_bottom_up_adapter_bert_ms,0.8526872992515564,0.8912617564201355,0.009394572426875433,0.9354838132858276,0.8526872992515564,0.8926758766174316,0.9205574790636698,0.9244510134061178,0.009394572426875433,30.0,0.2833333333333333,0.8912617564201355,0.8805086612701416,0.9354838728904724,0.8173134326934814,0.009742519197364649,0.01009046658873558,0.9032257795333862,0.9058396816253662,0.8709677259127299,0.915050725142161,0.009912914286057154,0.941707710425059,0.8709677259127299,0.9032257994016012,0.8709677259127299,0.9190230170885721,0.9051840702692667,0.9205166498819987,0.9058396816253662,0.9048964381217957,0.9048964381217957,0.8173134326934814,0.941707710425059,0.9385957916577657,0.8709677259127299,0.9032257795333862,0.9244510134061178,0.9051840702692667,0.941707710425059,0.9048964381217957,0.8709677259127299,0.9354838728904724,0.9354838728904724,0.8926758766174316,0.25,0.009394572426875433,0.8709677259127299,0.8805086612701416,0.9385122458140055,0.915050725142161,0.0005270556243129974,0.0004131211344920468,0.0003479467704896311,0.0,0.0005270556243129974,0.00017502664168264853,0.013020709737449319,3.348361324791308e-05,0.0003479467704896311,1.7320508075688772,0.24006943440041117,0.0004131211344920468,0.00021922588348388672,0.0,0.0006451606750488281,0.000173973385244815,0.0,0.016129016876220634,0.00011599063873299342,0.0322580635547684,7.382901681729631e-05,9.007401690533067e-05,0.020656388378386088,0.0322580635547684,0.016129046678552226,0.0322580635547684,0.008350717833581763,0.00013671102421847312,0.012849019485835162,0.00011599063873299342,0.026332386947529204,0.026332386947529204,0.0006451606750488281,0.020656388378386088,0.010328194189192999,0.0322580635547684,0.016129016876220634,3.348361324791308e-05,0.00013671102421847312,0.020656388378386088,0.026332386947529204,0.0322580635547684,0.0,0.0,0.00017502664168264853,0.0,0.0003479467704896311,0.0322580635547684,0.00021922588348388672,0.009964705190302703,7.382901681729631e-05
no_init_box_kenn_horizontal_adapter_bert_ms,0.8525698979695638,0.8912611603736877,0.009278590480486551,0.9354838132858276,0.8525698979695638,0.8926348884900411,0.917701005935669,0.9244510134061178,0.009278590480486551,42.666666666666664,0.06999999999999999,0.8912611603736877,0.880435585975647,0.9354838728904724,0.8170983791351318,0.00968452791372935,0.01009046658873558,0.897849440574646,0.905801018079122,0.8602150479952494,0.9150310158729553,0.0098831532523036,0.9416773319244385,0.8602150479952494,0.897849440574646,0.8602150479952494,0.9162638982137045,0.9051769773165385,0.9175774256388346,0.905801018079122,0.8988506197929382,0.8988506197929382,0.8170983791351318,0.9416773319244385,0.9385805924733478,0.8602150479952494,0.897849440574646,0.9244510134061178,0.9051769773165385,0.9416773319244385,0.8988506197929382,0.8602150479952494,0.9354838728904724,0.9354838728904724,0.8926348884900411,0.25,0.009278590480486551,0.8602150479952494,0.880435585975647,0.9383141795794169,0.9150310158729553,3.424069391750971e-05,0.00036866387330463296,0.0002008876993049486,0.0,3.424069391750971e-05,1.3799515840131568e-05,0.0005125780260313046,3.348361324791308e-05,0.0002008876993049486,15.30795000427338,0.026457513110645904,0.00036866387330463296,0.00012657012284275553,0.0,0.0003724836894100016,0.00010044331195313502,0.0,0.00931209223525004,6.696722649597039e-05,0.01862421888325777,1.7756982976388404e-05,5.24595606261375e-05,0.018433916333143393,0.01862421888325777,0.00931209223525004,0.01862421888325777,0.004863520633834654,0.00010547510236901102,0.0007887748193797555,6.696722649597039e-05,0.001990950097082007,0.001990950097082007,0.0003724836894100016,0.018433916333143393,0.009216940960192868,0.01862421888325777,0.00931209223525004,3.348361324791308e-05,0.00010547510236901102,0.018433916333143393,0.001990950097082007,0.01862421888325777,0.0,0.0,1.3799515840131568e-05,0.0,0.0002008876993049486,0.01862421888325777,0.00012657012284275553,0.008627071880353786,1.7756982976388404e-05
no_init_box_kenn_hybrid_adapter_bert_ms,0.8529413143793741,0.8913061221440634,0.00962653694053491,0.9354838132858276,0.8529413143793741,0.8927578727404276,0.9264711936314901,0.9244413375854492,0.00962653694053491,30.0,0.27666666666666667,0.8913061221440634,0.8806548317273458,0.9354838728904724,0.8177435398101807,0.009858501764635244,0.01009046658873558,0.9139784773190817,0.9059170087178549,0.8924730817476908,0.9150854349136353,0.00997192288438479,0.943926731745402,0.8924730817476908,0.9139784971872965,0.8924731016159058,0.924493670463562,0.905198335647583,0.926326592763265,0.9059170087178549,0.9166894555091858,0.9166894555091858,0.8177435398101807,0.943926731745402,0.9397052923838297,0.8924731016159058,0.9139784574508667,0.9244413375854492,0.905198335647583,0.943926731745402,0.9166894555091858,0.8924731016159058,0.9354838728904724,0.9354838728904724,0.8927578727404276,0.25,0.00962653694053491,0.8924730817476908,0.8806548317273458,0.9393953283627828,0.9150854349136353,0.00040119624872601666,0.0003304252408283627,0.0005314978776566973,0.0,0.00040119624872601666,0.00013512031604570268,0.009192351633027626,1.6724600245127566e-05,0.0005314978776566973,1.7320508075688772,0.46188021535170065,0.0003304252408283627,0.00033489908281022254,0.0,0.0009854992096066874,0.00026574893882834856,0.0,0.02463750625377714,0.0001771786272999852,0.04927499299733524,8.268794924800824e-05,0.00013657444122017198,0.016520908129111868,0.04927499299733524,0.024637512757169328,0.0492750190109349,0.01266175852932682,8.76338087951458e-05,0.009418689190706318,0.0001771786272999852,0.019500836214147547,0.019500836214147547,0.0009854992096066874,0.016520908129111868,0.008260436894659733,0.0492750190109349,0.02463748024016717,1.6724600245127566e-05,8.76338087951458e-05,0.016520908129111868,0.019500836214147547,0.0492750190109349,0.0,0.0,0.00013512031604570268,0.0,0.0005314978776566973,0.04927499299733524,0.00033489908281022254,0.0077089285326815025,8.268794924800824e-05
no_init_box_kenn_top_down_adapter_bert_ms,0.8527440031369528,0.8901115854581197,0.009974484021464983,0.9354838132858276,0.8527440031369528,0.8926495512326559,0.9194203019142151,0.9241610765457153,0.009974484021464983,30.333333333333332,0.036666666666666674,0.8901115854581197,0.8808740774790446,0.9354838728904724,0.8183887004852295,0.010032475305100283,0.01009046658873558,0.9301075140635172,0.9060329993565878,0.9247311353683472,0.915007213751475,0.010061219024161497,0.8842003345489502,0.9247311353683472,0.9301075339317322,0.924731175104777,0.9327722787857056,0.9047444065411886,0.9182069698969523,0.9060329993565878,0.9021526376406351,0.9021526376406351,0.8183887004852295,0.8842003345489502,0.9098420937856039,0.924731175104777,0.9301074743270874,0.9241610765457153,0.9047444065411886,0.8842003345489502,0.9021526376406351,0.924731175104777,0.9354838728904724,0.9354838728904724,0.8926495512326559,0.25,0.009974484021464983,0.9247311353683472,0.8808740774790446,0.9076170921325684,0.915007213751475,0.0007218110800895573,0.0017394051197732658,0.0002008876993049486,0.0,0.0007218110800895573,0.0003140091561915637,0.020776842949981982,0.00046870175995604414,0.0002008876993049486,2.081665999466132,0.025166114784235832,0.0017394051197732658,0.00012660453560044553,0.0,0.0003724836894100016,0.00010044384965247518,0.0,0.00931212664800781,6.696722649585821e-05,0.01862418447050008,0.000214749971071196,5.0658267839962566e-05,0.0869699229367368,0.01862418447050008,0.00931209223525012,0.01862421888325777,0.004696515520687304,0.0006993318769139994,0.022842993913704326,6.696722649585821e-05,0.04350238906184412,0.04350238906184412,0.0003724836894100016,0.0869699229367368,0.04348497867343209,0.01862421888325777,0.00931209223525012,0.00046870175995604414,0.0006993318769139994,0.0869699229367368,0.04350238906184412,0.01862421888325777,0.0,0.0,0.0003140091561915637,0.0,0.0002008876993049486,0.01862418447050008,0.00012660453560044553,0.04735370294909401,0.000214749971071196
no_init_kenn_bottom_up_adapter_bert_ms,0.8803702195485433,0.8987163106600443,0.009974484021464983,0.9354838530222574,0.8803702195485433,0.8848979274431864,0.8123129407564799,0.9000850717226664,0.009974484021464983,13.666666666666666,0.2966666666666667,0.8987163106600443,0.8990718324979147,0.9032257795333862,0.8628041744232178,0.009858501764635244,0.01009046658873558,0.9139784773190817,0.9141846895217896,0.924731175104777,0.9066265424092611,0.009972066308061281,0.6256337588032087,0.924731175104777,0.9139784773190817,0.924731175104777,0.9245069821675619,0.8731042146682739,0.6495891859134039,0.9141846895217896,0.6283400232593218,0.6283400232593218,0.8628041744232178,0.6256337588032087,0.7644297579924265,0.924731175104777,0.9139784773190817,0.9000850717226664,0.8731042146682739,0.6256337588032087,0.6283400232593218,0.924731175104777,0.9032257795333862,0.9032257795333862,0.8848979274431864,0.375,0.009974484021464983,0.924731175104777,0.8990718324979147,0.6325762917598089,0.9066265424092611,0.004187315803438839,0.010101546720102005,0.0007243093345789613,0.05587262223701564,0.004187315803438839,0.037012763456767454,0.1562873332299312,0.048708479713370445,0.0007243093345789613,0.5773502691896258,0.2554081700598736,0.010101546720102005,0.00045638847326222683,0.0,0.0013430090414417637,0.0003621544063103327,0.0006026614848168291,0.033575259441381185,0.00020910509771264428,0.0671505188827623,0.025040258469425106,0.00047562672282310767,0.50507797056116,0.0671505188827623,0.033575259441381185,0.0671505188827623,0.044095218593291546,0.0705618714277842,0.4379382902316619,0.00020910509771264428,0.47332531957529206,0.47332531957529206,0.0013430090414417637,0.50507797056116,0.2525389784204177,0.0671505188827623,0.033575259441381185,0.048708479713370445,0.0705618714277842,0.50507797056116,0.47332531957529206,0.0671505188827623,0.0,0.0,0.037012763456767454,0.0,0.0007243093345789613,0.0671505188827623,0.00045638847326222683,0.4804658338142508,0.025040258469425106
no_init_kenn_horizontal_adapter_bert_ms,0.881016751130422,0.9004888335863749,0.009742519507805506,0.9247311353683472,0.881016751130422,0.9053441087404887,0.8515777389208475,0.9265348513921102,0.009742519507805506,22.666666666666668,0.16,0.9004888335863749,0.8989256819089254,0.9032257795333862,0.8623740673065186,0.009742519197364647,0.009974484331905842,0.9032257795333862,0.9141266942024231,0.9032257596651713,0.9202886422475179,0.009856943351527056,0.7142596244812012,0.9032257596651713,0.903225819269816,0.9032257994016012,0.9138339559237162,0.9118560751279196,0.8414837519327799,0.9141266942024231,0.7897940079371134,0.7897940079371134,0.8623740673065186,0.7142596244812012,0.8087426821390787,0.9032257994016012,0.9032257596651713,0.9265348513921102,0.9118560751279196,0.7142596244812012,0.7897940079371134,0.9032257994016012,0.9032257795333862,0.9032257795333862,0.9053441087404887,0.375,0.009742519507805506,0.9032257596651713,0.8989256819089254,0.7920050422350565,0.9202886422475179,0.0007074009150885198,0.002673079878682003,0.0006026620225161684,0.01862418447050008,0.0007074009150885198,0.0005338007010596726,0.023631612287874366,0.0011775639741201395,0.0006026620225161684,0.5773502691896255,0.1493318452306808,0.002673079878682003,0.00037977919404367063,0.0,0.0011174510682300048,0.0003013310112580834,0.00020088716160560972,0.027936276705750055,0.00020090167948783906,0.055872587824257955,0.00047939716521215977,0.00025249930807323624,0.1336540162341862,0.055872587824257955,0.02793631111850777,0.05587262223701564,0.023409106365734168,0.0014630660113623408,0.032897365845024736,0.00020090167948783906,0.056270252441970606,0.056270252441970606,0.0011174510682300048,0.1336540162341862,0.06682702510904061,0.05587262223701564,0.02793631111850777,0.0011775639741201395,0.0014630660113623408,0.1336540162341862,0.056270252441970606,0.05587262223701564,0.0,0.0,0.0005338007010596726,0.0,0.0006026620225161684,0.055872587824257955,0.00037977919404367063,0.08206098577192361,0.00047939716521215977
no_init_kenn_hybrid_adapter_bert_ms,0.8804741303126017,0.898934006690979,0.009974484021464983,0.9354838530222574,0.8804741303126017,0.8861174782117208,0.8151799241701762,0.9017822543780009,0.009974484021464983,12.666666666666666,0.41,0.898934006690979,0.8990718324979147,0.9032257795333862,0.8628041744232178,0.009858501764635244,0.01009046658873558,0.9139784773190817,0.9141846895217896,0.924731175104777,0.9075411359469095,0.009972066308061281,0.6365191154181957,0.924731175104777,0.9139784773190817,0.924731175104777,0.9245069821675619,0.8752761284510294,0.6545615543921789,0.9141846895217896,0.6348347763220469,0.6348347763220469,0.8628041744232178,0.6365191154181957,0.7698724269866943,0.924731175104777,0.9139784773190817,0.9017822543780009,0.8752761284510294,0.6365191154181957,0.6348347763220469,0.924731175104777,0.9032257795333862,0.9032257795333862,0.8861174782117208,0.375,0.009974484021464983,0.924731175104777,0.8990718324979147,0.6389955878257751,0.9075411359469095,0.0042594295936372265,0.010242139993049064,0.0007243093345789612,0.05587262223701564,0.0042594295936372265,0.0349872105059694,0.15784642852002873,0.04581903831147381,0.0007243093345789612,0.5773502691896258,0.36999999999999994,0.010242139993049064,0.0004563884732622335,0.0,0.0013430090414417637,0.0003621544063103327,0.0006026614848168291,0.033575259441381185,0.00020910509771260579,0.06715051888276229,0.023480875427179335,0.00047562672282310756,0.5121077557841816,0.06715051888276229,0.033575259441381185,0.06715051888276229,0.044095218593291546,0.06697632935355297,0.4357075318590219,0.00020910509771260579,0.4749821913761093,0.4749821913761093,0.0013430090414417637,0.5121077557841816,0.2560538617611512,0.06715051888276229,0.033575259441381185,0.04581903831147381,0.06697632935355297,0.5121077557841816,0.4749821913761093,0.06715051888276229,0.0,0.0,0.0349872105059694,0.0,0.0007243093345789612,0.06715051888276229,0.0004563884732622335,0.48212399358983826,0.023480875427179335
no_init_kenn_top_down_adapter_bert_ms,0.8803941011428833,0.8987653652826945,0.009974484021464983,0.9354838530222574,0.8803941011428833,0.8880147735277811,0.8134047587712606,0.9045001268386841,0.009974484021464983,13.0,0.5166666666666667,0.8987653652826945,0.8990718324979147,0.9032257795333862,0.8628041744232178,0.009858501764635244,0.01009046658873558,0.9139784773190817,0.9141846895217896,0.924731175104777,0.9089969992637634,0.009972066308061281,0.6280867618819078,0.924731175104777,0.9139784773190817,0.924731175104777,0.9245069821675619,0.8786665995915731,0.6567876736323038,0.9141846895217896,0.6328213264544805,0.6328213264544805,0.8628041744232178,0.6280867618819078,0.7656562626361847,0.924731175104777,0.9139784773190817,0.9045001268386841,0.8786665995915731,0.6280867618819078,0.6328213264544805,0.924731175104777,0.9032257795333862,0.9032257795333862,0.8880147735277811,0.375,0.009974484021464983,0.924731175104777,0.8990718324979147,0.6368407557408015,0.9089969992637634,0.004145953272137833,0.010016614095742376,0.0007243093345789613,0.05587262223701564,0.004145953272137833,0.03161422792843037,0.1543962671369341,0.0410613815384217,0.0007243093345789613,1.0,0.3962743157628732,0.010016614095742376,0.00045638847326222683,0.0,0.0013430090414417637,0.0003621544063103327,0.0006026614848168291,0.033575259441381185,0.00020910509771264428,0.0671505188827623,0.020934507661426828,0.00047562672282310767,0.5008308685169036,0.0671505188827623,0.033575259441381185,0.0671505188827623,0.044095218593291546,0.060927547668536905,0.42547016481602634,0.00020910509771264428,0.46556352056936784,0.46556352056936784,0.0013430090414417637,0.5008308685169036,0.25041542201993167,0.0671505188827623,0.033575259441381185,0.0410613815384217,0.060927547668536905,0.5008308685169036,0.46556352056936784,0.0671505188827623,0.0,0.0,0.03161422792843037,0.0,0.0007243093345789613,0.0671505188827623,0.00045638847326222683,0.473080299397589,0.020934507661426828
smart_init_box_adapter_bert_ms,0.8532425959904989,0.890942374865214,0.01009046658873558,0.9354838132858276,0.8532425959904989,0.8928558031717936,0.9330285390218099,0.9243930180867513,0.01009046658873558,9.0,0.22666666666666668,0.890942374865214,0.8809471726417542,0.9354838728904724,0.8186037540435791,0.01009046658873558,0.01009046658873558,0.9354838728904724,0.906071662902832,0.9354838132858276,0.9151406486829122,0.01009046658873558,0.9257392485936483,0.9354838132858276,0.9354838728904724,0.9354838728904724,0.9354838132858276,0.905090868473053,0.932989259560903,0.906071662902832,0.9305342038472494,0.9305342038472494,0.8186037540435791,0.9257392485936483,0.9306115706761678,0.9354838728904724,0.9354838132858276,0.9243930180867513,0.905090868473053,0.9257392485936483,0.9305342038472494,0.9354838728904724,0.9354838728904724,0.9354838728904724,0.8928558031717936,0.25,0.01009046658873558,0.9354838132858276,0.8809471726417542,0.9305342237154642,0.9151406486829122,0.00015482299691939305,0.0003375203275806894,0.0,0.0,0.00015482299691939305,5.722841606512559e-05,0.004252763010068143,6.696722649589026e-05,0.0,4.358898943540674,0.04932882862316246,0.0003375203275806894,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.2795358093856705e-05,0.0,0.016878184382769543,0.0,0.0,0.0,0.0,0.00011769163135446518,0.004320797032052904,0.0,0.008573078263513171,0.008573078263513171,0.0,0.016878184382769543,0.008439074985005913,0.0,0.0,6.696722649589026e-05,0.00011769163135446518,0.016878184382769543,0.008573078263513171,0.0,0.0,0.0,5.722841606512559e-05,0.0,0.0,0.0,0.0,0.00857304385075548,3.2795358093856705e-05
smart_init_classifier_adapter_bert_ms,0.8829898436864217,0.9041430155436196,0.009974484331905842,0.9247311353683472,0.8829898436864217,0.9063247839609782,0.9068693916002909,0.928119937578837,0.009974484331905842,10.333333333333334,0.49333333333333335,0.9041430155436196,0.8990718523661295,0.9032257795333862,0.8628041744232178,0.009858501764635244,0.009974484331905842,0.9139784574508667,0.9142040212949117,0.9247311353683472,0.9211093783378601,0.009915989202757677,0.8969696958859762,0.9247311353683472,0.9139784971872965,0.924731175104777,0.919308066368103,0.9136958122253418,0.9066975911458334,0.9142040212949117,0.9101776083310446,0.9101776083310446,0.8628041744232178,0.8969696958859762,0.9000977277755737,0.924731175104777,0.9139784574508667,0.928119937578837,0.9136958122253418,0.8969696958859762,0.9101776083310446,0.924731175104777,0.9032257795333862,0.9032257795333862,0.9063247839609782,0.375,0.009974484331905842,0.9247311353683472,0.8990718523661295,0.899760921796163,0.9211093783378601,0.00010513097479188667,0.0006298222915356636,0.00020088716160560972,0.01862418447050008,0.00010513097479188667,4.590661877988382e-05,0.0033091651937688905,0.00010041642698611335,0.00020088716160560972,4.618802153517006,0.2775487945088816,0.0006298222915356636,0.00012660453560044553,0.0,0.0003724836894100016,0.00010044331195313452,0.00020088716160560972,0.00931209223524996,6.696722649585821e-05,0.01862418447050008,1.5485740967790832e-05,0.00015022889376564713,0.03149183724469427,0.01862418447050008,0.009312126648007698,0.01862421888325777,0.013927668949812776,0.00022402705266621494,0.0033528005705401767,6.696722649585821e-05,0.006802817181599886,0.006802817181599886,0.0003724836894100016,0.03149183724469427,0.01574590141596817,0.01862421888325777,0.00931209223524996,0.00010041642698611335,0.00022402705266621494,0.03149183724469427,0.006802817181599886,0.01862421888325777,0.0,0.0,4.590661877988382e-05,0.0,0.00020088716160560972,0.01862418447050008,0.00012660453560044553,0.015823880724930083,1.5485740967790832e-05
