name,instance,run_id,test/macro_types/recall,test_pretraining/micro/precision,test_incremental/macro_types/recall,test_incremental/macro_example_exclusive/precision,test_incremental_only/macro_types/f1,test_incremental/micro/precision,test_incremental/macro_types/precision,test_incremental_only/macro_types/recall,test_incremental_only/macro_example_exclusive/recall,epoch,test_pretraining/macro_types/recall,test_incremental/macro_example/precision,test_incremental_visual_art-color/macro_types/recall,test_pretraining/macro_types/precision,test_pretraining/micro/f1,test_incremental_only/macro_example_exclusive/f1,test_incremental/macro_example/f1,test_incremental_only/micro/precision,test_incremental_only/macro_example_exclusive/precision,test/macro_example/precision,test_incremental_only/micro/f1,test_incremental/macro_types/f1,test_incremental_visual_art/macro_types/precision,test_incremental_visual_art-color/macro_types/precision,test_pretraining/macro_types/f1,test_incremental/micro/recall,test_incremental_visual_art/macro_types/recall,threshold_incremental,threshold_pretraining,test_pretraining/macro_example/f1,test_incremental_visual_art/macro_types/f1,test_incremental_visual_art-color/macro_types/f1,test/micro/f1,test/micro/recall,test/macro_types/f1,test/micro/precision,test/macro_example/f1,test_pretraining/micro/recall,test_incremental/macro_example_exclusive/f1,test_incremental_only/macro_example/precision,test_incremental_only/micro/recall,test_incremental/micro/f1,test_pretraining/macro_example/precision,test_incremental/macro_example/recall,test_incremental_only/macro_example/f1,test_incremental_only/macro_example/recall,test/macro_example/recall,test_incremental_only/macro_types/precision,test_pretraining/macro_example/recall,test/macro_types/precision,test_incremental/macro_example_exclusive/recall
no_init_box_kenn_horizontal_adapter_bert_ms,2,7bd1hlds,0.8172273635864258,0.9055029153823853,0.7833333015441895,0.9000000357627869,0.9285714626312256,0.9791666865348816,0.9772727489471436,0.8666666746139526,0.8666666746139526,49,0.8172273635864258,0.009394572116434574,0.8666666746139526,0.8924275636672974,0.8928174376487732,0.8666666746139526,0.008743462152779102,1.0,0.8666666746139526,0.9248666763305664,0.9285714626312256,0.8696213364601135,0.9545454382896424,1.0,0.8531736135482788,0.7833333611488342,0.699999988079071,0.16,0.25,0.9156389236450196,0.807692289352417,0.9285714626312256,0.8928174376487732,0.8804824352264404,0.8531736135482788,0.9055029153823853,0.9156389236450196,0.8804824352264404,0.8376237750053406,0.009046625345945358,0.8666666746139526,0.8703703880310059,0.9248666763305664,0.008176757022738457,0.009046625345945358,0.009046625345945358,0.9065935611724854,1.0,0.9065935611724854,0.8924275636672974,0.7833333611488342
no_init_box_kenn_horizontal_adapter_bert_ms,1,jrntm60d,0.8152273893356323,0.9054389595985411,0.7333333492279053,0.8333333730697632,0.8679245114326477,0.9777777791023254,0.9772727489471436,0.7666666507720947,0.7666666507720947,34,0.8152273893356323,0.008698677644133568,0.7666666507720947,0.8924275636672974,0.8924480080604553,0.7666666507720947,0.008143443614244461,1.0,0.7666666507720947,0.9245187044143676,0.8679245114326477,0.8379096984863281,0.9545454382896424,1.0,0.8520824313163757,0.7333333492279053,0.699999988079071,0.02,0.25,0.915202260017395,0.807692289352417,0.8679245114326477,0.8924480080604553,0.8798245787620544,0.8520824313163757,0.9054389595985411,0.915202260017395,0.8798245787620544,0.7801418900489807,0.008002784103155136,0.7666666507720947,0.8380953073501587,0.9245187044143676,0.007654836867004633,0.008002784103155136,0.008002784103155136,0.906071662902832,1.0,0.906071662902832,0.8924275636672974,0.7333333492279053
no_init_box_kenn_horizontal_adapter_bert_ms,0,f82nz5jd,0.8178940415382385,0.9055242538452148,0.7999999523162842,0.9000000357627869,0.9473683834075928,0.9795918464660645,0.9772727489471436,0.8999999761581421,0.9000000357627869,43,0.8178940415382385,0.009394572116434574,0.8999999761581421,0.8924275636672974,0.8929405212402344,0.9000000357627869,0.008841950446367264,1.0,0.9000000357627869,0.9248666763305664,0.9473683834075928,0.8797953724861145,0.9545454382896424,1.0,0.8535367846488953,0.800000011920929,0.699999988079071,0.01,0.25,0.91572767496109,0.807692289352417,0.9473683834075928,0.8929405212402344,0.8807017803192139,0.8535367846488953,0.9055242538452148,0.91572767496109,0.8807017803192139,0.8470588326454163,0.009394572116434574,0.8999999761581421,0.8807339668273926,0.9248666763305664,0.008350730873644352,0.009394572116434574,0.009394572116434574,0.9067675471305848,1.0,0.9067675471305848,0.8924275636672974,0.800000011920929
no_init_box_kenn_hybrid_adapter_bert_ms,2,v02s4u2p,0.8172273635864258,0.9052987694740297,0.7833333015441895,0.9000000357627869,0.9122806787490844,0.9591836929321288,0.9587541818618774,0.8666666746139526,0.8666666746139526,47,0.8172273635864258,0.009394572116434574,0.8666666746139526,0.8916868567466736,0.8927181959152222,0.8666666746139526,0.008743462152779102,0.9629629850387572,0.8666666746139526,0.9246926307678224,0.9122806787490844,0.8622116446495056,0.9545454382896424,0.9629629850387572,0.852834939956665,0.7833333611488342,0.699999988079071,0.04,0.25,0.915553629398346,0.807692289352417,0.9122806787490844,0.8927181959152222,0.8804824352264404,0.852834939956665,0.9052987694740297,0.915553629398346,0.8804824352264404,0.8376237750053406,0.009046625345945358,0.8666666746139526,0.8623853921890259,0.9246926307678224,0.008176757022738457,0.009046625345945358,0.009046625345945358,0.9065935611724854,0.9629629850387572,0.9065935611724854,0.8916868567466736,0.7833333611488342
no_init_box_kenn_top_down_adapter_bert_ms,2,5pxrfvsf,0.8172273635864258,0.9050946831703186,0.7833333015441895,0.9000000357627869,0.8965517282485962,0.9399999976158142,0.9415584206581116,0.8666666746139526,0.8666666746139526,55,0.8172273635864258,0.009394572116434574,0.8666666746139526,0.8909990191459656,0.8926189541816711,0.8666666746139526,0.008743462152779102,0.9285714030265808,0.8666666746139526,0.9245187044143676,0.8965517282485962,0.8551888465881348,0.9545454382896424,0.9285714030265808,0.8525201678276062,0.7833333611488342,0.699999988079071,0.22,0.25,0.9154683947563172,0.807692289352417,0.8965517282485962,0.8926189541816711,0.8804824352264404,0.8525201678276062,0.9050946831703186,0.9154683947563172,0.8804824352264404,0.8376237750053406,0.009046625345945358,0.8666666746139526,0.8545454740524292,0.9245187044143676,0.008176757022738457,0.009046625345945358,0.009046625345945358,0.9065935611724854,0.9285714030265808,0.9065935611724854,0.8909990191459656,0.7833333611488342
no_init_box_kenn_bottom_up_adapter_bert_ms,2,p4e0o2yt,0.8172273635864258,0.9052987694740297,0.7833333015441895,0.9000000357627869,0.9122806787490844,0.9591836929321288,0.9587541818618774,0.8666666746139526,0.8666666746139526,47,0.8172273635864258,0.009394572116434574,0.8666666746139526,0.8916868567466736,0.8927181959152222,0.8666666746139526,0.008743462152779102,0.9629629850387572,0.8666666746139526,0.9246926307678224,0.9122806787490844,0.8622116446495056,0.9545454382896424,0.9629629850387572,0.852834939956665,0.7833333611488342,0.699999988079071,0.04,0.25,0.915553629398346,0.807692289352417,0.9122806787490844,0.8927181959152222,0.8804824352264404,0.852834939956665,0.9052987694740297,0.915553629398346,0.8804824352264404,0.8376237750053406,0.009046625345945358,0.8666666746139526,0.8623853921890259,0.9246926307678224,0.008176757022738457,0.009046625345945358,0.009046625345945358,0.9065935611724854,0.9629629850387572,0.9065935611724854,0.8916868567466736,0.7833333611488342
no_init_box_kenn_hybrid_adapter_bert_ms,1,eerljpxr,0.8158940672874451,0.9054602980613708,0.75,0.8333333730697632,0.888888955116272,0.97826087474823,0.9772727489471436,0.800000011920929,0.800000011920929,35,0.8158940672874451,0.008698677644133568,0.800000011920929,0.8924275636672974,0.892571210861206,0.8000000715255737,0.008240852504968643,1.0,0.800000011920929,0.9245187044143676,0.888888955116272,0.8486841917037964,0.9545454382896424,1.0,0.8524464964866638,0.75,0.699999988079071,0.01,0.25,0.9152910113334656,0.807692289352417,0.888888955116272,0.892571210861206,0.8800438642501831,0.8524464964866638,0.9054602980613708,0.9152910113334656,0.8800438642501831,0.7894736528396606,0.008350730873644352,0.800000011920929,0.8490565419197083,0.9245187044143676,0.007828810252249241,0.008350730873644352,0.008350730873644352,0.9062456488609314,1.0,0.9062456488609314,0.8924275636672974,0.75
no_init_box_kenn_top_down_adapter_bert_ms,1,nky5robd,0.8152273893356323,0.9054389595985411,0.7333333492279053,0.8333333730697632,0.8679245114326477,0.9777777791023254,0.9772727489471436,0.7666666507720947,0.7666666507720947,44,0.8152273893356323,0.008698677644133568,0.7666666507720947,0.8924275636672974,0.8924480080604553,0.7666666507720947,0.008143443614244461,1.0,0.7666666507720947,0.9245187044143676,0.8679245114326477,0.8379096984863281,0.9545454382896424,1.0,0.8520824313163757,0.7333333492279053,0.699999988079071,0.16,0.25,0.915202260017395,0.807692289352417,0.8679245114326477,0.8924480080604553,0.8798245787620544,0.8520824313163757,0.9054389595985411,0.915202260017395,0.8798245787620544,0.7801418900489807,0.008002784103155136,0.7666666507720947,0.8380953073501587,0.9245187044143676,0.007654836867004633,0.008002784103155136,0.008002784103155136,0.906071662902832,1.0,0.906071662902832,0.8924275636672974,0.7333333492279053
no_init_box_kenn_bottom_up_adapter_bert_ms,1,su5baswh,0.8152273893356323,0.9054389595985411,0.7333333492279053,0.8333333730697632,0.8679245114326477,0.9777777791023254,0.9772727489471436,0.7666666507720947,0.7666666507720947,35,0.8152273893356323,0.008698677644133568,0.7666666507720947,0.8924275636672974,0.8924480080604553,0.7666666507720947,0.008143443614244461,1.0,0.7666666507720947,0.9245187044143676,0.8679245114326477,0.8379096984863281,0.9545454382896424,1.0,0.8520824313163757,0.7333333492279053,0.699999988079071,0.02,0.25,0.915202260017395,0.807692289352417,0.8679245114326477,0.8924480080604553,0.8798245787620544,0.8520824313163757,0.9054389595985411,0.915202260017395,0.8798245787620544,0.7801418900489807,0.008002784103155136,0.7666666507720947,0.8380953073501587,0.9245187044143676,0.007654836867004633,0.008002784103155136,0.008002784103155136,0.906071662902832,1.0,0.906071662902832,0.8924275636672974,0.7333333492279053
no_init_box_kenn_hybrid_adapter_bert_ms,0,v6zbaavi,0.8172273635864258,0.9055029153823853,0.7833333015441895,0.9000000357627869,0.9285714626312256,0.9791666865348816,0.9772727489471436,0.8666666746139526,0.8666666746139526,29,0.8172273635864258,0.009394572116434574,0.8666666746139526,0.8924275636672974,0.8928174376487732,0.8666666746139526,0.008743462152779102,1.0,0.8666666746139526,0.9248666763305664,0.9285714626312256,0.8696213364601135,0.9545454382896424,1.0,0.8531736135482788,0.7833333611488342,0.699999988079071,0.04,0.25,0.9156389236450196,0.807692289352417,0.9285714626312256,0.8928174376487732,0.8804824352264404,0.8531736135482788,0.9055029153823853,0.9156389236450196,0.8804824352264404,0.8376237750053406,0.009046625345945358,0.8666666746139526,0.8703703880310059,0.9248666763305664,0.008176757022738457,0.009046625345945358,0.009046625345945358,0.9065935611724854,1.0,0.9065935611724854,0.8924275636672974,0.7833333611488342
