name,instance,run_id,test_incremental_location-geography-island/macro_types/recall,epoch,test_incremental_location-geography/macro_types/f1,test_incremental_location-geography-island/macro_types/precision,test_incremental_location-geography-mountain/macro_types/f1,test_incremental_only/macro_example_exclusive/precision,test_incremental/micro/recall,test_incremental/macro_types/recall,test/micro/recall,test/macro_types/f1,test/macro_example/f1,threshold_incremental,test/macro_types/recall,test_incremental_only/macro_types/precision,test_incremental_location-geography/macro_types/precision,test_incremental_only/macro_example_exclusive/f1,test_incremental_location-geography-body_of_water/macro_types/f1,test_incremental/micro/f1,test_incremental_only/micro/precision,test_incremental/macro_example/precision,test_pretraining/macro_example/precision,test_incremental_only/macro_types/f1,test_incremental_only/micro/recall,test_incremental_only/macro_types/recall,test_incremental/macro_example_exclusive/f1,test_incremental_location-geography-body_of_water/macro_types/precision,test_incremental/macro_example/f1,test_incremental_only/macro_example/precision,test_incremental/macro_example_exclusive/precision,test/micro/precision,test_incremental_only/micro/f1,test/macro_types/precision,test/macro_example/precision,test_incremental_location-geography-mountain/macro_types/recall,test/micro/f1,test_pretraining/micro/f1,test_incremental/macro_example/recall,test_pretraining/macro_types/recall,test_incremental_location-geography-mountain/macro_types/precision,threshold_pretraining,test_pretraining/macro_types/f1,test_pretraining/micro/precision,test_incremental_location-geography-island/macro_types/f1,test_pretraining/macro_example/f1,test_incremental_only/macro_example/f1,test_incremental/macro_types/precision,test_incremental_only/macro_example/recall,test_incremental_location-geography/macro_types/recall,test/macro_example/recall,test_incremental/macro_types/f1,test_pretraining/macro_example/recall,test_incremental_only/macro_example_exclusive/recall,test_incremental_location-geography-body_of_water/macro_types/recall,test_pretraining/micro/recall,test_incremental/micro/precision,test_pretraining/macro_types/precision,test_incremental/macro_example_exclusive/recall
no_init_box_kenn_hybrid_adapter_bert_ms,2,mozcsziy,0.6000000238418579,25,0.6153846383094788,0.9473684430122375,0.7499999403953552,0.6666667461395264,0.5555555820465088,0.6111111044883728,0.7914241552352905,0.7097784280776978,0.8302949070930481,0.01,0.667698860168457,0.8650202751159668,1,0.6666667461395264,0.7636364102363586,0.6896551847457886,0.8571428656578064,0.030093733221292496,0.8575938940048218,0.753000020980835,0.6666666865348816,0.6666666865348816,0.6106106638908386,0.8399999737739563,0.027111470699310303,0.029600393027067184,0.677777886390686,0.8483777046203613,0.75,0.7575185298919678,0.8575938940048218,0.699999988079071,0.8189118504524231,0.8189118504524231,0.02466699481010437,0.667698860168457,0.807692289352417,0.26,0.7097784280776978,0.8483777046203613,0.7346938252449036,0.8302949070930481,0.029600393027067184,0.8987652063369751,0.029600393027067184,0.4444444477558136,0.8046802282333374,0.7275369763374329,0.8046802282333374,0.6666667461395264,0.699999988079071,0.7914241552352905,0.9090909361839294,0.7575185298919678,0.5555555820465088
no_init_box_kenn_top_down_adapter_bert_ms,2,d81km92e,0.6000000238418579,32,0.6153846383094788,0.529411792755127,0.5499999523162842,0.7000000476837158,0.5722222328186035,0.6361111402511597,0.7920061945915222,0.7011511325836182,0.8272348642349243,0.02,0.6696988940238953,0.5014318227767944,1,0.7000000476837158,0.6301369667053223,0.5936599373817444,0.4960629940032959,0.03108041360974312,0.8505390882492065,0.5843066573143005,0.699999988079071,0.7000000476837158,0.6296943426132202,0.5348837375640869,0.02795879915356636,0.03108041360974312,0.7000000476837158,0.8390544652938843,0.5806451439857483,0.7357032299041748,0.8505390882492065,0.7333333492279053,0.8148518204689026,0.8148518204689026,0.025407005101442337,0.6696988940238953,0.4399999976158142,0.26,0.7011511325836182,0.8390544652938843,0.5625000596046448,0.8272348642349243,0.03108041360974312,0.6260738968849182,0.03108041360974312,0.4444444477558136,0.8051735758781433,0.631052553653717,0.8051735758781433,0.7000000476837158,0.7666666507720947,0.7920061945915222,0.6167664527893066,0.7357032299041748,0.5722222328186035
no_init_box_kenn_bottom_up_adapter_bert_ms,2,wm3tiq4w,0.6000000238418579,37,0.6153846383094788,0.9473684430122375,0.7272727489471436,0.6666667461395264,0.5555555820465088,0.6111111640930176,0.7914241552352905,0.7089954018592834,0.8299864530563354,0.01,0.667698860168457,0.8353297710418701,1,0.6666667461395264,0.7457627058029175,0.6825938820838928,0.8219178318977356,0.029600393027067184,0.8569360971450806,0.7415284514427185,0.6666666865348816,0.6666667461395264,0.6060606241226196,0.7586206793785095,0.026909450069069862,0.029600393027067184,0.6666667461395264,0.847848653793335,0.7361963987350464,0.7557370662689209,0.8569360971450806,0.6666666865348816,0.8186653852462769,0.8186653852462769,0.02466699481010437,0.667698860168457,0.800000011920929,0.26,0.7089954018592834,0.847848653793335,0.7346938252449036,0.8299864530563354,0.029600393027067184,0.8764972686767578,0.029600393027067184,0.4444444477558136,0.8046802282333374,0.720132052898407,0.8046802282333374,0.6666667461395264,0.7333333492279053,0.7914241552352905,0.8849557638168335,0.7557370662689209,0.5555555820465088
no_init_box_kenn_hybrid_adapter_bert_ms,1,cq663bmx,0.46666666865348816,46,0.6153846383094788,1.0,0.807692289352417,0.6333333849906921,0.5388888716697693,0.5861111283302307,0.7908420562744141,0.711400032043457,0.8305709958076477,0.03,0.6656988859176636,0.970355749130249,1,0.6333333849906921,0.8301886916160583,0.6953405141830444,0.9661017060279846,0.029107054695487022,0.8587449789047241,0.7664311528205872,0.6333333253860474,0.6333333849906921,0.591524600982666,0.95652174949646,0.026264041662216187,0.0281203743070364,0.6555556058883667,0.8496977090835571,0.7651005983352661,0.7638386487960815,0.8587449789047241,0.699999988079071,0.8192141652107239,0.8192141652107239,0.023926984518766403,0.6656988859176636,0.9545454382896424,0.26,0.711400032043457,0.8496977090835571,0.6363636255264282,0.8305709958076477,0.0281203743070364,0.9777668118476868,0.0281203743070364,0.4444444477558136,0.8041869401931763,0.732896089553833,0.8041869401931763,0.6333333849906921,0.7333333492279053,0.7908420562744141,0.9797979593276978,0.7638386487960815,0.5388889312744141
no_init_box_kenn_top_down_adapter_bert_ms,1,zabesfwn,0.6000000238418579,24,0.6153846383094788,0.8181818127632141,0.6865671873092651,0.7000000476837158,0.5722222328186035,0.6361111402511597,0.7920061945915222,0.7084732055664062,0.8294376730918884,0.01,0.6696988940238953,0.7732678651809692,1,0.7000000476837158,0.800000011920929,0.6776316165924072,0.75,0.03108041360974312,0.855209469795227,0.7348120808601379,0.699999988079071,0.7000000476837158,0.6296943426132202,0.8799999952316284,0.02795879915356636,0.03108041360974312,0.7000000476837158,0.8465366959571838,0.7241379022598267,0.7520133256912231,0.855209469795227,0.7666666507720947,0.8183640837669373,0.8183640837669373,0.025407005101442337,0.6696988940238953,0.6216216087341309,0.26,0.7084732055664062,0.8465366959571838,0.6923076510429382,0.8294376730918884,0.03108041360974312,0.8299508690834045,0.03108041360974312,0.4444444477558136,0.8051736354827881,0.7202163934707642,0.8051736354827881,0.7000000476837158,0.7333333492279053,0.7920061945915222,0.8306451439857483,0.7520133256912231,0.5722222328186035
no_init_box_kenn_bottom_up_adapter_bert_ms,1,yo4c2j7e,0.46666666865348816,44,0.6153846383094788,1.0,0.7843137383460999,0.6222223043441772,0.5333333611488342,0.5777777433395386,0.7906480431556702,0.7110005021095276,0.830444872379303,0.02,0.6650322675704956,0.9696342945098876,1,0.6222223043441772,0.8301886916160583,0.690647542476654,0.9655172228813172,0.02861371450126171,0.8586628437042236,0.7580181360244751,0.6222222447395325,0.6222222447395325,0.5836479067802429,0.95652174949646,0.025914305821061134,0.02762703411281109,0.644444465637207,0.84966641664505,0.7567567825317383,0.7637953758239746,0.8586628437042236,0.6666666865348816,0.8190954923629761,0.8190954923629761,0.023680314421653748,0.6650322675704956,0.9523809552192688,0.26,0.7110005021095276,0.84966641664505,0.6363636255264282,0.830444872379303,0.02762703411281109,0.977225661277771,0.02762703411281109,0.4444444477558136,0.8040224313735962,0.7261967658996582,0.8040224313735962,0.6222223043441772,0.7333333492279053,0.7906480431556702,0.9795918464660645,0.7637953758239746,0.5333333611488342
no_init_box_kenn_hybrid_adapter_bert_ms,0,ljblkkwi,0.5,33,0.6153846383094788,0.75,0.7169811725616455,0.6111111640930176,0.5277777910232544,0.5694444179534912,0.7904540300369263,0.7057772278785706,0.829281747341156,0.01,0.6643655300140381,0.7846215963363647,1,0.6111111640930176,0.736842155456543,0.6551724076271057,0.7857142686843872,0.02762703411281109,0.8563194274902344,0.6870813965797424,0.6111111044883728,0.6111111044883728,0.5711218118667603,0.7777777910232544,0.02535814791917801,0.027133695781230927,0.6222222447395325,0.8473377823829651,0.6875,0.7526946067810059,0.8563194274902344,0.6333333253860474,0.8179080486297607,0.8179080486297607,0.023433644324541092,0.6643655300140381,0.8260869383811951,0.26,0.7057772278785706,0.8473377823829651,0.6000000238418579,0.829281747341156,0.027133695781230927,0.8384661674499512,0.027133695781230927,0.4444444477558136,0.8038991093635559,0.6782531142234802,0.8038991093635559,0.6111111640930176,0.699999988079071,0.7904540300369263,0.8636363744735718,0.7526946067810059,0.5277777910232544
no_init_box_kenn_top_down_adapter_bert_ms,0,66zj882v,0.5666666626930237,33,0.6153846383094788,0.7083333134651184,0.703703761100769,0.644444465637207,0.5444444417953491,0.5944443941116333,0.791036069393158,0.705839216709137,0.8290423154830933,0.03,0.6663655638694763,0.7444444894790649,1,0.644444465637207,0.7333333492279053,0.6577181220054626,0.7435897588729858,0.02861371450126171,0.8552505373954773,0.6908444762229919,0.644444465637207,0.644444465637207,0.5902388095855713,0.7333333492279053,0.026206951588392258,0.02861371450126171,0.644444465637207,0.8465531468391418,0.6904761791229248,0.75028395652771,0.8552505373954773,0.6333333253860474,0.817853569984436,0.817853569984436,0.02417365461587906,0.6663655638694763,0.7916666865348816,0.26,0.705839216709137,0.8465531468391418,0.6296296119689941,0.8290423154830933,0.02861371450126171,0.8083333373069763,0.02861371450126171,0.4444444477558136,0.8043924570083618,0.6850824952125549,0.8043924570083618,0.644444465637207,0.7333333492279053,0.791036069393158,0.8305084705352783,0.75028395652771,0.5444445013999939
no_init_box_kenn_bottom_up_adapter_bert_ms,0,2jwrbie7,0.5,33,0.6153846383094788,0.75,0.7169811725616455,0.6111111640930176,0.5277777910232544,0.5694444179534912,0.7904540300369263,0.7057772278785706,0.829281747341156,0.01,0.6643655300140381,0.7846215963363647,1,0.6111111640930176,0.736842155456543,0.6551724076271057,0.7857142686843872,0.02762703411281109,0.8563194274902344,0.6870813965797424,0.6111111044883728,0.6111111044883728,0.5711218118667603,0.7777777910232544,0.02535814791917801,0.027133695781230927,0.6222222447395325,0.8473377823829651,0.6875,0.7526946067810059,0.8563194274902344,0.6333333253860474,0.8179080486297607,0.8179080486297607,0.023433644324541092,0.6643655300140381,0.8260869383811951,0.26,0.7057772278785706,0.8473377823829651,0.6000000238418579,0.829281747341156,0.027133695781230927,0.8384661674499512,0.027133695781230927,0.4444444477558136,0.8038991093635559,0.6782531142234802,0.8038991093635559,0.6111111640930176,0.699999988079071,0.7904540300369263,0.8636363744735718,0.7526946067810059,0.5277777910232544
smart_init_box_adapter_bert_ms,2,hd72etrz,0.8999999761581421,6,0.6153846383094788,0.13917525112628937,0.25,0.2925926148891449,0.6611111164093018,0.769444465637207,0.7951105833053589,0.6966636180877686,0.8127321600914001,0.02,0.6803655624389648,0.13573883473873138,1,0.43888893723487854,0.2142857164144516,0.29675811529159546,0.13573883473873138,0.016280217096209526,0.8178042769432068,0.2351190447807312,0.8777777552604675,0.8777778148651123,0.4717117249965668,0.12371134012937546,0.020944278687238693,0.0129912830889225,0.36666667461395264,0.7703007459640503,0.2351190596818924,0.7137616872787476,0.8178042769432068,0.9333333373069764,0.7825090289115906,0.7825090289115906,0.02935372292995453,0.6803655624389648,0.14432989060878754,0.26,0.6966636180877686,0.7703007459640503,0.2410713881254196,0.8127321600914001,0.0194869264960289,0.35180413722991943,0.0389738529920578,0.4444444477558136,0.8077225685119629,0.4828433990478515,0.8077225685119629,0.8777778148651123,0.800000011920929,0.7951105833053589,0.1913183331489563,0.7137616872787476,0.6611111760139465
