name,instance,run_id,test_incremental_location-structure-airport/macro_types/recall,test_incremental/macro_example_exclusive/recall,test_incremental/macro_example_exclusive/precision,test_incremental_only/micro/recall,test/macro_types/f1,test_incremental/macro_example/precision,test_incremental_location-structure/macro_types/f1,test_incremental_only/micro/precision,threshold_pretraining,test_incremental/micro/recall,test_incremental_location-structure-hospital/macro_types/f1,threshold_incremental,test_incremental/macro_example/recall,test_incremental_only/macro_example/f1,test_incremental_location-structure-restaurant/macro_types/precision,test_incremental_location-structure-sports_facility/macro_types/precision,test_pretraining/micro/f1,test_pretraining/macro_types/precision,test_incremental_location-structure-airport/macro_types/precision,test_incremental_location-structure-restaurant/macro_types/f1,test_incremental_location-structure-restaurant/macro_types/recall,test_incremental/macro_types/f1,test_incremental/macro_example/f1,test_pretraining/macro_example/f1,test/micro/precision,test_incremental/micro/precision,test_incremental/macro_example_exclusive/f1,test_pretraining/macro_example/recall,epoch,test_incremental_only/macro_example/recall,test_incremental_location-structure-theater/macro_types/recall,test_incremental_location-structure-theater/macro_types/precision,test/macro_example/precision,test_incremental_location-structure-government/macro_types/recall,test_incremental_only/macro_types/f1,test_incremental_location-structure-theater/macro_types/f1,test_incremental_location-structure-government/macro_types/f1,test_incremental_only/micro/f1,test_incremental_location-structure-hospital/macro_types/precision,test_incremental_location-structure-sports_facility/macro_types/recall,test/macro_types/recall,test_incremental_location-structure-airport/macro_types/f1,test_incremental_location-structure/macro_types/recall,test_incremental_only/macro_example_exclusive/precision,test_incremental_location-structure/macro_types/precision,test_incremental_location-structure-government/macro_types/precision,test_incremental_only/macro_example_exclusive/f1,test_incremental_location-structure-hospital/macro_types/recall,test_incremental/macro_types/precision,test_incremental/micro/f1,test_pretraining/macro_example/precision,test_pretraining/micro/precision,test_incremental/macro_types/recall,test/micro/f1,test_pretraining/macro_types/recall,test/macro_example/recall,test_pretraining/macro_types/f1,test_incremental_only/macro_example/precision,test_incremental_only/macro_example_exclusive/recall,test_incremental_only/macro_types/precision,test/macro_example/f1,test_pretraining/micro/recall,test_incremental_only/macro_types/recall,test/micro/recall,test/macro_types/precision,test_incremental_location-structure-sports_facility/macro_types/f1
kenn_hybrid_adapter_bert_ms,2,3g7glh41,0.8999999761581421,0.7149938344955444,0.7100372314453125,0.8518518805503845,0.8314332962036133,0.09422791749238968,0.7965368032455444,0.591911792755127,0.33,0.7532750964164734,0.84375,0.060000000000000005,0.09488570690155028,0.07930419594049454,0.959999978542328,0.4576271176338196,0.8497732877731323,0.8444859981536865,0.3552631437778473,0.8727272748947144,0.800000011920929,0.7759817242622375,0.09455567598342896,0.8596065044403076,0.8435565829277039,0.7419354915618896,0.7125069499015808,0.8641310334205627,74,0.07918106019496918,0.78125,1.0,0.8551290035247803,0.837837815284729,0.7641753554344177,0.8771929740905762,0.6888888478279114,0.6984816193580627,0.7941176295280457,0.8999999761581421,0.8187779188156128,0.509433925151825,0.6840148568153381,0.8563829660415649,0.9533678889274596,0.5849056839942932,0.8550511598587036,0.8999999761581421,0.7293259501457214,0.7475622296333313,0.8551290035247803,0.8435565829277039,0.8290147185325623,0.8497732877731323,0.8187779188156128,0.8641310334205627,0.8314332962036133,0.07942772656679153,0.853723406791687,0.6919856071472168,0.8596065044403076,0.8560822606086731,0.8531813621520996,0.8560822606086731,0.8444859981536865,0.6067415475845337
kenn_top_down_adapter_bert_ms,2,35eax6uj,0.8666666746139526,0.6815365552902222,0.7304832935333252,0.7566137313842773,0.8295115828514099,0.0969412922859192,0.7965368032455444,0.6875,0.33,0.7139738202095032,0.8064516186714172,0.28,0.09044565260410307,0.07042405009269714,0.959999978542328,0.5094339847564697,0.8515209555625916,0.8508227467536926,0.5098039507865906,0.8727272748947144,0.800000011920929,0.7669221758842468,0.09358089417219162,0.8611927628517151,0.8503892421722412,0.8154613375663757,0.7051615715026855,0.8622931241989136,138,0.07030093669891357,0.78125,1.0,0.8600952625274658,0.4324324429035187,0.758308470249176,0.8771929740905762,0.5423729419708252,0.7204030156135559,0.78125,0.8999999761581421,0.8092419505119324,0.6419753432273865,0.6840148568153381,0.7606382966041565,0.9533678889274596,0.7272727489471436,0.7593062520027161,0.8333333134651184,0.7773041725158691,0.7613503932952881,0.8600952625274658,0.8503892421722412,0.7568138837814331,0.8515209555625916,0.8092419505119324,0.8622931241989136,0.8295115828514099,0.07054760307073593,0.7579787373542786,0.7479601502418518,0.8611927628517151,0.8526556491851807,0.7689470648765564,0.8526556491851807,0.8508227467536926,0.6506024599075317
kenn_bottom_up_adapter_bert_ms,2,2ur9metz,0.8666666746139526,0.6759603023529053,0.7267658114433289,0.7407407164573669,0.8291292190551758,0.09644795209169388,0.7965368032455444,0.710659921169281,0.33,0.7074235677719116,0.8064516186714172,0.11,0.08970563858747482,0.0689440369606018,0.959999978542328,0.5098039507865906,0.8518412709236145,0.8518454432487488,0.5909090638160706,0.8727272748947144,0.800000011920929,0.7641466856002808,0.09295469522476196,0.8613926768302917,0.8515982031822205,0.8307692408561707,0.7004429697990417,0.8619595766067505,137,0.06882091611623764,0.78125,1.0,0.8608264327049255,0.37837839126586914,0.7556859254837036,0.8771929740905762,0.49122804403305054,0.7253886461257935,0.78125,0.8666666746139526,0.8075931072235107,0.7027026414871216,0.6840148568153381,0.7446808815002441,0.9533678889274596,0.699999988079071,0.7433486580848694,0.8333333134651184,0.7850472927093506,0.7641509771347046,0.8608264327049255,0.8515982031822205,0.7443300485610962,0.8518412709236145,0.8075931072235107,0.8619595766067505,0.8291292190551758,0.06906758248806,0.7420212626457214,0.75699383020401,0.8613926768302917,0.8520845174789429,0.7543825507164001,0.8520845174789429,0.8518454432487488,0.6419753432273865
kenn_hybrid_adapter_bert_ms,1,2zzhe6jp,0.8999999761581421,0.6449813842773438,0.7063196897506714,0.6507936716079712,0.8300880789756775,0.09373457729816435,0.7965368032455444,0.8601398468017578,0.33,0.6703056693077087,0.800000011920929,0.14,0.08559447526931763,0.06068080291152,0.9583333134651184,0.7368420958518982,0.8529889583587646,0.865878164768219,0.7105262875556946,0.8518518805503845,0.7666666507720947,0.7618131041526794,0.08947978168725967,0.8619475960731506,0.8571703433990479,0.913690447807312,0.6742584109306335,0.8594188690185547,144,0.06068080291152,0.78125,1.0,0.8644912242889404,0.3243243098258972,0.7559664845466614,0.8771929740905762,0.48979589343070984,0.740963876247406,0.8799999952316284,0.46666666865348816,0.7971392869949341,0.7941175699234009,0.6840148568153381,0.6542553305625916,0.9533678889274596,1.0,0.6542553305625916,0.7333333492279053,0.8912956714630127,0.7732998132705688,0.8644912242889404,0.8571703433990479,0.6651794910430908,0.8529889583587646,0.7971392869949341,0.8594188690185547,0.8300880789756775,0.06068080291152,0.6542553305625916,0.8809503316879272,0.8619475960731506,0.848848283290863,0.6620401740074158,0.848848283290863,0.865878164768219,0.5714285969734192
kenn_top_down_adapter_bert_ms,1,12i2rw6w,0.9666666388511658,0.7057000994682312,0.6833332777023315,0.8253968358039856,0.8082963824272156,0.09068409353494644,0.7965368032455444,0.21576763689517975,0.33,0.7423580884933472,0.49019601941108704,0.02,0.09365235269069672,0.07466722279787064,0.2213114798069,0.10572687536478044,0.8141368627548218,0.8005173206329346,0.1449999958276749,0.3552631735801697,0.8999999761581421,0.5322568416595459,0.09214432537555696,0.8356549739837646,0.7768937945365906,0.3711790442466736,0.6943366527557373,0.86346036195755,144,0.07671435177326202,0.78125,0.5208333134651184,0.8095845580101013,0.7027027010917664,0.4446701407432556,0.625,0.5714285969734192,0.3421052396297455,0.3472222089767456,0.800000011920929,0.8162281513214111,0.25217390060424805,0.6840148568153381,0.7841311693191528,0.9533678889274596,0.48148149251937866,0.8050556778907776,0.8333333134651184,0.3964204788208008,0.4949054419994354,0.8095845580101013,0.7768937945365906,0.8097096681594849,0.8141368627548218,0.8162281513214111,0.86346036195755,0.8082963824272156,0.07272651791572571,0.8271275758743286,0.3035959005355835,0.8356549739837646,0.8551303744316101,0.8306587934494019,0.8551303744316101,0.8005173206329346,0.186770424246788
kenn_bottom_up_adapter_bert_ms,1,2at78wf5,0.9666666388511658,0.6765798926353455,0.7131350040435791,0.7407407164573669,0.8234769701957703,0.09463904052972794,0.7965368032455444,0.5426356792449951,0.33,0.7074235677719116,0.7619048357009888,0.02,0.08978785574436188,0.06857069581747055,0.7428571581840515,0.3333333432674408,0.8469252586364746,0.8406429290771484,0.3186813294887543,0.8000000715255737,0.8666666746139526,0.7194826602935791,0.09214964509010316,0.8572704792022705,0.8418281078338623,0.7184035181999207,0.6943766474723816,0.8615084886550903,144,0.06906758248806,0.78125,1.0,0.8530739545822144,0.5135135054588318,0.700634777545929,0.8771929740905762,0.6333333253860474,0.6263982057571411,0.7272727489471436,0.5666666626930237,0.8069981932640076,0.4793388843536377,0.6840148568153381,0.7340425252914429,0.9533678889274596,0.8260869383811951,0.7393234968185425,0.800000011920929,0.7002285122871399,0.7128713130950928,0.8530739545822144,0.8418281078338623,0.7398254871368408,0.8469252586364746,0.8069981932640076,0.8615084886550903,0.8234769701957703,0.06808090209960938,0.7446808815002441,0.6580386161804199,0.8572704792022705,0.8520845174789429,0.7491272687911987,0.8520845174789429,0.8406429290771484,0.4197531044483185
kenn_hybrid_adapter_bert_ms,0,29bozh8e,0.8999999761581421,0.6802973747253418,0.7230483293533325,0.7513227462768555,0.8318226933479309,0.09595460444688796,0.7965368032455444,0.7888888716697693,0.33,0.7117903828620911,0.8253968358039856,0.41,0.0902812033891678,0.07005426287651062,0.9583333134651184,0.6470588445663452,0.8536027669906616,0.8568047881126404,0.7714285850524902,0.8518518805503845,0.7666666507720947,0.7842665910720825,0.09303148090839386,0.8632215857505798,0.854743242263794,0.8739946484565735,0.701021671295166,0.861991286277771,103,0.07005426287651062,0.78125,0.9615384340286256,0.8644554018974304,0.5135135054588318,0.7799929976463318,0.8620690107345581,0.5846153497695923,0.7696476578712463,0.7878788113594055,0.7333333492279053,0.8082560300827026,0.8307691812515259,0.6840148568153381,0.7553191184997559,0.9533678889274596,0.6785714030265808,0.7553191184997559,0.8666666746139526,0.8225967884063721,0.7845969200134277,0.8644554018974304,0.854743242263794,0.7493493556976318,0.8536027669906616,0.8082560300827026,0.861991286277771,0.8318226933479309,0.07005426287651062,0.7553191184997559,0.8008016347885132,0.8632215857505798,0.8524652719497681,0.7602384090423584,0.8524652719497681,0.8568047881126404,0.6875
kenn_top_down_adapter_bert_ms,0,3pyss5zl,0.9666666388511658,0.7112762928009033,0.745972752571106,0.841269850730896,0.8238595128059387,0.09899687021970748,0.7965368032455444,0.5079872012138367,0.33,0.748908281326294,0.7179487347602844,0.06999999999999999,0.09439236670732498,0.07807084172964096,0.675000011920929,0.4166666567325592,0.8461176156997681,0.8293992280960083,0.3222222328186035,0.7714285850524902,0.8999999761581421,0.7051536440849304,0.09663980454206468,0.8573117852210999,0.836746096611023,0.6778656244277954,0.7282114624977112,0.8641126155853271,137,0.07819437235593796,0.84375,0.7941176295280457,0.8506172895431519,0.6216216087341309,0.6741777062416077,0.8181817531585693,0.5897436141967773,0.6334661245346069,0.5833333134651184,0.8333333134651184,0.8183932900428772,0.4833333194255829,0.6840148568153381,0.8404254913330078,0.9533678889274596,0.5609756112098694,0.8417531847953796,0.9333333373069764,0.6150976419448853,0.7116183042526245,0.8506172895431519,0.836746096611023,0.8261028528213501,0.8461176156997681,0.8183932900428772,0.8641126155853271,0.8238595128059387,0.0779477059841156,0.8430850505828857,0.558719277381897,0.8573117852210999,0.8557015061378479,0.8497841358184814,0.8557015061378479,0.8293992280960083,0.555555522441864
kenn_bottom_up_adapter_bert_ms,0,3a2dp9i6,0.9666666388511658,0.6895910501480103,0.7379181981086731,0.7777777910232544,0.8323206305503845,0.09792796522378922,0.7965368032455444,0.7616580128669739,0.33,0.7227074503898621,0.8253968358039856,0.16,0.09151455014944077,0.07252096384763718,0.959999978542328,0.6111111044883728,0.8534983396530151,0.8544349670410156,0.707317054271698,0.8727272748947144,0.800000011920929,0.7882822751998901,0.0946127027273178,0.8627917170524597,0.853579580783844,0.8575129508972168,0.712936520576477,0.8627313375473022,104,0.07252096384763718,0.84375,1.0,0.8628520965576172,0.5135135054588318,0.7835773229598999,0.9152542352676392,0.5588235855102539,0.7696334719657898,0.7878788113594055,0.7333333492279053,0.8113220930099487,0.8169013857841492,0.6840148568153381,0.7819148898124695,0.9533678889274596,0.6129032373428345,0.7819148898124695,0.8666666746139526,0.8046540021896362,0.7843601703643799,0.8628520965576172,0.853579580783844,0.7725635766983032,0.8534983396530151,0.8113220930099487,0.8627313375473022,0.8323206305503845,0.07252096384763718,0.7819148898124695,0.7798683643341064,0.8627917170524597,0.8534170985221863,0.7873216867446899,0.8534170985221863,0.8544349670410156,0.6666666269302368
box_adapter_bert_ms,2,qevl4p5x,0.8333333134651184,0.5724906921386719,0.578066885471344,0.6296296119689941,0.678183913230896,0.07671435177326202,0.7301587462425232,0.05870744958519936,0.26,0.6113536953926086,0.011878247372806072,0.99,0.07597434520721436,0.05870744958519936,0.11261261254549026,0.09166666865348816,0.6886337399482727,0.69402015209198,0.15060241520404816,0.1984127014875412,0.8333333134651184,0.4466177821159363,0.07634256035089493,0.6853196620941162,0.6116777658462524,0.12733060121536255,0.5752653479576111,0.8003507852554321,16,0.05870744958519936,0.78125,1.0,0.5991992950439453,0.6756756901741028,0.357705295085907,0.8771929740905762,0.23364487290382385,0.10740071535110474,0.006074411328881979,0.36666667461395264,0.6630541682243347,0.2551020383834839,0.5985130071640015,0.6329787373542786,0.936046540737152,0.14124293625354767,0.6329787373542786,0.2666666805744171,0.3483208417892456,0.21076400578022003,0.5991992950439453,0.6116777658462524,0.6222055554389954,0.6886337399482727,0.6630541682243347,0.8003507852554321,0.678183913230896,0.05870744958519936,0.6329787373542786,0.2503665089607239,0.6853196620941162,0.7877403497695923,0.6261543035507202,0.7877403497695923,0.69402015209198,0.14666666090488434
