name,instance,run_id,test/macro_example/f1,test_incremental/macro_example/f1,test_incremental/macro_example/recall,test_incremental_location-structure-restaurant/macro_types/recall,test_incremental_location-structure-government/macro_types/precision,epoch,test/macro_types/f1,test_incremental_location-structure-sports_facility/macro_types/precision,test_pretraining/macro_example/precision,test_incremental/macro_example_exclusive/recall,test_incremental_only/macro_example_exclusive/recall,test/macro_types/precision,test_incremental_only/macro_types/precision,test_incremental_location-structure-restaurant/macro_types/f1,test_pretraining/macro_types/f1,test_incremental_location-structure-government/macro_types/f1,test_incremental_location-structure-hospital/macro_types/precision,test_incremental_only/macro_example/f1,test/macro_types/recall,test_incremental/macro_types/f1,test/micro/f1,test_incremental_only/macro_types/f1,test_incremental_only/macro_example_exclusive/precision,threshold_incremental,test_incremental_location-structure/macro_types/f1,test_incremental_location-structure-airport/macro_types/recall,test_incremental/micro/recall,test_pretraining/macro_types/precision,test_incremental_only/macro_types/recall,test_incremental_location-structure-government/macro_types/recall,test_incremental/macro_types/recall,test_incremental_only/micro/recall,test_incremental_only/micro/precision,test_incremental_location-structure/macro_types/recall,test_incremental_location-structure-theater/macro_types/f1,test_pretraining/micro/f1,test_incremental/micro/precision,test_incremental_only/macro_example/precision,test_pretraining/macro_example/f1,test_incremental/macro_example/precision,test_incremental_location-structure-theater/macro_types/precision,test_incremental_location-structure-restaurant/macro_types/precision,test_pretraining/macro_types/recall,test_incremental_only/macro_example/recall,test_pretraining/macro_example/recall,test_incremental_location-structure-airport/macro_types/precision,test/macro_example/recall,test_incremental/micro/f1,test_incremental/macro_example_exclusive/precision,test_incremental_location-structure/macro_types/precision,test_incremental_location-structure-hospital/macro_types/f1,test_incremental_only/macro_example_exclusive/f1,test_incremental_location-structure-airport/macro_types/f1,test_incremental_location-structure-sports_facility/macro_types/recall,test_pretraining/micro/recall,test_incremental/macro_example_exclusive/f1,test_incremental_location-structure-hospital/macro_types/recall,test/macro_example/precision,test_incremental_only/micro/f1,test_incremental/macro_types/precision,test/micro/precision,test_incremental_location-structure-theater/macro_types/recall,test_incremental_location-structure-sports_facility/macro_types/f1,test/micro/recall,threshold_pretraining,test_pretraining/micro/precision
no_init_box_kenn_hybrid_adapter_bert_ms,2,qr97rviy,0.8297944068908691,0.08908597379922867,0.084278903901577,0.8333333134651184,0.6666666865348816,58,0.718711256980896,0.6756756901741028,0.8551753759384155,0.6350681781768799,0.8111701607704163,0.756452739238739,0.8018542528152466,0.8771929740905762,0.718711256980896,0.6575342416763306,0.800000011920929,0.07535746693611145,0.6845568418502808,0.802614152431488,0.8191635608673096,0.8089116215705872,0.813829779624939,0.01,0.7301587462425232,0.8666666746139526,0.6855894923210144,0.756452739238739,0.8160942792892456,0.6486486196517944,0.7850112318992615,0.8095238208770752,0.7846153974533081,0.5985130071640015,0.8771929740905762,0.8191635608673096,0.8555858135223389,0.07548100501298904,0.8297944068908691,0.09447458386421204,1.0,0.92592591047287,0.6845568418502808,0.07523433864116669,0.805876612663269,0.7428571581840515,0.805876612663269,0.7612120509147644,0.7118959426879883,0.936046540737152,0.8615384697914124,0.8124977946281433,0.8000000715255737,0.8333333134651184,0.794212818145752,0.6712909936904907,0.9333333373069764,0.8551753759384155,0.796875,0.8210245966911316,0.8457328081130981,0.78125,0.7462686896324158,0.794212818145752,0.26,0.8457328081130981
no_init_box_kenn_top_down_adapter_bert_ms,2,4wzv38bm,0.8268449902534485,0.09028859436511992,0.08625225722789764,0.8666666746139526,0.4655172526836395,43,0.7139533162117004,0.5319148898124695,0.8478081226348877,0.6499380469322205,0.853723406791687,0.7405601739883423,0.6614701151847839,0.8253968358039856,0.7139533162117004,0.5684210658073425,0.6744186282157898,0.07930419594049454,0.689191997051239,0.7557127475738525,0.8153710961341858,0.746660590171814,0.8563829660415649,0.01,0.7301587462425232,0.9333333373069764,0.7030567526817322,0.7405601739883423,0.8570382595062256,0.7297297120094299,0.8201061487197876,0.8518518805503845,0.614503800868988,0.5985130071640015,0.8965517282485962,0.8153710961341858,0.7419354915618896,0.07942772656679153,0.8268449902534485,0.094721257686615,1.0,0.7878788113594055,0.689191997051239,0.07918105274438858,0.8068934679031372,0.5090909004211426,0.8068934679031372,0.7219730615615845,0.7137546539306641,0.936046540737152,0.7945204973220825,0.8550511598587036,0.6588234901428223,0.8333333134651184,0.795735776424408,0.6803531050682068,0.9666666388511658,0.8478081226348877,0.7139689922332764,0.700695276260376,0.8360000252723694,0.8125,0.649350643157959,0.795735776424408,0.26,0.8360000252723694
no_init_box_kenn_bottom_up_adapter_bert_ms,2,zt2v2u5v,0.8293412923812866,0.08754106611013412,0.08230554312467575,0.800000011920929,0.6578947305679321,31,0.7165436148643494,0.6896551847457886,0.8556686639785767,0.6201982498168945,0.7686170339584351,0.7579755783081055,0.815306544303894,0.8571428656578064,0.7165436148643494,0.6666666269302368,0.7878788113594055,0.07141073048114777,0.6794064044952393,0.7869129776954651,0.8187180161476135,0.7923224568367004,0.771276593208313,0.01,0.7301587462425232,0.8333333134651184,0.6681222915649414,0.7579755783081055,0.7705987691879272,0.6756756901741028,0.7460150718688965,0.7671957612037659,0.8011049628257751,0.5985130071640015,0.8771929740905762,0.8187180161476135,0.8668555021286011,0.07153428345918655,0.8293412923812866,0.093487910926342,1.0,0.9230769276618958,0.6794064044952393,0.0712876170873642,0.8045856952667236,0.8333333134651184,0.8045856952667236,0.7546238899230957,0.7044609785079956,0.936046540737152,0.8253968358039856,0.7699445486068726,0.8333333134651184,0.6666666865348816,0.7926899194717407,0.6596496105194092,0.8666666746139526,0.8556686639785767,0.7837837934494019,0.8325550556182861,0.8465135097503662,0.78125,0.6779661774635315,0.7926899194717407,0.26,0.8465135097503662
no_init_box_kenn_hybrid_adapter_bert_ms,1,pyb27kwx,0.8272858262062073,0.08763426542282104,0.084278903901577,0.8333333134651184,0.5869565010070801,34,0.7119360566139221,0.6097561120986938,0.8501186370849609,0.6350681781768799,0.811170220375061,0.7420158982276917,0.6743293404579163,0.6849314570426941,0.7119360566139221,0.650602400302887,0.7567567825317383,0.07535746693611145,0.6841998100280762,0.745345413684845,0.8157997727394104,0.7371760010719299,0.813829779624939,0.01,0.7301587462425232,0.7666666507720947,0.6855894923210144,0.7420158982276917,0.8129411339759827,0.7297297120094299,0.7823085188865662,0.8095238208770752,0.6455696225166321,0.5985130071640015,0.8771929740905762,0.8157997727394104,0.7677261829376221,0.07548100501298904,0.8272858262062073,0.0912678763270378,1.0,0.5813953280448914,0.6841998100280762,0.07523433864116669,0.8056475520133972,0.5111111402511597,0.8056475520133972,0.7243367433547974,0.6877323389053345,0.936046540737152,0.8358209133148193,0.8124977946281433,0.6133333444595337,0.8333333134651184,0.794212818145752,0.6603518724441528,0.9333333373069764,0.8501186370849609,0.7183098793029785,0.7117175459861755,0.8385929465293884,0.78125,0.7042253017425537,0.794212818145752,0.26,0.8385929465293884
no_init_box_kenn_top_down_adapter_bert_ms,1,frcctflm,0.8210171461105347,0.08892149478197098,0.08625225722789764,0.8666666746139526,0.43661972880363464,34,0.7067341804504395,0.4406779706478119,0.8360666632652283,0.6499380469322205,0.853723406791687,0.7257641553878784,0.5307720899581909,0.4482758343219757,0.7067341804504395,0.5740740895271301,0.6511628031730652,0.07930420339107513,0.6886767148971558,0.6840105056762695,0.8083542585372925,0.6542176604270935,0.8563829660415649,0.01,0.7301587462425232,0.7666666507720947,0.7030567526817322,0.7257641553878784,0.8524868488311768,0.837837815284729,0.8162049055099487,0.8518518805503845,0.45868945121765137,0.5985130071640015,0.9152542352676392,0.8083542585372925,0.6156787872314453,0.07942771911621094,0.8210171461105347,0.09176121652126312,1.0,0.302325576543808,0.6886767148971558,0.07918105274438858,0.8064998984336853,0.35384616255760193,0.8064998984336853,0.6564729809761047,0.6914498209953308,0.936046540737152,0.7671233415603638,0.8550511598587036,0.4842105209827423,0.8666666746139526,0.795735776424408,0.670051634311676,0.9333333373069764,0.8360666632652283,0.5962962508201599,0.5886684656143188,0.8213794231414795,0.84375,0.584269642829895,0.795735776424408,0.26,0.8213794231414795
no_init_box_kenn_bottom_up_adapter_bert_ms,1,agizkhfw,0.8266077041625977,0.08721001446247101,0.08329222351312637,0.8333333134651184,0.5897436141967773,47,0.7098339796066284,0.625,0.8490908145904541,0.6276332139968872,0.789893627166748,0.7398481369018555,0.6551807522773743,0.6172839999198914,0.7098339796066284,0.6052631735801697,0.7567567825317383,0.07338409870862961,0.6821600794792175,0.7293333411216736,0.8146989345550537,0.7183186411857605,0.792553186416626,0.01,0.7301587462425232,0.7666666507720947,0.6768559217453003,0.7398481369018555,0.7949230670928955,0.6216216087341309,0.766864538192749,0.7883597612380981,0.6182572841644287,0.5985130071640015,0.8771929740905762,0.8146989345550537,0.7506053447723389,0.0735076442360878,0.8266077041625977,0.09151455014944077,1.0,0.4901960790157318,0.6821600794792175,0.07326097786426544,0.8052846193313599,0.4693877696990967,0.8052846193313599,0.7118255496025085,0.6895910501480103,0.936046540737152,0.8358209133148193,0.7912211418151855,0.5822784900665283,0.8333333134651184,0.7934513688087463,0.6571549773216248,0.9333333373069764,0.8490908145904541,0.6930232644081116,0.6953043937683105,0.8371158838272095,0.78125,0.7142857313156128,0.7934513688087463,0.26,0.8371158838272095
no_init_box_kenn_hybrid_adapter_bert_ms,0,9syff7o0,0.8274860382080078,0.08906949311494827,0.08329221606254578,0.8333333134651184,0.523809552192688,33,0.7132137417793274,0.9473684430122375,0.8510971069335938,0.6276332139968872,0.789893627166748,0.7472282648086548,0.7203719615936279,0.7142857313156128,0.7132137417793274,0.5569620132446289,0.7777777910232544,0.07338409870862961,0.6821611523628235,0.7589465379714966,0.8160548806190491,0.7558178305625916,0.792553186416626,0.01,0.7301587462425232,0.9333333373069764,0.6768559217453003,0.7472282648086548,0.7949324250221252,0.5945945978164673,0.7668725252151489,0.7883597612380981,0.6651785969734192,0.5985130071640015,0.9180327653884888,0.8160548806190491,0.7828282713890076,0.0735076442360878,0.8274860382080078,0.0957079380750656,0.9655172228813172,0.625,0.6821611523628235,0.07326097786426544,0.8051495552062988,0.48275861144065857,0.8051495552062988,0.7259953022003174,0.7211896181106567,0.936046540737152,0.8484848737716675,0.7912211418151855,0.6363636255264282,0.6000000238418579,0.7934513688087463,0.6711668372154236,0.9333333373069764,0.8510971069335938,0.7215496301651001,0.7511826753616333,0.8399838805198669,0.875,0.7346938252449036,0.7934513688087463,0.26,0.8399838805198669
no_init_box_kenn_top_down_adapter_bert_ms,0,lk5nxkms,0.8240906596183777,0.09051211178302764,0.08625225722789764,0.8666666746139526,0.5,34,0.7110353112220764,0.7857142686843872,0.842241644859314,0.6499380469322205,0.853723406791687,0.7344870567321777,0.6078241467475891,0.5,0.7110353112220764,0.593406617641449,0.7179487347602844,0.07930419594049454,0.6890347599983215,0.7276661396026611,0.8118869662284851,0.7107533812522888,0.8563829660415649,0.01,0.7301587462425232,0.9333333373069764,0.7030567526817322,0.7344870567321777,0.8556494116783142,0.7297297120094299,0.8189157247543335,0.8518518805503845,0.5261437892913818,0.5985130071640015,0.9375,0.8118869662284851,0.6736401915550232,0.07942772656679153,0.8240906596183777,0.0952146053314209,0.9375,0.3513513505458832,0.6890347599983215,0.07918105274438858,0.8067054748535156,0.3544303774833679,0.8067054748535156,0.688034176826477,0.7174720764160156,0.936046540737152,0.8115941882133484,0.8550511598587036,0.5137614607810974,0.7333333492279053,0.795735776424408,0.682037353515625,0.9333333373069764,0.842241644859314,0.6505050659179688,0.6547130942344666,0.8287073969841003,0.9375,0.7586206793785095,0.795735776424408,0.26,0.8287073969841003
no_init_box_kenn_bottom_up_adapter_bert_ms,0,9hkrj65y,0.8276054859161377,0.0882190614938736,0.08255220949649811,0.800000011920929,0.5121951103210449,34,0.7128379344940186,0.9473684430122375,0.851754903793335,0.6220569610595703,0.7739361524581909,0.7485317587852478,0.7318857908248901,0.7384615540504456,0.7128379344940186,0.5384615659713745,0.7714285850524902,0.07190407812595367,0.6803933382034302,0.7572507858276367,0.8162665367126465,0.7548570036888123,0.7765957117080688,0.01,0.7301587462425232,0.9333333373069764,0.6703056693077087,0.7485317587852478,0.7793169021606445,0.5675675868988037,0.753487765789032,0.7724867463111877,0.6822429895401001,0.5985130071640015,0.9180327653884888,0.8162665367126465,0.7953367829322815,0.07202762365341187,0.8276054859161377,0.094721257686615,0.9655172228813172,0.6857143044471741,0.6803933382034302,0.07178095728158951,0.8047877550125122,0.5090909004211426,0.8047877550125122,0.727488100528717,0.7137546539306641,0.936046540737152,0.8307691812515259,0.7752636075019836,0.6588234901428223,0.6000000238418579,0.7928802371025085,0.6647584438323975,0.8999999761581421,0.851754903793335,0.7245657444000244,0.761051595211029,0.8410742878913879,0.875,0.7346938252449036,0.7928802371025085,0.26,0.8410742878913879
smart_init_box_adapter_bert_ms,2,jo03c0qq,0.717863142490387,0.03919516131281853,0.09184344112873076,0.9666666388511658,0.04326328635215759,7,0.6858528256416321,0.03602484613656998,0.6446906328201294,0.6920693516731262,0.9734042882919312,0.6700038909912109,0.03822299465537071,0.06929510086774826,0.6858528256416321,0.08274231106042862,0.03726708143949509,0.025915352627635,0.7024696469306946,0.2819758951663971,0.5677811503410339,0.0735602006316185,0.1631205677986145,0.01,0.7301587462425232,0.9666666388511658,0.7532750964164734,0.6700038909912109,0.974324345588684,0.945945918560028,0.92063707113266,0.9735449552536012,0.03822185471653938,0.5985130071640015,0.07785888016223907,0.5677811503410339,0.06919374316930771,0.015129090286791325,0.717863142490387,0.024913663044571877,0.040506329387426376,0.03593556210398674,0.7024696469306946,0.0902812033891678,0.8097724318504333,0.036340851336717606,0.8097724318504333,0.1267450451850891,0.18773235380649567,0.936046540737152,0.071856290102005,0.27941712737083435,0.07004830241203308,0.9666666388511658,0.8001142144203186,0.2953479290008545,1.0,0.6446906328201294,0.07355587184429169,0.16648350656032562,0.4400125741958618,1.0,0.06946107745170593,0.8001142144203186,0.26,0.4400125741958618
