name,instance,run_id,test/macro_types/precision,test_pretraining/macro_types/f1,test_incremental/macro_example/f1,test_incremental_only/macro_types/precision,test_incremental_location-transit-road/macro_types/recall,test_incremental/macro_example/recall,test_pretraining/micro/precision,test_incremental/macro_types/f1,test_pretraining/macro_example/precision,test_incremental_location-transit/macro_types/f1,threshold_incremental,test_incremental_only/micro/recall,test_incremental_only/micro/precision,test_incremental_only/macro_example_exclusive/f1,test_pretraining/micro/recall,test_incremental_only/macro_example/f1,test/macro_types/f1,test_pretraining/micro/f1,test_incremental/macro_example_exclusive/f1,test_pretraining/macro_example/recall,test_incremental_only/macro_example/recall,test/macro_example/precision,test_incremental_only/macro_types/f1,test_pretraining/macro_types/precision,test_incremental_location-transit/macro_types/precision,test/micro/recall,test/micro/precision,test_incremental/macro_types/recall,test_incremental_only/macro_types/recall,test_incremental/micro/f1,test_incremental_only/macro_example_exclusive/precision,threshold_pretraining,test/macro_example/recall,test_incremental_location-transit-road/macro_types/f1,epoch,test/macro_example/f1,test_incremental/macro_example_exclusive/precision,test_incremental/macro_types/precision,test_incremental/macro_example/precision,test_incremental/macro_example_exclusive/recall,test_pretraining/macro_types/recall,test/micro/f1,test/macro_types/recall,test_incremental_only/micro/f1,test_incremental/micro/precision,test_incremental/micro/recall,test_incremental_only/macro_example/precision,test_incremental_location-transit/macro_types/recall,test_incremental_only/macro_example_exclusive/recall,test_incremental_location-transit-road/macro_types/precision,test_pretraining/macro_example/f1
no_init_box_kenn_hybrid_adapter_bert_ms,2,rn7dud0x,0.754248857498169,0.7052258253097534,0.003946719225496054,0.9230769276618958,0.4000000059604645,0.0029600393027067184,0.8484529852867126,0.2790697515010834,0.857676088809967,0.0,0.03,0.4000000059604645,0.9230769276618958,0.40000003576278687,0.7913231253623962,0.005920078605413437,0.7052258253097534,0.8188928961753845,0.14035089313983917,0.8043102622032166,0.005920078605413437,0.857676088809967,0.5581395030021667,0.754248857498169,0.0,0.7913231253623962,0.8484529852867126,0.20000000298023224,0.4000000059604645,0.24000000953674316,0.40000003576278687,0.26,0.8043102622032166,0.5581395030021667,48,0.8301364183425903,0.21052631735801697,0.4615384638309479,0.005920078605413437,0.10526315867900848,0.6621863842010498,0.8188928961753845,0.6621863842010498,0.5581395030021667,0.9230769276618958,0.13793103396892548,0.005920078605413437,0.0,0.40000003576278687,0.9230769276618958,0.8301364183425903
no_init_box_kenn_top_down_adapter_bert_ms,2,zjj4o6s9,0.7477495670318604,0.70625901222229,0.007235651835799217,0.6111111044883728,0.7333333492279053,0.005426738876849413,0.8464599847793579,0.3333333134651184,0.8555876016616821,0.0,0.02,0.7333333492279053,0.6111111044883728,0.7333333492279053,0.7932862043380737,0.010853477753698826,0.70625901222229,0.8190109133720398,0.2573099434375763,0.8059546947479248,0.010853477753698826,0.8555876016616821,0.6666666269302368,0.7477495670318604,0.0,0.7932862043380737,0.8464599847793579,0.36666667461395264,0.7333333492279053,0.35772356390953064,0.7333333492279053,0.26,0.8059546947479248,0.6666666269302368,47,0.8300298452377319,0.3859649002552033,0.3055555522441864,0.010853477753698826,0.1929824501276016,0.669130802154541,0.8190109133720398,0.669130802154541,0.6666666269302368,0.6111111044883728,0.25287356972694397,0.010853477753698826,0.0,0.7333333492279053,0.6111111044883728,0.8300298452377319
no_init_box_kenn_bottom_up_adapter_bert_ms,2,obudrm6g,0.7544625401496887,0.7061062455177307,0.004604505840688944,0.9333333373069764,0.46666666865348816,0.003453379264101386,0.8485167026519775,0.31111112236976624,0.857676088809967,0.0,0.02,0.46666666865348816,0.9333333373069764,0.46666669845581055,0.7917157411575317,0.006906758528202772,0.7061062455177307,0.8191327452659607,0.16374269127845764,0.8046391010284424,0.006906758528202772,0.857676088809967,0.6222222447395325,0.7544625401496887,0.0,0.7917157411575317,0.8485167026519775,0.23333333432674408,0.46666666865348816,0.27450981736183167,0.46666669845581055,0.26,0.8046391010284424,0.6222222447395325,48,0.8303115963935852,0.24561402201652527,0.46666666865348816,0.006906758528202772,0.12280701100826263,0.663575291633606,0.8191327452659607,0.663575291633606,0.6222222447395325,0.9333333373069764,0.16091954708099365,0.006906758528202772,0.0,0.46666669845581055,0.9333333373069764,0.8303115963935852
no_init_box_kenn_hybrid_adapter_bert_ms,1,z4y64h0t,0.7558513879776001,0.7047399282455444,0.0029600393027067184,1.0,0.30000001192092896,0.002220029477030039,0.8485358953475952,0.23076924681663513,0.8579227924346924,0.0,0.1,0.30000001192092896,1.0,0.30000001192092896,0.7907341718673706,0.004440058954060078,0.7047399282455444,0.8186159729957581,0.10526315122842787,0.8038169145584106,0.004440058954060078,0.8579227924346924,0.46153849363327026,0.7558513879776001,0.0,0.7907341718673706,0.8485358953475952,0.15000000596046448,0.30000001192092896,0.1875,0.30000001192092896,0.26,0.8038169145584106,0.46153849363327026,50,0.8299890160560608,0.15789473056793213,0.5,0.004440058954060078,0.07894736528396606,0.6601030826568604,0.8186159729957581,0.6601030826568604,0.46153849363327026,1.0,0.1034482792019844,0.004440058954060078,0.0,0.30000001192092896,1.0,0.8299890160560608
no_init_box_kenn_top_down_adapter_bert_ms,1,qdsuv7rb,0.7537680864334106,0.7073701620101929,0.005920078605413437,0.8999999761581421,0.6000000238418579,0.004440058954060078,0.8484657406806946,0.36000001430511475,0.8575938940048218,0.0,0.05,0.6000000238418579,0.8999999761581421,0.6000000238418579,0.7925009727478027,0.008880117908120155,0.7073701620101929,0.819529116153717,0.21052630245685575,0.8052968978881836,0.008880117908120155,0.8575938940048218,0.7200000286102295,0.7537680864334106,0.0,0.7925009727478027,0.8484657406806946,0.30000001192092896,0.6000000238418579,0.336448609828949,0.6000000238418579,0.26,0.8052968978881836,0.7200000286102295,44,0.8306230306625366,0.31578946113586426,0.44999998807907104,0.008880117908120155,0.15789473056793213,0.6663529872894287,0.819529116153717,0.6663529872894287,0.7200000286102295,0.8999999761581421,0.2068965584039688,0.008880117908120155,0.0,0.6000000238418579,0.8999999761581421,0.8306230306625366
no_init_box_kenn_bottom_up_adapter_bert_ms,1,f174ky9w,0.7558513879776001,0.705925464630127,0.003946719225496054,1.0,0.4000000059604645,0.002960039535537362,0.8486315608024597,0.2857142984867096,0.8579227924346924,0.0,0.09,0.4000000059604645,1.0,0.40000003576278687,0.7913231253623962,0.005920078605413437,0.705925464630127,0.8189759850502014,0.14035089313983917,0.8043102025985718,0.005920079071074724,0.8579227924346924,0.5714285969734192,0.7558513879776001,0.0,0.7913231253623962,0.8486315608024597,0.20000000298023224,0.4000000059604645,0.24242424964904785,0.40000003576278687,0.26,0.8043102025985718,0.5714285969734192,50,0.830251932144165,0.21052631735801697,0.5,0.005920079071074724,0.10526315867900848,0.6621863842010498,0.8189759850502014,0.6621863842010498,0.5714285969734192,1.0,0.13793103396892548,0.005920079071074724,0.0,0.40000003576278687,1.0,0.830251932144165
no_init_box_kenn_hybrid_adapter_bert_ms,0,wo7wofp9,0.7353264093399048,0.703702449798584,0.009866798296570778,0.014800197444856169,1.0,0.007400098256766796,0.5985218286514282,0.014584346674382688,0.5900313854217529,0.0,0.0,1.0,0.014800197444856169,1.0,0.7948566675186157,0.014800196513533592,0.703702449798584,0.6828569173812866,0.35087719559669495,0.8071387410163879,0.014800196513533592,0.5900313854217529,0.029168693348765373,0.7353264093399048,0.0,0.7948566675186157,0.5985218286514282,0.5,1.0,0.028382213786244392,1.0,0.26,0.8071387410163879,0.029168693348765373,57,0.6817168593406677,0.5263158082962036,0.007400098722428083,0.014800196513533592,0.2631579041481018,0.6746863722801208,0.6828569173812866,0.6746863722801208,0.029168693348765373,0.014800197444856169,0.3448275923728943,0.014800196513533592,0.0,1.0,0.014800197444856169,0.6817168593406677
no_init_box_kenn_top_down_adapter_bert_ms,0,16awauak,0.7463276386260986,0.7044640779495239,0.006248971913009882,0.5428571701049805,0.6333333253860474,0.004686729051172733,0.8460087776184082,0.29230770468711853,0.8549709916114807,0.0,0.02,0.6333333253860474,0.5428571701049805,0.6333333849906921,0.7926973104476929,0.009373458102345468,0.7044640779495239,0.8184859156608582,0.2222222089767456,0.8054614067077637,0.009373458102345468,0.8549709916114807,0.5846154093742371,0.7463276386260986,0.0,0.7926973104476929,0.8460087776184082,0.3166666626930237,0.6333333253860474,0.3114754259586334,0.6333333849906921,0.26,0.8054614067077637,0.5846154093742371,58,0.8294780850410461,0.3333333134651184,0.27142858505249023,0.009373458102345468,0.1666666567325592,0.6670475006103516,0.8184859156608582,0.6670475006103516,0.5846154093742371,0.5428571701049805,0.2183908075094223,0.009373458102345468,0.0,0.6333333849906921,0.5428571701049805,0.8294780850410461
no_init_box_kenn_bottom_up_adapter_bert_ms,0,vu6ejlb1,0.7353264093399048,0.703702449798584,0.009866798296570778,0.014800197444856169,1.0,0.007400098256766796,0.5985218286514282,0.014584346674382688,0.5900313854217529,0.0,0.0,1.0,0.014800197444856169,1.0,0.7948566675186157,0.014800196513533592,0.703702449798584,0.6828569173812866,0.35087719559669495,0.8071387410163879,0.014800196513533592,0.5900313854217529,0.029168693348765373,0.7353264093399048,0.0,0.7948566675186157,0.5985218286514282,0.5,1.0,0.028382213786244392,1.0,0.26,0.8071387410163879,0.029168693348765373,57,0.6817168593406677,0.5263158082962036,0.007400098722428083,0.014800196513533592,0.2631579041481018,0.6746863722801208,0.6828569173812866,0.6746863722801208,0.029168693348765373,0.014800197444856169,0.3448275923728943,0.014800196513533592,0.0,1.0,0.014800197444856169,0.6817168593406677
smart_init_box_adapter_bert_ms,2,dkimh644,0.754754900932312,0.7078043818473816,0.005920078605413437,0.9473684430122375,0.6000000238418579,0.004440058954060078,0.8486440777778625,0.3673469126224518,0.857676088809967,0.0,0.5700000000000001,0.6000000238418579,0.9473684430122375,0.6000000238418579,0.7925009727478027,0.008880117908120155,0.7078043818473816,0.8196122646331787,0.21052630245685575,0.8052969574928284,0.008880117908120155,0.857676088809967,0.7346938252449036,0.754754900932312,0.0,0.7925009727478027,0.8486440777778625,0.30000001192092896,0.6000000238418579,0.3396226465702057,0.6000000238418579,0.26,0.8052969574928284,0.7346938252449036,36,0.8306616544723511,0.31578946113586426,0.4736842215061188,0.008880117908120155,0.15789473056793213,0.6663529872894287,0.8196122646331787,0.6663529872894287,0.7346938252449036,0.9473684430122375,0.2068965584039688,0.008880117908120155,0.0,0.6000000238418579,0.9473684430122375,0.8306616544723511
