metric,projector,instance,family,subset,precision,recall,f1,epoch
test/macro_example,no_init_box_kenn_hybrid_adapter_bert_ms,2,location/geography,10,0.8584161400794983,0.8012268543243408,0.8288361430168152,53
test_incremental/macro_example_exclusive,no_init_box_kenn_hybrid_adapter_bert_ms,2,location/geography,10,0.5666667222976685,0.4333333671092987,0.4911111295223236,53
test_pretraining/macro_example,no_init_box_kenn_hybrid_adapter_bert_ms,2,location/geography,10,0.8584161400794983,0.8012268543243408,0.8288361430168152,53
test_incremental_location-geography-island/macro_types,no_init_box_kenn_hybrid_adapter_bert_ms,2,location/geography,10,1.0,0.2666666805744171,0.4210526645183563,53
test_incremental_location-geography/macro_types,no_init_box_kenn_hybrid_adapter_bert_ms,2,location/geography,10,1.0,0.4444444477558136,0.6153846383094788,53
test_incremental_only/macro_types,no_init_box_kenn_hybrid_adapter_bert_ms,2,location/geography,10,1.0,0.4222222566604614,0.5937500596046448,53
test_pretraining/macro_types,no_init_box_kenn_hybrid_adapter_bert_ms,2,location/geography,10,0.7656172513961792,0.6530321836471558,0.7048572897911072,53
test_incremental_only/macro_example,no_init_box_kenn_hybrid_adapter_bert_ms,2,location/geography,10,0.018746916204690933,0.018746916204690933,0.018746916204690933,53
test_incremental_only/micro,no_init_box_kenn_hybrid_adapter_bert_ms,2,location/geography,10,1.0,0.42222222685813904,0.59375,53
test_incremental_only/macro_example_exclusive,no_init_box_kenn_hybrid_adapter_bert_ms,2,location/geography,10,0.4222222566604614,0.4222222566604614,0.4222222566604614,53
test/macro_types,no_init_box_kenn_hybrid_adapter_bert_ms,2,location/geography,10,0.7656172513961792,0.6530321836471558,0.7048572897911072,53
test_incremental/micro,no_init_box_kenn_hybrid_adapter_bert_ms,2,location/geography,10,1.0,0.4333333373069763,0.604651153087616,53
test_incremental_location-geography-mountain/macro_types,no_init_box_kenn_hybrid_adapter_bert_ms,2,location/geography,10,1.0,0.5,0.6666666865348816,53
test/micro,no_init_box_kenn_hybrid_adapter_bert_ms,2,location/geography,10,0.8494555950164795,0.7871556282043457,0.817119836807251,53
