metric,projector,family,subset,precision/mean,recall/mean,f1/mean,precision/std,recall/std,f1/std
test_incremental_only/macro_example_exclusive,box_adapter_bert_ms,location/geography,10,0.2993827263514201,0.5555555820465088,0.3636554976304372,0.1850586156799997,0.08678057349257003,0.13319161757024586
test_incremental/macro_example_exclusive,box_adapter_bert_ms,location/geography,10,0.39444446563720703,0.5000000298023224,0.4231726924578349,0.1877507739025955,0.0433902600357104,0.09915170853769426
test_incremental_location-geography-island/macro_types,box_adapter_bert_ms,location/geography,10,0.15935389945904413,0.4222222367922465,0.22200733671585718,0.0934623107872211,0.15752719496915155,0.11232899892826263
test_incremental_only/macro_example,box_adapter_bert_ms,location/geography,10,0.013292768814911446,0.024666994189222653,0.01614651766916116,0.008216710586304308,0.0038531073494563945,0.005913785142953852
test_incremental_location-geography-body_of_water/macro_types,box_adapter_bert_ms,location/geography,10,0.19667541359861693,0.700000007947286,0.2715766467154026,0.15756123684272072,0.14529661595388085,0.19996842319976446
test_incremental_location-geography/macro_types,box_adapter_bert_ms,location/geography,10,1.0,0.4444444477558136,0.6153846383094788,0.0,0.0,0.0
test/micro,box_adapter_bert_ms,location/geography,10,0.7505166133244833,0.789483904838562,0.7658069928487142,0.12481684305751224,0.0015153939243076476,0.0692838473101095
test_incremental/micro,box_adapter_bert_ms,location/geography,10,0.27154944961269695,0.5,0.3135305146376292,0.2139415951226387,0.04339028674628501,0.20686182070254724
test_pretraining/micro,box_adapter_bert_ms,location/geography,10,0.7505166133244833,0.789483904838562,0.7658069928487142,0.12481684305751224,0.0015153939243076476,0.0692838473101095
test/macro_types,box_adapter_bert_ms,location/geography,10,0.7167385419209799,0.6610321998596191,0.6877369483311971,0.008639900724083188,0.005206867835997484,0.005021654460816043
test_incremental_location-geography-mountain/macro_types,box_adapter_bert_ms,location/geography,10,0.20003150838116804,0.5444444616635641,0.2662228544553121,0.1862185303732278,0.09622505633585687,0.21916289868450847
test_pretraining/macro_example,box_adapter_bert_ms,location/geography,10,0.7612913846969604,0.8031043211619059,0.7770019372304281,0.14011479880728878,0.0013292099731081143,0.07853884551588575
test/macro_example,box_adapter_bert_ms,location/geography,10,0.7612913846969604,0.8031043211619059,0.7770019372304281,0.14011479880728878,0.0013292099731081143,0.07853884551588575
test_incremental_only/micro,box_adapter_bert_ms,location/geography,10,0.18246278166770935,0.5555555621782938,0.24915857488910356,0.14824908358607405,0.08678053915040303,0.18066493072973905
test_incremental/macro_example,box_adapter_bert_ms,location/geography,10,0.01751356665045023,0.022200295080741245,0.01878911815583706,0.008336245066688626,0.001926553972837252,0.004402395438835962
test_pretraining/macro_types,box_adapter_bert_ms,location/geography,10,0.7167385419209799,0.6610321998596191,0.6877369483311971,0.008639900724083188,0.005206867835997484,0.005021654460816043
test_incremental/macro_types,box_adapter_bert_ms,location/geography,10,0.38901519775390625,0.5277777910232544,0.44138545791308087,0.10799873745649789,0.06508540340885224,0.07703134134788556
test_incremental_only/macro_types,box_adapter_bert_ms,location/geography,10,0.1853536143898964,0.5555556019147238,0.25422604009509087,0.14399831755961526,0.08678055441358853,0.17235843785732283
test_incremental_only/macro_example_exclusive,classifier_adapter_bert_ms,location/geography,10,0.23765432834625244,0.6666666666666666,0.3503501315911611,0.017794489210690854,0.029397246301616668,0.02334899288421691
test_incremental/macro_example_exclusive,classifier_adapter_bert_ms,location/geography,10,0.36666667461395264,0.6555555860201517,0.4702199200789134,0.0032075099075053602,0.014698589358155429,0.0013328280303569274
test_incremental_location-geography-island/macro_types,classifier_adapter_bert_ms,location/geography,10,0.33975059787432355,0.7111111084620158,0.459449162085851,0.02456347245110444,0.019245025032274446,0.023370510902858882
