name,instance,run_id,test_pretraining/macro_example/recall,threshold_incremental,test_incremental_organization-company/macro_types/f1,test_incremental_organization-company-news/macro_types/precision,test_pretraining/macro_types/precision,test_incremental/macro_example_exclusive/recall,test_incremental_only/macro_example_exclusive/f1,test_incremental_only/macro_example/precision,test_incremental/macro_example/f1,test_incremental_only/macro_types/f1,test_pretraining/macro_types/recall,test_incremental/macro_example/recall,test/macro_types/recall,test_incremental/micro/recall,test/macro_example/precision,test_incremental/macro_example_exclusive/precision,test/micro/f1,test/macro_types/precision,test_incremental/macro_types/recall,test_incremental_only/macro_example_exclusive/precision,test_incremental_organization-company-news/macro_types/f1,test_incremental_organization-company/macro_types/precision,test_pretraining/macro_types/f1,test_pretraining/macro_example/f1,test_incremental_only/macro_example_exclusive/recall,test_pretraining/micro/recall,test/macro_example/recall,test_incremental/macro_types/precision,test/macro_example/f1,test_incremental/macro_example_exclusive/f1,test_incremental_organization-company-broadcast/macro_types/f1,test/macro_types/f1,test/micro/precision,test_incremental/micro/f1,test_incremental_only/micro/f1,test_incremental_only/micro/recall,test_incremental_only/macro_example/recall,test_incremental_organization-company-news/macro_types/recall,epoch,test_incremental_organization-company-broadcast/macro_types/precision,test_incremental_only/macro_types/recall,test_incremental/macro_types/f1,test_pretraining/micro/precision,test_incremental_organization-company-broadcast/macro_types/recall,threshold_pretraining,test_incremental_only/macro_example/f1,test_incremental/micro/precision,test_incremental_only/micro/precision,test/micro/recall,test_pretraining/macro_example/precision,test_incremental/macro_example/precision,test_pretraining/micro/f1,test_incremental_only/macro_types/precision,test_incremental_organization-company/macro_types/recall
no_init_box_kenn_hybrid_adapter_bert_ms,2,ytzttllg,0.8013930916786194,0.060000000000000005,0.7392550110816956,0.3617021143436432,0.7448920607566833,0.667641282081604,0.4696969985961914,0.017266895622015,0.06050913780927658,0.526513397693634,0.6594257950782776,0.05632296949625015,0.6594257950782776,0.6482213735580444,0.8559005260467529,0.7748538255691528,0.8147105574607849,0.7448920607566833,0.5604363679885864,0.5,0.34343433380126953,0.7247191071510315,0.6995581984519958,0.8277505040168762,0.44285717606544495,0.7877963185310364,0.8013930916786194,0.6478546857833862,0.8277505040168762,0.7172632813453674,0.7058824300765991,0.6995581984519958,0.8435289263725281,0.657314658164978,0.46666666865348816,0.4268292784690857,0.015293536707758904,0.32692307233810425,18,0.8571428656578064,0.4634615480899811,0.6009832620620728,0.8435289263725281,0.6000000238418579,0.26,0.016220416873693466,0.6666666865348816,0.5147058963775635,0.7877963185310364,0.8559005260467529,0.06536753475666046,0.8147105574607849,0.609422504901886,0.7543859481811523
no_init_box_kenn_top_down_adapter_bert_ms,2,36jh2gbx,0.8025825619697571,0.01,0.7392550110816956,0.24137930572032928,0.738181471824646,0.695906400680542,0.6090226173400879,0.022200297564268112,0.06130094826221466,0.5117102265357971,0.6650773286819458,0.05870744958519936,0.6650773286819458,0.687747061252594,0.8518386483192444,0.7602338790893555,0.8121502995491028,0.738181471824646,0.6527440547943115,0.6428571939468384,0.30215826630592346,0.7247191071510315,0.6997251510620117,0.8264773488044739,0.5785714387893677,0.7897396087646484,0.8025825619697571,0.5382490158081055,0.8264773488044739,0.7266492247581482,0.7164179086685181,0.6997251510620117,0.8358700275421143,0.6270270347595215,0.43689319491386414,0.5487805008888245,0.01998026669025421,0.4038461446762085,18,0.6486486196517944,0.6019231081008911,0.5899930596351624,0.8358700275421143,0.800000011920929,0.26,0.021031860262155533,0.5761589407920837,0.3629032373428345,0.7897396087646484,0.8518386483192444,0.06413418799638748,0.8121502995491028,0.44501397013664246,0.7543859481811523
no_init_box_kenn_bottom_up_adapter_bert_ms,2,baf1m5vg,0.8015575408935547,0.01,0.7392550110816956,0.3333333432674408,0.7436792850494385,0.6705652475357056,0.48403364419937134,0.01776023581624031,0.060330718755722046,0.5252408385276794,0.6601061224937439,0.05656964331865311,0.6601061224937439,0.6521739363670349,0.8552674055099487,0.7660818099975586,0.8144205808639526,0.7436792850494385,0.5715474486351013,0.5142857432365417,0.33009710907936096,0.7247191071510315,0.6994049549102783,0.8275418877601624,0.4571428894996643,0.7879906892776489,0.8015575408935547,0.628046452999115,0.8275418877601624,0.7151482701301575,0.7169811725616455,0.6994049549102783,0.8426849246025085,0.6534653902053833,0.4615384638309479,0.4390243887901306,0.015786876901984215,0.32692307233810425,24,0.8260869383811951,0.4801281988620758,0.5984663963317871,0.8426849246025085,0.6333333253860474,0.26,0.0167155172675848,0.6547619104385376,0.4864864945411682,0.7879906892776489,0.8552674055099487,0.06462752819061279,0.8144205808639526,0.5797101259231567,0.7543859481811523
no_init_box_kenn_hybrid_adapter_bert_ms,1,7qp1pinc,0.8019827604293823,0.01,0.7392550110816956,0.4047619104385376,0.7384821772575378,0.6842105388641357,0.5517051219940186,0.02022693492472172,0.05939730256795883,0.501848042011261,0.6635074615478516,0.057720765471458435,0.6635074615478516,0.6719367504119873,0.8540058135986328,0.7251461744308472,0.8141167163848877,0.7384821772575378,0.6271030306816101,0.5857143402099609,0.3617021143436432,0.7247191071510315,0.6989901065826416,0.8271771669387817,0.5214285850524902,0.7889623045921326,0.8019827604293823,0.5431603789329529,0.8271771669387817,0.7040838599205017,0.6153846383094788,0.6989901065826416,0.8409278988838196,0.6525911688804626,0.4767441749572754,0.5,0.018006905913352966,0.32692307233810425,14,0.5,0.5634615421295166,0.5821210741996765,0.8409278988838196,0.800000011920929,0.26,0.01905246824026108,0.6343283653259277,0.4555555582046509,0.7889623045921326,0.8540058135986328,0.061174146831035614,0.8141167163848877,0.4523809552192688,0.7543859481811523
no_init_box_kenn_top_down_adapter_bert_ms,1,egxducnl,0.8016186356544495,0.01,0.7392550110816956,0.2857142984867096,0.7374441027641296,0.6666666865348816,0.4656488597393036,0.017266895622015,0.05927447974681854,0.46596091985702515,0.6614404916763306,0.0562407486140728,0.6614404916763306,0.6482213735580444,0.8549878001213074,0.7426900863647461,0.8138110637664795,0.7374441027641296,0.5933423638343811,0.5,0.229885071516037,0.7247191071510315,0.697377622127533,0.827443540096283,0.4357143044471741,0.7877963185310364,0.8016186356544495,0.5262050628662109,0.827443540096283,0.7026278972625732,0.6756756901741028,0.697377622127533,0.8416026830673218,0.6431372761726379,0.4347825944423675,0.4268292784690857,0.015046866610646248,0.1923076957464218,11,0.5681818127632141,0.5128204822540283,0.5577607154846191,0.8416026830673218,0.8333333134651184,0.26,0.016080619767308235,0.6381322741508484,0.4430379867553711,0.7877963185310364,0.8549878001213074,0.06265416741371155,0.8138110637664795,0.42694807052612305,0.7543859481811523
no_init_box_kenn_bottom_up_adapter_bert_ms,1,i4bege73,0.8019005656242371,0.01,0.7392550110816956,0.4047619104385376,0.7409642934799194,0.6822612285614014,0.5413534045219421,0.019733594730496407,0.06033436208963394,0.5294607281684875,0.66282719373703,0.05755632370710373,0.66282719373703,0.6679841876029968,0.8554201126098633,0.7514619827270508,0.8148147463798523,0.7409642934799194,0.6159919500350952,0.5714285969734192,0.3617021143436432,0.7247191071510315,0.6997211575508118,0.8277961015701294,0.5142857432365417,0.7887679934501648,0.8019005656242371,0.5837008953094482,0.8277961015701294,0.7151916027069092,0.6865671873092651,0.6997211575508118,0.8426406383514404,0.6627450585365295,0.4968944191932678,0.4878048896789551,0.01776023581624031,0.32692307233810425,14,0.6216216087341309,0.5467948913574219,0.5994118452072144,0.8426406383514404,0.7666666507720947,0.26,0.018694983795285225,0.6575875282287598,0.5063291192054749,0.7887679934501648,0.8554201126098633,0.06339417397975922,0.8148147463798523,0.5131917595863342,0.7543859481811523
no_init_box_kenn_hybrid_adapter_bert_ms,0,8gbj9n71,0.8015364408493042,0.060000000000000005,0.7392550110816956,0.3333333432674408,0.7428995370864868,0.6666666269302368,0.4675324857234955,0.01776023581624031,0.06014316901564598,0.5446024537086487,0.6621207594871521,0.0562407523393631,0.6621207594871521,0.6521739363670349,0.8566404581069946,0.7660818696022034,0.815321147441864,0.7428995370864868,0.604453444480896,0.5142857432365417,0.24390245974063873,0.7247191071510315,0.7001881003379822,0.8281728029251099,0.4285714626312256,0.7879906892776489,0.8015364408493042,0.6153104305267334,0.8281728029251099,0.7129250764846802,0.8253968358039856,0.7001881003379822,0.8446156978607178,0.6680161952972412,0.4965517222881317,0.4390243887901306,0.014800196513533592,0.1923076957464218,14,0.7878788113594055,0.5294871926307678,0.6098336577415466,0.8446156978607178,0.8666666746139526,0.26,0.016145668923854828,0.6846473217010498,0.5714285969734192,0.7879906892776489,0.8566404581069946,0.06462752819061279,0.815321147441864,0.560606062412262,0.7543859481811523
no_init_box_kenn_top_down_adapter_bert_ms,0,k6gy9rp1,0.8024925589561462,0.01,0.7392550110816956,0.3214285671710968,0.7373591065406799,0.6959064602851868,0.611295759677887,0.02269363589584827,0.060616634786129,0.5106191039085388,0.6666210293769836,0.05870744585990906,0.6666210293769836,0.6916996240615845,0.8533233404159546,0.7426900863647461,0.8135695457458496,0.7373591065406799,0.6779577136039734,0.6571428775787354,0.3333333432674408,0.7247191071510315,0.7002080678939819,0.8271277546882629,0.5714285969734192,0.7899339199066162,0.8024925589561462,0.5248165130615234,0.8271277546882629,0.7185376286506653,0.6746988296508789,0.7002080678939819,0.8386631011962891,0.6481481790542603,0.481675386428833,0.5609756112098694,0.019733594730496407,0.3461538553237915,14,0.5283018946647644,0.6397435665130615,0.5916378498077393,0.8386631011962891,0.9333333373069764,0.26,0.021110357716679573,0.6097561120986938,0.4220183491706848,0.7899339199066162,0.8533233404159546,0.06265416741371155,0.8135695457458496,0.4248652458190918,0.7543859481811523
no_init_box_kenn_bottom_up_adapter_bert_ms,0,vx8tp4v4,0.8012075424194336,0.04,0.7392550110816956,0.2857142984867096,0.7421751022338867,0.6608186960220337,0.4387097358703614,0.016773555427789688,0.059859924018383026,0.5184559226036072,0.660760223865509,0.05574741214513779,0.660760223865509,0.6442687511444092,0.8560978174209595,0.7660818696022034,0.8147552609443665,0.7421751022338867,0.5822312235832214,0.485714316368103,0.229885071516037,0.7247191071510315,0.6991053819656372,0.827743649482727,0.40000003576278687,0.7876020073890686,0.8012075424194336,0.6034778356552124,0.827743649482727,0.7095675468444824,0.8000000715255737,0.6991053819656372,0.8438475728034973,0.6572580933570862,0.4625850319862366,0.4146341383457184,0.013813517056405544,0.1923076957464218,14,0.800000011920929,0.496153861284256,0.5926641821861267,0.8438475728034973,0.800000011920929,0.26,0.015150307677686214,0.6707819104194641,0.5230769515037537,0.7876020073890686,0.8560978174209595,0.06462752819061279,0.8147552609443665,0.5428571701049805,0.7543859481811523
smart_init_box_adapter_bert_ms,2,i1up2k4q,0.8002090454101562,0.56,0.7392550110816956,0.4615384638309479,0.7453098297119141,0.6393762230873108,0.32307693362236023,0.01208682730793953,0.05768740922212601,0.4462851285934448,0.654742419719696,0.05393849313259125,0.654742419719696,0.6126482486724854,0.8569834232330322,0.7348927855491638,0.8148670792579651,0.7453098297119141,0.48394060134887695,0.3500000238418579,0.307692289352417,0.7247191071510315,0.6970967650413513,0.8276236653327942,0.30000001192092896,0.7860473990440369,0.8002090454101562,0.654678463935852,0.8276236653327942,0.6838151216506958,0.5833333134651184,0.6970967650413513,0.845880389213562,0.6526315808296204,0.4126983880996704,0.31707316637039185,0.010360137559473516,0.2307692319154739,28,0.7777777910232544,0.34871795773506165,0.5565083026885986,0.845880389213562,0.46666666865348816,0.26,0.011157072149217129,0.6981981992721558,0.5909090638160706,0.7860473990440369,0.8569834232330322,0.06199638172984123,0.8148670792579651,0.6196581125259399,0.7543859481811523
