name,instance,run_id,test_incremental_only/macro_types/precision,test_incremental_other-art-broadcast/macro_types/recall,test_incremental/micro/f1,test_incremental_only/micro/f1,test_pretraining/macro_example/recall,test_incremental/macro_types/recall,test_incremental_only/macro_example/f1,test_incremental/micro/precision,test_incremental/macro_types/precision,test_incremental_only/macro_types/recall,test_pretraining/macro_types/recall,test_incremental_only/micro/precision,test_incremental_other-art-music/macro_types/f1,test/macro_types/f1,threshold_incremental,test_incremental/macro_types/f1,test_incremental/macro_example_exclusive/recall,test_incremental_other-art-stage/macro_types/precision,test/micro/precision,test_incremental_other-art-music/macro_types/recall,test_incremental_only/macro_example_exclusive/f1,test_incremental_other-art-stage/macro_types/f1,test/micro/f1,threshold_pretraining,test_pretraining/macro_types/f1,test_incremental_other-art-writing/macro_types/precision,test_incremental_other-art/macro_types/precision,test_incremental_other-art-broadcast/macro_types/f1,test_incremental_only/macro_example_exclusive/precision,test_incremental/macro_example_exclusive/f1,test_incremental_only/macro_example/precision,test_incremental_other-art-music/macro_types/precision,test_incremental_only/macro_types/f1,test_incremental_other-art-stage/macro_types/recall,test_pretraining/micro/recall,test_incremental_only/macro_example/recall,test/micro/recall,test_incremental_only/macro_example_exclusive/recall,test_incremental/micro/recall,test/macro_example/recall,test_pretraining/macro_example/f1,test_pretraining/macro_types/precision,epoch,test/macro_example/f1,test_incremental_other-art-film/macro_types/precision,test_incremental_other-art-writing/macro_types/recall,test/macro_types/recall,test_incremental_other-art-broadcast/macro_types/precision,test_pretraining/micro/precision,test_incremental_only/micro/recall,test_pretraining/macro_example/precision,test/macro_example/precision,test_incremental_other-art-writing/macro_types/f1,test_pretraining/micro/f1,test_incremental_other-art-film/macro_types/f1,test_incremental/macro_example/precision,test_incremental_other-art-film/macro_types/recall,test_incremental/macro_example/recall,test/macro_types/precision,test_incremental/macro_example/f1,test_incremental_other-art/macro_types/recall,test_incremental_other-art/macro_types/f1,test_incremental/macro_example_exclusive/precision
no_init_box_kenn_hybrid_adapter_bert_ms,2,vpdu97v0,0.7111111283302307,0.1666666716337204,0.6245733499526978,0.3467741906642914,0.7858675718307495,0.3460842967033386,0.019904132932424545,0.7991266250610352,0.7207977771759033,0.2358139604330063,0.6262310743331909,0.914893627166748,0.5714285969734192,0.681244432926178,0.02,0.4676370322704315,0.5395299792289734,1.0,0.8489028215408325,0.4000000059604645,0.25862613320350647,0.5,0.8083581924438477,0.26,0.681244432926178,0.0,0.7692307829856873,0.25641024112701416,0.2756410241127014,0.6739109754562378,0.02121361717581749,1.0,0.3541778326034546,0.3333333432674408,0.7715099453926086,0.018746916204690933,0.7715099453926086,0.24358975887298584,0.5126050710678101,0.7858675718307495,0.8203158974647522,0.746854305267334,33,0.8203158974647522,1.0,0.0,0.6262310743331909,0.5555555820465088,0.8489028215408325,0.21393035352230072,0.8579227924346924,0.8579227924346924,0.0,0.8083581924438477,0.4363636672496796,0.06906758248806,0.27906978130340576,0.04152277484536171,0.746854305267334,0.051864881068468094,0.8974359035491943,0.8284023404121399,0.8974359035491943
no_init_box_kenn_top_down_adapter_bert_ms,2,xe9mcosi,0.7111111283302307,0.1666666716337204,0.6245733499526978,0.3467741906642914,0.7858675718307495,0.3460842967033386,0.019904132932424545,0.7991266250610352,0.7207977771759033,0.23581397533416748,0.6262310743331909,0.914893627166748,0.5714285969734192,0.681244432926178,0.060000000000000005,0.4676370322704315,0.5395299792289734,1.0,0.8489028215408325,0.4000000059604645,0.25862613320350647,0.5,0.8083581924438477,0.26,0.681244432926178,0.0,0.7692307829856873,0.25641024112701416,0.2756410241127014,0.6739109754562378,0.02121361717581749,1.0,0.354177862405777,0.3333333432674408,0.7715099453926086,0.018746916204690933,0.7715099453926086,0.24358975887298584,0.5126050710678101,0.7858675718307495,0.8203158974647522,0.746854305267334,33,0.8203158974647522,1.0,0.0,0.6262310743331909,0.5555555820465088,0.8489028215408325,0.21393035352230072,0.8579227924346924,0.8579227924346924,0.0,0.8083581924438477,0.4363636672496796,0.06906758248806,0.27906978130340576,0.04152277484536171,0.746854305267334,0.051864881068468094,0.8974359035491943,0.8284023404121399,0.8974359035491943
no_init_box_kenn_bottom_up_adapter_bert_ms,2,ym1e6xou,0.5111111402511597,0.1666666716337204,0.5859649181365967,0.23275862634181976,0.7832364439964294,0.27941763401031494,0.01196097582578659,0.7840375304222107,0.5541310906410217,0.15581396222114563,0.6185387372970581,0.8709677457809448,0.0,0.66866135597229,0.02,0.3715055882930755,0.48824790120124817,1.0,0.8483958840370178,0.0,0.1554160118103027,0.5,0.806458055973053,0.26,0.66866135597229,0.0,0.7692307829856873,0.25641024112701416,0.17307692766189575,0.6324259638786316,0.013320177793502808,0.0,0.23882217705249784,0.3333333432674408,0.7684710621833801,0.010853477753698826,0.7684710621833801,0.14102564752101898,0.4677871167659759,0.7832364439964294,0.8188802003860474,0.7276235222816467,33,0.8188802003860474,1.0,0.0,0.6185387372970581,0.5555555820465088,0.8483958840370178,0.1343283653259277,0.8579227924346924,0.8579227924346924,0.0,0.806458055973053,0.4363636672496796,0.06906758248806,0.27906978130340576,0.03757605701684952,0.7276235222816467,0.0486721470952034,0.8974359035491943,0.8284023404121399,0.8974359035491943
no_init_box_kenn_hybrid_adapter_bert_ms,1,2uef83ev,0.7555555701255798,0.23333333432674408,0.6185567378997803,0.32786884903907776,0.7853741645812988,0.3378155827522278,0.018418023362755775,0.800000011920929,0.757834792137146,0.22589147090911865,0.6252769827842712,0.930232584476471,0.5714285969734192,0.6824488043785095,0.12,0.46731770038604736,0.5299146175384521,1.0,0.8489855527877808,0.4000000059604645,0.23931623995304108,0.5,0.8080828189849854,0.26,0.6824488043785095,0.0,0.7692307829856873,0.3589743375778198,0.25641027092933655,0.6663596630096436,0.019733596593141556,1.0,0.3477998375892639,0.3333333432674408,0.7709401845932007,0.017266895622015,0.7709401845932007,0.22435899078845975,0.5042017102241516,0.7853741645812988,0.8199594020843506,0.7511277794837952,46,0.8199594020843506,1.0,0.0,0.6252769827842712,0.7777777910232544,0.8489855527877808,0.19900497794151303,0.8577309846878052,0.8577309846878052,0.0,0.8080828189849854,0.2800000011920929,0.06906758248806,0.1627907007932663,0.04078276455402374,0.7511277794837952,0.05128371715545654,0.8974359035491943,0.8284023404121399,0.8974359035491943
no_init_box_kenn_top_down_adapter_bert_ms,1,26t9vwp2,0.7944444417953491,0.20000000298023224,0.6146010756492615,0.32669323682785034,0.7854070663452148,0.3380071222782135,0.018913498148322105,0.7801724076271057,0.7902421951293945,0.2261213660240173,0.6252990961074829,0.8199999928474426,0.5714285969734192,0.6840012669563293,0.29000000000000004,0.4734901785850525,0.5331196784973145,1.0,0.847953200340271,0.4000000059604645,0.24575425684452057,0.5,0.8077190518379211,0.26,0.6840012669563293,0.2222222238779068,0.7692307829856873,0.31578949093818665,0.2628205120563507,0.672417402267456,0.020226936787366867,1.0,0.35204172134399414,0.3333333432674408,0.7711300849914551,0.01776023581624031,0.7711300849914551,0.23076924681663513,0.5070028305053711,0.7854070663452148,0.8198531270027161,0.7548670768737793,44,0.8198531270027161,1.0,0.03448275849223137,0.6252990961074829,0.75,0.847953200340271,0.20398010313510895,0.8574591875076294,0.8574591875076294,0.05970149114727974,0.8077190518379211,0.2800000011920929,0.07005426287651062,0.1627907007932663,0.0410294346511364,0.7548670768737793,0.051749929785728455,0.8974359035491943,0.8284023404121399,0.9102563858032228
no_init_box_kenn_bottom_up_adapter_bert_ms,1,w2aak7jk,0.7555555701255798,0.23333333432674408,0.6132879257202148,0.3212851583957672,0.7853741645812988,0.3378155529499054,0.018418023362755775,0.782608687877655,0.7578348517417908,0.22589147090911865,0.6252769827842712,0.8333333134651184,0.5714285969734192,0.6824488043785095,0.08,0.4673176407814026,0.5299146175384521,1.0,0.848098635673523,0.4000000059604645,0.23931623995304108,0.5,0.8076808452606201,0.26,0.6824488043785095,0.0,0.7692307829856873,0.3589743375778198,0.25641027092933655,0.6663596630096436,0.019733596593141556,1.0,0.3477998375892639,0.3333333432674408,0.7709401845932007,0.017266895622015,0.7709401845932007,0.22435899078845975,0.5042017102241516,0.7853741645812988,0.8197900652885437,0.7511277794837952,46,0.8197900652885437,1.0,0.0,0.6252769827842712,0.7777777910232544,0.848098635673523,0.19900497794151303,0.8573605418205261,0.8573605418205261,0.0,0.8076808452606201,0.2800000011920929,0.06906758248806,0.1627907007932663,0.04078276455402374,0.7511277794837952,0.05128371715545654,0.8974359035491943,0.8284023404121399,0.8974359035491943
no_init_box_kenn_hybrid_adapter_bert_ms,0,ouw0unnf,0.019832264631986615,1.0,0.06389357149600983,0.0388931892812252,0.8064562678337097,0.9829059839248656,0.03153754398226738,0.033052243292331696,0.1447320133447647,1.0,0.699710488319397,0.019832264631986615,0.03870343789458275,0.6899124979972839,0.0,0.2523114085197449,0.9529914259910583,0.014800197444856169,0.28373563289642334,1.0,0.4097859561443329,0.029168693348765373,0.419108122587204,0.26,0.6899124979972839,0.02861371450126171,0.7692307829856873,0.029168693348765373,0.2576923370361328,0.5315797328948975,0.019832264631986615,0.019733596593141556,0.0388931892812252,1.0,0.8015194535255432,0.07696102559566498,0.8015194535255432,1.0,0.9551820755004884,0.8064562678337097,0.4126192629337311,0.680385172367096,27,0.4126192629337311,0.02121361531317234,1.0,0.699710488319397,0.014800197444856169,0.28373563289642334,1.0,0.27723175287246704,0.27723175287246704,0.055635493248701096,0.419108122587204,0.041545890271663666,0.028367046266794205,1.0,0.0733432024717331,0.680385172367096,0.04091092199087143,0.8974359035491943,0.8284023404121399,0.36858975887298584
no_init_box_kenn_top_down_adapter_bert_ms,0,ilvzzt4j,0.3285714387893677,0.30000001192092896,0.5415162444114685,0.09259259700775146,0.7808108329772949,0.20512822270393372,0.004806901793926954,0.7614213228225708,0.402014672756195,0.06666667014360428,0.6099668741226196,0.6666666865348816,0.0,0.656223475933075,0.01,0.2716479003429413,0.4433760941028595,1.0,0.8476751446723938,0.0,0.06245891749858856,0.06451613456010818,0.8043521642684937,0.26,0.656223475933075,0.0,0.7692307829856873,0.40909090638160706,0.06410256773233414,0.5949186086654663,0.004933399148285389,0.0,0.11084337532520294,0.03333333507180214,0.7652421593666077,0.004686729051172733,0.7652421593666077,0.06089743971824646,0.4201680719852447,0.7808108329772949,0.817477822303772,0.7100716233253479,27,0.817477822303772,0.0,0.0,0.6099668741226196,0.6428571343421936,0.8476751446723938,0.049751244485378265,0.8577582836151123,0.8577582836151123,0.0,0.8043521642684937,0.0,0.0695609301328659,0.0,0.03412267565727234,0.7100716233253479,0.04578554257750511,0.8974359035491943,0.8284023404121399,0.9038461446762084
no_init_box_kenn_bottom_up_adapter_bert_ms,0,lw8vcxz0,0.019832264631986615,1.0,0.06389357149600983,0.0388931892812252,0.8064562678337097,0.9829059839248656,0.03153754398226738,0.033052243292331696,0.1447320282459259,1.0,0.699710488319397,0.019832264631986615,0.03870343789458275,0.6899124979972839,0.0,0.25231143832206726,0.9529914259910583,0.014800197444856169,0.28373563289642334,1.0,0.4097859561443329,0.029168693348765373,0.419108122587204,0.26,0.6899124979972839,0.02861371450126171,0.7692307829856873,0.029168693348765373,0.2576923370361328,0.5315797328948975,0.019832264631986615,0.019733596593141556,0.0388931892812252,1.0,0.8015194535255432,0.07696102559566498,0.8015194535255432,1.0,0.9551820755004884,0.8064562678337097,0.4126192629337311,0.680385172367096,27,0.4126192629337311,0.02121361531317234,1.0,0.699710488319397,0.014800197444856169,0.28373563289642334,1.0,0.27723175287246704,0.27723175287246704,0.055635493248701096,0.419108122587204,0.041545890271663666,0.028367046266794205,1.0,0.0733432024717331,0.680385172367096,0.04091092199087143,0.8974359035491943,0.8284023404121399,0.36858975887298584
smart_init_box_adapter_bert_ms,2,gqckvqod,0.15528179705142975,0.9333333373069764,0.3757225573062897,0.26580458879470825,0.8040306568145752,0.9195706844329834,0.029011378064751625,0.23670794069767,0.2576066255569458,0.9239976406097412,0.6924026012420654,0.15533165633678436,0.28260868787765503,0.6929055452346802,0.06999999999999999,0.4024669826030731,0.9038461446762084,0.12033195048570632,0.7090571522712708,0.975000023841858,0.37696197628974915,0.2140221446752548,0.7511166930198669,0.26,0.6929055452346802,0.22499999403953552,0.7692307829856873,0.20973782241344452,0.2381410449743271,0.5590741038322449,0.018327578902244568,0.16525423526763916,0.26588112115859985,0.9666666388511658,0.7984805107116699,0.0695609301328659,0.7984805107116699,0.9038462042808532,0.9103641510009766,0.8040306568145752,0.8080072402954102,0.6934092044830322,16,0.8080072402954102,0.14767932891845703,0.931034505367279,0.6924026012420654,0.1181434616446495,0.7090571522712708,0.9203979969024658,0.812023401260376,0.812023401260376,0.3624161183834076,0.7511166930198669,0.25,0.03114619292318821,0.8139534592628479,0.0695609301328659,0.6934092044830322,0.04302690923213959,0.8974359035491943,0.8284023404121399,0.40470090508461
