name,instance,run_id,test/macro_example/recall,test_incremental_only/micro/precision,test_incremental_other-product/macro_types/precision,test_incremental/macro_types/recall,test_incremental_only/macro_example_exclusive/f1,test_incremental_other-product-weapon/macro_types/recall,test_pretraining/macro_types/precision,test_incremental_other-product-car/macro_types/f1,test_incremental/macro_example/recall,test_pretraining/macro_example/precision,test_incremental_other-product-computer/macro_types/precision,test/macro_types/recall,test/micro/recall,test/macro_types/precision,test_incremental_other-product-software/macro_types/recall,test_incremental/micro/f1,test_pretraining/micro/precision,epoch,test_pretraining/macro_example/f1,threshold_pretraining,test_pretraining/micro/recall,test_pretraining/macro_types/recall,test_incremental/macro_example_exclusive/recall,test_incremental/micro/recall,test_incremental/micro/precision,test_incremental/macro_example/f1,test_incremental_only/macro_example/recall,test_incremental_other-product-weapon/macro_types/precision,test_incremental_only/macro_types/recall,test_incremental/macro_example/precision,test/macro_types/f1,test_incremental_only/macro_example_exclusive/recall,test_incremental_only/macro_example_exclusive/precision,threshold_incremental,test_incremental_other-product-software/macro_types/precision,test_pretraining/macro_types/f1,test_incremental_other-product/macro_types/f1,test_incremental_other-product-computer/macro_types/f1,test_pretraining/macro_example/recall,test_incremental_only/macro_example/precision,test_incremental_other-product-weapon/macro_types/f1,test_incremental_other-product-software/macro_types/f1,test_incremental_only/macro_types/precision,test_incremental_only/micro/recall,test_incremental/macro_example_exclusive/f1,test_incremental_only/macro_types/f1,test_incremental_only/macro_example/f1,test_incremental_other-product/macro_types/recall,test/macro_example/f1,test/micro/precision,test/macro_example/precision,test/micro/f1,test_incremental_other-product-computer/macro_types/recall,test_incremental_only/micro/f1,test_pretraining/micro/f1,test_incremental/macro_types/f1,test_incremental/macro_example_exclusive/precision,test_incremental_other-product-car/macro_types/recall,test_incremental_other-product-car/macro_types/precision,test_incremental/macro_types/precision
no_init_box_kenn_hybrid_adapter_bert_ms,2,ccq8h1fv,0.8005197644233704,0.8990825414657593,0.7797619104385376,0.7358748912811279,0.7588773369789124,0.8666666746139526,0.7635763883590698,0.845070481300354,0.06142081692814827,0.8563687801361084,1.0,0.6719682216644287,0.7905145883560181,0.7635763883590698,0.4000000059604645,0.7815699577331543,0.8493914008140564,26,0.8275030255317688,0.26,0.7905145883560181,0.6719682216644287,0.7545454502105713,0.7411003112792969,0.826714813709259,0.06545408070087433,0.04464726150035858,0.9629629850387572,0.7213587760925293,0.07005426287651062,0.7148493528366089,0.7298387289047241,0.7903225421905518,0.01,0.9090909361839294,0.7148493528366089,0.7867867350578308,0.8301886320114136,0.8005197644233704,0.04834730923175812,0.9122806787490844,0.555555522441864,0.915381908416748,0.6805555820465088,0.8040934801101685,0.8068704009056091,0.04642367735505104,0.7939394116401672,0.8275030255317688,0.8493914008140564,0.8563687801361084,0.8188961148262024,0.7096773982048035,0.7747035622596741,0.8188961148262024,0.8049178719520569,0.8606060147285461,0.9090909361839294,0.7894737124443054,0.8882579803466797
no_init_box_kenn_top_down_adapter_bert_ms,2,x9xeskm0,0.8011364340782166,0.5730336904525757,0.7797619104385376,0.7615053653717041,0.7890058755874634,0.8999999761581421,0.7431750297546387,0.5688073635101318,0.06232527270913124,0.8489274978637695,0.8275862336158752,0.6744810342788696,0.7912826538085938,0.7431750297546387,0.4000000059604645,0.711450457572937,0.8382831811904907,26,0.8243398666381836,0.26,0.7912826538085938,0.6744810342788696,0.7656565308570862,0.754045307636261,0.6734104156494141,0.06552343815565109,0.04637394845485687,0.931034505367279,0.7533968687057495,0.06906758248806,0.7071637511253357,0.7580645084381104,0.8225805759429932,0.01,0.4545454680919647,0.7071637511253357,0.7867867350578308,0.800000011920929,0.8011364340782166,0.05032067000865936,0.915254294872284,0.42553192377090454,0.655265212059021,0.7083333134651184,0.8049455285072327,0.7009129524230957,0.04826676473021507,0.7939394116401672,0.8243398666381836,0.8382831811904907,0.8489274978637695,0.8141050934791565,0.774193525314331,0.6335403323173523,0.8141050934791565,0.7185403108596802,0.8484848141670227,0.939393937587738,0.4078947305679322,0.6801645755767822
no_init_box_kenn_bottom_up_adapter_bert_ms,2,swliff99,0.8005197644233704,0.9074074029922484,0.7797619104385376,0.7358748912811279,0.7588773369789124,0.8666666746139526,0.7649619579315186,0.8333333134651184,0.06142081692814827,0.8565331697463989,1.0,0.6719682216644287,0.7905145883560181,0.7649619579315186,0.4000000059604645,0.7829059958457947,0.849566638469696,26,0.8275797367095947,0.26,0.7905145883560181,0.6719682216644287,0.7545454502105713,0.7411003112792969,0.8297101259231567,0.06566861271858215,0.04464726150035858,0.9629629850387572,0.7213587760925293,0.07054761052131653,0.7154558897018433,0.7298387289047241,0.7903225421905518,0.01,1.0,0.7154558897018433,0.7867867350578308,0.8301886320114136,0.8005197644233704,0.04834730923175812,0.9122806787490844,0.5714285969734192,0.9330484867095948,0.6805555820465088,0.8067290186882019,0.8136602640151978,0.04642367735505104,0.7939394116401672,0.8275797367095947,0.849566638469696,0.8565331697463989,0.8189775347709656,0.7096773982048035,0.7777777910232544,0.8189775347709656,0.8106704950332642,0.8666666150093079,0.9090909361839294,0.7692307829856873,0.9023911356925964
no_init_box_kenn_hybrid_adapter_bert_ms,1,wv2asvn1,0.7997057437896729,0.9684210419654846,0.7797619104385376,0.6971261501312256,0.7125934362411499,0.800000011920929,0.7683748006820679,0.892307698726654,0.06002302095293999,0.8576432466506958,1.0,0.668169379234314,0.7893624901771545,0.7683748006820679,0.4000000059604645,0.7797203063964844,0.8506103754043579,36,0.8276618123054504,0.26,0.7893624901771545,0.668169379234314,0.7373737096786499,0.7216828465461731,0.8479087352752686,0.06465184688568115,0.04193389415740967,1.0,0.6729227900505066,0.07005426287651062,0.7147771716117859,0.6854838132858276,0.7419354915618896,0.09,1.0,0.7147771716117859,0.7867867350578308,0.7599999904632568,0.7997057437896729,0.04538727179169655,0.888888955116272,0.5714285969734192,0.9765625,0.6388888955116272,0.7942381501197815,0.7967953681945801,0.04359229654073715,0.7939394116401672,0.8276618123054504,0.8506103754043579,0.8576432466506958,0.8188427090644836,0.6129032373428345,0.7698744535446167,0.8188427090644836,0.799531102180481,0.8606060147285461,0.8787878751754761,0.90625,0.9372023940086364
no_init_box_kenn_top_down_adapter_bert_ms,1,h6sf86v1,0.8003553152084351,0.6554054021835327,0.7797619104385376,0.7284262180328369,0.7507999539375305,0.8333333134651184,0.7432687878608704,0.8205128908157349,0.061174146831035614,0.8509420156478882,0.6666666865348816,0.6712379455566406,0.7903226017951965,0.7432687878608704,0.4000000059604645,0.7296000719070435,0.8424068689346313,36,0.8248738050460815,0.26,0.7903226017951965,0.6712379455566406,0.7515151500701904,0.737864077091217,0.7215189933776855,0.0643322765827179,0.04415392130613327,0.5813953280448914,0.7120478749275208,0.06783423572778702,0.7054193615913391,0.721774160861969,0.7822580337524414,0.01,0.6666666865348816,0.7054193615913391,0.7867867350578308,0.6557377576828003,0.8003553152084351,0.047853969037532806,0.6849314570426941,0.5,0.6564599275588989,0.6736111044883728,0.7903122305870056,0.6831248998641968,0.045929547399282455,0.7939394116401672,0.8248738050460815,0.8424068689346313,0.8509420156478882,0.8155339956283569,0.6451612710952759,0.664383590221405,0.8155339956283569,0.7039794325828552,0.8333332538604736,0.9696969985961914,0.7111111283302307,0.6811203360557556
no_init_box_kenn_bottom_up_adapter_bert_ms,1,79dgfue9,0.7995412945747375,0.9578947424888612,0.7797619104385376,0.6904594898223877,0.7045161128044128,0.7666666507720947,0.767836332321167,0.8787878751754761,0.05977635085582733,0.8574787378311157,1.0,0.667515754699707,0.789170503616333,0.767836332321167,0.4000000059604645,0.7762237787246704,0.8504034876823425,26,0.827497124671936,0.26,0.789170503616333,0.667515754699707,0.734343409538269,0.7184466123580933,0.8441064357757568,0.06450848281383514,0.04144055396318436,1.0,0.6645894050598145,0.07005426287651062,0.7141702175140381,0.6774193048477173,0.7338709831237793,0.05,1.0,0.7141702175140381,0.7867867350578308,0.7599999904632568,0.7995412945747375,0.04489393159747124,0.8679245114326477,0.5714285969734192,0.9696969985961914,0.6319444179534912,0.7924769520759583,0.7886627316474915,0.04309817776083946,0.7939394116401672,0.827497124671936,0.8504034876823425,0.8574787378311157,0.8186435699462891,0.6129032373428345,0.7615062594413757,0.8186435699462891,0.7931452989578247,0.8606060147285461,0.8787878751754761,0.8787878751754761,0.9317100048065186
no_init_box_kenn_hybrid_adapter_bert_ms,0,rt1h6hwo,0.8000264167785645,0.8636363744735718,0.7797619104385376,0.7179354429244995,0.7346442937850952,0.7666666507720947,0.7615513801574707,0.8266666531562805,0.0606808066368103,0.856615424156189,0.95652174949646,0.670209527015686,0.7899385690689087,0.7615513801574707,0.3799999952316284,0.7700170874595642,0.8485973477363586,32,0.827354371547699,0.26,0.7899385690689087,0.670209527015686,0.7454545497894287,0.7313916087150574,0.8129496574401855,0.06566207110881805,0.04316724091768265,1.0,0.6989344954490662,0.07153428345918655,0.712966799736023,0.7056451439857483,0.7661290168762207,0.01,0.8636363744735718,0.712966799736023,0.7867867350578308,0.8148147463798523,0.8000264167785645,0.046867288649082184,0.8679245114326477,0.5277777910232544,0.8895633220672607,0.6597222089767456,0.8066485524177551,0.7828105688095093,0.044941239058971405,0.7939394116401672,0.827354371547699,0.8485973477363586,0.856615424156189,0.818217933177948,0.7096773982048035,0.748031497001648,0.818217933177948,0.7857052683830261,0.8787878155708313,0.939393937587738,0.738095223903656,0.867603063583374
no_init_box_kenn_top_down_adapter_bert_ms,0,72t2og6p,0.8003553152084351,0.8290598392486572,0.7797619104385376,0.7306627631187439,0.7507999539375305,0.800000011920929,0.7587339878082275,0.8311688899993896,0.061174146831035614,0.8558754324913025,0.95652174949646,0.6714572906494141,0.7903226017951965,0.7587339878082275,0.3799999952316284,0.7676767706871033,0.8477857708930969,32,0.8271848559379578,0.26,0.7903226017951965,0.6714572906494141,0.7515151500701904,0.737864077091217,0.800000011920929,0.06584479659795761,0.04415392130613327,1.0,0.7148435711860657,0.0712876170873642,0.7124326229095459,0.721774160861969,0.7822580337524414,0.03,0.7307692170143127,0.7124326229095459,0.7867867350578308,0.8148147463798523,0.8003553152084351,0.047853969037532806,0.888888955116272,0.4999999403953552,0.8536409139633179,0.6736111044883728,0.8088934421539307,0.7781010270118713,0.045929547399282455,0.7939394116401672,0.8271848559379578,0.8477857708930969,0.8558754324913025,0.8180463314056396,0.7096773982048035,0.7432950139045715,0.8180463314056396,0.7810342907905579,0.8757575154304504,0.9696969985961914,0.7272727489471436,0.8388651609420776
no_init_box_kenn_bottom_up_adapter_bert_ms,0,8u01410l,0.7996975183486938,0.8611111044883728,0.7797619104385376,0.7054233551025391,0.7184874415397644,0.7666666507720947,0.7607119679450989,0.8333333134651184,0.06018746644258499,0.8563276529312134,0.9545454382896424,0.668982744216919,0.7895545363426208,0.7607119679450989,0.3799999952316284,0.7658119201660156,0.848534882068634,57,0.8270443677902222,0.26,0.7895545363426208,0.668982744216919,0.739393949508667,0.7249190807342529,0.8115941882133484,0.06516537815332413,0.042180560529232025,1.0,0.6832942366600037,0.07104094326496124,0.711904764175415,0.6895161271095276,0.75,0.02,0.7916666865348816,0.711904764175415,0.7867867350578308,0.7924528121948242,0.7996975183486938,0.04588061198592186,0.8679245114326477,0.5135135650634766,0.8788607120513916,0.6458333134651184,0.8005468845367432,0.7688359022140503,0.043952856212854385,0.7939394116401672,0.8270443677902222,0.848534882068634,0.8563276529312134,0.8179828524589539,0.6774193644523621,0.738095223903656,0.8179828524589539,0.7746901512145996,0.8727272152900696,0.9090909361839294,0.7692307829856873,0.8590409755706787
smart_init_box_adapter_bert_ms,2,l994rxpg,0.801876425743103,0.7642857432365417,0.7797619104385376,0.7858026027679443,0.8250196576118469,0.8666666746139526,0.7527997493743896,0.8311688899993896,0.06339417397975922,0.8541651964187622,0.6666666865348816,0.6768630743026733,0.792242705821991,0.7527997493743896,0.4600000083446502,0.7714748978614807,0.8458384871482849,92,0.8271952867507935,0.26,0.792242705821991,0.6768630743026733,0.7787878513336182,0.7702265381813049,0.7727272510528564,0.06495798379182816,0.04834730923175812,0.8965517282485962,0.7837682962417603,0.06660088896751404,0.7128146886825562,0.7903225421905518,0.8629031777381897,0.35000000000000003,0.8214285969734192,0.7128146886825562,0.7867867350578308,0.7428571581840515,0.801876425743103,0.05278737097978592,0.8813559412956238,0.5897436141967773,0.7779799699783325,0.7430555820465088,0.7979989051818848,0.7808634042739868,0.05046987161040306,0.7939394116401672,0.8271952867507935,0.8458384871482849,0.8541651964187622,0.8181638121604919,0.8387096524238586,0.7535211443901062,0.8181638121604919,0.7820516228675842,0.8181817531585693,0.9696969985961914,0.7272727489471436,0.7783362865447998
