name,instance,run_id,test_incremental/micro/recall,test_incremental/macro_example_exclusive/recall,test_incremental_person-artist-director/macro_types/f1,threshold_incremental,test_incremental/macro_types/precision,test_incremental_person-artist-actor/macro_types/f1,test_incremental_only/macro_example_exclusive/recall,test_incremental/macro_example/f1,test_incremental_only/macro_types/f1,test_incremental/macro_types/f1,test_incremental/macro_types/recall,test/macro_example/recall,test_incremental_only/micro/recall,test_incremental_only/micro/f1,test_incremental/macro_example/precision,test_incremental_only/macro_types/recall,test_incremental_person-artist-director/macro_types/recall,test_incremental/micro/f1,test_incremental_only/macro_types/precision,test_incremental_person-artist-director/macro_types/precision,test/micro/recall,test/macro_types/recall,test_incremental_only/macro_example_exclusive/precision,test/macro_types/precision,test_incremental/micro/precision,test_incremental_only/micro/precision,test_incremental_only/macro_example/f1,test_pretraining/micro/precision,test_incremental_person-artist/macro_types/recall,test_incremental_person-artist-music/macro_types/recall,test/macro_example/precision,test_pretraining/macro_example/precision,test_pretraining/macro_example/f1,test_pretraining/macro_types/recall,test_incremental_only/macro_example/precision,test_incremental_person-artist/macro_types/f1,test_incremental/macro_example_exclusive/precision,test_pretraining/micro/f1,test_incremental_person-artist-actor/macro_types/precision,test_incremental_person-artist-music/macro_types/precision,test_incremental_person-artist-author/macro_types/f1,test_incremental_person-artist-actor/macro_types/recall,test_incremental_person-artist/macro_types/precision,test/macro_types/f1,test_pretraining/macro_example/recall,test_incremental_only/macro_example_exclusive/f1,test_incremental/macro_example/recall,test_incremental_only/macro_example/recall,test_incremental/macro_example_exclusive/f1,test/micro/precision,test/macro_example/f1,test_pretraining/micro/recall,test_pretraining/macro_types/f1,test_incremental_person-artist-author/macro_types/precision,test/micro/f1,threshold_pretraining,epoch,test_pretraining/macro_types/precision,test_incremental_person-artist-music/macro_types/f1,test_incremental_person-artist-author/macro_types/recall
no_init_box_kenn_hybrid_adapter_bert_ms,2,mw1th70r,0.4429223835468292,0.5102748274803162,0.46153849363327026,0.04,0.7194936871528625,0.37333330512046814,0.1014011800289154,0.08976041525602341,0.2462214231491089,0.4235927760601044,0.30015161633491516,0.7779089212417603,0.1031746044754982,0.18396225571632385,0.12432164698839188,0.149383082985878,0.30000001192092896,0.5711482167243958,0.699999988079071,1.0,0.7456817626953125,0.6271073818206787,0.17256638407707214,0.746683657169342,0.8038673996925354,0.8478260636329651,0.014242450706660748,0.8482441306114197,0.9032257795333862,0.054054055362939835,0.858110785484314,0.858110785484314,0.8160439729690552,0.6271073818206787,0.019240256398916245,0.847058892250061,0.9032257795333862,0.7936632037162781,0.800000011920929,1.0,0.0,0.24347825348377228,0.797468364238739,0.6816915273666382,0.7779089212417603,0.12774093449115753,0.07023515552282333,0.011305706575512886,0.6521304845809937,0.8482441306114197,0.8160439729690552,0.7456817626953125,0.6816915273666382,0.0,0.7936632037162781,0.26,27,0.746683657169342,0.10256411135196686,0.0
no_init_box_kenn_top_down_adapter_bert_ms,2,lyyzvsus,0.4733637869358063,0.5333930253982544,0.46511632204055786,0.01,0.6923874616622925,0.47567564249038696,0.14528024196624756,0.091277614235878,0.3097666800022125,0.45792993903160095,0.3420906066894531,0.7795968651771545,0.15608465671539307,0.25159916281700134,0.12062160670757294,0.20180678367614743,0.3333333432674408,0.584586501121521,0.6661171913146973,0.7692307829856873,0.7493568658828735,0.6312190890312195,0.26106196641921997,0.7440261840820312,0.764127790927887,0.6483516693115234,0.020813392475247383,0.8444812297821045,0.9032257795333862,0.0810810774564743,0.8559819459915161,0.8559819459915161,0.8160057067871094,0.6312190890312195,0.029107054695487022,0.847058892250061,0.8763440847396851,0.7940804362297058,0.6285714507102966,0.6000000238418579,0.02010050229728222,0.38260868191719055,0.797468364238739,0.6829959750175476,0.7795968651771545,0.18667589128017423,0.07341719418764114,0.016197992488741875,0.6631531715393066,0.8444812297821045,0.8160057067871094,0.7493568658828735,0.6829959750175476,0.6666666865348816,0.7940804362297058,0.26,26,0.7440261840820312,0.1428571343421936,0.010204081423580648
no_init_box_kenn_bottom_up_adapter_bert_ms,2,ce9hw968,0.4505327343940735,0.5171445608139038,0.46153849363327026,0.01,0.8058351278305054,0.3846153914928436,0.11615044623613358,0.09046339988708496,0.263691246509552,0.4442906081676483,0.30669111013412476,0.7783823013305664,0.11640211939811708,0.2022988498210907,0.12407498806715012,0.1575574278831482,0.30000001192092896,0.5747572779655457,0.8079268336296082,1.0,0.7466005086898804,0.6277484893798828,0.1946902573108673,0.7551485300064087,0.7935656905174255,0.7719298005104065,0.016222281381487846,0.847341001033783,0.9032257795333862,0.054054055362939835,0.8577661514282227,0.8577661514282227,0.8161484599113464,0.6277484893798828,0.0217069573700428,0.847058892250061,0.9014337062835692,0.7937873005867004,0.7317073345184326,0.5,0.030150754377245903,0.260869562625885,0.797468364238739,0.6855800747871399,0.7783823013305664,0.14549806714057922,0.07118072360754013,0.012950172647833824,0.6572376489639282,0.847341001033783,0.8161484599113464,0.7466005086898804,0.6855800747871399,1.0,0.7937873005867004,0.26,37,0.7551485300064087,0.09756097197532654,0.015306122601032255
no_init_box_kenn_hybrid_adapter_bert_ms,1,bvi5wh7r,0.4063926935195923,0.480226993560791,0.5,0.01,0.5594936609268188,0.0,0.044985249638557434,0.08630958199501038,0.1897810399532318,0.3681575059890747,0.27433884143829346,0.7759473323822021,0.0396825410425663,0.07633588463068008,0.12432164698839188,0.11711712181568146,0.3333333432674408,0.5404858589172363,0.5,1.0,0.7412716150283813,0.62457674741745,0.06637167930603027,0.7309973835945129,0.8066465258598328,1.0,0.005978887435048819,0.8487271070480347,0.9032257795333862,0.13513512909412384,0.8579227924346924,0.8579227924346924,0.8148785829544067,0.62457674741745,0.007400098256766796,0.847058892250061,0.9032257795333862,0.7913683652877808,0.0,1.0,0.0,0.0,0.797468364238739,0.673609733581543,0.7759473323822021,0.05362480133771896,0.06609932333230972,0.005015622358769178,0.6270592212677002,0.8487271070480347,0.8148785829544067,0.7412716150283813,0.673609733581543,0.0,0.7913683652877808,0.26,22,0.7309973835945129,0.238095223903656,0.0
no_init_box_kenn_top_down_adapter_bert_ms,1,2k889ocm,0.4429223835468292,0.5058542490005493,0.5,0.01,0.6224241256713867,0.05000000074505806,0.0907079577445984,0.08727889508008957,0.31566181778907776,0.4515316188335418,0.3542648255825043,0.7779464721679688,0.1031746044754982,0.17105261981487274,0.1169215589761734,0.2170245945453644,0.46666666865348816,0.5537583231925964,0.5786629915237427,0.5384615659713745,0.7456817626953125,0.6324126720428467,0.17256636917591095,0.7371670007705688,0.7385786771774292,0.5,0.013257991522550585,0.8426079750061035,0.9032257795333862,0.3243243098258972,0.8538476228713989,0.8538476228713989,0.8141317963600159,0.6324126720428467,0.019240256398916245,0.847058892250061,0.8494623899459839,0.7911874055862427,0.6000000238418579,0.34285715222358704,0.09615384787321092,0.0260869562625885,0.797468364238739,0.6807836890220642,0.7779464721679688,0.11891128122806548,0.06962670385837555,0.010113468393683434,0.6341015100479126,0.8426079750061035,0.8141317963600159,0.7456817626953125,0.6807836890220642,0.8333333134651184,0.7911874055862427,0.26,26,0.7371670007705688,0.3333333134651184,0.05102040991187096
no_init_box_kenn_bottom_up_adapter_bert_ms,1,3xrh1v1j,0.4124809801578522,0.4834527969360352,0.5454545617103577,0.02,0.5309222340583801,0.0,0.05014749243855477,0.0865669772028923,0.22364267706871033,0.3821322917938232,0.2984829843044281,0.7762926816940308,0.050264548510313034,0.095238097012043,0.12382831424474716,0.14729729294776917,0.4000000059604645,0.5452716946601868,0.4642857313156128,0.8571428656578064,0.7420065999031067,0.626943826675415,0.08407079428434372,0.7281962633132935,0.8041542768478394,0.9047619104385376,0.007004342507570982,0.8484975695610046,0.9032257795333862,0.18918919563293457,0.8575938940048218,0.8575938940048218,0.8149205446243286,0.626943826675415,0.009373458102345468,0.847058892250061,0.8996416330337524,0.7916870713233948,0.0,1.0,0.0,0.0,0.797468364238739,0.6737873554229736,0.7762926816940308,0.0628221333026886,0.0665433332324028,0.005591185763478279,0.6289292573928833,0.8484975695610046,0.8149205446243286,0.7420065999031067,0.6737873554229736,0.0,0.7916870713233948,0.26,26,0.7281962633132935,0.3181818127632141,0.0
no_init_box_kenn_hybrid_adapter_bert_ms,0,8dw8h6u3,0.9589040875434875,0.9414576292037964,0.029168693348765373,0.0,0.1967901587486267,0.10737628489732742,1.0,0.08466941118240356,0.08908791095018387,0.32779940962791443,0.9806451797485352,0.8092653751373291,1.0,0.08908791095018387,0.06287617236375809,1.0,1.0,0.13875123858451843,0.04662062227725983,0.014800197444856169,0.8079749941825867,0.69382244348526,0.41814157366752625,0.6954382658004761,0.07478632777929306,0.04662062227725983,0.06574889272451401,0.34228554368019104,0.9032257795333862,1.0,0.3312220871448517,0.3312220871448517,0.4700561463832855,0.69382244348526,0.04662062227725983,0.847058892250061,0.4568100571632385,0.48086175322532654,0.05673408880829811,0.018253576010465625,0.1763383001089096,1.0,0.797468364238739,0.6946293711662292,0.8092653751373291,0.5897035598754883,0.129583939909935,0.11149481683969498,0.6151430010795593,0.34228554368019104,0.4700561463832855,0.8079749941825867,0.6946293711662292,0.09669462591409685,0.48086175322532654,0.26,16,0.6954382658004761,0.03585271164774895,1.0
no_init_box_kenn_top_down_adapter_bert_ms,0,3xbe8h6s,0.3957382142543793,0.4743130207061768,0.4210526645183563,0.01,0.3594936728477478,0.0,0.03539822995662689,0.08561266213655472,0.10526316612958908,0.2834632992744446,0.2339784950017929,0.775305986404419,0.021164020523428917,0.04134367033839226,0.12432164698839188,0.06666667014360428,0.2666666805744171,0.5295315980911255,0.25,1.0,0.7399852871894836,0.6206198334693909,0.03539822995662689,0.7113895416259766,0.800000011920929,0.8888888955116272,0.003946719225496054,0.848325252532959,0.9032257795333862,0.0,0.8577582836151123,0.8577582836151123,0.8144506216049194,0.6206198334693909,0.003946719225496054,0.847058892250061,0.9032257795333862,0.7904602885246277,0.0,0.0,0.0,0.0,0.797468364238739,0.6629119515419006,0.775305986404419,0.03539822995662689,0.06528531759977341,0.003946719225496054,0.6219959259033203,0.848325252532959,0.8144506216049194,0.7399852871894836,0.6629119515419006,0.0,0.7904602885246277,0.26,16,0.7113895416259766,0.0,0.0
no_init_box_kenn_bottom_up_adapter_bert_ms,0,xba96pto,0.9589040875434875,0.9414576292037964,0.029168693348765373,0.0,0.1967901587486267,0.10737628489732742,1.0,0.08466941118240356,0.08908791095018387,0.32779940962791443,0.9806451797485352,0.8092653751373291,1.0,0.08908791095018387,0.06287617236375809,1.0,1.0,0.13875123858451843,0.04662062227725983,0.014800197444856169,0.8079749941825867,0.69382244348526,0.41814157366752625,0.6954382658004761,0.07478632777929306,0.04662062227725983,0.06574889272451401,0.34228554368019104,0.9032257795333862,1.0,0.3312220871448517,0.3312220871448517,0.4700561463832855,0.69382244348526,0.04662062227725983,0.847058892250061,0.4568100571632385,0.48086175322532654,0.05673408880829811,0.018253576010465625,0.1763383001089096,1.0,0.797468364238739,0.6946293711662292,0.8092653751373291,0.5897035598754883,0.129583939909935,0.11149481683969498,0.6151430010795593,0.34228554368019104,0.4700561463832855,0.8079749941825867,0.6946293711662292,0.09669462591409685,0.48086175322532654,0.26,16,0.6954382658004761,0.03585271164774895,1.0
smart_init_box_adapter_bert_ms,2,6fj3zvzj,0.9452054500579834,0.9316009283065796,0.09999999403953552,0.03,0.2888493835926056,0.3270072937011719,0.982300877571106,0.08337241411209106,0.27738162875175476,0.44413867592811584,0.9605352878570556,0.8083938360214233,0.976190447807312,0.2775479257106781,0.06176615506410599,0.9748626947402954,1.0,0.3816840648651123,0.16169461607933044,0.05263157933950424,0.8063212037086487,0.6918509006500244,0.40818583965301514,0.7044636607170105,0.23912206292152405,0.16177114844322205,0.06430137902498245,0.625160276889801,0.9032257795333862,0.945945918560028,0.7549717426300049,0.7549717426300049,0.7807700037956238,0.6918509006500244,0.045510608702898026,0.847058892250061,0.4487455487251282,0.7042773365974426,0.19649122655391693,0.061403509229421616,0.5006518959999084,0.9739130139350892,0.797468364238739,0.6981002688407898,0.8083938360214233,0.5767208337783813,0.12822726368904114,0.10952145606279372,0.605720043182373,0.625160276889801,0.7807700037956238,0.8063212037086487,0.6981002688407898,0.3362521827220917,0.7042773365974426,0.26,10,0.7044636607170105,0.11532125622034071,0.9795918464660645
