name,instance,run_id,test/macro_example/recall,test_pretraining/micro/precision,test_incremental/macro_types/recall,test/macro_types/f1,test/macro_example/f1,test_pretraining/micro/f1,test_incremental/macro_types/precision,test_incremental_only/macro_example_exclusive/f1,test_pretraining/macro_types/precision,test_incremental_only/macro_types/recall,test_incremental_PRODUCT-WEAPON/macro_types/f1,test/micro/precision,test_incremental/macro_example/f1,test_incremental_only/macro_example_exclusive/recall,test_pretraining/micro/recall,test_incremental_only/micro/f1,test_incremental_only/macro_example/precision,test/micro/f1,test_incremental_PRODUCT/macro_types/precision,threshold_incremental,test/macro_types/recall,test_incremental/macro_types/f1,test_incremental_only/macro_types/f1,test_incremental_PRODUCT/macro_types/recall,test/micro/recall,test_incremental_PRODUCT-VEHICLE/macro_types/recall,test/macro_types/precision,test_pretraining/macro_example/f1,test_incremental_only/macro_example/recall,test_incremental_PRODUCT-WEAPON/macro_types/recall,test_incremental/micro/recall,test_pretraining/macro_types/recall,test_incremental/macro_example/recall,test_pretraining/macro_example/recall,test_pretraining/macro_example/precision,test_incremental/macro_example_exclusive/f1,test_incremental/macro_example_exclusive/recall,test_incremental_PRODUCT-VEHICLE/macro_types/f1,test_incremental_only/macro_example_exclusive/precision,test_incremental_only/macro_example/f1,test_incremental/micro/f1,test_incremental_only/micro/recall,test_incremental_PRODUCT/macro_types/f1,test_incremental_PRODUCT-VEHICLE/macro_types/precision,test/macro_example/precision,test_incremental_only/micro/precision,test_incremental_PRODUCT-WEAPON/macro_types/precision,threshold_pretraining,test_incremental/macro_example/precision,test_incremental/macro_example_exclusive/precision,epoch,test_pretraining/macro_types/f1,test_incremental/micro/precision,test_incremental_only/macro_types/precision
kenn_horizontal_adapter_bert_ms,2,3qnu94pw,0.8561105728149414,0.6293814182281494,0.7699589133262634,0.7931346297264099,0.7894784212112427,0.7278687953948975,0.3840184509754181,0.7166666984558105,0.7330842018127441,0.7166666984558105,0.16393442451953888,0.6293814182281494,0.0651656836271286,0.7166666984558105,0.862897515296936,0.16996048390865326,0.04052780196070671,0.7278687953948975,0.9594594836235046,0.99,0.863900899887085,0.5124509930610657,0.169782355427742,0.8765432238578796,0.862897515296936,0.7666666507720947,0.7330842018127441,0.7894784212112427,0.04052780196070671,0.6666666865348816,0.8085106611251831,0.863900899887085,0.06267672032117844,0.8561105728149414,0.732469379901886,0.8535901308059692,0.8209877014160156,0.17557252943515778,0.7166666984558105,0.04052780196070671,0.3449319303035736,0.7166666388511658,0.9161290526390076,0.09913793206214903,0.732469379901886,0.0964125543832779,0.09345794469118118,0.25,0.06786050647497177,0.888888955116272,57,0.7931346297264099,0.2192307710647583,0.09629793465137482
kenn_horizontal_adapter_bert_ms,1,11j4c9bx,0.8570530414581299,0.7870013117790222,0.792181134223938,0.8355167508125305,0.8342751860618591,0.8238463997840881,0.8198198080062866,0.7500001192092896,0.8057177066802979,0.75,0.7241379022598267,0.7870013117790222,0.06544999033212662,0.7500000596046448,0.8643109798431396,0.75,0.04241281747817993,0.8238463997840881,0.9594594836235046,0.3,0.8676046133041382,0.8057635426521301,0.75,0.8765432238578796,0.8643109798431396,0.800000011920929,0.8057177066802979,0.8342751860618591,0.04241281747817993,0.699999988079071,0.8226950168609619,0.8676046133041382,0.0636192262172699,0.8570530414581299,0.8126766681671143,0.8573142290115356,0.8333333730697632,0.7741935849189758,0.7500000596046448,0.04241281747817993,0.8436363339424133,0.75,0.9161290526390076,0.75,0.8126766681671143,0.75,0.75,0.25,0.06738924980163574,0.8827160596847534,48,0.8355167508125305,0.8656716346740723,0.75
kenn_horizontal_adapter_bert_ms,0,2tjf0n91,0.8584668636322021,0.785897433757782,0.8255144357681274,0.8375273942947388,0.8327003121376038,0.8242017030715942,0.8136470317840576,0.791579008102417,0.8046889305114746,0.800000011920929,0.7719298005104065,0.785897433757782,0.06518968939781189,0.8000000715255737,0.8664311170578003,0.7619048357009888,0.044297829270362854,0.8242017030715942,0.9594594836235046,0.06999999999999999,0.8731601238250732,0.8195377588272095,0.769230842590332,0.8765432238578796,0.8664311170578003,0.8666666746139526,0.8046889305114746,0.8327003121376038,0.045240338891744614,0.7333333492279053,0.8439716100692749,0.8731601238250732,0.06503298878669739,0.8584668636322021,0.8084354400634766,0.8539045453071594,0.8518518805503845,0.7536232471466064,0.783333420753479,0.04476412013173103,0.8469750881195068,0.800000011920929,0.9161290526390076,0.6666666865348816,0.8084354400634766,0.7272727489471436,0.8148148059844971,0.25,0.06534715741872787,0.855967104434967,40,0.8375273942947388,0.8500000238418579,0.7407407760620117
kenn_hybrid_adapter_bert_ms,2,3ggqhvrf,0.8575243353843689,0.6507176756858826,0.8032922148704529,0.7969303131103516,0.8030535578727722,0.7427184581756592,0.39894694089889526,0.7666667103767395,0.7355722784996033,0.7666666507720947,0.1990521401166916,0.6507176756858826,0.06701390445232391,0.7666667699813843,0.8650176525115967,0.20581655204296112,0.04335532337427139,0.7427184581756592,0.9594594836235046,0.98,0.86945641040802,0.5331234931945801,0.20555807650089264,0.8765432238578796,0.8650176525115967,0.8333333134651184,0.7355722784996033,0.8030535578727722,0.04335532337427139,0.699999988079071,0.8297872543334961,0.86945641040802,0.06409047544002533,0.8575243353843689,0.755089521408081,0.8777995109558105,0.839506208896637,0.2118644118309021,0.7666667699813843,0.04335532337427139,0.3887043297290802,0.7666666507720947,0.9161290526390076,0.121359221637249,0.755089521408081,0.118863046169281,0.11602210253477097,0.25,0.07021677494049072,0.9197531342506408,99,0.7969303131103516,0.2537961006164551,0.11869066208600998
kenn_top_down_adapter_bert_ms,2,13ac8q5t,0.8575243353843689,0.6507176756858826,0.8032922148704529,0.7969319224357605,0.8030535578727722,0.7427184581756592,0.3989631235599518,0.7666667103767395,0.7355749607086182,0.7666666507720947,0.1909091025590897,0.6507176756858826,0.06701390445232391,0.7666667699813843,0.8650176525115967,0.20581655204296112,0.04335532337427139,0.7427184581756592,0.9594594836235046,0.98,0.86945641040802,0.5331379771232605,0.2055944800376892,0.8765432238578796,0.8650176525115967,0.8333333134651184,0.7355749607086182,0.8030535578727722,0.04335532337427139,0.699999988079071,0.8297872543334961,0.86945641040802,0.06409047544002533,0.8575243353843689,0.755089521408081,0.8777995109558105,0.839506208896637,0.2202643007040024,0.7666667699813843,0.04335532337427139,0.3887043297290802,0.7666666507720947,0.9161290526390076,0.12690354883670807,0.755089521408081,0.118863046169281,0.11052631586790083,0.25,0.07021677494049072,0.9197531342506408,101,0.7969319224357605,0.2537961006164551,0.11871492862701416
kenn_bottom_up_adapter_bert_ms,2,2mi4cgzk,0.8561105728149414,0.674213171005249,0.7699588537216187,0.7955893874168396,0.8132138848304749,0.7569745779037476,0.4092497527599334,0.7166666984558105,0.7372894287109375,0.7166666984558105,0.197674423456192,0.674213171005249,0.0666491836309433,0.7166666984558105,0.862897515296936,0.2281167060136795,0.04052780196070671,0.7569745779037476,0.9594594836235046,0.95,0.863900899887085,0.534435510635376,0.22598931193351743,0.8765432238578796,0.862897515296936,0.8666666746139526,0.7372894287109375,0.8132138848304749,0.04052780196070671,0.5666666626930237,0.8085106611251831,0.863900899887085,0.06267672032117844,0.8561105728149414,0.7744109630584717,0.8730221390724182,0.8209876418113708,0.2536585330963135,0.7166666984558105,0.04052780196070671,0.4285714626312256,0.7166666388511658,0.9161290526390076,0.1485714316368103,0.7744109630584717,0.13564668595790863,0.11971831321716309,0.25,0.07115928083658218,0.9320988059043884,99,0.7955893874168396,0.2915601134300232,0.1341448724269867
kenn_hybrid_adapter_bert_ms,1,1rrk3s35,0.8570530414581299,0.7725837230682373,0.792181134223938,0.82221519947052,0.8317016959190369,0.8158773183822632,0.6735461950302124,0.7500001192092896,0.7813388109207153,0.75,0.6229508519172668,0.7725837230682373,0.0624188594520092,0.7500000596046448,0.8643109798431396,0.6040268540382385,0.04241281747817993,0.8158773183822632,0.9594594836235046,0.42,0.8676046133041382,0.7280625700950623,0.6214984059333801,0.8765432238578796,0.8643109798431396,0.8666666746139526,0.7813388109207153,0.8317016959190369,0.04241281747817993,0.6333333253860474,0.8226950168609619,0.8676046133041382,0.0636192262172699,0.8570530414581299,0.8078070878982544,0.8176100850105286,0.8333333730697632,0.5909090638160706,0.7500000596046448,0.04241281747817993,0.7631579041481018,0.75,0.9161290526390076,0.4482758641242981,0.8078070878982544,0.5056179761886597,0.6129032373428345,0.25,0.061262957751750946,0.8024691343307495,55,0.82221519947052,0.7116564512252808,0.5305895805358887
kenn_top_down_adapter_bert_ms,1,1zo0ncrt,0.8570530414581299,0.7686989307403564,0.792181134223938,0.8194489479064941,0.830284059047699,0.8137059211730957,0.6436604857444763,0.7500001192092896,0.7763578295707703,0.75,0.59375,0.7686989307403564,0.06217333674430847,0.7500000596046448,0.8643109798431396,0.5732484459877014,0.04241281747817993,0.8137059211730957,0.9594594836235046,0.42,0.8676046133041382,0.7102394700050354,0.5896298289299011,0.8765432238578796,0.8643109798431396,0.8666666746139526,0.7763578295707703,0.830284059047699,0.04241281747817993,0.6333333253860474,0.8226950168609619,0.8676046133041382,0.0636192262172699,0.8570530414581299,0.8051366806030273,0.8143939971923828,0.8333333730697632,0.5591398477554321,0.7500000596046448,0.04241281747817993,0.7435896992683411,0.75,0.9161290526390076,0.4126984179019928,0.8051366806030273,0.4639175236225128,0.5588235259056091,0.25,0.060791708528995514,0.7962962985038757,61,0.8194489479064941,0.6783625483512878,0.48576098680496216
kenn_bottom_up_adapter_bert_ms,1,shx99mlk,0.8561105728149414,0.7821909189224243,0.7699588537216187,0.8328486084938049,0.8313824534416199,0.8205645084381104,0.8092204332351685,0.7124756574630737,0.8039511442184448,0.7166666984558105,0.7346938252449036,0.7821909189224243,0.06081663817167282,0.7166666984558105,0.862897515296936,0.6771653294563293,0.04005654901266098,0.8205645084381104,0.9594594836235046,0.18000000000000002,0.863900899887085,0.7891015410423279,0.7252790331840515,0.8765432238578796,0.862897515296936,0.8333333134651184,0.8039511442184448,0.8313824534416199,0.04052780568599701,0.6000000238418579,0.8085106611251831,0.863900899887085,0.06267672032117844,0.8561105728149414,0.8080427646636963,0.7966229319572449,0.8209877014160156,0.6410256624221802,0.7083333730697632,0.04029079899191856,0.8085106611251831,0.7166666388511658,0.9161290526390076,0.5208333134651184,0.8080427646636963,0.641791045665741,0.9473684430122375,0.25,0.05906377360224724,0.7736625671386719,56,0.8328486084938049,0.8085106611251831,0.734100878238678
kenn_hybrid_adapter_bert_ms,0,3o5w3szf,0.8608231544494629,0.7556783556938171,0.8810700178146362,0.8201208710670471,0.8253984451293945,0.8088042140007019,0.5817455053329468,0.8531707525253296,0.7660386562347412,0.8833333253860474,0.4897959232330322,0.7556783556938171,0.06130966544151306,0.8833333849906921,0.8699646592140198,0.54358971118927,0.046654097735881805,0.8088042140007019,0.9594594836235046,0.02,0.8824194073677063,0.7007835507392883,0.5438733696937561,0.8765432238578796,0.8699646592140198,0.9666666388511658,0.7660386562347412,0.8253984451293945,0.04995287209749222,0.800000011920929,0.8794326186180115,0.8824194073677063,0.06738924980163574,0.8608231544494629,0.7927740812301636,0.8030809760093689,0.8827161192893982,0.5979381203651428,0.8250000476837158,0.048247165977954865,0.7085714340209961,0.8833333253860474,0.9161290526390076,0.43283581733703613,0.7927740812301636,0.392592579126358,0.3529411852359772,0.25,0.056236255913972855,0.7366255521774292,73,0.8201208710670471,0.5933014154434204,0.39288848638534546
