metric,projector,instance,family,subset,precision,recall,f1
test_incremental_only/macro_types,kenn_horizontal_adapter_bert_ms,2,CONTACT_INFO,10,0.5918367505073547,0.9666666388511658,0.7341772317886353
test_incremental_CONTACT_INFO/macro_types,kenn_horizontal_adapter_bert_ms,2,CONTACT_INFO,10,0.6363636255264282,0.9333333373069764,0.7567567229270935
test_incremental/macro_example_exclusive,kenn_horizontal_adapter_bert_ms,2,CONTACT_INFO,10,1.0,0.9500000476837158,0.9743589758872986
test_incremental_only/macro_example_exclusive,kenn_horizontal_adapter_bert_ms,2,CONTACT_INFO,10,0.9666666984558104,0.9666666984558104,0.9666666984558104
test_incremental_only/macro_example,kenn_horizontal_adapter_bert_ms,2,CONTACT_INFO,10,0.02733270451426506,0.02733270451426506,0.02733270451426506
test_incremental_CONTACT_INFO-url/macro_types,kenn_horizontal_adapter_bert_ms,2,CONTACT_INFO,10,0.5918367505073547,0.9666666388511658,0.7341772317886353
test/macro_types,kenn_horizontal_adapter_bert_ms,2,CONTACT_INFO,10,0.7996915578842163,0.8872675895690918,0.841206431388855
test_pretraining/macro_example,kenn_horizontal_adapter_bert_ms,2,CONTACT_INFO,10,0.8147188425064087,0.8608231544494629,0.8371367454528809
test/micro,kenn_horizontal_adapter_bert_ms,2,CONTACT_INFO,10,0.7822423577308655,0.8714801669120789,0.8244535326957703
test_incremental/micro,kenn_horizontal_adapter_bert_ms,2,CONTACT_INFO,10,0.6129032373428345,0.949999988079071,0.7450980544090271
test_pretraining/micro,kenn_horizontal_adapter_bert_ms,2,CONTACT_INFO,10,0.7822423577308655,0.8714801669120789,0.8244535326957703
test/macro_example,kenn_horizontal_adapter_bert_ms,2,CONTACT_INFO,10,0.8147188425064087,0.8608231544494629,0.8371367454528809
test_incremental_only/micro,kenn_horizontal_adapter_bert_ms,2,CONTACT_INFO,10,0.5918367505073547,0.9666666388511658,0.7341772317886353
test_incremental/macro_example,kenn_horizontal_adapter_bert_ms,2,CONTACT_INFO,10,0.02827521041035652,0.02686145156621933,0.02755020558834076
test_pretraining/macro_types,kenn_horizontal_adapter_bert_ms,2,CONTACT_INFO,10,0.7996915578842163,0.8872675895690918,0.841206431388855
test_incremental/macro_types,kenn_horizontal_adapter_bert_ms,2,CONTACT_INFO,10,0.6141002178192139,0.949999988079071,0.7459818124771118
test_incremental_only/macro_types,kenn_horizontal_adapter_bert_ms,1,CONTACT_INFO,10,0.06904762238264084,0.9666666388511658,0.12888889014720917
test_incremental_CONTACT_INFO/macro_types,kenn_horizontal_adapter_bert_ms,1,CONTACT_INFO,10,0.6363636255264282,0.9333333373069764,0.7567567229270935
test_incremental/macro_example_exclusive,kenn_horizontal_adapter_bert_ms,1,CONTACT_INFO,10,1.0,0.9500000476837158,0.9743589758872986
test_incremental_only/macro_example_exclusive,kenn_horizontal_adapter_bert_ms,1,CONTACT_INFO,10,0.9666666984558104,0.9666666984558104,0.9666666984558104
