name,instance,run_id,threshold_pretraining,test_pretraining/macro_example/precision,test_incremental/macro_example_exclusive/precision,test/macro_types/f1,test_incremental_only/macro_example/recall,test_incremental/macro_example_exclusive/f1,test/macro_example/f1,test_incremental_education-department/macro_types/precision,test_incremental_education-department/macro_types/recall,test/macro_example/recall,test_pretraining/micro/precision,test_incremental/macro_example/precision,test_incremental_education/macro_types/recall,test_incremental_only/macro_example_exclusive/precision,test_incremental_only/macro_example_exclusive/recall,epoch,test_incremental/macro_example/f1,test_incremental_education-educational_degree/macro_types/precision,test_incremental_only/micro/f1,test_incremental/macro_types/recall,test_incremental_only/macro_types/precision,test_incremental_only/macro_example/precision,test_incremental/macro_example_exclusive/recall,test_incremental_education-educational_degree/macro_types/recall,test/micro/recall,test_incremental/macro_types/f1,test_incremental/macro_example/recall,test_incremental_education-educational_degree/macro_types/f1,test_incremental_only/micro/recall,test_pretraining/macro_types/recall,test_incremental_only/macro_types/recall,test/macro_types/recall,test_pretraining/micro/f1,test/macro_types/precision,test_incremental/macro_types/precision,threshold_incremental,test_incremental/micro/f1,test/macro_example/precision,test_pretraining/micro/recall,test_pretraining/macro_types/f1,test_incremental_only/macro_example/f1,test_incremental_education/macro_types/precision,test_pretraining/macro_example/f1,test_incremental_only/macro_types/f1,test_incremental_only/macro_example_exclusive/f1,test_incremental_only/micro/precision,test_pretraining/macro_example/recall,test/micro/precision,test_pretraining/macro_types/precision,test_incremental/micro/precision,test_incremental_education-department/macro_types/f1,test/micro/f1,test_incremental/micro/recall,test_incremental_education/macro_types/f1
kenn_horizontal_adapter_bert_ms,2,3r7swe9y,0.375,0.9177395105361938,0.9666666984558104,0.8718646764755249,0.018615171313285828,0.8568534255027771,0.916368842124939,0.28723403811454773,0.8999999761581421,0.9150023460388184,0.8937459588050842,0.02018093317747116,0.6666666865348816,0.9666666984558104,0.8916667103767395,35,0.017888378351926804,0.43661972880363464,0.4957264959812164,0.7871795892715454,0.3619268834590912,0.02018093317747116,0.7694445252418518,0.7948718070983887,0.8980212807655334,0.6643095016479492,0.01606355980038643,0.5636363625526428,0.8405796885490417,0.8609873056411743,0.8474358916282654,0.8609873056411743,0.8958784937858582,0.8830203413963318,0.5746179819107056,0.53,0.5868263244628906,0.9177395105361938,0.8980212807655334,0.8718646764755249,0.01936645619571209,1,0.916368842124939,0.507225513458252,0.9276532530784608,0.35151514410972595,0.9150023460388184,0.8937459588050842,0.8830203413963318,0.4780487716197967,0.43548384308815,0.8958784937858582,0.7596899271011353,0.800000011920929
kenn_horizontal_adapter_bert_ms,1,2mig7d9s,0.375,0.9135642051696776,0.9777778387069702,0.8721813559532166,0.01913709193468094,0.869821310043335,0.9144273996353148,0.353658527135849,0.9666666388511658,0.915292263031006,0.8922479152679443,0.02041289769113064,0.6666666865348816,0.975000023841858,0.9166666865348816,38,0.018159108236432076,0.3333333432674408,0.49180328845977783,0.8094017505645752,0.3434959352016449,0.02035490609705448,0.783333420753479,0.7948718070983887,0.8984562158584595,0.6636154055595398,0.016353514045476913,0.469696968793869,0.8695651888847351,0.8622944951057434,0.8807692527770996,0.8622944951057434,0.8953413367271423,0.8822975158691406,0.5623306632041931,0.01,0.5813953876495361,0.9135642051696776,0.8984562158584595,0.8721813559532166,0.019727222621440887,1,0.9144273996353148,0.494240403175354,0.9449339509010316,0.34285715222358704,0.915292263031006,0.8922479152679443,0.8822975158691406,0.4651162922382355,0.5178571343421936,0.8953413367271423,0.7751938104629517,0.800000011920929
kenn_horizontal_adapter_bert_ms,0,2ejfs8oa,0.375,0.9229587316513062,0.9611111879348756,0.8753180503845215,0.018615171313285828,0.8546638488769531,0.9190071821212769,0.4117647111415863,0.9333333373069764,0.9150893688201904,0.9039177298545836,0.020064949989318848,0.6666666865348816,0.9583333730697632,0.8916667103767395,24,0.017842669039964676,0.6666666865348816,0.6373625993728638,0.7897436618804932,0.5392156839370728,0.02000696025788784,0.769444465637207,0.7692307829856873,0.8980212807655334,0.7381081581115723,0.01606355793774128,0.7142857313156128,0.8405796885490417,0.861138105392456,0.8512820601463318,0.861138105392456,0.900959849357605,0.8899728059768677,0.6928104758262634,0.1,0.6950355172157288,0.9229587316513062,0.8980212807655334,0.8753180503845215,0.019285988062620163,1,0.9190071821212769,0.6602306962013245,0.9237987995147704,0.5132743120193481,0.9150893688201904,0.9039177298545836,0.8899728059768677,0.6405228972434998,0.5714285969734192,0.900959849357605,0.7596899271011353,0.800000011920929
kenn_hybrid_adapter_bert_ms,2,v8s12uid,0.375,0.8832115530967712,0.9500000476837158,0.8669976592063904,0.018267223611474037,0.8451299071311951,0.8987419605255127,0.10756972432136536,0.8999999761581421,0.914828360080719,0.8380353450775146,0.01983298547565937,0.6666666865348816,0.9500000476837158,0.8750000596046448,19,0.017643630504608154,0.13636364042758942,0.21111111342906952,0.7786325216293335,0.1219666823744774,0.01983298547565937,0.7611111402511597,0.7692307829856873,0.8978038430213928,0.5411244630813599,0.01588958501815796,0.2316602319478989,0.8260869383811951,0.8604845404624939,0.8346153497695923,0.8604845404624939,0.8668906092643738,0.8736101388931274,0.4146444797515869,0.9,0.3031249940395355,0.8832115530967712,0.8978038430213928,0.8669976592063904,0.019017931073904037,1,0.8987419605255127,0.21283122897148132,0.9109589457511902,0.12101911008358002,0.914828360080719,0.8380353450775146,0.8736101388931274,0.18982388079166412,0.19217082858085632,0.8668906092643738,0.751937985420227,0.800000011920929
kenn_top_down_adapter_bert_ms,2,23uvtl38,0.375,0.8423916101455688,0.9944444894790648,0.8673097491264343,0.01948503777384758,0.8815448880195618,0.8773701190948486,0.0743589773774147,0.9666666388511658,0.915379285812378,0.7884395122528076,0.02076084539294243,0.6666666865348816,0.9916666746139526,0.9333333373069764,20,0.018403859809041023,0.08080808073282242,0.14269006252288818,0.8179486989974976,0.07758352905511856,0.020702853798866272,0.7916667461395264,0.8205128312110901,0.8986736536026001,0.5236154198646545,0.016527488827705383,0.1471264362335205,0.8840579986572266,0.8627972602844238,0.8935897350311279,0.8627972602844238,0.8399552702903748,0.8718696236610413,0.38505569100379944,0.060000000000000005,0.211518332362175,0.8423916101455688,0.8986736536026001,0.8673097491264343,0.020075494423508644,1,0.8773701190948486,0.14277131855487823,0.9616162180900574,0.0776081457734108,0.915379285812378,0.7884395122528076,0.8718696236610413,0.12227603048086166,0.13809522986412048,0.8399552702903748,0.7829457521438599,0.800000011920929
kenn_bottom_up_adapter_bert_ms,2,2l9n1wm2,0.375,0.915071964263916,0.9833333492279052,0.871929943561554,0.01896311715245247,0.8685594201087952,0.9151241183280944,0.21875,0.9333333373069764,0.915176272392273,0.8885781764984131,0.0205288790166378,0.6666666865348816,0.9833333492279052,0.9083333611488342,19,0.018132764846086506,0.4769230782985687,0.45038166642189026,0.7982906103134155,0.34783655405044556,0.0205288790166378,0.7777778506278992,0.7948718070983887,0.8982387185096741,0.6618384718894958,0.01623753271996975,0.5961538553237915,0.8550724387168884,0.8616409301757812,0.8641026020050049,0.8616409301757812,0.8933823704719543,0.8824677467346191,0.5652244091033936,0.52,0.5469613075256348,0.915071964263916,0.8982387185096741,0.871929943561554,0.01971495896577835,1,0.9151241183280944,0.4960092008113861,0.9443466067314148,0.3056994676589966,0.915176272392273,0.8885781764984131,0.8824677467346191,0.42489269375801086,0.35443034768104553,0.8933823704719543,0.7674418687820435,0.800000011920929
kenn_hybrid_adapter_bert_ms,1,2knsi1o8,0.375,0.9161447882652284,0.9333333373069764,0.8710580468177795,0.018093250691890717,0.8350877165794373,0.9154860973358154,0.2545454502105713,0.9333333373069764,0.914828360080719,0.8913841247558594,0.01948503777384758,0.6666666865348816,0.9333333373069764,0.8666666746139526,22,0.017433980479836464,0.4307692348957062,0.4590163826942444,0.7726496458053589,0.34265732765197754,0.01948503777384758,0.7555556297302246,0.7179487347602844,0.8975864052772522,0.6505481600761414,0.015773601830005646,0.5384615659713745,0.8115941882133484,0.8601325750350952,0.8256410360336304,0.8601325750350952,0.8944745063781738,0.8822646737098694,0.5617715716362,0.51,0.5581395626068115,0.9161447882652284,0.8975864052772522,0.8710580468177795,0.01876337081193924,1,0.9154860973358154,0.48431456089019775,0.898765504360199,0.3199999928474426,0.914828360080719,0.8913841247558594,0.8822646737098694,0.4465116262435913,0.3999999761581421,0.8944745063781738,0.7441860437393188,0.800000011920929
kenn_top_down_adapter_bert_ms,1,nm1kvtq1,0.375,0.8110737800598145,0.9861111640930176,0.8673041462898254,0.01965901255607605,0.8816632032394409,0.8601268529891968,0.06637167930603027,1.0,0.9154952764511108,0.7519097924232483,0.02058687061071396,0.6666666865348816,0.9833333492279052,0.9416666626930236,22,0.018406329676508904,0.05423728749155998,0.11161116510629654,0.8290598392486572,0.06030448526144028,0.02052888087928295,0.7972222566604614,0.8205128312110901,0.8988910913467407,0.5150257349014282,0.016643470153212547,0.10174880176782608,0.8985507488250732,0.8634508848190308,0.9102563858032228,0.8634508848190308,0.8188570737838745,0.8711919784545898,0.3735363483428955,0.04,0.1684558242559433,0.8110737800598145,0.8988910913467407,0.8673041462898254,0.020084531977772713,1,0.8601268529891968,0.1131151020526886,0.9620490670204164,0.059500958770513535,0.9154952764511108,0.7519097924232483,0.8711919784545898,0.09426987171173096,0.12448132038116456,0.8188570737838745,0.7906976938247681,0.800000011920929
kenn_bottom_up_adapter_bert_ms,1,1cv0hgpb,0.375,0.9202911853790284,0.9333333373069764,0.8729875683784485,0.018093250691890717,0.8350877165794373,0.9175516366958618,0.30434781312942505,0.9333333373069764,0.914828360080719,0.8981723189353943,0.01948503777384758,0.6666666865348816,0.9333333373069764,0.8666666746139526,22,0.017433980479836464,0.5833333134651184,0.5358851552009583,0.7726496458053589,0.4438405632972718,0.01948503777384758,0.7555556297302246,0.7179487347602844,0.8975864052772522,0.6936017274856567,0.015773601830005646,0.6436781883239746,0.8115941882133484,0.8601325750350952,0.8256410360336304,0.8601325750350952,0.8978793025016785,0.8862326145172119,0.6292270421981812,0.37,0.6213592290878296,0.9202911853790284,0.8975864052772522,0.8729875683784485,0.01876337081193924,1,0.9175516366958618,0.5773269534111023,0.898765504360199,0.4000000059604645,0.914828360080719,0.8981723189353943,0.8862326145172119,0.5333333611488342,0.4590164124965668,0.8978793025016785,0.7441860437393188,0.800000011920929
kenn_hybrid_adapter_bert_ms,0,lj0axvgr,0.375,0.922749936580658,0.9833333492279052,0.8771383762359619,0.01896311715245247,0.8685594201087952,0.9189475178718568,0.3258427083492279,0.9666666388511658,0.915176272392273,0.902359127998352,0.0205288790166378,0.6666666865348816,0.9833333492279052,0.9083333611488342,22,0.018132764846086506,0.9090909361839294,0.6178010702133179,0.8008546829223633,0.6174668073654175,0.0205288790166378,0.7777778506278992,0.7692307829856873,0.8982387185096741,0.771906316280365,0.01623753271996975,0.8333333134651184,0.8550724387168884,0.861791729927063,0.8679487109184265,0.861791729927063,0.9002941250801086,0.8930414915084839,0.7449778914451599,0.17,0.6804123520851135,0.922749936580658,0.8982387185096741,0.8771383762359619,0.01971495896577835,1,0.9189475178718568,0.721588671207428,0.9443466067314148,0.4836065471172333,0.915176272392273,0.902359127998352,0.8930414915084839,0.6111111044883728,0.4873949885368347,0.9002941250801086,0.7674418687820435,0.800000011920929
