name,instance,run_id,test_pretraining/micro/f1,test_incremental/macro_example/f1,test_incremental_only/macro_example/recall,test_incremental/macro_example_exclusive/precision,test_incremental_religion-religion/macro_types/recall,test_pretraining/micro/recall,test_incremental_only/macro_example_exclusive/precision,threshold_incremental,test_incremental_only/micro/recall,test_incremental_only/macro_types/f1,test/micro/recall,test_incremental_only/macro_example/precision,test_incremental_only/macro_example_exclusive/f1,test/micro/f1,test_pretraining/macro_types/f1,test_incremental_religion-religion/macro_types/precision,test/macro_example/precision,test_incremental_only/macro_types/precision,test/macro_types/recall,test/macro_example/f1,test_pretraining/macro_example/f1,test_incremental_only/macro_types/recall,test/macro_example/recall,test_pretraining/macro_types/precision,test_incremental/macro_example_exclusive/recall,test/micro/precision,test_incremental_religion-religion/macro_types/f1,test_pretraining/macro_types/recall,test_incremental_only/macro_example/f1,test_incremental/macro_example/precision,test_pretraining/macro_example/precision,threshold_pretraining,test/macro_types/precision,test_incremental_only/macro_example_exclusive/recall,test_incremental/micro/f1,test_incremental_only/micro/f1,test_pretraining/micro/precision,test_incremental/macro_types/recall,epoch,test_incremental/micro/recall,test_incremental/macro_types/f1,test_incremental/macro_example/recall,test_pretraining/macro_example/recall,test_incremental/macro_types/precision,test_incremental/macro_example_exclusive/f1,test/macro_types/f1,test_incremental/micro/precision,test_incremental_only/micro/precision
kenn_hybrid_adapter_bert_ms,2,2bbbg5lz,0.8450123071670532,0.00974251888692379,0.00974251888692379,0.875,0.875,0.898728609085083,0.875,0.96,0.875,0.07799442857503891,0.898728609085083,0.00974251888692379,0.875,0.8450123071670532,0.874233067035675,0.040816325694322586,0.8498898148536682,0.040816325694322586,0.8618095517158508,0.8808117508888245,0.8808117508888245,0.875,0.9140686988830566,0.8870199918746948,0.875,0.7973551154136658,0.07799442857503891,0.8618095517158508,0.00974251888692379,0.00974251888692379,0.8498898148536682,0.375,0.8870199918746948,0.875,0.07799442857503891,0.07799442857503891,0.7973551154136658,0.875,32,0.875,0.07799442857503891,0.00974251888692379,0.9140686988830566,0.040816325694322586,0.875,0.874233067035675,0.040816325694322586,0.040816325694322586
kenn_top_down_adapter_bert_ms,2,gto59o9a,0.8523908257484436,0.00974251888692379,0.00974251888692379,0.875,0.875,0.898728609085083,0.875,0.95,0.875,0.08832807838916779,0.898728609085083,0.00974251888692379,0.875,0.8523908257484436,0.8742883801460266,0.04651162773370743,0.86155766248703,0.04651162773370743,0.8618095517158508,0.8870367407798767,0.8870367407798767,0.875,0.9140686988830566,0.8871338367462158,0.875,0.8105970621109009,0.08832807838916779,0.8618095517158508,0.00974251888692379,0.00974251888692379,0.86155766248703,0.375,0.8871338367462158,0.875,0.08832807838916779,0.08832807838916779,0.8105970621109009,0.875,34,0.875,0.08832807838916779,0.00974251888692379,0.9140686988830566,0.04651162773370743,0.875,0.8742883801460266,0.04651162773370743,0.04651162773370743
kenn_bottom_up_adapter_bert_ms,2,3ldkygzb,0.8789535760879517,0.009394572116434574,0.009394572116434574,0.84375,0.84375,0.8985094428062439,0.84375,0.8300000000000001,0.84375,0.15835778415203094,0.8985094428062439,0.009394572116434574,0.84375,0.8789535760879517,0.8743630647659302,0.08737864345312119,0.8992171287536621,0.08737864345312119,0.8611845374107361,0.9065250754356384,0.9065250754356384,0.84375,0.9139527082443236,0.8879511952400208,0.84375,0.8602308630943298,0.15835778415203094,0.8611845374107361,0.009394572116434574,0.009394572116434574,0.8992171287536621,0.375,0.8879511952400208,0.84375,0.15835778415203094,0.15835778415203094,0.8602308630943298,0.84375,34,0.84375,0.15835778415203094,0.009394572116434574,0.9139527082443236,0.08737864345312119,0.84375,0.8743630647659302,0.08737864345312119,0.08737864345312119
kenn_hybrid_adapter_bert_ms,1,2cixhnn3,0.8730835318565369,0.00974251888692379,0.00974251888692379,0.875,0.875,0.898728609085083,0.875,0.88,0.875,0.13793103396892548,0.898728609085083,0.00974251888692379,0.875,0.8730835318565369,0.8745636343955994,0.07486630976200104,0.8907214403152466,0.07486630976200104,0.8618095517158508,0.9022299647331238,0.9022299647331238,0.875,0.9140397310256958,0.8877009153366089,0.875,0.8488612771034241,0.13793103396892548,0.8618095517158508,0.00974251888692379,0.00974251888692379,0.8907214403152466,0.375,0.8877009153366089,0.875,0.13793103396892548,0.13793103396892548,0.8488612771034241,0.875,29,0.875,0.13793103396892548,0.00974251888692379,0.9140397310256958,0.07486630976200104,0.875,0.8745636343955994,0.07486630976200104,0.07486630976200104
kenn_top_down_adapter_bert_ms,1,150k3ikk,0.8842172622680664,0.01009046658873558,0.01009046658873558,0.90625,0.90625,0.8989478349685669,0.90625,0.78,0.90625,0.20000000298023224,0.8989478349685669,0.01009046658873558,0.90625,0.8842172622680664,0.8752498030662537,0.11240310221910477,0.9050162434577942,0.11240310221910477,0.8624345064163208,0.9095486998558044,0.9095486998558044,0.90625,0.9141266345977784,0.8884516954421997,0.90625,0.8699617981910706,0.20000000298023224,0.8624345064163208,0.01009046658873558,0.01009046658873558,0.9050162434577942,0.375,0.8884516954421997,0.90625,0.20000000298023224,0.20000000298023224,0.8699617981910706,0.90625,40,0.90625,0.20000000298023224,0.01009046658873558,0.9141266345977784,0.11240310221910477,0.90625,0.8752498030662537,0.11240310221910477,0.11240310221910477
kenn_bottom_up_adapter_bert_ms,1,118ghq0j,0.900647759437561,0.010438413359224796,0.010438413359224796,0.9375,0.9375,0.8991670608520508,0.9375,0.46,0.9375,0.4878048896789551,0.8991670608520508,0.010438413359224796,0.9375,0.900647759437561,0.8776764273643494,0.32967033982276917,0.9220309257507324,0.32967033982276917,0.8630595207214355,0.918120265007019,0.918120265007019,0.9375,0.9142426252365112,0.8927969932556152,0.9375,0.902133285999298,0.4878048896789551,0.8630595207214355,0.010438413359224796,0.010438413359224796,0.9220309257507324,0.375,0.8927969932556152,0.9375,0.4878048896789551,0.4878048896789551,0.902133285999298,0.9375,39,0.9375,0.4878048896789551,0.010438413359224796,0.9142426252365112,0.32967033982276917,0.9375,0.8776764273643494,0.32967033982276917,0.32967033982276917
kenn_hybrid_adapter_bert_ms,0,1r46fz3o,0.8934640884399414,0.01009046658873558,0.01009046658873558,0.90625,0.90625,0.8989478349685669,0.90625,0.65,0.90625,0.2989690899848938,0.8989478349685669,0.01009046658873558,0.90625,0.8934640884399414,0.8758957386016846,0.17901234328746796,0.9141440391540528,0.17901234328746796,0.8624345064163208,0.9141353368759156,0.9141353368759156,0.90625,0.9141266345977784,0.8897838592529297,0.90625,0.8880468010902405,0.2989690899848938,0.8624345064163208,0.01009046658873558,0.01009046658873558,0.9141440391540528,0.375,0.8897838592529297,0.90625,0.2989690899848938,0.2989690899848938,0.8880468010902405,0.90625,35,0.90625,0.2989690899848938,0.01009046658873558,0.9141266345977784,0.17901234328746796,0.90625,0.8758957386016846,0.17901234328746796,0.17901234328746796
kenn_top_down_adapter_bert_ms,0,396vl3mo,0.897789478302002,0.010438413359224796,0.010438413359224796,0.9375,0.9375,0.8991670608520508,0.9375,0.55,0.9375,0.3947368562221527,0.8991670608520508,0.010438413359224796,0.9375,0.897789478302002,0.8769057989120483,0.25,0.9188992977142334,0.25,0.8630595207214355,0.9165650010108948,0.9165650010108948,0.9375,0.9142426252365112,0.8912036418914795,0.9375,0.8964160680770874,0.3947368562221527,0.8630595207214355,0.010438413359224796,0.010438413359224796,0.9188992977142334,0.375,0.8912036418914795,0.9375,0.3947368562221527,0.3947368562221527,0.8964160680770874,0.9375,44,0.9375,0.3947368562221527,0.010438413359224796,0.9142426252365112,0.25,0.9375,0.8769057989120483,0.25,0.25
kenn_bottom_up_adapter_bert_ms,0,2s7wquo7,0.9056186676025392,0.010438413359224796,0.010438413359224796,0.9375,0.9375,0.8991670608520508,0.9375,0.27,0.9375,0.8219177722930908,0.8991670608520508,0.010438413359224796,0.9375,0.9056186676025392,0.8815440535545349,0.7317073345184326,0.9276560544967652,0.7317073345184326,0.8630595207214355,0.9209004640579224,0.9209004640579224,0.9375,0.9142426252365112,0.900837779045105,0.9375,0.9121636748313904,0.8219177722930908,0.8630595207214355,0.010438413359224796,0.010438413359224796,0.9276560544967652,0.375,0.900837779045105,0.9375,0.8219177722930908,0.8219177722930908,0.9121636748313904,0.9375,34,0.9375,0.8219177722930908,0.010438413359224796,0.9142426252365112,0.7317073345184326,0.9375,0.8815440535545349,0.7317073345184326,0.7317073345184326
box_adapter_bert_ms,2,29bco4ou,0.6881150007247925,0.011134307831525804,0.011134307831525804,1.0,1.0,0.8814116716384888,1.0,0.99,1.0,0.023281194269657135,0.8814116716384888,0.011134307831525804,1.0,0.6881150007247925,0.8454560041427612,0.011777696199715136,0.5601948499679565,0.011777696199715136,0.8198940753936768,0.6924489140510559,0.6924489140510559,1.0,0.9064486026763916,0.872663140296936,1.0,0.5643509030342102,0.023281194269657135,0.8198940753936768,0.011134307831525804,0.011134307831525804,0.5601948499679565,0.25,0.872663140296936,1.0,0.023281194269657135,0.023281194269657135,0.5643509030342102,1.0,6,1.0,0.023281194269657135,0.011134307831525804,0.9064486026763916,0.011777696199715136,1.0,0.8454560041427612,0.011777696199715136,0.011777696199715136
