metric,projector,instance,family,subset,precision,recall,f1
test_incremental_only/macro_example_exclusive,kenn_hybrid_adapter_bert_ms,2,location/geography,10,0.5333333611488342,0.5555555820465088,0.5442177653312683
test_incremental/macro_example_exclusive,kenn_hybrid_adapter_bert_ms,2,location/geography,10,0.6407407522201538,0.6000000238418579,0.6197015047073364
test_incremental_location-geography-island/macro_types,kenn_hybrid_adapter_bert_ms,2,location/geography,10,0.517241358757019,0.5,0.508474588394165
test_incremental_only/macro_example,kenn_hybrid_adapter_bert_ms,2,location/geography,10,0.023680314421653748,0.02466699481010437,0.024163587018847466
test_incremental_location-geography-body_of_water/macro_types,kenn_hybrid_adapter_bert_ms,2,location/geography,10,0.9523809552192688,0.6666666865348816,0.7843137383460999
test_incremental_location-geography/macro_types,kenn_hybrid_adapter_bert_ms,2,location/geography,10,1.0,0.644444465637207,0.7837837934494019
test/micro,kenn_hybrid_adapter_bert_ms,2,location/geography,10,0.8558048605918884,0.8509895205497742,0.8533903956413269
test_incremental/micro,kenn_hybrid_adapter_bert_ms,2,location/geography,10,0.8709677457809448,0.6000000238418579,0.7105263471603394
test_pretraining/micro,kenn_hybrid_adapter_bert_ms,2,location/geography,10,0.8558048605918884,0.8509895205497742,0.8533903956413269
test/macro_types,kenn_hybrid_adapter_bert_ms,2,location/geography,10,0.8602592945098877,0.7988560199737549,0.828421413898468
test_incremental_location-geography-mountain/macro_types,kenn_hybrid_adapter_bert_ms,2,location/geography,10,0.9375,0.5,0.6521739363670349
test_pretraining/macro_example,kenn_hybrid_adapter_bert_ms,2,location/geography,10,0.864737868309021,0.8601222634315491,0.8624238967895508
test/macro_example,kenn_hybrid_adapter_bert_ms,2,location/geography,10,0.864737868309021,0.8601222634315491,0.8624238967895508
test_incremental_only/micro,kenn_hybrid_adapter_bert_ms,2,location/geography,10,0.7575757503509521,0.5555555820465088,0.6410256624221802
test_incremental/macro_example,kenn_hybrid_adapter_bert_ms,2,location/geography,10,0.02844926714897156,0.026640355587005615,0.027515113353729248
test_pretraining/macro_types,kenn_hybrid_adapter_bert_ms,2,location/geography,10,0.8602592945098877,0.7988560199737549,0.828421413898468
test_incremental/macro_types,kenn_hybrid_adapter_bert_ms,2,location/geography,10,0.8517805933952332,0.5777778029441833,0.6885201930999756
test_incremental_only/macro_types,kenn_hybrid_adapter_bert_ms,2,location/geography,10,0.8023741245269775,0.5555555820465088,0.6565338373184204
test_incremental_only/macro_example_exclusive,kenn_top_down_adapter_bert_ms,2,location/geography,10,0.6111111640930176,0.6333333849906921,0.6220238208770752
test_incremental/macro_example_exclusive,kenn_top_down_adapter_bert_ms,2,location/geography,10,0.6851852536201477,0.638888955116272,0.6612277030944824
test_incremental_location-geography-island/macro_types,kenn_top_down_adapter_bert_ms,2,location/geography,10,0.42222222685813904,0.6333333253860474,0.5066666603088379
test_incremental_only/macro_example,kenn_top_down_adapter_bert_ms,2,location/geography,10,0.027133695781230927,0.0281203743070364,0.027618225663900375
test_incremental_location-geography-body_of_water/macro_types,kenn_top_down_adapter_bert_ms,2,location/geography,10,0.800000011920929,0.6666666865348816,0.7272727489471436
test_incremental_location-geography/macro_types,kenn_top_down_adapter_bert_ms,2,location/geography,10,1.0,0.644444465637207,0.7837837934494019
test/micro,kenn_top_down_adapter_bert_ms,2,location/geography,10,0.8520170450210571,0.8523476719856262,0.8521823287010193
test_incremental/micro,kenn_top_down_adapter_bert_ms,2,location/geography,10,0.7419354915618896,0.6388888955116272,0.6865671873092651
test_pretraining/micro,kenn_top_down_adapter_bert_ms,2,location/geography,10,0.8520170450210571,0.8523476719856262,0.8521823287010193
test/macro_types,kenn_top_down_adapter_bert_ms,2,location/geography,10,0.849894642829895,0.8035227060317993,0.8260584473609924
test_incremental_location-geography-mountain/macro_types,kenn_top_down_adapter_bert_ms,2,location/geography,10,0.6666666865348816,0.6000000238418579,0.6315790414810181
test_pretraining/macro_example,kenn_top_down_adapter_bert_ms,2,location/geography,10,0.8612927794456482,0.8611088991165161,0.8612008094787598
test/macro_example,kenn_top_down_adapter_bert_ms,2,location/geography,10,0.8612927794456482,0.8611088991165161,0.8612008094787598
test_incremental_only/micro,kenn_top_down_adapter_bert_ms,2,location/geography,10,0.5876288414001465,0.6333333253860474,0.6096256375312805
test_incremental/macro_example,kenn_top_down_adapter_bert_ms,2,location/geography,10,0.030422627925872803,0.028367044404149055,0.02935890108346939
test_pretraining/macro_types,kenn_top_down_adapter_bert_ms,2,location/geography,10,0.849894642829895,0.8035227060317993,0.8260584473609924
test_incremental/macro_types,kenn_top_down_adapter_bert_ms,2,location/geography,10,0.7222222089767456,0.6361111402511597,0.6764371991157532
test_incremental_only/macro_types,kenn_top_down_adapter_bert_ms,2,location/geography,10,0.6296296715736389,0.6333333849906921,0.631476104259491
test_incremental_only/macro_example_exclusive,kenn_bottom_up_adapter_bert_ms,2,location/geography,10,0.5666667222976685,0.6111111640930176,0.588050365447998
